'bian'huo'luan'bing'mai'zheng'bing'zhi 辨霍乱病脉证并治
'jue'yin'bing'yu'jie'shi'cong'chou'zhi'mao'shang 厥阴病欲解时从丑至卯上
'lin'jia'bu'ke'fa'han'han'chu'bi'bian'xie 淋家不可发汗汗出必便血
'mai'fu'er'shu'zhe'ke'fa'han'yi'ma'huang'tang 脉浮而数者可发汗宜麻黄汤
'mai'fu'fa're'kou'gan'bi'zao'neng'shi'zhe'ze'nv 脉浮发热口干鼻燥能食者则衄
'mai'fu'zhe'bing'zai'biao'ke'fa'han'yi'ma'huang'tang 脉浮者病在表可发汗宜麻黄汤
'ou'er'fa're'zhe'xiao'chai'hu'tang'zhu'zhi 呕而发热者小柴胡汤主之
'ou'jia'you'yong'nong'zhe'bu'ke'zhi'ou'nong'jin'zi'yu 呕家有痈脓者不可治呕脓尽自愈
're'li'xia'zhong'zhe'bai'tou'weng'tang'zhu'zhi 热利下重者白头翁汤主之
'ruo'wei'zhong'xu'leng'bu'neng'shi'zhe'yin'shui'ze'hui 若胃中虚冷不能食者饮水则哕
'shang'han'fa're'xia'li'jue'ni'zao'bu'de'wo'zhe'si 伤寒发热下利厥逆躁不得卧者死
'shang'han'fa're'xia'li'zhi'shen'jue'bu'zhi'zhe'si 伤寒发热下利至甚厥不止者死
'shang'han'mai'cu'shou'zu'jue'ni'ke'jiu'zhi 伤寒脉促手足厥逆可灸之
'shang'han'mai'jie'dai'xin'dong'ji'zhi'gan'cao'tang'zhu'zhi 伤寒脉结代心动悸炙甘草汤主之
'shang'han'ou'duo'sui'you'yang'ming'zheng'bu'ke'gong'zhi 伤寒呕多虽有阳明证不可攻之
'shang'han'san'ri'yang'ming'mai'da 伤寒三日阳明脉大
'shang'han'shen'huang'fa're'zhi'zi'bo'pi'tang'zhu'zhi 伤寒身黄发热栀子蘗皮汤主之
'shang'han'tu'hou'fu'zhang'man'zhe'yu'tiao'wei'cheng'qi'tang 伤寒吐后腹胀满者与调胃承气汤
'shang'han'wu'ri'shao'yang'mai'xiao'zhe'yu'yi'ye 伤寒五日少阳脉小者欲已也
'shang'han'xia'li'ri'shi'yu'xing'mai'fan'shi'zhe'si 伤寒下利日十余行脉反实者死
'shao'yang'bing'yu'jie'shi'cong'yin'zhi'chen'shang 少阳病欲解时从寅至辰上
'shao'yang'zhi'wei'bing'kou'ku'yan'gan'mu'xuan'ye 少阳之为病口苦咽干目眩也
'shao'yin'bing'liu'qi'ri'xi'gao'zhe'si 少阴病六七日息高者死
'shao'yin'bing'mai'chen'zhe'ji'wen'zhi'yi'si'ni'tang 少阴病脉沉者急温之宜四逆汤
'shao'yin'bing'tu'li'zao'fan'si'ni'zhe'si 少阴病吐利躁烦四逆者死
'shao'yin'bing'xia'li'bai'tong'tang'zhu'zhi 少阴病下利白通汤主之
'shao'yin'bing'xia'li'bian'nong'xue'zhe'ke'ci 少阴病下利便脓血者可刺
'shao'yin'bing'xia'li'bian'nong'xue'zhe'tao'hua'tang'zhu'zhi 少阴病下利便脓血者桃花汤主之
'shao'yin'bing'yan'zhong'tong'ban'xia'san'ji'tang'zhu'zhi 少阴病咽中痛半夏散及汤主之
'shao'yin'bing'yu'jie'shi'cong'zi'zhi'yin'shang 少阴病欲解时从子至寅上
'shao'yin'zhi'wei'bing'mai'wei'xi'dan'yu'mei'ye 少阴之为病脉微细但欲寐也
'shao'yin'zhong'feng'mai'yang'wei'yin'fu'zhe'wei'yu'yu 少阴中风脉阳微阴浮者为欲愈
'tai'yang'bing'yu'jie'shi'cong'si'zhi'wei'shang 太阳病欲解时从巳至未上
'tai'yang'shang'han'zhe'jia'wen'zhen'bi'jing'ye 太阳伤寒者加温针必惊也
'tai'yang'zhi'wei'bing'mai'fu'tou'xiang'qiang'tong'er'e'han 太阳之为病脉浮头项强痛而恶寒
'tai'yin'bing'mai'fu'zhe'ke'fa'han'yi'gui'zhi'tang 太阴病脉浮者可发汗宜桂枝汤
'tai'yin'bing'yu'jie'shi'cong'hai'zhi'chou'shang 太阴病欲解时从亥至丑上
'wang'xue'jia'bu'ke'fa'han'fa'han'ze'han'li'er'zhen 亡血家不可发汗发汗则寒栗而振
'xia'li'qing'gu'bu'ke'gong'biao'han'chu'bi'zhang'man 下利清谷不可攻表汗出必胀满
'xia'li'you'wei're'er'ke'mai'ruo'zhe'jin'zi'yu 下利有微热而渴脉弱者今自愈
'xia'li'zhan'yu'zhe'you'zao'shi'ye'yi'xiao'cheng'qi'tang 下利讝语者有燥屎也宜小承气汤
'yan'hou'gan'zao'zhe'bu'ke'fa'han 咽喉干燥者不可发汗
'yang'ming'bing'yu'jie'shi'cong'shen'zhi'xu'shang 阳明病欲解时从申至戌上
'yang'ming'zhi'wei'bing'wei'jia'shi'shi'ye 阳明之为病胃家实是也
'zhu'si'ni'jue'zhe'bu'ke'xia'zhi'xu'jia'yi'ran 诸四逆厥者不可下之虚家亦然
