'an'neng'yan'mie'bo 暗能湮灭波
'ming'yuan'zhuang'jia 名远装甲
'mo'long'bi'lei 魔龙壁垒
'mo'long'zhuang'jia 魔龙装甲
'ni'tai'xu'huan 拟态虚幻
'ni'xiang'huan'yi 逆向幻翼
'ning'jie'bi'lei 凝结壁垒
'ning'jie'zhuang'jia 凝结装甲
'pin'shan'fei'dan 频闪飞弹
'pin'shan'san'dan 频闪散弹
'qiang'zhi'bao'zi 强殖孢子
'qing'hui'bi'lei 清辉壁垒
'qing'hui'zhuang'jia 清辉装甲
'qing'yi'fu'you 蜻翼蜉蝣
'qiu'xing'shan'dian 球形闪电
're'rong'guang'yun 热融光晕
'rong'he'ye'jing'pao 融合液晶炮
'rong'jie'wo'liu 融解涡流
'rui'zhao'ye'fu 锐爪夜蝠
'san'dan'ji'guan'pao 三弹机关炮
'sao'miao'guang'shu 扫描光束
'shan'bao'rong'jiao'pao 闪爆溶胶炮
'shen'huo'chu'kai 神火初铠
'shen'huo'chu'yan 神火初焰
'shen'huo'fei'dan 神火飞弹
'shen'huo'gang'yan 神火钢炎
'shen'huo'liu'dan 神火流弹
'shen'huo'zhi'kai 神火之铠
'shen'huo'zhi'yan 神火之炎
'shen'huo'zhi'yan 神火之焰
'shen'sheng'bi'lei 神圣壁垒
'shen'sheng'zhuang'jia 神圣装甲
'shen'yuan'mei'ying 深渊魅影
'shi'jie'jing'sai 世界竞赛
'shi'xin'zhan'kui 狮心战盔
'shi'xin'zhan'qi 狮心战骑
'shi'xin'zhan'ren 狮心战刃
'shi'xin'zhan'yan 狮心战焰
'shi'xin'zhi'kui 狮心之盔
'shi'xin'zhi'qi 狮心之骑
'shi'xin'zhi'ren 狮心之刃
'shi'xin'zhi'yan 狮心之焰
'shou'wang'tie'biao 兽王铁镖
'shou'wang'tie'dan 兽王铁弹
'shou'wang'tie'dao 兽王铁刀
'shou'wang'tie'kai 兽王铁铠
'shou'wang'yan'biao 兽王炎镖
'shou'wang'yan'dan 兽王炎弹
'shou'wang'yan'kai 兽王炎铠
'si'dan'ji'guan'pao 四弹机关炮
'si'se'fen'hui 四色分辉
'su'shi'bi'lei 溯时壁垒
'su'shi'zhuang'jia 溯时装甲
'tong'jin'shen'tie 铜筋神铁
'tong'yun'liu'huo 彤云流火
'wan'quan'gan'she'bo 完全干涉波
'wang'yan'dao 王炎刀
'wo'lun'shan'dian 涡轮闪电
'wu'jin'chuan'jia'dan 钨金穿甲弹
'wu'jin'mo'shi 无尽模式
'wu'xing'lie'shou 无形猎手
'xi'wang'shu'guang 希望曙光
'xing'yun'bing'he 星云冰河
'xu'kong'huan'ying 虚空幻影
'xue'nu'bi'lei 血怒壁垒
'xue'nu'zhuang'jia 血怒装甲
'xun'ji'lie'shou 迅疾猎手
'xun'lei'jian'feng 迅雷尖锋
'xun'lei'tu'ji 迅雷突击
'ya'dian'chu'gong 雅典初弓
'ya'dian'chu'guang 雅典初光
'ya'dian'chu'huo 雅典初火
'ya'dian'chu'kui 雅典初盔
'ya'dian'yuan'gong 雅典原弓
'ya'dian'yuan'guang 雅典原光
'ya'dian'yuan'huo 雅典原火
'ya'dian'yuan'kui 雅典原盔
'yi'jie'dao'feng 异界刀锋
'yi'tong'mo'yan'pao 异瞳魔眼炮
'yin'chi'fu'you 隐翅蜉蝣
'yin'hui'shen'tie 银辉神铁
'yin'xu'ju'chong 银须巨铳
'yin'xu'ju'chui 银须巨锤
'yin'xu'ju'dun 银须巨盾
'yin'xu'ju'pao 银须巨炮
'yin'xu'zhi'chong 银须之铳
'yin'xu'zhi'chui 银须之锤
'yin'xu'zhi'dun 银须之盾
'yin'xu'zhi'pao 银须之炮
'ying'huo'chi'yan 荧惑炽焰
'ying'huo'shuang'yan 荧惑双焰
'ying'zhi'xing'mang 硬质星芒
'yong'ye'hei'kai 永夜黑铠
'yong'ye'lan'xing 永夜澜星
'yong'ye'li'ren 永夜利刃
'yong'ye'xuan'wo 永夜漩涡
'yong'ye'zhi'kai 永夜之铠
'yong'ye'zhi'ren 永夜之刃
'yong'ye'zhi'wo 永夜之涡
'yong'ye'zhi'xing 永夜之星
'yuan'sheng'bi'lei 原生壁垒
'yuan'sheng'zhuang'jia 原生装甲
'yuan'wu'bi'lei 渊舞壁垒
'yuan'wu'zhuang'jia 渊舞装甲
'yue'guang'bi'lei 月光壁垒
'yue'guang'zhuang'jia 月光装甲
'zhan'ji 战机
'zhan'shen 战神
'zhen'dang'li'chang 震荡力场
'zhen'hai'bi'bo 震海碧波
'zhen'hai'bi'jing 震海碧晶
'zhen'hai'guang'quan 震海光泉
'zhen'hai'guang'yi 震海光翼
'zhen'hai'zhi'bo 震海之波
'zhen'hai'zhi'jing 震海之晶
'zhen'hai'zhi'quan 震海之泉
'zhen'hai'zhi'yi 震海之翼
'zhen'kong'xie'zhen'bo 真空谐振波
'zhi'neng'guang'shu 智能光束
'zhong'zi'dan 中子弹
'zhu'si'bu'shou 蛛丝捕手
'zhuang'jia 装甲
