'a'bu'si 阿不思
'guo'xing'dan'gao 锅形蛋糕
'ha'li 哈利
'hai'de'wei 海德薇
'hai'ge 海格
'hai'lian'na 海莲娜
'han'na 汉娜
'he'er'jia 赫尔加
'he'min 赫敏
'he'qi'pa'qi 赫奇帕奇
'hei'mo'biao'ji 黑魔标记
'hei'mo'fa 黑魔法
'hei'mo'fa'fang'yu'shu 黑魔法防御术
'hu'shen'hu'wei 呼神护卫
'hua'dao'ping'ping 滑道平平
'hua'ji'hua'ji 滑稽滑稽
'huan'shen'zhou 幻身咒
'huan'ying'shi'ban 幻影石板
'huan'ying'xian'xing 幻影显形
'huan'ying'yi'xing 幻影移形
'huang'you'pi'jiu 黄油啤酒
'hui'fu'ru'chu 恢复如初
'hui'jian'jiao'de'tang'hao'zi 会尖叫的糖耗子
'hun'hun'dao'di 昏昏倒地
'hun'po'chu'qiao 魂魄出窍
'hun'xiao'shi'ting 混淆视听
'huo'ge'mo'de'wu'shi'xiao'zhen 霍格莫德巫师小镇
'huo'ge'wo'ci 霍格沃茨
'huo'ge'wo'ci'mo'fa'xue'xiao 霍格沃茨魔法学校
'huo'kao're'la'la 火烤热辣辣
'huo'pang'xie 火螃蟹
'huo'qi'fu'ren 霍琦夫人
'huo'xing'bang 火星棒
'huo'yan'xiong'xiong 火焰熊熊
'ji'de'luo 吉德罗
'ji'ji'xian'xing 急急现形
'ji'qiu'shou 击球手
'ji'zhang 级长
'jia'bu'li 加布丽
'jia'si'ting 贾斯廷
'jia'yang'xiao'jing'ling 家养小精灵
'jian'jiao'peng'wu 尖叫棚屋
'jian'tou'cha'zi 尖头叉子
'jian'zheng'ren 见证人
'jin'lin 禁林
'jin'ni 金妮
'jin'se'fei'zei 金色飞贼
'jin'si'que'bing'gan 金丝雀饼干
'jin'zhi'lan'yong'ma'gua'wu'pin'si 禁止滥用麻瓜物品司
'jin'zhi'lan'yong'mo'fa'si 禁止滥用魔法司
'jin'zhong'luo'di 金钟落地
'ju'guai 巨怪
'ju'ren 巨人
'ka'ka'luo'fu 卡卡洛夫
'kai'di 凯蒂
'kang'nai'li 康奈利
'ke'li'wa'te 克里瓦特
'ke'li'wei 克里维
'ke'lin 科林
'ke'lu'ke'shan 克鲁克山
'ke'lu'mu 克鲁姆
'kuai'kuai'fu'su 快快复苏
'kui'di'qi 魁地奇
'kui'jia'hu'shen 盔甲护身
'la'tang'ke'si 拉唐克斯
'la'wen'de 拉文德
'la'wen'ke'lao 拉文克劳
'lai'mu'si 莱姆斯
'lan'hua'sheng'kai 兰花盛开
'lang'du'yao'ji 狼毒药剂
'lang'ren 狼人
'lao'bu'ke'po'de'shi'yan 牢不可破的誓言
'lei'gu'le'si 雷古勒斯
'li'de'er 里德尔
'li'hen'shu'dian 丽痕书店
'li'li'yi'wan'si 莉莉伊万丝
'li'qiao'dan 李乔丹
'li'song'jin'xie 力松劲泄
'li'ta 丽塔
'lian'jin'shu 炼金术
'lie'zui'hu'la'la 咧嘴呼啦啦
'long'ba'dun 隆巴顿
'lou'ju 陋居
'lu'bo'hai'ge 鲁伯海格
'lu'duo 卢多
'lu'fu'si 鲁弗斯
'lu'na 卢娜
'lu'ping 卢平
'lu'wei 路威
'lu'xiu'si 卢修斯
'luo'en 罗恩
'luo'fu'gu'de 洛夫古德
'luo'ha'te 洛哈特
'luo'jie 罗杰
'luo'yi'na 罗伊纳
'ma'er'fu 马尔福
'ma'gua 麻瓜
'ma'gua'ping'bi 麻瓜屏蔽
'ma'gua'yan'jiu'xue 麻瓜研究学
'ma'ke'xi'mu'fu'ren 马克西姆夫人
'ma'ren 马人
'ma'wo'luo 马沃罗
'mai'ge 麦格
'mai'ke'mi'lan 麦克米兰
'man'de'la'cao 曼德拉草
'man'de'la'cao'hui'fu'ji 曼德拉草恢复剂
'mao'tou'ying'shi 猫头鹰食
'mei'wa 媚娃
'men'tuo'si 门托斯
'men'ya'sai'da'bang 门牙赛大棒
'men'yao'shi 门钥匙
'mi'hun'yao 迷魂药
'mi'le'wa 米勒娃
'mi'li'sen 米里森
'mi'qing'ji 迷情剂
'mi'shi 密室
'mo'fa'bu 魔法部
'mo'fa'shi 魔法史
'mo'fa'yao'ji 魔法药剂
'mo'fa'zhou'yu 魔法咒语
'mo'jin'fu'ren 摩金夫人
'mo'jin'fu'ren'chang'pao'zhuan'mai'dian 摩金夫人长袍专卖店
'mo'li 莫丽
'mo'yao'xue 魔药学
'mo'zhou'xue 魔咒学
'mu'di 穆迪
'na'wei 纳威
'na'xi'sha 纳西莎
'ni'ba'zhong 泥巴种
'ni'fa'duo 尼法朵
'ni'ke'le'mei 尼可勒梅
'nuo'bo 诺伯
'nuo'ke'si 诺克斯
'nuo'wei'ji'bei'long 挪威脊背龙
'pa'de'ma 帕德玛
'pa'jin'sen 帕金森
'pa'wa'di 帕瓦蒂
'pan'xi 潘西
'pang'fu'lei 庞弗雷
'pang'xiu'shi 胖修士
'pei'di'er 佩蒂尔
'pei'nei'luo 佩内洛
'pei'si'qi'pi'ke'xi 佩斯奇皮克西
'pei'si'te'nuo'mi 佩斯特诺米
'pi'pi'gui 皮皮鬼
'piao'fu'zhou 漂浮咒
'ping'an'zhen'shou 平安镇守
'ping'guo'bing 苹果饼
'ping'si 平斯
'po'fu'jiu'ba 破釜酒吧
'po'xi 珀西
'qi'luo 奇洛
'qiao'jin'si 乔金斯
'qiao'ke'li'gan'guo 巧克力坩埚
'qiao'ke'li'wa 巧克力蛙
'qiao'sheng'xi'yu 悄声细语
'qiao'zhi 乔治
'qing'li'yi'xin 清理一新
'qing'shui'ru'quan 清水如泉
'qiu'zhang 秋张
'quan'shen'shu'fu'zhou 全身束缚咒
're'huo'wei'shi'ji 热火威士忌
'ren'tou'shi'shen'long'wei'shou 人头狮身龙尾兽
'ren'xing'xian'shen 人形显身
'rui'dian'duan'bi'long 瑞典短鼻龙
'sa'la'cha 萨拉查
'sai'de'li'ke 塞德里克
'san'ba'sao'zhou'jiu'ba 三把扫帚酒吧
'shan'hui'zhou 闪回咒
'shan'shan 闪闪
'she'guai 蛇怪
'she'hun'guai 摄魂怪
'she'lao'qiang 蛇佬腔
'she'shen'qu'nian 摄神取念
'shen'feng'wu'ying 神锋无影
'shen'qi'sheng'wu 神奇生物
'sheng'jiang'rong'yuan'bing'gan 生姜蝾螈饼干
'sheng'mang'ge 圣芒戈
'sheng'yin'hong'liang 声音洪亮
'shi'gu'zai'xian 尸骨再现
'shi'nei'yue 室内乐
'shi'shi'gui 食尸鬼
'shi'si'tu 食死徒
'shou'hu'shen'zhou 守护神咒
'shou'men'yuan 守门员
'shou'shi 收拾
'shui'huo'bu'qin 水火不侵
'si'fen'wu'lie 四分五裂
'si'ji'te 斯基特
'si'ke'lin'jie 斯克林杰
'si'ke'pi 斯科皮
'si'lai'te'lin 斯莱特林
'si'nei'pu 斯内普
'si'ping'nei'te 斯平内特
'si'pu'lao'te 斯普劳特
'su'su'bian'da 速速变大
'su'su'jin'gu 速速禁锢
'su'su'suo'xiao 速速缩小
'suan'bang'tang 酸棒糖
'suan'shu'zhan'bu'xue 算术占卜学
'sui'cong'xian'xing 随从显形
'suo'she'feng'hou 锁舌封喉
'ta'lang'tai'la'wu 塔郎泰拉舞
'tang'mu 汤姆
'tang'zuo'de'yu'mao'bi 糖做的羽毛笔
'tao'jin'niang 桃金娘
'te'li'lao'ni 特里劳妮
'tian'wen'xue 天文学
'tie'jia'zhou 铁甲咒
'tong'na'te 铜纳特
'tong'tong'jia'hu 统统加护
'tong'tong'shi'hua 统统石化
'tu'zhen'ji 吐真剂
'tui'li'jiang'ting'si 腿立僵停死
'wa'di'wa'xi 瓦迪瓦西
'wan'dan'qi'fa 万弹齐发
'wei'er'shi'lv'long 威尔士绿龙
'wei'ke'duo'er 威克多尔
'wei'si'lai 韦斯莱
'wu'de 伍德
'wu'long'chu'dong 乌龙出洞
'wu'mu'li'qi 乌姆里奇
'wu'sheng'wu'xi 无声无息
'wu'shi 巫师
'wu'shi'qi 巫师棋
'xi'bi'er 西比尔
'xi'fu'le'si 西弗勒斯
'xi'mo'fei'ni'gan 西莫斐尼甘
'xi'xue'gui 吸血鬼
'xiang'di'xian'jing 降敌陷阱
'xiao'ai'xing 小矮星
'xiao'tian'lang'xing 小天狼星
'xiao'yin'wu'zong 消隐无踪
'xiao'zhu'zhu'wei'qiong 小猪朱薇琼
'xin'ni'si'ta'jiao'shou 辛尼斯塔教授
'xiong'ya'li'shu'feng 匈牙利树蜂
'xuan'feng'sao'jing 旋风扫净
'xue'ren'ba'luo 血人巴罗
'ya'pao 哑炮
'ya'se 亚瑟
'ya'ya 牙牙
'yan'pi'bing 岩皮饼
'yao'jing 妖精
'ye'qi 夜骐
'yi'dong 移动
'yi'er'ma 伊尔玛
'yi'ge'er 伊戈尔
'yi'la'mao'tou'ying'shang'dian 咿啦猫头鹰商店
'yi'wang'jie'kong 一忘皆空
'yi'xing'huan'ying 移形幻影
'yin'shi 阴尸
'yin'xi'ke'jin'jia'long 银西可金加隆
'ying'guang'shan'shuo 荧光闪烁
'ying'tou'ma'shen'you'yi'shou 鹰头马身有翼兽
'yong'shi'san'qiang'zheng'ba'sai 勇士三强争霸赛
'you'qiu'bi'ying'wu 有求必应屋
'you'zou'qiu 游走球
'yue'han'xun 约翰逊
'yue'liang'lian 月亮脸
'yun'zhou'che'hui 云咒撤回
'zha'wei'luo 炸尾螺
'zhan'bu'xue 占卜学
'zhan'mu 詹姆
'zhang'ai'chong'chong 障碍重重
'zhang'ai'zhou 障碍咒
'zhang'lang'dui 蟑螂堆
'zhao'qiu'shou 找球手
'zhen'ding'ji 镇定剂
'zhong'guo'huo'qiu'long 中国火球龙
'zhong'liao'jie'shu 终了结束
'zhou'li'ting 咒立停
'zhu'tou'jiu'ba 猪头酒吧
'zhui'qiu'shou 追球手
'zuan'xin'wan'gu 钻心剜骨
'zuan'xin'zhou 钻心咒
'zuo'you'fen'li 左右分离
