'a'er'tai'chai'hu 阿尔泰柴胡
'chang'bao'leng'shan 长苞冷杉
'chang'bao'tie'shan 长苞铁杉
'chang'bao'xiang'pu 长苞香蒲
'chang'bao'zhong'dian'leng'shan 长苞中甸冷杉
'chang'bing'hu'jiao 长柄胡椒
'chang'bing'liu'ye'cai 长柄柳叶菜
'chang'chun'mu 常春木
'chang'chun'teng 常春藤
'chang'du'yang 昌都杨
'chang'e'shu'can 长萼树参
'chang'geng'chang'chun'mu 长梗常春木
'chang'geng'chi'ye'wu'jia 长梗匙叶五加
'chang'geng'gang'mao'wu'jia 长梗刚毛五加
'chang'geng'luo'san 长梗罗伞
'chang'geng'tian'hu'sui 长梗天胡荽
'chang'geng'yu'ye'can 长梗羽叶参
'chang'guo'bing'dian'yang 长果柄滇杨
'chang'guo'bing'qing'yang 长果柄青杨
'chang'hua'zhu'hong'liang'zi 长花柱红椋子
'chang'mao'bao'lie'qin 长毛苞裂芹
'chang'mao'yue'jian'cao 长毛月见草
'chang'qiao'dang'gui 长鞘当归
'chang'qiao'zu'cao 长鞘菹草
'chang'san'hong'chai'hu 长伞红柴胡
'chang'sui'hu'jiao 长穗胡椒
'chang'wei'dan'shi'zhu'yu 长尾单室茱萸
'chang'xu'bian'dou'cai 长序变豆菜
'chang'xu'da'ye'yang 长序大叶杨
'chang'xu'dang'gui 长序当归
'chang'xu'yang 长序杨
'chang'yang'tie'shan 长阳铁杉
'chang'yuan'qing'jia'ye 长圆青荚叶
'chang'yuan'ye'lai'mu 长圆叶梾木
'chang'zhu'liu'ye'cai 长柱柳叶菜
'chang'zi'liu'ye'cai 长籽柳叶菜
'chao'xian'dang'gui 朝鲜当归
'chao'xian'hui'qin 朝鲜茴芹
'chao'xian'lai'mu 朝鲜梾木
'chao'xian'ya'bai 朝鲜崖柏
'chen'guo'hu'jiao 沉果胡椒
'cheng'kou'dang'gui 城口当归
'cheng'kou'hui'qin 城口茴芹
'chi'guo'chai'hu 翅果柴胡
'chi'shan 池杉
'chi'song 赤松
'chi'ye'wu'jia 匙叶五加
'chi'ye'zhang'ye'shu 翅叶掌叶树
'chong'yang'yan'zi'cai 崇阳眼子菜
'chou'a'wei 臭阿魏
'chou'leng'shan 臭冷杉
'chu'yi'li'xi'feng'qin 楚伊犁西风芹
'chuan'bai'bao'qin 川白苞芹
'chuan'dian'leng'shan 川滇冷杉
'chuan'e'nang'ban'qin 川鄂囊瓣芹
'chuan'e'shan'zhu'yu 川鄂山茱萸
'chuan'hong'shan 川红杉
'chuan'kang'leng'zi'qin 川康棱子芹
'chuan'man'zao 川蔓藻
'chuan'ming'can 川明参
'chuan'shan'lai'mu 川陕梾木
'chuan'xi'dang'gui 川西当归
'chuan'xi'liu'ye'cai 川西柳叶菜
'chuan'xi'yun'shan 川西云杉
'chuan'xiong 川芎
'chuan'yang 川杨
'chuan'ye'yan'zi'cai 穿叶眼子菜
'chuan'zao 川藻
'chui'zhi'bai 垂枝柏
'chui'zhi'xiang'bai 垂枝香柏
'chui'zi'mai'ma'teng 垂子买麻藤
'ci'bai 刺柏
'ci'guo'qin 刺果芹
'ci'jian'qian'hu 刺尖前胡
'ci'mao'tian'hu'sui 刺毛天胡荽
'ci'qin 刺芹
'ci'qiu 刺楸
'ci'shen 刺参
'ci'tong'cao 刺通草
'ci'wu'jia 刺五加
'ci'xiong'ma'huang 雌雄麻黄
'cong'mu 葱木
'cong'sheng'da'ye'zao 从生大叶藻
'cu'chi'da'ci'zao 粗齿大茨藻
'cu'fei 粗榧
'cu'geng'hu'jiao 粗梗胡椒
'cu'geng'tao'ye'shan'hu 粗梗桃叶珊瑚
'cu'hua'qin 簇花芹
'cu'mao'cong'mu 粗毛葱木
'cu'mao'zhang'ye'shu 粗毛掌叶树
'cu'sui'hu'jiao 粗穗胡椒
'cu'ya'e'zhang'chai 粗芽鹅掌柴
'cu'zhi'mu'ma'huang 粗枝木麻黄
'cu'zhuang'qu'ban'lai'mu 粗壮曲瓣梾木
'cui'bai 翠柏
'da'a'mi'qin 大阿米芹
'da'bao'chai'hu 大苞柴胡
'da'bie'wu'zhen'song 大别五针松
'da'can 大参
'da'chi'shan'qin 大齿山芹
'da'ci'zao 大茨藻
'da'guo'a'wei 大果阿魏
'da'guo'de'qin'yang 大果德钦杨
'da'guo'hong'shan 大果红杉
'da'guo'huang'shan 大果黄杉
'da'guo'mian'guo'qin 大果绵果芹
'da'guo'qing'qian 大果青扦
'da'guo'shu'can 大果树参
'da'guo'tie'shan 大果铁杉
'da'guo'wu'zhu'yu'wu'jia 大果吴茱萸五加
'da'guo'xi'feng'qin 大果西风芹
'da'guo'yuan'bai 大果圆柏
'da'hu'jiao 大胡椒
'da'hua'liu'ye'cai 大花柳叶菜
'da'huang'guo'leng'shan 大黄果冷杉
'da'jin'lai'mu 大金梾木
'da'li'luo'han'song 大理罗汉松
'da'miao'shan'hu'jiao 大苗山胡椒
'da'qing'yang 大青杨
'da'quan'ye'shan'qin 大全叶山芹
'da'xiang'pu 达香蒲
'da'xing'si'zhao'hua 大型四照花
'da'ye'chai'hu 大叶柴胡
'da'ye'de'qin'yang 大叶德钦杨
'da'ye'e'zhang'chai 大叶鹅掌柴
'da'ye'fu'mao'hu'jiao 大叶复毛胡椒
'da'ye'hong'he'e'zhang'chai 大叶红河鹅掌柴
'da'ye'nan'yang'sha 大叶南洋杉
'da'ye'rong'guo'qin 大叶绒果芹
'da'ye'si'dai'qin 大叶四带芹
'da'ye'wu'jia 大叶五加
'da'ye'xiang'ye'yang 大叶响叶杨
'da'ye'yang 大叶杨
'da'ye'zao 大叶藻
'dai'xiao'cao 待宵草
'dan'guo'yan'zi'cai 单果眼子菜
'dan'shi'zhu'yu 单室茱萸
'dan'xu'bo'yuan'da'can 单序波缘大参
'dan'ye'li'zhu'wu'jia 单叶离柱五加
'dan'ye'xi'feng'qin 单叶西风芹
'dan'yu'ai'san'qin 单羽矮伞芹
'dan'zi'ma'huang 单子麻黄
'dang'gui 当归
'dao'gua'jin'zhong 倒挂金钟
'dao'luan'ye'wu'jia 倒卵叶五加
'dao'pi'zhen'ye'shan'hu 倒披针叶珊瑚
'dao'xin'ye'shan'hu 倒心叶珊瑚
'de'bao'su'tie 德保苏铁
'de'qin'bai 德钦柏
'de'qin'yang 德钦杨
'deng'tai'shu 灯台树
'di'pan'song 地盘松
'di'yan'feng 地岩风
'di'zhong'hai'bai'mu 地中海柏木
'dian'cang'fang'zhi'bai 滇藏方枝柏
'dian'cang'liu'ye'cai 滇藏柳叶菜
'dian'nan'shan'yang 滇南山杨
'dian'xi'hu'jiao 滇西胡椒
'dian'xiong 滇芎
'dian'yang 滇杨
'dian'zhuang'leng'zi'qin 垫状棱子芹
'ding'xiang'liao 丁香蓼
'dong'bei'chang'qiao'dang'gui 东北长鞘当归
'dong'bei'hong'dou'shan 东北红豆杉
'dong'bei'ling 东北菱
'dong'bei'liu'ye'cai 东北柳叶菜
'dong'bei'tu'dang'gui 东北土当归
'dong'bei'yang 东北杨
'dong'bei'yang'jiao'qin 东北羊角芹
'dong'chuan'dang'gui 东川当归
'dong'dang'gui 东当归
'dong'e'luo'leng'zi'qin 东俄洛棱子芹
'dong'gua'yang 冬瓜杨
'dong'jing'si'zhao'hua 东京四照花
'dong'ya'leng'zi'qin 东亚棱子芹
'dou'ban'lv 豆瓣绿
'du'can 毒参
'du'huo 独活
'du'qin 毒芹
'du'song 杜松
'duan'bao'jin'huang'chai'hu 短苞金黄柴胡
'duan'bing'a'wei 短柄阿魏
'duan'bing'hu'jiao 短柄胡椒
'duan'bing'wu'jia 短柄五加
'duan'fu'shui'qin 短辐水芹
'duan'geng'da'can 短梗大参
'duan'geng'huang'san'feng 短梗幌伞枫
'duan'geng'liu'ye'cai 短梗柳叶菜
'duan'geng'luo'san 短梗罗伞
'duan'guo'ci'zao 短果茨藻
'duan'guo'hui'qin 短果茴芹
'duan'jing'gu'dang'gui 短茎古当归
'duan'mao'du'huo 短毛独活
'duan'mao'wu'jia 短毛五加
'duan'san'da'ye'chai'hu 短伞大叶柴胡
'duan'si'jiao'ling 短四角菱
'duan'xu'e'zhang'chai 短序鹅掌柴
'duan'xu'hei'san'leng 短序黑三棱
'duan'xu'xiang'pu 短序香蒲
'duan'ye'du'huo 椴叶独活
'duan'ye'huang'shan 短叶黄杉
'duan'ye'liu'ye'cai 短叶柳叶菜
'duan'ye'luo'han'song 短叶罗汉松
'duan'ye'sui'hua'shan 短叶穗花杉
'duan'zhu'hui'qin 短柱茴芹
'duan'zhu'shu'can 短柱树参
'dun'chi'qing'jia'ye 钝齿青荚叶
'dun'ji'yan'zi'cai 钝脊眼子菜
'dun'ye'du'huo 钝叶独活
'dun'ye'ju'cao 钝叶沮草
'dun'ye'yan'zi'cai 钝叶眼子菜
'duo'he'e'zhang'chai 多核鹅掌柴
'duo'hua'lai'mu 多花梾木
'duo'kong'ci'zao 多孔茨藻
'duo'mai'e'zhang'chai 多脉鹅掌柴
'duo'mai'hu'jiao 多脉胡椒
'duo'mai'liu'ye'cai 多脉柳叶菜
'duo'mai'si'zhao'hua 多脉四照花
'duo'qi'su'tie 多歧苏铁
'duo'rui'mu 多蕊木
'duo'san'a'wei 多伞阿魏
'duo'san'bei'chai'hu 多伞北柴胡
'duo'shi'a'wei 多石阿魏
'duo'shi'ba'jiao'jin'pan 多室八角金盘
'duo'sui'jin'su'lan 多穗金粟兰
'duo'ye'e'zhang'chai 多叶鹅掌柴
'duo'zhi'chai'hu 多枝柴胡
'duo'zhi'liu'ye'cai 多枝柳叶菜
'e'can 峨参
'e'mei'qing'jia'ye 峨眉青荚叶
'e'mei'si'zhao'hua 峨眉四照花
'e'mei'tao'ye'shan'hu 峨眉桃叶珊瑚
'e'xi'qian'hu 鄂西前胡
'e'xi'tian'hu'sui 鄂西天胡荽
'e'zhang'chai 鹅掌柴
'e'zhang'teng 鹅掌藤
'er'bai'yang 二白杨
'er'jiao'da'bing'ling 二角大柄菱
'er'se'leng'zi'qin 二色棱子芹
'er'yao'zao 二药藻
'fan'jing'leng'shan 梵净冷杉
'fang'feng 防风
'fang'xiang'leng'zi'qin 芳香棱子芹
'fang'zhi'bai 方枝柏
'fei'dao'shan'lin'tou 菲岛山林投
'fei'pu'cao 飞瀑草
'fei'shu 榧树
'fen'bei'e'zhang'chai 粉背鹅掌柴
'fen'bei'yu'ye'can 粉背羽叶参
'fen'cha'lu'dou 分叉露兜
'fen'hua'yue'jian'cao 粉花月见草
'fen'zhi'shan'ye'zao 分枝杉叶藻
'feng'teng 风藤
'fu'can 福参
'fu'jian'bai 福建柏
'fu'jian'e'zhang'chai 福建鹅掌柴
'fu'kang'a'wei 阜康阿魏
'fu'mao'hu'jiao 复毛胡椒
'fu'xiong 抚芎
'fu'ye'yan'zi'cai 浮叶眼子菜
'gan'su'du'huo 甘肃独活
'gan'su'tu'dang'gui 甘肃土当归
'gan'xiang'bai 干香柏
'gang'mao'bai'jin 刚毛白筋
'gang'mao'wu'jia 刚毛五加
'gang'song 刚松
'gao'ben 藁本
'gao'da'hui'ye'lai'mu 高大灰叶梾木
'gao'e'zhang'chai 高鹅掌柴
'gao'han'lu'zhu'cao 高寒露珠草
'gao'shan'bai 高山柏
'gao'shan'lai'mu 高山梾木
'gao'shan'lu'zhu'cao 高山露珠草
'gao'shan'san'jian'shan 高山三尖杉
'gao'shan'si'ban'qin 高山丝瓣芹
'gao'shan'song 高山松
'gao'xiong'ci'zao 高雄茨藻
'gao'yuan'lu'zhu'cao 高原露珠草
'ge'ling 格菱
'ge'lv'zi 葛缕子
'ge'shan'xiang 隔山香
'ge'ye'hui'qin 革叶茴芹
'gong'bu'hong'shan 贡布红杉
'gong'jiao'ling 弓角菱
'gong'shan'san'jian'shan 贡山三尖杉
'gu'liao 谷蓼
'gu'ling'dong'e'qin 牯岭东俄芹
'gu'sheng'hui'qin 谷生茴芹
'gu'yuan'dang'gui 骨缘当归
'guai'qin 拐芹
'guan'ling 冠菱
'guan'zhuang'mai'ma'teng 灌状买麻藤
'guang'dong'su'tie 广东苏铁
'guang'guo'da'ban'qin 光果大瓣芹
'guang'guo'rou'mao'yang 光果柔毛杨
'guang'hua'liu'ye'cai 光滑柳叶菜
'guang'hua'nang'ban'qin 光滑囊瓣芹
'guang'jing'hu'jiao 光茎胡椒
'guang'pi'dong'gua'yang 光皮冬瓜杨
'guang'pi'lai'mu 光皮梾木
'guang'pi'yin'bai'yang 光皮银白杨
'guang'xi'e'zhang'chai 广西鹅掌柴
'guang'xi'luo'san 广西罗伞
'guang'xi'shu'can 广西树参
'guang'ye'ao'mai'e'zhang'chai 光叶凹脉鹅掌柴
'guang'ye'yan'zi'cai 光叶眼子菜
'guang'zi'liu'ye'cai 光籽柳叶菜
'ha'qing'yang 哈青杨
'hai'an'song 海岸松
'hai'bian'yue'jian'cao 海边月见草
'hai'jiu'cai 海韭菜
'hai'nan'cao'shan'hu 海南草珊瑚
'hai'nan'cu'fei 海南粗榧
'hai'nan'e'zhang'chai 海南鹅掌柴
'hai'nan'luo'han'song 海南罗汉松
'hai'nan'mai'ma'teng 海南买麻藤
'hai'nan'shu'can 海南树参
'hai'nan'su'tie 海南苏铁
'hai'nan'wu'zhen'song 海南五针松
'hai'nan'you'shan 海南油杉
'hai'tang'ye'lai'mu 海棠叶梾木
'han'bai'yang 汉白杨
'han'qin 旱芹
'hang'bai'zhi 杭白芷
'he'bei'yang 河北杨
'he'chi'hu'jiao 河池胡椒
'he'huan'liu'ye'cai 合欢柳叶菜
'he'mao'si'zhao'hua 褐毛四照花
'he'xi'a'wei 河西阿魏
'he'ye'yan'zi'cai 禾叶眼子菜
'hei'guo'tu'dang'gui 黑果土当归
'hei'long'jiang'yang 黑龙江杨
'hei'mao'si'zhao'hua 黑毛四照花
'hei'pi'you'song 黑皮油松
'hei'san'leng 黑三棱
'hei'shui'dang'gui 黑水当归
'hei'shui'yan'hui'xiang 黑水岩茴香
'hei'song 黑松
'hei'xian'wei'xia'hai'zao 黑纤维虾海藻
'hei'yang 黑杨
'hong'dou'shan 红豆杉
'hong'gui 红桧
'hong'guo'hu'jiao 红果胡椒
'hong'he'e'zhang'chai 红河鹅掌柴
'hong'hua'e'zhang'chai 红花鹅掌柴
'hong'liang'zi 红椋子
'hong'mao'wu'jia 红毛五加
'hong'pi'yun'shan 红皮云杉
'hong'rui'mu 红瑞木
'hong'shan 红杉
'hong'song 红松
'hong'xi'gao'shan'bai 洪溪高山柏
'hong'xian'wei'xia'hai'zao 红纤维虾海藻
'hou'pi'ha'qing'yang 厚皮哈青杨
'hou'ye'luo'san 厚叶罗伞
'hu'bei'cong'mu 湖北葱木
'hu'bei'dang'gui 湖北当归
'hu'bei'jin'su'lan 湖北金粟兰
'hu'bei'yan'zi'cai 湖北眼子菜
'hu'ci'cong'mu 虎刺葱木
'hu'jiao 胡椒
'hu'lu'su'tie 葫芦苏铁
'hu'luo'bo 胡萝卜
'hu'wei'zao 狐尾藻
'hua'bei'luo'ye'song 华北落叶松
'hua'bei'qian'hu 华北前胡
'hua'can 华参
'hua'huang'san'feng 华幌伞枫
'hua'nan'hu'jiao 华南胡椒
'hua'nan'jin'su'lan 华南金粟兰
'hua'nan'lai'mu 华南梾木
'hua'nan'wu'zhen'song 华南五针松
'hua'qi'song 花旗松
'hua'ren'shen'mu 华人参木
'hua'shan'song 华山松
'hua'xi'qian'hu 华西前胡
'hua'xi'si'zhao'hua 华西四照花
'hua'ye'lou 华叶蒌
'hua'ye'qing'mu 花叶青木
'hua'zhong'qian'hu 华中前胡
'huan'fu'si'ban'qin 环辐丝瓣芹
'huang'di'a'wei 荒地阿魏
'huang'guo'leng'shan 黄果冷杉
'huang'guo'yun'shan 黄果云杉
'huang'he'mao'lai'mu 黄褐毛梾木
'huang'hua'hu'jiao 黄花胡椒
'huang'hua'luo'ye'song 黄花落叶松
'huang'hua'shui'long 黄花水龙
'huang'hua'xiao'er'xian'cao 黄花小二仙草
'huang'hua'yue'jian'cao 黄花月见草
'huang'mao'cong'mu 黄毛葱木
'huang'mao'qu'ban'lai'mu 黄毛曲瓣梾木
'huang'san'feng 幌伞枫
'huang'shan 黄杉
'huang'shan'xiu'mao'wu'ye'can 黄山锈毛五叶参
'huang'zhi'you'shan 黄枝油杉
'hui'bei'yang 灰背杨
'hui'gan'su'tie 灰干苏铁
'hui'mao'yan'feng 灰毛岩风
'hui'qin 茴芹
'hui'se'a'wei 灰色阿魏
'hui'se'qing'jia'ye 灰色青荚叶
'hui'xiang 茴香
'hui'ye'hui'qin 灰叶茴芹
'hui'ye'lai'mu 灰叶梾木
'hui'zi'leng'zi'qin 灰资棱子芹
'huo'ju'song 火炬松
'ji'cai 蕺菜
'ji'guan'leng'zi'qin 鸡冠棱子芹
'ji'guan'yan'zi'cai 鸡冠眼子菜
'ji'guo'shu'can 挤果树参
'ji'jian'chang'bao'leng'shan 急尖长苞冷杉
'ji'jian'ye'hong'he'e'zhang'chai 急尖叶红河鹅掌柴
'ji'jing'cong'mu 棘茎葱木
'ji'long'dang'gui 基隆当归
'ji'long'gao'ben 吉隆藁本
'ji'long'yuan'mao'yang 吉隆缘毛杨
'ji'mao'song 鸡毛松
'ji'nan'yan'feng 济南岩风
'ji'sheng'wu'ye'can 寄生五叶参
'ji'yi 及已
'jia'bao'nang'ban'qin 假苞囊瓣芹
'jia'bi'ba 假荜拔
'jia'bing'zhang'ye'shu 假柄掌叶树
'jia'fan'lv 假繁缕
'jia'le'bi'song 加勒比松
'jia'liu'ye'cai 假柳叶菜
'jia'ren'shen 假人参
'jia'tong'cao 假通草
'jia'zhou'bai'mu 加州柏木
'jian'ban'qin 尖瓣芹
'jian'ban'yi'ye'hui'qin 尖瓣异叶茴芹
'jian'bao'luo'san 尖苞罗伞
'jian'ge'bai'mu 剑阁柏木
'jian'she'chuang 碱蛇床
'jian'ye'luo'san 尖叶罗伞
'jian'ye'si'zhao'hua 尖叶四照花
'jian'ye'wu'pi'qing 尖叶五匹青
'jian'ye'yan'zi'cai 尖叶眼子菜
'jiang'nan'you'shan 江南油杉
'jiang'xi'he'mao'si'zhao'hua 江西褐毛四照花
'jiang'xi'nang'ban'qin 江西囊瓣芹
'jiang'zhuang'san'qi 姜状三七
'jiao'guo'hu'jiao 角果胡椒
'jiao'ye'qiao'bing'mu 角叶鞘柄木
'jie'ye'mao'bai'yang 截叶毛白杨
'jin'bing'yang 堇柄杨
'jin'huang'chai'hu 金黄柴胡
'jin'ping'e'zhang'chai 金平鹅掌柴
'jin'qian'song 金钱松
'jin'se'yuan'mao'yang 金色缘毛杨
'jin'shan'dang'gui 金山当归
'jin'song 金松
'jin'su'lan 金粟兰
'jin'yun'si'zhao'hua 缙云四照花
'jing'dong'hui'qin 景东茴芹
'jing'hong'hu'jiao 景洪胡椒
'jiu'long'shan'fei'shu 九龙山榧树
'ju'bai 巨柏
'ju'bian'hui'qin 锯边茴芹
'ju'e'hui'qin 具萼茴芹
'ju'jing'da'ye'zao 具茎大叶藻
'ju'lin'tie'shan 矩鳞铁杉
'ju'lin'you'shan 矩鳞油杉
'ju'shan 巨杉
'ju'ye'bian'dou'cai 锯叶变豆菜
'ju'zi'mai'ma'teng 巨子买麻藤
'juan'mao'lai'mu 卷毛梾木
'juan'mao'sha'lai 卷毛沙梾
'ka'shi'fang'zhi'bai 喀什方枝柏
'ka'xi'song 卡西松
'kang'ding'lai'mu 康定梾木
'kang'ding'wu'jia 康定五加
'kang'ding'yang 康定杨
'kang'ding'yun'shan 康定云杉
'ke'er'qin'yang 科尔沁杨
'ke'la'hua 克拉花
'kong'leng'qin 空棱芹
'ku'yang 苦杨
'kuai'jing'qin 块茎芹
'kuan'ye'cu'fei 宽叶粗榧
'kuan'ye'da'ye'zao 宽叶大叶藻
'kuan'ye'du'qin 宽叶毒芹
'kuan'ye'jin'su'lan 宽叶金粟兰
'kuan'ye'liu'lan 宽叶柳兰
'kuan'ye'liu'ye'qin 宽叶柳叶芹
'kuan'ye'qiang'huo 宽叶羌活
'kuan'ye'qing'yang 宽叶青杨
'kuan'ye'san'xue'qin 宽叶散血芹
'kuan'ye'shi'fang'feng 宽叶石防风
'kuan'ye'shuan'guo'qin 宽叶栓果芹
'kuan'ye'su'tie 宽叶苏铁
'kuan'ye'xiang'pu 宽叶香蒲
'kuan'ye'xiao'ye'yang 宽叶小叶杨
'kuan'ye'yang'jiao'qin 宽叶羊角芹
'kun'lun'duo'zi'bai 昆仑多子柏
'kun'lun'fang'zhi'bai 昆仑方枝柏
'kun'ming'bai 昆明柏
'kuo'guo'shan'tao'cao 阔果山桃草
'kuo'qiao'xiao'qin 阔鞘小芹
'kuo'ye'shu'wu'jia 阔叶蜀五加
'kuo'ye'yang 阔叶杨
'kuo'zhu'liu'ye'cai 阔柱柳叶菜
'la'sa'hou'leng'qin 拉萨厚棱芹
'lai'mu 梾木
'lan'cang'cong'mu 澜沧葱木
'lan'cang'huang'shan 澜沧黄杉
'lan'lv'a'wei 榄绿阿魏
'lan'yu'feng'teng 兰屿风藤
'lan'yu'jia 兰屿加
'lan'yu'jiao'cao 兰屿椒草
'lan'yu'luo'han'song 兰屿罗汉松
'lan'zhou'yan'feng 兰州岩风
'le'gu'zi 簕古子
'leng'guo'ci'tong'cao 棱果刺通草
'leng'shan 冷杉
'leng'zi'qin 棱子芹
'li'hai'a'wei 里海阿魏
'li'jiang'du'huo 丽江独活
'li'jiang'leng'zi'qin 丽江棱子芹
'li'jiang'ma'huang 丽江麻黄
'li'jiang'tie'shan 丽江铁杉
'li'jiang'yun'shan 丽江云杉
'li'tang'gao'ben 理塘藁本
'li'xian'lai'mu 理县梾木
'li'ye'luo'san 栎叶罗伞
'li'zhu'e'zhang'chai 离柱鹅掌柴
'li'zhu'wu'jia 离柱五加
'liang'guang'shu'can 两广树参
'liang'qi'wu'jia 两歧五加
'liang'she'chuang 亮蛇床
'liang'sheng'lai'mu 凉生梾木
'liang'ye'huang'san'feng 亮叶幌伞枫
'liao'dong'cong'mu 辽东葱木
'liao'dong'xiao'ye'yang 辽东小叶杨
'liao'gao'ben 辽藁本
'liao'ji'hui'qin 辽冀茴芹
'liao'yang 辽杨
'liao'ye'yan'zi'cai 蓼叶眼子菜
'lie'bao'liu'guo'qin 裂苞瘤果芹
'lie'lin'yun'shan 裂鳞云杉
'lie'ye'du'huo 裂叶独活
'lie'ye'tian'hu'sui 裂叶天胡荽
'lie'ye'yue'jian'cao 裂叶月见草
'lin'dang'gui 林当归
'lin'di'qian'hu 林地前胡
'lin'gen'liu'ye'cai 鳞根柳叶菜
'lin'pi'leng'shan 鳞皮冷杉
'lin'pian'liu'ye'cai 鳞片柳叶菜
'lin'tou 林投
'lin'zhi'yun'shan 林芝云杉
'ling'shui'hu'jiao 陵水胡椒
'ling'ye'hui'qin 菱叶茴芹
'liu'guo'bian'dou'cai 瘤果变豆菜
'liu'guo'hu'wei'zao 瘤果狐尾藻
'liu'lan 柳兰
'liu'shan 柳杉
'liu'ye'cai 柳叶菜
'liu'ye'qin 柳叶芹
'long'yan'du'huo 龙眼独活
'lou'ye 蒌叶
'lu'dou'cao 露兜草
'lu'dou'shu 露兜树
'lu'jun'song 陆均松
'lu'xi'chai'hu 泸西柴胡
'lu'zhu'cao 露珠草
'luan'e'bian'dou'cai 卵萼变豆菜
