'a'ke'li'di'shu'chong 阿克里地树虫
'di'da'zhu'ru 滴答侏儒
'di'jia'xin'tu 狄迦信徒
'di'ku'ha'pi 地窟哈痞
'di'lie 地裂
'di'rui'qi 迪锐奇
'di'xue'tong 地穴通
'di'yu'chuang'sheng 地狱创生
'dian'bo'ren'yu 颠簸人鱼
'ding'huo'zhi'wu 鼎镬之舞
'ding'wei'long'shou 钉尾龙兽
'ding'wei'you'chu 钉尾幼雏
'dong'li'ji'zhi 动力基质
'dong'li'kai'jia 动力铠甲
'dong'li'shi'lei'qu 动力石雷区
'du'qi 毒契
'duan'dai'she 缎带蛇
'duan'hun'shu 断魂术
'dun'shi'lao'yao 遁世老妖
'duo'hun'pan'xing 夺魂叛行
'duo'jiang'chi'hou 缍降斥候
'duo'luo'zhe'wa'la'si 堕落者瓦拉司
'duo'yuan'hua'de'kao'shang 多元化的犒赏
'e'zhe'bu'xi 恶者不息
'fa'mu'sha'de'shou 伐木沙德兽
'fa'pao'dui'fei 发泡堆肥
'fa'shu'li'bo 法术力钵
'fa'shu'li'mi'zhen 法术力迷阵
'fa'yu'mei'zhi'mian'ju 法与美之面具
'fan'bu'li'de 番怖里德
'fan'cuo 反挫
'fan'er'xi'nuo 凡尔西诺
'fan'er'xi'nuo'gou'shou 凡尔西诺勾手
'fan'ge'xi'yi 凡格蜥蜴
'fan'ji'zhou'yu 反击咒语
'fan'kang'jun 反抗军
'fan'kang'jun'gao'mi'zhe 反抗军告密者
'fan'se'bao'hu 反色保护
'fan'xiang 返响
'fan'xing'luo'pan 繁星罗盘
'fang'suo'lan'sheng'fu'ting 仿索蓝升浮艇
'fang'suo'lan'shi'bing 仿索蓝士兵
'fei'hong'shi'seng 绯红侍僧
'fei'kong'qi'jian'lue'duo'zhe'hao 飞空旗舰掠夺者号
'fei'niao'tou'sha 飞鸟头纱
'fei'rui'ke'xi'ya 非瑞克西亚
'fei'rui'ke'xi'ya'chu'li'ji 非瑞克西亚处理机
'fei'rui'ke'xi'ya'dou'ji'chang 非瑞克西亚斗技场
'fei'rui'ke'xi'ya'dun'jia'dui 非瑞克西亚盾甲队
'fei'rui'ke'xi'ya'ju'gang'shou 非瑞克西亚巨罡兽
'fei'rui'ke'xi'ya'ju'xiang 非瑞克西亚巨像
'fei'rui'ke'xi'ya'jue'mie'shou 非瑞克西亚绝灭兽
'fei'rui'ke'xi'ya'kao'jue'guai 非瑞克西亚考掘怪
'fei'rui'ke'xi'ya'shen'tou'zhe 非瑞克西亚渗透者
'fei'rui'ke'xi'ya'shi'bao'xing 非瑞克西亚式暴行
'fei'rui'ke'xi'ya'xue'chu 非瑞克西亚血畜
'fei'rui'ke'xi'ya'yi'bing'wang 非瑞克西亚疫病王
'fei'rui'ke'xi'ya'you'lue'zhe 非瑞克西亚游掠者
'fei'rui'ke'xi'ya'zhan'sha'shou 非瑞克西亚斩杀手
'fei'rui'ke'xi'ya'zhan'ying 非瑞克西亚战蝇
'fei'shi'huan'xiang 飞逝幻象
'fei'xing'yi'neng 飞行异能
'fen'hun 焚魂
'fen'mie'long'wang'da'li'jia 焚灭龙王达里迦
'feng'gou 疯狗
'fu'chou'zhan'shi 腐臭战士
'fu'hua 腐化
'fu'hua'de'er'tai 腐化的尔泰
'fu'ji'mo 伏击魔
'fu'ji'shou 负极兽
'fu'rang'chui'shi 附禳垂饰
'fu'rou'qiang 腐肉墙
'fu'sheng'gong'qi 腐生共棲
'fu'sheng'ji'chang 腐生激长
'fu'sheng'man'yan 腐生蔓延
'fu'sheng'qun'luo 腐生群落
'fu'te'li'ya'cui'mian'shu'shi 伏特里亚催眠术士
'fu'wen 符文
'fu'yan 覆盐
'fu'zhao'can'ji 腐沼残迹
'fu'zhao'hao'long 腐沼嚎龙
'fu'zhao'jian'xi'sheng 腐沼见习生
'fu'zhao'tu'ji'dui 腐沼突击队
'gai'mei'la 盖美拉
'gai'ya 盖亚
'gai'ya'kong'min 盖亚空民
'gai'ya'zhi'zi 盖亚之子
'gang'kou'xun'jian'guan 港口巡检官
'gao'han'ju'ling 高罕巨灵
'ge'li'er'zhi'fu 格立尔之抚
'ge'li'na'nv'huang 格里娜女皇
'ge'ming'jia'ke'man'nuo 革命家柯曼诺
'gen'cong'ge'lei'guo 根丛葛雷虢
'gen'tan'tu'ji'bing 根潭突击兵
'gong'sheng'gong'cun 共生共存
'gou'ji'shou 钩棘兽
'gu'ling'jing'guai 古灵精怪
'gu'ma 谷玛
'gu'zhang'qing'wa 鼓胀青蛙
'gu'zuo'qian'cheng 故作虔诚
'gua'rou'shou 剐肉兽
'guan'mu'kui'lei 棺木傀儡
'guan'xiong'gu 观熊谷
'gui'guai'zong'du'si'kui 鬼怪总督斯奎
'gui'sui'tong'yao 鬼祟童妖
'gun'tang'tong'jiang 滚烫铜浆
'hai'an'hong'zhao'niao 海岸鸿爪鸟
'hai'bei'ke'fu'diao 海贝壳浮雕
'hai'lie'zhe 海猎者
'hai'long 骸龙
'hai'sheng'shi'ni'shou 海生史尼兽
'han'ran'she'qi 悍然舍弃
'he'jin'mo'xiang 合金魔像
'he'lan'ju'ling 赫岚巨灵
'he'tun'jing'cui 河豚精粹
'hei'an'ji'li 黑暗祭礼
'hei'an'you'chu 黑暗幼雏
'hei'liu'shi'zhi 黑榴石蛭
'hei'tan'shu'yao 黑檀树妖
'heng'zhi 横置
'heng'zu 横阻
'hong'bao'shi'zhi 红宝石蛭
'hong'cai'tian'shi 虹彩天使
'hong'guang'long'shou 虹光龙兽
'hou'kan 猴槛
'hu'qian'ren 虎钳人
'hu'yan'shi'fu'diao 虎眼石浮雕
'hu'zhuang'shan'dian 弧状闪电
'hua'cuan'ju'she 滑窜巨蛇
'hua'yun 滑云
'hua'zhi'tan 花之毯
'huan'mao'ha'pi 换毛哈痞
'huan'meng'liao'niao 幻梦鹩鸟
'huan'nu'jing'ju'shou 豢奴惊惧兽
'huan'tu 幻土
'huang'tong'shu'ji 黄铜书记
'huang'yan'beng'san 煌炎迸散
'hui'hei'ju'shi 灰黑巨石
'hui'huang'de'zan'mei'shi 辉煌的赞美诗
'hui'nong'chuang'shang 溃脓创伤
'hui'sheng'long'wang'cui'wa 回生龙王翠瓦
'hui'yu 秽雨
'hun'an'yin'hun 昏暗阴魂
'hun'mei'guai 魂魅怪
'hun'mei'shan'mao 魂魅山猫
'huo'guang'you'ling 火光幽灵
'huo'shan'di'yu'shou 火山地狱兽
'huo'shu 火束
'huo'yan'yi 火焰蚁
'ji'an'shi'ke 极黯时刻
'ji'bing'dai'yuan'ti 疾病带原体
'ji'chong'ren'yu 急冲人鱼
'ji'e'an'hun'qu 极恶安魂曲
'ji'ke'si 基克斯
'ji'liu'xie 激流蟹
'ji'sheng'lian'jie 寄生联结
'ji'ti'qian'yi'shi 集体潜意识
'ji'tu'zhan'hao 基图战嚎
'ji'tu'zhi'huo 基图之火
'ji'zhui'qiang'zhi 脊椎强殖
'jian'chi'ni'suo'ba 剑齿尼索巴
'jian'chi'yi 剑齿蚁
'jian'min 贱民
'jian'qiang'han'dong 渐强撼动
'jian'sheng'mo'ge 尖声莫葛
'jian'shi 检视
'jiang'ling'hua'fu 将领华服
'jiao'lie'bao 角猎豹
'jie'jie 结界
'jie'la'er'de 杰拉尔德
'jie'la'er'de'ka'pa'xuan 杰拉尔德卡帕轩
'jie'la'pa'niu'tou'guai 杰拉帕牛头怪
'jin'huo'guai'ying 烬火怪影
'jin'lin'long'shou 金鳞龙兽
'jing'hua'shen'lou 精华渗漏
'jing'hua'zhi'jian'yin 净化之缄印
'jing'hui'ji 镜回击
'jing'jing'yuan 荊景院
'jing'ju'shou 惊惧兽
'jing'ling'jun'tuan'bing 精灵军团兵
'jing'mu'lin'shu'yao 镜木林树妖
'jing'qi 惊起
'jing'wu 静物
'jing'ying'jian'shou 菁英箭手
'jiu'jie'lan'xian 纠结缆线
'ju'fou'zhi'feng 拒否之风
'ju'mo'jiao'fu'diao 巨魔角浮雕
'ju'xue'pa'chong 巨穴爬虫
'ju'zhuang'shan'dian 锯状闪电
'jue'hao'zhan'ma 掘壕战马
'ka'en 卡恩
'ka'fu 卡甫
'ka'luo'si'dong'ku 喀洛斯洞窟
'ka'ma'er 卡马尔
'ka'pa'xuan 卡帕轩
'ka'pa'xuan'du'jiao'shou 卡帕轩独角兽
'ka'pa'xuan'hui'zhang 卡帕轩徽章
'ka'te'lan 卡特蓝
'kai'er'dun 凯尔顿
'kai'er'dun'gu'ling'qin 凯尔顿古陵寝
'kai'er'dun'lu'xing'jian 凯尔顿陆行舰
'kai'er'dun'shao'yi'dui 凯尔顿烧夷队
'kai'er'dun'zong'du'jun'la'tu'na 凯尔顿总督军拉图那
'kai'er'dun'zong'huo'kuang 凯尔顿纵火狂
'kai'ren'hua'xiang'yi 凯壬滑翔翼
'kan'ji'de'men'tu 坎吉的门徒
'kao'jia'ren 拷架人
'ke'er'lin 柯尔林
'ke'er'lin'lian'jin'shu'shi 柯尔林练金术士
'ke'hou'e'mo 咳吼恶魔
'ke'hou'wu'shi 咳吼巫师
'ke'li'si'dao'fa'shi 克利斯刀法师
'ke'luo'ma'te 克罗玛特
'ke'luo'sa 克洛萨
'ke'luo'sa'bao'hu'zhe'xi'teng 克洛萨保护者熙藤
'ke'man'nuo'de'zhu'fu 柯曼诺的祝福
'ke'sa 克撒
'ke'sa'chuan 克撒传
'ke'sa'de'fu'yu'she'bei 克撒的抚育设备
'ke'sa'de'lv'se'jing 克撒的滤色鏡
'ke'sa'zhi'jiu 克撒之疚
'ke'sa'zhi'kai 克撒之铠
'ke'sa'zhi'nu 克撒之怒
'ke'zhou'ban'ren'ma 克咒半人马
'ke'zu'sheng'quan 柯族圣泉
'kong'fu'gou'qun 空腹狗群
'kong'zhong'shang'dui 空中商队
'kou'luo 口络
'kou'zu'bi'hu'di 寇族庇护地
'ku'xing'lun 酷刑轮
'kuang'geng'luan'yun 狂耕乱耘
'kuang'luan'yin'zhe 狂乱隐者
'kuang're'she'shen 狂热舍身
'kuang'sou'luan'xun 狂搜乱寻
'kui'lan'hua'nong 溃烂化脓
'kui'li'en'shao'bing 奎利恩哨兵
'kui'li'en'shu'ling 奎利恩树灵
'la'gao'ye'fu 拉高耶夫
'la'ji'lue'ji'shou 垃圾掠集兽
'la'ka'xin'tu 拉卡信徒
'la'tu'na'jun'ling 拉图那军令
'lan'bao'shi'zhi 蓝宝石蛭
'lan'ji 拦击
'lan'jing'yuan 岚景院
'lao'lian'xuan'hua'bing 老练喧哗兵
'lei'di'an 蕾荻安
'lei'dong'ju'ren 雷动巨人
'lei'jing'yuan 雷景院
'lei'wen'zhi'zhu 肋纹蜘蛛
'lei'yu 泪雨
'li'liang'zhi'jian'yin 力量之缄印
'li'mai 犁埋
'li'ming'bu'zhe 黎明步者
'li'ming'shi'zhe'lei'ya 黎明使者蕾亚
'li'shi'fei 砾食非
'li'xia'da'fei'dao 力夏达飞盗
'li'xia'da'gang 力夏达港
'lian'hua'cong 莲花丛
'lian'jia 连枷
'lian'jia'yi'shi 连枷翼狮
'lian'shuan'shi'jiu 炼栓狮鹫
'liang'guang'yi 亮光翼
'liang'mo'da'pao 粮秣大炮
'liao'ji'shen'yi 疗疾神医
'lie'chang'kan'shou'ren 猎场看守人
'lie'lin'shou 裂林兽
'lie'yan'shu 烈焰术
'lin'xi'hao'long 林隙嚎龙
'ling'di'zeng'sheng'qi 领地增生器
'ling'diao'shi 灵雕师
'ling'hang'yuan'ha'na 领航员哈娜
'ling'hun'sheng'yan 灵魂盛宴
'ling'li'kong'long 鲮鲤恐龙
'ling'qi'lie 灵气裂
'ling'qi'qie'ying 灵气窃影
'ling'qi'xie'lie 灵气泄裂
'ling'yong'hua 灵俑化
'liu'jing'dao'shi 琉晶导师
'liu'jing'yan'jiu 琉晶研究
'liu'zu'bao'hou 六足豹后
'long'kui'qi'xi 龙葵气息
'long'kui'yu'yan'shi 龙葵预言师
'long'shou'du'fu'diao 龙兽髑浮雕
'long'shou'you'chu 龙兽幼雏
'lu'xing'ju'ling 鲁杏巨灵
'lue'jie'qi'shi 掠劫骑士
'lue'qu 掠取
'lun'geng'fa 轮耕法
'luo'fei'luo'si'de'xian'li 洛菲罗斯的献礼
'luo'ke'xi'long 罗克犀龙
'luo'ta'mao'tou'ying 螺塔猫头鹰
'luo'yan'mi'shi'luo'fei'luo'si 罗堰密使洛菲罗斯
'luo'yan'qi'bing 罗堰骑兵
'luo'yan'wang'zhe 罗堰亡者
'lv'fa'shi'de'en'hui 旅法师的恩惠
'ma'ji'ta'de'en'ze 马基塔的恩泽
'ma'kai'di'an'shi'ji 玛凯迪安市集
'ma'kai'di'ya 玛凯迪亚
'ma'luo'shu'shi'mo'li'mo 玛洛术士莫黎墨
'ma'luo'shu'shi'mu'ta'ni 马洛术士穆塔尼
'ma'ni'gu'si'shu'yao 马尼古斯树妖
'ma'ti'xie 马蹄蟹
'man'ge'ya'long 曼格亚龙
'man'you'gui'yan 漫游鬼眼
'mang'xian'zhi 盲先知
'mei'ding 没顶
'mei'shan'shi'zhe 美善使者
'mei'zha'qi'xi 煤渣气息
'mei'zha'yu'yan'shi 煤渣预言师
'men'ran'huo'shan'kou 闷燃火山口
'men'shao'jiao'you 闷烧焦油
'meng'e'fei'ji 猛恶肺疾
'mi'si'la 米斯拉
'mi'si'la'de'luo'xuan'zhu 米斯拉的螺旋柱
'min'ta'la'bie 敏塔拉鳖
'min'ta'la'xiang 敏塔拉象
'ming'fu'jing'ling 冥府精灵
'ming'mie'bu'ding 明灭不定
'ming'sheng'shi'xian 明圣示现
'ming'yin 铭印
'mo'chu 抹除
'mo'fa'li'chi 魔法力池
'mo'fa'li'mi'chu 魔法力密储
'mo'li'xiao'jing 魔力小径
'mo'li'yu'yan'shi 茉莉预言师
'mo'xiang 魔像
'mu'huo 墓火
'mu'se'hu'sheng 暮色呼声
'mu'ta'ni'de'cai'jue 穆塔尼的裁决
'mu'ta'ni'de'shi'seng 穆塔尼的侍僧
'mu'xuan 目眩
'mu'xue'fu'shi 墓穴匐尸
'na'ka'ya'yin'hun 那卡亚阴魂
'nao'li'ji'dang 脑力激荡
'nao'ye'qie'chu 脑叶切除
'neng'liang'xiao'chen 能量消沉
'neng'liang'xie'lie 能量泄裂
'ni'xing'gong'lu 匿形公鹿
'ni'xing'shou'qun 匿形兽群
'nian'ning'ka'fu 黏泞卡甫
'nie'kua'xin'tu 涅夸信徒
'niu'du'yun'mi'shi 纽杜云密使
'niu'qu'hang'ji 扭曲航迹
'niu'tou'guai'huan'shu'shi 牛头怪幻术师
'nong'qu 农渠
'nu'huo'zhi'pao 怒火之袍
'nuan'liu'hua'xiang'yi 暖流滑翔翼
'nv'wu'yin'qing 女巫引擎
'ou'ge 欧葛
'ou'la'ke'xie 欧拉克蟹
'ou'lin 欧琳
'ou'lin'de'yin'song 欧琳的吟颂
'ou'ta'li'ya 欧塔利亚
'pa'di'ka 帕笛卡
'pa'di'ke 帕笛可
'pai'biao 牌表
'pai'ju 排拒
'pan'gen'lao'long 盘根牢笼
'pan'juan'ya'long 盘卷亚龙
'pan'zhuo'ou'long'shou 潘卓欧龙兽
'pen'xi'sen'lin'xi'niu 喷息森林犀牛
'pen'yan'jia 喷炎荚
'pen'yan'ku'li'shou 喷炎苦力兽
'pen'yan'tai'tan 喷炎泰坦
'pen'yan'you'shou 喷炎幼兽
'pen'ye'zhi'zhu 喷液蜘蛛
'piao'you'ju'ling 漂游巨灵
'po'lang'er'chu 破浪而出
'pu'ji'lie'bao 扑击猎豹
'qi'bao 气爆
'qi'yue'ju'ling 契约巨灵
'qian'cang'mi'tan 潜藏密探
'qian'jiao'zhi'zhu 钳脚蜘蛛
'qian'jing'qi'dao'wen 虔敬祈祷文
'qian'xin'de'shu'qin'shi 潜心的竖琴师
'qian'xing'fan'pai'er 潜行凡派尔
'qiang'bi'ci'ke 强臂刺客
'qiang'sha 戕杀
'qiang'xing'jun 强行军
'qiao'bi'xi 峭壁蜥
'qie'que 窃鹊
'qie'shi 窃尸
'qie'ti'zhe 窃体者
'qing'cong'yuan'ye 青葱原野
'qing'kong'hao'fei'chuan 晴空号飞船
'qing'miao'xian'ling 晴苗仙灵
'qiu'lei'er'de'en'chong 裘蕾尔的恩宠
'qu'you'nian'zhu 去忧念珠
'qun'hun'kuang'huan 群魂狂欢
'qun'xiang'fu'sheng 群象复生
'rao'zhou'fa'shi 扰咒法师
'ren'jiang 人浆
'rong'hui 熔毁
'rong'jin'mao 熔烬猫
'rong'rong'wei'neng 熔融威能
'rong'yan'ben'yue'zhe 熔岩奔越者
'rong'yan'fu 熔岩斧
'rong'zhu'duo'tou'long 镕铸多头龙
'ru'dong'tuan'kuai 蠕动团块
'ru'xue'ju'long 茹血巨龙
'rui'chong'wu'qun 蚋虫雾群
'rui'mo'si 瑞莫斯
'rui'mo'si'jiao'dui'zhang 瑞莫斯教队长
'rui'mo'si'jiao'fei'jiang 瑞莫斯教飞将
'rui'mo'si'jiao'shi'guan 瑞莫斯教士官
'rui'mo'si'jiao'wei'guan 瑞莫斯教尉官
'rui'mo'si'jiao'zhi'hui'guan 瑞莫斯教指挥官
'rui'qi'lie'shou 锐鳍猎手
'rui'si'e'mo 瑞斯恶魔
'rui'si'wei'yan 瑞斯危沿
'rui'si'xiong'han 瑞斯凶汉
'sa'bao'de'luo'wang 萨保的罗网
'sa'bao'de'xuan'pan 萨保的宣判
'sa'bao'tu'wa'ke 萨保突瓦克
'sa'la 撒拉
'sa'la'kuang'xin'zhe 撒拉狂信者
'sa'mu'ni'da'shi'e'tuo'ya 撒姆尼大师娥托雅
'sa'mu'ni'jian'shou 撒姆尼箭手
'sa'mu'ni'sheng'liao 撒姆尼圣疗
'sa'mu'ni'sheng'yu 撒姆尼圣域
'sa'mu'ni'zhang'lao 撒姆尼长老
'sa'pa'zuo 萨帕佐
'sa'pa'zuo'po'lang'shou 萨帕佐破浪兽
'sa'pa'zuo'yan'dao 萨帕佐岩岛
'sai'fei'de 塞菲德
'sai'ta'xin'tu 塞塔信徒
'san'lie 散裂
'sha'mo'long'juan'feng 沙漠龙卷风
'sha'wu'zei 沙乌贼
'sha'yan'jian'feng 砂岩尖峰
'shan'beng'qi'bing 山崩骑兵
'shan'bian'mo'shen 善变魔神
'shan'hu'tao'zhi'lin'di 山胡桃植林地
'shan'jia 珊迦
'shan'shuo'hu'bi 闪烁护壁
'she'hao'jing'ling 奢豪精灵
'she'hun'jian'wu 慑魂尖呜
'she'keng 蛇坑
'she'kou'qiang 射口墙
'shen'bu'wu'shi 神卜巫师
'shen'lai'yi'bi 神来一笔
'shen'pan'zhi'lang'chao 审判之浪潮
'shen'qi 神器
'shen'qi'yi'bian 神器异变
'shen'shui'chan'teng 深水缠藤
'shen'tou'ying'fa'shu'shi 渗透影法术师
'shen'yu'shi'sui'yuan 神谕使随员
'sheng'ti'huo'ji 生体活祭
'sheng'xiang'lie'wu 圣祥猎物
'sheng'yu 圣域
'sheng'zhan'qi'shi 圣战骑士
'shi'di'lv 十地绿
'shi'di'shou 噬地兽
'shi'dian'chan'chu 尸殿蟾蜍
'shi'hua'hui'yan'di 湿滑灰岩地
'shi'kong'jie'jing'tong'dao 时空界境通道
'shi'kong'zhen'chi'dai 时空震痴呆
'shi'kong'zhen'lang'chao 时空震浪潮
'shi'kong'zhen'mai'bo 时空震脉波
'shi'kong'zhen'tong'dao 时空震通道
'shi'kong'zhen'yi'zhi'qi 时空震抑制器
'shi'mo'ren'ou 石磨人偶
'shi'ren'huo'yan 噬人火焰
'shi'ren'mo 食人魔
'shi'shi'gui'sheng'yan 食尸鬼盛宴
'shi'xiang'gui 石像鬼
'shi'ying'e 食鹰蛾
'shi'zhao'ba'mu'man 湿沼八目鳗
'shi'zhao'de'lu'yi'te 湿沼德鲁依特
'shi'zhou'shou 噬咒兽
'shou'ben'yu'zhe 兽奔驭者
'shou'huo'de'shi'jiu 受惑的狮鹫
'shu'ku'xia'yuan 书库辖员
'shu'shao'hu'bi 树梢护臂
'shu'yao'mi'jiao'tu 树妖密教徒
'shu'yao'you'miao 树妖幼苗
'shuai'bai'ni'rang 衰败泥壤
'shuang'tou'long 双头龙
'shui'jing'zhong'ling 水晶钟铃
'shui'long'juan'yuan'su 水龙卷元素
'shui'wei'shang'zhang 水位上涨
'si'bao 嘶爆
'si'dou'chang 死斗场
'si'ke'mo 斯克魔
'si'kui 斯奎
'si'ling'shu'shi'xue'tu 死灵术士学徒
'si'ming'quan'neng 死冥权能
'si'qi'ke 嘶气客
'si'quan'jiao'shi'tuan 丝拳教士团
'si'rou'mo 撕肉魔
'si'wang'yi'bian 死亡异变
'si'wang'zhi'jue 死亡之攫
'si'yuan'huo'ji 死渊活祭
'song'chuan'yi'dian 诵传仪典
'su'dang'long'wang'ke'luo'xi'si 肃荡龙王克罗希司
'su'di 宿敌
'su'lan'ju'ling 苏澜巨灵
'suan'tu 酸土
'sui'gu'zhe 碎骨者
'sui'shi'mo'xiang 燧石魔像
'sun'long'shou 隼龙兽
'suo'lan 索蓝
'suo'lan'zhu'zao'chang 索蓝铸造厂
'suo'lian'dao 锁链刀
'suo'lian'dao'wu 锁链刀舞
'ta'di'shou 挞地兽
'ta'lu'mu'ying'xiong'tan'ge'er'si 塔路姆英雄坦格尔斯
'tai'fei'li 泰菲力
'tai'fei'li'de'hu'cheng'he 泰菲力的护城河
'tai'gou 苔狗
'tai'ke 泰科
'tai'tan'ni'ya 泰坦尼亚
'tai'yan'luan 苔炎卵
'tan'tiao'bi'bao'jing 弹跳哔宝精
'tang'ren 螳人
'tao'la'li'ya 陶拉里亚
'tao'la'li'ya'mi'shi 陶拉里亚密使
'tao'tie'shi'chuo'shou 饕餮噬啜兽
'teng'wan'shu'ling 藤蔓树灵
'tian'en'juan'gu 天恩眷顾
'tian'guo'jian'hu'shi 天国监护使
'tian'huo'duan'kong 天火断空
'tian'jie'fu'cou 天界辐辏
'tian'shi'yan'sheng'zhan'jun 天使焰圣战军
'tian'wang'kan'jia 天王坎鴶
'tian'wei 天帷
'tian'wei'bei'xi'mo'si 天帷贝西摩斯
'tian'wei'da'mo'jiang 天威大魔将
'tian'wei'ge'wan'shou 天帷割腕兽
'tian'wei'long'bei'shou 天帷隆背兽
'tiao'yue'ji'xie'shou 跳跃机械兽
'tie'suo'zhan'shi 铁索战士
'tie'xian'mao 铁线猫
'tong'bo'tian'shi 铜箔天使
'tou'shi'qi 投尸器
'tu'di'qian'shang 土地堑伤
'tu'ji'kuang'shou 凸脊狂兽
'tu'lu'zhe'huan'yan 屠戮者欢宴
'tui'sang 颓丧
'wa'hao'ya'long 挖壕亚龙
'wai'qu'liang'ji 歪曲量计
'wan'li'ya'long 万里亚龙
'wang'liang'ya'long 罔两亚龙
'wei'chi'jie'duan 维持阶段
'wei'guang'tian'shi 微光天使
'wei'ke'zu'han'wei'zhe 维克族捍卫者
'wei'shi'xiu'xing'seng 唯实修行僧
'wei'tian'ze 违天择
'wei'xin'xiu'xing'seng 唯心修行僧
'wen'yi'pen'shou 瘟疫喷兽
'wen'zhang'mo'xiang 纹章魔像
'wu'dun'shou 舞盾手
'wu'er'bo'ge 乌尔博格
'wu'er'bo'ge'bo'xing'shou 乌尔博格跛行兽
'wu'hua 污化
'wu'ming'wang'zhe 无名亡者
'wu'ni'zhao 污泥沼
'wu'sun 污损
'wu'tuo'shu 乌托树
'wu'wei'yong'shi'lin'xi'wei 无畏勇士琳西薇
'wu'yin'ju'she 雾隐巨蛇
'xi'cao'luan 曦草卵
'xi'chao'ju'she 戏潮巨蛇
'xi'fang'shen'sheng'wu'shi 西方神圣武士
'xi'feng'fa'shi'a'lei'ke'si 西风法师阿蕾克丝
'xi'hun'suo 系魂索
'xi'sai'chuan'chang 西赛船长
'xi'tan'nu 西坦努
'xi'tan'nu'fa'huang 西坦努法皇
'xi'wa 西瓦
'xi'wa'can'nue'zhe 西瓦残虐者
'xi'wa'ling'yong 西瓦灵俑
'xi'wei'de'miao'ji 西薇的妙计
'xian'gong 先攻
'xian'jing'ben'yue'zhe 陷阱奔越者
'xian'ling'yi'chang 仙灵议场
'xian'ling'yun'qun 仙灵云群
