'ba'ren'zhi'cheng'er'fei'gong'ye 拔人之城而非攻也
'gu'shang'bing'fa'mou 故上兵伐谋
'gu'xiao'di'zhi'jian 故小敌之坚
'gu'xiao'zhi'yi'ji 故校之以计
'gu'yong'bing'zhi'fa 故用兵之法
'gu'zhi'bing'zhi'jiang 故知兵之将
'gu'zhi'jiang'wu'shi'yu'di 故智将务食于敌
'gu'zhi'sheng'you'wu 故知胜有五
'guan'dao 官道
'guang'xia 广狭
'gui'dao'ye 诡道也
'gui'mai'ze'bai'xing'cai'jie 贵卖则百姓财竭
'guo'jia'an'wei'zhi'zhu'ye 国家安危之主也
'guo'zhi'da'shi 国之大事
'guo'zhi'fu'ye 国之辅也
'guo'zhi'pin'yu'shi'zhe'yuan'shu 国之贫于师者远输
'hui'ren'zhi'guo'er'fei'jiu'ye 毁人之国而非久也
'huo'ye 货也
'ji'dun'mao'lu 戟盾矛橹
'ji'li'yi'ting 计利以听
'jia'zhou'shi'gong 甲胄矢弓
'jiang'bu'sheng'qi'fen'er'yi'fu'zhi 将不胜其忿而蚁附之
'jiang'mo'bu'wen 将莫不闻
'jiang'neng'er'jun'bu'yu'zhe'sheng 将能而君不御者胜
'jiang'shu'you'neng 将孰有能
'jiang'ting'wu'ji 将听吾计
'jiang'zhe 将者
'jiao'qi'zhi'cai 胶漆之材
'jin'er'shi'zhi'yuan 近而示之远
'jin'shi'zhe'gui'mai 近师者贵卖
'jiu'bao'shi'ze'guo'yong'bu'zu 久暴师则国用不足
'ju'yin 距堙
'ke'yu'zhi'sheng 可与之生
'ke'yu'zhi'si 可与之死
'li'er'you'zhi 利而诱之
'li'qu'zhong'yuan 力屈中原
'liang'bu'san'zai 粮不三载
'ling'min'yu'shang'tong'yi 令民于上同意
'liu'zhi'jiang'bu'ting'wu'ji 留之将不听吾计
'luan'er'qu'zhi 乱而取之
'min'zhi'si'ming 民之司命
'mou'gong'di'san 谋攻第三
'nai'wei'zhi'shi 乃为之势
'nei'xu'yu'jia 内虚于家
'nu'er'nao'zhi 怒而挠之
'nu'ye 怒也
'po'guo'ci'zhi 破国次之
'po'jun'ba'ma 破军罢马
'po'jun'ci'zhi 破军次之
'po'wu'ci'zhi 破伍次之
'po'zu'ci'zhi 破卒次之
'qi'ci'fa'bing 其次伐兵
'qi'ci'fa'jiao 其次伐交
'qi'xia'gong'cheng 其下攻城
'qi'yong'zhan'ye 其用战也
'qian'li'kui'liang 千里馈粮
'qiang'er'bi'zhi 强而避之
'qin'er'li'zhi 亲而离之
'qiu'niu'da'che 丘牛大车
'qu'di'zhi'li'zhe 取敌之利者
'qu'li'dan'huo 屈力殚货
'qu'ren'zhi'bing'er'fei'zhan'ye 屈人之兵而非战也
'qu'yong'yu'guo 取用于国
'qu'zhi 去之
'qu'zhi 曲制
'quan'guo'wei'shang 全国为上
'quan'jun'wei'shang 全军为上
'quan'lv'wei'shang'po'lv'ci'zhi 全旅为上破旅次之
'quan'wu'wei'shang 全伍为上
'quan'zu'wei'shang 全卒为上
'ran'hou'shi'wan'zhi'shi'ju'yi 然后十万之师举矣
'ri'fei'qian'jin 日费千金
'san'jun'ji'huo'qie'yi 三军既惑且疑
'san'yue'di 三曰地
'san'yue'er'hou'cheng 三月而后成
'sha'shi'zu'san'fen'zhi'yi 杀士卒三分之一
'shan'yong'bing'zhe 善用兵者
'shan'zhi'shan'zhe'ye 善之善者也
'shang'fa'shu'ming 赏罚孰明
'shang'qi'xian'de'zhe'er'geng'qi'jing'qi 赏其先得者而更其旌旗
'shang'xia'tong'yu'zhe'sheng 上下同欲者胜
'shao'ze'neng'tao'zhi 少则能逃之
'sheng'fu'jian'yi 胜负见矣
'sheng'jiu'ze'dun'bing'cuo'rui 胜久则钝兵挫锐
'shi'di'yi'zhong 食敌一钟
'shi'er'bei'zhi 实而备之
'shi'gu'bai'zhan'bai'sheng 是故百战百胜
'shi'ji'di'yi 始计第一
'shi'qu'qi'liu 十去其六
'shi'qu'qi'qi 十去其七
'shi'wei'luan'jun'yin'sheng 是谓乱军引胜
'shi'wei'mi'jun 是谓縻军
'shi'wei'sheng'di'er'yi'qiang 是谓胜敌而益强
'shi'ze'wei'zhi 十则围之
'shi'zhe 势者
'shi'zhong'gua'zhi'yong'zhe'sheng 识众寡之用者胜
'shi'zu'shu'lian 士卒孰练
'si'sheng'ye 死生也
'si'sheng'zhi'di 死生之地
'si'yue'jiang 四曰将
'sui'you'zhi'zhe'bu'neng'shan'qi'hou'yi 虽有智者不能善其后矣
'tian'di'shu'de 天地孰得
'tian'zhe'shi'zhi'ye 天者时制也
'wei'bu'de'yi 为不得已
'wei'zhan'er'miao'suan'bu'sheng'zhe 未战而庙算不胜者
'wei'zhi'you'ye 未之有也
'wu'yi'ci'guan'zhi 吾以此观之
'wu'yi'ci'zhi'sheng'fu'yi 吾以此知胜负矣
'wu'yue'fa 五曰法
'wu'ze'gong'zhi 五则攻之
'xian'yi 险易
'xiao'zhi'yi'ji 校之以计
'xiu'lu'ju'qi'xie 修橹具器械
'yi'bu'zai'ji 役不再籍
'yi'er'lao'zhi 佚而劳之
'yi'yu'dai'bu'yu'zhe'sheng 以虞待不虞者胜
'yi'yue'dao 一曰道
'yi'zuo'qi'wai 以佐其外
'yin'li'er'zhi'quan'ye 因利而制权也
'yin'liang'yu'di 因粮于敌
'yong'er'shi'zhi'bu'yong 用而示之不用
'yong'zhi'bi'bai 用之必败
'yong'zhi'bi'sheng 用之必胜
'you'san'yue'er'hou'yi 又三月而后已
'yuan'er'shi'zhi'jin 远而示之近
'yuan'shu'ze'bai'xing'pin 远输则百姓贫
'ze'bu'neng'jin'zhi'yong'bing'zhi'li'ye 则不能尽知用兵之利也
'ze'jun'shi'huo'yi 则军士惑矣
'ze'jun'shi'yi'yi 则军士疑矣
'ze'nei'wai'zhi'fei 则内外之费
'ze'zhu'hou'cheng'qi'bi'er'qi 则诸侯乘其弊而起
'ze'zhu'hou'zhi'nan'zhi'yi 则诸侯之难至矣
'zhi'ji'zhi'bi'bai'zhan'bu'yi 知己知彼百战不贻
'zhi'ke'yi'zhan'yu'bu'ke'yi'zhan'zhe'sheng 知可以战与不可以战者胜
'zhi'sheng'zhi'dao'ye 知胜之道也
'zhi'xin'ren'yong'yan'ye 智信仁勇严也
'zhi'zhi'zhe'sheng 知之者胜
'zhu'shu'you'dao 主孰有道
'zhu'yong'ye 主用也
'zu'shan'er'yang'zhi 卒善而养之
'zuo'zhan'di'er 作战第二
