'ban'feng'jian'ban'zhi'min'di'jing'ji 半封建半殖民地经济
'san'zhong'jing'ji'zhi'du'mo'shi 三种经济制度模式
'shang'ceng'jian'zhu 上层建筑
'shang'pin 商品
'shang'pin'jiao'huan 商品交换
'shang'pin'jing'ji 商品经济
'shang'pin'sheng'chan 商品生产
'she'hui'bi'yao'lao'dong'shi'jian 社会必要劳动时间
'she'hui'fen'gong 社会分工
'she'hui'ji'ben'mao'dun 社会基本矛盾
'she'hui'jia'zhi 社会价值
'she'hui'lao'dong 社会劳动
'she'hui'xiao'yi 社会效益
'she'hui'zhu'yi 社会主义
'she'hui'zhu'yi'chu'ji'jie'duan 社会主义初级阶段
'she'hui'zhu'yi'jing'ji 社会主义经济
'she'hui'zhu'yi'jing'zheng 社会主义竞争
'she'hui'zhu'yi'lao'dong 社会主义劳动
'she'hui'zhu'yi'lao'dong'jing'sai 社会主义劳动竞赛
'she'hui'zhu'yi'ren'kou'gui'lv 社会主义人口规律
'she'hui'zhu'yi'sheng'chan'guan'xi 社会主义生产关系
'she'hui'zhu'yi'wu'zhi'li'yi'guan'xi 社会主义物质利益关系
'sheng'chan'fang'shi 生产方式
'sheng'chan'guan'xi 生产关系
'sheng'chan'guan'xi'yi'ding'yao'shi'he'sheng'chan'li'xing'zhi'de'gui'lv 生产关系一定要适合生产力性质的规律
'sheng'chan'lao'dong 生产劳动
'sheng'chan'li 生产力
'sheng'chan'li'biao'zhun 生产力标准
'sheng'chan'zi'liao'sheng'chan'you'xian'zeng'zhang'gui'lv 生产资料生产优先增长规律
'shi'fan'xiao'ying 示范效应
'shi'jian'jie'yue'yuan'ze 时间节约原则
'shi'yong'jia'zhi 使用价值
'shu'lian'lao'dong 熟练劳动
'si'ren'lao'dong 私人劳动
'te'you'jing'ji'gui'lv 特有经济规律
'tuo'la'si 托拉斯
'wai'sheng'bian'liang 外生变量
'wan'quan'jing'zheng 完全竞争
'wan'quan'long'duan 完全垄断
'wei'guan'jing'ji 微观经济
'wu'wu'jiao'huan 物物交换
'wu'zhi'ji'shu'ji'chu 物质技术基础
'wu'zhi'li'yi'yuan'ze 物质利益原则
'xi'na'ji'zhi 吸纳机制
'xian'dai'hua 现代化
'xiang'dui'jia'zhi'xing'tai 相对价值形态
'xiao'yong 效用
'xie'zuo 协作
'xin'di'jia 辛迪加
'xin'jia'zhi 新价值
'xu'shu'xiao'yong 序数效用
'you'ji'hua'an'bi'li'fa'zhan'gui'lv 有计划按比例发展规律
'you'ji'hua'shang'pin'jing'ji 有计划商品经济
'zhong'guan'jing'ji 中观经济
'zi'ben 资本
'zi'ben'chan'chu'bi'lv 资本产出比率
'zi'ben'lao'dong'bi'lv 资本劳动比率
'zi'ben'yuan'shi'ji'lei 资本原始积累
'zi'ben'zhu'yi'ji'ben'mao'dun 资本主义基本矛盾
'zi'ben'zhu'yi'ren'kou'gui'lv 资本主义人口规律
'zi'jin 资金
'zi'ran'jing'ji 自然经济
'zi'you'jing'zheng 自由竞争
'zi'you'zi'ben'zhu'yi 自由资本主义
'zong'gong'ji 总供给
'zong'xu'qiu 总需求
'zong'xu'qiu'yu'zong'gong'ji'ping'heng'fa 总需求与总供给平衡法
'zong'zhu'ru'yu'zong'lou'chu'ping'heng'fa 总注入与总漏出平衡法
'zui'da'li'run'yuan'ze 最大利润原则
