'ai'he'yi 爱和谊
'dun'shi 墩式
'fa'dian'ji'guo'lu 发电机锅炉
'fa'dong'ji'hao 发动机号
'fa'lv'fu'wu 法律服务
'fang'di'chan'ye 房地产业
'fang'hu'cuo'shi'shi'xiao'ping'gu 防护措施失效评估
'fang'huo'chuang 防火窗
'fang'huo'jian'ju 防火间距
'fang'huo'juan'lian 防火卷帘
'fang'huo'zha'men 防火闸门
'fei'che'xian 非车险
'fei'shui'xian 非水险
'fei'ying'ye'huo'che 非营业货车
'fei'ying'ye'ji'dong'che'xian'ban 非营业机动车险版
'fei'ying'ye'ke'che 非营业客车
'fen'chu'bao'xian 分出保险
'fen'ru'bao'xian 分入保险
'fen'zhi'ji'gou 分支机构
'feng'bao'chao 风暴潮
'feng'tai 丰泰
'feng'tai'shang'hai 丰泰上海
'feng'xian 风险
'fu'jia'shi'yuan 副驾驶员
'fu'jia'xian 附加险
'fu'you'bao'jian'huo'dong 妇幼保健活动
'gang'kou'gong'cheng 港口工程
'gao'ceng'jian'zhu 高层建筑
'gao'deng'jiao'yu 高等教育
'ge'ren'bao'xian'dai'li'ren 个人保险代理人
'ge'ren'dai'li'ye'wu 个人代理业务
'gei'fu'bao'xian'jin 给付保险金
'gong'an'jing'che'hao'pai 公安警车号牌
'gong'an'ju'xiao'fang'ju 公安局消防局
'gong'an'min'yong'hao'pai 公安民用号牌
'gong'cheng'bao'xian 工程保险
'gong'gong'guan'li'he'she'hui'zu'zhi 公共管理和社会组织
'gong'gong'she'shi'guan'li 公共设施管理
'gong'si'fa 公司法
'gong'zhong'ze'ren'xian 公众责任险
'gu'fen'you'xian'gong'si 股份有限公司
'gu'zhu'ze'ren'xian 雇主责任险
'gua'che 挂车
'gua'che'hao'pai 挂车号牌
'guan'jian'feng'xian 关键风险
'guang'bo'dian'shi'chuan'shu'fu'wu 广播电视传输服务
'guang'bo'dian'shi'ying'xiang'zhi'zuo 广播电视影像制作
'guang'gao'ye 广告业
'guang'ke 光刻
'guang'yan'mo 光掩膜
'guang'zhao 光罩
'guo'chan'bo'li 国产玻璃
'guo'chan'che 国产车
'guo'ji'zu'zhi 国际组织
'guo'jia'ji'ben'yi'liao'bao'xian'biao'zhun 国家基本医疗保险标准
'guo'jia'ji'zheng'fu'ji'guan 国家及政府机关
'guo'min'jing'ji'hang'ye'fen'lei 国民经济行业分类
'guo'rui'ren'shou 国瑞人寿
'guo'shou'cai 国寿财
'guo'shou'cai'chan 国寿财产
'guo'tai'cai'xian 国泰财险
'guo'wu'yuan'bao'xian'jian'du'guan'li'ji'gou 国务院保险监督管理机构
'guo'you'du'zi'gong'si 国有独资公司
'guo'yuan'nong'ye 国元农业
'hai'shang'bao'xian 海上保险
'hai'shang'fa 海商法
'hang'ye'xie'hui 行业协会
'hao'pai'zhong'lei 号牌种类
'hao'pai'zhong'lei'dai'ma 号牌种类代码
'he'bao 核保
'he'bao'ren 核保人
'he'huo'qi'ye 合伙企业
'he'pei 核赔
'he'tong 合同
'he'tong'fen'bao 合同分保
'heng'kang'tian'an 恒康天安
'heng'tai'ren'shou 恒泰人寿
'hu'lian'wang'fu'wu 互联网服务
'hu'peng'pei'chang'chu'li'gui'ze 互碰赔偿处理规则
'hua'an'cai'chan 华安财产
'hua'an'cai'chan'bao'xian'gu'fen'you'xian'gong'si 华安财产保险股份有限公司
'hua'hen'xian 划痕险
'hua'nong 华农
'hua'tai'cai'chan 华泰财产
'hua'tai'cai'chan'bao'xian'gong'si 华泰财产保险公司
'hua'xue'ji'xie'yan'mo 化学机械研磨
'hua'xue'pin'gong'ying'ji'chu'cun 化学品供应及储存
'hua'xue'qi'xiang'chen'ji 化学气相沉积
'huan'jing'guan'li'ye 环境管理业
'huang'jia'tai'yang 皇家太阳
'hui'feng'ren'shou 汇丰人寿
'huo'bi'dan'wei 货币单位
'huo'ran'xing 或然性
'huo'wu'yun'shu'bao'xian 货物运输保险
'huo'yun'xian 货运险
'huo'zai'ge'duan'she'shi 火灾隔断设施
'huo'zai'gong'zhong'ze'ren'xian 火灾公众责任险
'ji'bing'fang'kong'huo'dong 疾病防控活动
'ji'chang 机场
'ji'dong'che'jiao'tong'shi'gu'ze'ren'qiang'zhi'bao'xian 机动车交通事故责任强制保险
'ji'dong'che'jiao'tong'shi'gu'ze'ren'qiang'zhi'bao'xian'fei'lv'fu'dong'gao'zhi'dan 机动车交通事故责任强制保险费率浮动告知单
'ji'dong'che'jiao'tong'shi'gu'ze'ren'qiang'zhi'bao'xian'fei'lv'fu'dong'zan'xing'ban'fa 机动车交通事故责任强制保险费率浮动暂行办法
'ji'dong'che'jiao'tong'shi'gu'ze'ren'qiang'zhi'bao'xian'tiao'li 机动车交通事故责任强制保险条例
'ji'dong'che'jiao'tong'ze'ren'qiang'zhi'bao'xian'tiao'li 机动车交通责任强制保险条例
'ji'dong'che'liang'bao'xian 机动车辆保险
'ji'gou'dai'ma 机构代码
'ji'kao'li 挤靠力
'ji'shu'mi'ji 技术密集
'ji'suan'ji'fu'wu 计算机服务
'jia'shi'ren 驾驶人
'jia'shi'yuan 驾驶员
'jia'shi'zheng 驾驶证
'jia'ting'cai'chan'bao'xian 家庭财产保险
'jia'ting'zi'yong'che 家庭自用车
'jia'yong'ji'dong'che'xian'ban 家用机动车险版
'jia'yuan'xian 驾员险
'jia'zhao 驾照
'jian'dan'pei'fu'lv 简单赔付率
'jian'jie'sun'shi 间接损失
'jian'kang'bao'xian 健康保险
'jian'kang'xian 健康险
'jian'ye'dai'li 兼业代理
'jian'ye'dai'li'ye'wu 兼业代理业务
'jian'zhu'an'zhuang'gong'cheng 建筑安装工程
'jian'zhu'wu'gao'du 建筑物高度
'jiao'jie'xian 交接线
'jiao'lian'mo'tuo'che'hao'pai 教练摩托车号牌
'jiao'lian'qi'che'hao'pai 教练汽车号牌
'jiao'qiang'xian 交强险
'jiao'qiang'xian'ban 交强险版
'jiao'qiang'xian'ze'ren'xian'e 交强险责任限额
'jiao'tong'shi'gu'chu'li'cheng'xu'gui'ding 交通事故处理程序规定
'jiao'tong'shi'gu'ren'yuan'chuang'shang'lin'chuang'zhen'liao'zhi'nan 交通事故人员创伤临床诊疗指南
'jiao'tong'yun'shu'he'you'zheng'ye 交通运输和邮政业
'jiao'yu 教育
'jie'guan'qi'xian 接管期限
'jie'jing'shi 洁净室
'jie'shou'ren 接受人
'jie'zhi'ri'qi 截止日期
'jin'kou'bo'li 进口玻璃
'jin'kou'che 进口车
'jin'rong'fu'wu'ye 金融服务业
'jin'rong'ye 金融业
'jing'bao'fei 净保费
'jing'fei'lv 净费率
'jing'ji'fei'lv 经纪费率
'jing'ji'ji'gou 经纪机构
'jing'ji'ye'wu 经纪业务
'jing'suan'shi 精算师
'jing'wai'qi'che'hao'pai 境外汽车号牌
'ju'min'fu'wu'he'qi'ta'fu'wu'ye 居民服务和其他服务业
'ju'zai'feng'xian 巨灾风险
'jun'dui'hao'pai 军队号牌
'ke'hu'dai'ma 客户代码
'ke'ji'jiao'liu'he'tui'guang'fu'wu 科技交流和推广服务
'ke'yan'ji'shu'fu'wu'ye 科研技术服务业
'kuai'can'fu'wu 快餐服务
'li'an'ren'shou 利安人寿
'li'bao'hu'zhu 利宝互助
'li'fa'mei'rong 理发美容
'li'nian'zhi'pei'fu'lv 历年制赔付率
'li'pei'liu'cheng 理赔流程
'li'pei'shi'wu 理赔实务
'li'suan 理算
'li'zi'zhi'ru 离子植入
'lian'bang'shang'hai 联邦上海
'liang'ci'zai'hai 两次灾害
'liao'yang'yuan 疗养院
'lin'fen 临分
'lin'shi'fen'bao 临时分保
'lin'shi'ru'jing'mo'tuo'che'hao'pai 临时入境摩托车号牌
'lin'shi'ru'jing'qi'che'hao'pai 临时入境汽车号牌
'lin'shi'xing'shi'che'hao'pai 临时行驶车号牌
'ling'guan'qi'che'hao'pai 领馆汽车号牌
'lu'yu 陆域
'lv'shi'ze'ren'xian 律师责任险
'lv'xing'she 旅行社
'lv'xing'she'ze'ren'xian 旅行社责任险
'lv'you'fan'dian 旅游饭店
'man'qi'bao'fei 满期保费
'man'qi'chu'xian'pin'du 满期出险频度
'man'qi'pei'fu'lv 满期赔付率
'mao'bao'fei 毛保费
'mao'fei'lv 毛费率
'mei'kuang'gu'zhu'ze'ren'xian 煤矿雇主责任险
'mei'ya 美亚
'mie'shi 灭失
'min'an 民安
'min'shi'he'tong 民事合同
'mo'tuo'che 摩托车
'mo'tuo'che'hao'pai 摩托车号牌
'mu'biao'ke'hu 目标客户
'nei'bu'ji'he 内部稽核
'ni'xiang'xuan'ze 逆向选择
'nong'ye'bao'xian 农业保险
'nong'ye'xian 农业险
'nong'yong'yun'shu'che'hao'pai 农用运输车号牌
'pei'chang'chu'li 赔偿处理
'pei'fu'jin'e 赔付金额
'pei'fu'lv 赔付率
'pei'fu'shi'jian 赔付时间
'pei'kuan'zhi'chu 赔款支出
'pi'dan 批单
'pi'dan'bao'fei 批单保费
'pi'dan'hao 批单号
'pi'fa'he'ling'shou'ye 批发和零售业
'pi'gai'bao'fei 批改保费
'pi'gai'bian'hua 批改变化
'pi'gai'yuan'yin 批改原因
'pi'tui'bi'li 批退比例
'pian'cha'lv 偏差率
'pian'pei 骗赔
'ping'an'cai'chan 平安财产
'ping'an'cai'chan'bao'xian'gong'si 平安财产保险公司
'ping'jun'fei'lv 平均费率
'qi'bao'ri'qi 起保日期
'qi'cai'xian 企财险
'qi'che'mo'tuo'che'wei'hu'he'bao'yang 汽车摩托车维护和保养
'qi'chu'wei'jue'pei'kuan 期初未决赔款
'qi'chu'wei'man'qi'bao'fei 期初未满期保费
'qi'mo'wei'jue'pei'kuan 期末未决赔款
'qi'mo'wei'man'qi'bao'fei 期末未满期保费
'qi'ta'fu'wu 其他服务
'qi'ta'ji'di'fu'wu 其他寄递服务
'qi'ta'jiao'yu 其他教育
'qi'ta'jin'rong'huo'dong 其他金融活动
'qi'ta'ju'min'fu'wu 其他居民服务
'qi'ta'ri'yong'pin'wei'xiu 其他日用品维修
'qi'ta'tuan'ti'zu'zhi 其他团体组织
'qi'ta'wei'sheng'huo'dong 其他卫生活动
'qi'ta'xiu'xian'yu'le 其他休闲娱乐
'qi'ta'zhu'su'fu'wu 其他住宿服务
'qi'ta'zhuan'ye'zi'xun 其他专业咨询
'qi'ye'cai'chan'bao'xian 企业财产保险
'qi'ye'guan'li'fu'wu 企业管理服务
'qian'dan'bao'fei 签单保费
'qian'dan'ri'qi 签单日期
'qun'fang 裙房
'qun'zhong'tuan'ti'ji'she'hui'tuan'ti 群众团体及社会团体
'ren'bao 人保
'ren'min'zheng'xie'he'min'zhu'dang'pai 人民政协和民主党派
'ren'shou'bao'xian 人寿保险
'ren'wei'yin'su'feng'xian'ping'gu 人为因素风险评估
'ri'ben'cai'chan 日本财产
'ru'shi'gao'zhi'yi'wu 如实告知义务
'ruan'jian'ye 软件业
'san'jing'zhu'you 三井住友
'san'xing'huo'zai 三星火灾
'san'zhe'xian 三者险
'shan'zhi 缮制
'shang'hai'an'xin 上海安信
'shang'nian'tong'qi 上年同期
'shang'wu'fu'wu 商务服务
'shang'ye'lou'yu 商业楼宇
'shang'ye'san'ze'fu'jia'xian 商业三责附加险
'shang'ye'san'ze'xian 商业三责险
'she'hui'bao'zhang'ye 社会保障业
'she'hui'fu'li'ye 社会福利业
'she'li'shen'qing'shu 设立申请书
'she'xing'he'tong 射幸合同
'she'ying'kuo'yin'fu'wu 摄影扩印服务
'shen'fen'zheng 身份证
'shen'ji 审计
'shi'guan'qi'che'hao'pai 使馆汽车号牌
'shi'hua 石化
'shi'hua'qi'ye 石化企业
'shi'ji'pei'fu'lv 实际赔付率
'shi'ke 蚀刻
'shi'nei'yu'le'huo'dong 室内娱乐活动
'shi'shou 实收
'shi'shou'bao'fei 实收保费
'shi'yan'mo'tuo'che'hao'pai 试验摩托车号牌
'shi'yan'qi'che'hao'pai 试验汽车号牌
'shi'yong'xing'zhi 使用性质
'shi'you'chan'pin 石油产品
'shi'you'hua'gong'chan'pin 石油化工产品
'shi'you'hua'xue'gong'ye 石油化学工业
'shou'sun'bao'xian'biao'di 受损保险标的
'shou'xu'fei'lv 手续费率
'shou'xu'fei'tai'zhang 手续费台帐
'shou'yi'quan 受益权
'shou'yi'ren 受益人
'shu'ju'diu'shi 数据丢失
'shuang'wu'he'tong 双务合同
'shui'li'guan'li'ye 水利管理业
'shui'li'huan'jing'he'gong'si'guan'li'ye 水利环境和公司管理业
'shui'mu'xi'tong 水幕系统
'shui'shang'shi'gong 水上施工
'shui'wu'ran'zhi'li 水污染治理
'shui'xian 水险
'shun'an'shi 顺岸式
'si'che 私车
'si'wang'huo'zhe'shang'can 死亡或者伤残
'si'wang'shang'can'pei'chang'xian'e 死亡伤残赔偿限额
'su'li'shi 苏黎世
'suo'pei'shen'qing'shu 索赔申请书
'tai'an 泰安
'tai'bao 太保
'tai'ping'bao'xian 太平保险
'tai'ping'bao'xian'gu'fen'you'xian'gong'si 太平保险股份有限公司
'tai'ping'yang'cai'chan 太平洋财产
'tai'ping'yang'cai'chan'bao'xian'gong'si 太平洋财产保险公司
'te'bie'yue'ding 特别约定
'te'shu'feng'xian'bao'xian 特殊风险保险
'te'shu'pi'gai 特殊批改
'te'zhong'che 特种车
'ti'yu'chang'guan 体育场馆
'ti'yu'zu'zhi 体育组织
'tian'an 天安
'tian'an'bao'xian 天安保险
'tian'an'bao'xian'gu'fen'you'xian'gong'si 天安保险股份有限公司
'tian'bao'ren'shou 天保人寿
'tian'ping'che'xian 天平车险
'ting'chan 停产
'ting'dian 停电
'ting'qi 停气
'ting'shi 停驶
'ting'shui 停水
'ting'ye 停业
'tong'bi'zeng'fu 同比增幅
'tong'ji'kuai'bao 统计快报
'tong'ji'ri'qi 统计日期
'tong'xun'huo'zhe'wang'luo'zhong'duan 通讯或者网络中断
'tou'bao'dan 投保单
'tou'bao'liu'cheng 投保流程
'tou'bao'ren 投保人
'tu'di'shi 突堤式
'tu'shu'guan'he'xin'xi'zhong'xin 图书馆和信息中心
'tuan'che 团车
'tuan'ti'xian 团体险
'tuan'yi'xian 团意险
'tuo'er'suo'yang'lao'yuan'bao'jian'fu'wu 托儿所养老院保健服务
'tuo'la'ji 拖拉机
'tuo'la'ji'hao'pai 拖拉机号牌
'wai'guo'bao'xian'gong'si 外国保险公司
'wai'ji'qi'che'hao'pai 外籍汽车号牌
'wai'zi'du'zi'bao'xian'gong'si 外资独资保险公司
'wei'jue'bi'shu 未决笔数
'wei'jue'jin'e 未决金额
'wei'sheng'she'hui'bao'zhang'he'fu'li 卫生社会保障和福利
'wei'xian'dan'wei 危险单位
'wei'xing'chuan'shu'fu'wu 卫星传输服务
'wei'yue'ze'ren 违约责任
'wen'hua'ti'yu'he'yu'le'ye 文化体育和娱乐业
'wen'wu'yu'wen'hua'bao'hu 文物与文化保护
'wen'yi'chuang'zuo'yu'biao'yan 文艺创作与表演
'wu'jing'hao'pai 武警号牌
'wu'li'qi'xiang'chen'ji 物理气相沉积
'wu'min'shi'xing'wei'neng'li 无民事行为能力
'wu'pei'tui'fei 无赔退费
'wu'pei'you'dai 无赔优待
'wu'ze 无责
'wu'ze'dai'pei 无责代赔
'wu'ze'ren'cai'chan'sun'shi'pei'chang'xian'e 无责任财产损失赔偿限额
'wu'ze'ren'si'wang'shang'can'pei'chang'xian'e 无责任死亡伤残赔偿限额
'wu'ze'ren'yi'liao'fei'yong'pei'chang'xian'e 无责任医疗费用赔偿限额
'xi'lan'li 系缆力
'xi'ran'fu'wu 洗染服务
'xi'yu'fu'wu 洗浴服务
'xian'dai'cai'chan 现代财产
'xian'dai'cai'xian 现代财险
'xian'zhong'lei'bie 险种类别
'xian'zhong'ming'cheng 险种名称
'xiang'hu'gei'fu 相互给付
'xiao'fang'shui'beng 消防水泵
'xiao'fang'shui'yuan 消防水源
'xiao'xing'qi'che'hao'pai 小型汽车号牌
'xiao'yuan'fang'ze'ren'xian 校园方责任险
'xin'guang'ren'shou 新光人寿
'xin'nuo'ren'shou 信诺人寿
'xin'pian'ce'shi 芯片测试
'xin'pian'feng'zhuang 芯片封装
'xin'pian'jia'gong 芯片加工
'xin'pian'qing'jie 芯片清洁
'xin'wen'chu'ban'ye 新闻出版业
'xin'xi'chuan'shu'ji'suan'ji'fu'wu'he'ruan'jian'ye 信息传输计算机服务和软件业
'xin'yong'bao'xian 信用保险
'xing'che'zheng 行车证
'xing'fu'ren'shou 幸福人寿
'xing'ji'lv'guan 星级旅馆
'xing'shi'zheng 行驶证
'xiu'xian'jian'shen'huo'dong 休闲健身活动
'xue'qian'chu'deng'zhong'deng'jiao'yu 学前初等中等教育
'yan'jiu'yu'shi'yan'fa'zhan 研究与试验发展
'yang'guang'cai'chan'bao'xian'gu'fen'you'xian'gong'si 阳光财产保险股份有限公司
'yang'guang'cai'xian 阳光财险
'yang'guang'nong'xian 阳光农险
'ye'jing'xian'shi'qi 液晶显示器
'ye'wu'bao'biao 业务报表
'ye'wu'jie'qing 业务结清
'ye'wu'yuan 业务员
'yi'ban'lv'guan 一般旅馆
'yi'ban'pi'gai 一般批改
'yi'ci'zai'hai 一次灾害
'yi'jue'an'jun'pei'kuan 已决案均赔款
'yi'jue'bi'shu 已决笔数
'yi'jue'jin'e 已决金额
'yi'liao'fei'yong'pei'chang'xian'e 医疗费用赔偿限额
'yi'liao'ze'ren'bao'xian 医疗责任保险
'yi'man'qi'bao'fei 已满期保费
'yi'shu'biao'yan'chang'guan 艺术表演场馆
'yi'wai'shang'hai'bao'xian 意外伤害保险
'yi'wai'xian 意外险
'yi'yuan'wei'sheng'yuan 医院卫生院
'yin'hang'ye 银行业
'yin'liao'ji'leng'yin'fu'wu 饮料及冷饮服务
'ying'shou 应收
'ying'shou'bao'fei 应收保费
'ying'xiao'fu'wu'bu 营销服务部
'ying'ye'bu 营业部
'ying'ye'fei'yong'lv 营业费用率
'ying'ye'huo'che 营业货车
'ying'ye'ji'dong'che'xian'ban 营业机动车险版
'ying'ye'ke'che 营业客车
'ying'ye'tong'ji'bao'biao 营业统计报表
'ying'yun'qi 营运期
'yong'an'cai'chan 永安财产
'yong'an'cai'chan'bao'xian'gu'fen'you'xian'gong'si 永安财产保险股份有限公司
'yong'cheng 永诚
'yong'cheng'cai'chan'bao'xian'gu'fen'you'xian'gong'si 永诚财产保险股份有限公司
'you'fou'si'wang 有否死亡
'you'ji'hua'gong'yuan'liao 有机化工原料
'you'le'yuan 游乐园
'you'xian'ze'ren'gong'si 有限责任公司
'you'ze 有责
'you'zheng'ye 邮政业
'yu'yue'fen'bao 预约分保
'yuan'liao'xin'pian 原料芯片
'yun'shu'fu'wu'ye 运输服务业
'yun'shu'xian 运输险
'zai'bao'xian 再保险
'zai'bao'xian'bao'zhang 再保险保障
'zai'bao'xian'ye'wu'guan'li'gui'ding 再保险业务管理规定
'ze'ren'bao'xian 责任保险
'ze'ren'mian'chu 责任免除
'ze'ren'xian 责任险
'ze'ren'xian'e 责任限额
'ze'ren'zhun'bei'jin 责任准备金
'zhan'qiao'shi 栈桥式
'zhan'ye'fei 展业费
'zhe'kou'xi'shu 折扣系数
'zhe'qian'bao'fei 折前保费
'zheng'can'fu'wu 正餐服务
'zheng'quan'ye 证券业
'zheng'yi'chu'li 争议处理
'zhi'gong'si 支公司
'zhi'jie'ye'wu 直接业务
'zhi'shi'chan'quan'fu'wu 知识产权服务
'zhi'ya 质押
'zhi'ye'ze'ren'xian 职业责任险
'zhi'ye'zhong'jie'fu'wu 职业中介服务
'zhong'an'cai'xian 中安财险
'zhong'biao'xiang'mu 中标项目
'zhong'biao'zhu'bao'wei'xiu 钟表珠宝维修
'zhong'de'an'lian'ren'shou 中德安联人寿
'zhong'guo'bao'jian'hui 中国保监会
'zhong'guo'bao'xian'jian'du'guan'li'wei'yuan'hui 中国保险监督管理委员会
