'ai'lian'shuo 爱莲说
'chi'dan'chi'dao 弛担持刀
'chi'fei'bu'shen'ye 池非不深也
'chong'ru'xie'wang 宠辱偕忘
'chong'yan'die'zhang 重岩叠嶂
'chong'zhen'wu'nian'shi'er'yue 崇祯五年十二月
'chou'yu'chu'you'cong'rong 鯈鱼出游从容
'chu'chu'zhi'zhi 处处志之
'chu'er'yuan'shi 俶尔远逝
'chu'ji'xia 初极狭
'chu'jiang'hu'zhi'yuan 处江湖之远
'chu'mo'yu'jing'bo'wan'ren'zhong 出没于鲸波万仞中
'chu'ping'shan'ren 初平山人
'chu'ren'lian'zhi 楚人怜之
'chu'ren'you'ye 滁人游也
'chu'ru'zhi'yu'ye 出入之迂也
'chu'shi'biao 出师表
'chu'wang'wen'qi'gu 楚王问其故
'chu'wang'yue 楚王曰
'chu'ze'wu'di'guo'wai'huan'zhe 出则无敌国外患者
'chuan'bu'xi'hu 传不习乎
'chuan'tou'zuo'san'ren 船头坐三人
'chuan'yi'xiang'xiu'cai'guan'zhi 传一乡秀才观之
'chuang'fei'jie'dong'kai 窗扉皆洞开
'chun'dong'zhi'shi 春冬之时
'chuo'geng'zhi'long'shang 辍耕之垄上
'ci'cheng'bu'ke'yu'zheng'feng 此诚不可与争锋
'ci'cheng'wei'ji'cun'wang'zhi'qiu'ye 此诚危急存亡之秋也
'ci'dai'tian'suo'yi'zi'jiang'jun 此殆天所以资将军
'ci'du'yi'bo'zhi'gu 此独以跛之故
'ci'he'ju'bu'neng'wei'huo'hu 此何遽不能为祸乎
'ci'he'ju'bu'wei'fu'hu 此何遽不为福乎
'ci'hou'han'suo'yi'qing'tui'ye 此后汉所以倾颓也
'ci'jiao'wo'xian'wei'zhong'er 此教我先威众耳
'ci'jie'liang'shi 此皆良实
'ci'ke'yi'wei'yuan'er'bu'ke'tu'ye 此可以为援而不可图也
'ci'le'he'ji 此乐何极
'ci'qu 辞去
'ci'ren'ke'jiu'jian 此人可就见
'ci'ren'yi'yi'wei'ju'yan'suo'wen 此人一一为具言所闻
'ci'san'zi'zhe 此三子者
'ci'suo'wei'zhan'sheng'yu'chao'ting 此所谓战胜于朝廷
'ci'wei'he'ruo'ren 此为何若人
'ci'xi'zhen'liang'si'jie'zhi'chen 此悉贞良死节之臣
'ci'xian'han'suo'yi'xing'long'ye 此先汉所以兴隆也
'ci'yong'fu'zhi'nu'ye 此庸夫之怒也
'ci'yong'wu'zhi'guo 此用武之国
'ci'you'jin'xiu'zhi'yu'duan'he'ye 此犹锦绣之与短褐也
'ci'you'liang'rou'zhi'yu'kang'zao'ye 此犹粱肉之与糠糟也
'ci'you'wen'xuan'zhi'yu'bi'yu'ye 此犹文轩之与敝舆也
'ci'ze'yue'yang'lou'zhi'da'guan'ye 此则岳阳楼之大观也
'ci'zhi'wei'shi'qi'ben'xin 此之谓失其本心
'ci'zhong'ren'yu'yun 此中人语云
'cong'kou'ru 从口入
'cong'liu'piao'dang 从流飘荡
'cong'min'yu'ye 从民欲也
'cong'xian'ren'huan'jia 从先人还家
'cong'xiang'zhi'xian'da'zhi'jing'kou'wen 从乡之先达执经叩问
'cong'xiao'qiu'xi'xing'bai'er'shi'bu 从小丘西行百二十步
'cu'er'er'yu'zhi 蹴尔而与之
'cu'zhong'wang'wang'yu 卒中往往语
'cui'shi'er'xiao'sheng 崔氏二小生
'cun'zhong'wen'you'ci'ren 村中闻有此人
'da'chu'xing 大楚兴
'da'dao'zhi'xing'ye 大道之行也
'da'er'chu'xing'sheng 大儿初醒声
'da'jing'yue 大惊曰
'da'sheng'ru'lei'ting 大声如雷霆
'da'ti 大啼
'da'wang'chang'wen'bu'yi'zhi'nu'hu 大王尝闻布衣之怒乎
'da'wang'jia'hui 大王加惠
'da'xi'yue 大喜曰
'da'xie'zhong'shu'shu 答谢中书书
'da'xiong'he'jian'shi'zhi'wan'hu 大兄何见事之晚乎
'da'xue'san'ri 大雪三日
'da'xue'shen'shu'chi 大雪深数尺
'da'yu'han'yin 达于汉阴
'da'yue 答曰
'dai'jun'jiu'bu'zhi 待君久不至
'dai'zhu'ying'bao'shi'zhi'mao 戴朱缨宝饰之帽
'dan'dan'xiang'xiang 眈眈相向
'dan'dang'she'lie 但当涉猎
'dan'piao'lv'kong 箪瓢屡空
'dan'ri 旦日
'dan'shao'xian'ren'ru'wu'liang'ren'zhe'er 但少闲人如吾两人者耳
'dan'wen'ping'zhang'zhong'fu'chi'yi'xia 但闻屏障中抚尺一下
'dan'zhong'rou'jin 担中肉尽
'dang'ci'shi 当此时
'dang'jiang'lv'san'jun 当奖率三军
'dang'li'zhe'nai'gong'zi'fu'su 当立者乃公子扶苏
'dang'shi'shi 当是时
'dang'yu'zhi'cong'shi'ye 当余之从师也
'dao'bu'tong 道不通
'dao'ke'er'si 道渴而死
'dao'qie'luan'zei'er'bu'zuo 盗窃乱贼而不作
'dao'ting'shang 到亭上
'de'dao'duo'zhu 得道多助
'de'dao'zhe'duo'zhu 得道者多助
'de'qi'chuan 得其船
'de'wei'zhong'ren'er'yi'ye 得为众人而已耶
'de'wu'yi'hu 得无异乎
'de'yu'fu'zhong'shu 得鱼腹中书
'de'zhi'xin'er'yu'zhi'jiu'ye 得之心而寓之酒也
'de'zhi'ze'sheng 得之则生
'deng'shi'er'wang'zhi 登轼而望之
'deng'si 等死
'deng'si'lou'ye 登斯楼也
'di'bu'man'dong'nan 地不满东南
'di'gan'qi'cheng 帝感其诚
'di'li'bu'ru'ren'he 地利不如人和
'di'wei'jue 地维绝
'diao'lan'xiang'wang'yan 雕栏相望焉
'ding'shen'xi'shi 定神细视
'ding'zhuang'zhe'yin'xian'er'zhan 丁壮者引弦而战
'dong'feng'shi'zuo 冻风时作
'dong'lian'wu'hui 东连吴会
'dong'po'xian'you'zu 东坡现右足
'dong'po'you'shou'zhi'juan'duan 东坡右手执卷端
'dou'zhe'she'xing 斗折蛇行
'du'shou'cheng'yu'zhan'qiao'men'zhong 独守丞与战谯门中
'du'wang'hu'xin'ting'kan'xue 独往湖心亭看雪
'du'yi'shi'qi 度已失期
'duan'he'chuan'jie 短褐穿结
'duan'wen'liang'pian 短文两篇
'dui'lian'ti'ming'bing'zhuan'wen 对联题名并篆文
'dui'yue 对曰
'dui'zi'ma'fu 对子骂父
'dun'qi'shen 蹲其身
'duo'er'sha'wei 夺而杀尉
'duo'er'zhe'qi'bi 堕而折其髀
'duo'hui'yu'ci 多会于此
'duo'zhu'zhi'zhi 多助之至
'e'er'bai'qian'ren'da'hu 俄而百千人大呼
'e'er'xue'zhou 俄而雪骤
'e'neng'wu'ji 恶能无纪
'e'qi'ti'fu 饿其体肤
'er'an'ling'yi'wu'shi'li'zhi'di'cun'zhe 而安陵以五十里之地存者
'er'bo'le'bu'chang'you 而伯乐不常有
'er'bu'zhi'ren'zhi'le 而不知人之乐
'er'bu'zhi'tai'shou'zhi'le'qi'le'ye 而不知太守之乐其乐也
'er'cheng'ju'zhe'wei'zhi'zhi'ye 而城居者未之知也
'er'ci'di'shi'yu'yu'jin 而此地适与余近
'er'fei'yu'bei'hai 而飞于北海
'er'fu'wen'qi'qie'yue 而复问其妾曰
'er'han'ru'ti 儿含乳啼
'er'han'ru'ti'sheng 儿含乳啼声
'er'huo'chang'yan'yi'kong 而或长烟一空
'er'ji'qi'chang'ceng'bu'ying'cun 而计其长曾不盈寸
'er'jiu'lin'kan'mu 而僦赁看幕
'er'jun'ni'gua'ren'zhe 而君逆寡人者
'er'jun'yi'wu'shi'li'zhi'di'cun'zhe 而君以五十里之地存者
'er'lai'er'shi'you'yi'nian'yi 尔来二十有一年矣
'er'le'yi'wu'qiong'ye 而乐亦无穷也
'er'liang'lang'zhi'bing'qu'ru'gu 而两狼之并驱如故
'er'lou'shang'ren'wang'lai'xie'xie 而楼上人往来屑屑
'er'nian'you'zui'gao 而年又最高
'er'qi'wei'lue'bu'zhan'shi 而旗尾略不沾湿
'er'qi'zhu'bu'neng'shou 而其主不能守
'er'qing'ke'liang'bi 而顷刻两毙
'er'shan'bu'jia'zeng 而山不加增
'er'shi'sha'zhi 二世杀之
'er'shi'yuan'nian'qi'yue 二世元年七月
'er'shu'qi'zuo'xi 而竖其左膝
'er'shu'si'zhe'gu'shi'liu'qi 而戍死者固十六七
'er'xing'mao'yi'li 而形貌昳丽
'er'yi'lin'ren'zhi'fu 而疑邻人之父
'er'yue 而曰
'er'zhe'bu'ke'de'jian 二者不可得兼
'er'zhi'shu'qian'duan 而智术浅短
'fa'jie'zhan 法皆斩
'fa'lv'zuo'shi'shu'yu'yang 发闾左適戍渔阳
'fa'wu'dao 伐无道
'fa'zhu'qu'dao 伐竹取道
'fan'bao'sha'zhi'niao 凡曝沙之鸟
'fan'san'wang 凡三往
'fan'suo'ying'you 凡所应有
'fan'zhong'yan 范仲淹
'fang'cao'xian'mei 芳草鲜美
'fang'chu'shen 方出神
'fang'fu'ruo'you'guang 仿佛若有光
'fang'qi'bai'li 方七百里
'fang'qi'yuan'chu'hai'men 方其远出海门
'fang'ruo'zhe 坊若者
'fang'yu'xing 方欲行
'fei'du'xian'zhe'you'shi'xin'ye 非独贤者有是心也
'fei'fu'wu'xia'a'meng 非复吴下阿蒙
'fei'li'quan'bu'yin 非醴泉不饮
'fei'lian'shi'bu'shi 非练实不食
'fei'nai'zhi 飞乃止
'fei'ren'zai 非人哉
'fei'ruo'shi'ye 非若是也
'fei'shi'zhi'nu'ye 非士之怒也
'fei'shu'qi'jian 飞漱其间
'fei'si'fei'zhu 非丝非竹
'fei'wei'tian'shi 非惟天时
'fei'wu'tong'bu'zhi 非梧桐不止
'fen'hui'wei 忿恚尉
'fen'lie'liang'an 分列两岸
'fen'xiu'chu'bi 奋袖出臂
'feng'hui'lu'zhuan 峰回路转
'feng'li'sui'shang'jin 风力虽尚劲
'feng'ming'yu'wei'nan'zhi'jian 奉命于危难之间
'feng'shuang'gao'jie 风霜高洁
'feng'yan'ju'jing 风烟俱净
'fo'yin'ju'you 佛印居右
'fo'yin'jue'lei'mi'le 佛印绝类弥勒
'fu'bu'neng'yi'you'duo'shi 夫不能以游堕事
'fu'chi'da'er'sheng 夫叱大儿声
'fu'da'guo 夫大国
'fu'dao'jiu'jia'wen'yan 复到舅家问焉
'fu'de'ze'si 弗得则死
'fu'fu'er'ru 妇抚儿乳
'fu'gan'jia'ye 弗敢加也
'fu'gan'yi 弗敢易
'fu'gan'zhuan'ye 弗敢专也
'fu'guang'yue'jin 浮光跃金
'fu'han 夫韩
'fu'hou'sheng'qi 夫齁声起
'fu'huan'er'gong'zhi 夫环而攻之
'fu'li'chu'guo'zhi'she'ji 复立楚国之社稷
'fu'li'qi'ran'ye 父利其然也
'fu'meng'zhong'ke'sou 妇梦中咳嗽
'fu'pai'er'wu'zhi 妇拍而呜之
'fu'pai'er'yi'jian'pai'jian'zhi 妇拍儿亦渐拍渐止
'fu'qi'da'hu 夫起大呼
'fu'qian'xing 复前行
'fu'qie'ye'xi'xing'shen'shan'ju'gu'zhong 负箧曳屣行深山巨谷中
'fu'shen'qing'er'yi'qing 俯身倾耳以请
'fu'sheng 弗胜
'fu'shi'bai'wan 伏尸百万
'fu'shi'er'ren 伏尸二人
'fu'shi'jing'shang 负势竞上
'fu'shou'pai'er'sheng 妇手拍儿声
'fu'shuo'ju'yu'ban'zhu'zhi'jian 傅说举于版筑之间
'fu'su'yi'shu'jian'gu 扶苏以数谏故
'fu'tou'zhi 复投之
'fu'xing'shu'shi'bu 复行数十步
'fu'yi'qi'da'hu 妇亦起大呼
'fu'yi'xing 夫亦醒
'fu'yi'yan 父异焉
'fu'yuan'chu'fa'yu'nan'hai 夫鹓鶵发于南海
'fu'zhan 夫战
'fu'zhi'dai 弗之怠
'fu'zhuan'zhu'zhi'ci'wang'liao'ye 夫专诸之刺王僚也
'fu'zi'he'ming'yan'wei 夫子何命焉为
'fu'zi'xiang'bao 父子相保
'gai'da'su'fan'chi'bi'yun 盖大苏泛赤壁云
'gai'jian'tao'he'xiu'xia'zhe'wei'zhi 盖简桃核修狭者为之
'gai'yi'lai'ha'ma 盖一癞虾蟆
'gai'yi'you'di 盖以诱敌
'gai'yu'zhi'qin'qie'jian'ruo'ci 盖余之勤且艰若此
'gai'zhu'bai'ying'ye 盖竹柏影也
'gai'zhui'xian'di'zhi'shu'yu 盖追先帝之殊遇
'gan'ji'er'bei'zhe'yi 感极而悲者矣
'gao'cha'qing'ming 高插青冥
'gao'feng'ru'yun 高峰入云
'gao'ke'er'shu'xu 高可二黍许
'gao'liu'jia'di 高柳夹堤
'gao'shang'shi'ye 高尚士也
'gao'wan'ren 高万仞
'gao'yuan'pi'ni 高垣睥睨
'gao'zhi'yu'di 告之于帝
'gao'zu'yin'zhi'yi'cheng'di'ye 高祖因之以成帝业
'ge'huang'zhu 隔篁竹
'ge'ju'qing'tai 各具情态
'ge'tian'shi'zhi'min'yu 葛天氏之民欤
'ge'wei'ce 各微侧
'ge'yin'juan'di'yi'zhe'zhong 各隐卷底衣褶中
'geng'you'chi'si'xiang'gong'zhe 更有痴似相公者
'gong'ba'shan 共八扇
'gong'chen 攻陈
'gong'chou'jiao'cuo 觥筹交错
'gong'da'xiao'le 公大笑乐
'gong'da'ze'xiang 攻大泽乡
'gong'deng'yu'yu 公等遇雨
'gong'fu'zuo'you'mo'bu'si'wang 宫妇左右莫不私王
'gong'geng'yu'nan'yang 躬耕于南阳
'gong'gong'nu'chu'bu'zhou'shan 共工怒触不周山
'gong'gong'yu'zhuan'xu'zheng'wei'di 共工与颛顼争为帝
'gong'gu 龚古
'gong'jiang'chi'zhi 公将驰之
'gong'jiang'gu'zhi 公将鼓之
'gong'jiang'zhan 公将战
'gong'qin'qi'zhi'suo'pan 攻亲戚之所畔
'gong'shu 公输
'gong'shu'pan'bu'shuo 公输盘不说
'gong'shu'pan'fu 公输盘服
'gong'shu'pan'jiu'she'gong'cheng'zhi'ji'bian 公输盘九设攻城之机变
'gong'shu'pan'qu 公输盘诎
'gong'shu'pan'wei'chu'zao'yun'ti'zhi'xie 公输盘为楚造云梯之械
'gong'shu'pan'wei'wo'wei'yun'ti 公输盘为我为云梯
'gong'shu'pan'yue 公输盘曰
'gong'shu'pan'zhi'gong'xie'jin 公输盘之攻械尽
'gong'shu'zi'zhi'yi'bu'guo'yu'sha'chen 公输子之意不过欲杀臣
'gong'wen'qi'gu 公问其故
'gong'xin'ran'yue 公欣然曰
'gong'yi'chang'wen'tian'zi'zhi'nu'hu 公亦尝闻天子之怒乎
'gong'yi'wei'wang 功宜为王
'gong'yu'zhi'cheng 公与之乘
'gong'yue 公曰
'gong'zhi'cuo'ku'zhe'qiao 攻铚酂苦柘谯
'gong'zhong'fu'zhong 宫中府中
'gou'fu'gui 苟富贵
'gou'hua'le'le 钩画了了
'gou'quan'xing'ming'yu'luan'shi 苟全性命于乱世
'gu'bu'cuo'yi'ye 故不错意也
'gu'bu'duo'de'liang'li 孤不度德量力
'gu'bu'ke'che 固不可彻
'gu'bu'wei'gou'de'ye 故不为苟得也
'gu'bu'zhi'zi'yi 固不知子矣
'gu'chang'du'shu 孤常读书
'gu'guo'bu'yi'shan'xi'zhi'xian 固国不以山溪之险
'gu'huan'you'suo'bu'pi'ye 故患有所不辟也
'gu'jun'zi'you'bu'zhan 故君子有不战
'gu'ke'zhi 故克之
'gu'lai'gong'tan 古来共谈
'gu'lin'beng'ji'chen'yi'da'shi'ye 故临崩寄臣以大事也
'gu'qi'yu'qing'zhi'jing'wei'bo'shi'xie 孤岂欲卿治经为博士邪
'gu'ren'bu'du'qin'qi'qin 故人不独亲其亲
'gu'ri'yue'xing'chen'yi'yan 故日月星辰移焉
'gu'shi'liang'ze 故事两则
'gu'shi'you'wu'wai'zhi'qu 故时有物外之趣
'gu'shui'liao'chen'ai'gui'yan 故水潦尘埃归焉
'gu'sui'you'ming'ma 故虽有名马
'gu'tian'jiang'jiang'da'ren'yu'shi'ren'ye 故天将降大任于是人也
'gu'wai'hu'er'bu'bi 故外户而不闭
'gu'wu'yue'du'lu 故五月渡泸
'gu'ye'you'mai'chang 顾野有麦场
'gu'yi'guai'zhi'yi 固以怪之矣
'gu'yi'jin'yi 骨已尽矣
'gu'you'ming'gui'shi'yun 故又名鬼市云
'gu'yu'sui'yu 故余虽愚
'gu'yu'zhe'ge'yue 故渔者歌曰
'gu'yue 故曰
'gu'zhi'you'kong'ming 孤之有孔明
'gu'zhong'ren 固众人
'gu'zhu'zhi 故逐之
'gu'zi'hao'yue'zui'weng'ye 故自号曰醉翁也
'gua'ren'yi'wu'bai'li'zhi'di'yi'an'ling 寡人以五百里之地易安陵
'gua'ren'yu'yi 寡人谕矣
'gua'ren'yu'yi'wu'bai'li'zhi'di'yi'an'ling 寡人欲以五百里之地易安陵
'gua'zhu'zhi'zhi 寡助之至
'guan'chao 观潮
'guan'gua'gu'du 矜寡孤独
'guan'gua'gu'du'fei'ji'zhe'jie'you'suo'yang 矜寡孤独废疾者皆有所养
'guan'yi'wu'ju'yu'shi 管夷吾举于士
'guan'yu'zhang'fei'deng'bu'yue 关羽张飞等不悦
'guan'zhi 观之
'guang'gu'shu'yan'yu'wang 广故数言欲亡
'guang'qi 广起
'gui'yue 刿曰
'guo'heng'wang 国恒亡
'guo'ran'he'ye 果然鹤也
'guo'ru'he'li'yun'duan 果如鹤唳云端
'guo'xian'er'min'fu 国险而民附
'guo'zhong'bu'zhi 过中不至
'hai'yong'yin'wei'guo 海涌银为郭
'hai'zi'yang'zhou 还自扬州
'han'shi'ke'xing'yi 汉室可兴矣
'han'shi'qing'tui 汉室倾颓
'han'shu'yi'jie 寒暑易节
'han'yu 韩愈
'han'zhi'yin 汉之阴
'hao'du'shu 好读书
'hao'hao'shang'shang 浩浩汤汤
'hao'jie'bing'qi 豪杰并起
'hao'ling'zhao'san'lao'hao'jie'yu'jie'lai'kuai'ji'shi 号令召三老豪杰与皆来会计事
'hao'niao'xiang'ming 好鸟相鸣
'hao'wei'liang'fu'yin 好为梁父吟
'hao'wei'zhang'chu 号为张楚
'hao'yue'qian'li 皓月千里
'he'chu'wu'zhu'bai 何处无竹柏
'he'fu'gui'ye 何富贵也
'he'ku'er'bu'ping 何苦而不平
'he'lou'zhi'you 何陋之有
'he'qu'zhi'sou'wang'yi'ying 河曲智叟亡以应
'he'qu'zhi'sou'xiao'er'zhi'zhi'yue 河曲智叟笑而止之曰
'he'wei'bu'zu 河渭不足
'he'yang'zhi'bei 河阳之北
'he'ye 何也
'he'ye'wu'yue 何夜无月
