'a'bai'xi'pu'yan'nei'zhu'she'rong'ye 阿柏西普眼内注射溶液
'a'mo'xi'lin'ke'li'ji 阿莫西林颗粒剂
'a'mo'xi'lin'kou'fu'chang'shi'ji'xing 阿莫西林口服常释剂型
'a'mo'xi'lin'kou'fu'ye'ti'ji 阿莫西林口服液体剂
'a'na'qu'zuo 阿那曲唑
'a'pai'sha'ban 阿哌沙班
'a'pu'mi'si'te'pian 阿普米司特片
'a'pu'zuo'lun 阿普唑仑
'a'qi'mei'su'ke'li'ji 阿奇霉素颗粒剂
'a'qi'mei'su'kou'fu'chang'shi'ji'xing 阿奇霉素口服常释剂型
'a'qi'mei'su'kou'fu'ye'ti'ji 阿奇霉素口服液体剂
'a'qi'mei'su'zhu'she'ji 阿奇霉素注射剂
'a'qi'sha'tan'pian 阿齐沙坦片
'a'qu'ku'an 阿曲库铵
'a'rou'bi'xing 阿柔比星
'a'rui'pi'tan'zhu'she'ye 阿瑞匹坦注射液
'a'si'pi'lin'chang'rong'huan'shi'pian 阿司匹林肠溶缓释片
'a'si'pi'lin'huan'shi'kong'shi'ji'xing 阿司匹林缓释控释剂型
'a'tang'bao'gan 阿糖胞苷
'a'ti'luo'er 阿替洛尔
'a'tuo'fa'ta'ting 阿托伐他汀
'a'tuo'pin'kou'fu'chang'shi'ji'xing 阿托品口服常释剂型
'a'tuo'pin'yan'gao'ji 阿托品眼膏剂
'a'tuo'pin'yan'yong'ning'jiao'ji 阿托品眼用凝胶剂
'a'tuo'pin'zhu'she'ji 阿托品注射剂
'a'tuo'xi'ban 阿托西班
'a'wei'suan'na 阿魏酸钠
'a'wei'suan'pai'qin 阿魏酸哌嗪
'a'xi'luo'wei'di'yan'ji 阿昔洛韦滴眼剂
'a'xi'luo'wei'ke'li'ji 阿昔洛韦颗粒剂
'a'xi'luo'wei'kou'fu'chang'shi'ji'xing 阿昔洛韦口服常释剂型
'a'xi'luo'wei'ning'jiao'ji 阿昔洛韦凝胶剂
'a'xi'luo'wei'ruan'gao'ji 阿昔洛韦软膏剂
'a'xi'luo'wei'zhu'she'ji 阿昔洛韦注射剂
'a'xi'mo'si 阿昔莫司
'a'xi'ti'ni'pian 阿昔替尼片
'a'zha'bao'gan 阿扎胞苷
'ai'di'gu'hua'chun'ruan'jiao'nang 艾地骨化醇软胶囊
'ai'la'mo'de 艾拉莫德
'ai'pu'la'zuo 艾普拉唑
'ai'pu'lie'te 爱普列特
'ai'qu'bo'pa'yi'chun'an'pian 艾曲泊帕乙醇胺片
'ai'rui'xi'bu 艾瑞昔布
'ai'sai'na'tai'zhu'she'ye 艾塞那肽注射液
'ai'si'ao'mei'la'zuo'mei'chang'rong'gan'hun'xuan'ji 艾司奥美拉唑镁肠溶干混悬剂
'ai'si'luo'er 艾司洛尔
'ai'si'xi'tai'pu'lan 艾司西酞普兰
'ai'si'zuo'lun 艾司唑仑
'ai'suo'mei'la'zuo'ai'si'ao'mei'la'zuo'zhu'she'ji 埃索美拉唑艾司奥美拉唑注射剂
'ai'tuo'ge'lie'jing'pian 艾托格列净片
'an'a'ding 安吖啶
'an'ben'die'ding 氨苯蝶啶
'an'ben'feng 氨苯砜
'an'bi'ding'huan'shi'pian 氨吡啶缓释片
'an'bian'xi'lin 氨苄西林
'an'bian'xi'lin'shu'ba'tan 氨苄西林舒巴坦
'an'cha'jian'huan'shi'kong'shi'ji'xing 氨茶碱缓释控释剂型
'an'cha'jian'kou'fu'chang'shi'ji'xing 氨茶碱口服常释剂型
'an'cha'jian'zhu'she'ji 氨茶碱注射剂
'an'dian'tong'kou'fu'chang'shi'ji'xing 胺碘酮口服常释剂型
'an'dian'tong'zhu'she'ji 胺碘酮注射剂
'an'fen'dai'yin 氨酚待因
'an'fen'qiang'kao'tong 氨酚羟考酮
'an'fen'qu'ma'duo 氨酚曲马多
'an'fen'shuang'qing'ke'dai'yin 氨酚双氢可待因
'an'fen'wei'ma'jiao'nang 氨酚伪麻胶囊
'an'fen'wei'ma'mei'fen'jiao'nang 氨酚伪麻美芬胶囊
'an'fen'wei'ma'mei'fen'pian 氨酚伪麻美芬片
'an'fen'wei'ma'mei'fen'pian'an'ma'mei'min'pian 氨酚伪麻美芬片氨麻美敏片
'an'fen'wei'ma'mei'fen'pian'ben'fen'wei'ma'pian 氨酚伪麻美芬片苯酚伪麻片
'an'fen'wei'ma'na'min'jiao'nang 氨酚伪麻那敏胶囊
'an'fen'wei'ma'na'min'rong'ye 氨酚伪麻那敏溶液
'an'huang'bi'li 氨磺必利
'an'huang'bi'li'kou'fu'rong'ye 氨磺必利口服溶液
'an'ji'ji'suan'kou'fu'chang'shi'ji'xing 氨基己酸口服常释剂型
'an'ji'ji'suan'lv'hua'na 氨基己酸氯化钠
'an'ji'ji'suan'zhu'she'ji 氨基己酸注射剂
'an'ji'pu'tao'tang 氨基葡萄糖
'an'ji'suan'fu'mo'tou'xi'ye 氨基酸腹膜透析液
'an'jia'ben'suan'kou'fu'chang'shi'ji'xing 氨甲苯酸口服常释剂型
'an'jia'ben'suan'lv'hua'na 氨甲苯酸氯化钠
'an'jia'ben'suan'pu'tao'tang 氨甲苯酸葡萄糖
'an'jia'ben'suan'zhu'she'ji 氨甲苯酸注射剂
'an'jia'huan'suan'kou'fu'chang'shi'ji'xing 氨甲环酸口服常释剂型
'an'jia'huan'suan'lv'hua'na 氨甲环酸氯化钠
'an'jia'huan'suan'zhu'she'ji 氨甲环酸注射剂
'an'ka'ma'min'jiao'nang 氨咖麻敏胶囊
'an'ka'yu'min'rong'ye 氨咖愈敏溶液
'an'li'sheng'tan 安立生坦
'an'lv'di'ping 氨氯地平
'an'lv'di'ping'a'tuo'fa'ta'ting 氨氯地平阿托伐他汀
'an'lv'di'ping'bei'na'pu'li 氨氯地平贝那普利
'an'lv'di'ping'bei'na'pu'li'jiao'nang 氨氯地平贝那普利胶囊
'an'ma'mei'min'pian 氨麻美敏片
'an'nai'jin 安乃近
'an'ning'pai 桉柠蒎
'an'qu'nan 氨曲南
'an'tai'su 氨肽素
'an'tang'mei'xin 氨糖美辛
'an'ti'bi'lin'ka'fei'yin'pian 安替比林咖啡因片
'an'xiu'suo'ke'li'ji 氨溴索颗粒剂
'an'xiu'suo'kou'fu'chang'shi'ji'xing 氨溴索口服常释剂型
'an'xiu'suo'kou'fu'ye'ti'ji 氨溴索口服液体剂
'an'xiu'suo'zhu'she'ji 氨溴索注射剂
'ang'dan'si'qiong'kou'fu'chang'shi'ji'xing 昂丹司琼口服常释剂型
'ang'dan'si'qiong'zhu'she'ji 昂丹司琼注射剂
'ao'bu'ka'yin 奥布卡因
'ao'dan'ping'kou'fu'chang'shi'ji'xing 奥氮平口服常释剂型
'ao'dan'ping'kou'qiang'beng'jie'pian 奥氮平口腔崩解片
'ao'dan'ping'kou'rong'mo 奥氮平口溶膜
'ao'ka'xi'ping'kou'fu'chang'shi'ji'xing 奥卡西平口服常释剂型
'ao'ka'xi'ping'kou'fu'ye'ti'ji 奥卡西平口服液体剂
'ao'la'pa'li'pian 奥拉帕利片
'ao'luo'ta'ding 奥洛他定
'ao'luo'ta'ding'di'yan'ji 奥洛他定滴眼剂
'ao'mei'la'zuo'kou'fu'chang'shi'ji'xing 奥美拉唑口服常释剂型
'ao'mei'la'zuo'tan'suan'qing'na'gan'hun'xuan'ji 奥美拉唑碳酸氢钠干混悬剂
'ao'mei'la'zuo'tan'suan'qing'na'jiao'nang 奥美拉唑碳酸氢钠胶囊
'ao'mei'la'zuo'zhu'she'ji 奥美拉唑注射剂
'ao'mei'sha'tan'zhi 奥美沙坦酯
'ao'mei'sha'tan'zhi'an'lv'di'ping 奥美沙坦酯氨氯地平
'ao'mei'sha'tan'zhi'qing'lv'sai'qin 奥美沙坦酯氢氯噻嗪
'ao'qu'tai 奥曲肽
'ao'sha'li'bo 奥沙利铂
'ao'sha'li'bo'gan'lu'chun 奥沙利铂甘露醇
'ao'sha'xi'pan 奥沙西泮
'ao'si'ta'wei'ke'li'ji 奥司他韦颗粒剂
'ao'si'ta'wei'kou'fu'chang'shi'ji'xing 奥司他韦口服常释剂型
'ao'xi'bu'ning'huan'shi'kong'shi'ji'xing 奥昔布宁缓释控释剂型
'ao'xi'bu'ning'kou'fu'chang'shi'ji'xing 奥昔布宁口服常释剂型
'ao'xiao'zuo'kou'fu'chang'shi'ji'xing 奥硝唑口服常释剂型
'ao'xiao'zuo'lv'hua'na 奥硝唑氯化钠
'ao'xiao'zuo'pu'tao'tang 奥硝唑葡萄糖
'ao'xiao'zuo'zhu'she'ji 奥硝唑注射剂
'ao'zha'ge'lei 奥扎格雷
'ba'li'xi'dan'kang 巴利昔单抗
'ba'lv'fen 巴氯芬
'ba'qu'mei 巴曲酶
'ba'rui'ti'ni'pian 巴瑞替尼片
'bai'hou'kang'du'su 白喉抗毒素
'bai'mei'she'du'xue'ning'mei 白眉蛇毒血凝酶
'bai'shao'zong'gan 白芍总苷
'bai'xiao'an'kou'fu'chang'shi'ji'xing 白消安口服常释剂型
'bai'xiao'an'zhu'she'ji 白消安注射剂
'ban'bu'te'luo'ke'li'ji 班布特罗颗粒剂
'ban'bu'te'luo'kou'fu'chang'shi'ji'xing 班布特罗口服常释剂型
'ban'bu'te'luo'kou'fu'ye'ti'ji 班布特罗口服液体剂
'bao'lin'dan'jian 胞磷胆碱
'bao'lin'dan'jian'bao'er'lin'dan'jian 胞磷胆碱胞二磷胆碱
'bao'lin'dan'jian'lv'hua'na 胞磷胆碱氯化钠
'bao'lin'dan'jian'pu'tao'tang 胞磷胆碱葡萄糖
'bao'quan'yang'dian'fen'kou'fu'chang'shi'ji'xing 包醛氧淀粉口服常释剂型
'bao'quan'yang'dian'fen'kou'fu'san'ji 包醛氧淀粉口服散剂
'bei'fa'zhu'dan'kang 贝伐珠单抗
'bei'lv'mi'song 倍氯米松
'bei'lv'mi'song'fu'mo'te'luo 倍氯米松福莫特罗
'bei'lv'mi'song'xi'ru'ji 倍氯米松吸入剂
'bei'mei'ge 贝美格
'bei'mei'qian'lie'su 贝美前列素
'bei'min'wei'ma'pian 贝敏伪麻片
'bei'na'pu'li 贝那普利
'bei'na'pu'li'qing'lv'sai'qin 贝那普利氢氯噻嗪
'bei'ni'di'ping 贝尼地平
'bei'qian'lie'su 贝前列素
'bei'ta'luo'er 倍他洛尔
'bei'ta'mi'song'kou'fu'chang'shi'ji'xing 倍他米松口服常释剂型
'bei'ta'mi'song'zhu'she'ji 倍他米松注射剂
'bei'ta'si'ting 贝他斯汀
'bei'ta'si'ting'kou'fu'chang'shi'ji'xing 倍他司汀口服常释剂型
'bei'ta'si'ting'zhu'she'ji 倍他司汀注射剂
'ben'ba'bi'tuo'kou'fu'chang'shi'ji'xing 苯巴比妥口服常释剂型
'ben'ba'bi'tuo'zhu'she'ji 苯巴比妥注射剂
'ben'da'mo'si'ting 苯达莫司汀
'ben'ding'suan'dan'jie 苯丁酸氮芥
'ben'hai'la'ming'kou'fu'chang'shi'ji'xing 苯海拉明口服常释剂型
'ben'hai'la'ming'zhu'she'ji 苯海拉明注射剂
'ben'hai'suo 苯海索
'ben'huang'shun'a'qu'ku'an 苯磺顺阿曲库铵
'ben'jia'suan'ci'er'chun 苯甲酸雌二醇
'ben'tuo'ying'na 苯妥英钠
'ben'xiu'ma'long 苯溴马隆
'ben'zha'bei'te 苯扎贝特
'ben'zuo'xi'lin'kou'fu'chang'shi'ji'xing 苯唑西林口服常释剂型
'ben'zuo'xi'lin'zhu'she'ji 苯唑西林注射剂
'bi'a'pei'nan 比阿培南
'bi'bei'di'er 吡贝地尔
'bi'fei'ni'tong 吡非尼酮
'bi'ge'lie'tong 吡格列酮
'bi'ge'lie'tong'er'jia'shuang'gua 吡格列酮二甲双胍
'bi'ka'lu'an 比卡鲁胺
'bi'kui'tong 吡喹酮
'bi'la'xi'tan 吡拉西坦
'bi'la'xi'tan'yi'xian'an'bi'luo'wan'tong 吡拉西坦乙酰胺吡咯烷酮
'bi'lun'pa'nai'pian 吡仑帕奈片
'bi'luo'xi'kang 吡罗昔康
'bi'mei'mo'si 吡美莫司
'bi'mi'si'te 吡嘧司特
'bi'pai'suan 吡哌酸
'bi'qin'xian'an 吡嗪酰胺
'bi'rou'bi'xing 吡柔比星
'bi'suo'luo'er 比索洛尔
'bi'suo'luo'er'an'lv'di'ping'pian 比索洛尔氨氯地平片
'bian'xing'qing'mei'su 苄星青霉素
'biao'rou'bi'xing 表柔比星
'bie'piao'chun'huan'shi'kong'shi'ji'xing 别嘌醇缓释控释剂型
'bie'piao'chun'kou'fu'chang'shi'ji'xing 别嘌醇口服常释剂型
'bing'an'rui'lin 丙氨瑞林
'bing'an'xian'gu'an'xian'an 丙氨酰谷氨酰胺
'bing'bo'fen 丙泊酚
'bing'bo'fen'zhong'chang'lian'zhi'fang'ru 丙泊酚中长链脂肪乳
'bing'fen'ti'nuo'fu'wei 丙酚替诺福韦
'bing'ka'te'luo'ke'li'ji 丙卡特罗颗粒剂
'bing'ka'te'luo'kou'fu'chang'shi'ji'xing 丙卡特罗口服常释剂型
'bing'ka'te'luo'kou'fu'ye'ti'ji 丙卡特罗口服液体剂
'bing'liu'yang'mi'ding 丙硫氧嘧啶
'bing'liu'yi'yan'an 丙硫异烟胺
'bing'mi'qin 丙米嗪
'bing'suan'gao'tong 丙酸睾酮
'bing'wu'suan'mei'huan'shi'kong'shi'ji'xing 丙戊酸镁缓释控释剂型
'bing'wu'suan'mei'kou'fu'chang'shi'ji'xing 丙戊酸镁口服常释剂型
'bing'wu'suan'na 丙戊酸钠
'bing'wu'suan'na'huan'shi'kong'shi'ti'ji 丙戊酸钠缓释控释体剂
'bing'wu'suan'na'kou'fu'chang'shi'ti'ji 丙戊酸钠口服常释体剂
'bing'wu'suan'na'kou'fu'ye'ti'ji 丙戊酸钠口服液体剂
'bing'wu'suan'na'zhu'she'ji 丙戊酸钠注射剂
'bo'an'kui 伯氨喹
'bo'lai'mei'su 博来霉素
'bo'li'suan'na 玻璃酸钠
'bo'li'suan'na'di'yan'ji 玻璃酸钠滴眼剂
'bo'ma'du'an'jiao'nang 泊马度胺胶囊
'bo'sha'kang'zuo'chang'rong'pian 泊沙康唑肠溶片
'bo'sha'kang'zuo'kou'fu'hun'xuan'ye 泊沙康唑口服混悬液
'bo'sha'kang'zuo'zhu'she'ye 泊沙康唑注射液
'bo'sheng'tan'fen'san'pian 波生坦分散片
'bu'bi'ka'yin 布比卡因
'bu'di'nai'de 布地奈德
'bu'di'nai'de'fu'mo'te'luo 布地奈德福莫特罗
'bu'lin'zuo'an 布林佐胺
'bu'lin'zuo'an'sai'ma'luo'er'di'yan'ye 布林佐胺噻吗洛尔滴眼液
'bu'lin'zuo'an'xiu'mo'ni'ding'di'yan'ye 布林佐胺溴莫尼定滴眼液
'bu'luo'fen'huan'shi'kong'shi'ji'xing 布洛芬缓释控释剂型
'bu'luo'fen'ke'li'ji 布洛芬颗粒剂
'bu'luo'fen'kou'fu'chang'shi'ji'xing 布洛芬口服常释剂型
'bu'luo'fen'kou'fu'ye'ti'ji 布洛芬口服液体剂
'bu'luo'fen'ru'gao'ji 布洛芬乳膏剂
'bu'luo'fen'zhu'she'ji 布洛芬注射剂
'bu'luo'wei'ma'fen'san'pian 布洛伪麻分散片
'bu'luo'wei'ma'ke'li'ji 布洛伪麻颗粒剂
'bu'luo'wei'ma'pian 布洛伪麻片
'bu'mei'ta'ni'kou'fu'chang'shi'ji'xing 布美他尼口服常释剂型
'bu'mei'ta'ni'zhu'she'ji 布美他尼注射剂
'bu'nan'se'lin'pian 布南色林片
'bu'ti'nai'fen 布替萘芬
'bu'tuo'fei'nuo 布托啡诺
'bu'ye'yan 补液盐
'cao'wu'jia'su 草乌甲素
'cha'ben'hai'ming 茶苯海明
'cha'jian 茶碱
'chang'chun'di'xin 长春地辛
'chang'chun'rui'bin'kou'fu'chang'shi'ji'xing 长春瑞滨口服常释剂型
'chang'chun'rui'bin'zhu'she'ji 长春瑞滨注射剂
'chang'chun'xin'jian 长春新碱
'chong'zu'lian'ji'mei 重组链激酶
'chong'zu'ren'bai'jie'su 重组人白介素
'chong'zu'ren'ning'xue'yin'zi 重组人凝血因子
'chong'zu'ren'suan'xing'cheng'xian'wei'xi'bao'sheng'zhang'yin'zi 重组人酸性成纤维细胞生长因子
'chuan'long'shu'yu'zao'gan'shu'yu'zao'gan 穿龙薯蓣皂苷薯蓣皂苷
'chuan'xiong'qin 川芎嗪
'chui'ti'hou'ye 垂体后叶
'ci'er'chun 雌二醇
'ci'er'chun'ci'er'chun'di'qu'yun'tong 雌二醇雌二醇地屈孕酮
'ci'mo'si'ting 雌莫司汀
'cu'gan'xi'bao'sheng'zhang'su 促肝细胞生长素
'cu'jia'zuo'an 醋甲唑胺
'cu'lv'fen'suan 醋氯芬酸
'cu'pi'zhi'su 促皮质素
'cu'suan'ai'ti'ban'te'zhu'she'ye 醋酸艾替班特注射液
'cu'suan'gai 醋酸钙
'da'bi'jia'qun'zhi 达比加群酯
'da'gan'su 达肝素
'da'ge'lie'jing'pian 达格列净片
'da'guan'mei'su 大观霉素
'da'ka'ba'qin 达卡巴嗪
'da'ke'luo'ning 达克罗宁
'da'ke'ti'ni'pian 达可替尼片
'da'na'zuo 达那唑
'da'sha'ti'ni 达沙替尼
'da'suan'su'kou'fu'chang'shi'ji'xing 大蒜素口服常释剂型
'da'suan'su'zhu'she'ji 大蒜素注射剂
'da'tuo'mei'su 达托霉素
'dan'jie 氮芥
'dan'si'ting 氮斯汀
'dan'si'ting'di'yan'ji 氮斯汀滴眼剂
'dan'wei'ding'kou'fu'chang'shi'ji'xing 胆维丁口服常释剂型
'dan'wei'ding'kou'fu'ru'ji 胆维丁口服乳剂
'dan'xiao'suan'yi'shan'li'zhi 单硝酸异山梨酯
'dan'xiao'suan'yi'shan'li'zhi'huan'shi'kong'shi'ji'xing 单硝酸异山梨酯缓释控释剂型
'dan'xiao'suan'yi'shan'li'zhi'kou'fu'chang'shi'ji'xing 单硝酸异山梨酯口服常释剂型
'dan'xiao'suan'yi'shan'li'zhi'zhu'she'ji 单硝酸异山梨酯注射剂
'de'gu'yi'dao'su 德谷胰岛素
'de'la'ma'ni'pian 德拉马尼片
'di'ao'si'ming'gan'ju'huang'tong 地奥司明柑橘黄酮
'di'ba'zuo 地巴唑
'di'en'fen 地蒽酚
'di'er'liu 地尔硫
'di'er'liu'kou'fu'chang'shi'ji'xing 地尔硫口服常释剂型
'di'er'liu'zhu'she'ji 地尔硫注射剂
'di'fen'ni'duo 地芬尼多
'di'fen'zi'gan'su 低分子肝素
'di'fu'wan 地氟烷
'di'gao'xin'kou'fu'chang'shi'ji'xing 地高辛口服常释剂型
'di'gao'xin'kou'fu'ye'ti'ji 地高辛口服液体剂
'di'gao'xin'zhu'she'ji 地高辛注射剂
'di'jing'dan'bai'xin'yi'dao'su 低精蛋白锌胰岛素
'di'la'luo'si 地拉罗司
'di'lv'lei'ta'ding'kou'fu'chang'shi'ji'xing 地氯雷他定口服常释剂型
'di'lv'lei'ta'ding'kou'fu'ye'ti'ji 地氯雷他定口服液体剂
'di'nai'de 地奈德
'di'nuo'qian'lie'tong 地诺前列酮
'di'nuo'yun'su 地诺孕素
'di'qu'yun'tong 地屈孕酮
'di'sai'mi'song'di'yan'ji 地塞米松滴眼剂
'di'sai'mi'song'kou'fu'chang'shi'ji'xing 地塞米松口服常释剂型
'di'sai'mi'song'lin'suan'na 地塞米松磷酸钠
'di'sai'mi'song'ruan'gao'ji 地塞米松软膏剂
'di'sai'mi'song'zhi'ru'ji 地塞米松植入剂
'di'sai'mi'song'zhu'she'ji 地塞米松注射剂
'di'sai'mi'song'zong'lv'suan'zhi 地塞米松棕榈酸酯
'di'shu'dan'kang'zhu'she'ye 地舒单抗注射液
'di'te'yi'dao'su 地特胰岛素
'di'xi'pan'kou'fu'chang'shi'ji'xing 地西泮口服常释剂型
'di'xi'pan'zhu'she'ji 地西泮注射剂
'di'xi'ta'bin 地西他滨
'di'yi'ya'bao'gan'jun'huo'jun'ke'li'ji 地衣芽孢杆菌活菌颗粒剂
'di'yi'ya'bao'gan'jun'huo'jun'kou'fu'chang'shi'ji'xing 地衣芽孢杆菌活菌口服常释剂型
'dian'bi'chun 碘比醇
'dian'fo'chun 碘佛醇
'dian'hai'chun 碘海醇
'dian'hua'you 碘化油
'dian'jie'lin'ding 碘解磷定
'dian'ke'sha'chun 碘克沙醇
'dian'mei'pu'er 碘美普尔
'dian'pa'chun 碘帕醇
'dian'pu'luo'an 碘普罗胺
'dian'qie'kou'fu'chang'shi'ji'xing 颠茄口服常释剂型
'dian'qie'kou'fu'ye'ti'ji 颠茄口服液体剂
'ding'bing'nuo'fei 丁丙诺啡
'ding'ka'yin'ning'jiao'ji 丁卡因凝胶剂
'ding'ka'yin'zhu'she'ji 丁卡因注射剂
'ding'luo'huan'tong 丁螺环酮
'ding'suan'qing'hua'ke'di'song 丁酸氢化可的松
'ding'xiu'dong'lang'dang'jian'kou'fu'chang'shi'ji'xing 丁溴东莨菪碱口服常释剂型
'ding'xiu'dong'lang'dang'jian'zhu'she'ji 丁溴东莨菪碱注射剂
'dong'lang'dang'jian'kou'fu'chang'shi'ji'xing 东莨菪碱口服常释剂型
'dong'lang'dang'jian'zhu'she'ji 东莨菪碱注射剂
'du'luo'xi'ting 度洛西汀
'duan'tai'xing'chang'nei'ying'yang'ji 短肽型肠内营养剂
'dui'an'ji'shui'yang'suan'na'kou'fu'chang'shi'ji'xing 对氨基水杨酸钠口服常释剂型
'dui'an'ji'shui'yang'suan'na'zhu'she'ji 对氨基水杨酸钠注射剂
'dui'yi'xian'an'ji'fen'huan'shi'kong'shi'ji'xing 对乙酰氨基酚缓释控释剂型
'dui'yi'xian'an'ji'fen'ke'li'ji 对乙酰氨基酚颗粒剂
'dui'yi'xian'an'ji'fen'kou'fu'chang'shi'ji'xing 对乙酰氨基酚口服常释剂型
'dui'yi'xian'an'ji'fen'kou'fu'ye'ti'ji 对乙酰氨基酚口服液体剂
'dui'yi'xian'an'ji'fen'shuan'ji 对乙酰氨基酚栓剂
'duo'ba'an 多巴胺
'duo'ba'fen'ding'an 多巴酚丁胺
'duo'ba'si'jing 多巴丝肼
'duo'huang'suan'nian'duo'tang 多磺酸粘多糖
'duo'jia'qi'xing'huai'ju'kang'du'su 多价气性坏疽抗毒素
'duo'ku'zhi'na 多库酯钠
'duo'nai'pai'qi'kou'fu'chang'shi'ji'xing 多奈哌齐口服常释剂型
'duo'nai'pai'qi'kou'qiang'beng'jie'pian 多奈哌齐口腔崩解片
'duo'pan'li'tong'kou'fu'chang'shi'ji'xing 多潘立酮口服常释剂型
'duo'pan'li'tong'kou'fu'ye'ti'ji 多潘立酮口服液体剂
'duo'rou'bi'xing 多柔比星
'duo'sai'ping 多塞平
'duo'sai'ping'kou'fu'chang'shi'ji'xing 多塞平口服常释剂型
'duo'sha'pu'lun 多沙普仑
'duo'sha'zuo'qin'huan'shi'kong'shi'ji'xing 多沙唑嗪缓释控释剂型
'duo'sha'zuo'qin'kou'fu'chang'shi'ji'xing 多沙唑嗪口服常释剂型
'duo'suo'cha'jian'kou'fu'chang'shi'ji'xing 多索茶碱口服常释剂型
'duo'suo'cha'jian'zhu'she'ji 多索茶碱注射剂
'duo'tang'tie'fu'he'wu 多糖铁复合物
'duo'xi'huan'su'kou'fu'chang'shi'ji'xing 多西环素口服常释剂型
'duo'xi'huan'su'zhu'she'ji 多西环素注射剂
'duo'xi'lin'zhi'xian'dan'jian 多烯磷脂酰胆碱
'duo'xi'lin'zhi'xian'dan'jian'zhu'she'ji 多烯磷脂酰胆碱注射剂
'duo'xi'ta'sai 多西他赛
'duo'zhong'wei'liang'yuan'su 多种微量元素
'duo'zhong'wei'liang'yuan'su'zhu'she'ye 多种微量元素注射液
'duo'zhong'wei'sheng'su 多种维生素
'e'bei'sha'tan 厄贝沙坦
'e'bei'sha'tan'qing'lv'sai'qin 厄贝沙坦氢氯噻嗪
'e'luo'ti'ni 厄洛替尼
'e'ta'pei'nan 厄他培南
'en'fu'wan 恩氟烷
'en'ge'lie'jing 恩格列净
'en'qu'ta'bin 恩曲他滨
'en'qu'ta'bin'ti'nuo'fu'wei 恩曲他滨替诺福韦
'en'ta'ka'peng 恩他卡朋
'en'ta'ka'peng'shuang'duo'ba 恩他卡朋双多巴
'en'ti'ka'wei 恩替卡韦
'en'ti'ka'wei'kou'fu'rong'ye 恩替卡韦口服溶液
'en'zha'lu'an'ruan'jiao'nang 恩扎卢胺软胶囊
'er'jia'fu'lin 二甲弗林
'er'jia'gui'you'kou'fu'chang'shi'ji'xing 二甲硅油口服常释剂型
'er'jia'gui'you'kou'fu'san'ji 二甲硅油口服散剂
'er'jia'gui'you'kou'fu'ye'ti'ji 二甲硅油口服液体剂
'er'jia'shuang'gua 二甲双胍
'er'jia'shuang'gua'en'ge'lie'jing'pian 二甲双胍恩格列净片
'er'jia'shuang'gua'ge'lie'bi'qin 二甲双胍格列吡嗪
'er'jia'shuang'gua'huan'shi'kong'shi'ji'xing 二甲双胍缓释控释剂型
'er'jia'shuang'gua'kou'fu'chang'shi'ji'xing 二甲双胍口服常释剂型
'er'jia'shuang'gua'wei'ge'lie'ting 二甲双胍维格列汀
'er'liu'hua'xi 二硫化硒
'er'qiang'bing'cha'jian'kou'fu'chang'shi'ji'xing 二羟丙茶碱口服常释剂型
'er'qiang'bing'cha'jian'zhu'she'ji 二羟丙茶碱注射剂
'er'qing'mai'jiao'jian'huan'shi'kong'shi'ji'xing 二氢麦角碱缓释控释剂型
'er'qing'mai'jiao'jian'kou'fu'chang'shi'ji'xing 二氢麦角碱口服常释剂型
'er'qiu'bing'chun 二巯丙醇
'er'qiu'bing'huang'na 二巯丙磺钠
