'an'shi'ye'ju'guang'jing 暗视野聚光镜
'di'su'tai'shi'li'xin'ji 低速台式离心机
'di'su'tai'shi'zi'dong'ping'heng'li'xin'ji 低速台式自动平衡离心机
'di'wen'bao'cun'xiang 低温保存箱
'di'wen'heng'wen'cao 低温恒温槽
'di'wen'heng'wen'pei'yang'xiang 低温恒温培养箱
'dian'ci'jiao'ban'qi 电磁搅拌器
'dian'dao'dian'ji 电导电极
'dian'dao'lv'jian'shi'qi 电导率监视器
'dian'dao'lv'yi 电导率仪
'dian'guang'fen'xi'tian'ping 电光分析天平
'dian'hua'xue 电化学
'dian'hua'xue'fen'xi'yi 电化学分析仪
'dian'ji 电极
'dian'ji'fa'duo'can'shu'ce'liang'yi 电极法多参数测量仪
'dian're'xiao'jie'yi 电热消解仪
'dian'shi'xi'tong 电视系统
'dian'wei'di'ding'yi 电位滴定仪
'dian'zi'bi'zhong'mi'du'tian'ping 电子比重密度天平
'dian'zi'bu'huo'jian'ce'qi 电子捕获检测器
'dian'zi'fen'xi'tian'ping 电子分析天平
'dian'zi'jing'mi'tian'ping 电子精密天平
'dian'zi'jing'shui'tian'ping 电子静水天平
'duo'can'shu 多参数
'duo'gong'neng'dian'ji 多功能电极
'duo'qi'ti'pei'yang'xiang 多气体培养箱
'duo'yong'tu'bao'cun'xiang 多用途保存箱
'fan'guang'jing 反光镜
'fen'xi'tian'ping 分析天平
'fu'jian 附件
'fu'ya'shi 负压式
'fu'zhu'xi'ye'qi 辅助吸液器
'gan're'dian'zi'lu 干热电子炉
'gao'ji'shi'pin'cai'ji'ka 高级视频采集卡
'gao'su'leng'dong'li'xin'ji 高速冷冻离心机
'gao'su'shuang'bo'chang'mei'biao'xin'yang 高速双波长酶标信仰
'gao'su'shuang'dao'ru'dong'beng'tou 高速双道蠕动泵头
'gao'su'si'tong'dao'ru'dong'beng'tou 高速四通道蠕动泵头
'gao'su'tai'shi'li'xin'ji 高速台式离心机
'gao'wen'cha're'fen'xi'yi 高温差热分析仪
'gao'wen'dian'zi'lu 高温电子炉
'gao'wen'heng'wen'pei'yang'xiang 高温恒温培养箱
'gao'wen'wei'liang're'tian'ping 高温微量热天平
'gao'xiao'ye'xiang'se'pu'yi 高效液相色谱仪
'gao'ya'zheng'qi'mie'jun'qi 高压蒸汽灭菌器
'gong'zuo'zhan 工作站
'guan'jia 管架
'guan'xing'ce'li'ji 管型测力计
'hao'shui'ping'shi'mei'jun'fan'ying'ban 号水平式霉菌反应板
'hong'wai'an'chang 红外暗场
'hu'dong'shi'xian'wei'jiao'xue'wang'luo'jiao'shi 互动式纤维教学网络教室
'hua'xue'hao'yang'liang'ce'liang'yi 化学耗氧量测量仪
'huo'yan'guang'du'jian'ce'qi 火焰光度检测器
'huo'yan'ruan'jian 火焰软件
'huo'yan'shi'mo'lu'ruan'jian 火焰石墨炉软件
'ji'shu'tian'ping 技术天平
'ji'suan'ji'ruan'jian 计算机软件
'jia'pan'liang'shi'tian'ping 架盘粮食天平
'jia'pan'tian'ping 架盘天平
'jia're'ban 加热板
'jian'tou'zhi'shi'qi 箭头指示器
'jian'yi'pian'guang'zhuang'zhi 简易偏光装置
'jiao'zhuan'tou 角转头
'jiao'zhuan'zi 角转子
'jin'hong'wai'fen'guang'guang'du'ji 近红外分光光度计
'jin'kou'duo'gong'neng'ran'se'ti'fen'xi'ruan'jian 进口多功能染色体分析软件
'jing'ji'tian'ping 经济天平
'jing'mi'cu'cao'du'ce'shi'yi 精密粗糙度测试仪
'jing'mi'niu'li'tian'ping 精密扭力天平
'jing'mi'tian'ping 精密天平
'ka'shi'shui'fen'ce'ding'yi 卡式水分测定仪
'ke'li'ce'ding'yi 科利测定仪
'kuang'shan'tian'ping 矿山天平
'li'zi'nong'du'ji 离子浓度计
'li'zi'xuan'ze'xing'dian'ji 离子选择性电极
'lian'xu'bian'bei'xian'wei'jing 连续变倍显微镜
'lian'xu'li'xin'zhuan'zi 连续离心转子
'liang'ren'gong'lan 两人共览
'lu'su'deng'hong'wai'tao'ci'ke'xuan 卤素灯红外陶瓷可选
'mao'xi'guan'xue'ye 毛细管血液
'mei'biao'ban'zhuan'zi 酶标板转子
'nian'du'ji 粘度计
'niu'li'jia'pan'tian'ping 扭力架盘天平
'nong'yao'can'du'su'ce'yi 农药残毒速测仪
'pei'jian 配件
'pei'yang'xiang 培养箱
'qi'xiang'se'pu'yi 气相色谱仪
'quan'zi'dong'jiao'pian'zhao'xiang'zhuang'zhi 全自动胶片照相装置
're'dao'chi'jian'ce'qi 热导池检测器
're'ji'xie'jian'ce'yi 热机械检测仪
'ru'dong'beng'zhu'ji 蠕动泵主机
'ruan'jian 软件
'ruan'jian'bao 软件包
'san'biao'chi 三标尺
'san'mu'zhuan'huan'zhuang'zhi 三目转换装置
'san'ren'gong'lan 三人共览
'se'pu'chu'li'ruan'jian 色谱处理软件
'se'pu'gong'zuo'zhan 色谱工作站
'she'xiang'jie'tou 摄像接头
'sheng'wu'xian'wei'jing 生物显微镜
'shi'mo'lu 石墨炉
'shi'mo'lu'xi'tong 石墨炉系统
'shi'mo'lu'zi'dong'jin'yang'xi'tong 石墨炉自动进样系统
'shi'pei'qi 适配器
'shi'ren'gong'lan 十人共览
'shi'ying'hong'wai'tao'ci'ke'xuan 石英红外陶瓷可选
'shu'ma'da'yin'ji 数码打印机
'shu'ma'she'xiang'tou 数码摄像头
'shu'ma'xiang'ji'jie'kou 数码相机接口
'shu'ma'zhao'xiang'zhuang'zhi 数码照相装置
'shu'xian'dian'dao'lv'yi 数显电导率仪
'shu'xian'zhuan'yong'la'ya'shi'yan'ji 数显专用拉压试验机
'shu'zi'shi'dian'dao'lv'yi 数字式电导率仪
'shu'zi'shi'nian'du'ji 数字式粘度计
'shuang'biao'chi 双标尺
'shuang'dao'ru'dong'beng'tou 双道蠕动泵头
'shui'fen'ce'ding'yi 水分测定仪
'shui'fen'kuai'su'ce'yi 水分快速测仪
'shui'fen'yi 水份仪
'shui'ping'zhuan'zi 水平转子
'si'biao'chi 四标尺
'si'dao'beng'tou 四道泵头
'si'tong'dao'ru'dong'beng'tou 四通道蠕动泵头
'suan'du'ji 酸度计
'tai'shi'di'su'da'rong'liang'li'xin'ji 台式低速大容量离心机
'ti'shi'guang'yuan 体视光源
'ti'shi'guang'yuan'di'zuo 体视光源底座
'ti'shi'xian'wei'jing 体视显微镜
'tian'ping'pei'jian 天平配件
'wei'bo'gong'zhen 微波共振
'wei'fen'gan'she'zhuang'zhi 微分干涉装置
'wei'li'du'ce'ding'yi 微粒度测定仪
'wei'liang're'tian'ping 微量热天平
'wei'liang'tian'ping 微量天平
'wei'xing'li'xin'ji 微型离心机
'wen'du'chuan'gan'qi 温度传感器
'wu'jing 物镜
'wu'li'guang'xue'yi'qi 物理光学仪器
'wu'li'tian'ping 物理天平
'wu'ren'gong'lan 五人共览
'xi'lie'jing'qiao'xing'bi'se'ji 系列精巧型比色计
'xi'lie'xiang'ji 系列相机
'xi'shi'fen'pei'qi'dan'guan 稀释分配器单管
'xi'shi'fen'pei'qi'shuang'guan 稀释分配器双管
'xian'wei'cao'zuo'qi 显微操作器
'xian'wei'cao'zuo'xi'tong 显微操作系统
'xian'wei'jing'shu'ma'pai'she'tu'xiang'fen'xi'xi'tong 显微镜数码拍摄图像分析系统
'xian'wei'jing'tu'xiang'fen'xi'gong'zuo'zhan 显微镜图像分析工作站
'xian'wei'jing'tu'xiang'fen'xi'xi'tong 显微镜图像分析系统
'xian'wei'jing'ying'guang'zhuang'zhi 显微镜荧光装置
'xian'wei'ying'du'ji 显微硬度计
'xiang'cha'xian'wei'jing 相差显微镜
'xiang'cha'zhuang'zhi 相差装置
'xiang'yan'cheng 香烟秤
'xiao'qi'zhuang'zhi 笑气装置
'xing'dian'dong'fen'pei'qi 型电动分配器
'xing'yi'ye'qi 型移液器
'xing'yi'ye'qi'ji'tao'zhuang 型移液器及套装
'xuan'wo'hun'he'qi 漩涡混合器
'xuan'zhuan'nian'du'ji 旋转粘度计
'xue'hong'dan'bai'yi 血红蛋白仪
'xue'ye'bao'cun'xiang 血液保存箱
'xun'huan'shi'dian'zi'lu 循环式电子炉
'yan'jiu'ji'xian'wei'jing 研究级显微镜
'yang'dian'ji 氧电极
'yang'pin'lv'cheng'pan 样品铝称盘
'yao'pin'bao'cun'xiang 药品保存箱
'yao'pin'leng'cang'leng'dong'bao'cun'xiang 药品冷藏冷冻保存箱
'ying'guang'dao'zhi'xian'wei'jing 荧光倒置显微镜
'ying'guang'fen'guang'guang'du'ji 荧光分光光度计
'ying'guang'xian'wei'jing 荧光显微镜
'ying'guang'zhuang'zhi 荧光装置
'ying'yong'tian'ping 应用天平
'ying'zhi'pao'mo'xi'shui'lv'ce'ding'yi 硬质泡沫吸水氯测定仪
'you'jin'qie'huan'kai'guan'chu'mo'dian'zi'kai'guan 油浸切换开关触摸电子开关
'yu'lv'zong'lv'ce'liang'yi 余氯总氯测量仪
'yuan'hong'wai'fen'guang'guang'du'ji 远红外分光光度计
'yuan'zi'xi'shou'fen'guang'guang'du'ji 原子吸收分光光度计
'zeng'li'dian'dong'jiao'ban'qi 増力电动搅拌器
'zhao'xiang'jie'kou 照相接口
'zheng'ya'shi 正压式
'zhi'bing'ji 制冰机
'zhi'wu'pei'yang'xiang 植物培养箱
'zhong'xing'jing'mi'tian'ping 中型精密天平
'zhu'she'guan 注射管
'zhuan'ye'leng're'tai 专业冷热台
'zhuo'du'ji 浊度计
'zi'ran'dui'liu'shi'dian'zi'lu 自然对流式电子炉
'zi'wai'ke'jian'fen'guang'guang'du'ji 紫外可见分光光度计
'zi'wai'ke'jian'guang'pu'fan'she'yi 紫外可见光谱反射仪
