'an'jie 安节
'bu'shi'wang'hou'gao'shang'qi'shi 不事王侯高尚其事
'bu'wo'neng'ji 不我能即
'bu'xi'ren 不咥人
'bu'xia'yi 不遐遗
'bu'yi'shang'yi'xia 不宜上宜下
'bu'yong'suo'shi 不永所事
'bu'you'gong 不有躬
'bu'yuan'fu 不远复
'bu'zheng'qi'sui 不拯其随
'bu'zhong'ri 不终日
'bu'zi'she 不菑畲
'cheng'fu'yu'huang 城复于隍
'cheng'ma'ban'ru 乘马班如
'cheng'qi'yong 乘其墉
'cheng'you'yu 成有渝
'chi'gui'you'shi 迟归有时
'chi'you'hui 迟有悔
'chong'chong'wang'lai 憧憧往来
'chou'li'zhi 畴离祉
'chu'chen'qie'ji 畜臣妾吉
'chu'deng'yu'tian 初登于天
'chu'ji'zhong'luan 初吉终乱
'chu'men'jiao'you'gong 出门交有功
'chu'pin'niu 畜牝牛
'chu'ru'wu'ji 出入无疾
'chu'shi'gao 初筮告
'chu'ti'tuo'ruo 出涕沱若
'chu'zi'xue 出自穴
'chui'qi'yi 垂其翼
'cong'huo'qiang'zhi 从或戕之
'cui'gua 萃卦
'cui'ru'jie'ru 萃如嗟如
'cui'you'wei 萃有位
'da'che'yi'zai 大车以载
'da'chu'gua 大畜卦
'da'guo 大过
'da'ji 大吉
'da'jian'peng'lai 大蹇朋来
'da'jun'you'ming 大君有命
'da'jun'zhi'yi 大君之宜
'da'ren'fou 大人否
'da'ren'hu'bian 大人虎变
'da'ren'ji 大人吉
'da'shi'ke'xiang'yu 大师克相遇
'da'wang'xiao'lai 大往小来
'da'you'de 大有得
'da'you'gua 大有卦
'da'zhen'xiong 大贞凶
'da'zhuang'gua 大壮卦
'de'chen'wu'jia 得臣无家
'de'di 得敌
'de'huang'jin 得黄金
'de'huang'shi 得黄矢
'de'jin'shi 得金矢
'de'qi'da'shou 得其大首
'de'qi'zi'fu 得其资斧
'de'qie'yi'qi'zi 得妾以其子
'de'shang'yu'zhong'hang 得尚于中行
'de'tong'pu 得童仆
'di'yang'chu'fan 羝羊触藩
'di'yi'gui'mei 帝乙归妹
'di'zi'yu'shi 弟子舆尸
'dian'yi 颠颐
'ding'dian'zhi 鼎颠趾
'ding'er'ge 鼎耳革
'ding'gua 鼎卦
'ding'huang'er 鼎黄耳
'ding'you'shi 鼎有实
'ding'yu'xuan 鼎玉铉
'ding'zhe'zu 鼎折足
'dong'bei'sang'peng 东北丧朋
'dong'lin'sha'niu 东邻杀牛
'dong'long 栋隆
'dong'nao 栋挠
'dong'rao 栋桡
'dong'ze'guan'qi'bian'er'wan'qi'zhan 动则观其变而玩其占
'du'xing'yu'yu 独行遇雨
'du'ze'bu'gao 渎则不告
'dui'gua 兑卦
'dun'fu 敦复
'dun'gen 敦艮
'dun'gua 遁卦
'dun'lin 敦临
'dun'wei 遁尾
'er'gui'ke'yong'xiang 二簋可用享
'fa'meng 发蒙
'fan'fu'qi'dao 反覆其道
'fan'gui'yi'di 反归以娣
'fan'jue'bu'lei 藩决不羸
'fang'yu'kui'hui 方雨亏悔
'fei'dun 肥遁
'fei'fu 匪孚
'fei'gong'zhi'gu 匪躬之故
'fei'jiu 匪咎
'fei'kou'hun'gou 匪寇婚媾
'fei'long'zai'tian 飞龙在天
'fei'niao'li'zhi 飞鸟离之
'fei'niao'wei'zhi'yin 飞鸟遗之音
'fei'niao'yi'xiong 飞鸟以凶
'fei'qi'peng 匪其彭
'fei'wo'qiu'tong'meng 匪我求童蒙
'fei'yi'suo'si 匪夷所思
'fen'ru'si'ru'qi'ru 焚如死如弃如
'fen'shi'zhi'ya 豮豕之牙
'feng'gua 丰卦
'feng'qi'bu 丰其蔀
'feng'qi'pei 丰其沛
'feng'qi'wu 丰其屋
'fou'gua 否卦
'fou'zang'xiong 否臧凶
'fou'zhi'fei'ren 否之匪人
'fu'dui 孚兑
'fu'gong'su 覆公餗
'fu'gua 复卦
'fu'guo'fang'zhi 弗过防之
'fu'guo'yu'zhi 弗过遇之
'fu'hao'you'li 孚号有厉
'fu'ji'ming'yu 复既命渝
'fu'jia'da'ji 富家大吉
'fu'jing 拂经
'fu'jing'yu'qiu'yi 拂经于丘颐
'fu'ke'gong 弗克攻
'fu'ke'wei 弗克违
'fu'nai'li'yong'yue 孚乃利用禴
'fu'qi'fan'mu 夫妻反目
'fu'qie'cheng 负且乘
'fu'ren'ji 妇人吉
'fu'rong'yu'mang 伏戎于莽
'fu'sang'qi'fu 妇丧其茀
'fu'sun'yi'zhi 弗损益之
'fu'yi 拂颐
'fu'yi'qi'lin 富以其邻
'fu'yu'bo 孚于剥
'fu'yu'guo'zhi 弗遇过之
'fu'yu'jia 孚于嘉
'fu'yun'bu'yu 妇孕不育
'fu'ze'guan'fa'yu'di 俯则观法于地
'fu'zhen'li 妇贞厉
'fu'zheng'bu'fu 夫征不复
'fu'zi'dao 复自道
'fu'zi'xi'xi 妇子嘻嘻
'fu'zi'xiong 夫子凶
'gai'ming 改命
'gai'yi'bu'gai'jing 改邑不改井
'gan'fu'zhi'gu'xiao'you'hui'wu'da'jiu 干父之蛊小有悔无大咎
'gan'fu'zhi'gu'yong'yu 干父之蛊用誉
'gan'fu'zhi'gu'you'zi'kao'li 干父之蛊有子考厉
'gan'jie 甘节
'gan'lin 甘临
'gan'mu'zhi'gu'bu'ke'zhen 干母之蛊不可贞
'gao'gong'cong 告公从
'gao'gong'yong'gui 告公用圭
'gao'zi'yi 告自邑
'gao'zong'fa'gui'fang 高宗伐鬼方
'ge'gua 革卦
'ge'yan'san'jiu 革言三就
'gen'gua 艮卦
'gen'qi'bei 艮其背
'gen'qi'fei 艮其腓
'gen'qi'fu 艮其辅
'gen'qi'shen 艮其身
'gen'qi'xian 艮其限
'gen'qi'zhi 艮其趾
'gong'yi'qu'bi'zai'xue 公弋取彼在穴
'gong'yong'heng'yu'tian'zi 公用亨于天子
'gong'yong'huang'niu'zhi'ge 巩用黄牛之革
'gong'yong'she'sun'yu'gao'yong'zhi'shang 公用射隼于高墉之上
'gou'gua 姤卦
'gou'qi'jiao 姤其角
'gu'gua 蛊卦
'gu'zhe'bao'xi'shi'zhi'wang'tian'xia'ye 古者包羲氏之王天下也
'guan'er'bu'jian 盥而不荐
'guan'gua 观卦
'guan'guo'zhi'guang 观国之光
'guan'qi'sheng 观其生
'guan'wo'duo'yi 观我朵颐
'guan'wo'sheng 观我生
'guan'yi 观颐
'guan'you'yu 官有渝
'guan'yu'yi'gong'ren'chong 贯鱼以宫人宠
'guang'heng 光亨
'gui'er'bu 归而逋
'gui'mei'gua 归妹卦
'gui'mei'qian'qi 归妹愆期
'gui'mei'yi'di 归妹以娣
'gui'mei'yi'xu 归妹以须
'guo'qi'zu 过其祖
'guo'she'mie'ding 过涉灭顶
'han'quan'shi 寒泉食
'han'yin'deng'yu'tian 翰音登于天
'han'zhang 含章
'han'zhang'ke'zhen 含章可贞
'hao'dun 好遁
'he'dui 和兑
'he'jiu 何咎
'he'qi'jiu 何其咎
'he'tian'zhi'qu 何天之衢
'he'xiao'mie'er 何校灭耳
'he'zhi'yong 曷之用
'heng'bu'si 恒不死
'heng'gua 恒卦
'heng'li'zhen 亨利贞
'heng'qi'de 恒其德
'hong'jian'yu'gan 鸿渐于干
'hong'jian'yu'ling'fu 鸿渐于陵妇
'hong'jian'yu'lu 鸿渐于陆
'hong'jian'yu'mu 鸿渐于木
'hong'jian'yu'pan 鸿渐于磐
'hou'fu'xiong 后夫凶
'hou'geng'san'ri 后庚三日
'hou'jia'san'ri 后甲三日
'hou'ru'yu'di 后入于地
'hou'shuo'zhi'hu 后说之弧
'hou'xiao'yan'ya'ya 后笑言哑哑
'hu'shi'dan'dan 虎视眈眈
'huai'qi'zi 怀其资
'huan'ben'qi'ji 涣奔其机
'huan'gua 涣卦
'huan'han'qi'da'hao 涣汗其大号
'huan'qi'gong 涣其躬
'huan'qi'qun 涣其群
'huan'qi'xue 涣其血
'huan'wang'ju 涣王居
'huan'you'qiu 涣有丘
'huang'li 黄离
'huang'shang'yuan'ji 黄裳元吉
'hui'li'ji 悔厉吉
'hui'meng 会盟
'hui'qian 撝谦
'hui'wang 悔亡
'hun'gou'you'yan 婚媾有言
'huo'cheng'zhi'xiu 或承之羞
'huo'cong'wang'shi 或从王事
'huo'dei'qi'jue 或得其桷
'huo'fei'qi'chou 获匪其丑
'huo'gu'huo'ba 或鼓或罢
'huo'ji'zhi 或击之
'huo'ming'yi'zhi'xin 获明夷之心
'huo'qi'huo'ge 或泣或歌
'huo'xi'zhi'niu 或系之牛
'huo'xi'zhi'pan'dai 或锡之鞶带
'huo'yi'zhi'shi'peng'zhi'gui 或益之十朋之龟
'huo'yue'zai'yuan 或跃在渊
'huo'zhi'wu'bu'li 获之无不利
'ji'heng 吉亨
'ji'ji'gua 既济卦
'ji'lu'wu'yu 即鹿无虞
'ji'meng 击蒙
'ji'ri'nai'fu 己日乃孚
'ji'ri'nai'ge'zhi 己日乃革之
'ji'wu'bu'li 吉无不利
'ji'yong'bai'mao 藉用白茅
'ji'you'zhi 既忧之
'ji'yu'bao'sang 系于苞桑
'ji'yu'ji'chu 既雨既处
'ji'yu'jin'ni 系于金柅
'ji'yu'jiu'ling 跻于九陵
'ji'zi'ti'ti 齎咨涕洟
'ji'zi'zhi'ming'yi 箕子之明夷
'jia'dun 嘉遁
'jia'ren'gua 家人卦
'jia'ren'hu'hu 家人嗃嗃
'jian'e'ren 见恶人
'jian'e'ren'wu'jiu 见恶人无咎
'jian'gua 渐卦
'jian'gua 蹇卦
'jian'jin'fu 见金夫
'jian'long'zai'tian 见龙在田
'jian'shi'fu'tu 见豕负涂
'jian'yu'ye 见舆曳
'jian'ze'ji 艰则吉
'jian'ze'wu'jiu 艰则无咎
'jian'ze'yi'cong 简则易从
'jian'zhen 艰贞
'jiao'fu 交孚
'jie'er'mu 解而拇
'jie'gua 节卦
'jie'gua 解卦
'jie'ji'you'xi 介疾有喜
'jie'yu'shi 介于石
'jin'gua 晋卦
'jin'qi'jiao 晋其角
'jin'qu'zhu'shen 近取诸身
'jin'ru'chou'ru 晋如愁如
'jin'ru'cui'ru 晋如摧如
'jin'ru'shi'shu 晋如鼫鼠
'jin'tui 进退
'jin'xuan 金铉
'jing'gu'she'fu 井谷射鲋
'jing'gua 井卦
'jing'lie 井洌
'jing'ni'bu'shi 井泥不食
'jing'shou'wu'mu 井收勿幕
'jing'xie'bu'shi 井渫不食
'jing'zhi 敬之
'jing'zhou 井甃
'jiu'jing'wu'qin 旧井无禽
'ju'ji 居吉
'ju'xi'zhi 拘系之
'ju'xiao'mie'zhi 屦校灭趾
'ju'yu'ji'li 据于蒺藜
'ju'zhen'ji 居贞吉
'jue'fu'jiao'ru 厥孚交如
'jue'gua 夬卦
'jue'lv 夬履
'jue'zong'shi'fu 厥宗噬肤
'jun'heng 浚恒
'jun'zi'bao'bian 君子豹变
'jun'zi'de'yu 君子得舆
'jun'zi'ji 君子吉
'jun'zi'ji'bu'ru'she 君子几不如舍
'jun'zi'ju'ze'guan'qi'xiang'er'wan'qi'ci 君子居则观其象而玩其辞
'jun'zi'jue'jue 君子夬夬
'jun'zi'lin 君子吝
'jun'zi'suo'ju'er'an'zhe'yi'zhi'xu'ye 君子所居而安者易之序也
'jun'zi'wei'you'jie 君子维有解
'jun'zi'yong'wang 君子用罔
'jun'zi'you'you'wang 君子有攸往
'jun'zi'you'zhong 君子有终
'jun'zi'yu'xing 君子于行
'jun'zi'zhen 君子贞
'jun'zi'zheng'xiong 君子征凶
'jun'zi'zhi'guang 君子之光
'jun'zi'zhong'ri'qian'qian 君子终日乾乾
'kai'guo'cheng'jia 开国承家
'kan'bu'ying 坎不盈
'kan'gua 坎卦
'kan'you'xian 坎有险
'kang'hou'yong'xi'ma'fan'shu 康侯用锡马蕃庶
'kang'long'you'hui 亢龙有悔
'ke'xiao'shi 可小事
'ke'yong'ji 可用汲
'ke'zhen 可贞
'ku'jie 苦节
'ku'jie'bu'ke'zhen 苦节不可贞
'ku'yang'sheng'hua 枯杨生华
'ku'yang'sheng'ti 枯杨生稊
'kui'gu 睽孤
'kui'gua 睽卦
'kui'guan 窥观
'kui'qi'hu 窥其户
'kun'gua 困卦
'kun'meng'lin 困蒙吝
'kun'yu'chi'fu 困于赤绂
'kun'yu'ge'lei 困于葛藟
'kun'yu'jin'che 困于金车
'kun'yu'jiu'shi 困于酒食
'kun'yu'shi 困于石
'kuo'nang'wu'yu 括囊无誉
'lai'dui 来兑
'lai'xu'xu 来徐徐
'lai'zhang 来章
'lai'zhi'kan'kan 来之坎坎
'lao'fu'de'qi'nv'qi 老夫得其女妻
'lao'fu'de'qi'shi'fu 老妇得其士夫
'lao'qian'jun'zi 劳谦君子
'lei'qi'jiao 羸其角
'lei'qi'ping 羸其瓶
'lei'shi'fu'zhi'zhu 羸豕孚蹢躅
'li'chu'fou 利出否
'li'gua 离卦
'li'ji 厉吉
'li'ji'zhen'lin 厉吉贞吝
'li'jian'da'ren 利见大人
'li'jian'hou 利建侯
'li'jian'hou'xing'shi 利建侯行师
'li'jian'zhen 利艰贞
'li'ju'zhen 利居贞
'li'nv'zhen 利女贞
'li'she'da'chuan 利涉大川
'li'wu'ren'zhi'zhen 利武人之贞
'li'xi'nan 利西南
'li'xi'nan'de'peng 利西南得朋
'li'xin'wu'heng 立心勿恒
'li'xun'xin 厉熏心
'li'yong'bin'yu'wang 利用宾于王
'li'yong'heng 利用恒
'li'yong'ji'si 利用祭祀
'li'yong'qin'fa 利用侵伐
'li'yong'wei'da'zuo 利用为大作
'li'yong'wei'yi'qian'guo 利用为依迁国
'li'yong'xiang'si 利用享祀
'li'yong'xing'ren 利用刑人
'li'yong'xing'shi 利用行师
'li'yong'yu 利用狱
'li'yong'zhen 利永贞
'li'you'ren'zhi'zhen 利幽人之贞
'li'you'you'wang 利有攸往
'li'yu'bu'xi'zhi'zhen 利于不息之贞
'li'yu'kou 利御寇
'li'zhen 利贞
'li'zhi'yan 利执言
'liang'ma'zhu 良马逐
'lie'qi'yin 列其夤
'lin'gua 临卦
'long'zhan'yu'ye 龙战于野
'lv'cuo'ran 履错然
'lv'dao'tan'tan 履道坦坦
'lv'fen'qi'ci 旅焚其次
'lv'gua 履卦
'lv'gua 旅卦
'lv'hu'wei 履虎尾
'lv'ji'ci 旅即次
'lv'ren'xian'xiao'hou'hao'tao 旅人先笑后号啕
'lv'shuang'jian'bing'zhi 履霜坚冰至
'lv'suo'suo 旅琐琐
'lv'yu'chu 旅于处
'ma'pi'wang 马匹亡
'meng'gua 蒙卦
'mi'fu 迷复
'mi'yun'bu'yu 密云不雨
'miao'neng'shi 眇能视
'mie'zhen'xiong 蔑贞凶
'ming'he'zai'yin 鸣鹤在阴
'ming'qian 鸣谦
'ming'sheng 冥升
'ming'yi'gua 明夷卦
'ming'yi'yu'fei 明夷于飞
'ming'yi'yu'nan'shou 明夷于南狩
'ming'yu 冥豫
'ming'yu 鸣豫
'mo'ye'you'rong 莫夜有戎
'mo'yi'zhi 莫益之
'mo'zhi'sheng'shuo 莫之胜说
'na'fu'ji 纳妇吉
'na'yue'zi'you 纳约自牖
'nai'cong'wei'zhi 乃从维之
'nai'luan'nai'cui 乃乱乃萃
'nai'xu'you'shuo 乃徐有说
'nan'zheng'ji 南征吉
'niao'fen'qi'chao 鸟焚其巢
'nv'cheng'kuang'wu'shi 女承筐无实
'nv'gui'ji 女归吉
'nv'zhuang 女壮
'nv'zi'zhen'bu'zi 女子贞不字
'pan'huan 磐桓
'peng'cong'er'si 朋从尔思
'peng'he'zan 朋盍簪
'peng'lai'wu'jiu 朋来无咎
'peng'wang 朋亡
'peng'zhi'si'fu 朋至斯孚
'pian'pian'bu'fu'yi'qi'lin 翩翩不富以其邻
'pin'fu 频复
'pin'xun 频巽
'qi'fei'zheng'you'sheng 其匪正有眚
'qi'jie'ruo 戚嗟若
'qi'jun'zhi'mei 其君之袂
'qi'lai'fu'ji 其来复吉
'qi'niu'che 其牛掣
'qi'ren'tian'qie'yi 其人天且劓
'qi'ri'de 七日得
'qi'ri'lai'fu 七日来复
'qi'wang'qi'wang 其亡其亡
'qi'xin'bu'kuai 其心不快
'qi'xing'ci'qie 其行次且
'qi'xing'sai 其行塞
'qi'xing'wo 其形渥
'qi'xing'zi'ju 其行趑趄
'qi'xiong 起凶
'qi'xuan'yuan'ji 其旋元吉
'qi'xue'lian'ru 泣血涟如
'qi'xue'xuan'huang 其血玄黄
'qi'yi'ren'san'bai'hu 其邑人三百户
'qi'yu'ke'yong'wei'yi 其羽可用为仪
'qi'yu'zhu'zhu 其欲逐逐
'qi'zhi 汔至
'qi'zi'he'zhi 其子和之
'qian'fu'ji 牵复吉
'qian'gua 谦卦
'qian'long'wu'yong 潜龙勿用
'qian'qian'jun'zi 谦谦君子
'qian'yang'hui'wang 牵羊悔亡
'qing'fou 倾否
'qiu'hun'gou'wang 求婚媾往
'qiu'xiao'de 求小得
'qu'nv'ji 取女吉
'qu'qi'wu'ren 阒其无人
'qu'ti'chu 去逖出
'ri'ze'zhi'li 日昃之离
'ri'zhong'jian'dou 日中见斗
'ri'zhong'jian'mo 日中见沫
'ru'qi'shou 濡其首
'ru'qi'wei 濡其尾
'ru'you'yi'ru 繻有衣袽
'ru'yu'kan'dan 入于坎窞
'ru'yu'qi'gong 入于其宫
'ru'yu'xue 入于穴
'ru'yu'you'gu 入于幽谷
'ru'yu'zuo'fu 入于左腹
'ruo'hao 若号
'ruo'ru'you'yun 若濡有愠
'san'nian'ke'zhi 三年克之
'san'nian'you'shang'yu'da'guo 三年有赏于大国
'san'ren'xing'ze'sun'yi'ren 三人行则损一人
'san'ri'bu'shi 三日不食
'san'sui'bu'de 三岁不得
'san'sui'bu'di 三岁不觌
'san'sui'bu'xing 三岁不兴
'san'sui'bu'yun 三岁不孕
'sang'ma'wu'zhu 丧马勿逐
'sang'niu'yu'yi 丧牛于易
'sang'qi'tong'pu 丧其童仆
'sang'qi'zi'fu 丧其资斧
'sang'yang'yu'yi 丧羊于易
'shang'de'zai 尚德载
'shang'dui'wei'ning 商兑未宁
'she'che'er'tu 舍车而徒
'she'er'ling'gui 舍尔灵龟
'she'zhi'yi'shi'wang 射雉一矢亡
'sheng'gua 升卦
'sheng'jie 升阶
'sheng'qi'gao'ling 升其高陵
'sheng'xu'yi 升虚邑
'shi'chu'yi'lv 师出以律
'shi'chuan'you'xi 使遄有喜
'shi'de'wu'xu 失得勿恤
'shi'fu'mie'bi 噬肤灭鼻
'shi'gan'zi 噬干胏
'shi'gua 师卦
'shi'huo'yu'shi 师或舆尸
'shi'jiu'de 食旧德
'shi'jue'jue 视矍矍
'shi'ke'gua 噬嗑卦
'shi'kui'yang'wu'xue 士刲羊无血
'shi'la'rou 噬腊肉
'shi'lv'kao'xiang 视履考祥
'shi'nian'nai'zi 十年乃字
'shi'nian'wu'yong 十年勿用
'shi'qian'qin 失前禽
'shi'qian'rou 噬乾肉
'shi'shou'qi'fu 实受其福
'shi'wei'zai'sheng 是谓灾眚
'shi'xiao'zi 失小子
'shi'zhang'fu 失丈夫
'shi'zuo'ci 师左次
'shou'rou 守柔
'shou'zi'jie'fu 受兹介福
'shuo'guo'bu'shi 硕果不食
'shuo'shuo'zhong'ji 愬愬终吉
'si'qi'suo'qu'zai 斯其所取灾
'song'gua 讼卦
'song'yuan'ji 讼元吉
'su'ji 夙吉
'su'lv 素履
'sui'gua 随卦
'sui'xun'wu'jiu 虽旬无咎
'sui'you'huo 随有获
'sui'you'qiu'de 随有求得
'sun'gua 损卦
'sun'qi'ji 损其疾
'suo'le'er'wan'zhe'yao'zhi'ci'ye 所乐而玩者爻之辞也
'tai'gua 泰卦
'ti'hao 惕号
'tian'huo'san'hu 田获三狐
'tian'huo'san'pin 田获三品
'tian'wu'qin 田无禽
'tian'you'qin 田有禽
'tong'guan 童观
'tong'meng'ji 童蒙吉
'tong'meng'qiu'wo 童蒙求我
'tong'niu'zhi'gu 童牛之牿
'tong'ren'gua 同人卦
'tong'ren'yu'jiao 同人于郊
'tong'ren'yu'men 同人于门
'tong'ren'yu'ye 同人于野
'tong'ren'yu'zong 同人于宗
'tu'ru'qi'lai'ru 突如其来如
'tun'kun'yu'zhu'mu 臀困于株木
'tun'qi'gao 屯其膏
'tun'ru'zhan'ru 屯如邅如
'tun'wu'fu 臀无肤
'tun'yu'ji 豚鱼吉
'wai'bi'zhi 外比之
'wang'bu'sheng 往不胜
'wang'chen'jian'jian 王臣蹇蹇
'wang'de'yi'ji 往得疑疾
'wang'fu 罔孚
'wang'he'jiu 往何咎
'wang'ji 往吉
'wang'ji'wu'bu'li 往吉无不利
'wang'jia'you'jia 王假有家
'wang'jia'you'miao 王假有庙
'wang'jia'zhi 王假之
'wang'jian 往蹇
'wang'jian'lai'fan 往蹇来反
'wang'jian'lai'lian 往蹇来连
'wang'jian'lai'shuo 往蹇来硕
'wang'jian'lai'yu 往蹇来誉
'wang'lai'jing'jing 往来井井
'wang'li'bi'jie 往厉必戒
'wang'lin 往吝
'wang'ming 王明
'wang'san'xi'ming 王三锡命
'wang'wu'jiu 往无咎
'wang'yong'chu'zheng 王用出征
'wang'yong'heng'yu'qi'shan 王用亨于岐山
'wang'yong'heng'yu'xi'shan 王用亨于西山
'wang'yong'san'qu 王用三驱
'wang'yong'xiang'yu'di 王用享于帝
'wang'you'shang 往有尚
'wang'yu'yu'ze'ji 往遇雨则吉
'wei'ji'gua 未济卦
'wei'ji'zheng'xiong 未济征凶
'wei'jiu 为咎
'wei'ru 威如
'wei'ru'yu'lin'zhong 惟入于林中
'wei'wo'xin'ce 为我心恻
'wei'xin'heng 维心亨
'wei'yong'fa'yi 维用伐邑
'wei'zhan'you'fu 未占有孚
'wen'yan'bu'xin 闻言不信
'weng'bi'lou 瓮敝漏
'wo'chou'you'ji 我仇有疾
'wo'xin'bu'kuai 我心不快
'wo'you'hao'jue 我有好爵
'wu'bu'li 无不利
'wu'cheng 无成
'wu'cheng'you'zhong 无成有终
'wu'chu'you'zhong 无初有终
'wu'da'jiu 无大咎
'wu'hao 无号
'wu'hui 无悔
'wu'jiao'hai 无交害
'wu'jiu 无咎
'wu'jiu'wu'yu 无咎无誉
'wu'ping'bu'bei 无平不陂
'wu'ren'wei'yu'da'jun 武人为于大君
'wu'sang'wu'de 无丧无得
'wu'sheng 无眚
'wu'suo'wang 无所往
'wu'wang 无妄
'wu'wang'bu'fu 无往不复
'wu'wang'gua 无妄卦
'wu'wang'zhi'ji 无妄之疾
'wu'wang'zhi'zai 无妄之灾
'wu'wen'yuan'ji 勿问元吉
'wu'xu 勿恤
'wu'xu'qi'fu 勿恤其孚
'wu'yao'you'xi 勿药有喜
'wu'yi 勿疑
'wu'yong 勿用
'wu'yong'qu'nv 勿用取女
'wu'yong'shi 勿用师
'wu'yong'yong'zhen 勿用永贞
'wu'yong'you'you'wang 勿用有攸往
'wu'you 勿忧
'wu'you'li 无攸利
'wu'you'sui 无攸遂
'wu'yu'er'mi'zhi 吾与尔靡之
'wu'zhi'hui 无祗悔
'wu'zhu 勿逐
'xi'dun 系遁
'xi'kan 习坎
'xi'ren 咥人
'xi'ti'ruo'li 夕惕若厉
'xi'xiao'zi 系小子
'xi'yong'hui'mo 系用徽纆
'xi'zhang'fu 系丈夫
'xian'bi 显比
'xian'fou'hou'xi 先否后喜
'xian'geng'san'ri 先庚三日
'xian'gua 咸卦
'xian'hao'tao'er'hou'xiao 先号啕而后笑
'xian'jia'san'ri 先甲三日
'xian'lin 咸临
'xian'lu'jue'jue 苋陆夬夬
'xian'mi'hou'de'zhu 先迷后得主
'xian'qi'fei 咸其腓
'xian'qi'fu'jia'she 咸其辅颊舌
'xian'qi'gu 咸其股
'xian'qi'mei 咸其脢
'xian'qi'mu 咸其拇
'xian'qie'zhen 险且枕
'xian'you'jia 闲有家
'xian'zhang'zhi'hu 先张之弧
'xiao'chu'gua 小畜卦
'xiao'guo'gua 小过卦
'xiao'heng 小亨
'xiao'hu'qi'ji 小狐汔济
'xiao'li'zhen 小利贞
'xiao'lin 小吝
'xiao'ren'bo'lu 小人剥庐
'xiao'ren'fou 小人否
'xiao'ren'fu'ke 小人弗克
'xiao'ren'ge'mian 小人革面
'xiao'ren'ji 小人吉
'xiao'ren'wu'yong 小人勿用
'xiao'ren'yong'zhuang 小人用壮
'xiao'shi'ji 小事吉
'xiao'wang'da'lai 小往大来
'xiao'yan'ya'ya 笑言哑哑
'xiao'you'yan 小有言
'xiao'zhen'ji 小贞吉
'xiao'zi'li 小子厉
'xing'qi'ting 行其庭
'xing'ren'zhi'de 行人之得
'xing'you'shang 行有尚
'xing'you'sheng 行有眚
'xiu'fou 休否
'xiu'fu 休复
'xu'gua 需卦
'xu'yu'hui 盱豫悔
'xu'yu'jiao 需于郊
'xu'yu'jiu'shi 需于酒食
'xu'yu'ni 需于泥
'xu'yu'sha 需于沙
'xu'yu'xue 需于血
'xue'qu'ti'chu 血去惕出
'xun'gua 巽卦
'xun'zai'chuang'xia 巽在牀下
'yan'you'xu 言有序
'yang'yu'wang'ting 扬于王庭
'yang'ze'guan'xiang'yu'tian 仰则观象于天
'ye'qi'lun 曳其轮
'yi'gua 益卦
'yi'gua 颐卦
'yi'jing'yue 易经曰
'yi'lei'wan'wu'zhi'qing 以类万物之情
'yi'ming 以明
'yi'qi'bao'gua 以杞包瓜
'yi'qi'guo'jun 以其国君
'yi'qi'hui 以其汇
'yi'ren'bu'jie'ji 邑人不诫吉
'yi'ren'xing'ze'de'qi'you 一人行则得其友
'yi'ren'zhi'zai 邑人之灾
