'ai'guo'zhi'min 爱国治民
'dao'ke'dao 道可道
'dao'nai'jiu 道乃久
'dao'sheng'yi 道生一
'dao'sheng'zhi 道生之
'dao'yi'le'de'zhi 道亦乐得之
'dao'yin'wu'ming 道隐无名
'dao'zei'duo'you 盗贼多有
'dao'zei'wu 盗贼无
'dao'zei'wu'you 盗贼无有
'dao'zhe'wan'wu'zhi'ao 道者万物之奥
'dao'zhi'chu'kou 道之出口
'dao'zhi'hua 道之华
'dao'zhi'wei'wu 道之为物
'dao'zhi'zun 道之尊
'de'ban'ben 的版本
'de'ban'ben'yi'ji'zhu'duo'de'zhu 的版本以及诸多的注
'de'bo'shu'ben'ji'fu'yi'ben'deng'gu'ben 的帛书本及傅奕本等古本
'de'chu'zhi 德畜之
'de'hong'da'kuang'jia 的宏大框架
'de'shan 德善
'de'suo'yu 得所欲
'de'wu'qian'wen'zi 的五千文字
'de'xin 德信
'de'yi'le'de'zhi 德亦乐得之
'de'yu'wang'shu'bing 得与亡孰病
'de'zhe 德者
'de'zhi'gui 德之贵
'de'zhi'hou 德之厚
'de'zhi'ruo'jing 得之若惊
'di'ba'zhang 第八章
'di'chu'xuan'jian 涤除玄鉴
'di'da 地大
'di'de'yi'yi'ning 地得一以宁
'di'er'shi'ba'zhang 第二十八章
'di'er'shi'er'zhang 第二十二章
'di'er'shi'jiu'zhang 第二十九章
'di'er'shi'liu'zhang 第二十六章
'di'er'shi'qi'zhang 第二十七章
'di'er'shi'san'zhang 第二十三章
'di'er'shi'si'zhang 第二十四章
'di'er'shi'wu'zhang 第二十五章
'di'er'shi'yi'zhang 第二十一章
'di'er'shi'zhang 第二十章
'di'er'zhang 第二章
'di'fa'tian 地法天
'di'jiu'zhang 第九章
'di'liu'shi'er'zhang 第六十二章
'di'liu'shi'liu'zhang 第六十六章
'di'liu'shi'qi'zhang 第六十七章
'di'liu'shi'san'zhang 第六十三章
'di'liu'shi'si'zhang 第六十四章
'di'liu'shi'wu'zhang 第六十五章
'di'liu'shi'yi'zhang 第六十一章
'di'liu'shi'zhang 第六十章
'di'liu'zhang 第六章
'di'qi'zhang 第七章
'di'san'shi'ba'zhang 第三十八章
'di'san'shi'er'zhang 第三十二章
'di'san'shi'jiu'zhang 第三十九章
'di'san'shi'liu'zhang 第三十六章
'di'san'shi'qi'zhang 第三十七章
'di'san'shi'san'zhang 第三十三章
'di'san'shi'si'zhang 第三十四章
'di'san'shi'wu'zhang 第三十五章
'di'san'shi'yi'zhang 第三十一章
'di'san'shi'zhang 第三十章
'di'san'zhang 第三章
'di'shi'ba'zhang 第十八章
'di'shi'er'zhang 第十二章
'di'shi'jiu'zhang 第十九章
'di'shi'liu'zhang 第十六章
'di'shi'qi'zhang 第十七章
'di'shi'san'zhang 第十三章
'di'shi'si'zhang 第十四章
'di'shi'wu'zhang 第十五章
'di'shi'yi'zhang 第十一章
'di'shi'zhang 第十章
'di'si'shi'ba'zhang 第四十八章
'di'si'shi'er'zhang 第四十二章
'di'si'shi'jiu'zhang 第四十九章
'di'si'shi'liu'zhang 第四十六章
'di'si'shi'qi'zhang 第四十七章
'di'si'shi'san'zhang 第四十三章
'di'si'shi'si'zhang 第四十四章
'di'si'shi'wu'zhang 第四十五章
'di'si'shi'yi'zhang 第四十一章
'di'si'shi'zhang 第四十章
'di'si'zhang 第四章
'di'wu'shi'ba'zhang 第五十八章
'di'wu'shi'er'zhang 第五十二章
'di'wu'shi'jiu'zhang 第五十九章
'di'wu'shi'liu'zhang 第五十六章
'di'wu'shi'qi'zhang 第五十七章
'di'wu'shi'san'zhang 第五十三章
'di'wu'shi'si'zhang 第五十四章
'di'wu'shi'wu'zhang 第五十五章
'di'wu'shi'yi'zhang 第五十一章
'di'wu'shi'zhang 第五十章
'di'wu'yi'ning 地无以宁
'di'wu'zhang 第五章
'di'yi'zhang 第一章
'dian'zi'ban'shuo'ming 电子版说明
'dong'er'yu'chu 动而愈出
'dong'shan'shi 动善时
'dong'zhi'yu 动之于
'du'chong'bu'shi 毒虫不螫
'du'li'er'bu'gai 独立而不改
'dun'dun'xi 沌沌兮
'dun'xi'qi'ruo'pu 敦兮其若朴
'duo'cang'bi'hou'wang 多藏必厚亡
'duo'ru'niu'mao 多如牛毛
'duo'yan'shuo'qiong 多言数穷
'duo'yi'bi'duo'nan 多易必多难
'duo'ze'huo 多则惑
'er'bu'ze'yu'ren 而不责于人
'er'gong'jian'qiang'zhe 而攻坚强者
'er'gui'shi'mu 而贵食母
'er'kuang'yu'ren'hu 而况于人乎
'er'luan'zhi'shou 而乱之首
'er'mei'zhi'zhe 而美之者
'er'min'mi'pin 而民弥贫
'er'min'zi'fu 而民自富
'er'min'zi'hua 而民自化
'er'min'zi'pu 而民自朴
'er'min'zi'zheng 而民自正
'er'ren'hao'jing 而人好径
'er'ren'ju'qi'yi'yan 而人居其一焉
'er'sheng'san 二生三
'er'wang'gong'yi'wei'cheng 而王公以为称
'er'wei'qi'zhe 而为奇者
'er'wo'du'ruo'yi 而我独若遗
'er'wo'du'wan'qie'bi 而我独顽且鄙
'er'yi'shen'qing'tian'xia 而以身轻天下
'er'yong'zhi'huo'bu'ying 而用之或不盈
'er'yu'zhi'shi 而愚之始
'er'yue'jian 二曰俭
'fa'ling'zi'zhang 法令滋彰
'fan'guo'biao'ma'biao'zhong 凡国标码表中
'fan'guo'biao'ma'biao'zhong'wu'dui'ying'de'shao'shu'han'zi 凡国标码表中无对应的少数汉字
'fan'zhe'dao'zhi'dong 反者道之动
'fang'fa'lun 方法论
'fang'fa'lun'de'hong'da'kuang'jia 方法论的宏大框架
'fei'chang'dao 非常道
'fei'chang'ming 非常名
'fei'dao'ye'zai 非道也哉
'fei'hu 非乎
'fei'jun'zi'zhi'qi 非君子之器
'fei'qi'gui'bu'shen 非其鬼不神
'fei'qi'shen'bu'shang 非其神不伤
'fei'qi'shen'bu'shang'ren 非其神不伤人
'fei'yi'ming'min 非以明民
'fei'yi'qi'wu'si'xie 非以其无私邪
'fen'yuan'bian 分院编
'fu'bing'zhe 夫兵者
'fu'ci'yi'zhan'ze'sheng 夫慈以战则胜
'fu'dai'da'jiang'zhuo'zhe 夫代大匠斲者
'fu'dai'si'sha'zhe'sha 夫代司杀者杀
'fu'gui'er'jiao 富贵而骄
'fu'gui'qi'ming 复归其明
'fu'gui'yu'pu 复归于朴
'fu'gui'yu'wu 复归于物
'fu'gui'yu'wu'ji 复归于无极
'fu'gui'yu'ying'er 复归于婴儿
'fu'hao'dai'zhi 符号代之
'fu'he'gu 夫何故
'fu'jiang'bu'yu 夫将不欲
'fu'le'sha'ren'zhe 夫乐杀人者
'fu'li'zhe 夫礼者
'fu'liang'bu'xiang'shang 夫两不相伤
'fu'liang'zhe'ge 夫两者各
'fu'ming'yue'chang 复命曰常
'fu'mo'zhi'ming'er'chang'zi'ran 夫莫之命而常自然
'fu'qing'nuo'bi'gua'xin 夫轻诺必寡信
'fu'shou'qi'mu 复守其母
'fu'wei'bing'bing 夫唯病病
'fu'wei'bu'ke'shi 夫唯不可识
'fu'wei'bu'yan 夫唯不厌
'fu'wei'bu'ying 夫唯不盈
'fu'wei'bu'zheng 夫唯不争
'fu'wei'da 夫唯大
'fu'wei'dao 夫唯道
'fu'wei'fu'ju 夫唯弗居
'fu'wei'se 夫为啬
'fu'wei'wu'yi'sheng'wei'zhe 夫唯无以生为者
'fu'wei'wu'zhi 夫唯无知
'fu'wen'cai 服文采
'fu'wu'huo'xing'huo'sui 夫物或行或随
'fu'wu'yun'yun 夫物芸芸
'fu'xi'huo'zhi'suo'fu 福兮祸之所伏
'fu'yi'jiang'zhi'zhi 夫亦将知止
'gai'wen'shan'she'sheng'zhe 盖闻善摄生者
'gan'qi'shi 甘其食
'gao'xia'xiang'ying 高下相盈
'gao'yi'xia'wei'ji 高以下为基
'gao'zhe'yi'zhi 高者抑之
'ge'fu'gui'qi'gen 各复归其根
'gen'ju'li'dai 根据历代
'gen'ju'li'dai'xiao'gu'xue'zhe'ke'qu'de'jian'jie 根据历代校诂学者可取的见解
'gong'cheng'er'bu'chu 功成而不处
'gong'cheng'er'bu'ju 功成而不居
'gong'cheng'er'bu'you 功成而不有
'gong'cheng'shi'sui 功成事遂
'gong'nai'quan 公乃全
'gong'sui'shen'tui 功遂身退
'gong'yi'gu 共一毂
'gou'zao'chu'le 构造出了
'gou'zao'chu'le'yi'ge'pu'su 构造出了一个朴素
'gu'ben 古本
'gu'bu'ke'de'er 故不可得而
'gu'bu'ke'de'er'qin 故不可得而亲
'gu'chang 故长
'gu'chang'wu 故常无
'gu'cong'shi'yu'dao'zhe 故从事于道者
'gu'da'bang'yi'xia'xiao'bang 故大邦以下小邦
'gu'da'zhi'bu'ge 故大智不割
'gu'dao'da 故道大
'gu'dao'sheng'zhi 故道生之
'gu'de'jiao'gui'yan 故德交归焉
'gu'de'yi'yi 谷得一以
'gu'de'yi'yi'sheng 谷得一以生
'gu'di 固柢
'gu'gui'yi'jian'wei'ben 故贵以贱为本
'gu'gui'yi'shen'wei'tian'xia 故贵以身为天下
'gu'hun'er'wei'yi 故混而为一
'gu'huo'xia 故或下
'gu'ji'yu'dao 故几于道
'gu'jian'qiang'zhe'si'zhi'tu 故坚强者死之徒
'gu'jian'yan'you'zhi 故建言有之
'gu'kang'bing'xiang'jia 故抗兵相加
'gu'li'tian'zi 故立天子
'gu'ling'you'suo'shu 故令有所属
'gu'ming 故明
'gu'neng'bi'er'xin'cheng 故能蔽而新成
'gu'neng'chang'sheng 故能长生
'gu'neng'cheng 故能成
'gu'neng'cheng'qi'chang 故能成器长
'gu'neng'cheng'qi'da 故能成其大
'gu'neng'wei'bai'gu'wang 故能为百谷王
'gu'piao'feng'bu'zhong'chao 故飘风不终朝
'gu'qiang'wei'zhi'rong 故强为之容
'gu'qu'bi'qu'ci 故去彼取此
'gu'ruo'jin'rou'er'wo'gu 骨弱筋柔而握固
'gu'shan'ren'zhe 故善人者
'gu'shen'bu'si 谷神不死
'gu'sheng'ren'yun 故圣人云
'gu'shi'dao'er'hou'de 故失道而后德
'gu'si'bu'xiao 故似不肖
'gu'tian'xia'mo'neng'yu'zhi'zheng 故天下莫能与之争
'gu'wei'tian'xia'gui 故为天下贵
'gu'wu'bai 故无败
'gu'wu'huo'sun'zhi'er'yi 故物或损之而益
'gu'wu'qi'ren 故无弃人
'gu'wu'qi'wu 故无弃物
'gu'wu'shi 故无失
'gu'wu'yi'ying 谷无以盈
'gu'wu'you 故无尤
'gu'yi'shen'guan'shen 故以身观身
'gu'yi'zhi'zhi'guo 故以智治国
'gu'ying'xiao'ding'wen'yuan'shi 鼓应校定文原是
'gu'you'dao'zhe'bu'chu 故有道者不处
'gu'you'gong 故有功
'gu'you'zhi'yi'wei'li 故有之以为利
'gu'zhang 故彰
'gu'zhi'shan'wei'dao'zhe 古之善为道者
'gu'zhi'suo'wei 古之所谓
'gu'zhi'suo'yi'gui'ci'dao'zhe'he 古之所以贵此道者何
'gu'zhi'yu'wu'yu 故致誉无誉
'gu'zhi'zu'bu'ru 故知足不辱
'gu'zhi'zu'zhi'zu 故知足之足
'gu'zhong'wu'nan'yi 故终无难矣
'guang'de'ruo'bu'zu 广德若不足
'guang'er'bu'yao 光而不耀
'gui'da'huan'ruo'shen 贵大患若身
'gui'gen'yue'jing 归根曰静
'guo'er 果而
'guo'er'wu'fa 果而勿伐
'guo'er'wu'jiao 果而勿骄
'guo'er'wu'jin 果而勿矜
'guo'er'wu'qiang 果而勿强
'guo'jia'hun 国家昏
'guo'jia'hun'luan 国家昏乱
'guo'jia'zi'hun 国家滋昏
'guo'ke'zhi 过客止
'guo'zhi 国之
'guo'zhi'fu 国之福
'guo'zhi'li'qi'bu'ke'yi'shi'ren 国之利器不可以示人
'guo'zhi'zei 国之贼
'hai'zhi 孩之
'han'de'zhi'hou 含德之厚
'han'niu'chong'dong 汗牛充栋
'han'sheng're 寒胜热
'hao'hua'bu'zai'yan'duo 好话不在言多
'he'bao'zhi'mu 合抱之木
'he'da'yuan 和大怨
'he'huan 何患
'he'qi'guang 和其光
'he'qi'zhi'you 何弃之有
'he'wei'chong'ru'ruo'jing 何谓宠辱若惊
'he'wei'gui'da'huan'ruo'shen 何谓贵大患若身
'he'zhi'zhi'ye 和之至也
'heng'ye 恒也
'hou'de'yi'yi'wei'tian'xia'zheng 侯得一以为天下正
'hou'wang'ruo'neng'shou'zhi 侯王若能守之
'hou'wang'wu'yi'zheng 侯王无以正
'hu'wu'suo'yong'qi'zhao 虎无所用其爪
'hu'xi'huang'xi 惚兮恍兮
'hua'er'yu'zuo 化而欲作
'hua'xia'wen'ming 华夏文明
'huan'xi'qi'ruo'ling'shi 涣兮其若凌释
'huang'shan'fen'yuan'bian 黄山分院编
'huang'xi 荒兮
'huang'xi'hu'xi 恍兮惚兮
'hun'xi'qi'ruo'zhuo 混兮其若浊
'huo'da 豁达
'huo'li'huo'hai 或利或害
'huo'mo'da'yu'bu'zhi'zu 祸莫大于不知足
'huo'mo'da'yu'qing'di 祸莫大于轻敌
'huo'qiang'huo'lei 或强或羸
'huo'xi'fu'zhi'suo'yi 祸兮福之所倚
'huo'xia'er'qu 或下而取
'huo'xu'huo'chui 或嘘或吹
'huo'yi'zhi'er'sun 或益之而损
'huo'zai'huo'hui 或载或隳
'ji'ben'chuan'tong 基本传统
'ji'ben'ji'gu 基本肌骨
'ji'de'qi'mu 既得其母
'ji'fu'yi'ben'deng 及傅奕本等
'ji'qi'shi 济其事
'ji'qi'you'shi 及其有事
'ji'quan'zhi'sheng'xiang'wen 鸡犬之声相闻
'ji'shi'shang'zuo 吉事尚左
'ji'wu'wu'shen 及吾无身
'ji'xi'liao'xi 寂兮寥兮
'ji'yi'wei'ren'ji'yu'you 既以为人己愈有
'ji'yi'yu'ren'ji'yu'duo 既以与人己愈多
'jia'bing 甲兵
'jia'yi'ding 加以订
'jia'yi'ding'zheng 加以订正
'jian'de'ruo'tou 建德若偷
'jian'gu'neng'guang 俭故能广
'jian'jie'you'mei 简洁优美
'jian'tian'dao 见天道
'jian'xiao'yue'ming 见小曰明
'jiang'hai'zhi'suo'yi'neng'wei'bai'gu'wang'zhe 江海之所以能为百谷王者
'jiang'kong'fei 将恐废
'jiang'kong'jie 将恐竭
'jiang'kong'jue 将恐蹶
'jiang'kong'lie 将恐裂
'jiang'kong'mie 将恐灭
'jiang'kong'xie 将恐歇
'jiang'nan'wen'hua'shu'yuan 江南文化书院
'jiang'yi'yu'zhi 将以愚之
'jiang'yu'fei'zhi 将欲废之
'jiang'yu'qu'tian'xia'er'wei'zhi 将欲取天下而为之
'jiang'yu'qu'zhi 将欲取之
'jiang'yu'ruo'zhi 将欲弱之
'jiang'yu'she'zhi 将欲歙之
'jiang'zhen'zhi'yi'wu'ming'zhi'pu 将镇之以无名之朴
'jiao'shou'suo'zhu 教授所著
'jie'qi'fen 解其纷
'jie'you'mei'de'wu'qian'wen'zi 洁优美的五千文字
'jie'zhi'shan'zhi'wei'shan 皆知善之为善
'jin'dao'ruo'tui 进道若退
'jin'guan'han'niu'chong'dong 尽管汗牛充栋
'jin'she'ci'qie'yong 今舍慈且勇
'jin'shi 谨识
'jin'yi'jian 仅以简
'jin'yu'man'tang 金玉满堂
'jing'ji'sheng'yan 荆棘生焉
'jing'sheng'zao 静胜躁
'jing'wei'zao'jun 静为躁君
'jing'yue'fu'ming 静曰复命
'jing'zhi'zhi'ye 精之至也
'jiu'ceng'zhi'tai 九层之台
'jiu'jiu'ba'shi'yi'zhang 九九八十一章
'jiu'mo'da'yu'yu'de 咎莫大于欲得
'jiu'yi'qi'xi 久矣其细
'ju'shan'di 居善地
'jue'niao'bu'bo 攫鸟不搏
'jue'qiao'qi'li 绝巧弃利
'jue'ren'qi'yi 绝仁弃义
'jue'sheng'qi'zhi 绝圣弃智
'jue'xue 绝学
'jun'yi 均以
'jun'zi'ju'ze'gui'zuo 君子居则贵左
'kai'qi'dui 开其兑
'ke'ming'wei'da 可名为大
'ke'ming'yu'xiao 可名于小
'ke'qu'de'jian'jie 可取的见解
'ke'yi'chang'jiu 可以长久
'ke'yi'wei'tian'di'mu 可以为天地母
'ke'yi'you'guo 可以有国
'kong'de'zhi'rong 孔德之容
'kua'zhe'bu'xing 跨者不行
'kuang'xi'qi'ruo'gu 旷兮其若谷
'lao'zi 老子
'lao'zi'de 老子的
'le'de'zhi 乐得之
'le'qi'su 乐其俗
'le'yu'er 乐与饵
'lei'lei'xi 累累兮
'li'er'bu'hai 利而不害
'li'xiao'yu 李晓渝
'lian'er'bu'gui 廉而不刿
'lin'guo'xiang'wang 邻国相望
'ling'ling'san'san 零零散散
'ling'ling'san'san'da'zi'shu'ru'er 零零散散打字输入而
'ling'ren 令人
'ling'ren'xing'fang 令人行妨
'liu'chuan'xia'lai'de'yi'chan 流传下来的遗产
'liu'qin'bu'he 六亲不和
'liu'shi'ba'zhang 六十八章
'liu'shi'jiu'zhang 六十九章
'lu'xing'bu'yu'si'hu 路行不遇兕虎
'luo'luo'ru'shi 珞珞如石
'lv'mei'xue'zhe 旅美学者
'mei'guo'chao'ji'chao'dao'dui'zhuang'ji'shi'yan'shi 美国超级超导对撞机实验室
'mei'qi'fu 美其服
'mei'xing'ke'yi'jia'ren 美行可以加人
'mei'yan'bu'xin 美言不信
'mei'yan'ke'yi'shi'zun 美言可以市尊
'mei'zhi'yu'e 美之与恶
'meng'shou'bu'ju 猛兽不据
'mian'mian'ruo'cun 绵绵若存
'min'bu'wei'si 民不畏死
'min'bu'wei'wei 民不畏威
'min'fu'xiao'ci 民复孝慈
'min'li'bai'bei 民利百倍
'min'mo'zhi'ling'er'zi'jun 民莫之令而自均
'min'xin'bu'luan 民心不乱
'min'zhi'cong'shi 民之从事
'min'zhi'ji 民之饥
'min'zhi'lao'si 民至老死
'min'zhi'nan'zhi 民之难治
'min'zhi'qing'si 民之轻死
'ming'bai'si'da 明白四达
'ming'dao'ruo'mei 明道若昧
'ming'ke'ming 名可名
'ming'yi'ji'you 名亦既有
'ming'yu'shen'shu'qin 名与身孰亲
'ming'yue'wei 名曰微
'ming'yue'xi 名曰希
'ming'yue'yi 名曰夷
'mo'neng'xing 莫能行
'mo'ruo'se 莫若啬
'mo'shen 没身
'mo'shen'bu'dai 没身不殆
'mo'zhi'neng'sheng 莫之能胜
'mo'zhi'neng'shou 莫之能守
'mo'zhi'qi'ji 莫知其极
'mu'jiang'ze'bing 木强则兵
'nai'he'wan'sheng'zhi'zhu 奈何万乘之主
'nai'he'yi'si'ju'zhi 奈何以死惧之
'nan'de'zhi'huo 难得之货
'nan'yi'xiang'cheng 难易相成
'neng'ru'ci'hu 能如疵乎
'neng'ru'ying'er'hu 能如婴儿乎
'neng'wei'ci'hu 能为雌乎
'neng'wu'li'hu 能无离乎
'neng'wu'wei'hu 能无为乎
'neng'wu'zhi'hu 能无知乎
'neng'zhi'gu'shi 能知古始
'neng'zong'kuo 能总括
'nian'wen'ming'liu'chuan'xia'lai'de'yi'chan 年文明流传下来的遗产
'pi'dao'zhi'zai'tian'xia 譬道之在天下
'pian'jiang'jun'ju'zuo 偏将军居左
'piao'yi'de 飘逸的
'piao'yi'de'yu'zhou'guan 飘逸的宇宙观
'pin'chang'yi'jing'sheng'mu 牝常以静胜牡
'pu'san'ze'wei'qi 朴散则为器
'qi'an'yi'chi 其安易持
'qi'bu'yu'jian'xian 其不欲见贤
'qi'chu'mi'yuan 其出弥远
'qi'ci 其次
'qi'cui'yi'pan 其脆易泮
'qi'de'nai 其德乃
'qi'de'nai'chang 其德乃长
'qi'de'nai'feng 其德乃丰
'qi'de'nai'pu 其德乃普
'qi'de'nai'yu 其德乃馀
'qi'de'nai'zhen 其德乃真
'qi'gui'bu'shen 其鬼不神
'qi'jing'lian'de 其精炼的
'qi'jing'lian'de'jiu'jiu'ba'shi'yi'zhang 其精炼的九九八十一章
'qi'jing'shen'zhen 其精甚真
'qi'ke'zuo'you 其可左右
'qi'min'chun'chun 其民淳淳
'qi'min'que'que 其民缺缺
'qi'ming'bu'qu 其名不去
'qi'ri'gu'jiu 其日固久
'qi'shang'bu 其上不
'qi'shen'bu'shang'ren 其神不伤人
'qi'shi 其实
'qi'shi'ba'zhang 七十八章
'qi'shi'er'zhang 七十二章
'qi'shi'hao'yuan 其事好远
'qi'shi'jiu'zhang 七十九章
'qi'shi'liu'zhang 七十六章
