'a'bu'nei'er 阿布内尔
'jin'bao'xiang 金宝箱
'jin'jiao'jian'zhi'yuan 近郊兼职员
'jin'mao'xun'hui'quan 金毛巡回犬
'jin'se'wu'yi'niao 金色无翼鸟
'jin'shu'ban'jia 金属板甲
'jin'shu'kui'jia 金属盔甲
'jin'shu'ran 金属染
'jin'shu'shou'tao 金属手套
'jin'suo'xing'hu'wan 紧缩性护腕
'jin'zong 金鬃
'jing'ling'chang'gong 精灵长弓
'jing'ling'duan'gong 精灵短弓
'jing'tie'quan'zhang 精铁权杖
'jing'zhi'bao'xiang'yao'shi 精致宝箱钥匙
'jiu'dian'jian'zhi'yuan 酒店兼职员
'ju'da'bing'guang'yu 巨大冰光羽
'ju'da'di'yu'ku'lou'quan 巨大地狱骷髅犬
'ju'da'huo'guang'yu 巨大火光羽
'ju'da'lei'guang'yu 巨大雷光羽
'ju'lian'kui 巨链盔
'ju'niao'xue'zi 巨鸟靴子
'ju'shi'qun 巨石群
'ju'si'lin 菊斯林
'ju'yu'mao'tou'kui 巨羽毛头盔
'jue'dou'shi'jin'shu'tou'kui 角斗士金属头盔
'ka'er'fen 卡尔芬
'ka'li'si'pi'xue 卡利斯皮靴
'ka'lu 卡鲁
'ka'lu'sen'lin 卡鲁森林
'ka'lu'sen'lin'yi'ji 卡鲁森林遗迹
'ka'pi 卡皮
'ka'pi'xia'gu 卡皮峡谷
'ka'si'di'na 卡斯蒂娜
'kai'an 凯安
'kai'an'gang'kou 凯安港口
'kai'fei 凯菲
'kai'jia'cai'dan 铠甲彩蛋
'kai'li'da 凯利达
'kai'li'da'hu 凯利达湖
'kai'li'da'ying'di 凯利达营地
'kai'li'nuo'si'jin'shu'kai'jia 凯利诺斯金属铠甲
'kai'ting 凯婷
'kan'dao'tu'shu'guan'gui'de 看到图书馆鬼的
'kan'si'fei'chang'qiang'han 看似非常强悍
'kan'si'qiang'han 看似强悍
'kang'gan 康甘
'kang'mo'chang'pao 抗魔长袍
'kao'li'fu'xia'gu 考丽芙峡谷
'kao'li'fu'xia'gu 考利芙峡谷
'kao'lian 考连
'ke'er'bei'lei'mao 科尔蓓蕾帽
'ke'er'bian'zhi'mao 科尔编制帽
'ke'er'dao'zei'fu 科尔盗贼服
'ke'er'dao'zei'shou'tao 科尔盗贼手套
'ke'er'de'dao'zei'xie 科尔的盗贼鞋
'ke'er'dong'yang'mao 科尔东洋帽
'ke'er'fu'gu'chang'xue 科尔复古长靴
'ke'er'hua'bian'mao 科尔花边帽
'ke'er'ke'ai'si'dai'xie 科尔可爱丝带鞋
'ke'er'ling'dang'mao 科尔铃铛帽
'ke'er'mao'zi 科尔帽子
'ke'er'mi'ni'qun 科尔迷你裙
'ke'er'pi'xie 科尔皮鞋
'ke'er'ren'zhe'fu 科尔忍者服
'ke'er'ren'zhe'shou'tao 科尔忍者手套
'ke'er'shen'mi'mao'zi 科尔神秘帽子
'ke'er'si'dai'mao 科尔丝带帽
'ke'er'tian'shi'chi'bang 科尔天使翅膀
'ke'er'xiu'xian'chang'xue 科尔休闲长靴
'ke'er'yi'sheng'lian'yi'qun 科尔医生连衣裙
'ke'er'yi'sheng'shou'tao 科尔医生手套
'ke'er'yi'sheng'zheng'zhuang 科尔医生正装
'ke'ke'mi'ni'shui'shou'fu 可可迷你水手服
'ke'ke'tu'zi'chang'pao 可可兔子长袍
'ke'ke'xiong'mao'chang'pao 可可熊猫长袍
'ke'la'gang'kou 克拉港口
'ke'la'ge 克拉格
'ke'la'ying'di 克拉营地
'ke'lan'di'si 克兰帝斯
'ke'lei'ge 克雷格
'ke'li'er 克丽尔
'ke'li'er'di'xia'cheng 克丽尔地下城
'ke'li'si'te 克莉斯特
'ke'li'ya'na 克里亚娜
'ke'long'ke'lu'ya 科隆科鲁亚
'ke'lu'ge 克鲁格
'ke'nai'sha'ba'na 克奈沙巴拿
'ken'lin'jin'shu'ban'kai'jia 肯林金属板铠甲
'ken'lin'jin'shu'ban'kui'jia 肯林金属板盔甲
'ken'lin'jin'shu'ban'shou'tao 肯林金属板手套
'ken'lin'jin'shu'ban'tou'kui 肯林金属板头盔
'ken'lin'jin'shu'ban'xue'zi 肯林金属板靴子
'ken'nu'si'de'tan'xian'jia 肯奴斯的探险家
'kong'shou'da'dao'xiong 空手打倒熊
'kou'zhao'ge'bu'lin 口罩哥布林
'ku'la 库拉
'ku'lou'dui'zhang 骷髅队长
'ku'lou'jin'shu'tou'kui 骷髅金属头盔
'ku'lou'si'shi 骷髅死尸
'kuan'pi'hu'wan 宽皮护腕
'kuan'shu'yao'shui 宽恕药水
'kuan'ying'ping'mo'shi 宽荧屏模式
'kuang'bao'qi'shi 狂暴骑士
'kuang'bao'wu'shi 狂暴武士
'kuo'fu 阔斧
'kuo'jian 阔剑
'la'bi 拉比
'la'bi'di'xia'cheng 拉比地下城
'la'bi'feng'yin'shi'zhe 拉比封印使者
'la'bu'la'duo'lie'quan 拉不拉多猎犬
'la'er'tai'shan'mai 拉尔泰山脉
'la'ka'de'fen'ceng'chang'pao 拉卡德分层长袍
'la'nuo 拉诺
'la'nuo'de'tan'xian'jia 拉诺的探险家
'la'sha 拉莎
'la'si'pa 拉斯帕
'la'si'pa'huo'shan 拉斯帕火山
'la'tai'er 拉泰尔
'la'tai'er'shan'mai 拉泰尔山脉
'lai'fu'si 莱弗斯
'lai'yin'ya'te 莱茵亚特
'lai'you'si'jiang 涞尤斯江
'lan'mei'gui'hua'zhuang'shi 蓝玫瑰花装饰
'lan'se'wei'ba'mao'you 蓝色尾巴猫鼬
'lan'tui 蓝腿
'lan'wei'ba 蓝尾巴
'lan'wei'mao'you 蓝尾猫鼬
'lan'yan'xie 蓝岩蟹
'lan'zhi'geng'niao 蓝知更鸟
'lan'zhu'zi 蓝珠子
'lang'chang'pao 狼长袍
'lang'man'cao'mao 浪漫草帽
'lang'man'ge'de'niu'kou'xie 浪漫歌德纽扣鞋
'lang'man'ge'de'tao'zhuang 浪漫歌德套装
'le'ba 乐巴
'lei'bao'yu'da'shi 雷暴雨大师
'lei'fan 雷反
'lei'ji'da'shi 雷击大师
'lei'jian 雷箭
'lei'jian'da'shi 雷箭大师
'lei'jian'mo'zhang 雷箭魔杖
'lei'la 蕾拉
'lei'mi'ni'ya'sheng'yue'kai 蕾米妮雅圣月铠
'lei'mi'ni'ya'sheng'yue'kai'jia 蕾米妮雅圣月铠甲
'lei'mi'ni'ya'xing'yue'zhi'jian 蕾米妮雅星月之剑
'lei'na 蕾娜
'lei'na'de 雷纳德
'lei'nei'si 雷内斯
'lei'niao 雷鸟
'lei'ou'bo'te 雷欧波特
'lei'si'diao'dai'qun 蕾丝吊带裙
'lei'xi'yuan'su'shi 雷系元素师
'lei'yi'mo'er 雷伊莫尔
'li'ao'ka'de 里奥卡德
'li'li'cao 黎丽草
'li'li'si 莉莉丝
'li'lin'chang'qun 丽琳长裙
'li'lin'duan'ku 丽琳短裤
'li'lin'hu'shou 丽琳护手
'li'lin'mao'zi 丽琳帽子
'li'lin'shang'ren'mao'zi 丽琳商人帽子
'li'lin'yu'mao'mao'zi 丽琳羽毛帽子
'li'lin'zheng'zhuang 丽琳正装
'li'wan 莉婉
'li'yi'fu 礼仪服
'li'zhi'pi'ka 理智皮卡
'lian'jia'fu'he'yan'dun 廉价复合燕盾
'lian'jie'la'nuo'yu'ken'nu'si'de 连接拉诺与肯奴斯的
'lian'kui 链盔
'lian'yi'pi'jia 连衣皮甲
'liang'guang'pi'wai'tao 亮光皮外套
'liang'ren'fu 两刃斧
'liao'jie'shi'shang'de 了解时尚的
'liao'li'da'hui'ru'xuan'zhe 料理大会入选者
'lie'hu'zhe 猎狐者
'lie'lang'zhe 猎狼者
'lie'lv'zhe 猎驴者
'lie'ren'pi'xue 猎人皮靴
'lie'she'zhe 猎蛇者
'lie'shu'zhe 猎鼠者
'lie'tu'lang'zhe 猎土狼者
'lie'zha'er 列扎尔
'lie'zhu'zhe 猎猪者
'lin'hui'shi 磷灰石
'ling'hun'qi'shi 灵魂骑士
'liu'huang'shi'ju'ren 硫磺石巨人
'long'kai 龙铠
'long'qi'shi'tou'kui 龙骑士头盔
'long'yi'ji 龙遗迹
'lu'er'man'yong'shi'kai'jia 鲁尔曼勇士铠甲
'lu'er'man'yong'shi'tou'kui 鲁尔曼勇士头盔
'lu'fei'si'sha'mo 鲁菲斯沙漠
'lu'fei'si'sha'mo'lun'jia'sha'mo 鲁菲斯沙漠伦迦沙漠
'lu'jiao'fa'gu 鹿角发箍
'lu'ka'si 卢卡斯
'lu'na'yi'shan'gu 鲁纳依山谷
'lu'te'la'jiang 鲁特拉江
'lu'yi'si'gao'ji'nan'zhuang 路易斯高级男装
'lu'yi'si'gao'tong'xue 路易斯高筒靴
'lu'yi'si'gong'zhu'qun 路易斯公主裙
'lu'yi'si'lie'ren'fu 路易斯猎人服
'lu'yi'si'mu'shi'fu 路易斯牧师服
'lu'yi'si'shu'yao'fu 路易斯束腰服
'lu'yi'si'wei'bing'mao 路易斯卫兵帽
'lun'da 伦达
'lun'da'di'xia'cheng 伦达地下城
'lun'jia 伦迦
'lun'jia'sha'mo 伦迦沙漠
'lun'jia'sha'mo'yi'ji 伦迦沙漠遗迹
'luo'bin'yu'mao'mao 罗宾羽毛帽
'luo'luo'liu'lang'xue 罗洛流浪靴
'luo'ma'duan'jian 罗马短剑
'luo'qi 洛奇
'luo'qi'sheng'qi'zhan'zheng 洛奇圣骑战争
'luo'qi'yuan'gu'zheng'ba 洛奇远古争霸
'luo'ye'shu 落叶树
'lv'huang'se'ke'ming'niao 绿黄色科鸣鸟
'lv'se'ba'hen 绿色疤痕
'ma'bi'nu'qi 麻痹怒气
'ma'er'ke'mu 马尔科姆
'ma'he'tuo'niao'de'peng'you 马和鸵鸟的朋友
'ma'mo'wang 马魔王
'ma'niu'si 马纽斯
'ma'si 玛斯
'ma'si'di'xia'cheng 玛斯地下城
'ma'si'feng'yin'shi'zhe 玛斯封印使者
'mai'wen 麦文
'mai'zi 迈兹
'mai'zi'ping'yuan 迈兹平原
'mai'zi'ping'yuan'yi'ji 迈兹平原遗迹
'mao'lian'xiao'mao'mao'zi 猫脸小猫帽子
'mao'nv 猫女
'mao'wei'ba'mao 毛尾巴帽
'mao'xian'jia'zheng'zhuang 冒险家正装
'mao'xian'zhe'zhi'jia'jian'zhi'yuan 冒险者之家兼职员
'mao'you 猫鼬
'mao'you'de 猫鼬的
'mao'zhua'shou'tao 猫爪手套
'mao'zhua'xie 猫抓鞋
'mei'gui'hua'zhuang'shi 玫瑰花装饰
'mei'li'si 美莉丝
'meng'ge'chang'qun 蒙戈长裙
'meng'ge'dao'zei'mao'zi 蒙戈盗贼帽子
'meng'ge'de'gong'jian'shou'mao 蒙戈的弓箭手帽
'meng'ge'de'ling'qiao'mao'zi 蒙戈的灵巧帽子
'meng'ge'de'xiao'chou'mao 蒙戈的小丑帽
