'bai'yu'shen'miao 白玉神庙
'mi'mi'tong'dao 秘密通道
'ming'shen'zhi'yu 冥神之域
'mo'ling'huan'yu 魔灵幻狱
'mo'luo'sheng'suo 没落圣所
'mo'ying'mu'chang 魔影墓场
'mu'guang'hai'tan 暮光海滩
'mu'se'sha'qiu 暮色沙丘
'niu'tou'ren'mi'gong 牛头人迷宫
'nu'lang'zhi'gang 怒浪之港
'pin'ji'zhi'di 贫瘠之地
'po'jiu'shu'ku 破旧书库
'qi'ji'zhi'qiang 奇迹之墙
'qi'mei'la'ling'yu 奇美拉领域
'qi'shu'mi'dian 奇术秘殿
'qi'shu'zhi'ting 奇术之庭
'qi'yuan'zhi'chi 起源之池
'qiang'suan'dong'xue 强酸洞穴
'qing'kong'you'dao 晴空幽岛
'rong'yan'zhi'dian 熔岩之殿
'rong'yan'zhi'hu 熔岩之湖
'shan'hu'yi'ji 珊瑚遗迹
'shan'lin'mi'xue 山林秘穴
'shang'gu'bao'lei 上古堡垒
'shen'sheng'da'jiao'tang 神圣大教堂
'shen'yu'zhi'dian 神域之殿
'shen'zhu'ju'suo 神主居所
'shi'xu'jiao'yuan 失序教院
'shi'yan'mi'shi 实验密室
'shui'jing'dong'xue 水晶洞穴
'si'ji'ni'gou 死寂泥沟
'ting'zhi'qu 停滞区
'wa'er'jin'zi'ta 瓦尔金字塔
'wa'er'mi'dian 瓦尔密殿
'wa'jue'chang 挖掘场
'wang'ling 王陵
'wei'cheng 围城
'wei'cheng'xiang'nong 危城巷弄
'wei'ji'hai'jiao 危机海礁
'wei'ji'shui'dao 危机水道
'wei'qiang'zhi'di 危墙之地
'wei'yan'hai'tan 危岩海滩
'wu'bian'yuan'ye 无边原野
'xian'qu'zhe'di'tu 先驱者地图
'ye'yu'you'lin 夜语幽林
'yi'yuan'lin'gu 疫源林谷
'yi'zhu'chao'xue 异蛛巢穴
'yin'an'mu'zhong 阴暗墓冢
'yin'hui'lao'yu 隐晦牢狱
'yin'hui'ni'tan 阴晦泥滩
'you'an'di'xue 幽暗地穴
'you'bi'cheng'sai 幽闭城塞
'you'bi'mu'ling 幽闭墓领
'you'hun'jian'lao 幽魂监牢
'you'hun'zhai'di 幽魂宅邸
'you'ying'yi'zhi 幽影遗址
'yuan'gu'jie'qu 远古街区
'yuan'gu'shi'ji 远古市集
'yuan'gu'zhi'cheng 远古之城
'yuan'xing'mi'jiao 圆形秘窖
'yue'se'hui'lang 月色回廊
'yue'ying'shen'dian 月影神殿
'yun'keng 陨坑
'zeng'hen'zhi'di 憎恨之地
'zhang'cao'yi'ji 长草遗迹
'zhang'qi'ni'zhao 瘴气泥沼
'zhi'ming'yan'tan 致命岩滩
'zhong'lou 钟楼
'zhong'zhuan'ma'tou 中转码头
'zhou'yuan'ling'mu 咒怨陵墓
'zhuang'bei'ku 装备库
