'a'xiu'luo 阿修罗
'ruo'you'zhong'sheng'gong'jing'li'bai'guan'shi'yin'pu'sa 若有众生恭敬礼拜观世音菩萨
'ruo'you'zui 若有罪
'shan'hu 珊瑚
'shan'nan'zi 善男子
'shan'nv'ren'gong'de'duo'bu 善女人功德多不
'shan'ying'zhu'fang'suo 善应诸方所
'she'fu'you'ren 设复有人
'she'ru'da'huo 设入大火
'she'yu'qiu'nan 设欲求男
'she'yu'qiu'nv 设欲求女
'shen'duo'shi'zun 甚多世尊
'sheng'bi'shi'jian'yin 胜彼世间音
'sheng'lao'bing'si'ku 生老病死苦
'shi'duo'qian'yi'fo 侍多千亿佛
'shi'er'ren'fu 是二人福
'shi'fang'zhu'guo'tu 十方诸国土
'shi'gu'ci'suo'po'shi'jie 是故此娑婆世界
'shi'gu'xu'chang'nian 是故须常念
'shi'gu'ying'ding'li 是故应顶礼
'shi'gu'zhong'sheng'chang'ying'xin'nian 是故众生常应心念
'shi'guan'shi'yin'pu'sa'bu'ken'shou'zhi 时观世音菩萨不肯受之
'shi'guan'shi'yin'pu'sa'cheng'jiu'ru'shi'gong'de 是观世音菩萨成就如是功德
'shi'guan'shi'yin'pu'sa'mo'he'sa 是观世音菩萨摩诃萨
'shi'pu'sa'neng'yi'wu'wei'shi'yu'zhong'sheng 是菩萨能以无畏施于众生
'shi'ran'de'jie'tuo 释然得解脱
'shi'shan'nan'zi 是善男子
'shi'xi'bu'gan'hai 时悉不敢害
'shi'zhu'e'gui'shang'bu'neng'yi'e'yan'shi'zhi 是诸恶鬼尚不能以恶眼视之
'shi'zhu'ren'deng'jie'de'jie'tuo'luo'cha'zhi'nan 是诸人等皆得解脱罗刹之难
'shi'zun 世尊
'shi'zun'miao'xiang'ju 世尊妙相具
'shou'chi'guan'shi'yin'pu'sa'ming'hao 受持观世音菩萨名号
'shou'ci'ying'luo 受此璎珞
'shou'qi'ying'luo 受其璎珞
'shou'shi'ying'luo 受是璎珞
'shou'zhu'ku'nao 受诸苦恼
'shou'zu'bei'niu'xie 手足被扭械
'shu'gan'lu'fa'yu 澍甘露法雨
'su'zhi'de'ben 宿植德本
'suo'yu'hai'shen'zhe 所欲害身者
'tui'luo'da'huo'keng 推落大火坑
'wei'qiu'jin 为求金
'wei'ren'suo'tui'zhui 为人所推坠
'wei'wei'ru'shi 巍巍如是
'wen'ming'ji'jian'shen 闻名及见身
'wen'qi'cheng'guan'shi'yin'pu'sa'ming'zhe 闻其称观世音菩萨名者
'wen'shi'guan'shi'yin'pu'sa 闻是观世音菩萨
'wo'jin'dang'gong'yang'guan'shi'yin'pu'sa 我今当供养观世音菩萨
'wo'jin'zhong'wen'bi 我今重问彼
'wo'wei'ru'lue'shuo 我为汝略说
'wu'de'kong'bu 勿得恐怖
'wu'gou'qing'jing'guang 无垢清净光
'wu'jin'yi 无尽意
'wu'jin'yi'fu'bai'guan'shi'yin'pu'sa'yan 无尽意复白观世音菩萨言
'wu'jin'yi'pu'sa'bai'fo'yan 无尽意菩萨白佛言
'wu'jin'yi'yan 无尽意言
'wu'liang'ku'bi'shen 无量苦逼身
'wu'sha'bu'xian'shen 无刹不现身
'xian'ji'qi'ci'xin 咸即起慈心
'xin'nian'bu'kong'guo 心念不空过
'xun'duan'duan'huai 寻段段坏
'xun'sheng'zi'hui'qu 寻声自回去
'yao'qin'san'zang'fa'shi'jiu'mo'luo'shen'yi 姚秦三藏法师鸠摩罗什译
'ye'cha 夜叉
'yi'fen'feng'duo'bao'fo'ta 一分奉多宝佛塔
'yi'fen'feng'shi'jia'mou'ni'fo 一分奉释迦牟尼佛
'yi'jian'xi'ling'mie 以渐悉令灭
'yi'shi'yin'yuan 以是因缘
'yi'xin'cheng'ming 一心称名
'yi'zhong'zhong'xing'you'zhu'guo'tu 以种种形游诸国土
'ying'shi'de'xiao'san 应时得消散
'ying'yi'bi'qiu 应以比丘
'ying'yi'da'zi'zai'tian'shen'de'du'zhe 应以大自在天身得度者
'ying'yi'di'shi'shen'de'du'zhe 应以帝释身得度者
'ying'yi'fan'wang'shen'de'du'zhe 应以梵王身得度者
'ying'yi'fo'shen'de'du'zhe 应以佛身得度者
'ying'yi'ju'shi'shen'de'du'zhe 应以居士身得度者
'ying'yi'pi'sha'men'shen'de'du'zhe 应以毗沙门身得度者
'ying'yi'pi'zhi'fo'shen'de'du'zhe 应以辟支佛身得度者
'ying'yi'po'luo'men'shen'de'du'zhe 应以婆罗门身得度者
'ying'yi'sheng'wen'shen'de'du'zhe 应以声闻身得度者
'ying'yi'tian 应以天
'ying'yi'tian'da'jiang'jun'shen'de'du'zhe 应以天大将军身得度者
'ying'yi'tong'nan'tong'nv'shen'de'du'zhe 应以童男童女身得度者
'ying'yi'xiao'wang'shen'de'du'zhe 应以小王身得度者
'ying'yi'zai'guan'shen'de'du'zhe 应以宰官身得度者
'ying'yi'zhang'zhe'ju'shi 应以长者居士
'ying'yi'zhang'zhe'shen'de'du'zhe 应以长者身得度者
'ying'yi'zhi'jin'gang'shen'de'du'zhe 应以执金刚神得度者
'ying'yi'zi'zai'tian'shen'de'du'zhe 应以自在天身得度者
'you'po'sai 优婆塞
'you'po'yi'shen'de'du'zhe 优婆夷身得度者
'you'po'yi'shen'er'wei'shuo'fa 优婆夷身而为说法
'you'shi'pu'sa'wei'shen'li'gu 由是菩萨威神力故
'you'yi'shang'zhu'jiang'zhu'shang'ren 有一商主将诸商人
'you'yu'suo'po'shi'jie 游于娑婆世界
'yu'bai'qian'wan'yi'jie'bu'ke'qiong'jin 于百千万亿劫不可穷尽
'yu'bu'wei'ji'nan'zhi'zhong 于怖畏急难之中
'yu'ci'yuan'zei 于此怨贼
'yu'ku'nao'si'e 于苦恼死厄
'yu'lai'nao'ren 欲来恼人
'yu'ru'yi'yun'he 于汝意云何
'yuan'she'ji'fu'xie 螈蛇及蝮蝎
'yun'he'er'wei'zhong'sheng'shuo'fa 云何而为众生说法
'yun'lei'gu'che'dian 云雷鼓掣电
'zai'guan 宰官
'zhen'guan'qing'jing'guan 真观清净观
'zheng'deng'wu'yi 正等无异
'zheng'song'jing'guan'chu 诤讼经官处
'zhong'ren'ai'jing 众人爱敬
'zhong'shang'ren'wen'ju'fa'sheng'yan 众商人闻具发声言
'zhong'sheng'bei'kun'e 众生被困厄
'zhong'yuan'xi'tui'san 众怨悉退散
'zhong'zhong'ba'wan'si'qian'zhong'sheng 众中八万四千众生
'zhong'zhong'zhu'e'qu 种种诸恶趣
'zhou'zu'zhu'du'yao 咒诅诸毒药
'zhu'shan'nan'zi 诸善男子
'zhui'luo'jin'gang'shan 坠落金刚山
'zuo'shi'yan 作是言
