'bai'bu'yu'zhang'zhe'li'you'wu'zuo 百步余长者立幼勿坐
'you'yu'li'ze'xue'wen 有余力则学文
'yu'li'xue'wen 余力学文
'yu'yi'duo'qu'yi'shao'jiang'jia'ren 与宜多取宜少将加人
'zhang'zhe'zuo'ming'nai'zuo'zun'zhang'qian 长者坐命乃坐尊长前
'zhi'guan'fu'you'ding'wei'wu'luan'dun 置冠服有定位勿乱顿
'zhi'wu'hui'yi'gui'jie'bu'gui'hua 致污秽衣贵洁不贵华
'zhong'qie'shu'wu'ji'ji'wu'mo'hu 重且舒勿急疾勿模糊
'zi'bu'jing'xin'xian'bing'lie'dian'ji 字不敬心先病列典籍
'zong'qu'yuan'yi'jian'ji'jian'ren'e 纵去远以渐跻见人恶
'zong'xu 总叙
'zui'wei'chou'bu'cong'rong'li'duan'zheng 最为丑步从容立端正
