'a'er'ci'hai'mo'bing 阿尔茨海默病
'jia'zhuang'xian'du'xing'xian'liu 甲状腺毒性腺瘤
'jia'zhuang'xian'du'zheng 甲状腺毒症
'jia'zhuang'xian'gong'neng'jian'tui'zheng 甲状腺功能减退症
'jia'zhuang'xian'gong'neng'kang'jin'zheng 甲状腺功能亢进症
'jia'zhuang'xian'guo'yang'hua'wu'mei 甲状腺过氧化物酶
'jia'zhuang'xian'guo'yang'hua'wu'mei'kang'ti 甲状腺过氧化物酶抗体
'jia'zhuang'xian'ji'su 甲状腺激素
'jia'zhuang'xian'ji'su'yi'zhi'xian'xiang 甲状腺激素抑制显像
'jia'zhuang'xian'lv'pao 甲状腺滤泡
'jia'zhuang'xian'lv'pao'ai 甲状腺滤泡癌
'jia'zhuang'xian'nei'you'xiao'ban'shuai'qi 甲状腺内有效半衰期
'jia'zhuang'xian'qiu'dan'bai 甲状腺球蛋白
'jia'zhuang'xian'qiu'dan'bai'kang'ti 甲状腺球蛋白抗体
'jia'zhuang'xian'ru'tou'zhuang'ai 甲状腺乳头状癌
'jia'zhuang'xian'she'dian'shi'yan 甲状腺摄碘试验
'jia'zhuang'xian'sheng'zhang'mian'yi'qiu'dan'bai 甲状腺生长免疫球蛋白
'jia'zhuang'xian'su 甲状腺素
'jia'zhuang'xian'wei'li'ti'kang'ti 甲状腺微粒体抗体
'jia'zhuang'xian'xue'liu'guan'zhu'xian'xiang 甲状腺血流灌注显像
'jian'dian'ka'gua 间碘卡胍
'jian'wei'dian'dai'ka'gua 间位碘代卡胍
'jiao'cha'huo'li 交叉火力
'jiao'cha'xing'xiao'nao'shi'lian'luo 交叉性小脑失联络
'jiao'gan'shen'jing'mu'xi'bao'liu 交感神经母细胞瘤
'jiao'ti'jin'biao'ji'fen'xi'ji'shu 胶体金标记分析技术
'jiao'tong'xing'nao'ji'shui 交通性脑积水
'jiao'zhi'liu 胶质瘤
'jiao'zhun'pin 校准品
'jie'jie'bing 结节病
'jie'ru'shi'yan 介入试验
'jie'ru'xian'xiang 介入显像
'jin'ju'li'fang'she'zhi'liao 近距离放射治疗
'jin'xing'xing'he'shang'xing'ma'bi 进行性核上性麻痹
'jing'mai'shen'yu'zao'ying 静脉肾盂造影
'jing'mi'du 精密度
'jing'pi'qiang'nei'guan'zhuang'dong'mai'cheng'xing'shu 经皮腔内冠状动脉成形术
'jing'shen'fen'lie'zheng 精神分裂症
'jing'tai'xian'xiang 静态显像
'jing'xi'xian'xiang 静息显像
'ju'bu'nao'xue'liu'liang 局部脑血流量
'ju'li 居里
'ka'tuo'pu'li 卡托普利
'kang'ji'ning'dan'bai'zhong'lian'dan'ke'long'kang'ti 抗肌凝蛋白重链单克隆抗体
'kang'jia'zhuang'xian'yao'wu 抗甲状腺药物
'kang'pu'dun'xiao'ying 康普顿效应
'kang'yang'hua'mei 抗氧化酶
'ke'kao'xing 可靠性
'ke'luo'en'bing 克罗恩病
'ke'ni'xing'que'sun 可逆性缺损
'ke'ni'xing'xin'ji'que'xue 可逆性心肌缺血
'ke'ni'zhuan'de'que'xue'xin'ji 可逆转的缺血心肌
'ke'you'dao'de'que'xue 可诱导的缺血
'ku'xin'zong'he'zheng 库欣综合征
'kui'yang'xing'jie'chang'yan 溃疡性结肠炎
'kuo'zhang'xing'xin'ji'bing 扩张型心肌病
'lan'rui'tai 兰瑞肽
'lei'feng'shi'guan'jie'yan 类风湿关节炎
'lei'gu'chun'ji'su 类固醇激素
'leng'jie'jie 冷结节
'leng'qu'xian'xiang 冷区显像
'li'niao'ji'jie'ru'shi'yan 利尿剂介入试验
'liang'jie'jie 凉结节
'lin'ba'gan'xi'bao 淋巴干细胞
'lin'ba'guan 淋巴管
'lin'ba'liu 淋巴瘤
'lin'ba'shui'zhong 淋巴水肿
'lin'ba'xian'xiang 淋巴显像
'lin'ba'zhuan'yi 淋巴转移
'lin'chuang'ba'qu 临床靶区
'lin'dian'ma'niao'suan'na 邻碘马尿酸钠
'lin'zhi'dan'bai 磷脂蛋白
'lin'zhi'xian'si'an'suan 磷脂酰丝氨酸
'ling'min'du 灵敏度
'mai'chong'gao'du'fen'xi'qi 脉冲高度分析器
'man'xing'lin'ba'xi'bao'xing'jia'zhuang'xian'yan 慢性淋巴细胞性甲状腺炎
'man'xing'pai'chi 慢性排斥
'man'xing'zu'se'xing'fei'ji'bing 慢性阻塞性肺疾病
'mei'biao'ji'mian'yi'fen'xi 酶标记免疫分析
'mei'lian'mian'yi'xi'fu'fa 酶联免疫吸附法
'men'kong'xin'ji'guan'zhu'duan'ceng'xian'xiang 门控心肌灌注断层显像
'mi'man'xing'du'xing'jia'zhuang'xian'zhong 弥漫性毒性甲状腺肿
'mi'san'jia'quan'cheng'xiang 弥散加权成像
'mi'san'xing'ying'hua'bian'yi 弥散性硬化变异
'mian'yi'fang'she'fen'xi 免疫放射分析
'mian'yi'huo'xing 免疫活性
'mu'de'fa'sheng'qi 钼锝发生器
'na'dian'gong'zhuan'yun'zi 钠碘共转运子
'na'mi'jin'biao'ji'ji'shu 纳米金标记技术
'nao'chi'xian'xiang 脑池显像
'nao'ci'tu 脑磁图
'nao'cu'zhong 脑卒中
'nao'dian'tu 脑电图
'nao'geng'si 脑梗死
'nao'ji'ye'jian'xi'xian'xiang 脑脊液间隙显像
'nao'mo'liu 脑膜瘤
'nao'shi'xian'xiang 脑室显像
'nao'si'wang 脑死亡
'nao'xue'liu'guan'zhu'xian'xiang 脑血流灌注显像
'nao'yang'dai'xie'lv 脑氧代谢率
'nei'fen'mi'xi'tong 内分泌系统
'nei'fen'mi'zhi'liao 内分泌治疗
'nei'han'zi'nian'jie 内含子黏接
'nei'hua 内化
'nei'zhao'she 内照射
'nei'zhuan'huan'dian'zi 内转换电子
'nian'du'bai'fen'bi'bian'hua 年度白分比变化
'pa'jin'sen'bing 帕金森病
'pa'jin'sen'zong'he'zheng 帕金森综合征
'pai'dan'fen'shu 排胆分数
'pang'guang'shu'niao'guan'fan'liu 膀胱输尿管反流
'pang'guang'xian'xiang 膀胱显像
'pei'ti 配体
'pi'da 脾大
'pi'geng'si 脾梗死
'pi'he'su'xian'xiang 脾核素显像
'pi'ke'bing 匹克病
'pi'lao'xing'gu'zhe 疲劳性骨折
'pi'pei 匹配
'pi'zhi'chun'zheng 皮质醇症
'pi'zhi'gong'neng'xiang 皮质功能相
'pi'zhi'ji'di'jie'bing'bian 皮质基底节病变
'pi'zhi'nao'dian'tu 皮质脑电图
'ping'jun'chong'ying'lv 平均充盈率
'ping'mian'xian'xiang 平面显像
'po'huai'xing'jia'zhuang'xian'du'zheng 破坏性甲状腺毒症
'pu'tao'tang'dai'xie'xian'xiang 葡萄糖代谢显像
'qian'lie'xian'ai 前列腺癌
'qian'shao'lin'ba'jie 前哨淋巴结
'qian'shao'lin'ba'jie'huo'jian 前哨淋巴结活检
'qiao'ben'jia'zhuang'xian'yan 桥本甲状腺炎
'qin'he'li 亲和力
'qin'xin'ji'geng'si'xian'xiang 亲心肌梗死显像
'qiu'ji'yi'xian'ji'san'gan'an'suan 巯基乙酰基三甘氨酸
'qu'jia'shen'shang'xian'su 去甲肾上腺素
'quan'shen'gu'jing'tai'xian'xiang 全身骨静态显像
'quan'shen'xian'xiang 全身显像
'que'ding'xing'xiao'ying 确定性效应
'que'xue'xing'gu'huai'si 缺血性骨坏死
'que'xue'xing'xin'ji'bing 缺血性心肌病
're'bian'xing'hong'xi'bao 热变性红细胞
're'jie'jie 热结节
're'qu'xian'xiang 热区显像
'ren'ji'yin'chong'zu 人基因重组
'ren'kang'shu'kang'ti 人抗鼠抗体
'ren'li'xi'bao'kang'ti 人粒细胞抗体
'ren'mian'yi'qiu'dan'nei 人免疫球蛋内
'ren'xue'qing'bai'dan'bai'wei'qiu 人血清白蛋白微球
'ren'zhi'fu'she 韧致辐射
'rong'gu'xing'gai'bian 溶骨性改变
'rong'he'xian'xiang 融合显像
'rong'mei'ti 溶酶体
'rong'shuan'zhi'liao 溶栓治疗
'ru'tie'dan'bai 乳铁蛋白
'ru'xian'ai 乳腺癌
'ruan'gu'rou'liu 软骨肉瘤
'san'jia'ji'xiu'yi'xian'ben'an'ya'an'er'cu'suan 三甲基溴乙酰苯胺亚氨二醋酸
'san'she 散射
'san'shi'xiang'gu'xian'xiang 三时相骨显像
'san'yang'hua'er'lv 三氧化二铝
'se'pu'zhu 色谱柱
'shan'shuo'xian'xiang 闪烁现象
'she'xue'fen'shu 射血分数
'shen'dong'mai'xia'zhai 肾动脉狭窄
'shen'dong'tai'xian'xiang 肾动态显像
'shen'jing'he'yi'xue 神经核医学
'shen'jing'jie'liu 神经节瘤
'shen'jing'mu'xi'bao'liu 神经母细胞瘤
'shen'jing'shou'ti'xian'xiang 神经受体显像
'shen'jing'tai'xian'xiang 肾静态显像
'shen'pi'zhi'xian'xiang 肾皮质显像
'shen'shang'xian'su'neng'zhong'liu 肾上腺素能肿瘤
'shen'shang'xian'sui'zhi'xian'xiang 肾上腺髓质显像
'shen'tu 肾图
'shen'xiao'qiu'lv'guo'lv 肾小球滤过率
'shen'xing'gu'ying'yang'bu'liang'zong'he'zheng 肾性骨营养不良综合征
'shen'xue'guan'xing'gao'xue'ya 肾血管性高血压
'shen'you'xiao'xue'jiang'liu'liang 肾有效血浆流量
'shen'zhi'shu 肾指数
'sheng'wu'ba'qu 生物靶区
'sheng'zhang'yi'su 生长抑素
'sheng'zhang'yi'su'shou'ti 生长抑素受体
'shi'bi'yun'dong 室壁运动
'shi'er'zhi'chang'wei'dan'zhi'fan'liu'xian'xiang 十二指肠胃胆汁反流显像
'shi'ge'xi'bao'liu 嗜铬细胞瘤
'shi'guan'mo'ai 室管膜癌
'shi'guan'tong'guo'xian'xiang 食管通过显像
'shi'jian'fang'she'huo'xing'qu'xian 时间放射活性曲线
'shi'jian'fen'bian'ying'guang'mian'yi'fen'xi 时间分辨荧光免疫分析
'shi'jian'zhi'liang'ping'jia 室间质量评价
'shi'nei'zhi'liang'kong'zhi 室内质量控制
'shi'shi'zu'zhi'tan'xing'cheng'xiang 实时组织弹性成像
'shi'xiang'dian'ying 时相电影
'shi'xiang'fen'xi 时相分析
'shi'xiang'tu 时相图
'shi'xiang'zhi'fang'tu 时相直方图
'shi'yan'shi'xin'xi'xi'tong 实验室信息系统
'shi'zong'ji 示踪剂
'shou'ci'tong'guo'fa'xin'xue'chi'xian'xiang 首次通过法心血池显像
'shou'shu'zhi'liao 手术治疗
'shou'suo'mo'fang'she'xing'ji'shu 收缩末放射性计数
'shou'suo'mo'rong'ji 收缩末容积
'shou'ti'xian'xiang 受体显像
'shu'zhang'mo'qi'fang'she'xing'ji'shu 舒张末期放射性计数
'shu'zhang'mo'rong'ji 舒张末容积
'shuai'bian'chang'shu 衰变常数
'shuang'ban'guang'an'suan 双半胱氨酸
'shuang'biao'ji'kang'ti'fa 双标记抗体法
'shuang'guang'zi'xi'shou'fa 双光子吸收法
'shuang'gui'zheng 双轨征
'shuang'kang'ti'fa 双抗体法
'shuang'kang'ti'jia'xin'fa 双抗体夹心法
'shuang'lin'suan'yan'zhi'liao 双磷酸盐治疗
'shuang'mi'da'mo 双嘧达莫
'shuang'mi'du'biao'xian 双密度表现
'shuang'shi'xiang'fa 双时相法
'shuang'tan'tou'fu'he'xian'lu 双探头符合线路
'shuang'wei'dian'fa 双位点法
'shui'ping'chang'zhou'duan'ceng 水平长轴断层
'sui'ji'xiao'ying 随机效应
'tan'zhen 探针
'te'yi'xing 特异性
'ti'wai'fan'bo 体外反搏
'ti'wai'fen'xi'ji'shu 体外分析技术
'tiao'wang'xian'xiang 调亡显像
'ting'shen'jing'liu 听神经瘤
'tong'wei'su 同位素
'tong'wei'su'shi'zong'fang'fa 同位素示踪方法
'tong'zhi'yi'neng'su 同质异能素
'tong'zhi'yi'neng'yue'qian 同质异能跃迁
'tu'chu'qian 突触前
'tu'xiang'rong'he 图像融合
'wai'fang'she'zhi'liao 外放射治疗
'wai'zhao'she 外照射
'wan'quan'huan'jie'lv 完全缓解率
'wei'pai'kong'shi'yan 胃排空试验
'wei'shi'guan'fan'liu 胃食管反流
'wei'suo'xing'jia'zhuang'xian'yan 萎缩性甲状腺炎
'wei'xian'du'fen'ji 危险度分级
'wen'ding'he'su 稳定核素
'wen'ding'xing 稳定性
'wen'jie'jie 温结节
'wen'zhuang'ti'hei'zhi'bian'xing 纹状体黑质变性
'wu'tai'wei'mi'su 五肽胃泌素
'wu'xue'guan'xing'gu'huai'si 无血管性骨坏死
'wu'yun'dong 无运动
'xi'fu'fen'li'fa 吸附分离法
'xi'mi'ti'ding 西咪替丁
'xi'shou 吸收
'xi'shou'ji'liang 吸收剂量
'xi'zhen'chou'xi'huo'jian 细针抽吸活检
'xia'zhi'shen'jing'mai'xue'shuan'xing'cheng 下肢深静脉血栓形成
'xian'gan 腺苷
'xian'xiang'ji 显像剂
'xiang'dui'sheng'wu'xiao'ying 相对生物效应
'xiang'jiao'cheng 相角程
'xiao'hua'dao'dong'li'xue'yan'jiu 消化道动力学研究
'xiao'ji'mi'zuo 硝基咪唑
'xin'ji'dai'xie'xian'xiang 心肌代谢显像
'xin'ji'fa'yang'xian'xiang 心肌乏氧显像
'xin'ji'geng'si'xian'xiang 心肌梗死显像
'xin'ji'xue'liu'guan'zhu'xian'xiang 心肌血流灌注显像
'xin'ji'xue'liu'liang 心肌血流量
'xin'ji'zhi'fang'suan'dai'xie'xian'xiang 心肌脂肪酸代谢显像
'xin'lv'shi'chang'xing'de'xin'zang'fu'he'shi'yan 心律失常性的心脏负荷试验
'xin'zang'shen'jing'shou'ti'xian'xiang 心脏神经受体显像
'xin'zang'shi'jian 心脏事件
'xue'guan'huo'xing'chang'zhuang'shou'ti 血管活性肠妝受体
'xue'guan'jin'zhang'su 血管紧张素
'xue'guan'jin'zhang'su'yuan 血管紧张素原
'xue'guan'jin'zhang'su'zhuan'hua'mei'yi'zhi'ji 血管紧张素转化酶抑制剂
'xue'guan'xing'chi'dai 血管性痴呆
'xue'liu'guan'zhu'xiang 血流灌注相
'xue'nao'ping'zhang 血脑屏障
'xue'qing'jia'zhuang'xian'jie'he'qiu'dan'bai 血清甲状腺结合球蛋白
'xue'yun'chong'jian 血运重建
'ya'ji'xing'jia'zhuang'xian'yan 亚急性甲状腺炎
'yan'chi'xian'xiang 延迟显像
'yan'mie'fu'she 湮灭福射
'yan'xing'chang'bing 炎性肠病
'yan'zheng 炎症
'yang'xing'xian'xiang 阳性显像
'yao'wu'fu'he'shi'yan 药物负荷试验
'yao'wu'lan'yong 药物滥用
'yao'wu'yi'lai 药物依赖
'ye'ti'shan'shuo'ji'shu'qi 液体闪烁计数器
'yi'gao'xue'tang'su 胰高血糖素
'yi'liao'zhao'she 医疗照射
'yi'xian'zuo'an 乙酰唑胺
'yin'xing'xian'xiang 阴性显像
'ying'li'xing'gu'zhe 应力性骨折
'you'li 游离
'you'wen'rou'liu 尤文肉瘤
'you'xiao'ban'shuai'qi 有效半衰期
'you'xin'shi'she'xue'fen'shu 右心室射血分数
'yu'zhou'she'xian 宇宙射线
'yuan'fa'xing'gu'zhi'shu'song 原发性骨质疏松
'yuan'fa'xing'jia'zhuang'pang'xian'gong'neng'kang'jin'zheng 原发性甲状旁腺功能亢进症
'yuan'fa'xing'xing'gu'tong'zeng'duo'zheng 原发性醒固銅增多症
'yuan'fa'xing'xue'xiao'ban'zeng'duo'zheng 原发性血小板增多症
'yuan'zi'he 原子核
'yun'dong'fu'he'shi'yan 运动负荷试验
'yun'dong'jian'di 运动减低
'zai'fen'bu 再分布
'zai'sheng'zhang'ai'xing'pin'xue 再生障碍性贫血
'zao'qi'xian'xiang 早期显像
'zhao'she'liang 照射量
'zhen'duan'yong'fang'she'xing'yao'wu 诊断用放射性药物
'zhen'fu'tu 振幅图
'zhen'xing'hong'xi'bao'zeng'duo'zheng 真性红细胞增多症
'zheng'dian'zi 正电子
'zheng'dian'zi'fa'she'bie'duan'ceng'yi 正电子发射别断层仪
'zheng'dian'zi'xian'xiang 正电子显像
'zhi'kong'pin 质控品
'zhi'kong'tu 质控图
'zhi'liang'kong'zhi 质量控制
'zhi'liao'yong'fang'she'xing'yao'wu 治疗用放射性药物
'zhi'ye'zhao'she 职业照射
'zhi'zi 质子
'zhong'du'wei'xian'huan'zhe 中度危险患者
'zhong'liu'ba'qu 肿瘤靶区
'zhong'liu'dai'xie'xian'xiang 肿瘤代谢显像
'zhong'liu'qin'fan'ji'zhan 肿瘤侵犯肌展
'zhong'wei'zi 中微子
'zhong'zi 中子
'zhou'suo'duan'lv 轴缩短率
'zhu'wang'mo'xia'qiang'xian'xiang 蛛网膜下腔显像
'zhu'zhuang'xi'bao'bian'yi 柱状细胞变异
'zhuan'jia'ji'tong'dao 转甲基通道
'zhuan'lu'yi'zhi 转录抑制
'zhuan'tie'dan'bai 转铁蛋白
'zhuan'tie'dan'bai'shou'ti 转铁蛋白受体
'zhun'que'du 准确度
'zhun'zhi'qi 准直器
'zi'er'xian 眦耳线
'zi'fa'xing'de'shen'jing'bing'bian 自发性的神经病变
'zi'you'ji 自由基
'zuo'hui'xuan'zhi 左回旋支
'zuo'qian'jiang'zhi 左前降支
'zuo'yong'rong'ji 作用容积
