'an'quan'bao'wei 安全保卫
'ren'zheng'fu'wu 认证服务
'ruan'jian'kai'fa 软件开发
'shang'biao'zhu'ce'shen'qing 商标注册申请
'shang'biao'zhuan'rang 商标转让
'shang'lv'fu'wu 商旅服务
'she'bei'zhan 设备展
'she'bei'zu'lin 设备租赁
'she'ying'she'xiang'fu'wu 摄影摄像服务
'sheng'chan'she'bei'wei'xiu'ji'an'zhuang 生产设备维修及安装
'shi'chang'diao'yan 市场调研
'shi'pin 食品
'shi'pin 饰品
'te'xu'jing'ying 特许经营
'te'zhong'wu'liu 特种物流
'tong'xun 通讯
'tou'zi'zi'xun 投资咨询
'tuo'zhan'pei'xun 拓展培训
'wan'ju'zhan 玩具展
'wang'ye'she'ji 网页设计
'wei'xiu'ji'an'zhuang'fu'wu 维修及安装服务
'wen'ti 文体
'wu'jin 五金
'wu'liu'fu'wu 物流服务
'xiao'shou'ren'yuan'zhao'pin 销售人员招聘
'xin'xi'zhan 信息展
'xing'zheng'ren'yuan'zhao'pin 行政人员招聘
'yan'chu'fu'wu 演出服务
'yi'liao'bao'jian'fu'wu 医疗保健服务
'yi'min'qian'zheng 移民签证
'yin'liao 饮料
'yin'shua 印刷
'ying'shi'jie'mu'zhi'zuo 影视节目制作
'yu'yan'pei'xun 语言培训
'zhan'hui'fu'wu 展会服务
'zhan'lan'she'ji'zhi'zuo 展览设计制作
'zhao'pin 招聘
'zhi'shi'chan'quan'fu'wu 知识产权服务
'zhi'ye'pei'xun 职业培训
'zhi'ye'zhan 纸业展
'zhong'jie'fu'wu 中介服务
'zhong'jie'fu'wu'jia'meng 中介服务加盟
'zhuan'li'ban'quan'shen'qing 专利版权申请
'zhuan'li'ban'quan'zhuan'rang 专利版权转让
'zhuang'huang'she'ji 装潢设计
'zi'ge'kao'shi'pei'xun 资格考试培训
'zi'xun'fu'wu 咨询服务
'zong'he'lei'zhan'hui 综合类展会
'zu'lin'fu'wu 租赁服务
