'a'fei 阿斐
'ben'zai'yun'xing'shen'yi'zhong 本在运行神意中
'bi'a'di'ni 毕阿底尼
'bi'bai 比拜
'bi'bo'shi 比伯实
'bi'bu'luo'si 比布罗斯
'bi'bu'neng'dao'ta'na'li 必不能到他那里
'bi'da 必达
'bi'da 比达
'bi'da'hei 比大黑
'bi'da'xu 比大蓿
'bi'dai'tie'qi'he'qiang'gan 必带铁器和枪杆
'bi'dan 比但
'bi'de 彼得
'bi'de'hou'shu 彼得后书
'bi'de'qian'shu 彼得前书
'bi'di'ya 比底雅
'bi'er 比珥
'bi'er'la'hai'lai 庇耳拉海莱
'bi'er'yi'lin 比珥以琳
'bi'ge 比割
'bi'ge'la 比歌拉
'bi'ge'ta 比革他
'bi'ge'wa'yi 比革瓦伊
'bi'hou 彼后
'bi'ji'li 比基利
'bi'ji'li'de'er'zi'shi'ba 比基利的儿子示巴
'bi'ji'li'zhi'zi 比基利之子
'bi'ji'lu'bing'geng'wei'chong'gao 比基路冰更为崇高
'bi'jia 比加
'bi'jia'xia 比加辖
'bi'jiang'ni'cang'ta'en'chi'xia 必将你藏他恩翅下
'bi'jie 比结
'bi'la 比拉
'bi'la'dun'ren 比拉顿人
'bi'la'dun'ren'bi'na'ya 比拉顿人比拿雅
'bi'la'duo 比拉多
'bi'la'jia 比拉迦
'bi'la'wang 比拉王
'bi'la'ya 比拉雅
'bi'le 比勒
'bi'le'da 比勒达
'bi'li 比利
'bi'li'jia 比利家
'bi'li'jia 比利迦
'bi'li'ren 比利人
'bi'li'ti'ren 比利提人
'bi'li'xi 比利洗
'bi'li'xi'ren 比利洗人
'bi'li'ya 庇哩亚
'bi'li'ya 比利亚
'bi'li'ya'da 比利雅大
'bi'lie 比列
'bi'lin'dao'ta'zi'ji'de'tou'shang 必临到他自己的头上
'bi'lu 比录
'bi'lu'da 比路大
'bi'lu'ren 比录人
'bi'lu'ren'na'ha'lai 比录人拿哈莱
'bi'luo'da'ba'la'dan 比罗达巴拉但
'bi'luo'se'si 比罗色斯
'bi'luo'ta 比罗他
'bi'na'ya 比拿亚
'bi'na'ya 比拿雅
'bi'nen 比嫩
'bi'ni'nu 比尼努
'bi'ni'ya 比尼亚
'bi'nuo 比挪
'bi'po 逼迫
'bi'po'huan'nan 逼迫患难
'bi'qian 彼前
'bi'sa'lie 比撒列
'bi'sa'wei 比撒威
'bi'sha 比沙
'bi'shi'da 毕士大
'bi'shi'da'chi 毕士大池
'bi'si'ta 比斯他
'bi'suo'dai 比所玳
'bi'ti'ya 比提雅
'bi'tu'li 彼土利
'bi'tu'li'sheng'li'bai'jia 彼土利生利百加
'bi'tui'ni 庇推尼
'bi'xi 比悉
'bi'xi'di 彼西底
'bi'xi'la'bing'geng'jia'rong'yao 比西拉冰更加荣耀
'bi'xiang'an'xi'bi'de'man'zu 必享安息必得满足
'bi'xiang'gan'quan'bi'de'bao'zu 必享甘泉必得饱足
'bi'xun 比逊
'bi'ya 比亚
'bi'ya'li'ya 比亚利雅
'bi'ya'lu 比亚录
'bi'yi'qie'zai'ta'si'wei'de 比一切在他四围的
'bi'yong'jiao'huan'pei'tou'lei'zhu'ta 必用嚼环辔头勒住他
'bi'you'ci'ai'si'mian'huan'rao'ta 必有慈爱四面环绕他
'bi'you'en'hui'ci'ai'sui'zhe'wo 必有恩惠慈爱随着我
'bi'you'yu'bei 必有预备
'bi'zhu'zai'quan'neng'zhe'de'yin'xia 必住在全能者的荫下
'bian'di'jia 便底甲
'bian'di'man'le'ye'he'hua'de'ci'ai 遍地满了耶和华的慈爱
'bian'ha'da 便哈达
'bian'ha'da'er'shi 便哈达二世
'bian'ha'da'yi'shi 便哈达一世
'bian'hu 辩护
'bian'hu'er 便户珥
'bian'huan'tian'shi'tiao'ji'qun'sheng 变换天时调剂群生
'bian'ji'bie 便基别
'bian'jie 变节
'bian'jie'zhe 变节者
'bian'xi'xi 便希悉
'bian'xiang 变像
'bian'xiao'hua'ru'la 便消化如蜡
'bian'xing 变性
'bian'ya'bi'na'da 便亚比拿达
'bian'ya'mi 便亚米
'bian'ya'min 便亚悯
'bian'ya'min 便雅悯
'bian'ya'min'de'jia'ba'he'mi'si'ba 便雅悯的迦巴和米斯巴
'bian'ya'min'ren 便雅悯人
'bian'ya'min'ren'gu'shi 便雅悯人古实
'bian'ya'min'zu 便雅悯族
'bian'zai 遍在
'biao'gan'ren'sheng 标竿人生
'bie'jia 别加
'bie'jia'mo 别迦摩
'bie'shi'ba 别是巴
'bie'shi'ba 别示巴
'bie'xi'bu 别西卜
'bin'fen'de'cai'hong 缤纷的彩虹
'bing'leng'de'xin'bei'zhu'ai'lai'wen'nuan 冰冷的心被主爱来温暖
'bing'shi'ta'men'zai'ji'huang'zhong'cun'huo 并使他们在饥荒中存活
'bing'ta'de'shou'gao'zhe 并他的受膏者
'bo'a'si 波阿斯
'bo'ba'la 伯巴拉
'bo'ba'li'pi'er 伯巴力毗珥
'bo'da'ni 伯大尼
'bo'da'ni'de'ma'li'ya 伯大尼的马利亚
'bo'di'bi'la'tai'yin 伯低比拉太音
'bo'fa'qi 伯法其
'bo'ha'ji'lin 伯哈基琳
'bo'he'lun 伯和仑
'bo'ji'jia 伯吉甲
'bo'la 伯拉
'bo'la'da'he 伯拉大河
'bo'la'he 伯拉河
'bo'la'si'dou 伯拉斯都
'bo'lang'fan'teng 波浪翻腾
'bo'li'he 伯利合
'bo'li'heng 伯利恒
'bo'li'heng'ren 伯利恒人
'bo'li'meng 波利蒙
'bo'ma'jia'de'ya'bi'la 伯玛迦的亚比拉
'bo'mo'ha 伯墨哈
'bo'ni'fa'xiu 波尼法修
'bo'pa'lie'ni 伯帕列尼
'bo'sa 伯撒
'bo'sai'da 伯赛大
'bo'sha'sa 伯沙撒
'bo'sha'sa'wang 伯沙撒王
'bo'shan 伯善
'bo'shan 伯珊
'bo'shan'dao'ya'bo'mi'he'la 伯善到亚伯米何拉
'bo'shi 博士
'bo'shi'mai 伯示麦
'bo'si 波斯
'bo'si'bo'li 波斯波立
'bo'si'jia 波斯加
'bo'si'la 波斯拉
'bo'si'wan 波斯湾
'bo'su 伯夙
'bo'te'li 伯特利
'bo'te'li'ren'xi'yi'le 伯特利人希伊勒
'bo'ti'sha'sa 伯提沙撒
'bo'ya'bi'le 伯亚比勒
'bo'ya'la'ba'ren 伯亚拉巴人
'bo'ya'la'ba'ren'ya'bi'ya'ben 伯亚拉巴人亚比亚本
'bo'ya'na 伯亚纳
'bo'ya'wen 伯亚文
'bo'yang 簸扬
'bo'ye'xi'mo 伯耶西末
'bo'yi'dian 伯伊甸
'bu'bai'liu 部百流
'bu'bu'shang'sheng'le'yuan'jin 步步上升乐园进
'bu'dao'shen'xue 布道神学
'bu'dao'xuan'jiao 布道宣教
'bu'diu'li 部丢利
'bu'gei'jiu'zuo'nu'pu 不给酒作奴仆
'bu'ji'ren'li'chuang'zao'wan'ren 不藉人力创造万人
'bu'jiang'wo'de'ci'ai'quan'ran'shou'hui 不将我的慈爱全然收回
'bu'jie'jing 不洁净
'bu'jing'qian 不敬虔
'bu'ke'she'mian'zhi'zui 不可赦免之罪
'bu'ke'wei'yan'yu'zheng'bian 不可为言语争辩
'bu'le'yue 布勒月
'bu'ling'ge 布灵格
'bu'lun'huan'jing'ru'he 不论环境如何
'bu'neng'sheng'yu 不能生育
'bu'neng'xiu'huai 不能朽坏
'bu'neng'zai'du'zi'you'de'fei 不能再度自由地飞
'bu'neng'zhan'fang'yi'ji'bin'fen 不能绽放一季缤纷
'bu'neng'zhan'xian'yi'pian'qing'cui 不能展现一片青翠
'bu'niao'ren'de'wang'luo 捕鸟人的网罗
'bu'ran'jiu'bu'neng'xun'fu 不然就不能驯服
'bu'ren'ji'du 不认基督
'bu'shi'zhang'chu'hao'hua'jia'guo 不时长出好花嘉果
'bu'shuo'chan'yan 不说谗言
'bu'si 布斯
'bu'tian 布田
'bu'xi'ren 布西人
'bu'xin 不信
'bu'xin'zhu'de'ren 不信主的人
'bu'xiu 不朽
'bu'yao'hui'bang 不要毁谤
'bu'yao'hui'xin'shi'wang 不要灰心失望
'bu'yao'ku'men'chou'fan 不要苦闷愁烦
'bu'yao'zheng'jing 不要争竞
'bu'yi'bian'fa'huang'jin'zhen'zhu 不以编发黄金珍珠
'bu'yin'man'wo'de'e 不隐瞒我的恶
'bu'zai'liu'lei 不再流泪
'bu'zai'ren'hai'zhong'fu'chen 不再人海中浮沉
'bu'zai'yi'yang 不再一样
'bu'zai'yu'shi'su'fen'zheng 不再与世俗纷争
'bu'zhan'zui'ren'de'dao'lu 不站罪人的道路
'bu'zhao'wo'de'dian'zhang'xing 不照我的典章行
'bu'zheng'jing 不争竞
'bu'zun'shou'wo'de'jie'ming 不遵守我的诫命
'bu'zuo'dai'man'ren'de'zuo'wei 不坐怠慢人的座位
'cai'hong'wei'zheng'qian'gu'bu'bian 彩虹为证千古不变
'cai'hong'xia'de'yue'ding 彩虹下的约定
'cai'wu'guan 财务官
'can'ba'la 参巴拉
'can'lan'gang'qiang'huang'hun'zhao'wo 灿烂刚强黄昏照我
'can'sun 参孙
'cang'bao 藏宝
'cang'jing'xiao'xia 藏经小匣
'cao'sheng'ji'cui'bo'ru'jing 草声积翠波如镜
'ceng'jing'guan'kan'man'tian'de'xing'xing 曾经观看满天的星星
'cha'chuan 差传
'cha'jing 查经
'chai'qian'sheng'zi'shang'ci'sheng'ming 差遣圣子赏赐生命
'chan'bang'ren 谗谤人
'chan'guo 缠裹
'chan'hui 忏悔
'chan'sheng'wu'shi'wu'zhong'zhi'dao 产生无始无终至道
'chang'chang'dao'gao'nai'xin'deng'hou 常常祷告耐心等候
'chang'chang'xi'le 常常喜乐
'chang'chang'xi'le'xiang'zhu'gao'ge 常常喜乐向主高歌
'chang'cun'xin'xin'he'wu'kui'de'liang'xin 常存信心和无亏的良心
'chang'da 昌大
'chang'ge'cheng'song'zhu 唱歌称颂主
'chang'ge'de 唱歌的
'chang'jiang'kuai'le'ping'an 常将快乐平安
'chang'kai'tian'shang'en'men 敞开天上恩门
'chang'kai'zai'ni'de'mian'qian 敞开在你的面前
'chang'meng'yin'ling'chang'meng'yin'ling 常蒙引领常蒙引领
'chang'pu 菖蒲
'chang'qi'jing'mo'lai'fu'zhou'hang 长期静默来复周行
'chang'shi 唱诗
'chang'zhi'hui'gan'shi 长执会干事
'chao'hu'quan'di 超乎全地
'chao'men 朝门
'che'bing'zhang 车兵长
'chen'guang'can'lan'zhao'yao'wan'ling 晨光灿烂照耀万灵
'chen'lun'zhi'zi 沉沦之子
'chen'she'bing 陈设饼
'chen'she'bing'zhuo 陈设饼桌
'chen'tu 尘土
'chen'xiang 沉香
'chen'xing'yin'qi'wei'da'ge'sheng 晨星引起伟大歌声
'chen'zai'yi'tong'shang'yi 臣宰一同商议
'cheng'du'yin'qin'ai'mu'wo'zhu 诚笃殷勤爱慕我主
'cheng'jie 惩戒
'cheng'jiu'le'da'shi 成就了大事
'cheng'quan'jiu'shu'miao'ai'shen'en 成全救赎妙爱深恩
'cheng'ren'wo'de'guo'fan 承认我的过犯
'cheng'sheng 成圣
'cheng'shi'qian'xu'neng'ai'ren 诚实谦虚能爱人
'cheng'shou 承受
'cheng'shou'chan'ye 承受产业
'cheng'song'sheng'fu'sheng'zi'sheng'ling 称颂圣父圣子圣灵
'cheng'song'ta'de'ming 称颂他的名
'cheng'wei'sheng'jie 成为圣洁
'cheng'wei'wan'hui'ji'ci'wo'xin'sheng'ming 成为挽回祭赐我新生命
'cheng'wei'wo'jiao'qian'de'deng 成为我脚前的灯
'cheng'wei'yi 称为义
'cheng'wei'zhi'gao'zhe'de'er'zi 称为至高者的儿子
'cheng'weng'li 城瓮里
'cheng'xie'ge 称谢歌
'cheng'xie'ta'ke'ji'nian'de'sheng'ming 称谢他可记念的圣名
'cheng'xie'ye'he'hua 称谢耶和华
'cheng'yi 称义
'chi'ding 持定
'chi'ren'rou'de 吃人肉的
'chi'ze'yi'duan 斥责异端
'chong'fen'xing 充分性
'chong'jing'wo'zhu'da'quan 崇敬我主大权
'chong'man'quan'di 充满全地
'chong'po'hei'an'de'zhong'zhong'kao'yan 冲破黑暗的种种考验
'chong'shan'jun'ling'xiang'ni'qu'xi'jing'bai 崇山峻岭向你曲膝敬拜
'chong'sheng 重生
'chong'sheng'de'xi 重生的洗
'chong'xin'yi'zhi'shuo'a'men 重新一致说阿们
'chong'xin'zi'shu'ping'sheng'gu'shi 重新自述平生故事
'chong'zu'de'xin'xin 充足的信心
'chou'di'bi'bu'le'suo'ta 仇敌必不勒索他
'chu'ai'ji 出埃及
'chu'ai'ji'ji 出埃及记
'chu'chu'kan'gu 处处看顾
'chu'huan'xi'de'ge'sheng 出欢喜的歌声
'chu'lei'ren 畜类人
'chu'lei'ren'bu'xiao'de 畜类人不晓得
'chu'lei'ren'dang'si'xiang 畜类人当思想
'chu'ni'yi'wai 除你以外
'chu'shu'de 初熟的
'chu'shu'jie 初熟节
'chu'shu'zhi'guo 初熟之果
'chu'xin 初信
'chu'xin'zao'jiu 初信造就
'chu'yi'zhi'zai 畜疫之灾
'chuai'zai'shi'zi'he'hui'she'de'shen'shang 踹在狮子和虺蛇的身上
'chuan'dao 传道
'chuan'dao'ren 传道人
'chuan'dao'shu 传道书
'chuan'fu'yin'de 传福音的
'chuan'fu'yin'yu'shen'zhu'quan 传福音与神主权
'chuan'guo'tian'zhi'ya 穿过天之涯
'chuan'jiao'shi 传教士
'chuan'suo'zai'zhe'cheng'shi'zhi'zhong 穿梭在这城市之中
'chuan'yang'ye'su'ji'du'de'zhen'dao 传扬耶稣基督得真道
'chuan'yi 传译
'chuan'yun'shang'da'zhi'zun 穿云上达至尊
'chuang'ling 窗棂
'chuang'shi'ji 创世记
'chuang'zai 疮灾
'chuang'zao'da'di'zhu'tian 创造大地诸天
'chuang'zao'de'zhen'yi 创造的真义
'chuang'zao'lun 创造论
'chuang'zao'qi'gong'ge 创造奇功歌
'chui'jiao'jie 吹角节
'chui'si'liu'shu 垂丝柳树
'chui'ting'she'mian 垂听赦免
'chui'zi 槌子
'chun'quan'wu'ci 纯全无疵
'chun'tian'xian'xiang'wei 春天现香味
'chun'zheng'de'dao'li 纯正的道理
'chun'zheng'de'jiao'xun 纯正的教训
'chun'zheng'hua'yu'de'gui'mo 纯正话语的规模
'ci'ai 慈爱
'ci'ai'he'cheng'shi 慈爱和诚实
'ci'bei'yu'quan'neng 慈悲与全能
'ci'en'wu'xian'zhao'yao'hui'huang 赐恩无限照耀辉煌
'ci'fu'shang'di'ge 慈父上帝歌
'ci'jing 次经
'ci'ren'shen'xin'ci'ren'liang'shi 赐人身心赐人粮食
'ci'wo'sheng'ming'qi'miao'shen 赐我生命奇妙神
'ci'xia'du'sheng'zi 赐下独生子
'ci'yun'li 慈运理
'ci'zheng'jing 次正经
'cong'ci'shi'wo'de'ming'zi 从此是我的名字
'cong'dan'zhi'dao'bie'shi'ba 从但直到别是巴
'cong'huai'yi'dao'xin'yang 从怀疑到信仰
'cong'huo'ren'zhi'di'jian'chu 从活人之地剪除
'cong'jin'tian'qi'cong'ci'ke'qi 从今天起从此刻起
'cong'min'zhong'suo'jian'xuan'de 从民中所拣选的
'cong'ta'de'ju'suo'wang'wai'cha 从他的居所往外察
'cong'tian'fu'er'lai'de'ai'he'en'dian 从天父而来的爱和恩典
'cu'mai 粗麦
'da'ai'guan'yi'qie 大爱冠一切
'da'ai'qi'miao'li 大爱奇妙力
'da'bai'fei'li'shi 打败非利士
'da'bi'da 大比大
'da'bi'ni 答比匿
'da'da 达大
'da'di'fu'kong'jian'man'cang'zhen'yu'bao 大地浮空间满藏珍与宝
'da'di'kan'jian'bian'zhen'dong 大地看见便震动
'da'di'su'shuo'ni'de'en'dian 大地诉说你的恩典
'da'gong'jiao'hui 大公教会
'da'gu 打谷
'da'gui'ge'li 大贵格利
'da'gun 大衮
'da'hui'xiang 大茴香
'da'ji'si 大祭司
'da'jia'yi'zhi'tong'sheng 大家一致同声
'da'jia'yong'yue'lai'dao'zhu'men 大家踊跃来到主门
'da'jiu'ta'men'tuo'li'e'ren'de'shou 搭救他们脱离恶人的手
'da'la 大拉
'da'li'ke 达利克
'da'li'la 大利拉
'da'li'wu 大利乌
'da'li'wu'er'shi 大利乌二世
'da'li'wu'ma'dai 大利乌玛代
'da'li'wu'san'shi 大利乌三世
'da'li'wu'yi'shi 大利乌一世
'da'ma'li 大马哩
'da'ma'nu'ta 大玛努他
'da'ma'se 大马色
'da'ma'tai 达马太
'da'mai 达买
'da'mi 达秘
'da'mo 达莫
'da'mo'si 搭模斯
'da'neng'de'yong'shi 大能的勇士
'da'san'le'ni'de'chou'di 打散了你的仇敌
'da'shu 大数
'da'shu'xia'feng'wei'wei 大树下风微微
'da'shui'fan'yi'de'shi'hou 大水泛溢的时候
'da'sui'ta'de'di'ren 打碎他的敌人
'da'tai 达太
'da'tan 大坍
'da'wei 大卫
'da'wei'cheng 大卫城
'da'wei'de'xian'zhi 大卫的先知
'da'wei'de'zi'sun 大卫的子孙
'da'wei'zhi'yue 大卫之约
'da'xi'lv 大希律
'da'zai'nan 大灾难
'dai'de'sheng 戴德生
'dai'lai'bai'zhou'dai'lai'guang'ming 带来白昼带来光明
'dai'qiu 代求
'dai'qiu'zhe 代求者
'dai'shang 代上
'dai'wo'shang'tian'ting 带我上天庭
'dai'xia 代下
'dai'zui'gao'yang 代罪羔羊
'dan'dan'jing'bai'ni 单单敬拜你
'dan'dang'wo'men'de'you'huan 担当我们的忧患
'dan'fu'yi'qie'xiu'ru'jian'xin 担负一切羞辱艰辛
'dan'ni'nao'nu'ni'de'shou'gao'zhe 但你恼怒你的受膏者
'dan'ni'ye'he'hua'shi'wo'si'wei'de'dun'pai 但你耶和华是我四围的盾牌
'dan'qiu'da'qi'xin'yang'xin 但求大启信仰心
'dan'sheng 诞生
'dan'shi'shen'shi'wo'xin'li'de'li'liang 但是神是我心里的力量
'dan'ya'an 但雅安
'dan'ye'he'hua'xiang'lai 但耶和华向来
'dan'yi'li 但以理
'dan'yi'li'shu 但以理书
'dan'yi'li'shu'chan'shi 但以理书阐释
'dan'yuan'en'ci'zhi'zhu 但愿恩慈之主
'dan'yuan'tian'xia'fan'you'xue'qi 但愿天下凡有血气
'dan'yuan'wo'zhong'qi'lai 但愿我众齐来
'dan'zhi'pai 但支派
'dang'cheng'xie'jin'ru'ta'de'men 当称谢进入他的门
'dang'cun'wei'ju'shi'feng'ye'he'hua 当存畏惧事奉耶和华
'dang'gan'xie'ta 当感谢他
'dang'kao'ye'he'hua'huan'xi 当靠耶和华欢喜
'dang'lai'xiang'ta'ge'chang 当来向他歌唱
'dang'ni'de'ju'suo 当你的居所
'dang'ni'tai'qi'tou'ni'jiu'hui'fa'xian 当你抬起头你就会发现
'dang'pai 挡牌
'dang'sheng'ling'de'en'gao'man'yi 当圣灵的恩膏满溢
'dang'shi'ni'zai'yi'xiang'zhong 当时你在异象中
'dang'shou'ji'da'de'zan'mei 当受极大的赞美
'dang'shou'jing'wei 当受敬畏
'dang'shou'wan'min'song'cheng'shi'shi'wu'jin 当受万民颂称世世无尽
'dang'wo'bei'shang'nan'ai 当我悲伤难挨
'dang'wo'xi'wang'man'huai 当我希望满怀
'dang'xin'zhu'ye'su 当信主耶稣
'dang'yang'sheng'shu'shuo'ni'de'rong'yao 当扬声述说你的荣耀
'dang'yi'sheng'jie'de'zhuang'shi 当以圣洁的妆饰
'dang'yi'zui'qin'zi 当以嘴亲子
'dang'zan'mei'de'xuan'lv'xiang'qi 当赞美的旋律响起
'dang'zan'mei'jin'ru'ta'de'yuan 当赞美进入他的院
'dang'zhi'zhu'shi'du'yi'zhen'shen 当知主是独一真神
'dao'bu'chu'zui'mei'de'qi'dai 道不出最美的期待
