'a'er'dao'fu'zhu'fang'jun 阿尔道夫驻防军
'chang'zhi'ju'qun 猖殖聚群
'chang'zhi'ju'qun'pan'jun 猖殖聚群叛军
'chen'mo'da'di'hai'zei 沉没大地海贼
'chen'mo'da'di'hai'zei'pan'jun 沉没大地海贼叛军
'chi'mu 赤目
'chi'mu'pan'jun 赤目叛军
'chi'ya 赤牙
'chi'ya'pan'jun 赤牙叛军
'chuang'xin'da'shi 创新大师
'chuang'xin'da'shi'pan'jun 创新大师叛军
'cong'lin'jing'hun 丛林精魂
'cong'lin'jing'hun'pan'jun 丛林精魂叛军
'cong'lin'zhi'yan 丛林之眼
'cong'lin'zhi'yan'pan'jun 丛林之眼叛军
'cu'yan'bu'luo 簇眼部落
'cu'yan'bu'luo'pan'jun 簇眼部落叛军
'cui'che'rui'ke'shi'zu 崔彻锐克氏族
'cui'che'rui'ke'shi'zu'pan'jun 崔彻锐克氏族叛军
'da'ji'hua'shou'hu'zhe 大计划守护者
'da'ji'hua'shou'hu'zhe'pan'jun 大计划守护者叛军
'da'wei'xin'tu 大胃信徒
'da'wei'xin'tu'pan'jun 大胃信徒叛军
'da'ying'bu'luo 大鹰部落
'da'ying'bu'luo'pan'jun 大鹰部落叛军
'da'zheng'jiao'hui 大正教会
'da'zheng'jiao'hui'pan'jun 大正教会叛军
'de'ku'la'nv'wu'tuan 德库拉女巫团
'de'ku'la'nv'wu'tuan'pan'jun 德库拉女巫团叛军
'de'wen'jia'de'shou'jun 德文加德守军
'de'wen'jia'de'shou'jun'pan'jun 德文加德守军叛军
'deng'ken'huo'fu'mi'hui 邓肯霍夫秘会
'deng'ken'huo'fu'mi'hui'pan'jun 邓肯霍夫秘会叛军
'di'guo 帝国
'di'guo'fen'li'shi'li 帝国分离势力
'di'guo'fu'chou'jun 帝国复仇军
'di'guo'hu'yun'dui 帝国护运队
'di'guo'hu'yun'dui'pan'jun 帝国护运队叛军
'di'guo'pan'jun 帝国叛军
'di'guo'shu'wei 帝国戍卫
'di'guo'shu'wei'pan'jun 帝国戍卫叛军
'di'yu'ding'feng'bu'luo 地狱顶峰部落
'di'yu'ding'feng'pan'jun 地狱顶峰叛军
'dian'xin 点心
'dian'xin'pan'jun 点心叛军
'ding'ji 顶髻
'ding'ji'pan'jun 顶髻叛军
'dong'he'zhu'hou 东河诸侯
'dong'he'zhu'hou'pan'jun 东河诸侯叛军
'dong'pan'jun 恫叛军
'dong'ya 冬牙
'du'long'cheng 独龙城
'du'long'cheng'pan'jun 独龙城叛军
'du'yan'zhan'shou'qun 独眼战兽群
'du'yan'zhan'shou'qun'pan'jun 独眼战兽群叛军
'duan'bi 断鼻
'duan'bi'pan'jun 断鼻叛军
'duan'lu'meng'hui 锻炉盟会
'duan'lu'meng'hui'pan'jun 锻炉盟会叛军
'duo'er'gan 多尔干
'duo'er'gan'pan'jun 多尔干叛军
'e'du'qin'wang'zhi'ai 恶毒亲王之爱
'e'ji'shi'zu 恶疾氏族
'e'ji'shi'zu'pan'jun 恶疾氏族叛军
'e'si'gui 饿死鬼
'e'si'gui'pan'jun 饿死鬼叛军
'e'sun'fu'xing'zhe 厄孙复兴者
'e'sun'fu'xing'zhe'pan'jun 厄孙复兴者叛军
'e'tuo'shi'zu 恶唾氏族
'e'tuo'shi'zu'pan'jun 恶唾氏族叛军
'fa'kuang'de'mo'er'si'li'bu'pao'xiao'zhe 发狂的莫尔斯里布咆哮者
'fan'luan'jie'ya 反乱劫牙
'fan'luan'ju'mo'zhi'lu 反乱巨魔之颅
'fan'pan'zeng'wu'zhe 反叛憎恶者
'fei'di'jin'wei'jun 飞地近卫军
'fei'di'jin'wei'jun'pan'jun 飞地近卫军叛军
'fei'er'da'li'ke 菲尔达里克
'fei'er'da'li'ke'pan'jun 菲尔达里克叛军
'fei'hong'ku'lou 绯红骷髅
'fei'hong'ku'lou'pan'jun 绯红骷髅叛军
'fei'li'ke'shi'zu 费里科氏族
'fei'li'ke'shi'zu'pan'jun 费里科氏族叛军
'feng'bao'shi'zhe 风暴使者
'feng'bao'shi'zhe'pan'jun 风暴使者叛军
'feng'kuang'shou'ge'zhe 疯狂收割者
'feng'kuang'shou'ge'zhe'pan'jun 疯狂收割者叛军
'fo'ge 佛戈
'fo'ge'pan'jun 佛戈叛军
'fu'chou'qun'mo 腐臭群魔
'fu'huai'shi'zu 腐坏氏族
'fu'huai'shi'zu'fen'li'shi'li 腐坏氏族分离势力
'fu'huai'shi'zu'pan'jun 腐坏氏族叛军
'fu'rou'shi'zu 腐肉氏族
'fu'rou'shi'zu'pan'jun 腐肉氏族叛军
'fu'zhong'pan'jun 浮肿叛军
'ga'ha'er 噶哈尔
'ga'ha'er'pan'jun 噶哈尔叛军
'gai'er'lin 盖尔林
'gai'er'lin'pan'jun 盖尔林叛军
'gao'deng'jing'ling 高等精灵
'gao'deng'jing'ling'pan'jun 高等精灵叛军
'ge'ha'te'yong'bing'tuan 哥哈特佣兵团
'ge'ha'te'yong'bing'tuan'pan'tao'zhe 哥哈特佣兵团叛逃者
'ge'li'mu'ge'de'hen'xiao'zi 格里姆格的狠小子
'ge'long'de 戈隆德
'ge'long'de'pan'jun 戈隆德叛军
'ge'long'ni 哥隆尼
'ge'long'ni'bian'di 哥隆尼边地
'ge'long'ni'bian'di'pan'jun 哥隆尼边地叛军
'ge'luo'mai'de'ni'bu'luo 戈罗迈德尼部落
'ge'luo'mai'de'ni'pan'jun 戈罗迈德尼叛军
'ge'luo'xiu'zi'sun 格罗修子孙
'gu'bang'bu'luo 骨棒部落
'gu'bang'bu'luo'tao'bing 骨棒部落逃兵
'gu'fen'jun'tuan 古坟军团
'gu'fen'jun'tuan'pan'jun 古坟军团叛军
'gu'mu'wang 古墓王
'gu'mu'wang'pan'jun 古墓王叛军
'gu'sheng'zhi'zi 古圣之子
'gu'sheng'zhi'zi'pan'jun 古圣之子叛军
'guai'pa'shi'zu 怪爬氏族
'guai'pa'shi'zu'pan'jun 怪爬氏族叛军
'ha'er'gang'xi 哈尔冈西
'ha'er'gang'xi'fen'li'shi'li 哈尔冈西分离势力
'ha'er'gang'xi'pan'jun 哈尔冈西叛军
'ha'su'te'xin'tu 哈苏特信徒
'ha'su'te'xin'tu'pan'jun 哈苏特信徒叛军
'hai'ge'ge'lei'fu 海格葛雷夫
'hai'ge'ge'lei'fu'fen'li'shi'li 海格葛雷夫分离势力
'hai'ge'ge'lei'fu'pan'jun 海格葛雷夫叛军
'he'er'hai'yin'shi'zu 赫尔海因氏族
'he'er'hai'yin'shi'zu'pan'jun 赫尔海因氏族叛军
'he'la'ke 赫拉克
'he'la'ke'pan'jun 赫拉克叛军
'he'si'ou'ta 赫斯欧塔
'he'si'ou'ta'pan'jun 赫斯欧塔叛军
'hei'an'jing'ling 黑暗精灵
'hei'an'jing'ling'nu'chuan 黑暗精灵奴船
'hei'an'jing'ling'pan'jun 黑暗精灵叛军
'hei'an'shen'yuan'bu'luo 黑暗深渊部落
'hei'an'shen'yuan'pan'jun 黑暗深渊叛军
'hei'an'zhi'di'shou'ren 黑暗之地兽人
'hei'an'zhi'di'shou'ren'pan'jun 黑暗之地兽人叛军
'hei'hai'bao'jun 黑海暴君
'hei'hai'bao'jun'pan'jun 黑海暴君叛军
'hei'xi'jie'lue'zhe 黑溪劫掠者
'hei'xi'pan'jun 黑溪叛军
'hei'xia'meng'yan 黑峡梦魇
'hei'xia'meng'yan'pan'jun 黑峡梦魇叛军
'hei'zhu'bu'luo 黑蛛部落
'hei'zhu'bu'luo'tao'bing 黑蛛部落逃兵
'hong'jue'bu'luo 红角部落
'hong'jue'bu'luo'si'jiao'shou'qun 红角部落嘶叫兽群
'hong'yun 红云
'hong'yun'pan'jun 红云叛军
'huan'bian'zhu'zai 幻变主宰
'huan'yan'shu'li 幻焰书吏
'huan'yan'shu'li'pan'jun 幻焰书吏叛军
'huan'yu'jiao'pai 欢愉教派
'huan'yu'jiao'pai'fen'li'shi'li 欢愉教派分离势力
'huan'yu'jiao'pai'pan'jun 欢愉教派叛军
'huan'yu'zhi'chao 欢愉之潮
'huang'jia'gang'hai'dao 皇家港海盗
'huang'jia'gang'hai'dao'pan'jun 皇家港海盗叛军
'huang'jin'xue'yuan 黄金学院
'huang'jin'xue'yuan'pan'jun 黄金学院叛军
'huang'tong'wang'zuo 黄铜王座
'huang'tong'wang'zuo'pan'jun 黄铜王座叛军
'huang'wu'shou'jun 荒芜守军
'huang'wu'shou'jun'pan'jun 荒芜守军叛军
'hui'jia'chen'chuan'zhe 灰岬沉船者
'hui'jia'chen'chuan'zhe'pan'jun 灰岬沉船者叛军
'hui'mie'zhui'qiu'zhe 毁灭追求者
'hui'mie'zhui'qiu'zhe'pan'jun 毁灭追求者叛军
'hui'xian'zhi'shi'zu 灰先知氏族
'hui'xu'kan'tan'dui 灰须勘探队
'hui'xu'kan'tan'dui'pan'jun 灰须勘探队叛军
'hun'dun 混沌
'hun'dun'ai'ren 混沌矮人
'hun'dun'ai'ren'pan'jun 混沌矮人叛军
'hun'dun'da'jun 混沌大军
'hun'dun'da'jun'pan'jun 混沌大军叛军
'hun'dun'fan'luan'jun 混沌反乱军
'hun'dun'ji'qun 混沌集群
'hun'dun'kui'lei 混沌傀儡
'hun'dun'pan'jun 混沌叛军
'hun'dun'pu'cong 混沌仆从
'hun'dun'qu'qiao 混沌躯壳
'hun'dun'si'jiao'shou'qun 混沌嘶叫兽群
'hun'dun'xin'tu 混沌信徒
'hun'dun'you'mu'qun 混沌游牧群
'hun'dun'zhan'shou'qun 混沌战兽群
'huo'ke'ling 霍克领
'huo'ke'ling'pan'jun 霍克领叛军
'ji'le'shou'wei 极乐守卫
'ji'le'shou'wei'pan'jun 极乐守卫叛军
'ji'le'zhi'yu 极乐之愉
'ji'le'zhi'yu'pan'jun 极乐之愉叛军
'ji'liu'guan 激流关
'ji'liu'guan'pan'jun 激流关叛军
'ji'liu'xia'wan'jie'fei 急流峡湾劫匪
'ji'liu'xia'wan'jie'fei'pan'jun 急流峡湾劫匪叛军
'ji'si'li'fu 基斯里夫
'ji'si'li'fu'pan'jun 基斯里夫叛军
'ji'si'li'fu'yuan'zheng'jun 基斯里夫远征军
'ji'si'li'fu'yuan'zheng'jun'pan'jun 基斯里夫远征军叛军
'ji'suo'lai'ao 吉索莱奥
'ji'suo'lai'ao'pan'jun 吉索莱奥叛军
'jian'liao'ren'jun'tuan 尖獠人军团
'jian'qi 奸奇
'jian'qi'chuan'yu'shi 奸奇传谕使
'jian'qi'chuan'yu'shi'pan'jun 奸奇传谕使叛军
'jian'qi'jiao'tuan 奸奇教团
'jian'qi'pan'jun 奸奇叛军
'jiang'shi'pan'jun 僵尸叛军
'jie'cai'e'fei 劫财恶匪
'jie'cai'e'fei'tao'bing 劫财恶匪逃兵
'jie'luo'de'xia'yi'jun 杰罗德侠义军
'jie'luo'de'xia'yi'jun'tao'bing 杰罗德侠义军逃兵
'jie'ya 劫牙
'jie'ya'pan'jun 劫牙叛军
'jin'ji'hai'an'e'gun 禁忌海岸恶棍
'jin'ji'hai'an'e'gun'pan'jun 禁忌海岸恶棍叛军
'jin'shen'ni'chen 缙绅逆臣
'jin'shen'pan'jun 缙绅叛军
'jin'ya 金牙
'jin'ya'pan'jun 金牙叛军
'jing'mei'zhi'tong 精美之痛
'jing'mei'zhi'tong'pan'jun 精美之痛叛军
'ju'chi'jiao'bu'luo 锯齿角部落
'ju'chi'jiao'bu'luo'si'jiao'shou'qun 锯齿角部落嘶叫兽群
'ju'mo'zhi'lu 巨魔之颅
'ju'zhi'zhu 巨蜘蛛
'ju'zhi'zhu'pan'jun 巨蜘蛛叛军
'jue'dou'yan'zhan'bang 决斗岩战帮
'jue'xing'zhe 觉醒者
'ka'er'ka'song 卡尔卡松
'ka'er'ka'song'pan'jun 卡尔卡松叛军
'ka'la'ke'gao'yuan'bao 卡拉克高原堡
'ka'la'ke'gao'yuan'bao'pan'jun 卡拉克高原堡叛军
'ka'la'ke'hao'jiao'bao 卡拉克号角堡
'ka'la'ke'hao'jiao'bao'pan'jun 卡拉克号角堡叛军
'ka'la'ke'hei'yu'bao 卡拉克黑域堡
'ka'la'ke'hei'yu'bao'pan'jun 卡拉克黑域堡叛军
'ka'la'ke'huang'wu'bao 卡拉克荒芜堡
'ka'la'ke'huang'wu'bao'pan'jun 卡拉克荒芜堡叛军
'ka'la'ke'ka'de'lin 卡拉克卡德林
'ka'la'ke'ka'de'lin'pan'jun 卡拉克卡德林叛军
'ka'la'ke'tie'feng'bao 卡拉克铁峰堡
'ka'la'ke'tie'feng'bao'pan'jun 卡拉克铁峰堡叛军
'ka'la'ke'wei'feng'bao 卡拉克微风堡
'ka'la'ke'wei'feng'bao'pan'jun 卡拉克微风堡叛军
'ka'la'zha'a'ka'la'ke 卡拉扎阿卡拉克
'ka'la'zha'a'ka'la'ke'yuan'zheng'jun 卡拉扎阿卡拉克远征军
'ka'la'zha'a'ka'la'ke'yuan'zheng'jun'pan'jun 卡拉扎阿卡拉克远征军叛军
'ka'le'duo 卡勒多
'ka'le'duo'pan'jun 卡勒多叛军
'ka'le'duo'qi'shi 卡勒多骑士
'ka'le'duo'qi'shi'pan'jun 卡勒多骑士叛军
'ka'long'de'ka'er 卡隆德卡尔
'ka'long'de'ka'er'pan'jun 卡隆德卡尔叛军
'ka'mu'li 喀穆里
'ka'mu'li'pan'jun 喀穆里叛军
'ka'te'pu'li'san'zhe 卡特普离散者
'ka'wa'luo'ke 卡瓦洛克
'ka'wa'luo'ke'pan'jun 卡瓦洛克叛军
'ka'zha'ge 卡扎格
'ka'zha'ge'pan'jun 卡扎格叛军
'kai'en'zhi'bian 凯恩之鞭
'kai'en'zhi'bian'pan'jun 凯恩之鞭叛军
'ke'la'ka'long'de 克拉卡隆德
'ke'la'ka'long'de'pan'jun 克拉卡隆德叛军
'ke'li'ze'shi'zu 克里泽氏族
'ke'li'ze'shi'zu'pan'jun 克里泽氏族叛军
'ke'si'kui 柯思奎
'ke'wa'li'ge 科瓦里格
'ke'wa'li'ge'pan'jun 科瓦里格叛军
'ke'wei'lin 科维林
'ke'wei'lin'pan'jun 科维林叛军
'ken'yan 啃眼
'ken'yan'pan'jun 啃眼叛军
'kong'ju'jian'dui 恐惧舰队
'kong'ju'jian'dui'fen'li'shi'li 恐惧舰队分离势力
'kong'ju'jian'dui'pan'jun 恐惧舰队叛军
'kong'ju'zhi'yan'si'lue'jian'dui 恐惧之岩私掠舰队
'kong'nue 恐虐
'kong'nue'liu'fang'zhe 恐虐流放者
'kong'nue'liu'fang'zhe'pan'jun 恐虐流放者叛军
'kong'nue'pan'jun 恐虐叛军
'kong'nue'tiao'zhan'zhe 恐虐挑战者
'kong'nue'tiao'zhan'zhe'pan'jun 恐虐挑战者叛军
'kong'zhi'zhu'zi'si 恐之主子嗣
'kong'zhi'zhu'zi'si'pan'jun 恐之主子嗣叛军
'ku'er 库尔
'ku'er'ci'zhan'qun 库尔茨战群
'ku'er'gan'zhan'bang 库尔甘战帮
'ku'er'pan'jun 库尔叛军
'ku'gong'pan'jun 苦工叛军
'ku'ji 库吉
'ku'ji'pan'jun 库吉叛军
'ku'mu'shao'bing 枯木哨兵
'ku'mu'shao'bing'pan'jun 枯木哨兵叛军
'ku'nuo'si'lie'ren 库诺斯猎人
'ku'nuo'si'pan'jun 库诺斯叛军
'kuang'zha'zhe 诓诈者
'kuang'zha'zhe'pan'jun 诓诈者叛军
'kui'lan'shi'zu 溃烂氏族
'kui'lan'shi'zu'pan'jun 溃烂氏族叛军
'kui'na'li'si 奎那利斯
'kui'na'li'si'pan'jun 奎那利斯叛军
'la'ka'feng'wang'chao 拉卡封王朝
'la'ka'feng'wang'chao'pan'jun 拉卡封王朝叛军
'lai'ba'la'si'gong'ting 莱巴拉斯宫廷
'lai'ba'la'si'gong'ting'pan'jun 莱巴拉斯宫廷叛军
'lai'mi'ya'jie'mei'hui 莱弥亚姐妹会
'lai'mi'ya'jie'mei'hui'pan'jun 莱弥亚姐妹会叛军
'lan'kui'she 蓝蝰蛇
'lan'kui'she'pan'jun 蓝蝰蛇叛军
'lan'mei'gui'che'dui 蓝玫瑰车队
'lan'mei'gui'che'dui'pan'jun 蓝玫瑰车队叛军
'lao'lun'luo'lun 劳伦洛伦
'lao'lun'luo'lun'pan'jun 劳伦洛伦叛军
'lao'lun'luo'lun'sen'lin 劳伦洛伦森林
'lao'lun'luo'lun'sen'lin'pan'jun 劳伦洛伦森林叛军
'lei'chang 雷肠
'lei'chang'pan'jun 雷肠叛军
'li'ang'ni'si 里昂尼斯
'li'ang'ni'si'pan'jun 里昂尼斯叛军
'li'ang'ni'si'qi'shi'zhan'tuan 里昂尼斯骑士战团
'li'ang'ni'si'qi'shi'zhan'tuan'pan'jun 里昂尼斯骑士战团叛军
'li'ming'yao'sai 黎明要塞
'li'ming'yao'sai'pan'jun 黎明要塞叛军
'liao'ri'bu'luo 獠日部落
'liao'ri'bu'luo'pan'jun 獠日部落叛军
'lie'jiao'bu'luo 裂角部落
'lie'jiao'bu'luo'si'jiao'shou'qun 裂角部落嘶叫兽群
'lie'lu'zhe 猎颅者
'lie'lu'zhe'pan'jun 猎颅者叛军
'lie'quan'bu'luo 猎犬部落
'lie'quan'bu'luo'pan'jun 猎犬部落叛军
'lie'ren'yuan'shuai'yuan'zheng'jun 猎人元帅远征军
'lie'ren'yuan'shuai'yuan'zheng'jun'pan'jun 猎人元帅远征军叛军
'lie'zui'chao'zu 咧嘴巢族
'lie'zui'chao'zu'pan'jun 咧嘴巢族叛军
'lie'zui'shi'zu 咧嘴氏族
'lie'zui'shi'zu'fen'li'shi'li 咧嘴氏族分离势力
'lie'zui'shi'zu'pan'jun 咧嘴氏族叛军
'ling'luo'ming'lun 零落命轮
'ling'luo'ming'lun'pan'jun 零落命轮叛军
'liu'lang'hai'dao 流浪海盗
'long'ji'si'lue'jian'dui 龙脊私掠舰队
'long'ji'si'lue'jian'dui'pan'jun 龙脊私掠舰队叛军
'lu'yan 颅岩
'lu'yan'pan'jun 颅岩叛军
'luo'pu'si'man'shi'zu 罗普思曼氏族
'luo'pu'si'man'shi'zu'pan'jun 罗普思曼氏族叛军
'luo'se'en 洛瑟恩
'luo'se'en'pan'jun 洛瑟恩叛军
'luo'yi'ke'jia'mian'wu'hui 洛依克假面舞会
'luo'yi'ke'jia'mian'wu'hui'pan'jun 洛依克假面舞会叛军
'lv'pi 绿皮
'lv'pi'pan'jun 绿皮叛军
'lv'xu'zhan'lin 绿须战林
'lv'xu'zhan'lin'pan'jun 绿须战林叛军
'ma'li'en'bao 玛丽恩堡
'ma'li'en'bao'pan'jun 玛丽恩堡叛军
'man'chuang'shi'zu 螨疮氏族
'man'chuang'shi'zu'pan'jun 螨疮氏族叛军
'man'huang'shou'ren'pan'jun 蛮荒兽人叛军
'man'huang'shou'ren'qin'lue'jun 蛮荒兽人侵略军
'man'ji'er'bao'pi'ren 曼吉尔剥皮人
'mang'yan'zhe 盲眼者
'mang'yan'zhe'pan'jun 盲眼者叛军
'meng'ren 蒙人
'meng'ren'pan'jun 蒙人叛军
'meng'te'fu'te 蒙特福特
'meng'te'fu'te'pan'jun 蒙特福特叛军
'mi'deng'ling 米登领
'mi'deng'ling'pan'jun 米登领叛军
'mi'er'mi'di'ya'chao'sheng'zhe 米尔米迪亚朝圣者
'mi'er'mi'di'ya'chao'sheng'zhe'pan'jun 米尔米迪亚朝圣者叛军
'mi'hui'shi'pu 秘会侍仆
'mi'hui'shi'pu'pan'jun 秘会侍仆叛军
'mie'shi'mo'zhui'sui'zhe 灭世魔追随者
'ming'yan'qi'shi'tuan 明焰骑士团
'ming'yan'qi'shi'tuan'pan'jun 明焰骑士团叛军
'ming'yun'zhang'bu'ren 命运掌簿人
'mo'de'lun 莫德伦
'mo'de'lun'pan'jun 莫德伦叛军
'mo'er'de'jin'shi'zu 莫尔德金氏族
'mo'er'de'jin'shi'zu'pan'jun 莫尔德金氏族叛军
'mo'er'jin'jiao'tuan 摩尔金教团
'mo'er'jin'jiao'tuan'pan'jun 摩尔金教团叛军
'mo'er'si'li'bu'pao'xiao'zhe 莫尔斯里布咆哮者
'mo'jian'shi'yi'hui 魔剑士议会
'mo'jian'shi'yi'hui'pan'jun 魔剑士议会叛军
'mo'ru'kan'pan'jun 摩茹堪叛军
'mo'ru'kan'zhu'gong 摩茹堪诸公
'mo'ru'kan'zi'si 摩茹堪子嗣
'mo'sha'shi'zu 磨砂氏族
'mo'sha'shi'zu'pan'jun 磨砂氏族叛军
'mo'si'shi'zu 摩斯氏族
'mo'si'shi'zu'fen'li'shi'li 摩斯氏族分离势力
'mo'si'shi'zu'pan'jun 摩斯氏族叛军
'mu'guang'yao'sai 暮光要塞
'mu'guang'yao'sai'pan'jun 暮光要塞叛军
'mu'jing'ling 木精灵
'mu'jing'ling'pan'jun 木精灵叛军
'mu'xi'long 穆席隆
'mu'xi'long'pan'jun 穆席隆叛军
'na'ge'fa'lin 纳戈法林
'na'ge'fa'lin'pan'jun 纳戈法林叛军
'na'gou 纳垢
'na'gou'pan'jun 纳垢叛军
'na'gou'yu'zhen'guan 纳垢驭疹官
'na'gou'yu'zhen'guan'pan'jun 纳垢驭疹官叛军
'na'ji 纳吉
'na'ji'pan'jun 纳吉叛军
'na'jia'long'de 纳迦隆德
'na'jia'long'de'fen'li'shi'li 纳迦隆德分离势力
'na'jia'long'de'pan'jun 纳迦隆德叛军
'na'jia'rui'si 纳迦瑞斯
'na'jia'rui'si'pan'jun 纳迦瑞斯叛军
'na'jia'shen'xin'tu 纳迦什信徒
'na'jia'shen'xin'tu'pan'jun 纳迦什信徒叛军
'na'jia'shen'zha 纳迦什扎
'na'jia'shen'zha'pan'jun 纳迦什扎叛军
'nai'si'te'lin 奈斯特林
'nai'si'te'lin'pan'jun 奈斯特林叛军
'nan'fang'shao'zhan 南方哨站
'nan'fang'shao'zhan'pan'jun 南方哨站叛军
'nan'fang'yang'hai'dao 南方洋海盗
'nan'fang'yang'hai'dao'bian'jie'zhe 南方洋海盗变节者
'nan'yang'pan'jun 南阳叛军
'nan'yang'pan'wang 南阳叛王
'ni'gu'la'qi'xiong'di'hui 尼古拉契兄弟会
'ni'gu'la'qi'xiong'di'hui'pan'jun 尼古拉契兄弟会叛军
'ni'ke'fang'zhu'zhe 尼科放逐者
'ni'ke'fang'zhu'zhe'pan'jun 尼科放逐者叛军
'ni'wang'zhe 溺亡者
'ni'wang'zhe'fen'li'shi'li 溺亡者分离势力
'ni'wang'zhe'pan'jun 溺亡者叛军
'nong'du'zhi'zhao 脓毒之爪
'nong'du'zhi'zhao'pan'jun 脓毒之爪叛军
'nu'ma'si 努玛斯
'nu'ma'si'pan'jun 努玛斯叛军
'nuo'de'ling 诺德领
'nuo'de'ling'pan'jun 诺德领叛军
'nuo'si'ka 诺斯卡
'nuo'si'ka'fen'li'shi'li'bu'luo 诺斯卡分离势力部落
'nuo'si'ka'jie'lue'zhe 诺斯卡劫掠者
'nuo'si'ka'pan'jun 诺斯卡叛军
'ou'rui'ge'qi'shi 欧瑞格骑士
'ou'rui'ge'qi'shi'pan'jun 欧瑞格骑士叛军
'pa'hua'ke'si'you'ling 帕花科斯幽灵
'pa'hua'ke'si'you'ling'pan'jun 帕花科斯幽灵叛军
'pa'la'weng 帕拉翁
'pa'la'weng'pan'jun 帕拉翁叛军
'pan'jun 叛军
