'ba'ba 八八
'gu'mei'qi'shi 故美其食
'gu'neng'shou'bi'tian'di 故能寿敝天地
'gu'neng'xing'yu'shen'ju 故能形与神俱
'gu'neng'you'zi 故能有子
'gu'shen'wu'qi'bing 故身无奇病
'gu'sheng'ren'chuan'jing'shen 故圣人传精神
'gu'si 故死
'gu'sui'jian'gu 骨髓坚固
'gu'tian'yun'dang'yi'ri'guang'ming 故天运当以日光明
'gu'wu'zang'sheng 故五脏盛
'gu'xing'huai'er'wu'zi'ye 故形坏而无子也
'gu'yang'qi'zhe 故阳气者
'gu'yang'qiang'bu'neng'mi 故阳强不能密
'gu'yang'xu'ji'bing'si 故阳畜积病死
'gu'yin'yang'si'shi'zhe 故阴阳四时者
'gu'you'zi 故有子
'gu'yu'wan'wu'chen'fu'yu'sheng'zhang'zhi'men 故与万物沉浮于生长之门
'gu'zhen'ya'sheng'er'chang'ji 故真牙生而长极
'gu'zheng'jin'rou 骨正筋柔
'guang'bu'yu'ting 广步于庭
'guang'ming'zhe'ye 光明者也
'han'bo'wei'zha 寒薄为皶
'han'chu'er'san 汗出而散
'han'chu'jian'shi 汗出见湿
'han'chu'pian'ju 汗出偏沮
'han'qi'cong'zhi 寒气从之
'he'ye 何也
'he'yu'shu'shu 和于术数
'he'yu'yin'yang 和于阴阳
'hu'xi'jing'qi 呼吸精气
'huai'qi'zhen'yi 坏其真矣
'huang'di'nei'jing 黄帝内经
'huang'di'nei'jing'su'wen 黄帝内经素问
'huang'di'yue 黄帝曰
'ji'jing'quan'shen 积精全神
'ji'rou'man'zhuang 肌肉满壮
'ji'rou'ruo'yi 肌肉若一
'ji'wei'jing'hai 及为惊骇
'jiang'cong'shang'gu'he'tong'yu'dao 将从上古合同于道
'jiang'tian'shu'ran'ye 将天数然也
'jiao'tong'bu'biao 交通不表
'jie'de'suo'yuan 皆得所愿
'jie'jing'wei'lun 解精微论
'jie'jing'wei'lun'pian 解精微论篇
'jie'jing'wei'lun'pian'di'ba'shi'yi 解精微论篇第八十一
'jie'tong'hu'tian'qi 皆通乎天气
'jie'wei'zhi'xu'xie'zei'feng 皆谓之虚邪贼风
'jin'bu'neng'dong 筋不能动
'jin'dao'ru'fa 谨道如法
'jin'gu'jian 筋骨坚
'jin'gu'jie'duo 筋骨解堕
'jin'gu'jin'qiang 筋骨劲强
'jin'gu'long'sheng 筋骨隆盛
'jin'kui'yao'lue 金匮要略
'jin'kui'zhen'yan'lun 金匮真言论
'jin'kui'zhen'yan'lun'pian 金匮真言论篇
'jin'kui'zhen'yan'lun'pian'di'si 金匮真言论篇第四
'jin'mai'he'tong 筋脉和同
'jin'mai'heng'jie 筋脉横解
'jin'mai'ju'chi 筋脉沮弛
'jin'shi'zhi'ren 今时之人
'jin'shi'zhi'ren'bu'ran'ye 今时之人不然也
'jin'wu'zang'jie'shuai 今五脏皆衰
'jing'jue 精绝
'jing'luo'lun 经络论
'jing'luo'lun'pian 经络论篇
'jing'luo'lun'pian'di'wu'shi'qi 经络论篇第五十七
'jing'mai'bie'lun 经脉别论
'jing'mai'bie'lun'pian 经脉别论篇
'jing'mai'bie'lun'pian'di'er'shi'yi 经脉别论篇第二十一
'jing'nai'wang 精乃亡
'jing'qi'nai'jue 精气乃绝
'jing'qi'yi'xie 精气溢泻
'jing'shao 精少
'jing'shen'bu'san 精神不散
'jing'shen'nai'yang 精神乃央
'jing'shen'nai'zhi 精神乃治
'jing'shen'nei'shou 精神内守
'jing'ze'duo'yan 静则多言
'jing'ze'yang'shen 精则养神
'jiu'ke'ni'shang'qi'hou 久咳逆上气候
'jiu'qiao 九窍
'jiu'qiao'bu'tong 九窍不通
'ju'bu'yu'guan'yu'su 举不欲观于俗
'ju'tong'lun 举痛论
'ju'tong'lun'pian 举痛论篇
'ju'tong'lun'pian'di'san'shi'jiu 举痛论篇第三十九
'jue'lun 厥论
'jue'lun'pian 厥论篇
'jue'lun'pian'di'si'shi'wu 厥论篇第四十五
'kai'he'bu'de 开阖不得
'ke'lun 咳论
'ke'lun'pian 咳论篇
'ke'lun'pian'di'san'shi'ba 咳论篇第三十八
'kui'kui'hu'ruo'huai'dou 溃溃乎若坏都
'lao'han'dang'feng 劳汗当风
'le'qi'su 乐其俗
'lei'zheng'zhi'cai 类证治裁
'li'he'zhen'xie'lun 离合真邪论
'li'he'zhen'xie'lun'pian 离合真邪论篇
'li'he'zhen'xie'lun'pian'di'er'shi'qi 离合真邪论篇第二十七
'liang'yi'fu'wei 良医弗为
'liang'zhe'bu'he 两者不和
'ling'lan'mi'dian'lun 灵兰秘典论
'ling'lan'mi'dian'lun'pian 灵兰秘典论篇
'ling'lan'mi'dian'lun'pian'di'ba 灵兰秘典论篇第八
'liu'ba 六八
'liu'he'zhi'nei 六合之内
'liu'jie'zang'xiang'lun 六节藏象论
'liu'jie'zang'xiang'lun'pian 六节藏象论篇
'liu'jie'zang'xiang'lun'pian'di'jiu 六节藏象论篇第九
'liu'lian'rou'cou 留连肉腠
'liu'qi 六七
'liu'wei'zhi'da'lun 六微旨大论
'liu'wei'zhi'da'lun'pian 六微旨大论篇
'liu'wei'zhi'da'lun'pian'di'liu'shi'ba 六微旨大论篇第六十八
'liu'yuan'zheng'ji'da'lun 六元正纪大论
'liu'yuan'zheng'ji'da'lun'pian 六元正纪大论篇
'liu'yuan'zheng'ji'da'lun'pian'di'qi'shi'yi 六元正纪大论篇第七十一
'luan'ji'cheng'er'hou'zhi'zhi 乱己成而后治之
'mai'jie 脉解
'mai'jie'pian 脉解篇
'mai'jie'pian'di'si'shi'jiu 脉解篇第四十九
'mai'ni'si'shi 脉逆四时
'mai'yao'jing'wei'lun 脉要精微论
'mai'yao'jing'wei'lun'pian 脉要精微论篇
'mai'yao'jing'wei'lun'pian'di'shi'qi 脉要精微论篇第十七
'mai'you'ni'cong'si'shi 脉有逆从四时
'mi'mi'hu'bu'ke'zhi 汨汨乎不可止
'mian'jiao 面焦
'mian'jie'jiao 面皆焦
'mian'shi'jiao 面始焦
'ming'yue'ni'si'shi'ye 命曰逆四时也
'miu'ci'lun 缪刺论
'miu'ci'lun'pian 缪刺论篇
'miu'ci'lun'pian'di'liu'shi'san 缪刺论篇第六十三
'mu'mang'bu'ke'yi'shi 目盲不可以视
'nai'neng'xie 乃能泻
'nai'sheng'cuo'fei 乃生痤疿
'nai'sheng'da'lou 乃生大偻
'nai'sheng'han're 乃生寒热
'nai'sheng'yong'zhong 乃生痈肿
'nai'wei'dong'xie 乃为洞泄
'nai'wen'yu'tian'shi'yue 乃问于天师曰
'nan'zi'bu'guo'jin'ba'ba 男子不过尽八八
'nei'wu'si'xiang'zhi'huan 内无思想之患
'neng'sheng'zi'ye 能生子也
'neng'you'zi'hu 能有子乎
'ni'chun'qi'ze'shao'yang'bu'sheng 逆春气则少阳不生
'ni'cong'yin'yang 逆从阴阳
'ni'cong'zhe 逆从者
'ni'dong'qi'ze'shao'yin'bu'cang 逆冬气则少阴不藏
'ni'qi 逆气
'ni'qi'gen'ze'fa'qi'ben 逆其根则伐其本
'ni'qiu'qi'ze'tai'yin'bu'shou 逆秋气则太阴不收
'ni'tiao'lun 逆调论
'ni'tiao'lun'pian 逆调论篇
'ni'tiao'lun'pian'di'san'shi'si 逆调论篇第三十四
'ni'xia'qi'ze'tai'yang'bu'chang 逆夏气则太阳不长
'ni'yu'rou'li 逆于肉理
'ni'yu'sheng'le 逆于生乐
'ni'zhe'zheng'zhi 逆者正治
'ni'zhi'ze'luan 逆之则乱
'ni'zhi'ze'shang'fei 逆之则伤肺
'ni'zhi'ze'shang'gan 逆之则伤肝
'ni'zhi'ze'shang'shen 逆之则伤肾
'ni'zhi'ze'shang'xin 逆之则伤心
'ni'zhi'ze'si 逆之则死
'ni'zhi'ze'zai'hai'sheng 逆之则灾害生
'nian'ban'bai'er'dong'zuo'jie'shuai'zhe 年半百而动作皆衰者
'nue'lun 疟论
'nue'lun'pian 疟论篇
'nue'lun'pian'di'san'shi'wu 疟论篇第三十五
'nv'zi'bu'guo'jin'qi'qi 女子不过尽七七
'nv'zi'qi'sui 女子七岁
'pi'bu'lun 皮部论
'pi'bu'lun'pian 皮部论篇
'pi'bu'lun'pian'di'wu'shi'liu 皮部论篇第五十六
'pi'ji'yu'xia 辟积于夏
'pi'qi'bu'ru 脾气不濡
'pi'qi'nai'jue 脾气乃绝
'pi'you'ke'er'chuan'jing 譬犹渴而穿井
'ping'dan'ren'qi'sheng 平旦人气生
'ping're'bing'lun 评热病论
'ping're'bing'lun'pian 评热病论篇
'ping're'bing'lun'pian'di'san'shi'san 评热病论篇第三十三
'ping'ren'qi'xiang'lun 平人气象论
'ping'ren'qi'xiang'lun'pian 平人气象论篇
'ping'ren'qi'xiang'lun'pian'di'shi'ba 平人气象论篇第十八
'po'han'wei'jin 魄汗未尽
'qi'ba 七八
'qi'bing'lun 奇病论
'qi'bing'lun'pian 奇病论篇
'qi'bing'lun'pian'di'si'shi'qi 奇病论篇第四十七
'qi'bo'dui'yue 岐伯对曰
'qi'bo'yue 岐伯曰
'qi'bu'de'wo 其不得卧
'qi'ci'you'sheng'ren'zhe 其次有圣人者
'qi'ci'you'xian'ren'zhe 其次有贤人者
'qi'cong'yi'shun 气从以顺
'qi'fu'lun 气府论
'qi'fu'lun'pian 气府论篇
'qi'fu'lun'pian'di'wu'shi'jiu 气府论篇第五十九
'qi'jiao'bian'da'lun 气交变大论
'qi'jiao'bian'da'lun'pian 气交变大论篇
'qi'jiao'bian'da'lun'pian'di'liu'shi'jiu 气交变大论篇第六十九
'qi'ju'ru'jing 起居如惊
'qi'ju'wu'jie 起居无节
'qi'ju'you'chang 起居有常
'qi'jue'lun 气厥论
'qi'jue'lun'pian 气厥论篇
'qi'jue'lun'pian'di'san'shi'qi 气厥论篇第三十七
'qi'li'ru'gu 气立如故
'qi'mai'chang'tong 气脉常通
'qi'men'nai'bi 气门乃闭
'qi'min'gu'yue'pu 其民故曰朴
'qi'qi 七七
'qi'qi'jiu'zhou 其气九州
'qi'qi'san 其气三
'qi'ruo'bu'rong 其若不容
'qi'shang'ni'bu'de'wo'er'xi'you'yin 气上逆不得卧而息有音
'qi'she'yu'fei 气舍于肺
'qi'sheng'wu 其生五
'qi'xue'jie'cong 气血皆从
'qi'xue'lun 气穴论
'qi'xue'lun'pian 气穴论篇
'qi'xue'lun'pian'di'wu'shi'ba 气穴论篇第五十八
'qi'xue'yi'liu 气血以流
'qi'zhi'dao'zhe 其知道者
'qi'zhi'jie'xuan'jue'chen'se 其至皆悬绝沉涩
'qi'zhi'xue'ye 气之削也
'qing'jing'ze'rou'cou'bi'ju 清静则肉腠闭拒
'qing'jing'ze'zhi'yi'zhi 清静则志意治
'qiu'de'xin'mai 秋得心脉
'qiu'dong'er'mai'fu'da 秋冬而脉浮大
'qiu'dong'yang'yin 秋冬养阴
'qiu'san'yue 秋三月
'qiu'shang'yu'shi 秋伤于湿
'qiu'wei'jie'nue 秋为痎疟
'qu'han'jiu'wen 去寒就温
'qu'shi'li'su 去世离俗
're'lun 热论
're'lun'pian 热论篇
're'lun'pian'di'san'shi'yi 热论篇第三十一
'ren'jiang'shi'zhi'ye 人将失之耶
'ren'mai'tong 任脉通
'ren'mai'xu 任脉虚
'ren'nian'lao'er'wu'zi'zhe 人年老而无子者
'ren'qi'fu 任其服
'ri'xi'er'yang'qi'yi'xu 日西而阳气已虚
'ri'zhong'er'yang'qi'long 日中而阳气隆
'rou'ze'yang'jin 柔则养筋
'ru'shi'ze'gu'qi'yi'jing 如是则骨气以精
'ru'shi'ze'nei'wai'tiao'he 如是则内外调和
'ruan'duan'wei'ju 緛短为拘
'ruo'chun'wu'qiu 若春无秋
'ruo'dong'wu'xia 若冬无夏
'ruo'er'neng'yan 弱而能言
'ruo'suo'ai'zai'wai 若所爱在外
'ruo'tian'yu'ri 若天与日
'ruo'yi'you'de 若已有得
'ruo'you'si'yi 若有私意
'san'ba 三八
'san'bu'jiu'hou'lun 三部九候论
'san'bu'jiu'hou'lun'pian 三部九候论篇
'san'bu'jiu'hou'lun'pian'di'er'shi 三部九候论篇第二十
'san'qi 三七
'san'yang'mai'shuai'yu'shang 三阳脉衰于上
'se'hei 色黑
'shang'er'wu'fa 赏而勿罚
'shang'gu'tian'zhen'lun 上古天真论
'shang'gu'tian'zhen'lun'pian 上古天真论篇
'shang'gu'tian'zhen'lun'pian'di'yi 上古天真论篇第一
'shang'gu'zhi'ren 上古之人
'shang'ni'er'ke 上逆而咳
'shang'xia'bu'bing 上下不并
'shang'zai'wu'wei 伤在五味
'shen'nian'sui'shou 身年虽寿
'shen'qi'bu'heng 肾气不衡
'shen'qi'du'chen 肾气独沉
'shen'qi'nai'fu 神气乃浮
'shen'qi'nai'shang 肾气乃伤
'shen'qi'ping'jun 肾气平均
'shen'qi'sheng 肾气盛
'shen'qi'shi 肾气实
'shen'qi'shuai 肾气衰
'shen'shou'qi'yu'gan 肾受气于肝
'shen'ti'sheng'zhuang 身体盛壮
'shen'ti'zhong 身体重
'shen'wei'shui'zang 肾为水脏
'shen'zang'shuai 肾脏衰
'shen'zhe'zhu'shui 肾者主水
'sheng'er'shen'ling 生而神灵
'sheng'er'wu'sha 生而勿杀
'sheng'qi'bu'jie 生气不竭
'sheng'qi'tong'tian'lun 生气通天论
'sheng'qi'tong'tian'lun'pian 生气通天论篇
'sheng'qi'tong'tian'lun'pian'di'san 生气通天论篇第三
'sheng'ren'xing'zhi 圣人行之
'sheng'si'zhi'ben'ye 生死之本也
'sheng'zhi'ben 生之本
'shi'cong'qi'bing'er'zhi'zhi 是从其病而治之
'shi'cong'rong'lun 示从容论
'shi'cong'rong'lun'di'qi'shi'liu 示从容论第七十六
'shi'fei'qi'qing 使肺气清
'shi'gu'jin'he'wu'wei 是故谨和五味
'shi'gu'mu'er'shou'ju 是故暮而收拒
'shi'gu'sheng'ren'bu'zhi'yi'bing 是故圣人不治已病
'shi'gu'wei'guo'yu'suan 是故味过于酸
'shi'gu'yang'yin'er'shang 是故阳因而上
'shi'hua'ying'cheng'xiu 使华英成秀
'shi'ni'qi'bing'er'zhi'zhi 是逆其病而治之
'shi'qi'de'xie 使气得泄
'shi'qi'ji'duo 使气极夺
'shi'qi'suo 失其所
'shi'qiu'qi'ping 使秋气平
'shi're'bu'rang 湿热不攘
'shi'ren'bo'jue 使人薄厥
'shi'ren'jian'jue 使人煎厥
'shi'ren'pian'ku 使人偏枯
'shi'shi'yi'ye 时世异耶
'shi'shi'yu'yu'shi'su'zhi'jian 适嗜欲于世俗之间
'shi'shui'qi'zhi'ke'zhe 是水气之客者
'shi'ting'ba'yuan'zhi'wai 视听八远之外
'shi'wei'de'dao 是谓得道
'shi'wei'nei'ge 是谓内格
'shi'wei'sheng'du 是谓圣度
'shi'yi'chun'shang'yu'feng 是以春伤于风
'shi'yi'de'xiao'fang 世医得效方
'shi'yi'sheng'ren'chen'yin'yang 是以圣人陈阴阳
'shi'yi'shi'yu'bu'neng'lao'qi'mu 是以嗜欲不能劳其目
'shi'yi'zhi'xian'er'shao'yu 是以志闲而少欲
'shi'yin'you'jie 食饮有节
'shi'zhi'an'ning 使志安宁
'shi'zhi'ruo'fu'ruo'ni 使志若伏若匿
'shi'zhi'wu'nu 使志勿怒
'shi'zhi'ze'nei'bi'jiu'qiao 失之则内闭九窍
'shou'lian'shen'qi 收敛神气
'shou'ru'chi'xu 受如持虚
'shou'ru'guo 首如裹
'shou'wu'zang'liu'fu'zhi'jing'er'cang'zhi 受五脏六腑之精而藏之
'shu'fan'ci'zhe 数犯此者
'shu'wu'guo'lun 疏五过论
'shu'wu'guo'lun'pian 疏五过论篇
'shu'wu'guo'lun'pian'di'qi'shi'qi 疏五过论篇第七十七
'shui'bing'di'che 水冰地坼
'shui're'xue'lun 水热穴论
'shui're'xue'lun'pian 水热穴论篇
'shui're'xue'lun'pian'di'liu'shi'yi 水热穴论篇第六十一
'shui'zhe 水者
'shun'zhi'ze'yang'qi'gu 顺之则阳气固
'si'ba 四八
'si'qi 四七
'si'qi'tiao'shen'da'lun 四气调神大论
'si'qi'tiao'shen'da'lun'pian 四气调神大论篇
'si'qi'tiao'shen'da'lun'pian'di'er 四气调神大论篇第二
'si'shi'ci'ni'cong'lun 四时刺逆从论
'si'shi'ci'ni'cong'lun'pian 四时刺逆从论篇
'si'shi'ci'ni'cong'lun'pian'di'liu'shi'si 四时刺逆从论篇第六十四
'si'shi'zhi'qi 四时之气
'si'wei'xiang'dai 四维相代
'su'wen 素问
'sui'you'da'feng'ke'du 虽有大风苛毒
'sui'you'zei'xie 虽有贼邪
'suo'wei'ni'si'shi'zhe 所谓逆四时者
'suo'yi'neng'nian'jie'du'bai'sui'er'dong'zuo'bu'shuai'zhe 所以能年皆度百岁而动作不衰者
'suo'yi'sheng'ren'chun'xia'yang'yang 所以圣人春夏养阳
'tai'chong'mai'sheng 太冲脉盛
'tai'chong'mai'shuai'shao 太冲脉衰少
'tai'yin'yang'ming'lun 太阴阳明论
'tai'yin'yang'ming'lun'pian 太阴阳明论篇
'tai'yin'yang'ming'lun'pian'di'er'shi'jiu 太阴阳明论篇第二十九
'tang'ye'lao'li'lun 汤液醪醴论
'tang'ye'lao'li'lun'pian 汤液醪醴论篇
'tang'ye'lao'li'lun'pian'di'shi'si 汤液醪醴论篇第十四
'ti'qie'tian'di 提挈天地
'ti'ruo'fan'tan 体若燔炭
'tian'di'ju'sheng 天地俱生
'tian'di'qi'jiao 天地气交
'tian'di'si'shi'bu'xiang'bao 天地四时不相保
'tian'di'zhi'jian 天地之间
'tian'gui'jie 天癸竭
'tian'gui'jin'yi 天癸尽矣
'tian'gui'zhi 天癸至
'tian'ming'ze'ri'yue'bu'ming 天明则日月不明
'tian'qi'qing'jing 天气清净
'tian'qi'yi'ji 天气以急
'tian'tan'xu'wu 恬惔虚无
'tian'yuan'ji'da'lun 天元纪大论
'tian'yuan'ji'da'lun'pian 天元纪大论篇
'tian'yuan'ji'da'lun'pian'di'liu'shi'liu 天元纪大论篇第六十六
'tiao'jing'lun 调经论
'tiao'jing'lun'pian 调经论篇
'tiao'jing'lun'pian'di'liu'shi'er 调经论篇第六十二
'tiao'yu'si'shi 调于四时
'tong'ping'xu'shi'lun 通评虚实论
'tong'ping'xu'shi'lun'pian 通评虚实论篇
