'an'yu'lan'pen'zhong 安盂兰盆中
'ru'jin'fu'wen 汝今复问
'ru'mu'zui'gen'shen'jie 汝母罪根深结
'ru'sui'xiao'shun 汝虽孝顺
'ru'tian'hua'guang 入天华光
'ruo'bi'qiu'bi'qiu'ni 若比丘比丘尼
'ruo'fu'mu'xian'zai'zhe 若父母现在者
'ruo'qi'shi'fu'mu'sheng'tian 若七世父母生天
'ruo'wei'lai'shi 若未来世
'ruo'yi'qie'fo'di'zi 若一切佛弟子
'san'gong'bai'guan 三公百官
'seng'zi'zi'ri 僧自恣日
'shan'nan'zi 善男子
'sheng'dong'tian'di 声动天地
'sheng'e'gui'zhong 生饿鬼中
'sheng'ren'tian'zhong 生人天中
'sheng'zhong'zhi'dao 圣众之道
'shi'de'liu'tong 始得六通
'shi'fang'zhong'seng 十方众僧
'shi'fo'chi'shi'fang'zhong'seng 时佛敕十方众僧
'shi'fo'di'zi'xiu'xiao'shun'zhe 是佛弟子修孝顺者
'shi'fo'nai'seng 施佛乃僧
'shi'mu'lian'bi'qiu 时目连比丘
'shi'mu'lian'mu 时目连母
'shi'ran'chu'mie 释然除灭
'shi'shi'fang'zi'zi'seng 施十方自恣僧
'shi'wei'ru'kou 食未入口
'shou'bo'he'luo'fan 受钵和罗饭
'shou'ming'bai'nian'wu'bing'wu'yi'qie'ku'nao'zhi'huan 寿命百年无病无一切苦恼之患
'si'bei'di'zi 四辈弟子
'si'tian'wang'shen 四天王神
'sui'bu'de'shi 遂不得食
'ta'si'zhong'fo'qian 塔寺中佛前
'tian'shen'di'zhi 天神地祗
'wan'min'shu'ren 万民庶人
'wang'xiang'qi'mu 往饷其母
'wei'zuo'yu'lan'pen 为作盂兰盆
'wen'ru'shi 闻如是
'wo'zheng'yu'shuo 我正欲说
'wu'jin'dang'shuo'jiu'ji'zhi'fa 吾今当说救济之法
'xian'an'zai'fo'qian 先安在佛前
'xian'zai'fu'mu 现在父母
'xiang'you'ding'zhu 香油锭烛
'xie'mo'wai'dao 邪魔外道
'xing'chan'ding'yi 行禅定意
'xing'ci'xiao'zhe 行慈孝者
'yi'bai'wei'fan'shi 以百味饭食
'yi'bao'fu'mu'chang'yang'ci'ai'zhi'en 以报父母长养慈爱之恩
'yi'bu'neng'nai'he 亦不能奈何
'yi'qie'fo'di'zi 一切佛弟子
'yi'qie'sheng'zhong 一切圣众
'yi'shi'fo'zai'she'wei'guo 一时佛在舍卫国
'yi'shi'zi'ran 衣食自然
'yi'suo'sheng'fu'mu 忆所生父母
'yi'ying'feng'yu'lan'pen 亦应奉盂兰盆
'yi'zhu'pen'zhong 以著盆中
'ying'dang'feng'chi'shi'fa 应当奉持是法
'ying'nian'nian'zhong 应念念中
'ying'shi'jie'tuo 应时解脱
'you'shou'bo'shi 右手搏食
'yu'du'fu'mu 欲度父母
'yu'qi'yue'shi'wu'ri 於七月十五日
'yuan'jue 缘觉
'yuan'qi'shi'fu'mu 愿七世父母
'yuan'shi'xian'zai'fu'mu 愿使现在父母
'zai'da'zhong'zhong 在大众中
'zhi'shu'gei'gu'du'yuan'da'mu'jian'lian 祗树给孤独园大目犍连
'zhong'seng'wei'shen'zhi'li'gu 众僧威神之力故
'zhong'seng'zhou'yuan'jing 众僧咒愿竟
'zi'zai'hua'sheng 自在化生
