'a'er'ji'li'ya 阿尔及利亚
'an'quan'lian'meng 安全联盟
'an'quan'lou'dong 安全漏洞
'an'quan'mao 安全帽
'an'quan'mian'yi'wang'guan 安全免疫网关
'an'quan'mian'yi'xi'tong 安全免疫系统
'an'quan'ming'ling 安全命令
'an'quan'mu'biao 安全目标
'an'quan'mu'di 安全目的
'an'quan'nei'he 安全内核
'an'quan'ren'zheng 安全认证
'an'quan'ri'zhi 安全日志
'an'quan'san'lie'suan'fa 安全散列算法
'an'quan'shen'he 安全审核
'an'quan'shen'ji'xiao'xi 安全审计消息
'an'quan'shen'ji'zhe 安全审计者
'an'quan'shen'ji'zong'ji 安全审计踪迹
'an'quan'shi'shi'chuan'shu'xie'yi 安全实时传输协议
'an'quan'shi'xiang 安全事项
'an'quan'shu'xing 安全属性
'an'quan'shu'zi'yin'yue 安全数字音乐
'an'quan'tao'jie'ceng 安全套接层
'an'quan'te'di'dian'ya 安全特低电压
'an'quan'te'zheng 安全特征
'an'quan'ti'yi 安全提议
'an'quan'tong'xin'gong'neng 安全通信功能
'an'quan'wai'ke 安全外壳
'an'quan'wang'guan 安全网关
'an'quan'wen'dang 安全文档
'an'quan'wen'jian'chuan'shu'xie'yi 安全文件传输协议
'an'quan'xi'shu 安全系数
'an'quan'xin'feng 安全信封
'an'quan'xing 安全性
'an'quan'xing'she'ji 安全性设计
'an'quan'xing'ti'xi'jie'gou 安全性体系结构
'an'quan'xiu'fu'fu'wu'qi 安全修复服务器
'an'quan'xu'qiu 安全需求
'an'quan'yao'su 安全要素
'an'quan'ye'wu 安全业务
'an'quan'yu 安全域
'an'quan'yu'ji'gou 安全域机构
'an'quan'yu'jia'mi'ka 安全与加密卡
'an'quan'zheng'shu 安全证书
'an'quan'zheng'shu'lian 安全证书链
'an'quan'zhou'bian 安全周边
'an'quan'zi'ceng 安全子层
'an'quan'zu'zhi 安全阻止
'an'se'ming'ling 暗色命令
'an'shi'jian'xuan'lu 按时间选路
'an'shi'jiao'huo'zhi'liang'cheng'ben'fu'wu 按时交货质量成本服务
'an'shi'xing'quan'xian 暗示性权限
'an'shi'yong'fu'fei 按使用付费
'an'suo'fu'ju'zhen 安索夫矩阵
'an'tiao'jian'lu'you 按条件路由
'an'tou'diao'yan 案头调研
'an'wei'chuan'xing 按位串行
'an'wei'yun'suan 按位运算
'an'wei'zhi'ji'fei 按位置计费
'an'xu'bo'hao'lu'you'ji'shu 按需拨号路由技术
'an'xu'ding'huo 按需订货
'an'xu'fen'pei 按需分配
'an'xu'qiu'fen'pei'dai'kuan 按需求分配带宽
'an'ye'wu'mu'biao'chong'zu 按业务目标重组
'an'yong'hu'de'gui'ding'xuan'lu 按用户的规定选路
'an'yu'ce'sheng'chan 按预测生产
'an'yu'sou'suo 按域搜索
'an'zhan'dian'fa'huo 按站点发货
'an'zhi'chuan'di 按值传递
'an'zhuang'ban 安装板
'an'zhuang'dan'yuan 安装单元
'an'zhuang'fu'jian 安装附件
'an'zhuang'fu'wu'qi 安装服务器
'an'zhuang'jing'li 安装经理
'an'zhuang'kong 安装孔
'an'zhuang'mu'lu 安装目录
'an'zhuang'shou'ce 安装手册
'an'zhuang'wei'hu'gong'cheng'shi 安装维护工程师
'an'zhuang'zai'ji'jia'shang'de 安装在机架上的
'an'zi'fu'chuan'hang 按字符串行
'ao'xian'bao'ceng 凹陷包层
'ba'bi'te'zu'hua'dong 八比特组滑动
'ba'bi'te'zu'xu'lie'wan'zheng'xing 八比特组序列完整性
'ba'biao'zhi'she'jin 把标识设进
'ba'jin'zhi'shu 八进制数
'ba'ke'si'fan'shi 巴克斯范式
'ba'lei'tuo'ding'lv 巴累托定律
'ba'li'gong'yue 巴黎公约
'ba'wei'zi'jie 八位字节
'ba'wo'du 把握度
'bai'ban 白斑
'bai'dian'ping 白电平
'bai'dong 摆动
'bai'dui'xiang 白对相
'bai'fang'di'wei'zhi'ji'cun'qi 拜访地位置寄存器
'bai'fang'ji'hua 拜访计划
'bai'fang'wang'luo 拜访网络
'bai'fang'wang'luo'biao'zhi'fu 拜访网络标识符
'bai'fang'wei'zhi'ji'cun'qi'shu'ju'ku 拜访位置寄存器数据库
'bai'fen'bi'tu 百分比图
'bai'he'ce'shi 白盒测试
'bai'mi'bo 百米波
'bai'pai 白牌
'bai'pi'shu 白皮书
'bai'qian'mi'bo 百千米波
'bai'se'can'liu'wu 白色残留物
'bai'wan'fen'zhi'yi 百万分之一
'bai'wan'ji'hui'que'xian'shu 百万机会缺陷数
'bai'wei 百位
'bai'xiang 白箱
'bai'zao'sheng 白噪声
'bai'zhao'mi'bo 百兆米波
'ban'ben 版本
'ban'ben'jiao'cuo'fa'bu'mo'shi'tu 版本交错发布模式图
'ban'ben'wen'dang 版本文档
'ban'bian'lian'jie'qi 板边连接器
'ban'bo'ou'ji'zi 半波偶极子
'ban'cheng'pin 半成品
'ban'cheng'pin'zu'zhuang 半成品组装
'ban'duan'qie'huan 半端切换
'ban'fa'ri'qi 颁发日期
'ban'fu'zhi'mai'kuan 半幅值脉宽
'ban'fu'zhi'quan'kuan 半幅值全宽
'ban'gang'xing'tong'zhou'xian 半刚性同轴线
'ban'gong'hui'yi 办公会议
'ban'gong'jia'si 办公家私
'ban'hui'bo'yi'zhi'qi 半回波抑制器
'ban'ji'zhi'cheng'bao 板级支撑包
'ban'jian'guang'bo'chang'tong'dao'bao'hu 板间光波长通道保护
'ban'jiao'fu'hao 半角符号
'ban'jie'gou'hua'shu'ju 半结构化数据
'ban'jin 钣金
'ban'jing'tai 半静态
'ban'kai'ban'bi'qu'jian 半开半闭区间
'ban'ling'xing'tian'xian 半菱形天线
'ban'lu'you'qi 半路由器
'ban'mo'shi'hua'fang'tan 半模式化访谈
'ban'nei'guang'bo'chang'tong'dao'bao'hu 板内光波长通道保护
'ban'nian'du'kong'zhi'ping'gu 半年度控制评估
'ban'ou'ji'zi 半偶极子
'ban'pin'fen'shuang'gong 半频分双工
'ban'ping'jun'fa 半平均法
'ban'san'jian 半散件
'ban'se'diao'tu'xiang 半色调图像
'ban'shi'chu'dian'xin'xi'tong'bu 办事处电信系统部
'ban'shi'chu'guan'li'bu'zhu'guan 办事处管理部主管
'ban'shi'yuan 办事员
'ban'shou'kai'guan 扳手开关
'ban'shuang'gong 半双工
'ban'shuang'gong'cao'zuo 半双工操作
'ban'shuang'gong'qiao 半双工桥
'ban'shuang'gong'she'bei 半双工设备
'ban'shui 版税
'ban'su'lv 半速率
'ban'su'lv'ban'ben 半速率版本
'ban'su'lv'ye'wu 半速率业务
'ban'su'lv'ye'wu'xin'dao 半速率业务信道
'ban'su'lv'zhi'shi 半速率指示
'ban'ti'shuang'jing 半体双晶
'ban'xiang'su 半像素
'ban'xin'ren'qu 半信任区
'ban'yin'gan'rao'tu'xiang 伴音干扰图象
'ban'yong'jiu 半永久
'ban'zhang'tai 班长台
'ban'zhu'ren 班主任
'ban'zhuang'dian'pian 板状垫片
'ban'zhuang'xian 板状线
'ban'zi'dong'jiao'huan 半自动交换
'ban'zi'dong'xiang'wei'tiao'zheng 半自动相位调整
'ban'zu'gui'mo 班组规模
'bang'dai 绑带
'bang'dai'zu 绑带组
'bang'ding'geng'xin 绑定更新
'bang'ding'huan'cun 绑定缓存
'bang'ding'mi'yao 绑定密钥
'bang'ding'que'ren 绑定确认
'bang'ding'ren'zheng 绑定认证
'bang'ding'tong'dao 绑定通道
'bang'ding'wang'yuan 绑定网元
'bang'xian'ban 绑线板
'bang'xian'kou 绑线扣
'bang'za'dai 绑扎带
'bang'zhou'guang'xian 傍轴光线
'bang'zhu'cai'dan 帮助菜单
'bang'zhu'qi'ying'yong 帮助器应用
'bang'zhuang'xian 棒状线
'bao'an'dan'yuan 保安单元
'bao'bao'zai'xian 宝宝在线
'bao'biao 报表
'bao'biao'biao'ti 报表标题
'bao'biao'bu'jian 报表部件
'bao'biao'can'shu 报表参数
'bao'biao'cao'zuo'yuan 报表操作员
'bao'biao'cha'kan'yuan 报表查看员
'bao'biao'fen'fa 报表分发
'bao'biao'ge'shi 报表格式
'bao'biao'gong'cheng 报表工程
'bao'biao'guan'li 报表管理
'bao'biao'guan'li'yuan 报表管理员
'bao'biao'ji 报表集
'bao'biao'kuai'zhao 报表快照
'bao'biao'mu'ban 报表模板
'bao'biao'xuan'xiang 报表选项
'bao'biao'zi'xi'tong 报表子系统
'bao'ceng 包层
'bao'ceng'bu'yuan'du 包层不圆度
'bao'ceng'mo 包层模
'bao'ceng'mo'bo'chu'qi 包层模剥除器
'bao'ceng'rong'cha'qu 包层容差区
'bao'ceng'zhi'jing 包层直径
'bao'ceng'zhi'jing'rong'cha 包层直径容差
'bao'ceng'zhong'xin 包层中心
'bao'chi'shi'jian 保持时间
'bao'chi'xing'neng'xian'zhi 保持性能限值
'bao'chi'yi'zhi 保持一致
'bao'chi'you'xian'ji 保持优先级
'bao'chi'zhou'qi 保持周期
'bao'chu'li 包处理
'bao'cun 保存
'bao'cun'kong'jian 保存空间
'bao'dao'da'dou'dong 包到达抖动
'bao'di 保底
'bao'dui 保兑
'bao'e'biao'zhun 保额标准
'bao'feng 包封
'bao'gao'dan 报告单
'bao'gao'deng'ji 报告等级
'bao'gao'dui'lie 报告队列
'bao'gao'he'ji'xiao'guan'li 报告和绩效管理
'bao'gao'huo'bi 报告货币
'bao'gao'xiao'xi 报告消息
'bao'gao'xin'dao 报告信道
'bao'gao'zhuang'tai 报告状态
'bao'gao'zhuang'tai'dui'hua'kuang 报告状态对话框
'bao'gao'zhuang'tai'tu'biao 报告状态图标
'bao'guan 报关
'bao'guan'dan 报关单
'bao'guan'fei'lv 保管费率
'bao'guan'hang 报关行
'bao'guan'yuan 报关员
'bao'guang 曝光
'bao'guo'lv 包过滤
'bao'han 保函
'bao'han'pai'chu'lie'biao 包含排除列表
'bao'he 饱和
'bao'he'gong'lv 饱和功率
'bao'he'tai 饱和态
'bao'hu'ce'lue 保护策略
'bao'hu'cuo'shi 保护措施
'bao'hu'dao'huan 保护倒换
'bao'hu'dao'ti 保护导体
'bao'hu'di'xian 保护地线
'bao'hu'huan 保护环
'bao'hu'jie'di'duan'zi 保护接地端子
'bao'hu'jie'di'pai 保护接地排
'bao'hu'lv 保护率
'bao'hu'pin'dai 保护频带
'bao'hu'shi'jian 保护时间
'bao'hu'shi'tu 保护视图
'bao'hu'shu'ju 保护数据
'bao'hu'tong'dao 保护通道
'bao'hu'xin'dao 保护信道
'bao'hu'ye'wu 保护业务
'bao'hu'yu'liang 保护余量
'bao'hu'zi'wang 保护子网
'bao'hui'fu'shi'zhong 包恢复时钟
'bao'ji'guo'lv 包级过滤
'bao'ji'liu 包级流
'bao'jia 报价
'bao'jia'dan'lei'xing 报价单类型
'bao'jia'he'tou'biao'guan'li 报价和投标管理
'bao'jia'jian 报价件
'bao'jia'li'ya 保加利亚
'bao'jia'qing'dan 报价清单
'bao'jiao'huan 包交换
'bao'jiao'huan'liu'mei'ti'ye'wu 包交换流媒体业务
'bao'jing'feng'ming'qi 报警蜂鸣器
'bao'jing'sheng 报警声
'bao'kuo'xiang'mu 包括项目
'bao'lei'fu'wu'qi 堡垒服务器
'bao'li'hui'gou 保理回购
'bao'liu'jia 保留价
'bao'liu'kuan 保留款
'bao'liu'kuan'kuai'ji 保留款会计
'bao'liu'kuan'lei'xing 保留款类型
'bao'liu'kuan'ri'ji'zhang'fen'lu 保留款日记帐分录
'bao'liu'kuan'zhang'hu'yu'liu 保留款帐户预留
'bao'liu'qi 保留期
'bao'liu'yi'jian 保留意见
'bao'liu'zi 保留字
'bao'luo'shi'yan 包络时延
'bao'luo'su'du 包络速度
'bao'nei 保内
'bao'pai'xu 包排序
'bao'qie'huan 包切换
'bao'shou'pai 保守派
'bao'shou'zhai'quan 保收债券
'bao'shui'cang'ku 保税仓库
'bao'tou'bu 包头部
'bao'tu'fa'xie'yi 包突发协议
'bao'wen'an'quan'feng'zhuang'xie'yi 报文安全封装协议
'bao'wen'cha'cuo'lv 报文差错率
'bao'wen'dan'yuan 报文单元
'bao'wen'diu'qi 报文丢弃
'bao'wen'jiao'huan 报文交换
'bao'wen'jiao'huan'ji 报文交换机
'bao'wen'jiao'huan'wang'luo 报文交换网络
'bao'wen'ren'zheng'tou'xie'yi 报文认证头协议
'bao'wen'su'lv 报文速率
'bao'wen'zi'duan 报文字段
'bao'xian'dai 保险带
'bao'xian'fei 保险费
'bao'xian'guan'dian'lan 保险管电缆
'bao'xian'guan'zuo 保险管座
'bao'xian'jin 保险金
'bao'xian'qi 保险期
'bao'xian'shang'shi'yan'suo 保险商试验所
'bao'xian'si 保险丝
'bao'xian'si'e'ding'zhi 保险丝额定值
'bao'xian'si'yuan'ze 保险丝原则
'bao'xiao 报销
'bao'xiao'shi'xian 报销时限
'bao'xiao'zhang'hu 报销帐户
'bao'xing'xiao'wai'xing'feng'zhuang 薄型小外形封装
'bao'xiu'tiao'kuan'yi'wu 保修条款义务
'bao'xu'chong'pai 包序重排
'bao'yan'chi'yu'suan 包延迟预算
'bao'yan'guang'gao 报眼广告
'bao'yuan'cheng'xu 抱怨程序
'bao'yuan'tiao'jie 抱怨调解
'bao'zhang 报帐
'bao'zhang'ji'bie 保障级别
'bao'zheng'bi'te'su'lv 保证比特速率
'bao'zheng'jin 保证金
'bao'zheng'jin'zhang'hu 保证金账户
'bao'zhuan'fa 包转发
'bao'zhuan'fa'lv 包转发率
'bao'zhuang'he 包装盒
'bao'zhuang'qi'lei 包装器类
'bao'zhuang'shuo'ming 包装说明
'bei'ban 背板
'bei'ban 背瓣
'bei'ban'zhi'cheng'gan 背板支撑杆
'bei'ce'ban 被测板
'bei'ce'dui'xiang 被测对象
'bei'chuan'tong'lu 被串通路
'bei'di'ke'mu 备抵科目
'bei'dong'ce'shi 被动测试
'bei'dong'de'kai'fa'xin'chan'pin 被动地开发新产品
'bei'dong'mo'shi 被动模式
'bei'dong'sao'miao 被动扫描
'bei'dong'ying'xiao 被动营销
'bei'dui'ren'gu'quan'zheng 备兑认股权证
'bei'en'tou'zi 贝恩投资
'bei'er 贝尔
'bei'fen 备份
'bei'fen'ce'lue 备份策略
'bei'fen'dian'chi'dan'yuan 备份电池单元
'bei'fen'duan'kou 备份端口
'bei'fen'guan'li 备份管理
'bei'fen'gui'cheng 备份规程
'bei'fen'ji 备份集
'bei'fen'ji'zhai'yao 备份集摘要
'bei'fen'kou 备份口
'bei'fen'kou'dian'lan 备份口电缆
'bei'fen'lian'lu 备份链路
'bei'fen'mei'ti'chi 备份媒体池
'bei'fen'pei'dan'wei 被分配单位
'bei'fen'she'bei 备份设备
'bei'fen'yu'hui'fu 备份与恢复
'bei'fen'yu'kong'zhi'qi 备份域控制器
'bei'fen'zhi'ding'lu'you'qi 备份指定路由器
'bei'fen'zhong'xin 备份中心
'bei'fo'lai'ri'tian'xian 贝佛莱日天线
'bei'guan'dui'xiang'shi'li'shu 被管对象实例树
'bei'guan'yuan'su 被管元素
'bei'guang'shi'jian'pan'dai'bei'guang'deng'de'shou'ji'jian'pan 背光式键盘带背光灯的手机键盘
'bei'hu'yong'hu'you'xian 被呼用户优先
'bei'huo 备货
'bei'huo'ding'dan 备货订单
'bei'huo'xing'sheng'chan'ce'lue 备货型生产策略
'bei'jian 备件
'bei'jian'cun'huo 备件存货
'bei'jian'fa'yun'ji'shi'lv 备件发运及时率
'bei'jian'fu'wu'fa'fang'xi'tong 备件服务发放系统
'bei'jian'fu'wu'guan'li 备件服务管理
'bei'jian'fu'wu'jiao'fu'xi'tong 备件服务交付系统
'bei'jian'geng'huan 备件更换
'bei'jian'guan'li 备件管理
'bei'jian'ji'hua 备件计划
'bei'jian'ku'cun 备件库存
'bei'jian'ku'cun'lv 备件库存率
'bei'jian'ting'chan'gong'gao'ri 备件停产公告日
'bei'jian'ting'zhi'jie'dan'ri 备件停止接单日
'bei'jian'wei'xiu'lei'wen'ti 备件维修类问题
'bei'jian'yu'jiao'huan'fu'wu 备件预交换服务
'bei'jiao'cai'ling'ye'wu 被叫彩铃业务
'bei'jiao'fang'zi'di'zhi 被叫方子地址
'bei'jiao'gua'ji 被叫挂机
'bei'jiao'hao'ma 被叫号码
'bei'jiao'hua'wu 被叫话务
'bei'jiao'ji'zhong'fu'fei 被叫集中付费
'bei'jiao'kong'zhi'shi'fang 被叫控制释放
'bei'jiao'qu'lu'you 被叫取路由
'bei'jiao'que'ren'fu'fei 被叫确认付费
'bei'jiao'shi'bie 被叫识别
'bei'jiao'wei'hao'fen'liu 被叫尾号分流
'bei'jiao'xian'shi'bie'xian'shi 被叫线识别显示
'bei'jiao'xian'shi'bie'xian'zhi 被叫线识别限制
'bei'jing'dai'biao'chu 北京代表处
'bei'jing'diao'cha 背景调查
'bei'jing'kuai'wu'ma'bi 背景块误码比
'bei'jing'tu'xiang 背景图象
'bei'jing'zao'sheng 背景噪声
'bei'kao'bei'dai'kuan 背靠背贷款
'bei'kao'bei'lian'jie 背靠背连接
'bei'kao'ping'ren 被考评人
'bei'ke'xian'gai'shi 贝壳掀盖式
'bei'li'ni'tuo'xi'tian'xian 贝里尼托西天线
'bei'li'xian'ji'fei 备离线计费
'bei'liao 备料
'bei'mei'bian'hao'fang'an 北美编号方案
'bei'mei'ci'qun'shu'zi'xi'tong 北美次群数字系统
'bei'mei'jin'ji'ye'wu'lu'you'mi'yao 北美紧急业务路由密钥
'bei'mei'jin'ji'ye'wu'lu'you'wei 北美紧急业务路由位
'bei'mei'ping'deng'jie'ru 北美平等接入
'bei'mei'shu'zi'feng'wo'xi'tong 北美数字蜂窝系统
'bei'mi'du 倍密度
'bei'ou'yi'dong'dian'hua'xi'tong 北欧移动电话系统
'bei'ping'bi'gao'jing 被屏蔽告警
'bei'ping'shen'wen'dang'lian'jie 被评审文档链接
'bei'qie'huan'dao'de'yi'dong'jiao'huan'zhong'xin 被切换到的移动交换中心
'bei'sai'kong'ou'he'qi 贝塞孔耦合器
'bei'she'tian'xian 背射天线
'bei'shou'ji'she'bei 被收集设备
'bei'suo'juan 被锁卷
'bei'suo'wen'jian 被锁文件
'bei'xiang'jie'kou 北向接口
'bei'ya 背压
'bei'yi'lai'mo'kuai 被依赖模块
'bei'yong'bi'te 备用比特
'bei'yong'de 备用的
'bei'yong'ji'liang'dan'wei 备用计量单位
'bei'yong'lu'jing'hui'fu 备用路径恢复
'bei'yong'xian'dui 备用线对
'bei'yong'xian'lan 备用线缆
'bei'yong'xin'dai 备用信贷
'bei'yong'xin'ling'lian'lu 备用信令链路
'bei'yong'xin'yong'zheng 备用信用证
'bei'zai'xian'ji'fei 备在线计费
'bei'zhu'zi'duan 备注字段
'ben'ceng'ci'cheng'ben 本层次成本
'ben'di'cai'gou 本地采购
'ben'di'can'kao'zhi 本地参考值
'ben'di'ce'shi'xi'tong 本地测试系统
'ben'di'cha'hao 本地查号
'ben'di'dao'chu'tong'bu'xin'xi 本地导出同步信息
'ben'di'deng'lu 本地登录
'ben'di'di'zhi'chi 本地地址池
'ben'di'dian'chi 本地电池
'ben'di'dian'lu 本地电路
'ben'di'dui'xiang 本地对象
'ben'di'duo'dian'fen'bu'xi'tong 本地多点分布系统
'ben'di'fu'wu'qu 本地服务区
'ben'di'guan'li'biao'kong'jian 本地管理表空间
'ben'di'hua'ban 本地化版
'ben'di'hua'wu 本地话务
'ben'di'hua'ye'wu'qu'yu 本地化业务区域
'ben'di'hua'ye'wu'qu'yu'wei'yi'jie'ru 本地化业务区域唯一接入
'ben'di'hua'ye'wu'qu'yu'you'xian'jie'ru'xiao'qu 本地化业务区域优先接入小区
'ben'di'hua'ye'wu'qu'yu'zhi'chi 本地化业务区域支持
'ben'di'hua'yu'wai'bao 本地化与外包
'ben'di'huan'hui'biao'zhi 本地环回标识
'ben'di'hui'chang 本地会场
'ben'di'jiao'huan'ju 本地交换局
'ben'di'jiao'huan'shi'ti 本地交换实体
'ben'di'jiao'huan'yun'ying'shang 本地交换运营商
'ben'di'jiao'yi 本地交易
'ben'di'jie'dian'shi'zhong 本地节点时钟
'ben'di'jie'ru'he'chuan'shu'qu'yu 本地接入和传输区域
'ben'di'kong'zhi 本地控制
'ben'di'kong'zhi'mo'kuai 本地控制模块
'ben'di'ren'zheng 本地认证
'ben'di'she'bei'kong'zhi 本地设备控制
'ben'di'shi'jian 本地时间
'ben'di'shi'jian'chuo 本地时间戳
'ben'di'shou'quan 本地授权
'ben'di'shu'ju'ku'fang'an 本地数据库方案
'ben'di'wang 本地网
'ben'di'wang'fen'quan'fen'yu'guan'li 本地网分权分域管理
'ben'di'wang'yuan'guan'li'ceng 本地网元管理层
'ben'di'xian'lu'wang 本地线路网
'ben'di'xin'ling'dian 本地信令点
'ben'di'xiu'fu 本地修复
'ben'di'xiu'fu'jie'dian 本地修复节点
'ben'di'ye'wu 本地业务
'ben'di'yi'dong'tai'biao'zhi 本地移动台标识
'ben'di'yong'hu'dian'bao'hao'ma 本地用户电报号码
'ben'di'yong'hu'guan'li 本地用户管理
'ben'di'you'xiao'bu'fen 本地有效部分
'ben'di'yu 本地域
'ben'di'yu'yue 本地逾越
'ben'di'yuan'gong 本地员工
'ben'di'zai'bo'jie'shou 本地载波接收
'ben'di'zai'yong 本地在用
'ben'di'zhang'hu 本地帐户
'ben'di'zhen'dang'qi 本地振荡器
'ben'di'zhu'ji'zhun'yuan 本地主基准源
'ben'di'zu'jian 本地组件
'ben'duan'duan'kou'hao 本端端口号
'ben'guo'dan'wei 本国单位
'ben'guo'hui'ling'yin 本国回铃音
'ben'ji'cao'zuo 本机操作
'ben'ji'hao'ma'cha'xun'ye'wu 本机号码查询业务
'ben'ji'ji'lu 本机记录
'ben'ji'zhi'jin'zhi 本季至今止
'ben'ju 本局
'ben'liang'li'fen'xi 本量利分析
'ben'wei'bi 本位币
'ben'wu'ji 本务机
'ben'wu'ji'si'ji 本务机司机
'ben'zhen'pin'lv 本振频率
'ben'zheng'lian'jie'sun'hao 本征连接损耗
'beng'pan 崩盘
'bi'he'dian'lu 闭合电路
'bi'he'yong'hu'qun 闭合用户群
'bi'he'yong'hu'qun'cheng'yuan 闭合用户群成员
'bi'he'yong'hu'qun'suo'ma 闭合用户群锁码
'bi'huan'chu'li 闭环处理
'bi'huan'fa'she'fen'ji 闭环发射分集
'bi'huan'gong'lv'kong'zhi 闭环功率控制
'bi'huan'kong'jian'fu'yong 闭环空间复用
'bi'huan'kong'zhi'guan'li 闭环控制管理
'bi'huan'wu'liao'xu'qiu'ji'hua 闭环物料需求计划
'bi'huan'ying'xiao'huo'dong'guan'li 闭环营销活动管理
'bi'ji'ben'dian'nao 笔记本电脑
'bi'jiao'deng'ji 比较等级
'bi'jiao'fen'xi 比较分析
'bi'jiao'ping'gu'fa 比较评估法
'bi'li'gong'ping'diao'du 比例公平调度
'bi'lu'dian'shi 闭路电视
'bi'lv'cha'yi 比率差异
'bi'lv'ji'chu'neng'li 比率基础能力
'bi'ma'wei'guan'li'zi'xun 毕马威管理咨询
'bi'mian'jin'qin'fan'zhi 避免近亲繁殖
'bi'qu'jian 闭区间
'bi'se'gong'neng 比色功能
'bi'se'jie'chu'xin'hao 闭塞解除信号
'bi'se'shi'zhen 比色失真
'bi'shui'wan 避水湾
'bi'suo'bu'chong'ye'wu 闭锁补充业务
'bi'suo'bu'chong'ye'wu'jie'ru 闭锁补充业务接入
'bi'suo'cheng'xu 闭锁程序
'bi'suo'hu'jiao'zhuan'yi'diao'yong 闭锁呼叫转移调用
'bi'suo'qian'zhuan'hao'ma'deng'ji 闭锁前转号码登记
'bi'suo'ru'hu'jiao 闭锁入呼叫
'bi'suo'sheng'xun'dian'hua 闭锁声讯电话
'bi'suo'suo'you'chu'hu'jiao 闭锁所有出呼叫
'bi'suo'suo'you'guo'ji'chu'hu'jiao'ye'wu 闭锁所有国际出呼叫业务
'bi'suo'suo'you'ru'hu'jiao 闭锁所有入呼叫
