'ba'gong 八宫
'qi'yu'shang'er'zhong'yu'xia 起于上而终于下
'qi'yue'jian'shen 七月建申
'qi'zeng'er'jiu 气增而久
'qi'zhi'shang'xia 气之上下
'qing'jing'ze'sheng'hua'zhi 清静则生化治
'qing'yang'wei'tian 清阳为天
'qiu'qi'dong'xing 秋气东行
'qiu'qi'zai'pi'fu 秋气在皮肤
'qiu'sheng'chun 秋胜春
'qiu'shu'lun 求属论
'qiu'ying'zhong'heng 秋应中衡
're'hua'er 热化二
're'jia'zao 热加燥
're'sheng'shui'cheng 热盛水承
'ren'gui'shui 壬癸水
'ren'ju'pang'guang'gui'shen'zang 壬居膀胱癸肾脏
'ren'yi'yang'mu 壬以阳木
'ren'yu'tian'di'xiang'can 人与天地相参
'ru'zheng 溽蒸
'ruan'li 緛戾
'rui'bin'zhi'guan 蕤宾之管
'san'he 三合
'san'he'wei'zhi 三合为治
'san'jiao'yang'fu'xu'gui'bing 三焦阳府须归丙
'san'nian'hua'yi 三年化疫
'san'yin'san'yang 三阴三阳
'san'yuan'yun'qi'lun 三元运气论
'san'yue'jian'chen 三月建辰
'san'yun 三运
'san'yun'mang'zhong'shi'ri'bu 三运芒种十日晡
'shang'xia'you'wei'zuo'you'you'ji 上下有位左右有纪
'shang'zhe'you'xing'xia'zhe'zuo'xing 上者右行下者左行
'shao'gong 少宫
'shao'jiao 少角
'shao'shang 少商
'shao'yang'xiang'huo 少阳相火
'shao'yin'jun'huo 少阴君火
'shao'yu 少羽
'shao'zheng 少徵
'shen'ban'yi'shang 身半以上
'shen'bang'you'shen'xin'bao'xu 申膀酉肾心包戌
'shen'jian'yu'shen 申坚于申
'shen'yong'wu'fang'wei'zhi'sheng 神用无方谓之圣
'shen'ze'fu'shen 甚则复甚
'sheng'bing'zhi'tai'yu 生丙之太羽
'sheng'ding'zhi'shao'jiao 生丁之少角
'sheng'geng'zhi'tai'shang 生庚之太商
'sheng'gui'zhi'shao'zheng 生癸之少徵
'sheng'hua'da'bing 生化大病
'sheng'ji'yi'shao'gong 生己以少宫
'sheng'ji'zhi'hua 胜己之化
'sheng'jiang'bu'qian 升降不前
'sheng'jiang'chu'ru 升降出入
'sheng'ke'cheng'wu 生克乘侮
'sheng'ke'zhi'hua 生克制化
'sheng'qi 胜气
'sheng'qi'bu'jie 生气不竭
'sheng'qi'du'zhi 生气独治
'sheng'ren'zhi'tai'jiao 生壬之太角
'sheng'wu'zhi'tai'zheng 生戊之太徵
'sheng'xin'zhi'shao'yu 生辛之少羽
'sheng'yi'zhi'shao'shang 生乙之少商
'shi'er'chen 十二辰
'shi'er'yue'jian'chou 十二月建丑
'shi'gan'ji'yun 十干纪运
'shi'gan'tong'yun 十干统运
'shi'nai'da'xing 湿乃大行
'shi'shou 失守
'shi'tu 湿土
'shi'wei'feng'chui 湿为风吹
'shi'yi'run'zhi 湿以润之
'shi'yi'yue'jian'zi 十一月建子
'shi'yu'nai'ling 时雨乃零
'shi'yue'jian'hai 十月建亥
'shu'lei 庶类
'shu'yi'zheng'zhi 暑以蒸之
'shui'bing'liu'gu 水冰流固
'shui'de'tu'er'jue 水得土而绝
'shui'xia'yi'ke 水下一刻
'shui'xiang'ke'jian 水象可见
'shui'yi 水疫
'shui'yu'zhe'zhi 水郁折之
'shui'yue'yu 水曰羽
'shui'yun 水运
'shui'yun'lin'zi 水运临子
'shun'he 顺和
'shun'hua 顺化
'si'shi'xiang'sheng 四时相胜
'si'sui'bei'wu 司岁备物
'si'tian'suo'yi 司天所抑
'si'tian'zai'quan 司天在泉
'si'tian'zhi'qi 司天之气
'si'tian'zhi'zhu 司天之助
'si'yue'jian'si 四月建巳
'si'yun 四运
'si'yun'chu'shu'hou'qi'ri 四运处暑后七日
'su'tian'zhi'qi'jing'yu'kang'di'mao'bi 素天之气经于亢氐昴毕
'sui'ban 岁半
'sui'hui 岁会
'sui'huo'bu'ji 岁火不及
'sui'huo'tai'guo 岁火太过
'sui'jin'tai'guo 岁金太过
'sui'lu'lun 岁露论
'sui'mu'bu'ji 岁木不及
'sui'mu'tai'guo 岁木太过
'sui'shui'bu'ji 岁水不及
'sui'shui'tai'guo 岁水太过
'sui'tu'bu'ji 岁土不及
'sui'tu'tai'guo 岁土太过
'sui'yun 岁运
'sui'zhi 岁直
'sui'zhu'cang'hai 岁主藏害
'tai'bai'xing 太白星
'tai'gong 太宫
'tai'guo 太过
'tai'jiao 太角
'tai'shang 太商
'tai'shao'xiang'sheng 太少相生
'tai'shi'tian'yuan'ce 太始天元册
'tai'xu 太虚
'tai'yang'han'shui 太阳寒水
'tai'yi'tian'fu 太乙天符
'tai'yin'shi'tu 太阴湿土
'tai'yu 太羽
'tai'zheng 太徵
'tao'men 逃门
'tian'bu'zu'xi'bei 天不足西北
'tian'fu 天符
'tian'gan'di'zhi 天干地支
'tian'gan'ji'yun 天干纪运
'tian'gang 天钢
'tian'gong 天宫
'tian'ji 天玑
'tian'liu 天留
'tian'liu'di'wu 天六地五
'tian'men 天门
'tian'mu'tu'ju 田牧土驹
'tian'quan 天权
'tian'ren'xiang'ying 天人相应
'tian'shi'qi'hou 天时气候
'tian'shu 天枢
'tian'shu'you'yu 天数有余
'tian'xing 天刑
'tian'xuan 天璇
'tian'yi'liu'wei'jie 天以六为节
'tian'yuan'di'fang 天圆地方
'tian'yuan'ji'da'lun 天元纪大论
'tiao'man'rou'ruo 条蔓柔弱
'tiao'she'fang'bing 调摄防病
'tong'di'hua 同地化
'tong'qing'zhe'duo'di'hua 同轻者多地化
'tong're'zhe'duo'tian'hua 同热者多天化
'tong'sui'hui 同岁会
'tong'tian 同天
'tong'tian'fu 同天符
'tong'tian'hua 同天化
'tong'tian'xia'yi'qi'er 通天下一气尔
'tu'de'mu'er'da 土得木而达
'tu'xiang'si'jian 土象斯见
'tu'yi 土疫
'tu'yu'duo'zhi 土郁夺之
'tu'yue'gong 土曰宫
'tu'yun 土运
'tu'yun'lin'si'ji 土运临四季
'tu'zhu'jia'yi 土主甲已
'wai'lie'sheng'shuai 外列盛衰
'wan'wu'jie'zao 万物皆燥
'wei'xing 畏星
'wei'you'zhong'shi 位有终始
'wei'ze'fu'wei 微则复微
'wei'zhi'er'zhi 未至而至
'wen'er'xing'zhi 温而行之
'wen'yi 瘟疫
'wu'chang'zheng'da'lun 五常政大论
'wu'fa'tian'he 无伐天和
'wu'gui'hua'huo'wei'wu'yun 戊癸化火为五运
'wu'gui'huo'yun'zheng'yin 戊癸火运徵音
'wu'ji'tu 戊己土
'wu'lei 五类
'wu'liu'xiang'he 五六相合
'wu'qi'jing'tian 五气经天
'wu'shen 戊申
'wu'sheng'sheng'wu'xu'xu 无盛盛无虚虚
'wu'sheng'ze'fou 无胜则否
'wu'shi'qi'yi 无失气宜
'wu'shi'zheng 无失正
'wu'wu 戊午
'wu'xing'sheng'ke 五行生克
'wu'yi 五疫
'wu'yi'yang'huo 戊以阳火
'wu'yin 戊寅
'wu'yin'jian'yun 五音建运
'wu'yin'jian'yun'tai'shao'xiang'sheng'tu 五音建运太少相生图
'wu'yue'jian'wu 五月建午
'wu'yun'li'dong'si'ri'zhu 五运立冬四日主
'wu'yun'liu'qi 五运六气
'wu'yun'san'ji 五运三纪
'wu'yun'xiang'xi 五运相袭
'wu'yun'xing'da'lun 五运行大论
'wu'yun'yin'yang'zi'xi'fen 五运阴阳仔细分
'wu'zhi'ji'you'hu'bian 物之极有乎变
'wu'zhi'sheng'cong'yu'hua 物之生从于化
'wu'zhi'xie 无致邪
'wu'zi 戊子
'xi'fang'sheng'zao 西方生燥
'xi'xin'yu'xin 悉新于辛
'xia'cheng'zhi'qi 下承之气
'xia'qi'bei'xing 夏气北行
'xia'qi'zai'sun'luo 夏气在孙络
'xia'sheng'qiu 夏胜秋
'xia'ying'zhong'ju 夏应中矩
'xian'ming'zhi'you 显明之右
'xiang'huo 相火
'xiang'yin 相因
'xiang'zhao 相召
'xie'qi'fan'sheng 邪气反胜
'xie'qi'hua'ri 邪气化日
'xin'luo 新洛
'xin'yi'yin'shui 辛以阴水
'xing'ling 行令
'xing'you'ci 行有次
'xuan'tian'zhi'qi'jing'yu'zhang'yi'lou'wei 玄天之气经于张翼娄胃
'xuan'wei 玄委
'xuan'xiao'yu'yu 喧嚣郁燠
'xuan'ye'shuo 宣夜说
'yan'huo'nai'xing 炎火乃行
'yan'shu'liu'xing 炎暑流行
'yang'dao'qi 阳道奇
'yang'ji'fan'yin 阳极反阴
'yang'jing'suo'jiang 阳精所绛
'yang'ming'zao'jin 阳明燥金
'yao'guang 摇光
'yao'zhi'you'ye 夭之由也
'ye'zhe 叶蛰
'yi'fu'shi'ran 抑伏使然
'yi'geng'jin'yun'shang'yin 乙庚金运商音
'yi'guang'ding'wei 移光定位
'yi'mao 乙卯
'yi'sheng'yu'si 已盛于巳
'yi'yi'yin'jin 乙以阴金
'yi'you 乙酉
'yi'ze'zhi'guan 夷则之管
'yin'da'yu'yin 引达于寅
'yin'dao'ou 阴道偶
'yin'jing'suo'feng 阴精所奉
'yin'luo 阴洛
'yin'wu'xu'sui'qi'hui'tong 寅午戌岁气会同
'yin'yang'bu'ce'wei'zhi'shen 阴阳不测谓之神
'yin'yang'feng'yu'hui'yin 阴阳风雨晦阴
'yin'yang'jiao 阴阳交
'yin'yang'wu'xing 阴阳五行
'yin'yang'xiang'sheng 阴阳相生
'yin'zhong'nai'shang 阴中乃殇
'ying'huo'xing 荧惑星
'yong'han'yuan'han 用寒远寒
'you're'er'zuo'wen 右热而左温
'you'sheng'ze'fu 有胜则复
'yu'heng 玉恒
'yu'hua'wu 雨化五
'yu'hui'sheng'yi 遇会胜抑
'yu'huo'nei'ge 余火内格
'yu'ri'yue'xiang'ying 与日月相应
'yu'shi'liu'xing 雨湿流行
'yu'tian'di'ru'yi 与天地如一
'yuan'hui'yun'shi 元会运世
'yuan'qi'lun 元气论
'yuan'ying 员盈
'yue'jian 月建
'yun'cong'jia'shi 运从甲始
'yun'qi'tong'hua 运气同化
'yun'qi'xiang'he 运气相合
'yun'sheng'qi'shuai 运生气衰
'zai'quan'zhi'qi 在泉之气
'zai'tian'wei'feng 在天为风
'zai'tian'wei'han 在天为寒
'zai'tian'wei're 在天为热
'zai'tian'wei'shi 在天为湿
'zai'tian'wei'zao 在天为燥
'zai'zang'wei'fei 在脏为肺
'zai'zang'wei'gan 在脏为肝
'zai'zang'wei'pi 在脏为脾
'zai'zang'wei'shen 在脏为肾
'zai'zang'wei'xin 在脏为心
'zao'hua'si 燥化四
'zao'jin 燥金
'zao'nai'da'xing 燥乃大行
'zao'qi'liu'xing 燥气流行
'zao'yi'gan'zhi 燥以干之
'ze'huo'liu'jin 则火流金
'zhen'mei'yu'chen 振美于辰
'zhen'xing 镇星
'zheng'hua'ri 正化日
'zheng'ti'heng'dong'guan 整体恒动观
'zheng'xie'lun 正邪论
'zheng'yue'jian'yin 正月建寅
'zhi'er'wei'zhi 至而未至
'zhi'fa 执法
'zhi'fang'gang'yao 制方纲要
'zhi'gao'zhi'di 至高之地
'zhi'hua'zhi'bian 之化之变
'zhi'you'wei 止有位
'zhi'ze'qi'tong 至则气同
'zhi'ze'sheng'hua 制则生化
'zhi'zhen'yao'da'lun 至真要大论
'zhong'chun'xing'qiu'ling 仲春行秋令
'zhong'yang'sheng'shi 中央生湿
'zhong'yun 中运
'zhong'yun 终运
'zhu'bao'qiang'zhi'jie'shu'yu'feng 诸暴强直皆疏于风
'zhu'bing'shui'ye'cheng'che'qing'leng 诸病水液澄澈清冷
'zhu'bing'you'sheng'gu'zhi'ru'gu 诸病有声鼓之如鼓
'zhu'bing'zhou'zhong'teng'suan'jing'hai 诸病胕肿疼酸惊骇
'zhu'jin'gu'li'ru'sang'shen'shou 诸禁鼓慄如丧神守
'zhu'jing'xiang'qiang'jie'shu'yu'shi 诸痉项强皆属于湿
'zhu'ke'tong'qi 主客同气
'zhu'ke'xiang'ke 主客相克
'zhu'ni'chong'shang'jie'shu'yu'huo 诸逆冲上皆属于火
'zhu'ou'tu'suan 诸呕吐酸
'zhu'qi'liu'bu 主气六步
'zhu're'mao'chi'jie'shu'yu'huo 诸热瞀瘛皆属于火
'zhu'tong'zheng'sui 诸同正岁
'zhu'yun 主运
'zhu'yun'jiao'yun'shi'ke 主运交运时刻
'zhu'zao'kuang'yue'jie'shu'yu'huo 诸燥狂越皆属于火
'zhu'zhang'fu'da'jie'shu'yu're 诸胀腹大皆属于热
'zhu'zhuan'fan'li'shui'ye'hun'zhuo 诸转反戾水液浑浊
'zhuan'fan'li 转反戾
'zhuan'sheng'jian'bing 专胜兼并
'zhuo'yin'wei'di 浊阴为地
'zi'meng'yu'zi 孳萌于子
'zi'wu'zhi'shang'shao'yin'zhu'zhi 子午之上少阴主之
'zuo'han'er'you'liang 左寒而又凉
'zuo'shao'yin'you'tai'yang 左少阴右太阳
'zuo'yang'ming'you'tai'yin 左阳明右太阴
