'ai'ren'kuang'mai 矮人矿脉
'hao'qi'mu'ou 好奇木偶
'hao'qi'shuang'tong 好奇双童
'hen'jiu'yi'qian 很久以前
'hong'mao'ke'bo'zhan 红帽客搏战
'hong'mao'ke'tu'ji'dui 红帽客突击队
'hong'ran'yun'ming 轰然殒命
'hou'yan'jie'wu'ling 厚颜借物灵
'hua'zuo'nan'gua 化作南瓜
'huan'fa'xian'ling'ou'ke 幻法仙灵瓯柯
'huan'jing'bao'wei'zhe 幻境保卫者
'huan'ye'lin'zhen'lie'shou 幻野林侦猎手
'huan'ye'xue'xing 幻野血性
'huan'yi'ling'hu 幻翼灵狐
'huang'ye'wu'po 荒野巫婆
'huang'zu'shuang'zi 皇族双子
'hui'fan'zi'ran 回返自然
'hui'yan'yi'nuo'la'jue'shi 慧眼伊诺拉爵士
'huo'yan'pao'shi'ji 火岩抛石机
'huo'you'wu'po 惑诱巫婆
'ji'bao'ao'fu 棘堡奥夫
'ji'lin'pu'bu 棘林瀑布
'ji'min'lie'ren 机敏猎人
'ji'yan'xian'ling 集眼仙灵
'jian'yi'nv'wang'lin'deng 坚毅女王琳登
'jian'yi'qi'bing 坚毅骑兵
'jiang'bing'guai'ren 姜饼怪人
'jiang'bing'mu'fang 姜饼木房
'jiao're'long'yan 焦热龙炎
'jie'fu'xia'ke 劫富侠客
'jin'dan 金蛋
'jin'e 金鹅
'jin'fa'ru'qin'zhe 金发入侵者
'jin'lian'chang'xun'lian'shi 烬炼场训练师
'jing'ji'bian'ji 荆棘鞭击
'jing'ji'sai'chang 竞技赛场
'jing'yin'xian'zi 静音仙子
'ju'ren'kao'cha 巨人烤叉
'ju'ren'sha'shou 巨人杀手
'ju'shi'yuan'zhen 巨石圆阵
'jue'ze 抉择
'kang'kai'de'gu'jia'li 慷慨的咕加力
'ken'li'si'hua'shen 肯理斯化身
'kuai'yi'pin'bo 快意拼搏
'kuang'feng'xian'wu 狂风掀屋
'kuang'tu'xi'xi 狂徒嬉戏
'lang'chao'dou'peng 浪潮斗篷
'lao'nian'fa'shi'gai'wei'ke 老年法师盖威克
'lei'dong'ju'zui'gui 雷动巨嘴龟
'lei'quan'sheng'zhan'jun 雷拳圣战军
'leng'ku'kong'na'de'jue'shi 冷酷孔纳德爵士
'li'qun'liang'ju 离群良驹
'li'shu'wei'zhi 礼数未至
'li'zhi'lao'bing 励志老兵
'lie'hun'shu 裂魂术
'lie'qu'zhi'ji 猎取雉鸡
'lie'shou'jing'ying 猎首精英
'lu'biao'dao'cao'ren 路标稻草人
'lu'mang'chuang'ru 鲁莽闯入
'luo'si'wen'bao 洛司温堡
'luo'si'wen'shen'sheng'wu'shi 洛司温神圣武士
'luo'si'wen'shi'xiang'gui 洛司温石像鬼
'luo'si'wen'shou'ling'a'ya'la 洛司温首领阿娅拉
'luo'wan'de'jian'bing 萝婉的坚兵
'luo'wan'de'wu'wei 萝婉的武卫
'lv'li'guo'ren 膂力过人
'ma'li'fu'bi'xian 马利夫碧仙
'ma'li'fu'qi'bing 马利夫骑兵
'mang'ding'shi'ren'mo 莽顶食人魔
'mang'zhuang'xian'ling 莽撞仙灵
'mei'ci'chang'ji 玫茨长戟
'mei'ci'shi'seng 玫茨侍僧
'mi'er'hu'ju'she 密尔湖巨蛇
'mo'fa'ma'che 魔法马车
'mo'fa'ming'jing 魔法明镜
'mo'jing'ying'wu 魔镜映物
'mo'ri'qian'zhao 末日前兆
'na'bing'ru'lu 纳饼入炉
'nan'jie'shi'xiang 难解视像
'nian'yuan'ren'yu 念愿人鱼
'ou'ke'de'tong'huo 瓯柯的同伙
'ou'ke'shi'gong'ying 瓯柯式恭迎
'pi'shi'ju'ren 披世巨人
'po'bi'ju'ren 破壁巨人
'pu'bu'zhi'zhe 瀑布智者
'qi'ci'jia'ren 骑刺假人
'qi'ge'ai'ren 七个矮人
'qi'gui'da'pei 奇诡搭配
'qi'hu'xiang'long 栖湖翔龙
'qi'ma'tu'ci 骑马突刺
'qi'shu'ju'zhu 奇术巨著
'qiang'ming'huo'yan 戕命火焰
'qie'guan'ou'ke 窃冠瓯柯
'qie'qu'ji'yi 窃取记忆
'qin'li'gu'shi 亲历故事
'qing'chun'yong'zhu 青春永驻
'qing'nian'qi'shi 青年骑士
'quan'zhai'qi'wu 全宅起舞
'qun'xun'cheng'zhai 逡巡城砦
're'chen'guan'jun 热忱冠军
're'lian'ye'shou 热恋野兽
'shan'guang'bao'wu 闪光宝物
'shan'guang'kui'jia 闪光盔甲
'she'mian'tong'ling 赦免统领
'shen'hu'qian'yao'ai'li 深湖潜妖艾莉
'shen'mi'gan'rao 神秘干扰
'shen'mi'sheng'di 神秘圣地
'shen'mi'yin'lu'ling 神秘引路灵
'shen'qi'xiao'jing 神奇小径
'shi'juan'ju'she 石卷巨蛇
'shi'ren'mo'you'xia 食人魔游侠
'shi'zhao'ai'lin'jue'shi 狮爪艾林爵士
'shou'cheng'ju'long 守成巨龙
'shou'kun'gao'ta 受困高塔
'shou'mei'an'mian 受魅安眠
'shou'mi'ren'yu 守秘人鱼
'shou'shi'qi'shi 守誓骑士
'shou'yu'jing'zheng'zhe 受誉竞争者
'shu'qun'mo'di'shou 鼠群魔笛手
'shu'shi'sao'zhou 术士扫帚
'shui'jing'wu'xie 水晶舞鞋
'sui'gu'ju'ren 碎骨巨人
'sui'lie'zhan 碎裂斩
'sui'xie'lu'jing 碎屑路径
'suo'qiu'chu'ying 索求初婴
'tan'lan'suo'qiu 贪婪索求
'tao'wang'huan'ye 逃往幻野
'tian'mei'gong'zhu 甜美公主
'tian'yuan'nong'zhuang 田园农庄
'tou'zhi 投掷
'tu'yin'gu'shu'yao 图音谷树妖
'tuo'ru'hu'di 拖入湖底
'wang'mai'yong'chuan 王脉永传
'wei'da'ji'yu 伟大机遇
'wei'shu'shi'jiu 卫戍狮鹫
'wen'zhang'qi'zhi 纹章旗帜
'wu'huo'jing 巫惑井
'wu'po'fu'chou 巫婆复仇
'wu'po'lu'zao 巫婆炉灶
'wu'po'xiao'wu 巫婆小屋
'wu'qi'jia 武器架
'wu'qiang'tuan'dian'fan 乌枪团典范
'wu'shi'wang'yuan'jing 巫视望远镜
'wu'tan'he'ju'gui 雾滩河巨龟
'wu'ya'fu'chou 乌鸦复仇
'wu'yan'shi'yu 无餍食欲
'wu'ye'guai'zhong 午夜怪钟
'wu'ye'qi'shi'tuan 午夜骑士团
'xi'gu'shang'ren 溪谷商人
'xian'er'qie'zou 仙儿窃走
'xian'lin'jing'jie'gu'mu 仙林境接骨木
'xian'ling'ci'mu 仙灵慈母
'xiang'qiao'ju'mo 响桥巨魔
'xiang'shu'gong'chou'di 橡树宫仇敌
'xiang'shu'gong'xun'lin'ke 橡树宫巡林客
'xiao'qiao'jing'zhi 小巧精致
'xie'e'shou'hu'zhe 邪恶守护者
'xie'he'tong'ling 谐和统领
'xie'shou'ben'tao 携手奔逃
'xing'huo'yong'hua'luo'wan 星火勇花萝婉
'xing'yun'mu'xu 幸运苜蓿
'xiong'meng'lie'wu'lang 凶猛猎巫狼
'xiu'zhao'qi'shi 朽沼骑士
'xue'mi'lang'huan 血迷狼獾
'xun'shui'shou 寻水兽
'ya'an'qi'shi 雅鞍骑士
'ya'deng'wa'bao 雅登瓦堡
'ya'deng'wa'ce'shi 雅登瓦策士
'ya'deng'wa'shen'sheng'wu'shi 雅登瓦神圣武士
'yan'quan'qi'shi 岩圈骑士
'yang'qun'mu'ren 羊群牧人
'yang'shu'kuang'gui 养鼠狂鬼
'ye'lang'xing'lie 野狼行猎
'yi'lei'yan'lie'yan'shu'shi 伊雷岩烈焰术士
'yi'lei'yan'zhuang'ju 伊雷岩壮举
'yi'shi'jun'tuan 遗世军团
'yin'yan'hu'cong 银焰扈从
'yin'yan'yi'shi 银焰仪式
'ying'jun'wang'zi 英俊王子
'yong'heng'ding'huo 永恒鼎镬
'yong'wei'kai'la'jue'shi 勇威凯拉爵士
'you'bei'hong'mao'ke 鼬背红帽客
'you'ling'jian'xiao 幽灵尖啸
'you'neng'qi'shi 有能骑士
'yu'yan'shou'hu'shou 寓言守护兽
'yu'zhao'guo'shi 预兆果实
'yuan'man'jie'ju 圆满结局
'yuan'zhao'shi'fu 愿爪饰符
'yuan'zhen'man'you'zhe 圆阵漫游者
'yue'guang'shi'huang'ke 月光拾荒客
'zang'yi'qing'dian 葬仪庆典
'zao'zu'lie'ren'jia'lu 遭诅猎人贾路
'zhao'shou'shi'fu'gui 召兽使复归
'zhen'ai'zhi'wen 真爱之吻
'zhen'chui'fang'lun'jue'shi 阵锤芳纶爵士
'zhen'han'ji'jing 震撼寂静
'zhen'qi'shi'jiu 珍奇狮鹫
'zheng'feng'jin'guo 争锋巾帼
'zheng'qi 正气
'zhi'huo'qi'she 炙火齐射
'zhong'cheng'yan'quan 忠诚焰圈
'zhu'bao'xian'ling 逐宝仙灵
