'ai'si'suo'qian'yin 爱思所牵引
'bi'zhe'wei'dao'shi 彼者为导师
'bi'zhe'wei'zhu'gu 彼者为主故
'bi'zhi'shi'li'gu 彼之识利故
'bi'zhi'yi'cheng'li 彼智亦成立
'bi'zhi'yin'fei'you 彼之因非有
'bi'zhong'cheng'ru'he 彼中成如何
'bi'zhu'wu'guo'huan 彼住无过患
'bi'zhu'yin'zuo'he 彼住因作何
'bi'zong'huo'fen'zhi 彼总或分支
'bian'xiao'fei'yi'lei 变小非异类
'bie'you'fou'ding 别有否定
'bie'zeng'fei'xing'gu 别增非性故
'bing'fei'wu'jie'tuo 并非无解脱
'bing'fei'xi'jie'wu 并非悉皆无
'bing'fei'yue'zi'xing 并非越自性
'bu'bian 不遍
'bu'bian'jin'qu'guo 不变近取果
'bu'bian'ping'zi'deng 不变瓶子等
'bu'cheng'qi'fen'zhi 不成其分支
'bu'cheng'wu'cha'yi 不成无差异
'bu'ding'jie'hui'sheng 不定皆会生
'bu'ding'yi'nv'jing 不定一女精
'bu'ding'you'bi'gu 不定有彼故
'bu'fu'sheng'you'zhe 不复生有者
'bu'jian'bi'deng'jing 不见彼等境
'bu'jian'ci'gu'ding 不见此固定
'bu'jian'qing'wei'yan 不见轻微烟
'bu'jian'suo'wei'wo 不见所谓我
'bu'jie'sheng'yu'gu 不结生余故
'bu'ke'shuo'wu'chang 不可说无常
'bu'li'tan'wo'suo 不离贪我所
'bu'neng'duan'chu'bi 不能断除彼
'bu'qi 不欺
'bu'qi'wo'suo'xin 不起我所心
'bu'rong'guan'dai'gu 不容观待故
'bu'rong'you 不容有
'bu'she'shi'ye'gu 不舍事业故
'bu'sheng'ci'di'zhe 不生次第者
'bu'sheng'ku'yin'jie 不生苦因解
'bu'sheng'zhu'gou'xin 不生诸垢心
'bu'wen'ru'she'shi 不稳如蛇识
'bu'wu'shi 不悟识
'bu'xian'jiang'bi'nan 不现讲彼难
'bu'xu'fei'wei'yin 不许非为因
'bu'yi'bu'le'yi'er'yi'le'yi 不依不了义而依了义
'bu'yi'ju'er'yi'yi 不依句而依义
'bu'yi'qiu'le'zhuan 不以求乐转
'bu'yi'ren'er'yi'fa 不依人而依法
'bu'yi'xin'shi'er'yi'zhi'hui 不依心识而依智慧
'bu'yin'zhu'qi'yu 不引诸其余
'bu'zhi'de'yi'er 不执德亦尔
'bu'zhi'er'zhi'gu 不知而知故
'bu'zhi'yu'suo'shuo 不知于所说
'bu'zhu'zi'xing'zhong 不住自性中
'cao'deng'jian'bai'xiang 草等尖百象
'cha'bie'fei'neng'hai 差别非能害
'cha'na'chu'bi'xin 刹那除彼心
'chan'sheng'duo'ti'fa 产生多体法
'chang'bu'guan'dai'gu 常不观待故
'chang'fa'he'you'bi 常法何有彼
'chang'li'yi'bu'cheng 常力亦不成
'chang'qi'shi'neng'sheng 常岂是能生
'chang'shi'xiu'xi'zhong 长时修习中
'chang'wu'xiao'shi'gu 常无消逝故
'chang'xing'huo'wu'fa 常性或无法
'chang'xing'liang'fei'you 常性量非有
'chao'sheng'bu'neng'zeng 超胜不能增
'chao'yue'you'ai'ye 超越有爱业
'che'zhi'qu'she'xing 彻知取舍性
'chen'ju'ku'yin'gu 嗔具苦因故
'chen'na'lun'shi 陈那论师
'cheng'ban'li'wu'gu 成办力无故
'cheng'ci'shi'bi'yin 称此是彼因
'cheng'li'shi'zheng'liang 成立是正量
'cheng'li'zhi'ming'zong 成立之名总
'cheng'wei'fu'tui'zhuan 称为复退转
'cheng'xu 承许
'cheng'xu'shi'dao'shi 承许是导师
'cheng'xu'wei'ju'xin 承许为具心
'cheng'xu'you'wo'zhe 承许有我者
'cheng'zhi'wei'li'tan 称之为离贪
'chi'nai'guo'zhi'ben 痴乃过之本
'chi'shou'de'bi'yi 持受得彼意
'chu'ci'xiang'fan'fei 除此相反非
'chu'dao'wu'you'you 初道无有有
'chu'fei'ru'hou'tiao 初非如后跳
'chu'se'deng'li'bie 除色等力别
'chu'shi'se'yin'gu 触是色因故
'chu'wei'yi'fei'fan 初微亦非返
'chu'xi'yi'you'jing 出息异有境
'chu'zhuan'si'di'fa'lun 初转四谛法轮
'chuan'xi'tan'deng'ming 串习贪等明
'chui'hu 垂胡
'ci'bian'bi'yi'bian 此变彼亦变
'ci'chen'fei'li'tan 此嗔非离贪
'ci'cheng'liu'zhuan'zhe 此称流转者
'ci'deng'cheng'wu'yin 此等成无因
'ci'deng'chi'wu'wei 慈等痴无违
'ci'deng'jin'xiang'xi 此等尽相系
'ci'deng'wu'bie'gu 此等无别故
'ci'di'chan'sheng'zhe 次第产生者
'ci'er'shuo'wei'yin 此二说为因
'ci'fei'deng'guang'deng 此非灯光等
'ci'fei'he'li'deng 此非合力等
'ci'guo'yi'deng'tong 此过亦等同
'ci'li'ruo'cheng'li 此理若成立
'ci'ming'zhi'suo'quan 此名之所诠
'ci'ni'yi'gu'miu 此逆疑故谬
'ci'po'da'zhong'fa 此破大种法
'ci'sheng'zhi'wu'chu 此生之五处
'ci'shi'he'yuan'you 此是何原由
'ci'shuo'yu'yi'er 此说余亦尔
'ci'wai'ruo'zhi'yin 此外若执因
'ci'wo'er'shi'wu 此我尔时无
'ci'xiao'kun'chong'shu 此晓昆虫数
'ci'you'bi'yi'sheng 此有彼亦生
'ci'yu'bi'yi'you 此于彼亦有
'ci'zhi'zhong'cheng'wu 此之重成无
'cong'zhong'sheng'tan'yu 从中生贪欲
'cui'hui'wo'suo'xin 摧毁我所心
'cun'zhu'suo'yi'zhong 存诸所依中
'cuo'fei'feng'deng'fa 错非风等法
'da'shi'shan'shi'jiu'hu'zhe 大师善逝救护者
'da'zhong'xin'yi'gu 大种心异故
'dan'huang'pai'deng'xu 淡黄派等许
'dang'de'zeng'yu'jian 当得增与减
'dang'lai'yi'jiu'ying 当来依鹫鹰
'dang'zhi'bi'cuo'deng 当知彼错等
'dao'yuan'shuo'wu'ming 倒缘说无明
'de'le'er'liu'zhuan 得乐而流转
'de'shi'cheng'wu'bie 德实成无别
'deng'wu'jian'yuan'gu 等无间缘故
'di'deng'fen'hao'wu 地等分毫无
'dian'dao'shi'bi'sheng 颠倒识彼生
'ding'liang'lun 定量论
'duan'chu'yu'gong'guo 断除与功过
'duan'yin'ju'san'de 断因具三德
'duan'ying'qu'she'gu 断应取舍故
'dui'jing'bu'qi 对境不欺
'dui'jing'wei'bin'chu 对境未摈除
'dui'zhi'yu'zi'pin 对治与自品
'duo'ru'you'du'shi 多如有毒食
'er'bie'fei'qi'guo 而别非其果
'er'duan'wo'suo'xin 而断我所心
'er'fei'yi'yu'zhe 而非依余者
'er'fei'zhi'yi'qie 而非知一切
'er'hou'wu'neng'li 尔后无能力
'er'sheng'liu'zhuang'yan 二胜六庄严
'er'sheng'zhu'guo'shi 而生诸过失
'er'shi'bi'liu'zhuan 尔时彼流转
'er'shi'ku'zeng'yi 尔时苦增益
'er'shi'yi'you'tan 尔时亦有贪
'er'shuo'cheng'liang'xing 而说成量性
'er'shuo'xiang'zhu'zhe 而说相属者
'er'xian'hun'mi'deng 而现昏迷等
'er'yue 二月
'fa'cheng'lun'shi 法称论师
'fa'er'li 法尔理
'fa'xiang'san'guo 法相三过
'fa'zun'fa'shi 法尊法师
'fan'shi'si'wo'xin 凡是思我心
'fan'shi'tan'wo'zhe 凡是贪我者
'fang'bian'sheng'bi'yin 方便生彼因
'fang'mi'qi'yu'gu 方觅其余故
'fang'she'xie'wei'le 方舍些微乐
'fang'shi'bu'qi 方式不欺
'fang'shuo'guan'xiu'ku 方说观修苦
'fei'bai'deng'yi'tu 非白等依土
'fei'bi'ben'xing'fa 非彼本性法
'fei'bu'cheng'li'xing 非不成立性
'fei'bu'dai'zi'lei 非不待自类
'fei'cong'huo'ye'jie 非从惑业解
'fei'ding'yi'xiang'shuo 非定已详说
'fei'duan'ye'ji'shen 非断业及身
'fei'er'bu'cheng'gu 非尔不成故
'fei'er'jie'bu'ding 非尔皆不定
'fei'er'tan'xin'deng 非尔贪心等
'fei'er'wu'li'gu 非尔无力故
'fei'er'xu'bu'cheng 非尔许不成
'fei'er'yi're'wai 非尔以热外
'fei'er'you'liao'fa 非尔有疗法
'fei'er'ze'tao'shi 非尔则陶师
'fei'er'zhi'xian'yi 非尔知现异
'fei'heng'suo'yi'zhu 非恒所依住
'fei'hu'xi'sheng'bi 非呼吸生彼
'fei'jin'ru'se'deng 非尽如色等
'fei'ju'chang'cun'li 非具长存力
'fei'ju'jing'xing'yin 非具境性因
'fei'ju'yu'yi'yin 非具余义因
'fei'ke'neng'fou'ding 非可能否定
'fei'ku'suo'yi'gu 非苦所依故
'fei'le'zuo'yue'xiang 非乐作乐想
'fei'li'po'yi'gu 非理破依故
'fei'li'tan'you'ai 非离贪有爱
'fei'ling'shi'bu'sheng 非令士不生
'fei'neng'yin'qi'yu 非能引其余
'fei'shi'bi'yi'wu 非识彼亦无
'fei'shi'fei'shi'yin 非识非识因
'fei'shi'ruo'wei'you 非是若谓有
'fei'wei'ci'ji'mie 非唯此即灭
'fei'wei'jian'gu'wu 非未见故无
'fei'wo'fei'jia'chi 非我非加持
'fei'wu'li'yu'xin 非无利于心
'fei'yi'mie'chu'zui 非已灭除罪
'fei'yin'fei'jia'chi 非因非加持
'fei'yin'yu'qian'chu 非因予遣除
'fei'you'de'qi'tan 非由德起贪
'fei'you'fou'ding 非有否定
'fei'you'fu'ci'sheng 非有复次生
'fei'you'jian'de'zhi 非由见德致
'fei'you'ye'sheng'guo 非由业生过
'fei'you'zi'zai'deng 非由自在等
'fei'yu'yi'you'tan 非于一尤贪
'fei'yu'you'qing'xi 非与有情系
'fei'zhen'shi'liu'xiang 非真十六相
'fen'bie'jia'li'yi 分别假立义
'fen'bie'sui'jing'zhuan 分别随境转
'feng'pai'ji'yin'sheng 风排及引生
'fo'jiao'tu'xuan'shuo 佛教徒宣说
'fo'tuo'xing'ta'li 佛陀行他利
'fou'ze'bu'he'li 否则不合理
'fou'ze'fei'he'li 否则非合理
'fu'bu'guan'dai'qin 复不观待勤
'fu'jie'jie'fei'you 缚解皆非有
'fu'zhe'yi'ying'jian 覆者亦应见
'ge'zi'jie'wu'li 各自皆无力
'gen'bu'ming'bu'jian 根不明不见
'gen'chu'wu'shi'lai 根除无始来
'gen'deng'fei'ru'shi 根等非如是
'gen'deng'ge'wu'li 根等各无力
'gen'deng'yi'you'yu 根等亦有余
'gen'deng'zhi'zhuo'wei 根等执著为
'gen'xian'liang 根现量
'gong'cheng'fei'yu'shuo 共称非欲说
'gong'de'suo'yi'mie 功德所依灭
'gong'neng'que'ding'gu 功能确定故
'gong'neng'yi'he'jin 功能亦合尽
'gong'neng'yi'nan'wu 功能亦难悟
'gong'xiang 共相
'gong'yu'jin'hun'he 汞与金混合
'gu'ai'shi'you'yi 故爱是有依
'gu'bi'duan'bu'wang 故彼断不往
'gu'bi'sheng'bu'ding 故彼生不定
'gu'bi'shi'suo'yi 故彼是所依
'gu'cha'kan'dang'bi 故察堪当彼
'gu'cheng'heng'you'wu 故成恒有无
'gu'dai'bi'neng'li 故待彼能立
'gu'er'fei'li'tan 故二非离贪
'gu'fei'jian'fei'de 故非见非德
'gu'fei'jin'chu'guo 故非尽除过
'gu'fei'jin'guo'huan 故非尽过患
'gu'fei'shi'yi'tan 故非视一贪
'gu'fei'yi'qie'fa 故非一切法
'gu'ge'wu'he'li 故各无何力
'gu'gen'deng'bu'dai 故根等不待
'gu'gen'you'shi'qi 故根由识起
'gu'jie'ju'tan'deng 故皆具贪等
'gu'ping'fei'wei'se 故瓶非谓色
'gu'qian'wu'neng'li 故前无能力
'gu'she'ci'can'jian 故舍此惭见
'gu'sheng'si'wu'shi 故生思无失
'gu'shi'wu'chang'xing 故是无常性
'gu'shi'zhu'suo'yi 故识住所依
'gu'tan'you'shen'sheng 故贪由身生
'gu'xi'zhong'zi'xing 故悉种子性
'gu'xin'du'zi'zhu 故心独自住
'gu'xin'tong'shi'sheng 故心同时生
'gu'xin'yi'yu'xin 故心依于心
'gu'xu'bei'wu'guo 故许悲无过
'gu'yi'fei'yi'shi 故一非异时
'gu'yi'xue'yi'cheng 故蚁穴亦成
'gu'yi'you'ming'shuo 故亦有明说
'gu'you'sheng'you'zhe 故有生有者
'gu'yu'bu'he'li 故余不合理
'gu'yu'jie'tuo'zhe 故欲解脱者
'gu'yu'sheng'ju'qi 故与生俱起
'gu'yu'you'shi'yin 故欲有是因
'guan'cha'qi'wei'pin 观察其违品
'guan'cha'zi'xiang'gu 观察自相故
'guan'dai'li 观待理
'guan'ding'bu'neng'chu 灌顶不能除
'guan'ding'deng'wu'jian 灌顶等无间
'guan'ku'er'duan'chu 观苦而断除
'guan'xi'lun 关系论
'guan'xian'shi'liang 观现世量
'guan'xian'shi'shi 观现世识
'guo'bian 过遍
'guo'bie'you'he'zhi 果别由何致
'guo'huan'suo'yi'gu 过患所依故
'guo'mie'ru'gu'ti 过灭如固体
'guo'ren'ba 果仁巴
'guo'xin'zi'lei'zhong 过心自类种
'guo'yin'zhong'qi'chen 过因中起嗔
'guo'zong'yi'neng'zheng 果总亦能证
'hao'yi'bu'zhi'wo 毫亦不执我
'he'bu'yi'bi'xu 何不依彼许
'he'bu'zhi'wei'yin 何不执为因
'he'chu'bu'chan'sheng 何处不产生
'he'fa'yu'you'de 何法余有德
'he'fei'yi'he'bie 何非依何别
'he'gu'bu'shuo'bi 何故不说彼
'he'gu'cheng'ru'ci 何故成如此
'he'gu'er'cheng'xu 何故而承许
'he'gu'er'xiao'shi 何故而消失
'he'gu'wang'duan'yan 何故妄断言
'he'gu'xu'bi'yin 何故许彼因
'he'gu'xu'luo'han 何故许罗汉
'he'hou'wu'jie'sheng 何后无结生
'he'sha'ge'xi 龢沙格西
'he'shi'bu'dai'shen 何时不待身
'he'shi'ju'tan'yu 何时具贪欲
'he'shi'wu'bian'yi 何事无变异
'he'shi'yi'zao'zuo 何时已造作
'he'ti'cheng'xian'xian 何体成显现
'he'wai'ta'ti'wu 何外他体无
'he'xu'shi'dan'zhu 何许是耽著
'he'yi'bi'wei'yin 何益彼为因
'he'yi'xin'zhong'ming 何义心中明
'he'you'ze'he'you 何有则何有
'hei'zhe'shang'ji'yu 黑者伤及愈
'heng'sui'bi'yin'gu 恒随彼因故
'hou'ding'tong'lei'sheng 后定同类生
'hou'shi'yi'le'zhi 后士亦了知
'hou'yi'cheng'ru'shi 后亦成如是
'hou'zhuan'guang'ming'ru'lai'zang'fa'lun 后转光明如来藏法轮
'hu'xi'fei'jue'ding 呼吸非决定
'hu'xi'gen'ji'shi 呼吸根及识
'hu'yi'ji'wu'yi 互异即无义
'hua'sheng 花绳
'huan'wei'shen'fei'yin 患违身非因
'hui'deng'zeng'ji'jian 慧等增及减
'hui'he'deng'xiang'zhu 会合等相属
'hui'he'zhe'zhi'yin 会合者之因
'huo'bi'yao'yi'chu 或彼咬已除
'huo'de'er'wei'qu'jing 获得而未取境
'huo'fa'bu'zhi'gu 或法不知故
'huo'jiu'shuo'si'di 或救说四谛
'huo'wei'fan'nao'xing 或谓烦恼性
'huo'yi'cheng'wu'neng 活亦成无能
'huo'yi'zhe'po'gu 火已遮破故
'huo'yin'jie'jin'gu 或因接近故
'huo'yu'ci'di'deng 或于此地等
'huo'yu'zi'suo'yi 或与自所依
'ji'jiang'sheng'bei'xin 即将生悲心
'ji'liang'lun 集量论
'ji'qi'fang'fa'zhe 及其方法者
'ji'qi'guo'fen'gu 极其过分故
'ji'quan'you'fa'ming 即诠有法名
'ji'shan'bi'you'jian 即善彼由见
'ji'shi'shan'shi'xing 即是善逝性
'ji'shi'xin'zhi'yin 即是心之因
'ji'shi'yi'yu'bi 即识依于彼
'ji'wei 极微
'ji'wei'gu'fei'zhi 极微故非知
'ji'wei'yi'sheng'zhi'xian'liang 即为异生之现量
'ji'yong'ping'zhi'ming 即用瓶之名
'ji'you'si'neng'li 即由思能力
'ji'yu'guo'qu'deng 及于过去等
'ji'yu'ming'zhi'ben 即余明之本
'ji'zhu'san'shuo'hui'wei'yi 集诸散说汇为一
'jia'cao'jie 甲曹杰
'jia'yu'gu'bi'sheng 驾驭故彼生
'jian'bian'gu'sheng'ta 见变故生他
'jian'bu'tiao'yi'tan 见不调亦贪
'jian'ci'lun'shi'gu 见此论式故
'jian'ci'ruo'gai'bian 见此若改变
'jian'de'sheng'dan'zhu 见德生耽著
'jian'fei'wu'bie'gu 渐非无别故
'jian'gu'fei'zi'ran 见故非自然
'jian'ju'jie'sheng'li 见具结生力
'jian'qi'cha'yi'gu 见其差异故
'jian'qiu'zhen'li'shi 见求真理是
'jian'tan'you'he'guo 见贪有何过
'jian'wo'suo'ru'wo 见我所如我
'jian'yuan'fou'jie'ke 见远否皆可
'jian'zhong'zhong'guo'gu 见种种果故
'jiang'sheng'wo'suo'xin 将生我所心
'jiao'shi'ci'shi'yin 教是此事因
'jie'bian'huo'bu'bian 皆变或不变
'jie'fei'neng'fang'hai 皆非能妨害
'jie'sheng'neng'li'wu 结生能力无
'jie'sheng'you'he'wei 结生有何违
'jie'wu'bie'cheng'gu 皆无别成故
'jie'yi'hui'jian 解义慧剑
'jin'qi'suo'you'cha'na'shu 尽其所有刹那数
'jin'qu'wu'bian'yi 近取无变异
'jin'qu'yi'zhe'po 近取已遮破
'jin'wu'li'tan'zhe 今无离贪者
'jin'ye'pi'wu'yi 尽业疲无义
'jin'yu'he'li'tan 今于何离贪
'jin'zhi'ku'xiang'xu 仅知苦相续
'jing'gen'ji'wei'xiang'ju'he 境根极微相聚合
'jing'jian'liang 净见量
'jing'jin'lou'xue'er 精尽漏血尔
'jing'li'ding'liang'yu'li'sheng 敬礼定量欲利生
'jing'yi'fei'yi'ju 境亦非依据
'jiu'hu'zhi'zhen'ru 救护知真如
'jiu'zhe'jian'dao'shuo 救者见道说
'ju'bei'gu'zhu'wei 具悲故诸为
'ju'bei'wei'mie'ku 具悲为灭苦
'ju'bi'fo'wei'liang 具彼佛为量
'ju'bi'zhi'bi'deng 具彼之彼等
'ju'bi'zi'ti'shuo 具彼自体说
'ju'cha'bie'ci'di 具差别次第
'ju'gen'fei'sheng'xin 具根非生心
'ju'neng'li'shuo'bi 具能立说彼
'ju'ru'ci'neng'yin 具如此能引
'ju'sheng'mie'xin'gu 具生灭心故
'ju'sheng'shi'li'gu 具生识力故
'ju'sheng'wei'duan'gu 俱生未断故
'ju'sheng'you'qing'jian 俱生有情见
'ju'shou'gu'zheng'xiang 具手故证象
'ju'shu'ji'ye'deng 具数及业等
'ju'yi'wu'neng'li 聚亦无能力
'ju'you'de'bi'deng 聚有德彼等
'ju'you'yuan'jin'gu 俱有缘尽故
'ju'zao'shou'yong'xiang 具造受用相
'ju'zu'shu'mu'deng 具足数目等
'jue'ding'tan'wo'zhe 决定贪我者
'kan'wei 堪为
'ke'jian'huo'you'yin 可见或有因
'ke'jian'qian'qian'gen 可见前前根
'kong'jian'xiang'wei'gu 空见相违故
'ku'ji'liu'zhuan'yun 苦即流转蕴
'ku'xing'xu'yi'huo 苦行许异惑
'le'wo'wo'suo'deng 乐我我所等
'le'yi'bu'qi'tan 乐亦不起贪
'le'zhi'tong'ku'yin 了知痛苦因
'li'di'lun 理滴论
'li'fei'shi'wai'jing 力非事外境
'li'huai'ju'jian'gu 离坏聚见故
'li'jian'chu'wei'pin 力渐除违品
'li'men'lun 理门论
'li'tan'sheng'wei'jian 离贪生未见
'li'tan'wo'zhi'yin 离贪我之因
'li'tan'zhi'hui'deng 离贪智慧等
'li'yi'zhi'yi'fei 离一支亦非
'liang'bu'cheng'yi'zong 量不成义宗
'liang'guo 量果
'liang'ji'wu'qi'shi 量即无欺识
'liang'ji'zhi'yin'shi 量即知隐事
'liang'li'bao'zang'lun 量理宝藏论
'liang'zhi 量知
'liao'wu'yin'ti'gu 了悟因体故
'liao'wu'zhen'xiang'zhe 了悟真相者
'ling'bi'zhu'ta'he 令彼住他何
'ling'qi'zhu'ta'he 令其住他何
'ling'shou'guo'bao'zhe 领受果报者
'ling'shou'ji'ming'yan 领受及名言
'ling'shou'sheng'yi'nian 领受生忆念
'ling'wo'tan'jian'gu 令我贪坚固
'liu'zhuan'yi'qie'chu 流转一切处
'lun'hui'gu'wu'jie 轮回故无解
'lun'neng'qian'yu'chi 论能遣愚痴
'mai'peng'ren'bo'qie 麦彭仁波切
'mie'gu'shi'xiang'xu 灭故事相续
'mie'ji'fa'er'you 灭即法尔有
'ming'cheng'fei'yi'ming 名称非异名
'ming'qi'yi'ru'shi 名起亦如是
'ming'shi'sui'yi'shi 名识随异事
'ming'sui'bu'cheng'li 名虽不成立
'ming'tong'wu'bie'gu 名同无别故
'ming'wei'zhi'yi'er 明未知义尔
'ming'yan'gong'xiang 名言共相
'ming'yan'liang 名言量
'ming'zhi'wei'pin'gu 明知违品故
'mo'xin'you'jie'sheng 末心有结生
'mo'xin'yu'ta'xin 末心与他心
'nai'wu'wo'jian'yi 乃无我见依
'nai'you'ku'le'sheng 乃由苦乐生
'nai'zan'shi'xing'gu 乃暂时性故
'nai'zhi'shen'bian'qian 乃至身变前
'nai'zhu'lun'shi'shuo 乃诸论师说
'nei'fei'you'wai'xiang 内非由外相
'nei'yi'bie'zhong'sheng 内义别中生
'nei'yi'jin'zhong'sheng 内义近中生
'neng'biao'bi'li'yi 能表彼力异
'neng'cheng'yi'wu'guo 能成亦无过
'neng'cui'ai'sui'xing 能摧爱随行
'neng'hai'jian'wu'wo 能害见无我
'neng'li'ge'xiang'yi 能力各相异
'neng'li'xiu'bei'zhong 能立修悲中
'neng'li'yi'rong'you 能利亦容有
'neng'li'yi'you'jiu 能立亦有咎
'neng'ling'ye'bu'sheng 能令业不生
'neng'mie'yi'qie'guo 能灭一切过
'neng'qi'zuo'yong'deng 能起作用等
'neng'quan'si'yi'fa 能诠似异法
'neng'sheng'he'xin'shi 能生核心事
'neng'yi'fei'hui'mie 能依非毁灭
'neng'yin'xiang'xu'gu 能引相续故
'neng'zhuan'nan'de'gu 能转难得故
'nian'ji'xing'ku'yi 念及行苦已
'pi'ru'wei'chang'chuan 譬如谓长串
'po'bi'fen'zhi'shi 破彼分支事
'qi'fei'yi'gen'sui 岂非已跟随
'qi'gong'yong'bu'qi 起功用不欺
'qi'guo'he'neng'zhe 其果何能遮
'qi'huo 欺惑
'qi'ji'bu'tou'sheng 其即不投生
'qi'liang'zhu'he'chu 其量住何处
'qi'shi'he'li'xing 其是合理性
'qi'ti'xian'bu'xian 其体先不现
'qi'xi'xing'ruo'deng 气息行弱等
'qi'yin'li'qin'xi 其因力勤习
'qian'qian'cha'na'zhe 前前刹那者
'qian'wu'er'sheng'zhong 前无而生中
'qian'xing'qu'ru'zhe 前行趋入者
'qian'yu 遣余
'qian'zi'lei'shi'yin 前自类是因
'qin'xing'zhe'fei'you 勤行者非有
'qin'xiu'zhu'fang'bian 勤修诸方便
'qin'zuo'ling'hou'hou 勤作令后后
'qin'zuo'yi'bu'tui 勤作亦不退
'qing'shuo'you'he'sheng 请说由何生
'qu'jing'er'wei'huo'de 取境而未获得
'qu'shou'er'neng'zhang 取受而能障
'qu'yi'suo'qu'gu 取已所取故
'qu'zhi'yi'ji'zuo 趋知依即作
'quan'yi'yi'yi'qie 诠一义一切
'que'wei'sheng'guo'gu 却未生果故
'que'yi'ze'bu'sheng 缺一则不生
'ran'bi'fei'li'tan 然彼非离贪
'ran'ci'yi'suo'yi 然此异所依
'ran'wu'wu're'huo 然无无热火
'ran'yi'wu'you'gu 然一无有故
'rao'yi'yi'qie'ju 饶益一切具
're'ci'di'you'bie 热次第有别
're'shi'deng'he'jian 热石等何见
'ru'chi'xiao'pai'qian 如鸱枭派前
'ru'ci'er'wu'guo 如此二无过
'ru'ci'hu'wei'yin 如此互为因
