'bei'zhou'ze'yi'dai 备周则意怠
'lv'yan'mie'jin'qing'hui'fa 绿烟灭尽清辉发
'mei'mu'pan'xi 美目盼兮
'mian'lai'yi'shi'yi 眄睐以适意
'min'ju'you'san'nian'zhi'shi 民俱有三年之食
'ming'zhao'you'yi'bao'qin'lai 明朝有意抱琴来
'ming'zu'yi'cha'qiu'hao'zhi'mo 明足以察秋毫之末
'mo'bu'zhong'yin 莫不中音
'mo'zhu'you'yuan'mo'zhu'kong'ren 莫逐有缘莫住空忍
'nei'liu'gen'zhong'liu'shi 内六根中六识
'nu'li'bao'shuang'xue 努力保霜雪
'pi'mei'jing'jiang 媲美敬姜
'po'bu'zun'fa'du 颇不遵法度
'pu'sa'ying'ru'shi'bu'shi 菩萨应如是布施
'qian'mei'huang'quan'xia 潜寐黄泉下
'qian'wan'bu'neng'jiu'ta 千万不能救他
'qian'zai'yong'bu'wu 千载永不寤
'qiao'xiao'qian'xi 巧笑倩兮
'qin'xian'chen'yuan'xiao'ren 亲贤臣远小人
'qu'yan'fu'shi'wang'en'fu'yi 趋炎附势忘恩负义
'ran'shao'gui'jiao 然少贵骄
'ran'ze'sheng'dong'ji'xi'zhi'ce 然则声东击西之策
'rong'zhi'mei'li 容止美丽
'ru'tu'wei'di 如土委地
'san'nian'ji'cheng 三年技成
'shan'ren'shou'zhong 善人寿终
'shao'si'gua'yu 少思寡欲
'shen'wang'suo'ji 身亡所寄
'sheng'ming'zhong'de'tong'ku'shi'yan 生命中的痛苦是盐
'shi'nian'bu'shou'yu'guo 十年不收于国
'shi'qi'suo'kuang'ye 实其所诳也
'shi'zhi'yue'zhen 谥之曰贞
'shou'qi'ci 守其雌
'si'min'qin'qi'shang 斯民亲其上
'suo'wei'yi'ren 所谓伊人
'suo'zhi'shi'qian 唆之使前
'ta'de'xian'dan'qu'jue'yu'sheng'ta'de'rong'qi 它的咸淡取决于盛它的容器
'tao'zhi'yao'yao 桃之夭夭
'tian'di'beng'zhui 天地崩坠
'tun'gou'zhi'yu 吞钩之鱼
'tuo'li'sheng'si'de'lun'hui 脱离生死的轮回
'wang'min'qi'chi'xin'yi'si 王悯其持信以死
'wang'zhe'bu'ke'jian 往者不可谏
'wei'da'sheng'zhe 为大胜者
'wei'ren'mou'er'bu'zhong'hu 为人谋而不忠乎
'wei'sheng'ren'neng'zhi 唯圣人能之
'wei'tian'xia'xi 为天下溪
'wei'ying'er'zhuang 为婴儿状
'wo'zui'yu'mian'qin'qie'qu 我醉欲眠亲且去
'wu'du'he'ren 吾独何人
'wu'qing'yi'wu'zhong 无情亦无种
'wu'ri'san'xing'hu'wu'shen 吾日三省乎吾身
'wu'xing'ben'ji'liao 无形本寂寥
'wu'xing'yi'wu'sheng 无性亦无生
'wu'yi'nv'er'shou'nan'can 吾以女而授男餐
'wu'ying'ge'sheng'san'lv'chi 舞影歌声散绿池
'xi'wu'yu'qin'ce 戏舞于亲侧
'xian'su'bao'pu 见素抱朴
'xian'zhang'yi'yi'lun 宪章亦已沦
'xian'zhi'si'di 陷之死地
'xin'zhe'bu'fu'qi'xin 信者不负其心
'xing'cong'hui 性聪惠
'xu'jun'qing'song'xin 勖君青松心
'xu'shi'di'zhi'luan'fou'wei'ding 须视敌志乱否为定
'xue'yu'kong'zi 学与孔子
'ye'fen'you'ji 夜分忧绩
'yi'jin'wu'hui'chu 意尽无会处
'yi'qie'xian'sheng 一切贤圣
'yi'quan'zhen'xin'zhi'jie 以全贞信之节
'yi'zhe'bu'xu'she'qi'shi 义者不虚设其事
'yi'zhu'pen'zhong 以著盆中
'yin'ling'yao'xiang'xi 引领遥相希
'ying'fang'xia'wai'liu'chen 应放下外六尘
'you'gong'jin'dao 友恭尽道
'you'wu'xian'tian'de 有物先天地
'yu'jian'sheng'xian 遇见圣贤
'yu'liu'qi'zhi'bian 御六气之辩
'yu'peng'you'jiao'er'bu'xin'hu 与朋友交而不信乎
'yu'shang'qing'tian'lan'ming'yue 欲上青天览明月
'yu'shun'da'xiao 虞舜大孝
'yu'wo'xin'you'qi'qi'yan 于我心有戚戚焉
'zai'shui'yi'fang 在水一方
'ze'qi'fu'da'yi'ye'wu'li 则其负大翼也无力
'ze'qi'suo'yong'zhe'zhong 则其所用者重
'zhi'qi'xiong 知其雄
'zhi'ren'er'bu'zhi'yu'ren 致人而不致于人
'zhuo'zhuo'qi'hua 灼灼其华
'zi'lu'jin'li 子路尽力
'zou'dao'huo'ran 奏刀騞然
'zui'yao'jin'de'shi'bian'bai'cai'yao'qian 最要紧的是辩败才要钱
