'a'su'ji'ba 阿速吉八
'xiao'fang'zhi 萧方智
'xiao'gang 萧纲
'xiao'ji 萧纪
'xiao'jia 小甲
'xiao'kui 萧岿
'xiao'luan 萧鸾
'xiao'xin 小辛
'xiao'yan 萧衍
'xiao'yan 萧言
'xiao'yi 萧绎
'xiao'yi 小乙
'xiao'yuan'ming 萧渊明
'xiao'ze 萧赜
'xiao'zhao'wen 萧昭文
'xiao'zhao'ye 萧昭业
'xiao'zheng'de 萧正德
'xie'dao'qing 谢道清
'xuan'ren'tai'hou'gao'shi 宣仁太后高氏
'xuan'yuan'shi 轩辕氏
'yan'di 炎帝
'yang'dong 杨侗
'yang'guang 杨广
'yang'hao 杨浩
'yang'jia 阳甲
'yang'jian 杨坚
'yang'pu 杨溥
'yang'wei 杨渭
'yang'wo 杨渥
'yang'xing'mi 杨行密
'yang'you 杨侑
'yao'chang 姚苌
'yao'hong 姚泓
'yao'xing 姚兴
'ye'lv'a'bao'ji 耶律阿保机
'ye'lv'bei 耶律倍
'ye'lv'de'guang 耶律德光
'ye'lv'hong'ji 耶律洪基
'ye'lv'jing 耶律璟
'ye'lv'long'xu 耶律隆绪
'ye'lv'ruan 耶律阮
'ye'lv'xian 耶律贤
'ye'lv'yan'xi 耶律延禧
'ye'lv'zong'zhen 耶律宗真
'ye'sun'tie'mu'er 也孙铁木儿
'yi'lin'zhi'ban 懿璘质班
'ying'chu 嬴楚
'ying'ze 嬴则
'ying'zheng 嬴政
'ying'zhu 嬴柱
'yong'ji 雍己
'yu'shun 虞舜
'yu'wen'jue 宇文觉
'yu'wen'tai 宇文泰
'yu'wen'yan 宇文衍
'yu'wen'yong 宇文邕
'yu'wen'yu 宇文毓
'yu'wen'yun 宇文赟
'yuan'bao'ju 元宝炬
'yuan'gong 元恭
'yuan'hong 元宏
'yuan'ke 元恪
'yuan'lang 元朗
'yuan'qin 元钦
'yuan'shan'jian 元善见
'yuan'xu 元诩
'yuan'ye 元晔
'yuan'you 元攸
'yuan'zhao 元钊
'yuan'zi'you 元子攸
'zhang'chong'hua 张重华
'zhang'gui 张轨
'zhang'jun 张骏
'zhang'mao 张茂
'zhang'shi 张实
'zhang'tian'xi 张天锡
'zhang'xian'zhong 张献忠
'zhang'xuan'liang 张玄靓
'zhang'yao'ling 张耀灵
'zhang'zuo 张祚
'zhao'bing 赵昺
'zhao'chun 赵淳
'zhao'gou 赵构
'zhao'guang'yi 赵光义
'zhao'heng 赵恒
'zhao'huan 赵桓
'zhao'ji 赵佶
'zhao'kuang'yin 赵匡胤
'zhao'kuo 赵扩
'zhao'qi 赵禥
'zhao'shen 赵眘
'zhao'shi 赵昰
'zhao'shu 赵曙
'zhao'xian 赵显
'zhao'xu 赵顼
'zhao'xu 赵煦
'zhao'yun 赵昀
'zhao'zhen 赵祯
'zhong'ding 中丁
'zhong'kang 仲康
'zhong'ren 中壬
'zhu'wen 朱温
'zhu'you'lang 朱由榔
'zhu'you'song 朱由崧
'zhu'yu'jian 朱聿键
'zhu'zhen 朱瑱
'zhuan'xu 颛顼
'zi'ying 子婴
'zu'ding 祖丁
'zu'geng 祖庚
'zu'jia 祖甲
'zu'xin 祖辛
'zu'yi 祖乙
