'a'ha'li'mu'fu'you 阿哈利姆福佑
'bu'xiu'shi'wang'wei'sheng'su 不朽尸王维生素
'bu'xiu'zhi'li 不朽之力
'bu'xiu'zhi'shou'hu 不朽之守护
'bu'zhi'shi'yi'tuan'xin'zhi 不只是一团心智
'cai'hong'biao 彩虹镖
'cai'si'min'jie 才思敏捷
'can'shi 残石
'can'yan 残岩
'can'yan 残焰
'can'yin 残阴
'can'ying 残影
'cang'long 苍龙
'cang'qiong'zhen'ji 苍穹震击
'cang'yang'shou'wei 苍洋守卫
'cao'xie 草鞋
'ce'shen'hui'bi 侧身回避
'cha'ke'la'mo'fa 查克拉魔法
'chai'dong'bu'xi 拆东补西
'chai'lang'ren'ci'ke 豺狼人刺客
'chai'lang'ren'zhen'ying 豺狼人阵营
'chai'ta 拆塔
'chan'rao'zhi'zhao 缠扰之爪
'chang'dun 长盾
'chang'jian'geng 常见梗
'chang'pian'gua'ca 唱片刮擦
'chang'xu'wa 长须蛙
'chang'ye'zhi'zhi 长夜之治
'chang'yong 常用
'chang'yong'yu'yin 常用语音
'chao'da'mi'bo 超大米波
'chao'feng'dong'zuo 嘲讽动作
'chao'fu'he 超负荷
'chao'luo 潮落
'chao'qiang'li'liang 超强力量
'chao'sheng'chong'ji'bo 超声冲击波
'chao'sheng'yin'bao 超声音爆
'chao'su'yun'zhuan 超速运转
'chao'wei'ni'zu 超维逆族
'chao'xi 潮汐
'chao'xi'bo 潮汐波
'chao'xi'lie'ren 潮汐猎人
'chao'xi'shi'zhe 潮汐使者
'chao'xin'xing 超新星
'chao'zhang 潮涨
'chao'zhen'sheng'bo 超震声波
'chao'zhong'pai 超重派
'chao'zi'ran 超自然
'chen'jian'tun'pao 沉舰豚炮
'chen'juan'xuan'feng 尘卷旋风
'chen'mo'mo'fa 沉默魔法
'chen'mo'shu'shi 沉默术士
'chen'ren'zhi'wei 趁人之危
'chen'yuan'yi'le 尘缘已了
'chi'fu 吃符
'chi'hong'jia 赤红甲
'chi'hun 炽魂
'chi'lie'huo'yu 炽烈火雨
'chi'long 赤龙
'chi're'wen'zhang 炽热纹章
'chong'chao'si'wei 虫巢思维
'chong'ji'bo 冲击波
'chong'neng'shi'jian 充能时间
'chong'qun 虫群
'chong'sheng 重生
'chong'wen'jiu'ri 重温旧日
'chou'xi'tu'xi 抽吸突袭
'chu'fa'xian'jing 触发陷阱
'chu'lv 出绿
'chuan'bo 传播
'chuan'ci 穿刺
'chuan'shuo'ge 传说哥
'chuan'song 传送
'chuan'zhang 船长
'chuan'zhen'yin'xian 穿针引线
'chui'feng 吹风
'chui'feng'ci'bao'bang'bang'wo 吹风磁暴帮帮我
'chui'tiao'lv'yin'tui 吹跳绿隐推
'chun'jie'zhi'chui 纯洁之锤
'ci'bao 磁暴
'ci'chang 磁场
'ci'gu'yan'han 刺骨严寒
'ci'hua 磁化
'ci'ji'fu'shi 次级腐蚀
'ci'ji'jing'shen'ti 次级精神体
'ci'neng'bu'huo 磁能捕获
'ci'shu'xing 次属性
'cong'lin'chi'hou 丛林斥候
'cong'lin'zhi'hun 丛林之魂
'cong'lin'zhi'wu 丛林之舞
'cong'ming'ren'shang'fen 聪明人上分
'cong'zhong'xin'li 从众心理
'cu'bao 粗暴
'cui'du'wu'qi 淬毒武器
'cui'du'zhi'zhu 淬毒之珠
'cui'xi'si 崔希丝
'cuo'mo'zhi'ji 磋磨之纪
'da'de'yi'zhi'bu'cuo 打得一直不错
'da'di 大地
'da'di'quan'fa 大地拳法
'da'di'zhi'ling 大地之灵
'da'dian'chui 大电锤
'da'dun 打盾
'da'fang'yi'tong 大放异桶
'da'ge'chi'ga'li 大哥吃咖喱
'da'gong'zhi'shen'li 达贡之神力
'da'hei'long 大黑龙
'da'jian 大剑
'da'jing'hua 大净化
'da'jue'dou'chang 大角斗场
'da'lei'chui 大雷锤
'da'mo'dao'shi 大魔导师
'da'na'jia 大娜迦
'da'nao'zi 大脑子
'da'niu 大牛
'da'pao 大炮
'da'ren'zai'shuo'hua 大人在说话
'da'sa'te 大萨特
'da'sheng'jian'zhen 大圣坚阵
'da'shu 大树
'da'si'wu'ran 大肆污染
'da'tuan 打团
'da'tui'tui 大推推
'da'wei'an 达维安
'da'xi 大吸
'da'xi'xue 大吸血
'da'xian'shen'shou 大显身手
'da'xie 大鞋
'da'xun'zhang 大勋章
'da'yao 大药
'da'ye 打野
'da'you'xi'wang 大有希望
'da'yu 大鱼
'da'yu'ren 大鱼人
'da'yun'chui 大晕锤
'da'zhao'liu 大招流
'da'zi'ran'de'yan'hu 大自然的掩护
'dai'bao'shi 带宝石
'dai'da'luo'si'zhi'shang 代达罗斯之殇
'dai'fen 带粉
'dai'wei'an 戴维安
'dai'yan 带眼
'dai'yi'zhan'xue 带翼战靴
'dai'ze 戴泽
'dan'che'wu'shi 单车武士
'dan'dao'su'du 弹道速度
'dan'mu'chong'ji 弹幕冲击
'dan'mu'te'xiao 弹木特效
'dan'wu'xu'fa 弹无虚发
'dan'yi'zheng'zhao 单一征召
'dang'gou 挡钩
'dao'guang'die'ying 刀光谍影
'dao'jian'feng'bao 刀剑风暴
'dao'pian 刀片
'dao'ta'ba'ye 刀塔霸业
'dao'ying 倒影
'dao'zhen'xuan'feng 刀阵旋风
'de'lu'yi 德鲁伊
'deng'li'zi'chang 等离子场
'di'bao 地堡
'di'bu 地卜
'di'bu'shi 地卜师
'di'ci'zhi'wo 地磁之握
'di'er'ji 第二级
'di'fa'shi 敌法师
'di'gui 递归
'di'jing'de'tan'lan 地精的贪婪
'di'jing'gong'cheng'shi 地精工程师
'di'jing'si'lie'zhe 地精撕裂者
'di'jing'xiu'bu'jiang 地精修补匠
'di'kang'zhuan'yi 抵抗转移
'di'lei'gun'gun 地雷滚滚
'di'ling'ren'jie 地灵人杰
'di'qiao'ji'lei 地壳积累
'di'san'ji 第三级
'di'san'zhi'yan 第三只眼
'di'si'ji 第四级
'di'si'ke'hong'long 迪斯科轰隆
'di'tu'jian'zhu 地图建筑
'di'wu'ji 第五级
'di'xue'chong'qun 地穴虫群
'di'yi'ji 第一级
'di'yu'ling'zhu 地狱领主
'di'yu'xiong'guai 地狱熊怪
'di'yu'xiong'guai'fen'sui'zhe 地狱熊怪粉碎者
'di'zhen 地震
'di'zhi'shu'fu 地之束缚
'di'zhi'tu'xi 地之突袭
'di'zi 笛子
'di'zui'zhi'yan 涤罪之焰
'dian'ci'mai'chong 电磁脉冲
'dian'ci'pai'chi 电磁排斥
'dian'feng'biao'yan 巅峰表演
'dian'guang'shi'huo 电光石火
'dian'gun 电棍
'dian'hun 电魂
'dian'ji'kai'wan 点击开玩
'dian'ji'xiang'quan 电击项圈
'dian'jiao'shi 垫脚石
'dian'liu 电流
'dian'shu'kuo'zhan 电枢扩展
'dian'yan'jue'shou 电炎绝手
'dian'zi'wo'liu 电子涡流
'diao'xiang 雕像
'die'xue'feng'bao 喋血风暴
'ding'feng'zhuang'tai 顶峰状态
'ding'ji'lue'shi'zhe 顶级掠食者
'ding'wei 定位
'dong'cha'yan'dou 洞察烟斗
'dong'he 恫吓
'dong'ji'zhi'ye'xun'hui'sai 冬季职业巡回赛
'dong'li'xie 动力鞋
'dong'liang 动量
'dong'mai'fen'zhang 动脉偾张
'dong'neng'li'chang 动能立场
'dong'neng'zha'lan 动能栅栏
'dong'wu'xin'shi 动物信使
'dou'song'lue'duo'zhe 斗松掠夺者
'du'bao 毒爆
'du'ci 毒刺
'du'gou 毒狗
'du'jiao'shou'qiu 独角兽球
'du'lai'du'wang 独来独往
'du'long 毒龙
'du'lun'che 独轮车
'du'qiu 毒球
'du'wu'hu'zhao 毒雾护罩
'du'xing'gong'ji 毒性攻击
'du'ya'zhi'sha 渡鸦之纱
'duan'gun 短棍
'dui'ye 堆野
'dun'shua'le 盾刷了
'duo'chong'shi'fa 多重施法
'duo'ming'shuang'xiong 夺命双熊
'duo'tian'fu 堕天斧
'e'lang'si'yao 恶狼撕咬
'e'meng 噩梦
'e'meng'zhong'zhi 噩梦终止
'e'mo'dao'feng 恶魔刀锋
'e'mo'de'jiao'yi 恶魔的交易
'e'mo'kuang're 恶魔狂热
'e'mo'she'ling 恶魔赦令
'e'mo'wu'shi 恶魔巫师
'e'mo'zhi'fei 恶魔之扉
'e'mo'zhi'shi 恶魔之势
'e'mo'zhuan'hua 恶魔转化
'e'nian'pie'shi 恶念瞥视
'e'xing'wen'yi 恶性瘟疫
'e'yi'bang'shen 恶疫傍身
'e'you'e'bao 恶有恶报
'en'ci'jie'tuo 恩赐解脱
'er'ci'da'ji 二次打击
'er'duan'tiao 二段跳
'er'ta 二塔
'er'ta'fang'le 二塔放了
'fa'li'ke'wang 法力渴望
'fa'li'liu'shi 法力流失
'fa'li'ran'shao 法力燃烧
'fa'li'sun'hui 法力损毁
'fa'li'xi'qu 法力吸取
'fa'li'xu'kong 法力虚空
'fa'mu'ji 伐木机
'fa'mu'ju'lian 伐木锯链
'fa'mu'kuang'mo 伐木狂魔
'fa'qi 法器
'fa'she'gou'zhao 发射钩爪
'fa'shi'chang'pao 法师长袍
'fa'shi'ke'xing 法师克星
'fa'shu'di'dang 法术抵挡
'fa'shu'di'kang 法术抵抗
'fa'shu'fan'zhi 法术反制
'fa'shu'hu'dun 法术护盾
'fa'shu'leng'jing 法术棱镜
'fa'shu'qiang'hua 法术强化
'fa'tiao 发条
'fa'tiao'di'jing 发条地精
'fa'tiao'ji'shi 发条技师
'fa'ya 发芽
'fa'yi 法衣
'fan'bu 反补
'fan'bu'wo 反补我
'fan'ji 反击
'fan'ji'jing'ying 反击精英
'fan'ji'luo'xuan 反击螺旋
'fan'rao 烦扰
'fan'shang 反伤
'fan'shang'guang'huan 反伤光环
'fang'ju 防具
'fang'yu'ju'zhen 防御矩阵
'fang'yu'ta 防御塔
'fei'ji 飞机
'fei'long'shi'ye 飞龙视野
'fei'long'zhi'nu 飞龙之怒
'fei'sheng'can'ji 飞升残迹
'fei'xie 飞鞋
'fei'xing'xin'shi 飞行信使
'fei'xing'xing'fei'wen 肥猩猩飞吻
'fei'xue'zhi'mao 沸血之矛
'fei'zei'zhi'ren 飞贼之刃
'fen'ge'tu'xiang 分割图像
'fen'hong 分红
'fen'lie'jian 分裂箭
'fen'nu'xiao'guai 愤怒小怪
'fen'shen'fu 分身斧
'fen'sui'ji 粉碎击
'fen'ze'neng'cheng 分则能成
'fen'zheng'mian'sha 纷争面纱
'feng'bao'bao'qi 风暴宝器
'feng'bao'shuang'xiong 风暴双雄
'feng'bao'wu'shi 风暴巫师
'feng'bao'yong'dong 风暴涌动
'feng'bao'zhi'chui 风暴之锤
'feng'bao'zhi'ling 风暴之灵
'feng'bao'zhi'quan 风暴之拳
'feng'bao'zhi'yan 风暴之眼
'feng'biao 风飑
'feng'bu 风步
'feng'huang 凤凰
'feng'huang'chong'ji 凤凰冲击
'feng'huang'yu'jin 凤凰余烬
'feng'kuang'mian'ju 疯狂面具
'feng'kuang'sheng'zhang 疯狂生长
'feng'kuang'wei'shi 疯狂喂食
'feng'lei'zhi'ji 风雷之击
'feng'ling'zhi'wen 风灵之纹
'feng'mo'zhi'jing 疯魔之境
'feng'rao'zhi'huan 丰饶之环
'feng'suo 封锁
'feng'wang'jiang 蜂王浆
'feng'xing 风行
'feng'xing'zhe 风行者
'feng'zhang 风杖
'feng'zhi'zhang 风之杖
'fou'jue'gua'shi 否决挂饰
'fou'jue'zhui'shi 否决坠饰
'fu'chong'zha'dan 俯冲炸弹
'fu'chou 复仇
'fu'chou'guang'huan 复仇光环
'fu'chou'zhi'hun 复仇之魂
'fu'chou'zhi'jian 复仇之箭
'fu'dian 符点
'fu'hua'zhi'zhu 孵化蜘蛛
'fu'hun 缚魂
'fu'hun'mian'ju 附魂面具
'fu'la'di'mi'er'de'ji'pin 弗拉迪米尔的祭品
'fu'la'di'mi'er'guang'huan 弗拉迪米尔光环
'fu'lan 腐烂
'fu'lan'zhi'he 腐烂之核
'fu'ling'suo 缚灵锁
'fu'long'dao 伏龙岛
'fu'rou'dui'ji 腐肉堆积
'fu'she 蝮蛇
'fu'she'tu'xi 蝮蛇突袭
'fu'shi'bing'xie 腐蚀兵械
'fu'shi'du 腐尸毒
'fu'shi'pi'fu 腐蚀皮肤
'fu'shi'tu'xi 腐蚀吐息
'fu'shi'zhi'qiu 腐蚀之球
'fu'shi'zhi'yu 腐蚀之浴
'fu'shi'zu'ai 腐蚀阻碍
'fu'tou 斧头
'fu'wang 斧王
'fu'xiu 腐朽
'fu'xiu'zhi'quan 腐朽之拳
'fu'zhi 复制
'fu'zhi'zhi'qiang 复制之墙
'fu'zhu'dao'ju 辅助道具
'fu'zi 斧子
'gan'jin'sha'jue 赶尽杀绝
'gan'ran 感染
'gan'rao'zhe 干扰者
'gan'ying'di'lei 感应地雷
'gang'bei 钢背
'gang'bei'shou 刚被兽
'gang'bei'shou 钢背兽
'gang'bei'zhu 钢背猪
'gang'duo 刚铎
'gang'mao'hou'bei 刚毛后背
'gang'qiang'ju'dun 刚强巨盾
'gang'shao'shou'wei 岗哨守卫
'gao'chao'zhang'qi 高潮涨起
'gao'di'ta 高地塔
'gao'ji'xian'ling'zhi'huo 高级仙灵之火
'gao'she'huo'pao 高射火炮
'gao'tu'zheng'dao 高徒正道
'gao'yuan 高远
'ge'kong'qu'wu 隔空取物
'ge'kong'qu'wu'zhuo'lu 隔空取物着陆
'ge'lie 割裂
'ge'luo'si 格罗斯
'ge'luo'si'yong'shi 格罗斯勇士
'geng'duo'mi'bo 更多米波
'gong'cheng'shi 工程师
'gong'hui'qi'zhi 公会旗帜
'gong'ji 攻击
'gong'ji'dan'dao 攻击弹道
'gong'ji'jian'ge 攻击间隔
'gong'ji'ju'li 攻击距离
'gong'ji'li 攻击力
'gong'ji'su'du 攻击速度
'gong'ji'zhi'zhao 攻击之爪
'gong'ming'mai'chong 共鸣脉冲
'gong'shi 共噬
'gong'su 攻速
'gong'zhen 共振
'gou'bu 钩捕
'gou'he 沟壑
'gou'jie 钩结
'gou'shi'yun 狗屎运
'gou'tou'ren'shi'bing 狗头人士兵
'gou'tou'ren'zhang'guan 狗头人长官
'gou'tou'ren'zhen'ying 狗头人阵营
'gou'yi'ge 钩一个
'gu'fa 骨法
'gu'gong 骨弓
'gu'gu'ji'qun 咕咕鸡群
'gu'hui 骨灰
'gu'long'xing'tai 古龙形态
'gu'long'xue'zhe 古龙学者
'gu'tou'he'jian'tou 骨头和箭头
'gu'yin'bu 骨隐步
'guan'cha'zhe 观察者
'guan'fang'lun'pan 官方轮盘
'guan'ping 灌瓶
'guan'zhan'xi'tong 观战系统
'guang'bo 光波
'guang'fa 光法
'guang'ji'zhen 光击阵
'guang'lu 光鹿
'guang'zhi'shou'wei 光之守卫
'gui'hun 鬼魂
'gui'hun'zhen'ying 鬼魂阵营
'gui'ji'zhi'wu 诡计之雾
'gui'ying'chong'chong 鬼影重重
'gui'you'dan'hui 鬼幽丹辉
'gui'you'xian'shi 鬼幽现世
'gui'zu'tou'huan 贵族头环
'gui'zu'yuan'huan 贵族圆环
'guo'du'bao'hu'de'xiao'jing'ling 过度保护的小精灵
'guo'ji'yao'qing'sai 国际邀请赛
'guo'jian'shuai 过肩摔
'guo'zai 过载
'ha'ha'jing 哈哈镜
'ha'si'ka 哈斯卡
'hai'dao'mao 海盗帽
'hai'jun'shang'jiang 海军上将
'hai'mang'zhi'ming 海蟒之命
'hai'min 海民
'hai'xiang'fei'ti 海象飞踢
'hai'xiang'hui'ji 海象挥击
'hai'xiang'shen'quan 海象神拳
'hai'yang'zhi'xin 海洋之心
'hai'yao'jian'ke 海妖坚壳
'hai'yao'wai'ke 海妖外壳
'hai'yao'zhi'ge 海妖之歌
'han'bing'jian'zhu 寒冰尖柱
'han'bing'kui'jia 寒冰盔甲
'han'bing'sui'pian 寒冰碎片
'han'bing'zhi'qiang 寒冰之墙
'han'di'shen'niu 撼地神牛
'han'di'zhe 撼地者
'han'dong'fei'long 寒冬飞龙
'han'dong'zu'zhou 寒冬诅咒
'han'jin 悍劲
'han'shuang'bao'fa 寒霜暴发
'han'shuang'gong'ji 寒霜攻击
'han'shuang'zhi'zu 寒霜之足
'han'tie'gang'zhao 寒铁钢爪
'han'yi'jian'zeng 寒意渐增
'hang'jia'zhen'lie 行家阵列
'hao'jiao 嗥叫
'hao'jie'ju'chui 浩劫巨锤
'hao'shi'duo'tan'mo 好事多贪魔
'hao'you'xi'tong 好友系统
'hao'zhu 豪猪
'he'cheng'juan'zhou 合成卷轴
'he'sheng'guang'huan 河生光环
'he'xin 核心
'hei'an'fei'sheng 黑暗飞升
'hei'an'ju'mo'zhao'huan'fa'shi 黑暗巨魔召唤法师
'hei'an'mo'dian 黑暗魔典
'hei'an'qi'yue 黑暗契约
'hei'an'shi'jian 黑暗时间
'hei'an'xian'zhe 黑暗贤者
'hei'an'you'xia 黑暗游侠
'hei'an'zhi'men 黑暗之门
'hei'an'zhi'xin 黑暗之心
'hei'dong 黑洞
'hei'huang'zhang 黑皇杖
'hei'long 黑龙
'hei'long'zhen'ying 黑龙阵营
'hei'men'shao'wei'bei'bu 黑门哨卫背部
'hei'niao 黑鸟
'hei'xian 黑贤
'hei'yao'hui'mie'zhe 黑曜毁灭者
'heng'shi 衡势
'heng'xing'wu'ji 横行无忌
'hong'lian 红莲
'hong'liu 洪流
'hong'liu'lang'chao 洪流浪潮
'hong'shui 洪水
'hong'xi'shou'wei 虹吸守卫
'hong'zhang 红杖
'hou'qi 后期
'hou'sheng'zhen'tian 吼声震天
'hou'zi 猴子
'hou'zi'hou'sun 猴子猴孙
'hu'die 蝴蝶
'hu'dun'fu 护盾符
'hu'dun'shen'fu 护盾神符
'hu'guang'shou'wang'zhe 弧光守望者
'hu'huan 互换
'hu'jia 护甲
'hu'niu 虎妞
'hu'shen'jia'dun 护身甲盾
'hu'wan 护腕
'hu'wei'shu 护卫术
'hu'xing'shan'dian 弧形闪电
'hu'you 忽悠
'hu'yue'chan'rao 虎跃缠扰
'hua'mu'ji 花母鸡
'hua'xing'zhi'ying 滑行之影
'hua'xue'kuang'bao 化学狂暴
'huai'si'zhi'wang 坏死之网
'huan'ci 幻刺
'huan'hun 唤魂
'huan'sheng'lei'dong 欢声雷动
'huan'shu'shi'pi'feng 幻术师披风
'huan'wei'mo'zhang 换位魔杖
'huan'xiang 幻象
'huan'xiang'fa'qiu 幻象法球
'huan'xiang'fu 幻象符
'huan'xiang'shen'fu 幻象神符
'huan'xin'zhi'ren 欢欣之刃
'huan'ying'chang'mao'shou 幻影长矛手
'huan'ying'chong'feng 幻影冲锋
'huan'ying'ci'ke 幻影刺客
'huan'ying'fu 幻影斧
'huan'ying'tu'xi 幻影突袭
'huan'ying'zhi'yong 幻影之拥
'huan'ying'zhi'yu 幻影之域
'huan'yue 环月
'huang'chong 蝗虫
'huang'dian 黄点
'huang'dian'liu 黄点流
'huang'mo'zhuo'yin 荒漠灼印
'huang'quan'chan'dou 黄泉颤抖
'huang'sha'man'tian 黄沙漫天
'huang'wu 荒芜
'hui'cheng'juan'zhou 回城卷轴
'hui'dao'guo'qu 回到过去
'hui'fu 回复
'hui'fu'fu 回复符
'hui'fu'jie'zhi 回复戒指
'hui'fu'shen'fu 回复神符
'hui'fu'tou'jin 恢复头巾
'hui'guang 慧光
'hui'guang'fan'zhao 回光返照
'hui'gui 回归
'hui'jin'zhi'ling 灰烬之灵
'hui'ju 汇聚
'hui'mie 毁灭
'hui'mie'ling'qiu 毁灭灵球
'hui'mie'yin'ying 毁灭阴影
'hui'mie'zhi'shang 毁灭之赏
'hui'mie'zhi'yuan 毁灭之源
'hui'niao 灰鸟
'hui'shen'ti 回身踢
'hui'yao 辉耀
'hui'ye'dui'jian 慧夜对剑
'hui'yin'dao 回音刀
'hui'yin'hu'dun 回音护盾
'hui'yin'ji 回音击
'hui'yin'yi'ji 回音一击
'hui'yin'zhan'ren 回音战刃
'hui'yin'zhong'ta 回音重踏
'hui'yin'zhong'zhan 回音重斩
'hun'duan 魂断
'hun'dun 混沌
'hun'dun'cheng'ba 混沌称霸
'hun'dun'fen'hua 混沌分化
'hun'dun'qi'shi 混沌骑士
'hun'dun'yi'ji 混沌一击
'hun'dun'yun'shi 混沌陨石
'hun'dun'zhi'jun 混沌之军
'hun'jie 魂戒
'hun'lei 魂泪
'hun'luan'zhi'ji 混乱之祭
'hun'luan'zhi'jian 混乱之箭
'hun'shou 魂守
'hun'shui'fei'biao 昏睡飞镖
'hun'yuan 混源
'hun'zhi'ling'weng 魂之灵瓮
'hun'zhi'wan'ge 魂之挽歌
'huo'bu'dan'xing 祸不单行
'huo'guo 火锅
'huo'huan 惑幻
'huo'jian 火箭
'huo'jian'dan'mu 火箭弹幕
'huo'li'qiu 活力球
'huo'li'zhi'qiu 活力之球
'huo'long 火龙
'huo'luan 祸乱
'huo'luan'zhi'yuan 祸乱之源
'huo'mao 火猫
'huo'nv 火女
'huo'qiang 火墙
'huo'qiang 火枪
'huo'qiu 火球
'huo'qu'shu'xing 获取属性
'huo'ti'hu'jia 活体护甲
'huo'wen'lin'di 霍文林地
'huo'xing'dian'ji 活性电击
'huo'xing'hu'jia 活性护甲
'huo'xiong'mao 火熊猫
'huo'xue'shu 活血术
'huo'yan'bao'hong 火焰爆轰
'huo'yan'dou'peng 火焰斗篷
'huo'yan'fei'xing 火焰飞行
'huo'yan'feng'bao 火焰风暴
'huo'yan'qi'xi 火焰气息
'huo'yao'shou'tao 火药手套
'ji'ban 羁绊
'ji'ben'fa'ze'duan'zao 基本法则锻造
'ji'chu'fen'lei 基础分类
'ji'chu'gong'ji'jian'ge 基础攻击间隔
'ji'chu'ji'neng 基础技能
'ji'chu'shu'xing 基础属性
