'a'kai'xiu'li'zhuang'bei 阿凯修理装备
'di'jie 迪杰
'di'li'fa'dong 地力发动
'di'qiu'lian'bang'wen'zhang 地球联邦纹章
'dian'jiang'huo'jian'pao 电浆火箭炮
'ding'dun 钉盾
'dui'jian'dao 对舰刀
'dui'jian'huo'shen'pao 对舰火神炮
'dui'kong'mi'jia'li'zi'pao 对空米加粒子炮
'dui'kong'xian'dan 对空霰弹
'dui'zhan'pin'dao 对战频道
'dun'fei'dan 盾飞弹
'duo'ge'huo'jian'tong 多格火箭筒
'fang'yu'shang'sheng 防御上升
'fang'yu'zhi'hui 防御指挥
'fei'dan'cang 飞弹舱
'fei'dan'fa'she'cang 飞弹发射舱
'fei'dan'fa'she'qi 飞弹发射器
'fei'dan'fa'she'qi'zhuang'bei 飞弹发射器装备
'fei'xing'shi'yan'xing'lao'hu 飞行试验型老虎
'fen'nu'gong'niu'wen'zhang 愤怒公牛纹章
'feng'che'gan'da 风车敢达
'feng'che'hui'xuan'biao 风车回旋标
'feng'che'yi'hui'zhuan'gong'ji 风车翼回转攻击
'fu'bu'guang'shu'pao 腹部光束炮
'fu'guan 副官
'fu'jia'ran'liao'cao 附加燃料槽
'fu'lie'wei'xiang'neng'yuan'pao 复列位相能源炮
'gai'liang'xing'yong'shi 改良型勇士
'gai'xiu'xing'yong'shi 改修型勇士
'gan'da 敢达
'gan'da'da'shi 敢达大师
'gang'jia'nong 钢加农
'gang'jia'nong'dao'dan'fa'she'jia 钢加农导弹发射荚
'gang'tan'ke 钢坦克
'gang'zhao'hui'zhuan'gong'ji 钢爪回转攻击
'gao'chu'li 高出力
'gao'ji'dong'xing'jin 高机动型金
'gao'ji'fu'wu'qi 高级服务器
'gao'neng'guang'shu'bu'qiang 高能光束步枪
'gao'neng'guang'su'bu'qiang 高能光速步枪
'gao'neng'mi'jia'fa'she'qi 高能米加发射器
'gao'neng'mi'jia'li'zi'pao 高能米加粒子炮
'gao'neng'shou'shu'huo'xian'bu'qiang 高能收束火线步枪
'gao'zha'gu 高扎古
'gao'zha'gu'guang'shu'bu'qiang'zhuang 高扎古光束步枪装
'gao'zha'ke 高扎克
'gao'zha'ke'te'zhuang'xing 高扎克特装型
'gao'zha'wen'zhang'zhuang'xing 高渣纹章装型
'gao'zhan'xie 高战蟹
'ge'dou'zhao 格斗爪
'ge'shi'ni 葛士尼
'gong'dun'xi'tong 攻盾系统
'gong'dun'xi'tong'san'jiao'long'gai 攻盾系统三角龙改
'gong'hui'da'ting 公会大厅
'gong'hui'zhan'fu'wu'qi 公会战服务器
'gong'ji'li'shang'sheng 攻击力上升
'gou'wu'zhong'xin 购物中心
'guang'shu'bu'qiang 光束步枪
'guang'shu'bu'qiang'di'chu'li 光束步枪低出力
'guang'shu'bu'qiang'gao'chu'li 光束步枪高出力
'guang'shu'bu'qiang'zhuang 光束步枪装
'guang'shu'bu'qiang'zhuang'bei 光束步枪装备
'guang'shu'chang'dao'zhuang'bei 光束长刀装备
'guang'shu'duan'dai 光束缎带
'guang'shu'hu'la'quan 光束呼啦圈
'guang'shu'hui'xuan'biao 光束回旋标
'guang'shu'huo'jian'pao 光束火箭炮
'guang'shu'ji'qiang 光束机枪
'guang'shu'jia'nong 光束加农
'guang'shu'jia'nong'pao 光束加农炮
'guang'shu'jian 光束箭
'guang'shu'jian'dao'liu 光束剑刀流
'guang'shu'jian'zhuang 光束剑装
'guang'shu'jun'dao 光束军刀
'guang'shu'jun'dao'dao'liu 光束军刀刀流
'guang'shu'jun'dao'hui'zhuan'zhan 光束军刀回转斩
'guang'shu'jun'dao'zhuang 光束军刀装
'guang'shu'pao 光束炮
'guang'shu'pen'qiang 光束喷枪
'guang'shu'qiang 光束枪
'guang'shu'su'she'pao 光束速射炮
'guang'shu'ti'dao 光束薙刀
'guang'shu'ti'dao'tu'ji 光束薙刀突击
'guang'shu'ti'dao'zhuang 光束薙刀装
'guang'shu'wang 光束网
'guang'su'bu'qiang 光速步枪
'guang'su'huo'jian'pao 光速火箭炮
'gui'ba 龟霸
'guo'wang'zhi'ren 国王之刃
'ha'ma'ha'ma 哈玛哈玛
'hai'jun'lu'zhan'dui'yong'yong'shi 海军陆战队用勇士
'hai'she'bian 海蛇鞭
'hai'yao'mo'shou 海妖魔兽
'han'dai'ji'mu 寒带吉姆
'han'leng'di'dai'shi'yang'ji'mu 寒冷地带式样吉姆
'han'leng'di'dai'zhuan'yong'ji'mu 寒冷地带专用吉姆
'han'ma'han'ma 悍马悍马
'han'mo'la'bi 罕默拉比
'han'mu'la'bi 汉木拉比
'hei'se 黑色
'hong'yi'duan 红异端
'huang'pai'ji'shi 黄牌机师
'huang'yi'duan 黄异端
'hui'se 灰色
'huo'jian'dan'fa'she'qi 火箭弹发射器
'huo'jian'jia'nong'pao 火箭加农炮
'huo'jian'tui'jin'mao 火箭推进锚
'huo'shen'pao 火神炮
'huo'zhi'sheng'tai'dao 祸之生太刀
'ji'dong'li'shang'sheng 机动力上升
'ji'en'gong'guo'wen'zhang 基恩公国纹章
'ji'en'hao 吉恩号
'ji'mu 吉姆
'ji'mu'bu'qiang 吉姆步枪
'ji'mu'jia'nong 吉姆加农
'ji'mu'ju'ji'te'zhuang'xing 吉姆狙击特装型
'ji'mu'te'zhuang'xing 吉姆特装型
'ji'mu'zhen'bao'xing 吉姆镇暴型
'ji'mu'zhi'hui'xing 吉姆指挥型
'ji'mu'zhi'hui'xing'yu'zhou'yong 吉姆指挥型宇宙用
'ji'xie'bi'gong'ji 机械臂攻击
'jia'er'ba'di 加尔巴帝
'jia'jia 贾贾
'jia'te'lin'dun 加特林盾
'jia'te'lin'ji'qiang 加特林机枪
'jian'bu'jia'nong 肩部加农
'jian'dao'da'bu 剪刀打布
'jian'dao'da'jian'dao 剪刀打剪刀
'jian'dao'da'quan'tou 剪刀打拳头
'jian'dao'di'ya'si 剪刀迪亚斯
'jian'dao'ji 剪刀机
'jian'zhuang'qiang'xi'gan'da 剑装强袭敢达
'jiao'bu'zhao'ge'dou 脚部爪格斗
'jin'en 金恩
'jin'en'gao'ji'dong'xing 金恩高机动型
'jin'lian'dao'dan'jia'zhuang 金联导弹荚装
'jin'shu'pao'guang'ji 金属抛光剂
'jing'bao'fan 京宝樊
'jing'mi'ju'ji 精密狙击
'jing'shen'gan'ying'gan'da 精神感应敢达
'jing'shen'li'gan'da 精神力敢达
'jiu'you'wang 久游网
'ju'ji'xing'ji'mu 狙击型吉姆
'ju'ji'xing'yong'shi 狙击型勇士
'ju'ji'yong'bu'qiang 狙击用步枪
'ju'ji'yong'guang'shu'bu'qiang 狙击用光束步枪
'ju'xing'di'ya'si'hei 巨型迪亚斯黑
'ju'xing'huo'jian'tong'zhuang 巨型火箭筒装
'jue'dou'gan'da 决斗敢达
'jue'dou'gan'da'qiang'xi'shi'zhuang 决斗敢达强袭尸装
'jue'dou'gan'da'shi'zhuang 决斗敢达尸装
'kong'zhan'qiang'xi'gan'da 空战强袭敢达
'kong'zhan'zhuang'qiang'xi'gan'da 空战装强袭敢达
'kuo'san'mi'jia'li'zi'pao 扩散米加粒子炮
'la'kou 拉寇
'lan'se'ming'yun 蓝色命运
'lan'se'ming'yun'hao'ji 蓝色命运号机
'lan'yi'duan 蓝异端
'lan'yi'duan'gai 蓝异端改
'lan'zi'se 蓝紫色
'lao'hu 老虎
'lao'hu'shi'fei'xing 老虎试飞型
'lao'hu'te'zhuang'xing 老虎特装型
'lei'she'zhong'zhan'dao 雷射重斩刀
'li'ao'di'shang'xing 里奥地上型
'li'ao'yu'zhou'xing 里奥宇宙型
'li'ke'da'mo 力克大魔
'li'ke'di'ya'si 力克迪亚斯
'lian'bang'shi'yang 联邦式样
'lian'zhuang'ci'gui'pao 连装磁轨炮
'lian'zhuang'fei'dan'cang 连装飞弹舱
'lian'zhuang'fei'dan'fa'she'qi 连装飞弹发射器
'lian'zhuang'guang'shu'bu'qiang 连装光束步枪
'lian'zhuang'guang'shu'jun'dao 连装光束军刀
'lian'zhuang'guang'shu'pao 连装光束炮
'lian'zhuang'guang'shu'zhao 连装光束爪
'lian'zhuang'jia'nong 连装加农
'lian'zhuang'jia'te'lin'pao 连装加特林炮
'lian'zhuang'pen'she'fei'dan 连装喷射飞弹
'lian'zhuang'shou'bu'guang'shu'pao 连装手部光束炮
'lian'zhuang'zhi'pao 连装指炮
'liang'chan'xing'ka'bi'ni 量产型卡碧尼
'liu'xing'chui'zhuang 流星锤装
'lu'wei'jie'lu 露维杰露
'lu'zhan'gan'da 陆战敢达
'lu'zhan'xing'gan'da 陆战型敢达
'lu'zhan'xing'gan'da'she'ji'tu 陆战型敢达设计图
'lu'zhan'xing'ji'mu 陆战型吉姆
'lu'zhan'zha'mu 陆战扎姆
'ma'la'sai 马拉赛
'ma'zhe'la'pao 马哲拉炮
'ma'zhe'la'pao'zhuang'bei 马哲拉炮装备
'ma'zhe'lan'pao 马哲兰炮
'mai'ta'si 麦塔斯
'mao'biao 矛标
'mi'da'mo'guang'shu'jian'zhuang 米大魔光束剑装
'mi'jia'li'zi'pao 米加粒子炮
'mi'jia'li'zi'pao'nei'cang'dun 米加粒子炮内藏盾
'mo'xie 魔蟹
'neng'yuan'mai'chong 能源脉冲
'nian'jiao'dan 黏胶弹
'niu'dan'shang'cheng 扭蛋商城
'nuo'bei'er'gan'da 诺贝尔敢达
'pao'ji'guan'zhuang'bei 炮击管装备
'pao'ren 炮刃
'pao'zhan'qiang'xi'gan'da 炮战强袭敢达
'pao'zhuang'qiang'xi 炮装强袭
'pao'zhuang'qiang'xi'gan'da 炮装强袭敢达
'pen'she'fei'dan'fa'she'qi 喷射飞弹发射器
'pen'she'xing'fei'dan'zhuang 喷射型飞弹装
'pen'she'xing'fei'dan'zhuang'bei 喷射型飞弹装备
'po'huai'zhe'shou'lei 破坏者手雷
'po'jia'zhe 破甲者
'qi'shi'wen'zhang 骑士纹章
'qiang'duo'gan'da 强夺敢达
'qiang'hua'xing'ji'mu 强化型吉姆
'qiang'jian'xing'guang'shu'bu'qiang 枪剑型光束步枪
'qiang'xi'duan'jian 强袭短剑
'qiang'xi'gan'da 强袭敢达
'qiang'xi'gao'da 强袭高达
'qiang'xi'ren 强袭刃
'qie'huan'pin'dao 切换频道
'quan'tou'da'bu 拳头打布
'quan'tou'da'jian'dao 拳头打剪刀
'quan'tou'da'quan'tou 拳头打拳头
'quan'tou'ji 拳头机
'quan'zhuang'jia'gan'da 全装甲敢达
'quan'zhuang'shi'yang 全装式样
're'dai'xing'da'mo 热带型大魔
're'neng'bian 热能鞭
're'neng'fu 热能斧
're'neng'jian 热能剑
're'neng'jun'dao 热能军刀
're'neng'jun'dao'dao'liu 热能军刀刀流
'ren'wu'pin'dao 任务频道
'ren'yu'gan'da 人鱼敢达
'ri'sheng'gan'da 日升敢达
'ruo'bei'er'gan'da 若贝尔敢达
'san'cha'ji'guang'shu 三叉戟光束
'san'dan'huo'jian'tong'zhuang 散弹火箭筒装
'sha'mo'zhan'shi'yang 沙漠战式样
'shan'guang 闪光
'shan'guang'gan'da 闪光敢达
'shan'guang'gan'da'chao'ji'mo'shi 闪光敢达超级模式
'shan'guang'she'ji 闪光射击
'she'ji'tu 设计图
'shen'long'gan'da 神龙敢达
'shen'zhan'xing'fang'dian'qi 伸展型放电器
'sheng'dun'gan'da 圣盾敢达
'sheng'wu'tan'ce'qi'qi'dong'shi 生物探测器启动时
'shi'fei'xing 试飞型
'shou'hao'ji'di 守好基地
'shu'lian'de'you'qi'bing 熟练的游骑兵
'shuai'dao 甩刀
'shuang'chong'huo'jian'pao 双重火箭炮
'shuang'guang'shu'zuo'lun 双光束左轮
'shuang'huo'jian'pao 双火箭炮
'shuang'huo'jian'pao'zhuang'bei 双火箭炮装备
'shuang'huo'jian'tong'zhuang 双火箭筒装
'shuang'jia'chong 双甲虫
'si'shen'gan'da 死神敢达
'si'wang'jing'sai 死亡竞赛
'si'xing'tai 死刑台
'tai'yang'zhi'du'nei'bu 太阳之都内部
'te'huo'zhong'li'zi'pao 特火重粒子炮
'te'she'ji'di 特射基地
'te'zhuang'ju'ji'xing'ji'mu 特装狙击型吉姆
'te'zhuang'xing 特装型
'te'zhuang'xing'gao'zha'gu 特装型高扎古
'te'zhuang'xing'ji'mu 特装型吉姆
'te'zhuang'xing'lao'hu 特装型老虎
'ti'tan'si 提坦斯
'ti'tan'si'shi'yang 提坦斯式样
'ti'tan'si'wen'zhang 提坦斯纹章
'tie'ao 铁奥
'tie'bi'fang'shou 铁壁防守
'tie'jia'zhan'che 铁甲战车
'tie'qiu'xiu'li'zhuang'bei 铁球修理装备
'tie'zhan'che 铁战车
'tong'xun'zhi'hui 通讯指挥
'tou'bu'zhuang'ji 头部撞击
'tu'huang 土黄
'tu'ji'zhi'hui 突击指挥
'tu'zhuang 涂装
'tui'jin'li'shang'sheng 推进力上升
'tui'jin'li'xia'jiang 推进力下降
'wan'mei'gan'da 完美敢达
'wan'mei'ji'en'hao 完美吉恩号
'wo'de'fang'jian 我的房间
'wo'lai'dui'fu'ta 我来对付它
'wu'hou'zuo'pao 无后坐炮
'xi'gu 西古
'xi'gu 希古
'xi'gu'shen'du'wu'zhuang 西古深度武装
'xian'she'xing'huo'jian'pao 霰射型火箭炮
'xian'she'xing'huo'jian'pao'xian'dan 霰射型火箭炮霰弹
'xian'she'xing'huo'jian'pao'zhuang'bei 霰射型火箭炮装备
'xiang'yi'xing'qiang'xi'gan'da 翔翼型强袭敢达
'xiang'zhuan'yi'zhuang'jia 相转移装甲
'xiao'xing'guang'shu'pao 小型光束炮
'xin'ren'lei'jue'xing 新人类觉醒
'xin'shou'qian'dai 新手钱袋
'xiong'bu'di'ya'si'hong 胸部迪亚斯红
'xiong'bu'fei'dan 胸部飞弹
'xiong'bu'kuo'san'guang'shu 胸部扩散光束
'xiong'bu'kuo'san'guang'shu'pao 胸部扩散光束炮
'xun'lei'gan'da 迅雷敢达
'xun'lian'fu'wu'qi 训练服务器
'yao'bu'guang'shu'pao 腰部光束炮
'yi'duan 异端
'yi'duan'duan 异端端
'yi'duan'gan'da 异端敢达
'yi'duan'gan'da'hong'se'ji 异端敢达红色机
'yi'duan'gan'da'jin'se'ji 异端敢达金色机
'yi'duan'gan'da'jin'se'ji'tian 异端敢达金色机天
'yi'duan'gan'da'lan'se'ji 异端敢达蓝色机
'yi'duan'hong 异端红
'yi'duan'lan 异端蓝
'yi'duan'lan'gai 异端蓝改
'yi'duan'xiu'li'zhuang'bei 异端修理装备
'yi'fu'dao'qiang'gai 依夫刀枪改
'yi'fu'mai'chong'gai 伊夫脉冲改
'yi'fu'mai'chong'gai 伊弗脉冲改
'yin'zhi'wan'guang'shu'jian 隐之腕光束剑
'yong'shi 勇士
'yong'shi'gan'da 勇士敢达
'yong'shi'lie'bing 勇士猎兵
'you'gu'shi'yang 幽谷式样
'you'xi'da'ting 游戏大厅
'you'zhi'liang'can'xiang 有质量残像
'yu'zhou'zhan'shi'yang 宇宙战式样
'zai'e'da'mo 灾厄大魔
'zai'e'duan'gai 灾厄端改
'zai'e'gan'da 灾厄敢达
'zang'qing 藏青
'zha'di'ban 炸地板
'zha'duan 扎端
'zha'gu'gai 扎古改
'zha'gu'gai'liang'xing 扎古改良型
'zha'gu'huo'jian'pao 扎古火箭炮
'zha'gu'ji'qiang 扎古机枪
'zha'gu'ji'qiang'gai'liang'xing 扎古机枪改良型
'zha'gu'ma'jie'la'pao'zhuang 扎古马杰拉炮装
'zha'gu'zhi'hui'guan'yong 扎古指挥官用
'zha'mei'er 扎美尔
'zha'mei'lu 扎梅鲁
'zhan'dou'zhuan'jia 战斗专家
'zhan'shu'wu'zhuang 战术武装
'zhen'bao'xing'ji'mu 镇暴型吉姆
'zheng'yi'gan'da 正义敢达
'zhi'hui'guan'ji 指挥官机
'zhi'hui'guan'yong 指挥官用
'zhi'hui'guan'yong'ji'mu 指挥官用吉姆
'zhi'min'wei'xing'can'hai 殖民卫星残骸
'zhi'zhu'zhi'chao'wen'zhang 蜘蛛之巢纹章
'zhong'tu'ji'ji'pao 重突击机炮
'zhong'tu'ji'ji'qiang 重突击机枪
'zhong'zhan'dao 重斩刀
'zhong'zhan'dao'qiang'jian 重斩刀枪剑
'zhong'zhan'jian 重斩舰
'zhong'zhan'jian'qiang'dao 重斩舰抢刀
'zhu'huang'se 朱黄色
'zhuang'tian'shang'sheng 装填上升
'zi'dong'huo'shen'pao 自动火神炮
'zi'sa 兹萨
'zi'sa 滋萨
'zi'shen'lao'bing 资深老兵
'zi'you'gan'da 自由敢达
'zui'zhong'zhan'shi'yang 最终战式样
'zuo'nuo 佐诺
'zuo'ying'you'shu 左赢右输
