'a'bei'ye 阿贝耶
'ka'ta'ni'ya 卡塔尼亚
'ka'tuo'li'ka 卡托利卡
'ka'wa'lue 卡瓦略
'ka'xi'er 卡希尔
'ka'xi'li'ya'si 卡西利亚斯
'kai'er 凯尔
'kai'er'te'ren 凯尔特人
'kai'pu'dun 开普敦
'kai'sai'li'si'pu 凯塞里斯普
'kai'wen'bo'a'teng 凯文博阿滕
'kai'ze'si'lao'teng 凯泽斯劳滕
'kan'sa'si'cheng'qi'cai 堪萨斯城奇才
'kan'te'bo'lei'lian 坎特伯雷联
'ke'bu'lun'ci 科布伦茨
'ke'la'ke 克拉克
'ke'la'luo'fu 科拉罗夫
'ke'la'pu'han'mu 克拉普汉姆
'ke'la'xi'qi 克拉西奇
'ke'lai'bo'sen 克莱伯森
'ke'lai'men'te'luo'de'li'ge'si 克莱门特罗德里格斯
'ke'lao'de'lu'pu 克劳德鲁普
'ke'lao'qi 克劳奇
'ke'lei'mo'er 克雷摩尔
'ke'li'si'di 克里斯蒂
'ke'li'si'di'an'bao'er'sen 克里斯蒂安鲍尔森
'ke'li'si'di'an'ni'di'li'luo'ma'li'ke 克里斯蒂安尼蒂里罗马里克
'ke'li'si'di'an'sen 克里斯蒂安森
'ke'li'si'di'tuo 克里斯蒂托
'ke'li'si'tuo'duo'luo'pu'luo'si 克里斯托多罗普洛斯
'ke'li'xi 克里希
'ke'long 科隆
'ke'long'jing'ji 科隆竞技
'ke'lu'sai'luo 克鲁塞罗
'ke'luo'ke'luo 科洛科洛
'ke'luo'si 克罗斯
'ke'luo'tu'lei 科洛图雷
'ke'luo'ze 克洛泽
'ke'nan 柯南
'ke'nei'er'sa'la'te 科内尔萨拉特
'ke'pei'er 科佩尔
'ke'sang'xi 克桑西
'ke'te'di'wa'dui 科特迪瓦队
'ke'wei'er 科威尔
'ke'xi'mi'li'ya'nuo'pei'lei'la 克西米利亚诺佩雷拉
'ke'ya'er 克亚尔
'kong'te'lei'la'si 孔特雷拉斯
'ku'nei 库内
'ku'yi'te 库伊特
'ku'zi'ma'nuo'wei'qi 库兹马诺维奇
'kua'li'ya'lei'la 夸利亚雷拉
'kui'luo'si 奎罗斯
'la'cen 拉岑
'la'duo'si'la'fu'sa'ba'fu'ni'ke 拉多斯拉夫萨巴夫尼克
'la'ge'bei'ke 拉格贝克
'la'ke'lu'ni'ya 拉科鲁尼亚
'la'li'sa 拉里萨
'la'meng'nu'nie'si 拉蒙努涅斯
'la'mi'lei'si 拉米雷斯
'la'mo'si 拉莫斯
'la'mu 拉姆
'la'pu'la'ta'da'xue'sheng 拉普拉塔大学生
'la'qi'ao 拉齐奥
'la'si'ya'ge'bu'sen 拉斯雅各布森
'la'zuo'wei'qi 拉佐维奇
'lai'ang 莱昂
'lai'ao'ni 莱奥尼
'lai'de'li'jin 莱德利金
'lai'fa'ao'wei 莱法奥维
'lai'qie 莱切
'lai'te'fei'li'pu'si 赖特菲利普斯
'lan'pa'de 兰帕德
'lang'dui 狼队
'le'fu 勒夫
'le'gang 勒冈
'le'teng'si'bao 勒滕斯堡
'le'wo'ku'sen 勒沃库森
'lei'de 雷德
'lei'ding 雷丁
'lei'en 雷恩
'lei'en'ke'er'xin 雷恩科尔辛
'lei'ji'na 雷吉纳
'lei'li'ya 雷利亚
'lei'na 雷纳
'lei'na'er'duo'lu'ai'da 雷纳尔多鲁埃达
'lei'te'huo'luo'ya'ni 雷特霍洛雅尼
'lei'wei'ye 雷维耶
'li'ang 里昂
'li'bei'li 里贝里
'li'bo'ta'de 利伯塔德
'li'cha'de'jia'xi'ya 理查德加西亚
'li'cheng'lie 李承烈
'li'dong'guo 李东国
'li'er 里尔
'li'ge'bei'er'song 里格贝尔宋
'li'gen'hao 李根浩
'li'guang'chuan 李光川
'li'guang'xue 李光学
'li'jun'ri 李俊日
'li'ka'duo'ka'na'lai'si 里卡多卡纳莱斯
'li'ka'duo'ke'si'ta 里卡多科斯塔
'li'ming'guo 李明国
'li'ming'shui 鲤明水
'li'pi 里皮
'li'qing'long 李青龙
'li'si'ben'jing'ji 里斯本竞技
'li'si'wei'lian'mu'si 里斯威廉姆斯
'li'wei'luo'si 里维罗斯
'li'wu'pu 利物浦
'li'xi'si'tai'na 利希斯泰纳
'li'yun'zai 李云在
'li'zhe'min 李哲民
'li'zheng'xiu 李正秀
'lie'de'sen 列德森
'lie'nong 列侬
'liu'lang'zhe 流浪者
'lu'ka'si'ni'er 卢卡斯尼尔
'lu'ka'wei'na 鲁卡维纳
'lu'ke'wei'er'ke'xi'er 卢克威尔克希尔
'lu'ke'wei'qi 卢科维奇
'lu'ni 鲁尼
'lu'sai'en 卢塞恩
'lu'te'dan'si'ba'da 鹿特丹斯巴达
'lu'xi'ao 卢西奥
'lu'yi'si'ao 路易斯奥
'lu'yi'si'su'ya'lei'si 路易斯苏亚雷斯
'lue'lun'te 略伦特
'lun'si 伦斯
'luo'ben 罗本
'luo'bi'ni'ao 罗比尼奥
'luo'bo'te'ke'lun 罗伯特科伦
'luo'bo'te'wei'te'ke 罗伯特维特克
'luo'de'li'ge'si 罗德里格斯
'luo'fu'tuo'si'wa'si'wei'er'de'qiu'chang 洛夫托斯瓦斯维尔德球场
'luo'ke'lun 洛克伦
'luo'lan'duo 罗兰多
'luo'li'ang 洛里昂
'luo'li'si 洛里斯
'luo'mei'da'er 罗梅达尔
'luo'mei'luo 罗梅罗
'luo'qi'hai'de 罗奇海德
'luo'sen'bo'ge 罗森博格
'luo'shan'ji 洛杉矶
'luo'si'tuo'fu 罗斯托夫
'lv'dian'qiu'chang 绿点球场
'ma'de'la'guo'min 马德拉国民
'ma'de'lei'de 马德雷德
'ma'de'li'jing'ji 马德里竞技
'ma'di'pu 马蒂普
'ma'ding'ka'sai'lei'si 马丁卡塞雷斯
'ma'ding'pei'te'la'si 马丁佩特拉斯
'ma'ding'si 马丁斯
'ma'ding'si'ke'te'er 马丁斯科特尔
'ma'ding'xi'er'wa 马丁席尔瓦
'ma'ding'ya'ku'bu'ke 马丁雅库布科
'ma'er'ji'xi'ao 马尔基西奥
'ma'er'ke'su'le'er 马尔科苏勒尔
'ma'jia'li'weng 马加利翁
'ma'jing 马竞
'ma'ka'bi'nei'tan'ya 马卡比内坦亚
'ma'ke'bu'lei'xi'ya'nuo 马克布雷西亚诺
'ma'ke'gang'sa'lei'si 马克冈萨雷斯
'ma'ke'mi'li'gan 马克米利甘
'ma'ke'shi'wa'ze 马克施瓦泽
'ma'ke'si 马克斯
'ma'ke'si 马科斯
'ma'ke'xi'luo'de'li'ge'si 马克西罗德里格斯
'ma'ku'en 马库恩
'ma'la'jia 马拉加
'ma'lai'sa'si 马莱萨斯
'ma'lei'ke'ha'mu'xi'ke 马雷克哈姆西克
'ma'lei'ke'qie'he 马雷克切赫
'ma'li'bo'er 马里博尔
'ma'li'nuo'si 马里诺斯
'ma'lin 马林
'ma'lu'da 马卢达
'ma'luo'ka 马洛卡
'ma'qiao 马乔
'ma'qie'di 马切蒂
'ma'qie'na 马切纳
'ma'sai 马赛
'ma'si'qie'la'nuo 马斯切拉诺
'ma'ta 马塔
'ma'ta'fu'zi 马塔夫兹
'ma'tai'sen 马泰森
'ma'te'mo'er 马特莫尔
'ma'te'yi'ma'fu'li'qi 马特伊马夫里奇
'ma'xi'lai'la 马西莱拉
'mai'de'lin'du'li 麦德林独立
'mai'ka'xi 麦卡锡
'mai'ke'er'bi'wu'kan'pu 迈克尔比乌坎普
'mai'ke'ge'lin'qie 麦克格林切
'mai'kong 麦孔
'man'cheng 曼城
'man'dan'da 曼丹达
'man'de'la'hai'wan'qiu'chang 曼德拉海湾球场
'man'di'ke 曼迪克
'man'lian 曼联
'man'nuo'la'si 曼诺拉斯
'man'su'li 曼苏里
'man'tuo'wa 曼托瓦
