'bao'chi'shui'tu 保持水土
'lin'fen'qi'yuan 林分起源
'lin'guan 林冠
'lin'guan'xia'zao'lin 林冠下造林
'lin'hai 林海
'lin'ling 林龄
'lin'mu 林木
'lin'mu'cai'chan'chu'zhi'quan 林木财产处置权
'lin'mu'cai'fa'ruo'gan'gui'ding 林木采伐若干规定
'lin'mu'mi'du 林木密度
'lin'mu'quan'shu 林木权属
'lin'mu'suo'you'zhe 林木所有者
'lin'quan'deng'ji'fa'zheng'zhi'du 林权登记发证制度
'lin'quan'liu'zhuan 林权流转
'lin'quan'zheng 林权证
'lin'quan'zheng'shu'he'fa 林权证书核发
'lin'xiang 林相
'lin'ye 林业
'lin'ye'bu 林业部
'lin'ye'bu'bu'zhang 林业部部长
'lin'ye'chan'ye'hua 林业产业化
'lin'ye'fa'zhan 林业发展
'lin'ye'ju'ju'zhang 林业局局长
'lin'ye'lin'ye'ji'chu'zhi'shi 林业林业基础知识
'lin'ye'zhuan'ye'shu'yu 林业专业术语
'lu'sheng'ye'sheng'dong'wu'bao'hu'shi'shi'tiao'li 陆生野生动物保护实施条例
'luan'kan'dao'fa 乱砍盗伐
'lun'fa'qi 轮伐期
'lv'hua'cheng'ji 绿化成绩
'lv'hua'mian'ji 绿化面积
'lv'hua'qu'yu 绿化区域
'lv'hua'sha'di 绿化沙地
'lv'hua'xian'jin'dan'wei 绿化先进单位
'lv'hua'xian'jin'gong'zuo'zhe 绿化先进工作者
'lv'hua'yun'dong 绿化运动
'lv'hua'zu'guo 绿化祖国
'mei'hua'huan'jing 美化环境
'miao'pu 苗圃
'mu'cai'gong'ye 木材工业
'mu'cai'lin 木材林
'mu'cai'xiao'hao 木材消耗
'mu'cai'zi'yuan 木材资源
'mu'cao'jian'shao 牧草减少
'nian'lun 年轮
'nong'cun'lin'di'cheng'bao'jing'ying'quan 农村林地承包经营权
'pei'yu'qiang'jian'shu'miao 培育强健树苗
'pei'yu'shu'miao 培育树苗
'pei'yu'shu'mu'xin'pin'zhong 培育树木新品种
'ping'yuan'lv'hua'gong'cheng 平原绿化工程
'ping'zheng'cai'fa 凭证采伐
'po'du 坡度
'po'xiang 坡向
'qi'hou'e'lie 气候恶劣
'qiao'mu 乔木
'qu'pi'cai'ji 去皮材积
'quan'guo'lv'hua'yun'dong 全国绿化运动
'quan'guo'yi'wu'zhi'shu'yun'dong 全国义务植树运动
'que'yu 缺雨
'ren'gong'bo'zhong 人工播种
'ren'gong'lin 人工林
'ren'gong'lin'yu'shui'fen 人工林与水分
'ren'gong'lin'zu'cheng 人工林组成
'ren'gong'shang'pin'lin 人工商品林
'ren'gong'you'lin 人工幼林
'ren'gong'zao'lin 人工造林
'ren'jun'sen'lin'mian'ji'zhan'you'liang 人均森林面积占有量
'ren'zao'ban 人造板
'san'bei'fang'hu'lin 三北防护林
'san'lei'diao'cha 三类调查
'sen'lin 森林
'sen'lin'chu'bei 森林储备
'sen'lin'fa 森林法
'sen'lin'fa'shi'shi'tiao'li 森林法实施条例
'sen'lin'fang'huo 森林防火
'sen'lin'fang'huo'tiao'li 森林防火条例
'sen'lin'fu'gai 森林覆盖
'sen'lin'fu'gai'lv 森林覆盖率
'sen'lin'fu'yu 森林抚育
'sen'lin'gong'ye 森林工业
'sen'lin'huo'zai 森林火灾
'sen'lin'lian'xu'qing'cha 森林连续清查
'sen'lin'qi'hou 森林气候
'sen'lin'tu'rang 森林土壤
'sen'lin'wang 森林网
'sen'lin'yong'xu'li'yong'li'lun 森林永续利用理论
'sen'lin'zi'yuan 森林资源
'sen'lin'zi'yuan'qing'cha 森林资源清查
'sen'lin'zi'yuan'xin'xi'guan'li 森林资源信息管理
'sen'lin'zi'yuan'yong'xu'zai'sheng'xing 森林资源永续再生性
'sha'qiu'de'tui'jin 沙丘的推进
'sha'zi'dui'cheng'shan 沙子堆成山
'shang'pin'cai 商品材
'shang'pin'lin 商品林
'she'hui'xiao'yi 社会效益
'sheng'tai'bao'hu 生态保护
'sheng'tai'gong'yi'lin 生态公益林
'sheng'tai'huan'jing'e'hua 生态环境恶化
'sheng'tai'xiao'yi 生态效益
'sheng'zhang'liang 生长量
'shu'gan 树干
'shu'gan'tong'zhi 树干通直
'shu'gao 树高
'shu'guan 树冠
'shu'hai 鼠害
'shu'ling 树龄
'shu'mi'du 疏密度
'shu'mu 树木
'shu'mu'ku'si 树木枯死
'shui'tu'bao'chi 水土保持
'shui'tu'liu'shi 水土流失
'shui'yuan'han'yang'lin 水源涵养林
'si'liao'cao'de'sheng'chan 饲料草的生产
'si'zhi 四至
'su'sheng'feng'chan'lin 速生丰产林
'ti'gong'da'liang'mu'cai 提供大量木材
'ti'gong'si'liao'yu'ran'liao 提供饲料与燃料
'tian'ran'cao'yuan 天然草原
'tian'ran'geng'xin 天然更新
'tian'ran'lin 天然林
'tiao'jie'qi'hou 调节气候
'tiao'jie'qi'hou 调解气候
'tou'zi'lin'ye 投资林业
'tu'rang'liu'shi 土壤流失
'tu'shan'pi'lv'zhuang 秃山披绿装
'tui'geng'huan'lin 退耕还林
'wei'hu'lin'qu'wen'ding 维护林区稳定
'wu'lin'qu 无林区
'xi'mu'gong'ban 细木工板
'xi'shou'er'yang'hua'tan'fang'chu'yang'qi 吸收二氧化碳放出氧气
'xian'ji'yi'shang'di'guang'ge'ji'ren'min'zheng'fu 县级以上地广各级人民政府
'xian'wei'ban 纤维板
'xiang'jiao'shu 橡胶树
'xiang'jiao'yuan 橡胶园
'xin'cai 薪材
'xin'lv'di'qu 新绿地区
'xin'tan'lin 薪炭林
'xing'cheng'mi'lin 形成密林
'xiong'jing 胸径
'xu'ji'liang 蓄积量
'xuan'liang'zhong 选良种
'xuan'yu'liang'zhong 选育良种
'xue'du 削度
'ye'sheng'dong'wu 野生动物
'ye'sheng'dong'wu'bao'hu'fa 野生动物保护法
'yi'dong'sha'qiu 移动沙丘
'yi'lei'diao'cha 一类调查
'yi'yuan'cai'ji'biao 一元材积表
'yi'yuan'li'mu'cai'ji'biao 一元立木材积表
'yong'lai'fang'mu'zhong'cao'de'ren'gong'mu'chang 用来放牧种草的人工牧场
'you'liao'lin 油料林
'yu'bi'du 郁闭度
'yu'miao'hu'lin 育苗护林
'yuan'mu 原木
'yuan'shi'lin 原始林
'yuan'shi'sen'lin 原始森林
'yuan'tiao 原条
'zai'tu'shan'shang'zhi'shu 在秃山上植树
'zao'lin'di 造林地
'zao'lin'gong'cheng 造林工程
'zao'lin'mi'du 造林密度
'zao'lin'tai'zhang 造林台帐
'zao'shou'he'qi'ta 遭受和其它
'zhen'kuo'hun'jiao'lin 针阔混交林
'zhen'ye'lin 针叶林
'zhi'bei'mian'ji'zeng'jia'le 植被面积增加了
'zhi'jiang'lin 纸浆林
'zhi'shu 植树
'zhi'shu'jie 植树节
'zhi'shu'ri 植树日
'zhi'shu'zhong'cao 植树种草
'zhi'shu'zhou 植树周
'zhi'wu'yuan 植物园
'zhong'guo'da'cao'yuan 中国大草原
'zhong'guo'lv'hua'ji'jin'hui 中国绿化基金会
'zhu'fa'nian'ling 主伐年龄
'zhu'gan 主干
'zhu'hang'ju 株行距
'zhu'ju 株距
'zhu'lin'dai 主林带
'zu'zhi'sha'qiu'qian'jin 阻止沙丘前进
'zu'zhi'zhi'shu 组织植树
