'a'ka'bo'tang 阿卡波糖
'ben'hai'la'ming 苯海拉明
'ben'huang'suan'an'lv'di'ping 苯磺酸氨氯地平
'ben'huang'suan'an'lv'di'ping'luo'huo'xi 苯磺酸氨氯地平洛活喜
'ben'huang'suan'an'lv'di'ping'luo'huo'xi 苯磺酸氨氯地平络活喜
'beng'ru 泵入
'beng'ru'ling'yi'tong'dao 泵入另一通道
'beng'ru'nong'du 泵入浓度
'bi'nuo'ke'xin'di'yan'ye 吡诺克辛滴眼液
'bi'qin'xian'an 吡嗪酰胺
'bi'rou'bi'xing 吡柔比星
'bi'yao'shi 必要时
'bie'gan'chun 憋肝醇
'bie'piao'chun 别嘌醇
'bing'an'suan'gu'an'xian'an 丙氨酸谷氨酰胺
'bing'an'suan'na 丙氨酸钠
'bing'an'xian'gu'an'xian'an 丙氨酰谷氨酰胺
'bing'bo'fen'zhu'she'ye 丙泊酚注射液
'bing'liu'yang'mi'ding 丙硫氧嘧啶
'bing'wei 病危
'bing'wu'suan'na 丙戊酸钠
'bing'wu'suan'na'ji 丙戊酸钠剂
'bo'li'wei 波利维
'bo'san'xing'yong'liang'xing'mei'su'lian'he'fu'kang'zuo 播散性用两性霉素联合氟康唑
'bo'yi'ding 波依定
'bu'ying'zai'gei 不应再给
'bu'zheng'chang'zhi'liang'zhi'nei'xian'gei'er'fen'zhi'yi 补正常值量值内先给二分之一
'cha'yu 搽浴
'chang'chun'xin'jian 长春新碱
'chang'gui'chong'zu'ren'yi'dao'su 常规重组人胰岛素
'chang'nei'ying'yang'ru 场内营养乳
'chang'yong'ying'yang'dai'pei'zhi 常用营养袋配置
'chang'yong'zhi'xue'yao'wu 常用止血药物
'chong'guan 冲管
'chong'zu'ren'bai'xi'bao'jie'su 重组人白细胞介素
'chong'zu'ren'cu'hong'xi'bao'sheng'cheng'su 重组人促红细胞生成素
'chong'zu'ren'xi'bao'ji'luo'ci'ji'yin'zi'zhu'she'ye 重组人细胞击落刺激因子注射液
'chong'zu'ren'xue'xiao'ban'sheng'cheng'su'zhu'she'ye 重组人血小板生成素注射液
'chuang'sui'nan 床岁男
'chui'ti'ye'su 垂体叶素
'ci'ci 次次
'ci'yue 次月
'cu'jin'bai'xi'bao'zeng'gao'zeng'qiang'mian'yi'li 促进白细胞增高增强免疫力
'cu'suan'ao'qu'tai 醋酸奥曲肽
'cu'suan'po'ni'song 醋酸泼尼松
'cu'xing 促醒
'da'fu'kang 大扶康
'da'fu'kang 大氟康
'da'yu 大于
'da'yu'san'xiao'shi 大于三小时
'dai'kuan'fa'fang'sa 贷款发放撒
'dai'suan'wu'xu'bu'jian 代酸无需补碱
'dai'suan'zhi'liao 代酸治疗
'dan'bai'zhi'han'dan 蛋白质含氮
'dan'hong'su 胆红素
'dan'kai'chu'fang 单开处方
'dan'shen'tong 丹参酮
'dan'xiao'suan'yi'shan'li'zhi 单硝酸异山梨酯
'dan'xiao'suan'yi'shan'li'zhi'huan'shi'jiao'nang 单硝酸异山梨酯缓释胶囊
'dan'zhuan'huan'cheng'dan'bai'zhi'xiao'hao 氮转换成蛋白质消耗
'de'neng'liang 的能量
'de'zhi'fang'ru'xiang'dang'yu'de'neng'liang 的脂肪乳相当于的能量
'di'fen 滴分
'di'gao'xin 地高辛
'di'po'wo'wei 低坡卧位
'di'sai'mi'song 地塞米松
'di'sai'mi'song'lin'suan'na'zhu'she'ye 地塞米松磷酸钠注射液
'di'shen'xing'tuo'shui'bu'na 低渗性脱水补钠
'di'shen'xing'tuo'shui'bu'na'gong'shi 低渗性脱水补钠公式
'di'xi'pan'an'ding 地西泮安定
'di'yan'yong 滴眼用
'di'yi'xiao'shi'nei'bu 第一小时内补
'di'yu'sheng'bai 地榆升白
'dian'qie'he'ji 颠茄合剂
'dui'ru'suan'suan'zhong'du'de'gai'shan'ke'you'zuo'yong 对乳酸酸中毒的改善可有作用
'dui'shui'kou 兑水口
'dui'yi'xian'an'ji'fen'huan'shi 对乙酰氨基酚缓释
'duo'ba'an 多巴胺
'duo'ba'fen'ding'an 多巴酚丁胺
'duo'nian'jun'su 多粘菌素
'duo'pan'li'tong 多潘立酮
'duo'suo'cha'jian 哆嗦茶碱
'duo'suo'cha'jian 多索茶碱
'duo'wei'su 多维素
'duo'wei'su'fu'fang 多维素复方
'duo'xi'lin'zhi'xian'dan'jian 多稀磷脂酰胆碱
'duo'zhong'wei'liang'su'hao 多种微量素号
'e'bei'sha'tan 厄贝沙坦
'fan'shen'fang'ru'chuang'hu'li 翻身防褥疮护理
'fang'an 方案
'fang'an'chuang 方案床
'fang'an'liao'cheng 方案疗程
'fei'bai'se'nian'zhu'jun 非白色念珠菌
'fei'bao'zi'jun'gan'ran 肺孢子菌感染
'fei'gong'neng 肺功能
'fei'huan'zhe 非患者
'fei'li'ke'he'ji 肺力咳合剂
'fei'li'ke'jiao'nang'he'ji 肺力咳胶囊合剂
'fei'luo'bei'te 非洛贝特
'fei'luo'di'ping 非洛地平
'fei'luo'di'ping'bo'yi'ding 非洛地平波异丁
'fei'nao'he'ji 肺脑合剂
'fei'pao'guan'xi'ye'pu'ju'tang'ding 肺泡灌洗液葡聚糖定
'fei'pao'guan'xi'ye'xi'jun'pei'yang 肺泡灌洗液细菌培养
'fei'pao'guan'xi'ye'ye'zhen'jun'pei'yang 肺泡灌洗液液真菌培养
'fei'yin'qiu'jun 肺隐球菌
'fen'huang'yi'an 酚磺乙胺
'fen'tai'ni 芬太尼
'fen'tuo'la'ming 酚妥拉明
'fen'zhong'da'xin'dian'tu 分钟打心电图
'fen'zhong'da'xin'dian'tu'liao'jie'xin'lv 分钟打心电图了解心率
'fu'da'la'bin 氟达拉宾
'fu'fa'an'lin'ba'bi'tuo 复发氨淋巴比托
'fu'fang 复方
'fu'fang'an'ji'suan 复方氨基酸
'fu'fang'an'lin'ba'bi'tuo 复方氨林巴比妥
'fu'fang'dan'shen'di'wan 复方丹参滴丸
'fu'fang'ke'dai'yin'kou'yao 复方可待因口药
'fu'fang'ke'dai'yin'kou'ye 复方可待因口液
'fu'fang'lv'zuo'sha'zong 复方氯唑沙腙
'fu'fang'tong'suan 复方酮酸
'fu'fang'wei'sheng'su 复方维生素
'fu'fang'yi'bing'tuo'xiu'an 复方异丙托溴胺
'fu'fang'yi'bing'tuo'xiu'an 复方异丙托溴铵
'fu'he 负荷
'fu'he'fu'mei 复合辅酶
'fu'kang'zuo 氟康唑
'fu'kang'zuo'liao'cheng'wei 氟康唑疗程为
'fu'kang'zuo'zhu'she'ye 氟康唑注射液
'fu'kang'zuo'zhu'she'ye'da'fu'kang 氟康唑注射液大扶康
'fu'li'kang'zuo 伏立康唑
'fu'mei 辅酶
'fu'sai'mi 呋噻米
'fu'ta'lin 扶他林
'fu'xin'pu'li 福辛普利
'gai'wei 改为
'gan'lu'chun 甘露醇
'gan'lu'ju'tang'tai 甘露聚糖肽
'gan'shen'dan'wei 肝肾单位
'gan'su 肝素
'gan'xian'an'lei 甘酰胺类
'gan'xing'nao'bing 肝性脑病
'gan'you'guo'tang 甘油果糖
'gao'san'jian'shan'zhi'jian 高三尖杉酯碱
'gao'shen'xing'tuo'shui'bu'shui'liang 高渗性脱水补水量
'gao'yong'ta'ting'lei 高用他汀类
'ge'lie'ben'niao 格列本脲
'ge'lie'qi'niao 格列齐脲
'ge'lie'qi'te'huan'shi 格列齐特缓释
'ge'lie'qi'te'huan'shi 格列奇特缓释
'geng'xi'luo'wei 更昔洛韦
'gou'yan'suan'mo'sha'bi'li'jiao'nang 枸盐酸莫沙比利胶囊
'gu'chuan'fei 骨穿费
'gu'chuan'fei'yong'bian'ma 骨穿费用编码
'gu'hua'san'chun 骨化三醇
'gu'tai 骨肽
'guan'mai 冠脉
'guan'xi'yong 灌洗用
'hai'kun'shen'xi 海坤肾喜
'hai'kun'shen'xi'jiao'nang 海崑肾喜胶囊
'hao'qi'guan'cha'guan'yi'gen 号气管插管一根
'hong'chu'fang 红处方
'hu'po'suan'mei'tuo'luo'er 琥珀酸美托洛尔
'huan'bing'sha'xing 环丙沙星
'huan'lin'xian'an 环磷酰胺
'huan'yuan'xing'gu'guang'gan'tai 还原性谷胱甘肽
'huang'kui'jiao'nang 黄葵胶囊
'hui'yin'bu'chong'xi 会阴部冲洗
'ji'gan 肌酐
'ji'jiu'che'bei'yao 急救车备药
'ji'ke'bu'jian 即可补碱
'ji'liang 极量
'ji'lu'chu'ru'liang 记录出入量
'ji'su'huan'yong'biao 激素换用表
'ji'yong'ke'yi'di'wan 急用可以滴完
'ji'yong'ke'yu'yi'jing'di 急用可予以静滴
'jia'an'die'ling 甲氨蝶呤
'jia'bo'ni'suan'hu'po'song'long 甲泊尼酸琥珀松龙
'jia'gu'an 甲钴胺
'jia'gu'an'dong'gan'fen'zhu'she'ye 甲钴胺冻干粉注射液
'jia'liu'mi'zuo 甲硫咪唑
'jia'mei'he'ji 钾镁合剂
'jia'po'ni'long 甲泼尼龙
'jia'po'ni'long'jia'qiang'long 甲泼尼龙甲强龙
'jia'qiang'long 加强龙
'jia'qiang'long'jia'po'ni'long'hu'po'suan'na 甲强龙甲泼尼龙琥珀酸钠
'jia'ru'ying'yang'dai 加入营养袋
'jia'xiao'zuo 甲硝唑
'jia'yang'lv'pu'an 甲氧氯普胺
'jian'ban 减半
'jian'ban'ji 减半即
'jian'duan'jia'bi'niao'guan 间断夹闭尿管
'jian'duan'wei'chang'jian'ya 间断胃肠减压
'jiang'di'dan'gu'chun'yong'pu'li'lei 降低胆固醇用普利类
'jiang'di'gan'you'san'zhi 降低甘油三酯
'jiang'yu'jing'xin'xi'bao'ben'ji'gou'yi'wu'ren'yuan 将预警信息报本机构医务人员
'jie'he'chang'yong'yao'wu'yi'zhu 结核常用药物医嘱
'jin'shuang'qi'huo'jun 金双歧活菌
'jin'shui'bao 金水宝
'jing'dan'bai'sheng'wu'he'cheng'ren'yi'dao'su 精蛋白生物合成人胰岛素
'jing'di 静滴
'jing'mai'beng'ru 静脉泵入
'jing'mai'beng'ru'yao'wu'pei'wu 静脉泵入药物配伍
'jing'qi'guan'cha'guan'chu'jie'hu'xi'ji'fu'zhu'tong'qi 经气管插管处接呼吸机辅助通气
'jing'qi'qie'chu'jie'hu'xi'ji'fu'zhu'hu'xi 经气切处接呼吸机辅助呼吸
'jing'yi'lei'chu'fang'chang'yong'yao 精一类处方常用药
'jiu'shi'suan'mei'tuo'luo'er 酒石酸美托洛尔
'ju'ma'xia'chuang'pang'xian'jing'jian'cha 局麻下床旁纤镜检查
'ju'shen'zhi'tiao'su 据神志调速
'ju'shen'zhi'tiao'su 据神智调速
'ju'yao'min'jie'guo 据药敏结果
'ju'yi'er'an'fen 聚乙二胺粉
'ju'yi'er'chun'fen 聚乙二醇粉
'ka'bo'fen'jing 卡泊芬净
'ka'ma'xi'ping 卡马西平
'ka'tuo'pu'li 卡托普利
'ka'xie 咯血
'kai'sai'lu'shan'li'chun 开塞露山梨醇
'kang'zhen'jun'yao 抗真菌药
'ke'chan'sheng're'liang 可产生热量
'ke'ke'jiao'nang 克咳胶囊
'ke'tiao'zui'gao 可调最高
'ku'shen'su 苦参素
'lei'ni'ti'ding 雷尼替丁
'li'duo'ka'yin 利多卡因
'li'duo'ka'yin'ju'bu'nian'mo'ma'zui'yong 利多卡因局部粘膜麻醉用
'li'fu'ping 利福平
'li'ji 立即
'li'pu'tuo 立普妥
'li'zhi'xue 立止血
'li'zhi'xue'xue'ning'mei 立止血血凝酶
'lian'an'ji'suan 链氨基酸
'liang'na'zheng'chang'na'nan'nv'xiao'hai 量钠正常钠男女小孩
'liang'xing'mei'su 两性霉素
'liang'zhi'nv'nan 量值女男
'liao'cheng 疗程
'lie'di'er 列地尔
'lie'di'er'zhu'she'ye 列地尔注射液
'lin'shi 临时
'ling'yi'tong'dao 另一通道
'liu'dan'huang'an'bi'ding 柳氮磺胺吡啶
'liu'dan'huang'bi'ding 柳氮磺吡啶
'liu'pu'luo'ning 硫普罗宁
'liu'pu'luo'ning'zhen 硫普罗宁针
'liu'su'rong'liang'qu'xian 流速容量曲线
'liu'suan'lv'bi'ge'lei 硫酸氯吡格雷
'liu'suan'mei 硫酸镁
'liu'suan'ya'tie'ye'suan 硫酸亚铁叶酸
'liu'suan'yu'jing'dan'bai 硫酸鱼精蛋白
'liu'tang'lv'hun'xuan'ye 硫糖铝混悬液
'liu'wei'an'xiao'jiao'nang 六味安消胶囊
'liu'zhi'yin'shi 流质饮食
'lu'gai'ke 路盖克
'luo'ding'xin 洛丁新
'luo'huo'xi 络活喜
'luo'pai'ding'an'yi'meng'ting 洛哌丁胺易蒙停
'lv'hua'jia'huan'shi 氯化钾缓释
'lv'tan'suan'mei 铝碳酸镁
'ma'ding'lin 吗丁啉
'ma'ti'mai'kao'fen'zhi 吗替麦考酚酯
'man'lin'fang'an 慢淋方案
'mei'gong'jin'ti'zhong 每公斤体重
'mei'luo'hua 美罗华
'mei'luo'pei'nan 美罗培南
'mei'ri'zui'da'ji'liang'xiao'yu 每日最大剂量小于
'mei'si'na 美司钠
'mei'si'na'zhen 美司钠针
'mei'yue'yong'yi'ci 每月用一次
'men'dong'xian'an 门冬酰胺
'meng'lu'si'te 孟鲁斯特
'meng'tuo'shi'san 蒙脱石散
'mie'jun'zhu'she'qi'yi'fu 灭菌注射器一付
'mo'sha'bi'li 莫沙比利
'mo'xi'sha'xing 莫西沙星
'mo'xi'sha'xing'bai'fu'le 莫西沙星拜复乐
'mo'xi'sha'xing'duo'bu'yong'yu'dian'xian'huan'zhe 莫西沙星多不用于癫痫患者
'na'luo'tong 纳洛酮
'na'luo'tong'dui'xun'huan'zhong'you'sheng'ya'zuo'yong 纳洛酮对循环中有升压作用
'nao'dan'bai'shui'jie'wu 脑蛋白水解物
'nao'ji'ye'chang'gui 脑脊液常规
'nei'ke'chang'yong'chang'qi'yi'zhu 内科常用长期医嘱
'neng'li'he'ji 能力合剂
'neng'liang 能量
'neng'liang'he'ji 能量合剂
'ni'ke'sha'mi 尼可刹米
'ni'ke'sha'mi'zhu'she'ye 尼可刹米注射液
'ni'mo'di'ping'zhu'she'ye 尼莫地平注射液
'nian'ling 年龄
'niao'suan'gao'di'shen'shuai 尿酸高低肾衰
'niao'tong'niao'tang'shi'yan 尿酮尿糖试验
'ning'xue'mei 凝血酶
'nong'hong'han'pei'xue'xing 浓红含配血型
'pan'tuo'la'zuo 泮托拉唑
'pan'tuo'la'zuo 潘托拉唑
'pei'duo'pu'li 培哚普利
'peng'ti'zuo'mi 硼替佐米
'peng'ti'zuo'mi'wan'ke 硼替佐米万珂
'pi'zhi'chun 皮质醇
'po'ni'long 泼尼龙
'po'ni'song 泼尼松
'pu'fa'ta'ting 普伐他汀
'pu'tao'tang'suan'gai 葡萄糖酸钙
'pu'tong'yi'dao'su 普通胰岛素
'qi'beng 起泵
'qi'beng'ju'xue'ya'tiao'su 起泵据血压调速
'qi'dan 气氮
'qi'dan'ke'chan're'neng 气氮可产热能
'qi'dian'chuang 气垫床
'qi'guan'cha'guan'yi'zhu 气管插管医嘱
'qi'guan'qie'kai'hu'li 气管切开护理
'qi'guan'shu'zhang'shi'yan 气管舒张试验
'qiang'ben'huang'suan'gai'jiao'nang 强苯磺酸钙胶囊
'qiang'di'song 强的松
'qiao'nei'zhu'she 桥内注射
'qin'xi'xing'fei'qu'mei'jun 侵袭性肺曲霉菌
'qing'du'yong'fu'kang'zuo 轻度用氟康唑
'qing'hua'ke'di'song'bu'jing'guo'gan'zang'dai'xie 氢化可的松不经过肝脏代谢
'qing'hua'ke'di'song'ke'de 氢化可的松可的
'qing'hua'pi'zhi'tong 氢化皮质酮
'qing'ke'di'song 氢可的松
'qu'jia'shen'shang'xian'su 去甲肾上腺素
'qu'jia'wan'gu'mei'su 去甲万古霉素
'qu'ma'duo 曲马多
'qu'mei'ta'qin 曲美他嗪
'qu'yi'xian'mao'hua'gan'zhu'she'ye 去乙酰毛花苷注射液
'qu'yi'xian'mao'hua'gan'zhu'she'ye'xi'di'lan 去乙酰毛花苷注射液西地兰
're'dan'bi 热氮比
're'lin'qing 热林清
're'zhi'bi 热脂比
'ren'xue'bai'dan'bai 人血白蛋白
'reng'bu'neng'wei'chi'yu'yi 仍不能维持予以
'ru'gan'shen'yong'xu'yong'yu'jing'dan'bai'zhong'he 如肝肾用需用鱼精蛋白中和
'rui'ge'lie'nai 瑞格列奈
'rui'shu'fa'ta'ting 瑞舒伐他汀
'ruo'hui'sheng'zhi 若回升至
'sai'tuo'xiu'an'fen'xi'ru'ji 赛托溴铵粉吸入剂
'sai'tuo'xiu'an'fen'xi'ru'ji 噻托溴铵粉吸入剂
'san'cha'shen'jing'tong 三叉神经痛
'san'gao'yi'di'yi'shuai 三高一低一衰
'sha'ding'an'chun 沙丁胺醇
'sha'li'du'an 沙利度胺
'sha'li'du'an'fan'ying'ting 沙利度胺反应停
'sha'mei'te'luo'ti'ka'song'fen'xi'ru'ji 沙美特罗替卡松粉吸入剂
'shan'ning 善宁
'shen'bing'zong'he'zheng 肾病综合症
'shen'gong'neng'bu'quan'shi'suan'zhong'du 肾功能不全时酸中毒
'shen'jing'ke'yong'yao 神经科用药
'shen'jing'nei'ke'nei'xian 神经内科内线
'shen'kang 肾康
'shen'mai'zhu'she'ye 参麦注射液
'shen'nei'ke'chang'yong'yi'zhu 肾内科常用医嘱
'shen'shang'xian'se'zong 肾上腺色棕
'shen'shang'xian'zong'an'luo'xue 肾上腺腙安络血
'shen'shuai'ning 肾衰宁
'shen'shuai'ning'jiao'nang 肾衰宁胶囊
'shen'yan'shu 肾炎舒
'shen'zhong'yong'yao 慎重用药
'sheng'bai'xi'bao'yao'wu 升白细胞药物
'sheng'bai'xi'bao'zeng'qiang'mian'yi 升白细胞增强免疫
'sheng'tong'ping 圣通平
'sheng'zhang'yi'su 生长抑素
'shi'yan 试验
'shi'yan'pu'ju'tang'shi'yan 试验葡聚糖试验
'shi'zhi'ti'zhong 实值体重
'shou'ci 首次
'shou'ji 首剂
'shou'ji'jia 首剂加
'shou'ji'jia'bei 首剂加倍
'shou'ji'yi 首剂以
'shou'suo'ya 收缩压
'shou'suo'ya'de'wei'shu'zhang'ya 收缩压的为舒张压
'shou'xuan'fu'fang'xin'nuo'ming 首选复方新诺明
'shou'xuan'liang'xing'mei'su 首选两性霉素
'shu'kou'yong 漱口用
'shu'mian'jiao'nang 舒眠胶囊
'shu'shen'jing'sheng'zhang'yin'zi 鼠神经生长因子
'shu'ye'da'yu 输液大于
'shuang'lv'fen'suan'er'yi'an'ru'jiao 双氯芬酸二乙胺乳胶
'shuang'lv'fen'suan'er'yi'an'ru'jiao'fu'ta'lin'ruan'gao 双氯酚酸二乙胺乳胶扶他林软膏
'shuang'lv'fen'suan'li'duo'ka'yin 双氯芬酸利多卡因
'shuang'lv'fen'suan'na'yan'suan'li'duo'ka'yin'zhu'she'ye 双氯芬酸钠盐酸利多卡因注射液
'shuang'qi'gan'jun'huo'jun 双歧杆菌活菌
'shui'rong'xing'wei'sheng'su 水溶性维生素
'shun'bo'zhu'she'ye 顺铂注射液
'si'dai'tou'bao 四代头孢
'si'fen'zhi'yi 四分之一
'sui'shi'xi'tan 随时吸痰
'tai'neng 泰能
'tan'ge'shi'ran'se 痰革氏染色
'tan'kang'suan 痰抗酸
'tan'qing'mei'xi'lei 碳青霉稀类
'tan'suan'qing'na'han'ge 碳酸氢钠含各
'tan'suan'qing'na'xiao'su'da 碳酸氢钠小苏打
'tan'xiong'shui'zhao'tuo'luo'xi'bao 痰胸水找脱落细胞
'tan'xue'yao'min 痰血药敏
'tan'zhen'jun 痰真菌
'tang'tai'lei 糖肽类
'te'bi'ao 特比澳
'ti'gao'mian'yi'li 提高免疫力
'ti'jia'huan'su 替加环素
'ti'kao'la'lin 替考拉林
'ti'kao'la'ning 替考拉宁
'ti'xu'shen'jing'mai'zhi'guan 提需深静脉置管
'tiao'su 调速
'tong'chang'kai'liang'zhong'ji'liang 通常开两种计量
'tong'qi'gong'neng 通气功能
'tou'bao'fu'xin'zhi 头孢呋辛酯
'tou'bao'ke'wo 头孢克肟
'tou'bao'ke'wo'shi'fu'su 头孢克肟世福素
'tou'bao'pai'tong'shu'ba'tan 头孢哌酮舒巴坦
'tou'bao'pai'tong'shu'ba'tan'na 头孢哌酮舒巴坦钠
'tou'bao'pai'tong'shu'ba'tan'shu'pu'sen 头孢哌酮舒巴坦舒普森
'tou'bao'pai'tong'ta'zuo'ba'tan 头孢哌酮他唑巴坦
'tou'bao'pai'tong'ta'zuo'ba'tan'na 头孢哌酮他唑巴坦钠
'tou'bao'pi'luo 头孢匹罗
'tou'bao'ta'ding 头孢他啶
'tou'bao'tou'bao'bi'wo 头孢头孢吡肟
'tui're 退热
'tuo'wan'si'wan 托烷司烷
'wai'fu'yong 外敷用
'wan'gu'mei'su 万古霉素
'wan'gu'mei'su'wei'zhu 万古霉素胃注
'wei'chi'xiao'shi'yi'shang 维持小时以上
'wei'ju'jue 维咀嚼
'wei'la'pa'mi 维拉帕米
'wei'mo'xing'chang'yan'zhi'liao 伪膜性肠炎治疗
'wei'sheng'su 维生素
'wei'tie'huan'shi 维铁缓释
'wei'zhong'bing'ren 危重病人
'wei'zhong'bing'ren'chang'wai'ying'yang'shi'gong'ji'liang'wei 危重病人肠外营养时供给量为
'wei'zhu 胃注
'wen'kai'shui'rong'jie'kou 温开水溶解口
'wen'shui'rong'jie'kou 温水溶解口
'wu'chuang'xin'pai'jian 无创心排监
'wu'hua'xi'ru 雾化吸入
'wu'jun'zhu'she'qi'yi'fu 无菌注射器一副
'wu'jun'zhu'she'qi'yi'fu 无菌注射器一幅
'wu'jun'zhu'she'yong'shui 无菌注射用水
'wu'jun'zhu'she'yong'shui'hu'xi'ji'shi'hua'yong 无菌注射用水呼吸机湿化用
'wu'jun'zhu'she'yong'shui'shi'hua'qi'dao 无菌注射用水湿化气道
'wu'jun'zhu'she'yong'shui'xi'shi 无菌注射用水稀释
'wu'jun'zhu'she'yong'shui'xi'tan'yong 无菌注射用水吸痰用
'wu'si'ta'ding 乌司他丁
'wu'si'ta'ding'wan 乌司他丁万
'xi'bao'ji'luo'ci'ji'sheng'zhang'yin'zi 细胞集落刺激生长因子
'xi'bi'tai'kou'qiang'hu'li 洗必泰口腔护理
'xi'di'lan 西地兰
'xi'shi'kou 稀释口
'xi'shi'zhi'qu 稀释至取
'xian'jing'chang'yong'yi'zhu 纤镜常用医嘱
'xian'jing'fei'pao'guan'xi 纤镜肺泡灌洗
'xian'jing'shuang'fei'jian'cha 纤镜双肺检查
'xian'jing'shuang'fei'xi'tan 纤镜双肺吸痰
'xian'tui'di 先推滴
'xiang'dang'yu 相当于
'xiang'dang'yu'ju 相当于据
'xiang'dang'yu'qi'dan 相当于气氮
'xiao'ben'di'ping 硝苯地平
'xiao'ben'di'ping'huan'shi 硝苯地平缓释
'xiao'ben'di'ping'kong'shi 硝苯地平控释
'xiao'chuan'huan'zhe'shen'yong 哮喘患者慎用
'xiao'er'xue'ya 小儿血压
'xiao'hua'dao'chu'xie 消化道出血
'xiao'pu'na 硝普钠
'xiao'suan'gan'you 硝酸甘油
'xiao'suan'yi'shan'li'zhi 硝酸异山梨酯
'xie'sha'tan'jiao'nang 缬沙坦胶囊
'xin'dian'jian'hu 心电监护
'xin'fa'ta'ding 辛伐他丁
'xin'fa'ta'ting 辛伐他汀
'xin'ji'shou'suo'li 心急收缩力
'xin'pai'liang'zhi'shu 心排量指数
'xin'shi'shuai'xia'jiang'yu'yi 心室率下降予以
'xin'tong'ding 心痛定
'xin'xue'guan'chang'yong'yao'wu 心血管常用药物
'xing'nao'he'ji 醒脑合剂
'xing'nao'he'ji'fei'nao'he'ji 醒脑合剂肺脑合剂
'xing'nao'jing 醒脑静
'xing'nao'jing'zhu'she'ye 醒脑静注射液
'xiong'shui'chang'gui 胸水常规
'xiu'ke'shou'xuan'qu'jia'shen'shang'xian'su 休克首选去甲肾上腺素
'xu'guan'zhi'liao 序贯治疗
'xu'li'ji'bu'jian 需立即补碱
'xu'shen'jing'mai'zhi'guan 需深静脉置管
'xue'bi'jing 血必净
'xue'guan'shou'suo 血管收缩
'xue'niao'an'jiao'nang 血尿安胶囊
'xue'ning'mei 血凝酶
'xue'shuan'tong 血栓通
'xue'tang'yu'de'huan'suan 血糖与的换算
'xue'ya'gao'wu'niao 血压高无尿
'xue'ye'ke'chang'yong'yao'wu 血液科常用药物
'xun'huan'shuai'jie'shou'xuan'qu'jia'shen'shang'xian'su 循环衰竭首选去甲肾上腺素
'ya'an'pei'nan 亚胺培南
'ya'ye'suan'gai 亚叶酸钙
'yan'ke'nei'xian 眼科内线
'yan'suan'a'tuo'pin'zhu'she'yong 盐酸阿托品注射用
'yan'suan'an'dian'tong 盐酸胺碘酮
'yan'suan'an'dian'tong'zhu'she'ye 盐酸胺碘酮注射液
'yan'suan'an'xiu'suo 盐酸安溴索
'yan'suan'an'xiu'suo 盐酸氨溴索
'yan'suan'an'xiu'suo'fen'san 盐酸氨溴索分散
'yan'suan'bei'na'pu'li 盐酸贝纳普利
'yan'suan'bei'na'pu'li'luo'ding'xin 盐酸贝纳普利洛丁新
'yan'suan'duo'ba'an'zhu'she'ye 盐酸多巴胺注射液
