'an'hei 暗黑
'bing'cheng'xiang'lian 冰城项链
'bing'chuan'yu'nv 冰川玉女
'bing'chuan'zhan'shi 冰川战士
'bing'chuan'zhi'zi 冰川之子
'bing'dong'zhi'shi 冰冻之矢
'bing'dun 冰盾
'bing'feng'gu'dao 冰封古道
'bing'gu'man'jiang 冰骨蛮将
'bing'jia'yao 冰甲妖
'bing'ning 冰凝
'bing'ning'zhi'shi 冰凝之石
'bing'qing'lun 冰青轮
'bing'shang 兵殇
'bing'shang'yuan'ling 兵殇怨灵
'bing'shang'yuan'ling'shou'ling 兵殇怨灵首领
'bing'xin'wan 冰心丸
'bing'xue'zhi'wang 冰雪之王
'bo'gu'guan 博古冠
'bo'ming 搏命
'bo're 般若
'bo're'xin'jing 般若心经
'bo'xue'zhe 博学者
'bo'xue'zhe'yin'ji 博学者印记
'bu'er'han'shan 布尔罕山
'bu'fa'ku'xia'bai 布法裤下摆
'bu'fa'pao'yi'jin 布法袍衣襟
'bu'fa'shu'xie'di 布法术鞋底
'bu'feng'zhuo'ying'san 捕风捉影散
'bu'hu'wan'xiu'mian 布护腕绣面
'bu'ling'li'fan'tao 布灵力幡绦
'bu'po 不破
'bu'tian'jiao 补天胶
'bu'xi'zhou 不系舟
'bu'xiang'nang 布香囊
'cai'feng 裁缝
'cai'jiu 彩鹫
'cai'liao 材料
'cai'niao 菜鸟
'cai'yi 彩翼
'cai'yi'long'jiu 彩翼龙鹫
'can'gu 残骨
'can'jiang 参将
'can'mu 残木
'can'shan 残山
'can'si'gong'xian 蚕丝弓弦
'can'si'jiao'si 蚕丝绞丝
'can'si'lian'jie'huan 蚕丝连接环
'can'ti 残体
'can'ti'zhou 残体咒
'can'yi 残翼
'cang'feng'jian 藏锋剑
'cang'mang 苍茫
'cang'mang'zhi'shi 苍茫之石
'cang'xing'jian 藏星剑
'cao'yuan'lang'zhu 草原狼蛛
'cao'yuan'lang'zhu'wang 草原狼蛛王
'chai'ren 豺人
'chan'yi 蝉翼
'chan'yi'sha 蝉翼纱
'chang'bing 长兵
'chang'bing'jing'tong 长兵精通
'chang'dao'gui'jiang 长刀鬼将
'chang'gong 长弓
'chang'gong'shou 长弓手
'chang'man 长蛮
'chang'man'lou'luo 长蛮喽罗
'chang'man'tan'zi 长蛮探子
'chang'man'xian'feng 长蛮先锋
'chang'po'dao 长朴刀
'chang'qi'pao 长旗袍
'chang'shou 长首
'chang'shou'cai'jiu 长首彩鹫
'chao'ti 朝啼
'chao'ti'dao 朝啼岛
'chao'zong'fa'wang 朝宗法王
'chen'lun 沉沦
'chen'lun'ming'shou 沉沦冥兽
'chen'lun'zhi'yu 沉沦之羽
'chen'shui'long'que 沉水龙雀
'chen'shui'shou 沉水兽
'chen'xiang 沉香
'chen'xiang'wan 沉香丸
'chen'xing'jie 沉星戒
'cheng'bei 城北
'cheng'feng'zhui'yue'san 乘风追月散
'cheng'jie'zhe 惩戒者
'cheng'jie'zhe'yin'ji 惩戒者印记
'cheng'nan 城南
'cheng'sheng'wan'li'fu 乘胜万里伏
'cheng'xi 城西
'cheng'yu 橙玉
'cheng'zhan 城战
'cheng'zhan'guan'li'yuan 城战管理员
'chi'feng'zhan'chui 叱风战锤
'chi'gong 赤恭
'chi'gong'zhi'shi 赤恭之石
'chi'hou 斥侯
'chi'hu'yao 赤虎妖
'chi'hun 叱魂
'chi'hun'dan 赤魂丹
'chi'jin'xiang'lian 赤金项链
'chi'jin'yao'pei 赤金腰佩
'chi'lian 赤炼
'chi'lian'wang'she 赤练王蛇
'chi'lie'quan'tao 炽烈拳套
'chi'long 赤龙
'chi'long'fa'zhang 赤龙法杖
'chi'long'yao'pei 赤龙腰佩
'chi'man 齿蛮
'chi'ri 赤日
'chi'ri'niao 赤日鸟
'chi'ri'zhi'shi 赤日之石
'chi'se'fei'long 赤色飞龙
'chi'tian 炽天
'chi'tian'jie 炽天戒
'chi'xia 赤霞
'chi'xia'de'dao'fu 赤霞的道符
'chi'xue'dan 赤血丹
'chi'yan 赤焰
'chi'yan 赤眼
'chi'yan'chui 炽焰锤
'chi'yan'dan 赤焰丹
'chi'yan'zhi'shi 赤眼之石
'chi'you 蚩尤
'chi'you'zhan'jia 蚩尤战甲
'chi'you'zhi'shi 蚩尤之石
'chi'yu 赤玉
'chi'yu'zhi'shi 赤玉之石
'chi'yu'zhi'shi'ji 赤玉之石级
'chi'zha 叱咤
'chi'zha'wan'jia 叱咤腕甲
'chi'zha'xia'kai 叱咤下铠
'chi'zha'xie 叱咤鞋
'chi'zha'zhan'kai 叱咤战铠
'chong'tian'guan 冲天冠
'chong'wu 宠物
'chong'wu'guan'li'yuan 宠物管理员
'chou'nu 丑奴
'chou'nu'er 丑奴儿
'chu'ji 初级
'chu'ji'cui'huo'ji 初级淬火剂
'chu'ji'he'jin'gang 初级合金钢
'chu'ji'jiao'tan 初级焦炭
'chu'ji'qiang'hua'pi'ge 初级强化皮革
'chuan'fu 船夫
'chuan'shan'diao 穿山貂
'chuan'shan'diao'wang 穿山貂王
'chuan'shan'you'diao 穿山幼貂
'chuan'song'shi 传送师
'chuan'xin'hu 穿心湖
'chuan'yang'gong 穿杨弓
'chuan'yun 穿云
'chuan'yun'gong 穿云弓
'chuan'yun'hua'she 穿云化蛇
'chuan'zhang 船长
'chuan'zhang'hu'tui 船长护腿
'chuan'zhang'hu'wan 船长护腕
'chui'lei'hu 垂泪湖
'chui'yun'guan 吹云冠
'chun'qiu'dao 春秋刀
'chuo'yue 绰约
'chuo'yue'pi'feng 绰约披风
'ci'chui'tou'zhu'mu 磁锤头铸模
'ci'dao'feng'zhu'mu 磁刀锋铸模
'ci'fu'ren'zhu'mu 磁斧刃铸模
'ci'gu 刺骨
'ci'gu'zhi'di 刺骨之地
'ci'jian'ren'zhu'mu 磁剑刃铸模
'ci'jin'gang'chu'zhu'mu 磁金刚杵铸模
'ci'ke 刺客
'ci'qiu 刺球
'ci'wei 刺猬
'ci'yuan'yang'dao'zhu'mu 磁鸳鸯刀铸模
'ci'yuan'yang'jian'zhu'mu 磁鸳鸯剑铸模
'ci'zhi'huan'zhu'mu 磁指环铸模
'ci'zhu 刺猪
'ci'zhu'wang 刺猪王
'ci'zhu'yao'ren 刺猪妖人
'ci'zhu'yao'ren'wang 刺猪妖人王
'ci'zi'mu'chui'zhu'mu 磁子母锤铸模
'ci'zi'mu'fu'zhu'mu 磁子母斧铸模
'cong'lin 丛林
'cong'lin'zhi'zheng 丛林之证
'cu'bu 粗布
'cu'bu'jin 粗布巾
'cu'bu'xie'di 粗布鞋底
'cu'mu 粗木
'cu'mu'liao 粗木料
'cu'shi'fu 粗石斧
'cu'tong'quan'tao 粗铜拳套
'cu'xian 粗线
'cu'zhi'pi 粗制皮
'cui'fu 翠蚨
'cui'lv 翠绿
'cui'lv'zhi'shi 翠绿之石
'cui'tie'jian 淬铁剑
'cui'wei 翠微
'cui'wei'xiang'lian 翠微项链
'cui'yu 翠玉
'cun'cao'bu'sheng'wan 寸草不生丸
'cun'li 寸力
'da'dao 大盗
'da'dao'feng'yi'jian 大盗封一剑
'da'di'zhi'shi 大地之石
'da'du'du'xiong 大嘟嘟熊
'da'ji'shi 大祭师
'da'li'gui'wang 大力鬼王
'da'li'shen 大力神
'da'luo'xian'shi 大罗仙使
'da'mo'jian 达摩剑
'da'mo'zhi'chui 大漠之锤
'da'ping 大瓶
'da'ping'hai'ling'shui 大瓶还灵水
'da'ping'huo'xue'san 大瓶活血散
'da'ping'jin'chuang'yao 大瓶金创药
'da'ping'jiu'long'san 大瓶九龙散
'da'ping'jiu'yang'dan 大瓶九阳丹
'da'ping'shen'qi'wan 大瓶神气丸
'da'tie'chui 打铁锤
'da'tou'wa'wa'wan 大头娃娃丸
'da'tou'wan 大头丸
'da'xuan'feng 大旋风
'dai'zhe 待者
'dan'xin'jian 丹心剑
'dao'jian 刀剑
'dao'jian'jing'tong 刀剑精通
'dao'ke 刀客
'dao'lang 刀狼
'dao'li'dan 盗骊丹
'dao'ling'fu 道灵符
'dao'shan'huo'hai 刀山火海
'dao'yao'tu 捣药兔
'de'zhi'shui'jing 德之水精
'deng'gui'zhi'ke 灯鬼之壳
'deng'long'shan 灯笼山
'deng'yao 灯妖
'di'gui 地鬼
'di'gui'chi'hou 地鬼斥侯
'di'gui'gong'shou 地鬼弓手
'di'gui'kui'bing 地鬼溃兵
'di'gui'lie'shou 地鬼猎手
'di'gui'mi'tan 地鬼密探
'di'gui'shao'bing 地鬼哨兵
'di'gui'she'shou 地鬼射手
'di'gui'tao'bing 地鬼逃兵
'di'gui'xin'bing 地鬼新兵
'di'hun'dan 涤魂丹
'di'lie 地裂
'di'ling 地灵
'di'man'chui 帝蛮锤
'di'mian 地面
'di'sha 地煞
'di'shi'zhai 砥石寨
'di'tu 地图
'di'you'zhi 低油脂
'di'yu 地愚
'di'zang'wang 地藏王
'di'zang'wang'yin'ji 地藏王印记
'dian'gang'dao 点钢刀
'dian'gang'qiang 点钢枪
'diao'ling'jian 雕翎箭
'die'jing 蝶精
'die'lan 蝶兰
'die'lan'jing'ling 蝶兰精灵
'die'lan'yao'ling 蝶兰妖灵
'ding'guang'quan'tao 定光拳套
'ding'hai 定海
'ding'ling'fu 定灵符
'ding'ling'fu'zhong'ji 定灵符中级
'ding'ling'yu'pian 定灵玉片
'ding'shen 定神
'ding'shen 定身
'ding'shen'fu 定神符
'ding'yin 定音
'dong'ping 东屏
'dong'ping'zhen 东屏镇
'dong'wu'jiao 动物胶
'dong'wu'pi'mao 动物皮毛
'dong'xi 洞犀
'dong'xi'xiang'lian 洞犀项链
'dong'you'lan'gu 东幽兰谷
'dou'peng 斗篷
'du'du 嘟嘟
'du'du'xiong 嘟嘟熊
'du'ji'zhi'ci 妒嫉之刺
'du'jiao 独角
'du'jiao'tian'lang 独角天狼
'du'jiao'yu'zhui 独角玉坠
'du'jie 渡劫
'du'ling 毒灵
'du'mu'shao'ta 毒木哨塔
'du'mu'shou'hu 毒木守护
'du'nang 毒囊
'du'shan'pei 独山佩
'du'shang 毒殇
'du'shang'yuan'ling 毒殇怨灵
'du'shang'yuan'ling'shou'ling 毒殇怨灵首领
'du'she'yin'ji 毒蛇印记
'du'shen 渎神
'du'ya 毒牙
'du'ye 毒液
'du'zhu 毒蛛
'duan'bing'fu 短柄斧
'duan'chang 断肠
'duan'chang'gu 断肠蛊
'duan'chi'you'mao 短齿幼猫
'duan'gong'shan 断弓山
'duan'mu'zhang 短木杖
'duan'qiao 断桥
'duan'qiao'cun 断桥村
'duan'shou 断首
'duan'shou'jiang 断首将
'duan'shou'qi'bing 断首骑兵
'duan'shou'qi'bing'jiang'jun 断首骑兵将军
'duan'shou'qi'bing'shou'ling 断首骑兵首领
'duan'yan'zhan 断岩斩
'duan'yue 断岳
'duan'yue'sao 断岳扫
'dun'shi'zhong'wan 遁世重腕
'dun'zhua'you'mao 钝爪幼猫
'duo'cai 多彩
'duo'cai'pi'feng 多彩披风
'duo'gu 剁骨
'duo'gu'tu'fu 剁骨屠夫
'duo'ling'gui'wang 夺灵鬼王
'duo'ling'zhe 夺灵者
'duo'ling'zhe'yin'ji 夺灵者印记
'duo'ling'zhong'tui 堕灵重腿
'duo'luo'zhi'yu 堕落之羽
'duo'po 夺魄
'duo'po'ming'shi 夺魄冥狮
'duo'po'ren 夺魄刃
'duo'qing 多情
'duo'qing'jian 多情剑
'duo'shan 躲闪
'e'du 恶毒
'e'du'xing'shi 恶毒行尸
'e'gui'qian'shao 恶鬼前哨
'e'lang 恶狼
'e'lang'wang 恶狼王
'e'yun 厄运
'en'ai'hui 恩爱会
'er'bu'fa 而不发
'fa'fang 法防
'fa'guan 法冠
'fa'jian 法剑
'fa'kang 法抗
'fa'ku 法裤
'fa'lian 法链
'fa'lv 法履
'fa'mu'chang 伐木场
'fa'pao 法袍
'fa'shi 法师
'fa'shi'da'shi 法师大师
'fa'shu'di'kang 法术抵抗
'fa'wang 法王
'fa'wang'tou'shi 法王头饰
'fa'zhang 法杖
'fan'ge'xie 反戈蝎
'fan'nao'mo 烦恼魔
'fan'pu'guan 返璞冠
'fan'shi 矾石
'fan'tian 梵天
'fan'tian'hu'tui 梵天护腿
'fan'tian'jie 梵天戒
'fan'tian'mo'dao 梵天魔刀
'fan'tong 饭桶
'fan'tong'jiang'jun 饭桶将军
'fang'kong'sha 方孔纱
'fang'qing'zi 方青子
'fang'yu'qiang'hua 防御强化
'fang'zhou 方舟
'fei'cui'jie 翡翠戒
'fei'du 废都
'fei'hong 飞虹
'fei'hu 飞狐
'fei'hua'dun'ying 飞花遁影
'fei'lai'zhen 飞来镇
'fei'long 飞龙
'fei'long'qi'bing 飞龙骑兵
'fei'nu 飞奴
'fei'sha 飞沙
'fei'sha'shu 飞沙术
'fei'tian 飞天
'fei'tian'ming'fu 飞天冥蝠
'fei'tian'ming'hu 飞天冥虎
'fei'tian'niu'mo'wang 飞天牛魔王
'fei'tian'zhu 飞天猪
'fei'tou'man 飞头蛮
'fei'xian'jian 飞仙剑
'fei'xing 飞行
'fei'xing'jing'tong 飞行精通
'fei'ying'bao 飞鹰堡
'fei'ying'hu'wan 飞影护腕
'fen'guang'kui 分光盔
'fen'huo 坟火
'fen'mo 焚魔
'fen'nu'zhe 愤怒者
'fen'nu'zhe'yin'ji 愤怒者印记
'fen'ri 焚日
'fen'ri'zhong'wan 焚日重腕
'fen'tian 焚天
'fen'tian'jie 焚天戒
'fen'xin'zhi'di 焚心之地
'fen'yang'jie 奋扬戒
'feng'can 风餐
'feng'chi'tang 凤翅镗
'feng'chi'zhi'yi 风驰之翼
'feng'hou'ren 封喉刃
'feng'hua'shuang'jian 风花双剑
'feng'huang 凤凰
'feng'huang'yu'fei 凤凰于飞
'feng'huo 烽火
'feng'huo'lun 风火轮
'feng'juan'can'yun 风卷残云
'feng'mi 蜂蜜
'feng'mo'fan 疯魔幡
'feng'nian'shou 丰年兽
'feng'nu'xiang 风怒香
'feng'sha'zhi'wang 风沙之王
'feng'wei'gong'xian 凤尾弓弦
'feng'wei'jian 凤尾箭
'feng'wei'jiao'si 凤尾绞丝
'feng'wei'lian'jie'huan 凤尾连接环
'feng'xiang 凤翔
'feng'yu'fa'ku'xia'bai 凤羽法裤下摆
'feng'yu'fa'pao'yi'jin 凤羽法袍衣襟
'feng'yu'fa'shu'xie'di 凤羽法术鞋底
'feng'yu'hu'wan'xiu'mian 凤羽护腕绣面
'feng'yu'jin 风雨巾
'feng'yu'ling'li'fan'tao 凤羽灵力幡绦
'feng'yu'xiang'nang 凤羽香囊
'feng'yun 风云
'feng'zhen 蜂针
'feng'zhen'ci'wei 蜂针刺猬
'feng'zhi'tu'jing 丰之土精
'feng'zui'dao 凤嘴刀
'fo'gu 佛骨
'fo'gu'xiang'lian 佛骨项链
'fo'shou 佛手
'fu'chou'zhe 复仇者
'fu'chou'zhe'yin'ji 复仇者印记
'fu'chui 斧锤
'fu'chui'jing'tong 斧锤精通
'fu'di 伏地
'fu'du'xing'shi 腐毒行尸
'fu'hu 伏虎
'fu'hun'lv 缚魂履
'fu'huo 复活
'fu'huo'chong'wu 复活宠物
'fu'ling 芙苓
'fu'rong'ci 芙蓉刺
'fu'shuang 覆霜
'fu'shuang'mi'jing 覆霜秘境
'fu'wen'zhang 符文杖
'fu'yi 蝠翼
'fu'yi'man'niu 蝠翼蛮牛
'fu'you 浮游
'fu'you'lin'guang 浮游磷光
'fu'you'ming'guang 浮游冥光
'fu'you'ying'guang 浮游荧光
'fu'zhu 夫诸
'gan'shi'jiao'zhong 赶尸教众
'gang'jia'shan'mao 钢甲山猫
'gang'ya'shan'mao 钢牙山猫
'gang'yu'fen 刚玉粉
'gang'zhua'ren 钢爪刃
'gao'ao'zhi'ci 高傲之刺
'gao'ji 高级
'gao'ji'cui'huo'ji 高级淬火剂
'gao'ji'he'jin'gang 高级合金钢
'gao'ji'jiao'tan 高级焦炭
'gao'ji'mu'liao 高级木料
'gao'ji'qiang'hua'pi'ge 高级强化皮革
'gao'tan'gang 高炭钢
'gao'tan'gang 高碳钢
'gao'yuan'chi'man 高原齿蛮
'gao'yuan'long'zhi 高原龙蛭
'gao'yuan'xuan'gui 高原旋龟
'ge'bi'you'feng 戈壁幼蜂
'gong'jiang'yi'gu 工匠遗骨
'gong'nu 弓弩
'gong'nu'jing'tong 弓弩精通
'gong'shou 弓手
'gong'shou'can'gu 弓手残骨
'gong'sun 公孙
'gong'sun'jian'qi 公孙剑器
'gong'zhu'qun 公主裙
'gong'zhu'shang'yi 公主上衣
'gong'zhu'xie 公主鞋
'gong'zi'chang'chui 工字长锤
'gou'hun'pai 勾魂牌
'gou'mang 句芒
'gu'chang'cheng 古长城
'gu'du 古都
'gu'du'jie'zhi 古都戒指
'gu'feng'kou 古风口
'gu'jiang 骨将
'gu'jie'zhang 骨节杖
'gu'long 骨龙
'gu'long'qi'bing 骨龙骑兵
'gu'qiong 孤穹
'gu'shen'fu 固神符
'gu'shen'fu'chu'ji 固神符初级
'gu'shen'yu'pian 固神玉片
'gu'shi 骨矢
'gu'wu 鼓舞
'guai'ren 怪人
'guan'er'chui 贯耳锤
'guan'hai'fa 关海法
'guan'lan 观澜
'guan'lan'zhui'zi 观澜坠子
'guan'mang'chang'fu 贯芒长斧
'guan'zheng'quan'tao 贯征拳套
'guang'ming'shi 光明使
'guang'ren'fu 光刃符
'guang'ren'fu'gao'ji 光刃符高级
'guang'ren'yu'pian 光刃玉片
'guang'yi 光翼
'gui'chen'dao 归尘刀
'gui'fan 鬼幡
'gui'fan'hu'wan 鬼帆护腕
'gui'fan'jie 鬼帆戒
'gui'fan'qing'mao 鬼帆轻帽
'gui'fan'qing'wan 鬼帆轻腕
'gui'fan'xiang'lian 鬼帆项链
'gui'fan'yao'pei 鬼帆腰佩
'gui'fan'zhong'jia 鬼帆重甲
'gui'fu'hu'shen'fu 鬼扶护身符
'gui'fu'mo'li'fu 鬼扶魔力符
'gui'jiang 鬼将
'gui'ling 鬼灵
'gui'ling 龟灵
'gui'ling'hu'wan 龟灵护腕
'gui'ling'ku 龟灵裤
'gui'ling'lv 龟灵履
'gui'ling'pao 龟灵袍
'gui'ling'yao'shi 鬼灵腰饰
'gui'ming'fu'wen'pei 鬼冥符文佩
'gui'ming'jie'zhi 鬼冥戒指
'gui'ming'mi'fa'ku 鬼冥秘法裤
'gui'ming'xia'kai 鬼冥下铠
'gui'ming'xiang'lian 鬼冥项链
'gui'ming'zhong'jia 鬼冥重甲
'gui'ming'zhong'kui 鬼冥重盔
'gui'nu 鬼怒
'gui'ren'yi'gu 贵人遗骨
'gui'she 龟蛇
'gui'she'jing'wan 龟蛇静丸
'gui'shi 鬼士
'gui'shou'yao'pei 鬼兽腰佩
'gui'tou'dao 鬼头刀
'gui'wang 鬼王
'gui'wang'shi 鬼王使
'gui'wei'zhong'jia 鬼卫重甲
'gui'xiao'zhan'fu 鬼啸战斧
'gui'xin'fu 归心斧
'gui'xin'san 归心散
'gui'xiong 鬼雄
'gui'xiong'quan'tao 鬼雄拳套
'gui'xu'zhong'xue 癸虚重靴
'gui'xu'zi 癸虚子
'gui'xu'zi'de'yao'pei 癸虚子的腰佩
'gui'yin 鬼阴
'gui'yu 鬼狱
'gui'yuan'kui 归元盔
'gui'yuan'san 归元散
'gui'zhen'guan 归真冠
'gui'zhong'shou'wei 鬼冢守卫
'gui'zhong'xing'shi 鬼冢行尸
'hai'dao'ci'ke 海盗刺客
'hai'dao'lou'luo 海盗喽罗
'hai'dao'sha'shou 海盗杀手
'hai'dao'sha'shou'wang 海盗杀手王
'hai'dao'tou'kui 海盗头盔
'hai'dao'wang 海盗王
'hai'dao'wang'lang'fan'tian 海盗王浪翻天
'hai'dao'wang'xiong'jia 海盗王胸甲
'hai'dao'wang'zhi'zheng 海盗王之证
'hai'dao'yong'shi 海盗勇士
'hai'lan 海蓝
'hai'lan'zhi'shi 海蓝之石
'hai'ling'shui 还灵水
'hai'na 海纳
'hai'na'bai'chuan 海纳百川
'hai'tian'pei 海天佩
'hai'tian'yi'xian 海天一线
'hai'xing 海星
'hai'zei 海贼
'han'bing 寒冰
'han'bing'hu'jia 寒冰护甲
'han'bing'ren'yu 寒冰刃域
'han'bing'zhi'shi 寒冰之矢
'han'fei 悍匪
'han'lu 寒露
'han'lu'xian'tu 寒露仙兔
'han'qing'shan'gui 含情山鬼
'han'shuang'jian 寒霜剑
'han'tian'kui 撼天盔
'han'xu 涵虚
'han'yan'cui 寒烟翠
'hao'niao 豪鸟
'hao'shi 晧石
'hao'tao'gu 号啕蛊
'hao'tian'lun 昊天轮
'hao'xue'lang'wang 豪血狼王
'he'cheng'da'shi 合成大师
'he'cheng'si 合成丝
'he'cheng'you 合成油
'he'ding'hong 鹤顶红
'he'feng 和风
'he'feng'fu'mian 和风拂面
'he'he 和合
'he'he'shuang'jian 和合双剑
'he'huan 合欢
'he'jin'nu'ji 合金弩机
'he'jing 荷精
'he'tian'pei 和田佩
'he'zong'shuang'dao 合纵双刀
'hei'an'di'fu'fa'ku 黑暗地府法裤
'hei'an'di'fu'xia'kai 黑暗地府下铠
'hei'chao 黑巢
'hei'chao'bu'lv 黑巢布履
'hei'chao'hu'tui 黑巢护腿
'hei'chao'jie'zhi 黑巢戒指
'hei'chao'qing'kai 黑巢轻铠
'hei'chao'xiang'lian 黑巢项链
'hei'chao'xiang'mo'fu 黑巢降魔斧
'hei'chao'yao'pei 黑巢腰佩
'hei'chao'zhi'zhu 黑巢蜘蛛
'hei'shan 黑善
'hei'shan 黑山
'hei'shan'zhi'shi 黑善之石
'hei'shi 黑市
'hei'shou'hu'dao 黑手胡刀
'hei'shou'hu'fu 黑手护符
'hei'shui'jing'zhui'zi 黑水晶坠子
'hei'wu'chang 黑无常
'hei'yao'shi'lian'zi 黑耀石链子
'hei'yu 黑玉
'hei'yu'zhi'shi 黑玉之石
'hei'yu'zhi'shi'ji 黑玉之石级
'hen'bie'li 恨别离
'heng'ji'zhi'yin 恒寂之印
'heng'sao'qian'jun 横扫千军
'heng'xing 横行
'hong'e'mei 红萼梅
'hong'guang'fei'ying 红光飞鹰
'hong'huang 洪荒
'hong'huang'hu'wan 洪荒护腕
'hong'huang'ku 洪荒裤
'hong'huang'lv 洪荒履
'hong'huang'pao 洪荒袍
'hong'lin'dan 红磷丹
'hong'meng 鸿蒙
'hong'shui'jing'zhui'zi 红水晶坠子
'hong'zhen 红阵
'hou'yi 后羿
'hou'yi'zhi'shi 后羿之石
