'a'bo'luo 阿波罗
'da'xiang 大象
'da'xiang'bin 大香宾
'da'xing 大星
'da'yan 大雁
'da'yan'ta 大雁塔
'da'yang 大洋
'da'ying 大鹰
'da'ying'hai 大婴孩
'da'ying'xiong 大英雄
'da'you'qian 大有钱
'da'yun 大运
'da'yun'he 大运河
'da'ze 大泽
'da'zhong 大钟
'da'zhong 大众
'da'zhong'guo 大中国
'da'zhong'si 大钟寺
'da'zi'ran 大自然
'dai'dai'hong 代代红
'dai'sheng 戴胜
'dai'yue 岱岳
'dai'zong 岱宗
'dan'ba 淡芭
'dan'che'nv'lang 单车女郎
'dan'cheng 郸城
'dan'feng 丹凤
'dan'jiang 丹江
'dan'juan 丹鹃
'dan'lu 丹露
'dan'shan 丹山
'dang'li 砀梨
'dang'yang 当阳
'dang'yang'qiao 当阳桥
'dang'yang'ta 当阳塔
'dao'tian'he 倒天河
'de'ke'sa'si 德克萨斯
'de'le 得乐
'de'shan 德山
'de'yi 得意
'deng'ji 登极
'deng'shan 登山
'deng'ta 灯塔
'deng'wai'yan 等外烟
'deng'zhou 邓州
'di'dong'yi 地动仪
'di'ge 的哥
'di'guo 帝国
'di'hao 帝豪
'di'qiu 地球
'di'shui'dong 滴水洞
'di'tu 地图
'di'tu'ji 地图集
'di'yi 第一
'di'yi'shan 第一山
'dian'che 电车
'dian'chi 滇池
'dian'hua'nv'lang 电话女朗
'dian'ma 电码
'dian'shi'ta 电视塔
'dian'ye 滇叶
'diao'ling 雕翎
'diao'yu'tai 钓鱼台
'diao'zhong 吊钟
'die'hua 蝶花
'die'qiao 蝶桥
'ding'cheng 鼎城
'ding'xiang 丁香
'ding'xiang'hua 丁香花
'dong'bei'hu 东北虎
'dong'chong'xia'cao 冬虫夏草
'dong'du 东渡
'dong'fang 东方
'dong'fang'gang 东方港
'dong'fang'hong 东方红
'dong'fang'long 东方龙
'dong'fang'mei 东方美
'dong'feng 东风
'dong'hai 东海
'dong'hu 东湖
'dong'jin 东进
'dong'jing 东京
'dong'mei 冬梅
'dong'po 东坡
'dong'qing 冬青
'dong'shan 东山
'dong'sheng 东升
'dong'ting 洞庭
'dong'wu 东吴
'dong'xiang 侗乡
'dong'yu'long 东裕隆
'dong'yue 东岳
'dong'zhang 动章
'dou'jiang 都江
'dou'jiang'zhi'juan'xue'jia 都江纸卷雪茄
'dou'ling 陡岭
'dou'niu 斗牛
'du'bao 都宝
'du'jiang 渡江
'du'jiang'yan 都江堰
'du'juan 杜鹃
'du'juan'hua 杜鹃花
'du'li 独立
'du'wang 赌王
'du'zhong 杜仲
'du'zhong'yan 杜仲烟
'dui'bi 对比
'dui'xia 对虾
'dun'huang 敦煌
'duo'bao 多宝
'duo'cai 多彩
'duo'guan 夺冠
'duo'you 多友
'e'luo'si 俄罗斯
'e'mei 峨眉
'e'mei'shan 峨眉山
'fa'cai 发财
'fa'cai 发彩
'fa'er'fu 发尔福
'fa'men'si 法门寺
'fa'shi'da 发时达
'fan'chuan 帆船
'fan'hua 繁华
'fan'jing'shan 梵净山
'fan'wan 饭碗
'fang'cao 芳草
'fang'quan 芳泉
'fang'yuan 方圆
'fei'cui 翡翠
'fei'cui'ma 翡翠马
'fei'da 飞达
'fei'die 飞蝶
'fei'feng 飞凤
'fei'feng'qiao 飞凤桥
'fei'fu 飞凫
'fei'ge 飞鸽
'fei'he 飞鹤
'fei'hu 飞虎
'fei'huang 飞凰
'fei'ji 飞机
'fei'long 飞龙
'fei'lu 飞鹿
'fei'ma 飞马
'fei'peng 飞鹏
'fei'ren 飞人
'fei'shen 飞神
'fei'shi 飞狮
'fei'teng 飞腾
'fei'tian 飞天
'fei'wang 菲王
'fei'xian 飞仙
'fei'xiang 飞翔
'fei'xue 飞雪
'fei'yan 飞雁
'fei'yan 飞燕
'fei'ying 飞鹰
'fei'yue 飞跃
'fei'yun 飞云
'fei'zhou 飞舟
'fen'fang 芬芳
'feng'bao 枫宝
'feng'cai 风采
'feng'chan 丰产
'feng'che 风车
'feng'chi 风驰
'feng'chu'niang 封厨娘
'feng'deng 丰登
'feng'du 风度
'feng'guang 风光
'feng'hu 凤壶
'feng'huang 凤凰
'feng'huang'gang 凤凰岗
'feng'huang'lou 凤凰楼
'feng'huang'shan 凤凰山
'feng'huang'ting 凤凰亭
'feng'lin 枫林
'feng'ling 凤岭
'feng'mian 丰棉
'feng'ming 凤鸣
'feng'nian 丰年
'feng'shou 丰收
'feng'wang 蜂王
'feng'wu 凤舞
'feng'xing 风行
'feng'ye 枫叶
'feng'yu 丰余
'feng'zhou 凤洲
'feng'zhu 风竹
'fo'gong 佛宫
'fo'guang 佛光
'fo'lan 佛阑
'fo'shou 佛手
'fo'zi'ling 佛子岭
'fu'da 福达
'fu'er'mo'si 福尔摩斯
'fu'ge 福哥
'fu'gui 富贵
'fu'gui'niao 富贵鸟
'fu'gui'xing 富贵星
'fu'guo 富国
'fu'hai 福海
'fu'hai'er 富海尔
'fu'jia'le 富加乐
'fu'jia'li 福加利
'fu'jian 富健
'fu'jian 福建
'fu'jiang 富江
'fu'ke'si 福克斯
'fu'lai 福来
'fu'lai'men 富来门
'fu'li 富丽
'fu'li'hua 富丽华
'fu'long 富龙
'fu'long 福龙
'fu'pai 福牌
'fu'qiang 富强
'fu'qing 福庆
'fu'rao 富饶
'fu'rong 芙蓉
'fu'rong'hou 芙蓉后
'fu'rong'lou 芙蓉楼
'fu'rong'wang 芙蓉王
'fu'sang 扶桑
'fu'shi 富世
'fu'shi 富士
'fu'shou 福寿
'fu'wan'nian 富万年
'fu'wei 福威
'fu'xi 福喜
'fu'xing 福星
'fu'yang 阜阳
'fu'yu 富裕
'fu'yuan 富源
'fu'yun 福运
'gan'chao 赣潮
'gan'jiang 赣江
'gan'ye 赣叶
'gan'zhou 赣州
'gan'zhou'qiao 赣州桥
'gan'zhou'qiao 赣洲桥
'gang'du 钢都
'gang'hua 钢花
'gang'nan 岗南
'gao'bao 高宝
'gao'chan 高产
'gao'er'fu 高而富
'gao'er'fu 高尔夫
'gao'er'fu 高尔富
'gao'feng 高峰
'gao'ji'xue'jia 高级雪茄
'gao'le 高乐
'gao'men 高门
'gao'shi 高士
'gao'ta 高塔
'gao'xiang 高翔
'ge'lun'bu 哥伦布
'ge'xin'xue'jia 革新雪茄
'ge'zhou'ba 葛洲坝
'ge'zi'hua 鸽子花
'geng'niu 耕牛
'geng'zhong 耕种
'gong'deng 宫灯
'gong'dian 宫殿
'gong'fu 恭福
'gong'he 恭贺
'gong'he'xin'xi 恭贺新禧
'gong'jue 公爵
'gong'nong 工农
'gong'nong'bing 工农兵
'gong'rong 共荣
'gong'she 公社
'gong'xi 恭喜
'gong'xi 恭禧
'gong'xun 功勋
'gong'yu 共裕
'gong'zhu 公主
'gong'zi 公字
'gong'zi 工字
'gu'bao 古宝
'gu'bo 古博
'gu'che 古车
'gu'cheng 古城
'gu'ci 古瓷
'gu'ding 古鼎
'gu'dun 古盾
'gu'han'tai 古汉台
'gu'hua 古画
'gu'jian 古剑
'gu'jian 古箭
'gu'jin'yuan 古今园
'gu'jing 古井
'gu'jing'zhou 古荆州
'gu'lang'yu 鼓浪屿
'gu'pao 古炮
'gu'ping 古瓶
'gu'ping'nv 古屏女
'gu'qian 古钱
'gu'qin 古琴
'gu'shou 古兽
'gu'shu 古树
'gu'song 古松
'gu'su 姑苏
'gu'tao 古陶
'gu'tian 古田
'gu'ting 古廷
'gu'tuo 古驼
'gu'wan 古玩
'gu'xiang 古象
'gu'xiang 古湘
'gu'yin 古印
'gu'yu 古玉
'gu'zhen 古珍
'guan'di 关帝
'guan'dong 关东
'guan'dong'yan 关东烟
'guan'gong 关公
'guan'hua 冠华
'guan'jun 冠军
'guan'ting 官厅
'guang'bo 广播
'guang'fu'men 光复门
'guang'han'gong 广寒宫
'guang'hua 光华
'guang'mang 光芒
'guang'ming 光明
'guang'rong 光荣
'guang'yan 广烟
'guang'yu'lou 光狱楼
'guang'yue'lou 光岳楼
'guang'zhou 广州
'guang'zhou'wan 广州湾
'gui'bao 贵宝
'gui'fei 贵妃
'gui'gen 归根
'gui'heng 贵亨
'gui'hu 桂湖
'gui'hua 桂花
'gui'ji 贵姬
'gui'lin 桂林
'gui'yan 贵烟
'gui'yang 桂阳
'gui'yue 贵月
'gui'yue 桂月
'gui'zhou 贵州
'gui'zu'xing 贵族星
'gun'xue 衮雪
'guo'an 国安
'guo'bao 国宝
'guo'bin 国宾
'guo'fang 国防
'guo'guang 国光
'guo'hua 国华
'guo'hua 国画
'guo'jin 国槿
'guo'jun 国军
'guo'li'he 果利河
'guo'qing 国庆
'guo'se 国色
'guo'se'tian'xiang 国色天香
'guo'song 国松
'guo'wang 果王
'guo'you 国友
'ha'bo'na'si 哈伯纳斯
'ha'de'men 哈德门
'ha'er'bin 哈尔滨
'ha'ha 哈哈
'ha'ha'xiao 哈哈笑
'ha'le 哈乐
'hai'bao 海豹
'hai'bao 海宝
'hai'bin 海滨
'hai'bo 海波
'hai'di 海堤
'hai'er'deng 海尔登
'hai'gang 海港
'hai'guang 海光
'hai'he 海河
'hai'jing'bo 海京伯
'hai'jun 海军
'hai'kong 海空
'hai'lan'jiang 海兰江
'hai'long 海龙
'hai'lu'jun'yan'zai 海陆军烟仔
'hai'ma 海马
'hai'niao 海鸟
'hai'niu 海牛
'hai'ou 海鸥
'hai'shi 海狮
'hai'tang 海棠
'hai'wang 海王
'hai'xing 海星
'hai'yan 海燕
'hai'yang 海洋
'hai'ying 海鹰
'hai'zi'niu 海子牛
'han'feng 汉凤
'han'guang'wu 汉光武
'han'hou 汉侯
'han'jiang'xue'jia 汉江雪茄
'han'yan 汉烟
'han'zhu 汉竹
'hang'hai 航海
'hang'kong 航空
'hang'qi 杭岐
'hang'xing 航行
'hang'yun 航运
'hang'zhou 杭州
'hao'hua 豪华
'hao'lai'wu 好莱坞
'hao'lai'xi 好来西
'hao'le 好乐
'hao'nan'er 好男儿
'hao'pai 皓牌
'hao'ri'zi 好日子
'hao'xi'lai 好吸来
'hao'xiang'yan 好香烟
'hao'you 好友
'hao'yun 好运
'he'cheng 鹤城
'he'fei 合肥
'he'he 和合
'he'hua 荷花
'he'huan 合欢
'he'mei 和美
'he'ming 鹤鸣
'he'pai 和牌
'he'ping 和平
'he'ping'ge 和平鸽
'he'shi'bi 和氏璧
'he'ting 鹤亭
'he'xi 贺喜
'he'xiang 鹤乡
'he'zuo 合作
'hei'hu 黑虎
'hei'long'jiang 黑龙江
'hei'mao 黑猫
'hei'ying 黑鹰
'heng'da 恒大
'heng'nan 衡南
'heng'tong 亨通
'hong'an 红安
'hong'an'le 红安乐
'hong'bao 红宝
'hong'bao'hua 红宝花
'hong'bei'si'gan 红贝司干
'hong'bo 红波
'hong'chun 红椿
'hong'da 宏达
'hong'da'dao 红大刀
'hong'da'yun 鸿大运
'hong'da'yun 红大运
'hong'dan 红蛋
'hong'deng 红灯
'hong'deng'ji 红灯记
'hong'die 红蝶
'hong'dou 红豆
'hong'du 洪都
'hong'fan 红帆
'hong'fen 红粉
'hong'feng 红枫
'hong'feng'hu 红枫湖
'hong'fu 红福
'hong'fu'rong 红芙蓉
'hong'fu'xing 红福星
'hong'gang 红港
'hong'gao'le 红高乐
'hong'gou'qi 红枸杞
'hong'guang 红光
'hong'he 红荷
'hong'he 红河
'hong'he 红盒
'hong'hong 红红
'hong'hua 宏华
'hong'hua 红花
'hong'jin 红金
'hong'jin'hua 红金花
'hong'jin'ke 红金壳
'hong'jin'long 红金龙
'hong'jin'xing 红金星
'hong'jin'yu 红金鱼
'hong'ju 红菊
'hong'ju'niao 红咀鸟
'hong'jun'qiao 红军桥
'hong'lan 红蓝
'hong'lan 红兰
'hong'lan'man 红烂漫
'hong'lei 红蕾
'hong'leng 宏棱
'hong'li 红鲤
'hong'li'yu 红鲤鱼
'hong'ling 红菱
'hong'lou 红楼
'hong'ma 红马
'hong'man'tian 红满天
'hong'mei 红妹
'hong'mei 红梅
'hong'mei 红玫
'hong'mei'ge 红梅阁
'hong'mei'gui 红玫瑰
'hong'mei'wang 红玫王
'hong'mian 红棉
'hong'mu'dan 红牡丹
'hong'ni 虹霓
'hong'niao 红鸟
'hong'pao'tai 红炮台
'hong'qi 红旗
'hong'qi'bing 红骑兵
'hong'qi'qu 红旗渠
'hong'qiao 洪桥
'hong'qiu 红球
'hong'quan 红圈
'hong'ren 红人
'hong'san'huan 红三环
'hong'san'xing 红三星
'hong'shan 红山
'hong'shan'cha 红山茶
'hong'shan'cheng 红山城
'hong'shan'shu 红杉树
'hong'sheng 宏声
'hong'shi 红士
'hong'shi 红狮
'hong'shi'yue 红十月
'hong'shi'zhi 红试制
'hong'shuang'huan 红双环
'hong'shuang'mo 红双模
'hong'shuang'xi 红双喜
'hong'ta 红塔
'hong'ta'shan 红塔山
'hong'tai'yang 红太阳
'hong'tu 宏图
'hong'wei 宏伟
'hong'wei 红卫
'hong'wu 红舞
'hong'xi 鸿禧
'hong'xi 红喜
'hong'xi'bao 红锡包
'hong'xi'bao 红喜包
'hong'xia 红霞
'hong'xiang 红象
'hong'xing 红星
'hong'ya 鸿雅
'hong'yan 鸿雁
'hong'ye 红叶
'hong'yi 红艺
'hong'yin 红印
'hong'ying 红樱
'hong'ying 红缨
'hong'ying'qiang 红缨枪
'hong'yu 红玉
'hong'yu'lan 红玉兰
'hong'yun 鸿运
'hong'yun 红运
'hong'yun 红云
'hong'ze'hu 洪泽湖
'hong'zhuan 红专
'hong'zui'niao 红嘴鸟
'hou'pai 猴牌
'hou'wang 猴王
'hu'chun 虎錞
'hu'die 蝴蝶
'hu'die'quan 蝴蝶泉
'hu'guang 湖光
'hu'po 琥珀
'hu'po'xiang 琥珀香
'hu'qiu 虎丘
'hu'ti'shan 壶梯山
'hua'bao 华宝
'hua'can 华参
'hua'chang 华昌
'hua'che 花车
'hua'cheng 花城
'hua'deng 花灯
'hua'dong 华东
'hua'er'zi 华尔兹
'hua'fang 华芳
'hua'fu 华福
'hua'gong'xue'yuan 化工学院
'hua'gu 花鼓
'hua'guan 花冠
'hua'guan 华冠
'hua'guang 华光
'hua'guo 花果
'hua'guo'shan 花果山
'hua'hao 花好
'hua'hui 花卉
'hua'jia 华佳
'hua'jin 华锦
'hua'kui 花魁
'hua'lan 花兰
'hua'li 华丽
'hua'long 华龙
'hua'mei 华美
'hua'mei 画梅
'hua'ming'lou 花明楼
'hua'mu'lan 花木兰
'hua'niao 花鸟
'hua'qiao 花桥
'hua'qin 华秦
'hua'qiong 华琼
'hua'ren 华人
'hua'rong 华荣
'hua'shan 花山
'hua'shan 华山
'hua'sheng 华升
'hua'sheng'dun 华盛顿
'hua'shi 华士
'hua'tuo 华佗
'hua'wang 花王
'hua'xi 花溪
'hua'xi 华西
'hua'xi'cun 华西村
'hua'xia 华夏
'hua'xin 华新
'hua'xing 华星
'hua'yang 华阳
'hua'ying 华樱
'hua'you 花友
'hua'yu 花雨
'hua'yuan 画苑
'hua'yue 花月
'hua'zhong'ren 画中人
'hua'zhong'you 画中游
'hua'zhu 花烛
'hua'zhu 华珠
'hua'zu 华族
'huai'bei 淮北
'huai'bin 淮滨
'huai'guang 淮光
'huai'hai 淮海
'huai'he 淮河
'huai'hua 怀化
'huai'qiao 淮桥
'huai'shang 淮上
'huai'yang 淮阳
'huai'yin 淮阴
'huan'le 欢乐
'huan'qing 欢庆
'huan'teng 欢腾
'huan'xi 欢喜
'huang'chao 皇朝
'huang'cheng 皇城
'huang'di 黄帝
'huang'fu'rong 黄芙蓉
'huang'gong 皇宫
'huang'guan 皇冠
'huang'guang 湟光
'huang'guo'shu 黄果树
'huang'hai 黄海
'huang'he 黄河
'huang'he'lou 黄鹤楼
'huang'he'xiang 黄河象
'huang'hou 皇后
'huang'jin 黄金
'huang'jin'long 黄金龙
'huang'jin'ye 黄金叶
'huang'ling 黄陵
'huang'mei'gui 黄玫瑰
'huang'mu'dan 黄牡丹
'huang'ping 黄平
'huang'qi 黄芪
'huang'que'tan 黄鹊滩
'huang'shan 黄山
'huang'ying 黄英
'huang'yu 黄鱼
'huang'zhu 皇珠
'hui'he 浍河
'hui'huang 辉煌
'hui'quan'wan 汇泉湾
'hui'yin'bi 回音壁
'hui'you 会友
'hui'ze 会泽
'hui'zhong 慧中
'hun'ye 混叶
'huo'che 火车
'huo'ju 火炬
'huo'shan 火山
'ji'deng 吉灯
'ji'gong 济公
'ji'guang 极光
'ji'he 吉鹤
'ji'li 冀骊
'ji'lu 吉鹿
'ji'nan 济南
'ji'nan'xue'jia 济南雪茄
'ji'nian 纪念
'ji'pai 鸡牌
'ji'qing 吉庆
'ji'si'mei 吉思美
'ji'ti 集体
'ji'xiang 吉祥
'ji'xiang'niao 吉祥鸟
'ji'xing 吉星
'ji'xing'xue'jia 吉星雪茄
'ji'yan 吉烟
'ji'yan'wang 吉烟王
'ji'zhong 集中
'ji'zhou 极洲
'jia'bao 佳宝
'jia'bao 嘉宝
'jia'bin 佳宾
'jia'bin 嘉宾
'jia'de'le 嘉得乐
'jia'er'na 佳尔纳
'jia'fu 佳福
'jia'fu 嘉福
'jia'jia'le 佳佳乐
'jia'jia'le 家家乐
'jia'jiang 嘉奖
'jia'jie 佳节
'jia'jing 佳境
'jia'le 嘉乐
'jia'li 佳丽
'jia'li'fu'ni'ya 加里弗尼亚
'jia'mei 佳美
'jia'tian'xia 甲天下
'jia'xi 嘉西
'jia'xi 嘉喜
'jia'xiu 甲秀
'jia'yin 佳音
'jia'ying 嘉应
'jia'you 佳友
'jia'yun 佳运
'jian'hua 剑花
'jian'hua 建华
'jian'jiang 健将
'jian'kang 健康
'jian'le 健乐
'jian'li'bao 健利宝
'jian'li'shi 健力士
'jian'mei 健美
'jian'men 剑门
'jian'ning 建宁
'jian'pai 健牌
'jian'pai 剑牌
'jian'she 建设
'jian'shi 建始
'jian'xi 建西
'jian'xin 建新
'jian'yu 剑鱼
'jian'zhuang'niu'lang 简装牛郎
'jiang'fan 江帆
'jiang'he'yuan 江河源
'jiang'huai 江淮
'jiang'jun 将军
'jiang'nan 江南
'jiang'nan'chun 江南春
'jiang'shan 江山
'jiao'gu'lan 绞股蓝
'jiao'long 蛟龙
'jiao'ta'che 脚踏车
'jiao'ye 蕉叶
'jiao'zi 娇子
'jie'fang 解放
'jie'jie'gao 节节高
