'an'cheng 案秤
'feng'ban'shou 风扳手
'feng'dong'gong'ju 风动工具
'feng'dong'luo'si'qi'zi 风动螺丝起子
'feng'dong'mo'guang'ji 风动磨光机
'feng'kou'ji 封口机
'feng'ling 风铃
'feng'mo 风磨
'feng'pao 风炮
'feng'ren'qi'ju 缝纫器具
'feng'te'li'gong'ju 峰特力工具
'feng'zuan 风钻
'gai'ban 盖板
'gan'guo 坩埚
'gan'zao'ji 干燥剂
'gang'qiu 钢球
'gang'si 钢丝
'gang'si'lun 钢丝轮
'gang'si'shua 钢丝刷
'gang'yi'jiu'hu 刚毅酒壶
'gao'er'fu'qiu'che 高尔夫球车
'gao'kong'dai 高空带
'gao'su'gang'dao'ju 高速钢刀具
'gao'xin'jian'fu'qi 高新健腹器
'gao'ya'jiao'ta'qi'tong 高压脚踏气筒
'gao'zhi'jian 高枝剪
'ge'cao'ji 割草机
'ge'lin'dian'dong'gong'ju 格林电动工具
'geng'duo 更多
'gong'cheng'zuan'ji 工程钻机
'gong'ju 工具
'gong'ju'bao 工具包
'gong'ju'guo'lu'ji'pei'jian 工具锅炉及配件
'gong'ye'yong'ca'shi'zhi 工业用擦拭纸
'gong'yi'pin 工艺品
'gong'zuo'sheng 工作绳
'gu'lu'duan'ya'ji'chuang 古鹿锻压机床
'gua'gou 挂钩
'gua'suo 挂锁
'guan'dao'gong'ju 管道工具
'guan'dao'qing'li'ji 管道清理机
'guan'zi'qian 管子钳
'guang'gao'li'pin 广告礼品
'gun'dao 滚刀
'gun'lun 滚轮
'gun'lun'shi'bo'li'dao 滚轮式玻璃刀
'guo 锅
'ha'lei'che 哈雷车
'hai'chuan'dian'qi 海川电器
'hai'ping'chu'ju 海平厨具
'han'jie'cai'liao 焊接材料
'han'jie'she'bei 焊接设备
'hao'hao'hua'ban'che 昊昊滑板车
'he'tao'qian 核桃钳
'he'ye 合页
'hei'ban 黑板
'heng'qi 衡器
'heng'qi'ji'yi'biao'yi'qi 衡器及仪表仪器
'hu'lan 护栏
'hu'wai'yong'pin 户外用品
'hua'ban 滑板
'hua'ban'che 滑板车
'hua'ban'che'pei'jian 滑板车配件
'hua'dong'dong'li 华东动力
'hua'xue'che 滑雪车
'hua'xue'yong'ju 滑雪用具
'hua'yuan'gong'ju 花园工具
'huan'xiang'qi 换向器
'huang'gang'si 黄钢丝
'huang'you'qiang 黄油枪
'hui'da'qi'tong 汇大气筒
'hui'xing'zhen 回型针
'huo'guo 火锅
'huo'sai 活塞
'ji'chuang 机床
'ji'jiu'gong'ju 急救工具
'ji'nian'pin 纪念品
'ji'xie'tai'cheng 机械台秤
'jia'gong'zhong'xin 加工中心
'jia'jie'jian 嫁接剪
'jia'ju 家具
'jia'ju'ji'qi'pei'jian 家具及其配件
'jia'ju'suo 家具锁
'jia'shi'qi 加湿器
'jia'ting'yuan'yi'yong'ju 家庭园艺用具
'jian 剪
'jian'dao 剪刀
'jian'fu'qi 健腹器
'jian'kang'cheng 健康秤
'jian'kong'qi 监控器
'jian'mei'qi 健美器
'jian'shen'che 健身车
'jian'shen'qi 健身器
'jian'shen'qi'cai 健身器材
'jian'shen'xiu'xian 健身休闲
'jian'shen'xiu'xian'qi'cai'pei'jian 健身休闲器材配件
'jian'shen'yi 健身椅
'jian'shen'yong'pin 健身用品
'jian'shen'yun'dong'qi'ju 健身运动器具
'jian'shi'qi 监视器
'jian'su'ji 减速机
'jian'su'qi 减速器
'jian'zhi'jian 剪枝剪
'jian'zhu'zhuang'shi'wu'jin 建筑装饰五金
'jiao'ban'ji 搅拌机
'jiao'chi 角尺
'jiao'dao 铰刀
'jiao'du'chi 角度尺
'jiao'lian 铰链
'jiao'lun 脚轮
'jiao'mo'ji 角磨机
'jiao'ta'qi'tong 脚踏气筒
'jiao'tong'an'quan'qi'cai 交通安全器材
'jiao'xiang'mo'guang'ji 角向磨光机
'jie'neng'deng 节能灯
'jie'xian'he 接线盒
'jie'ying'te'hua'ban'che 杰英特滑板车
'jin'du'gong'cheng'zuan'ji 金都工程钻机
'jin'gang'shi'bo'li'dao 金刚石玻璃刀
'jin'gang'shi'cuo'dao 金刚石锉刀
'jin'gang'shi'gong'ju 金钢石工具
'jin'gang'shi'ju'pian 金刚石锯片
'jin'gang'shi'mo'ju 金刚石磨具
'jin'gang'shi'mo'pan 金刚石磨盘
'jin'gang'shi'mo'pian 金刚石磨片
'jin'gang'shi'mo'tou 金刚石磨头
'jin'gang'shi'zuan'tou 金刚石钻头
'jin'gu'jian 紧固件
'jin'shu'cai'liao'ji'zhi'pin 金属材料及制品
'jin'shu'shi'pin 金属饰品
'jin'shu'si'wang 金属丝网
'jin'yin'qi 金银器
'jin'yu'ran'ju 金宇燃具
'jing'mi'yan'mo'bi'zu 精密研磨笔组
'jiu'dian'yong'pin 酒店用品
'jiu'hu 酒壶
'jiu'ju 酒具
'jiu'li'shou'gong'ju 久利手工具
'jiu'tian'bei'ye 九天杯业
'ju 锯
'ju'guan'ji 锯管机
'ju'jia 锯架
'ju'pian 锯片
'ju'tiao 锯条
'juan'chi 卷尺
'jun'wei'dian'dong'gong'ju 君威电动工具
'ka'chi 卡尺
'ka'ding'che 卡丁车
'ka'fei'hu 咖啡壶
'ka'fei'ju 咖啡具
'ka'qian 卡钳
'ka'shi'lu 卡式炉
'kai'ping'qi 开瓶器
'ke'xin'bao'wen'bei 可信保温杯
'ke'zhuo'yi 课桌椅
'kong'ju 孔锯
'kong'qi'chui 空气锤
'kong'qi'jing'hua'qi 空气净化器
'kong'zhi'qi 控制器
'kuai'can'pan 快餐盘
'kuo'kong'zuan 扩孔钻
'la'chuang 拉床
'la'ji'tong 垃圾桶
'la'li 拉力
'la'shou 拉手
'li'cheng'biao 里程表
'li'pin 礼品
'li'pin'bei 礼品杯
'li'pin'shi'pin'wan'ju'wen'ju'ti'yu'yong'pin 礼品饰品玩具文具体育用品
'li'xin'beng 离心泵
'lian'dao 镰刀
'lian'lun 链轮
'lian'tiao 链条
'liang'chi 量尺
'liang'kuai 量块
'liang'peng 凉棚
'liang'yi'jia 晾衣架
'liang'you'jia'gong'ji'xie 粮油加工机械
'liang'zhen 量针
'lin'da'ha'lei'che 林达哈雷车
'ling'da'su'ye 灵达塑业
'liu'bing'xie 溜冰鞋
'liu'liang'biao 流量表
'long'gu'qian 龙骨钳
'lu'jia 炉架
'lu'ju 炉具
'lu'su'deng 卤素灯
'lu'tou 炉头
'lu'wu'deng 卤钨灯
'lun'gu 轮毂
'lun'tai 轮胎
'lun'tai'ban'shou 轮胎扳手
'luo'ding 螺钉
'luo'mu 螺母
'luo'shuan 螺栓
'luo'si'pi 螺丝批
'luo'zhu 螺柱
'lv'guan 铝管
'lv'guo 铝锅
'lv'he'jin 铝合金
'lv'ji'lv'ding 铝及铝锭
'lv'li'xiu'jian'ji 绿篱修剪机
'lv'qing'qi 滤清器
'lv'su'guan 铝塑管
'lv'su'guan'tong'pei'jian 铝塑管铜配件
'lv'xing'cai 铝型材
'lv'ya'zhu 铝压铸
'lv'you'hu 旅游壶
'lv'you'zhang'peng 旅游帐篷
'lv'zhi'pin 铝制品
'lv'zhuo 铝桌
'mai'di'deng 埋地灯
'mao'ding 铆钉
'mei'gong'dao 美工刀
'mei'ji'mei'ding 镁及镁锭
'mei'qi'zao 煤气灶
'mei'rong'qi'ju 美容器具
'men'chuang'wu'jin 门窗五金
'men'ling 门铃
'men'suo 门锁
'meng'huo'lu 猛火炉
'mi'ni'che 迷你车
'mi'ni'shou'shen'che 迷你瘦身车
'mian'huo'zai'zhu'guo 免火再煮锅
'mian'zhao 面罩
'mie'wen'deng 灭蚊灯
'min'yong'jian 民用剪
'mo'chuang 磨床
'mo'dao'bang 磨刀棒
'mo'guang'ji 磨光机
'mo'ju 磨具
'mo'ju'mo'liao 磨具磨料
'mo'ni'dao 抹泥刀
'mo'pian 磨片
'mo'qiu 磨球
'mo'shi 磨石
'mo'tou 磨头
'mo'tuo'che 摩托车
'mo'tuo'che'lun'tai 摩托车轮胎
'mu'cuo 木锉
'mu'gong'bao 木工刨
'mu'gong'bao'dao 木工刨刀
'mu'gong'chui 木工锤
'mu'gong'fu 木工斧
'mu'gong'gong'ju 木工工具
'mu'gong'tan'huang'jia 木工弹簧夹
'mu'gong'ya'jin'qi 木工压紧器
'mu'ju 模具
'mu'ju'zhi'zao 模具制造
'nei'liu'jiao'ban'shou 内六角扳手
'ni'bian'shi'ya'hu'han'ji 逆变式氩弧焊机
'ni'dao 泥刀
'nian'mi'ji'ji'qi'ji'jian 碾米机及其机件
'nong'yong'che 农用车
'nong'yong'ji'xie 农用机械
'nong'yong'pin 农用品
'nong'yong'wu'jin 农用五金
'pai'qi'guan 排气管
'pan'guan 盘管
'pao'bu'ji 跑步机
'pao'che 跑车
'pao'guang'fen 抛光粉
'pao'guang'ji 抛光机
'pao'guang'lun 抛光轮
'pei'dian'gui 配电柜
'pen'sha'qiang 喷砂枪
'pen'shui'qiang 喷水枪
'qi'ban'shou 气扳手
'qi'bao'gong'ju 汽保工具
'qi'beng 气泵
'qi'chan 气铲
'qi'che 汽车
'qi'che'bei 汽车杯
'qi'che'pei'jian 汽车配件
'qi'chui 气锤
'qi'dong'beng 气动泵
'qi'dong'bo'li'qie'ge'ji 气动玻璃切割机
'qi'dong'gong'ju 气动工具
'qi'dong'gong'si'ji 气动攻丝机
'qi'dong'hua'ban'che 气动滑板车
'qi'dong'hua'ban'che 汽动滑板车
'qi'dong'ji'lun'ban'shou 气动棘轮扳手
'qi'dong'jian'xian'qian 气动剪线钳
'qi'dong'mo'guang'ji 气动磨光机
'qi'dong'sha'lun'ji 气动砂轮机
'qi'dong'yan'mo'ji 气动研磨机
'qi'gao 气镐
'qi'ke'bi 气刻笔
'qi'mo'pei'jian 汽摩配件
'qi'pao'dai 气泡袋
'qi'pao'mo 气泡膜
'qi'qiao 气锹
'qi'ta 其它
'qi'tong 气筒
'qi'xi 气铣
'qi'xing'dian'dong'gong'ju 七星电动工具
'qi'you'hua'ban'che 汽油滑板车
'qi'you'ji 汽油机
'qi'zhuan'dao 砌砖刀
'qi'zuan 气钻
'qian 钳
'qian'fen'biao 千分表
'qian'fen'chi 千分尺
'qian'gong'chui 钳工锤
'qian'jin'ding 千斤顶
'qian'ye'lun 千叶轮
'qiang'guang'jian'lv'ye 强广剑铝业
'qiao'gun 撬棍
'qie'ge'ji 切割机
'qie'ge'pian 切割片
'qie'xiao'gong'ju 切削工具
'qing'jie'ji 清洁剂
'qing'jie'yong'ju 清洁用具
'qing'xi'ji 清洗机
'qu'xian'ju 曲线锯
'quan'tong'di'lou 全铜地漏
'ran'qi'ju 燃气具
're'chu'li 热处理
're'gong'yi'biao 热工仪表
'ri'yong'wu'jin 日用五金
'rong'sheng'da'cha'ju'gong'yi 荣盛达茶具工艺
'sa'shui'hu 洒水壶
'sai'chi 塞尺
'san 伞
'san'lun'che'ji'pei'jian 三轮车及配件
'sang'jian 桑剪
'sha'bu 砂布
'sha'bu'dai 砂布带
'sha'dai 砂带
'sha'dai'ji 砂带机
'sha'guang'ji 砂光机
'sha'jian 纱剪
'sha'lun 砂轮
'sha'lun'dao 砂轮刀
'sha'lun'ji 砂轮机
'sha'lun'pian 砂轮片
'sha'tan'che 沙滩车
'sha'tan'deng 沙滩凳
'sha'tan'yi 沙滩椅
'sha'zhi 砂纸
'sha'zhi'pan 砂纸盘
'shai'lv'qi'cai 筛滤器材
'shao'kao'jia 烧烤架
'she'ding'qiang 射钉枪
'shen'suo'men 伸缩门
'sheng'dan'li'pin 圣诞礼品
'sheng'dan'yong'pin 圣诞用品
'shi'nei'men 室内门
'shi'pin 饰品
'shi'pin'jia 食品夹
'shi'pin'qian 食品钳
'shou'ban'ju 手板锯
'shou'da'qi'tong 手打气筒
'shou'dian'tong 手电筒
'shou'dian'zuan 手电钻
'shou'dong'gong'ju 手动工具
'shou'dong'tao'si'ji 手动套丝机
'shou'ge'ji 收割机
'shou'ti'cheng 手提秤
'shou'tui'che 手推车
'shou'zhuo 手镯
'shu'gui 书柜
'shu'kong'yi'biao'che'chuang 数控仪表车床
'shu'zhi'sha'lun 树脂砂轮
'shui'beng 水泵
'shui'beng'qi'you'ji 水泵汽油机
'shui'biao 水表
'shui'guan'pan 水管盘
'shui'guo'jian 水果剪
'shui'mo'shi'ji 水磨石机
'shui'ping'chi 水平尺
'shui'ping'yi 水平仪
'shui'qiang 水枪
'shui'shang'hua'ban'che 水上滑板车
'shui'zhun'yi 水准仪
'si'liao'jia'gong'ji 饲料加工机
'si'zhui 丝锥
'su'liao'mo 塑料模
'sui'bing'ji 碎冰机
'sui'che'gong'ju 随车工具
'suo'ju'ji'an'fang 锁具及安防
'ta'bu'ji 踏步机
'ta'bu'ji'pei'jian 踏步机配件
'ta'bu'qi 踏步器
'tai'cheng 台秤
'tai'feng'jiu'dian'yong'pin 泰丰酒店用品
'tai'hu'qian 台虎钳
'tai'yang'jing 太阳镜
'tai'yang'neng're'shui'qi 太阳能热水器
'tan'huang 弹簧
'tan'huang'du'pan'cheng 弹簧度盘秤
'tang'chang'mu'zhu'gong'yi'ji'xie 唐昌木珠工艺机械
'tang'chuang 镗床
'tang'ci'biao'pai 搪瓷标牌
'tang'ci'guo 搪瓷锅
'tao'zhuang'li'pin 套装礼品
'tao'zhuang'wen'ju 套装文具
'teng'feng'wu'jin'gong'ju 腾锋五金工具
'ti'zhong'cheng 体重秤
'tian'ping'cheng 天平秤
'tiao'su'shou'bing 调速手柄
'tiao'tiao'chuang 跳跳床
'tie'qiao 铁锹
'tie'yi'pin 铁艺品
'tie'zhi'bu'zhan'guo 铁制不粘锅
'ting'yuan'hu'wai'xiu'xian'jia'ju 庭院户外休闲家具
'tong'ban 铜板
'tong'bang 铜棒
'tong'dai 铜带
'tong'gua'suo 铜挂锁
'tong'ji'tong'ding 铜及铜锭
'tong'pai 铜排
'tong'yong'pei'jian'ji'qi'cai 通用配件及器材
'tong'zhi'gua'suo 铜质挂锁
'tong'zhi'pin 铜制品
'tou'guang'deng 投光灯
'tou'kui 头盔
'tou'shi 头饰
'tu'ba 土耙
'tu'mu'gong'ju 土木工具
'tuo'ba 拖把
'tuo'che 拖车
'tuo'che'gong'ju 拖车工具
'tuo'la'ji 拖拉机
'tuo'pan 托盘
'wa'wa'tiao 娃娃跳
'wan'neng'biao 万能表
'wan'yong'biao 万用表
'wang'chun'tang'ci'chui'ju 望春搪瓷炊具
'wang'jia 网架
'wang'lan 网篮
'wang'shi'bo'li'bei 王氏玻璃杯
'wei'sheng'jia 卫生夹
'wei'sheng'jian'yong'pin 卫生间用品
'wei'yu'she'shi 卫浴设施
'wen'jian'gui 文件柜
'wen'ju'he 文具盒
'wu'hen'fang'hua'tuo'pan 无痕防滑托盘
'wu'jin'chong'ya'jian 五金冲压件
'wu'jin'gong'ju 五金工具
'wu'jin'gong'liang'ju 五金工量具
'wu'jin'zhu'zao 五金铸造
'wu'mu'ji'dian 伍木机电
'wu'shu'qi'xie 武术器械
'xi'dao 铣刀
'xi'gou'ji 铣沟机
'xi'yi'pin 锡艺品
'xi'zhi'pin 锡制品
'xian'qie'ge 线切割
'xiang'jiao'chui 橡胶锤
'xiang'jiao'mo 橡胶模
'xiao'fang'qi'cai 消防器材
'xiao'fei'shen'hua'ban'che 小飞神滑板车
'xiao'jia'dian 小家电
'xiao'jiu'hu 小酒壶
'xiao'ju 校具
'xiao'ju'she'bei 校具设备
'xiao'lei 销类
'xiao'sheng'qi 消声器
'xiao'xing'mo'tuo'che 小型摩托车
'xie'tao'ji 鞋套机
'xin'ji'xin'ding 锌及锌锭
'xin'rui'hua'ban'che 新瑞滑板车
'xing'li'xiang 行李箱
'xiong'tai'bao'wen'bei 雄泰保温杯
'xiu'bian'ji 修边机
'xiu'jian'che 修剪车
'xiu'xian'gong'yi'pin 休闲工艺品
'xiu'xian'jian'shen'yong'pin 休闲健身用品
'xiu'xian'yong'pin 休闲用品
'xiu'zhi'jian 修枝剪
'xu'dian'chi 蓄电池
'xue'chan 雪铲
'xue'gao'mo 雪糕模
'ya'jiao'qiang 压胶枪
'ya'li'biao 压力表
'ya'ling 哑铃
'ya'tou 压头
'yan'mo'ji 研磨机
'yang'jiao'chui 羊角锤
'yang'wo'ban 仰卧板
'yang'yan'quan 羊眼圈
'yao'bai'che 摇摆车
'ye'lun 叶轮
'ye'ying'chuang 野营床
'ye'ying'lu 野营炉
'yi'jia 衣架
'yi'miao'qi 移苗器
'yi'tai'lv'guo 一泰铝锅
'yong'mei'wei'yu'zhi'pin 永美卫浴制品
'you'bang'zha'zhi'ji'kai'ping'qi 友邦榨汁机开瓶器
'you'beng'pei'jian 油泵配件
'you'hui'dao 油灰刀
'you'shi 油石
'yuan'gui 圆规
'yuan'ju'pian 圆锯片
'yuan'lin'deng 园林灯
'yuan'lin'gong'ju 园林工具
'yuan'lin'hua'ju 园林花具
'yuan'lin'jian 园林剪
'yuan'lin'ju 园林锯
'yuan'yi'gong'ju 园艺工具
'yue'ye'che 越野车
'yun'dong'hu'ju 运动护具
'yun'dong'qi'cai 运动器材
'yun'dong'shui'hu 运动水壶
'yun'tang'ji 熨烫机
'zao 凿
'zao'yan'ji 凿岩机
'zha'zhi'ji 榨汁机
'zhao'ming'deng 照明灯
'zhao'ming'pei'jian 照明配件
'zhe'die'ti 折叠梯
'zhe'nan'gong'ju 浙南工具
'zhen'kong'bei 真空杯
'zhen'kong'biao 真空表
'zhen'yu'qi'che'gong'ju 震宇汽车工具
'zheng'li'jian 整篱剪
'zheng'qi'gua'yun'ji 蒸汽挂熨机
'zheng'qi'qing'xi'ji 蒸汽清洗机
'zheng'tian'hua'ban'che 正天滑板车
'zheng'zhi'jian 整枝剪
'zhi'chi 直尺
'zhi'ding'qiang 直钉枪
'zhi'leng'she'bei 制冷设备
'zhong'bao'li'fang'hua'tuo'pan 中宝利防滑托盘
'zhong'chao'dian'dong'gong'ju 中超电动工具
'zhong'xin'zuan 中心钻
'zhou'cheng 轴承
'zhou'cheng'zuo 轴承座
'zhu'mu'gong'yi'pin 竹木工艺品
'zhu'tie'guo 铸铁锅
'zhu'zao'mu'ju 铸造模具
'zi'suo'qi 自锁器
'zi'wai'xian'ying'guang'deng 紫外线萤光灯
'zi'xing'che 自行车
'zu'he 组合
'zu'he'gong'ju'li'pin 组合工具礼品
'zu'he'jiao'chi 组合角尺
'zu'qiu'men 足球门
'zu'tao'gong'ju 组套工具
'zuan'tou 钻头
'zuo'ban'dai 坐板带
'zuo'ye'bao'hu'yong'ju 作业保护用具
