'bai'niao'you'you'xia 白鸟悠悠下
'tou'che'ling'long 透澈玲珑
'wang'shi'you'you'rong'xi'shu 往事悠悠容细数
'wei'feng'yan'zi'xie 微风燕子斜
'wei'zhi'you'jing'jie 谓之有境界
'wu'dai'bei'song'zhi'ci'suo'yi'du'jue'zhe'zai'ci 五代北宋之词所以独绝者在此
'wu'ji'ke'qiu 无迹可求
'wu'shi'lou'tai 雾失楼台
'wu'wo'zhi'jing 无我之境
'wu'wo'zhi'jing'ye 无我之境也
'xi'feng'can'zhao 西风残照
'xi'nu'ai'le'yi'ren'xin'zhong'zhi'yi'jing'jie 喜怒哀乐亦人心中之一境界
'xi'yu'yu'er'chu 细雨鱼儿出
'xia'ying'gong'zhi'xi'qian'ying 夏英公之喜迁莺
'xiang'zhong'zhi'se 相中之色
'xie'jing 写境
'xie'you'wo'zhi'jing'zhe'wei'duo 写有我之境者为多
'yan'cang'lang'shi'hua'wei 严沧浪诗话谓
'yan'you'jin'er'yi'wu'qiong 言有尽而意无穷
'yi'hong'zhuang'ye 一宏壮也
'yi'wo'guan'wu 以我观物
'yi'wu'guan'wu 以物观物
'yin'da'shi'ren'suo'zao'zhi'jing'bi'he'hu'zi'ran 因大诗人所造之境必合乎自然
'you'bu'guo'dao'qi'mian'mu 犹不过道其面目
'you'jing'jie 有境界
'you'kong'ta'sheng'wu 又恐他生误
'you'ran'jian'nan'shan 悠然见南山
'you'sui'ru'he'xu'gou'zhi'jing 又虽如何虚构之境
'you'wo'zhi'jing 有我之境
'you'wo'zhi'jing'ye 有我之境也
'you'wu'wo'zhi'jing 有无我之境
'you'xie'jing 有写境
'you'you'wo'zhi'jing 有有我之境
'you'zao'jing 有造境
'yu'wei'bei'song'yi'qian'zhi'ci'yi'fu'ru'shi 余谓北宋以前之词亦复如是
'yu'wei'ci'si'zi'wei'feng'zheng'zhong'zu'yi'dang'zhi 余谓此四字唯冯正中足以当之
'yu'you'dong'zhi'jing'shi'dei'zhi 于由动之静时得之
'yue'mi'jin'du 月迷津渡
'yun'po'yue'lai'hua'nong'ying 云破月来花弄影
'zao'jing 造境
'ze'zi'cheng'gao'ge 则自成高格
'zhang'gao'wen'wei'fei'qing'zhi'ci'shen'mei'hong'yue 张皋文谓飞卿之词深美闳约
'zhe'yi'nao'zi'er'jing'jie'quan'chu 着一闹字而境界全出
'zhe'yi'nong'zi'er'jing'jie'quan'chu'yi 着一弄字而境界全出矣
'zi'ran 自然
'zi'ran'zhong'zhi'wu 自然中之物
'zi'shi'jing'hun'xian'po'qu 自是精魂先魄去
'zi'you'ming'ju 自有名句
'zong'shi'zi'meng'zhong'bu'fu 纵使兹盟终不负
'zui'ye'hai'xing 醉也还醒
