'ai'zhang'xia 矮嶂下
'ban'dong 板洞
'ban'dong'shui'ku 板洞水库
'ban'hun'he'hu 半混合湖
'ban'keng 半坑
'ban'ling 板岭
'ban'mei 坂美
'ban'sha'wei 板沙尾
'ban'tan 坂潭
'bang'jiang 浜江
'bao'an'qu 宝安区
'bao'an'xian 宝安县
'bao'ceng'liu 薄层流
'bao'dong'wei 宝洞围
'bao'hong 暴洪
'bao'hong'he'liu 暴洪河流
'bao'jiang 宝江
'bao'jiang'shui'ku 宝江水库
'bao'keng 宝坑
'bao'kou 宝口
'bao'lou 宝楼
'bao'lou'shui'ku 宝楼水库
'bao'ping'xiang 保平乡
'bao'qi'dai 包气带
'bao'shu 宝树
'bao'shu'shui'ku 宝树水库
'bao'xi'shui 宝溪水
'bao'xu 宝圩
'bao'ya'zai 宝鸭仔
'bao'ya'zai'shui'ku 宝鸭仔水库
'bao'yu'jing'liu 暴雨径流
'bei'ca 北礤
'bei'di 陂底
'bei'di'shui'ku 陂底水库
'bei'dun 贝墩
'bei'feng'shan 北峰山
'bei'feng'shan'shui'ku 北峰山水库
'bei'he 北河
'bei'he'shui'ku 北河水库
'bei'ji 北基
'bei'jiang 北降
'bei'jiang 北江
'bei'jie 北界
'bei'jin'gang 北津港
'bei'ling 贝岭
'bei'mian 陂面
'bei'nei 北内
'bei'shui 贝水
'bei'song 北松
'bei'song'shui'ku 北松水库
'bei'tou 陂头
'bei'wan 北湾
'bei'xi 北溪
'beng'hong 崩洪
'beng'kan 崩坎
'beng'xi 崩溪
'bi'jiang 比降
'bi'jiao 弼教
'bi'liu'qu 闭流区
'bi'shan 壁山
'bi'tuo'guan 毕托管
'bian'fu 变幅
'bian'wen'shui'ceng 变温水层
'bin'yang 滨洋
'bin'yang'shui'ku 滨洋水库
'bing'ba 冰坝
'bing'cun 丙村
'bing'hu 并湖
'bing'ling 冰凌
'bo'dou 波陡
'bo'gao 波高
'bo'luo'he 波罗河
'bo'luo'keng 波罗坑
'bo'luo'xian 博罗县
'bo'mao 博茂
'bo'wei 博位
'bo'zhi 播植
'bu'gei'xi'shu 补给系数
'bu'shang 布尚
'bu'wen'ding'he'cao 不稳定河槽
'cai'mian 蔡面
'cai'wan'qu'zhi 裁弯取直
'can'zheng 参证
'can'zheng'shui'wen'zhan 参证水文站
'cang'cheng 苍城
'cang'cun 苍村
'cang'cun'shui'ku 苍村水库
'cang'jiang'he 沧江河
'cang'shi 苍石
'cang'shi'shui'ku 苍石水库
'cang'xia 仓下
'cao'jiang 曹江
'cao'jiang'he 曹江河
'cao'tan'gan'qu 草潭干渠
'cao'tian'keng 曹田坑
'cao'tian'keng'shui'ku 曹田坑水库
'cao'wei'yang'he 草尾洋河
'ce'dian'liu'su 测点流速
'ce'liu 测流
'ce'shen 测深
'ce'zhan 测站
'cen'dong 岑洞
'cen'tian'he'shui'ku 涔天河水库
'ceng'keng 曾坑
'ceng'keng'shui'ku 曾坑水库
'ceng'tian 曾田
'cha'jiang 茶江
'cha'jiao 槎窖
'cha'keng 茶坑
'cha'keng'shui'ku 茶坑水库
'cha'lin 茶林
'cha'liu'tou 茶留头
'cha'long 茶龙
'chan'cheng'qu 禅城区
'chan'sha 产沙
'chan'sha'liang 产沙量
'chan'tan 产滩
'chang'ba 长坝
'chang'bu 长布
'chang'bu 长怖
'chang'diao 长调
'chang'diao'shui'ku 长调水库
'chang'gang 长岗
'chang'he'shui'ku 长河水库
'chang'hu 长湖
'chang'hu'shui'ku 长湖水库
'chang'jiang'he 长江河
'chang'jiang'shui'ku 长江水库
'chang'keng 长坑
'chang'li 长利
'chang'liu'he 常流河
'chang'nian'he 常年河
'chang'ping 长坪
'chang'pu 长蒲
'chang'pu 厂埔
'chang'pu'tang 菖蒲塘
'chang'qi 长岐
'chang'qing'shui'ku 长青水库
'chang'sha'jie 长沙街
'chang'sha'shui'ku 长沙水库
'chang'shan'xu 长山圩
'chang'shan'yuan 长山园
'chang'tan 长潭
'chang'tan'shui'ku 长潭水库
'chang'wan'he 长湾河
'chang'wan'he'shui'ku 长湾河水库
'chao'an 潮安
'chao'an'xian 潮安县
'chao'biao 潮表
'chao'biao'lv 超标率
'chao'cai 超采
'chao'cha 潮差
'chao'fu 潮幅
'chao'mian'shan 朝面山
'chao'mian'shan'shui'ku 朝面山水库
'chao'nan'qu 潮南区
'chao'qi 潮期
'chao'qu 潮区
'chao'shen'yu 超渗雨
'chao'shui'bo 潮水波
'chao'shui'he 潮水河
'chao'tian'qiao 朝天桥
'chao'wan 潮湾
'chao'wei 潮位
'chao'xi'he'liu 潮汐河流
'chao'yang'qu 潮阳区
'chao'yang'xian 潮阳县
'chao'zhou'shi 潮州市
'che'ba'ling 车扒岭
'che'jiao'shan 车角山
'che'tian 车田
'chen'cun'bi'jiang 陈村碧江
'chen'cun'shui'dao 陈村水道
'chen'cun'xin'xu 陈村新圩
'chen'jia'wan 陈家湾
'chen'keng 陈坑
'chen'keng'shui'ku 陈坑水库
'cheng'hai'qu 澄海区
'cheng'hai'xian 澄海县
'cheng'jia 秤架
'cheng'jiang 程江
'cheng'jiang'he 澄江河
'cheng'keng 澄坑
'cheng'kou 城口
'cheng'shi'shui'wen'xue 城市水文学
'cheng'xi 澄溪
'cheng'ya'shui 承压水
'chi'ao 赤坳
'chi'ao'shui'ku 赤坳水库
'chi'kan'qu 赤坎区
'chi'ling'xia 赤岭下
'chi'sha 赤沙
'chi'sha'shui'ku 赤沙水库
'chi'shan 赤山
'chi'shi'he 赤石河
'chi'shi'jing 赤石迳
'chi'shi'jing'shui'ku 赤石迳水库
'chi'wan 赤湾
'chi'xi 赤溪
'chi'zhu'jing 赤竹径
'chi'zhu'jing'shui'ku 赤竹径水库
'chong'gou 冲沟
'chong'kou 冲口
'chong'shi 冲蚀
'chong'xie'zhi 冲泻质
'chong'yuan 冲源
'chong'yuan'shui'ku 冲源水库
'chu'ku'liu'liang 出库流量
'chu'liang 储良
'chu'liu'liang 出流量
'chu'liu'shui 出流水
'chu'shui'kou 出水口
'chuan'bu 船步
'chuan'qiao 船桥
'chuan'qiao'shui'ku 船桥水库
'chuan'tang 船塘
'chuan'tang'he 船塘河
'chuang'sha 床沙
'chun'wan 春湾
'chun'xun 春汛
'ci'yao 磁窑
'cong'hua'shi 从化市
'cong'hua'xian 从化县
'da'an 大安
'da'an'dong 大安洞
'da'ao 大坳
'da'ao 大敖
'da'ba'tou 大坝头
'da'ba'xu 大八圩
'da'bai 大拜
'da'ban'tian 大半田
'da'bao 大堡
'da'bei 大陂
'da'bei'bu 大陂布
'da'bei'shan 大北山
'da'bei'shan'hei'tan'shui'ku 大北山黑潭水库
'da'bei'yang 大陂洋
'da'bu 大布
'da'bu'feng'cun 大埔丰村
'da'bu'jing 大布迳
'da'bu'xian 大埔县
'da'chen'wu 大陈屋
'da'chen'xu 大陈圩
'da'chi'kan 大赤坎
'da'chong 大冲
'da'chong'kou 大冲口
'da'chong'shui'ku 大冲水库
'da'dan 大丹
'da'dong'pai 大垌排
'da'fang 大坊
'da'feng'keng 大风坑
'da'gang 大岗
'da'gang'li 大岗沥
'da'ge 大阁
'da'he 大禾
'da'he'shui'ku 大河水库
'da'heng'qin 大横琴
'da'huai 大槐
'da'jian 大鉴
'da'jiao'tou'shui'dao 大角头水道
'da'jing 大靖
'da'jing 大井
'da'jing'he 大迳河
'da'jing'shan 大镜山
'da'jing'shan'shui'ku 大镜山水库
'da'keng'kou 大坑口
'da'keng'shui'ku 大坑水库
'da'kui'he 大魁河
'da'lan 大岚
'da'li 大坜
'da'lin 大林
'da'ling'tou 大岭头
'da'long'dong 大隆洞
'da'long'dong'shui'ku 大隆洞水库
'da'long'hua 大龙华
'da'long'jiao 大陇窖
'da'long'jing 大隆迳
'da'long'wei 大隆尾
'da'lun 大伦
'da'luo'shan 大罗山
'da'mai'shan 大麦山
'da'mao 大茂
'da'miao'xia 大庙峡
'da'nan'hai 大南海
'da'peng 大碰
'da'ping 大坪
'da'ping'pu 大坪埔
'da'ping'she 大坪畲
'da'po 大坡
'da'po'xu 大坡圩
'da'qi'huan'liu 大气环流
'da'qi'shui'qi'han'liang 大气水汽含量
'da'qiao'he 大桥河
'da'qin'shui'ku 大秦水库
'da'rong 大榕
'da'sha'he 大沙河
'da'sha'he'shui'ku 大沙河水库
'da'sha'he'shui'qu 大沙河水渠
'da'shan'xun'hui'duan'mian 大山巡回断面
'da'sheng 大盛
'da'shui'ba 大水坝
'da'shui'keng 大水坑
'da'shui'kou 大水口
'da'shui'qiao 大水桥
'da'shui'qiao'gan'qu 大水桥干渠
'da'shui'qiao'shui'ku 大水桥水库
'da'tan 大潭
'da'tan'he 大潭河
'da'tan'he'shui'ku 大潭河水库
'da'tan'shui'ku 大潭水库
'da'tang 大塘
'da'tang'ping 大塘坪
'da'wan 大湾
'da'wang'shan 大王山
'da'wei 大围
'da'wei'jiao 大尾角
'da'wu'shan 大雾山
'da'xian 大贤
'da'yan'kou 大燕口
'da'ye'yu 大野芋
'da'ying'jiao 大应脚
'da'yong'he 大涌河
'da'yuan 大源
'da'yuan'shui'ku 大沅水库
'da'zhu'cun 大竹村
'da'zhu'yuan 大竹园
'dai'biao'xing'liu'yu 代表性流域
'dai'xia 带下
'dan'chang 蛋场
'dan'dou 单兜
'dan'fen'zi'ceng 单分子层
'dan'kuan 单宽
'dan'kuan'liu'liang 单宽流量
'dan'shui'he 淡水河
'dan'shui'kou 单水口
'dan'wei'guo'cheng'xian 单位过程线
'dan'zhu 丹竹
'dan'zhu'keng 丹竹坑
'dan'zhu'shui'ku 丹竹水库
'dang'di'ru'liu 当地入流
'dao'jiao 道窖
'dao'yun'hai'shui'dao 倒运海水道
'de'qing'xian 德庆县
'de'sheng'he 德胜河
'deng'fang 邓坊
'deng'jia'shui 邓家水
'deng'liu'shi'xian'tu 等流时线图
'deng'long'shan 灯笼山
'deng'rui'yang 灯蕊洋
'deng'yan'du'xian 等盐度线
'deng'zhi'xian 等值线
'deng'zhou 登洲
'di'biao'jing'liu 地表径流
'di'biao'shui 地表水
'di'biao'shui'shui'wen'xue 地表水水文学
'di'biao'zhi'liu 地表滞留
'di'chao'wei 低潮位
'di'fang'ru'liu 地方入流
'di'kuan 底宽
'di'mian'shen'liu 地面渗流
'di'mian'shui 地面水
'di'mian'zhi'liu 地面滞留
'di'pai 地派
'di'qiu'shui'quan 地球水圈
'di'shui'wei 低水位
'di'xia'bu'gei'he 地下补给河
'di'xia'he'liu 地下河流
'di'xia'jing'liu 地下径流
'di'xia'liu 底下流
'di'xia'shui 地下水
'di'xing'yu 地形雨
'di'ya'cao 低压槽
'di'zhen'hai'xiao 地震海啸
'dian'bai'xian 电白县
'dian'dao'lv 电导率
'die'shi 迭石
'ding'an 鼎安
'ding'hu'qu 鼎湖区
'ding'nan 定南
'ding'xi 顶溪
'ding'xi'shui'ku 顶溪水库
'ding'xian 定线
'ding'yang 丁洋
'dong'an'he 东安河
'dong'an'he 东岸河
'dong'bao'he 东宝河
'dong'bei 东陂
'dong'bei 岽背
'dong'cheng 东成
'dong'chuan'fa 动船法
'dong'chuang 动床
'dong'fang'hong'jiang'men'shui'ku 东方红江门水库
'dong'fang'hong'wu'hua'shui'ku 东方红五华水库
'dong'feng'shui'ku 东风水库
'dong'gan'qu 东干渠
'dong'guan'shi 东莞市
'dong'hai'dao 东海岛
'dong'he'kou 东河口
'dong'hu'shui'ku 东湖水库
'dong'jiang'he 东江河
'dong'jiang'nan'zhi'liu 东江南支流
'dong'keng 东坑
'dong'keng'fu'kou 东坑富口
'dong'keng'kou 东坑口
'dong'keng'ping 东坑坪
'dong'ku'rong 动库容
'dong'lian 东联
'dong'liu'xi 东留溪
'dong'long 东陇
'dong'luo 东洛
'dong'luo'shui'ku 东洛水库
'dong'ping'he 东平河
'dong'qiao'yuan 东桥园
'dong'shen'he 东深河
'dong'shui 东水
'dong'tang 东塘
'dong'wu'shui'ku 东吴水库
'dong'xi 东溪
'dong'xi'kou 东溪口
'dong'xia 岽下
'dong'xin 洞心
'dong'yuan 洞源
'dong'yuan'xian 东源县
'dong'zai'cun 洞仔村
'dong'zhen 东镇
'dong'zhou 东洲
'dou'heng 都亨
'dou'jiang'he 都江河
'dou'men'qu 斗门区
'dou'men'xian 斗门县
'dou'ping 都平
'du'bu 杜步
'du'ling 杜陵
'du'tou 渡头
'du'tou'he 渡头何
'duan'fen 端芬
'duan'xu'he 断续河
'duan'zhou'qu 端州区
'dun'zi 墩子
'duo'bao 多宝
'duo'bao'lu 多宝路
'duo'bao'shui'ku 多宝水库
'duo'zhu 多祝
'e'dou 鹅斗
'e'keng 鹅坑
'e'keng'shui'ku 鹅坑水库
'e'ping'he 鹅坪河
'en'ping'shi 恩平市
'en'ping'xian 恩平县
'er'sha'tou 二沙头
'er'wei 二围
'fan'dou'shi 翻斗式
'fan'gai'gang 饭盖岗
'fan'jia'tian 范家田
'fang'niu'dong 放牛洞
'fang'niu'dong'shui'ku 放牛洞水库
'fei'heng'ding'liu 非恒定流
'fei'lai'xia 飞来峡
'fei'lai'xia'shui'ku 飞来峡水库
'fei'wen'ding 非稳定
'fen'bu'qu'xian 分布曲线
'fen'jie'xu 分界圩
'fen'pei'qu'xian 分配曲线
'fen'shi 汾市
'fen'shui'ling 分水岭
'fen'shui'xian 分水线
'fen'tian'shui'kou 分田水口
'feng'bao'chao 风暴潮
'feng'bi'hu'po 封闭湖泊
'feng'chuan 封川
'feng'cun 丰村
'feng'ding'shui'wei 峰顶水位
'feng'dong 封冻
'feng'fei'yun 凤飞云
'feng'huang'shan 凤凰山
'feng'huang'shan'yang'liao'shui'ku 凤凰山杨寮水库
'feng'huang'shui'ku 凤凰水库
'feng'huo'jiao 烽火角
'feng'jiang 枫江
'feng'jiang'shui 凤江水
'feng'jun'bi 峰均比
'feng'kai 封开
'feng'kai'xian 封开县
'feng'lang 枫朗
'feng'liang 丰良
'feng'mian 锋面
'feng'qi 凤歧
'feng'qiao 凤桥
'feng'shan 凤山
'feng'shou'shui'ku 丰收水库
'feng'shu'ba 枫树坝
'feng'shu'ba'shui'ku 枫树坝水库
'feng'shu'lang 枫树榔
'feng'shu'ping 枫树坪
'feng'shu'ping'shui'ku 枫树坪水库
'feng'shui'nian 丰水年
'feng'shun'xian 丰顺县
'feng'tian 风田
'feng'tian'shui'ku 风田水库
'feng'tou'shui'ku 峰头水库
'feng'xi 凤溪
'feng'xi'shui'ku 凤溪水库
'feng'zhi'jun'zhi'bi 峰值均值比
'feng'zi'shan 凤子山
'feng'zi'shan'shui'ku 凤子山水库
'fo'gang 佛冈
'fo'gang'xian 佛冈县
'fo'jia 佛架
'fo'shan'sha'kou 佛山沙口
'fo'shan'shui'dao 佛山水道
'fo'zi'ao 佛子坳
'fu'biao 浮标
'fu'biao'fa 浮标法
'fu'cun 富村
'fu'cun 扶村
'fu'he'yan 复合堰
'fu'jiang 抚江
'fu'kou 富口
'fu'lai 扶赖
'fu'liang 富良
'fu'liu 伏流
'fu're'dai 副热带
'fu're'dai'gao'ya 副热带高压
'fu'rong'zhang 芙蓉嶂
'fu'rong'zhang'shui'ku 芙蓉嶂水库
'fu'ru'de'shu 弗汝德数
'fu'shi 富石
'fu'shi'shui'ku 富石水库
'fu'tian'qu 福田区
'fu'xi 扶溪
'fu'xin 扶新
'fu'ying'yang 富营养
'fu'ying'yang'hu 富营养湖
'fu'yuan 福源
'fu'yuan'shui'ku 福源水库
'fu'zhai 福寨
'fu'zhou'he 凫洲河
'gan'he 干河
'gan'he'kou 干河口
'gan'hu 干湖
'gan'sa 甘洒
'gan'tang'zhen 甘棠镇
'gan'xi 干溪
'gan'zhu 甘竹
'gan'zhu'he 甘竹河
'gan'zhuan 甘砖
'gang'bei 岗背
'gang'gen 岗根
'gang'mei 岗美
'gang'mei'shui'ku 岗美水库
'gang'ping 岗坪
'gang'shan 岗山
'gang'shan'shui'ku 岗山水库
'gang'wa'yao 缸瓦窑
'gang'zi'shang 岗子上
'gao'bei 高陂
'gao'bei'shui'ku 高陂水库
'gao'cheng 高城
'gao'cheng 高程
'gao'cheng'shui'ku 高城水库
'gao'cun 高村
'gao'dao 高道
'gao'dong 高洞
'gao'feng 高丰
'gao'gan'qu 高干渠
'gao'gang 高岗
'gao'guan 高莞
'gao'he 高鹤
'gao'he'kou 高河口
'gao'ji'ping 高基坪
'gao'jiao'kou 高窖口
'gao'jie 高界
'gao'lang 高朗
'gao'liang 高良
'gao'men 高门
'gao'ming'qu 高明区
'gao'ming'xian 高明县
'gao'pai 高排
'gao'ping 高坪
'gao'ping'shui'ku 高坪水库
'gao'po 高坡
'gao'po'shui'ku 高坡水库
'gao'qiao'tou 高桥头
'gao'rong'tian 高荣田
'gao'shu'xia 稿树下
'gao'shu'xia'shui'ku 稿树下水库
'gao'si 高思
'gao'tan 高潭
'gao'tang 高塘
'gao'tang'shui'ku 高塘水库
'gao'tou'ping 高头坪
'gao'ya'ji 高压脊
'gao'yao 高要
'gao'yao'shi 高要市
'gao'yao'xian 高要县
'gao'zhou'shi 高州市
'gao'zhou'shui'ku 高州水库
'gao'zhou'xian 高州县
'ge'an 各安
'ge'ma'ba 葛麻坝
'ge'shui 隔水
'ge'shui 格水
'ge'shui'ceng 隔水层
'gen'dong 根垌
'gen'zhu'long 根竹笼
'gen'zi'shui'ku 根子水库
'geng'zai 更仔
'gong'cheng 共成
'gong'cheng'shui'ku 共成水库
'gong'cun'he 公村河
'gong'keng 恭坑
'gong'keng'shui'ku 恭坑水库
'gong'mei 公梅
'gong'ping'shui'ku 公平水库
'gong'shui 拱水
'gong'xing'hu 弓形湖
'gong'zhuang'shui 公庄水
'gou'gu 沟谷
'gu'cheng'he 古城河
'gu'cun 古村
'gu'dao'jing 古道径
'gu'ding 古丁
'gu'gu'shui'ku 古骨水库
'gu'keng 古坑
'gu'keng'shui'ku 古坑水库
'gu'lan 古榄
'gu'lao 古劳
'gu'qian 谷前
'gu'shui 古水
'gu'shui'xu 古水墟
'gu'tai'cun'zhu'qi 固态存贮器
'gu'you 古有
'gu'yun'dong'hai 古云东海
'gua'ding'jiao 挂定角
'gua'pai'tan 瓜排潭
'guan'cha'xing'liu'yu 观察性流域
'guan'chang 官昌
'guan'cheng 莞城
'guan'chong 官冲
'guan'dong 观洞
'guan'dong'shui'ku 观洞水库
'guan'he 官河
'guan'jiao 官窖
'guan'liang 官良
'guan'qiao 官桥
'guan'shan 冠山
'guan'tang 管塘
'guan'tian 官田
'guan'tian'shui'ku 官田水库
'guan'ting 官厅
'guan'yin'ge 观音阁
'guan'yin'qiao 观音桥
'guan'yin'tang 观音堂
'guang'dong'sheng'nong'ye'shi'yan'zhan 广东省农业试验站
'guang'dong'sheng'shui'wen'ju 广东省水文局
'guang'dong'sheng'shui'wen'zong'zhan 广东省水文总站
'guang'fu 广福
'guang'jiu'qiao 广九桥
'guang'long'hua 广隆化
'guang'ning'xian 广宁县
'guang'tan 广潭
'guang'zhou'dian'chang 广州电厂
'guang'zhou'fu'biao'chang 广州浮标厂
'guang'zhou'zheng'fa 广州蒸发
'gui'dong 贵东
'gui'dong 桂洞
'gui'gang'xu 圭岗圩
'gui'he 桂河
'gui'jiang 圭江
'gui'jiang 桂江
'gui'ling'jiang 桂岭江
'gui'mei'shan 归美山
'gui'nan 桂南
'gui'nan'shui'ku 桂南水库
'gui'ren'cun 贵人村
'gui'tian 桂田
'gui'tian'cun 桂田村
'gui'tian'shui'ku 桂田水库
'gui'tou 桂头
'gui'wang 贵旺
'gui'xu 桂圩
'gui'zhou'shui'dao 桂洲水道
'gui'zhu 桂竹
'gui'zhu'mao 桂竹帽
'gui'zhu'shui'ku 桂竹水库
'gui'zhu'yuan 桂竹园
'guo'cheng'xian 过程线
'guo'du'chou'qu 过度抽取
'guo'shui'duan'mian 过水断面
'hai'feng 海丰
'hai'feng'xian 海丰县
'hai'kang'xian 海康县
'hai'le'shao'mo'ni 海勒邵模拟
'hai'ping'mian 海平面
'hai'wei 海尾
'hai'zhou'shui'dao 海洲水道
'han'gu 旱谷
'han'guang 含光
'han'jiang 韩江
'han'jiang'dong'xi 韩江东溪
'han'jiang'xi'xi 韩江西溪
'han'ping 旱平
'han'ping'shui'ku 旱平水库
'han'sha'liang 含沙量
'han'shui'ceng 含水层
'han'zhu'jiao 含珠窖
'hao'jiang'qu 濠江区
'he'ao 荷坳
'he'bei 河背
'he'cao 河槽
'he'chang 河长
'he'cheng 鹤城
'he'chuan'jing'liu 河川径流
'he'cun 河村
'he'di 鹤地
'he'di'shui'ku 鹤地水库
'he'dong 荷垌
'he'duo'bu 禾多布
'he'gan 河干
'he'gu'tiao'xu'liang 河谷调蓄量
'he'guang 贺光
'he'he 合河
'he'he'shui'ku 合河水库
'he'jia'tian 何家田
'he'jiang 贺江
'he'jiang 合江
'he'jiang'kou 合江口
'he'jiang'xu 合江墟
'he'jiao 河角
'he'jiao'shui'ku 河角水库
'he'lao'ping 河涝坪
'he'lao'ping'shui'ku 河涝坪水库
'he'li'xing 合理性
'he'liao'tang 禾寮塘
'he'liu'deng'ji 河流等级
'he'liu'liu'yu 河流流域
'he'liu'pin'shuo 河流频数
'he'liu'shen'tan 河流深潭
'he'liu'wan'qu'du 河流弯曲度
'he'liu'xue 河流学
'he'liu'zong'duan'mian 河流纵断面
'he'liu'zong'pou'mian 河流纵剖面
'he'long 和龙
'he'long'shui'ku 和龙水库
'he'man'tan 河漫滩
'he'men'kou 河门口
'he'mian'shi'shui'ku 合面狮水库
'he'pai 河排
'he'pi 河皮
'he'ping'xian 和平县
'he'po 河婆
'he'qu 河曲
'he'shan 合山
'he'shan'shi 鹤山市
'he'shan'xian 鹤山县
'he'shan'yan 和山岩
'he'shan'yan'shui'ku 和山岩水库
'he'she 河輋
'he'she'shui'ku 河輋水库
'he'shi 鹤市
'he'shi 合石
'he'shui 合水
'he'shui'kou 合水口
'he'shui'shui'ku 合水水库
'he'shui'xu 合水圩
'he'tian 河田
'he'tou 河头
'he'wan 河湾
'he'wang 河网
'he'wang'mi'du 河网密度
'he'wang'xing'shi 河网形式
'he'xi 合溪
'he'xi 河溪
'he'xi 涸溪
'he'xi'shui'ku 合溪水库
'he'xi'shui'ku 河溪水库
'he'yuan'shi 河源市
'he'zi'kou 河子口
'hei'wan 黑湾
'heng'bei 横陂
'heng'bian'yong 横边涌
'heng'ding'liu 恒定流
'heng'dong'he 横东河
'heng'duan'mian 横断面
'heng'feng 横峰
'heng'gang 横岗
'heng'gang'shui'ku 横岗水库
'heng'gang'xia 横岗下
'heng'jiang 横江
'heng'jiang'shui'ku 横江水库
'heng'keng 横坑
'heng'li 横沥
'heng'ling 横岭
'heng'long 横陇
'heng'men 横门
'heng'men'bei'cha 横门北汊
'heng'men'nan'cha 横门南汊
'heng'men'shui'dao 横门水道
'heng'shan'shang 横山上
'heng'shi 横石
'heng'shi'xin'xu 横石新墟
'heng'tan 横潭
'heng'yong 横涌
'hong'chang 红场
'hong'chang'shui'ku 红场水库
'hong'fan'ping'yuan 洪泛平源
'hong'fan'qu 洪泛区
'hong'feng'liu'liang 洪峰流量
'hong'guang 虹光
'hong'hen 洪痕
'hong'hu 红湖
'hong'hua'di 红花地
'hong'hua'di'shui'ku 红花地水库
'hong'hua'hu 红花湖
'hong'hua'hu'shui'ku 红花湖水库
'hong'hua'ta 红花塔
'hong'kou'she 红口輋
'hong'kou'she'shui'ku 红口輋水库
'hong'liang 洪量
'hong'qi'li 洪奇沥
'hong'qiao 红桥
'hong'shui'biao'ji 洪水标记
'hong'shui'guo'cheng'xian 洪水过程线
'hong'shui'he'cao 洪水河槽
'hong'tu'feng 鸿图峰
'hong'tu'zhang 鸿图嶂
'hong'wan 洪湾
'hong'wei 红卫
'hong'wei'xu 红卫圩
'hong'wu'wo 洪屋涡
'hong'xi'shi 虹吸式
'hong'xia 鸿霞
'hong'xin'lou 红心楼
'hong'xin'lou'shui'ku 红心楼水库
'hong'yang 红阳
'hong'yang'shui'ku 红阳水库
'hou'bu 后步
'hou'keng 厚坑
'hou'li 后沥
'hou'tang 后塘
'hou'wan 后湾
'hou'yang 后洋
'hou'yuan'xu 厚园圩
'hou'zi'dong 猴子岽
'hu'bing 湖冰
'hu'cha'tang 虎叉塘
'hu'di 笏邸
'hu'guang'yan 湖光岩
'hu'guang'yan'shui'ku 湖光岩水库
'hu'ju 虎局
'hu'lang 湖朗
'hu'lang'shui'ku 湖朗水库
'hu'lu'kuai 葫芦块
'hu'lu'shui'ku 葫芦水库
'hu'lu'tan 葫芦潭
'hu'lu'tan'shui'ku 葫芦潭水库
'hu'luo'chong 湖罗冲
'hu'mian'bo'dong 湖面波动
'hu'po'lv 湖泊率
'hu'po'shui'wen'xue 湖泊水文学
'hu'shui'dui'liu 湖水对流
'hu'tan 湖滩
'hu'tiao'men'shui'dao 虎跳门水道
'hu'zhao'shui'wen'xue 湖沼水文学
'hu'zhao'xue 湖沼学
'hua'di'tou 华地头
'hua'dong 华垌
'hua'dou 花斗
'hua'dou'shui'ku 花斗水库
'hua'du'qu 花都区
'hua'jing 花径
'hua'shan 花山
'hua'shan'shui'ku 花山水库
'hua'shan'xi 花山溪
'hua'shen'can 花身蚕
'hua'shen'can'shui'ku 花身蚕水库
'hua'shu'xia 花树下
'hua'shu'xia'shui'ku 花树下水库
'hua'tan 滑滩
'hua'xian 花县
'hua'xian 化县
'hua'xue'xu'yang'liang 化学需氧量
'hua'zhou'shi 化州市
'hua'zhou'xian 化州县
'huai'ji 怀集
'huai'ji'xian 怀集县
'huai'xiang'xu 怀乡圩
'huang'bu 黄布
'huang'bu'tou 潢步头
'huang'chong 黄冲
'huang'cuo'cao'xi 黄厝草溪
'huang'dong 黄洞
'huang'dong'he 黄洞河
