'a'han'gu'si 阿含古寺
'ji'yun'biao 姬云彪
'ji'yun'cheng 姬云成
'ji'yun'feng 姬云峰
'ji'yun'feng 姬云枫
'ji'yun'ge 姬云歌
'ji'yun'lin 姬云林
'ji'yun'sheng 姬云升
'ji'yun'teng 姬云腾
'ji'zi 姬子
'ji'zi'yue 姬紫月
'jiang'bo 姜伯
'jiang'cai'xuan 姜采萱
'jiang'chuan 姜川
'jiang'feng 姜峰
'jiang'han'zhong 姜汉忠
'jiang'huai'an 姜怀安
'jiang'huai'ren 姜怀仁
'jiang'jia 姜家
'jiang'lao'bo 姜老伯
'jiang'rui 姜锐
'jiang'tai'xu 姜太虚
'jiang'ting'ting 姜婷婷
'jiang'yi 姜义
'jiang'yi'chen 姜逸晨
'jiang'yi'fei 姜逸飞
'jiang'yun 姜云
'jiang'zhe 姜哲
'jiang'zu'sheng'zhu 姜族圣主
'jin'bei 锦贝
'jin'chan 金蟾
'jin'chi'lao'peng'wang 金翅老鹏王
'jin'chi'peng'niao 金翅鹏鸟
'jin'chi'xiao 金赤霄
'jin'chi'xiao'peng'wang 金翅小鹏王
'jin'fa'da'sheng 金发大圣
'jin'gang'fo 金刚佛
'jin'gang'yao 金刚妖
'jin'qu'shao'zhu 禁区少主
'jin'she 金蛇
'jin'she'zu 金蛇族
'jin'wu'da'di 金乌大帝
'jin'wu'jiu'tai'zi 金乌九太子
'jin'wu'tai'zi 金乌太子
'jin'wu'wang 金乌王
'jin'wu'zu 金乌族
'jin'xia'dong'tian 金霞洞天
'jin'yan 金燕
'jin'yu 金煜
'jin'yu 金羽
'jiu'huang'zu'wang 九凰祖王
'jiu'jie'dao'ren 九劫道人
'jiu'li'shen'chao 九黎神朝
'jiu'li'tian'que 九黎天阙
'jiu'qiao'shi'ren 九窍石人
'jiu'shu'zu 九叔祖
'jiu'tian'guo'du 九天国度
'jiu'tou'jiao'wang 九头蛟王
'jiu'wei'e'long 九尾鳄龙
'jiu'xiao'sheng'di 九霄圣地
'jiu'yan'bi'chan 九眼碧蟾
'jiu'zi'gui'mu 九子鬼母
'jiu'zi'mo'qi'hu 九子魔麒虎
'jue'you'qing 觉有情
'jun'wei'shan'zhu 君威山主
'kai'de 凯德
'kan'chai'lao'ren 砍柴老人
'kong'que'zu 孔雀族
'kong'teng 孔腾
'kou'xiao'xiao 寇晓晓
'ku'ci 苦慈
'ku'hai 苦海
'ku'tou'tuo 苦头陀
'ku'zhu 苦竹
'kuai'huo'bang 快活帮
'kuang'jiao 矿教
'kun'gu 昆古
'kun'lun'xing 昆仑星
'kun'lun'yi'zu 昆仑遗族
'kun'tian'shen'jiang 坤天神将
'kun'yun'cheng 昆云城
'kun'zhou'da'sheng 昆宙大圣
'lan'feng 蓝枫
'lan'mo'tian'wang 蓝魔天王
'lan'mo'yuan 蓝魔渊
'lan'mo'zu 蓝魔族
'lan'tuo'si 兰陀寺
'lang'tian'ye 狼天野
'lao'ba 老八
'lao'bu'si 老不死
'lao'can 老蚕
'lao'dao'ba'zi 老刀把子
'lao'feng'zi 老疯子
'lao'fu'zhu 老府主
'lao'he'shang 老和尚
'lao'jin'wu 老金乌
'lao'jiu 老九
'lao'liu 老六
'lao'qi 老七
'lao'shi'er 老十二
'lao'shi'san 老十三
'lao'shi'yi 老十一
'lao'wu 老五
'lao'zu'wang 老祖王
'lei'bo 雷勃
'lei'hai 雷海
'lei'sha'shou 雷煞兽
'lei'zhan 镭战
'li'chang'qing 李长青
'li'cheng 丽城
'li'chong'tian 李重天
'li'dao'qing 李道清
'li'dao'zhang 李道长
'li'de'sheng 李德生
'li'dong'lai 李东来
'li'fei 李飞
'li'hei'shui 李黑水
'li'hei'shui'hai'zi 李黑水孩子
'li'huo'jiao 离火教
'li'jia'qi'shao'ye 李家七少爷
'li'jun 李钧
'li'lin 黎琳
'li'mu'qing 李木青
'li'rui 李瑞
'li'ruo'yu 李若愚
'li'tian 厉天
'li'wen'tian 李问天
'li'xiao'man 李小曼
'li'xin'yue 李心月
'li'yi'shui 李一水
'li'ying 李颖
'li'you'ran 李悠然
'li'you'you 李幽幽
'li'yuan 李元
'li'yun 李云
'li'zhang'men 李掌门
'lian'yao'shan 炼药山
'lin'dao'chen 林道尘
'lin'han 林翰
'lin'jia 林佳
'lin'ling 林灵
'lin'tian'zu'wang 麟天祖王
'lin'yuan'wang 鳞猿王
'lin'zu 林族
'ling'bao'pai 灵宝派
'ling'er 灵儿
'ling'guo 灵国
'ling'guo'tai'zi 灵国太子
'ling'shen 灵神
'ling'xiao 凌霄
'ling'xu'dong'tian 灵墟洞天
'liu'cheng'en 刘承恩
'liu'cheng'wang 刘承望
'liu'feng 刘丰
'liu'kou 柳寇
'liu'ming'de 刘明德
'liu'sheng 刘胜
'liu'shi'yi'zu 刘氏一族
'liu'wan'shan 刘万山
'liu'xing'dao 流星岛
'liu'ye 刘邺
'liu'yi'yi 柳依依
'liu'yun 柳云
'liu'yun'zhi 刘云志
'long'que 龙雀
'long'que'zu 龙雀族
'long'xiao'que 龙小雀
'lu'dong'fa 陆东法
'lu'dong'lai 陆东来
'lu'ya 陆鸦
'luan'gu'ge'bi 乱古戈壁
'lun'duo 伦铎
'lun'hui'hai 轮回海
'lun'hui'zhi'zhu 轮回之主
'luo'tian'huang'yuan 罗天荒原
'luo'xia'men 落霞门
'luo'xia'shan 落霞山
'luo'zhi 罗志
'ma'yun 马云
'man'huang'gu'lin 蛮荒古林
'man'wang 蛮王
'miao'yu'an 妙欲庵
'miao'yu'hu 妙欲湖
'ming'he 冥河
'ming'huang'zi 冥皇子
'ming'ling 冥岭
'ming'qing'guan 明青关
'ming'ren 明仁
'ming'shen'gong 冥神宫
'ming'tan 冥潭
'mo'feng 墨风
'mo'gui'yuan 魔鬼猿
'mo'guo 魔国
'mo'ke 摩柯
'mo'pu 莫普
'mo'sheng 魔圣
'mo'wen'tian 莫问天
'mo'xue 莫雪
'mu'guang'han 穆广寒
'mu'ni 穆尼
'nan'gong'jia'zu 南宫家族
'nan'gong'qi 南宫奇
'nan'gong'zheng 南宫正
'nan'ling 南岭
'nan'tian'men 南天门
'ning'fei 宁飞
'niu'shen'wang 牛神王
'niu'wang 牛王
'niu'yi 牛义
'ou'yang'ye 欧阳晔
'ou'ye'mo 欧冶魔
'ou'ye'tian 欧冶天
'pang'bo 庞博
'peng'lai'tian'zun 蓬莱天尊
'peng'lai'zhi'zhu 蓬莱之主
'piao'miao'feng 缥缈峰
'qi'kun 齐坤
'qi'lin 齐麟
'qi'lin'gu'huang 麒麟古皇
'qi'lin'sheng'shi 麒麟圣使
'qi'luo 齐罗
'qi'meng 齐萌
'qi'qi 齐琪
'qi'ri'dao'ren 栖日道人
'qi'shi'fang 奇石坊
'qi'shi'fu 奇士府
'qi'shu'zu 七叔祖
'qi'tai'zi 七太子
'qi'tian 戚天
'qi'tian'cheng 歧天城
'qi'tian'zhi'zun 弃天至尊
'qi'xia'shan'mai 栖霞山脉
'qi'xia'yuan 栖霞原
'qi'xing'ge 七星阁
'qi'yao'guang 齐耀光
'qi'yun 齐云
'qi'zheng 戚征
'qian'lun'da'sheng 乾仑大圣
'qian'mu'dao 千幕岛
'qian'shou'shen'mo 千手神魔
'qin'men 秦门
'qin'yao 秦瑶
'qin'yue 秦月
'qing'di 青帝
'qing'di'sha'nian 青帝杀念
'qing'gu'dao'ren 清古道人
'qing'huang'dao'ren 青凰道人
'qing'jiao'wang 青蛟王
'qing'ling'si 青菱寺
'qing'ming'gu'cheng 青冥古城
'qing'shi'xian'zi 青诗仙子
'qing'tong'xian'dian 青铜仙殿
'qing'xia'men 青霞门
'ren'shi'jian'shen'zi 人世间神子
'ren'wang 人王
'ren'wang'dian 人王殿
'ren'wang'fu'dian'zhu 人王副殿主
'ren'wang'gu'xing'yu 人王古星域
'ren'yu'dao 人欲道
'ren'zu'di'er'sheng'cheng 人族第二圣城
'ren'zu'di'wu'shi'guan 人族第五十关
'ren'zu'di'yi'guan 人族第一关
'ren'zu'sheng'cheng 人族圣城
'ri'yue'shen'jiang 日月神将
'rui'wei 芮玮
'san'que'dao'ren 三缺道人
'san'shou'ling 三首领
'san'tai'zi 三太子
'san'xiu'zu'wang 散修祖王
'san'yan'gu'zu 三眼古族
'san'zu'jin'wu 三足金乌
'sang'gu 桑古
'sha'sheng 杀圣
'shan'dian'huang'niao 闪电凰鸟
'shan'dian'niao 闪电鸟
'shan'huang 山凰
'shan'yan'cheng 山岩城
'shang'gu'yi'liu'de'zhan'chang 上古遗留的战场
'she'jing'tong'zi 蛇精童子
'shen'can'dao'ren 神蚕道人
'shen'can'gong'zhu 神蚕公主
'shen'can'ling 神蚕岭
'shen'fa'cheng 神罚城
'shen'hu 神湖
'shen'hu 神狐
'shen'hua'gang 神话岗
'shen'hua'gu'lu 神话古路
'shen'huang'shi 神皇尸
'shen'ling'gu 神灵谷
'shen'lun'zu 神轮族
'shen'ming 神冥
'shen'mo 神漠
'shen'qi'nian 神祇念
'shen'qi'shi 神骑士
'shen'suan'zi 神算子
'shen'ting 神庭
'shen'ting'da'sheng 神庭大圣
'shen'ting'di'zhu 神庭帝主
'shen'ting'zhi'zhu 神庭之主
'shen'tu'xing'hai 神土星海
'shen'wa 神娃
'shen'xia'si 神霞寺
'shen'xu 神墟
'shen'you 神幽
'shen'yu 神域
'shen'yu'sheng'nv 神域圣女
'shen'zu'lao'zu 神族老祖
'shen'zu'zhi 神组织
'shen'zun 神尊
'sheng'gui'zu 生鬼族
'sheng'huang'zi 圣皇子
'sheng'ming'jin'qu 生命禁区
'sheng'ya 圣崖
'shi'hu 石虎
'shi'huang 石皇
'shi'jin'shou 食金兽
'shi'lang 石狼
'shi'lin'qu 石林区
'shi'mo'jiao 始魔教
'shi'mo'xing'hai 始魔星海
'shi'san'da'kou 十三大寇
'shi'shen'chong 弑神虫
'shi'tai'zi 十太子
'shi'tian'xiong'shou 弑天凶兽
'shi'zhong'xuan 石中轩
'shi'zu 石族
'shui'yue'xiao'zhu 水月小筑
'si'lang'jun 四郎君
'si'tai'zi 四太子
'si'tu'feng 司徒风
'si'wang'guo'du 死亡国度
'si'xiang'sheng'di 四象圣地
'song'tian'feng 宋天峰
'sun'kun 孙坤
'tai'chu'gu'kuang 太初古矿
'tai'gu'huang'zu 太古皇族
'tai'gu'nv'wang 太古女王
'tai'gu'ren'zu 太古人族
'tai'gu'wang'zu 太古王族
'tai'ming'zu'wang 太冥祖王
'tai'xuan'pai'xing'feng 太玄派星峰
'tai'xuan'pai'zhuo'feng 太玄派拙峰
'tai'yang'gu'huang 太阳古皇
'tai'yang'gu'jiao 太阳古教
'tai'yang'jun'wang 太阳君王
'tai'yang'shen'ting'yi'zhi 太阳神庭遗址
'tai'yin'huang'shen'qi'nian 太阴皇神祇念
'tai'yin'jiao 太阴教
'tai'yin'shen'zi 太阴神子
'tai'yuan 太渊
'teng'qing'zu'wang 藤青祖王
'teng'she'da'di 螣蛇大帝
'teng'she'zu 螣蛇族
'tian'bing'gu'xing 天兵古星
'tian'chong'xing'xi 天虫星系
'tian'du'shan'mai 天都山脉
'tian'duan'shan'mai 天断山脉
'tian'gang'dao'shi 天罡道士
'tian'gou'zu 天狗族
'tian'hu'shang'ren 天狐上人
'tian'huang'shi'san'qi 天荒十三骑
'tian'huang'zi 天皇子
'tian'ji'ge 天机阁
'tian'lang'shan 天狼山
'tian'lin'zu 天麟族
'tian'ting'yi'zhi 天庭遗址
'tian'xia'lao'ren 天瞎老人
'tian'xie'zu 天蝎族
'tian'xuan'sheng'di 天璇圣地
'tian'xuan'sheng'nv 天璇圣女
'tian'yao'bao'que 天妖宝阙
'tian'yao'gong 天妖宫
'tian'yao'lao'lao 天妖姥姥
'tian'yao'meng 天妖盟
'tian'yao'wang 天妖王
'tian'yuan'cheng 天元城
'tian'zhi'cun 天之村
'tong'yan'lao'ren 童颜老人
'tong'yi'wang 铜蚁王
'tu'fei 涂飞
'tu'luan 荼栾
'tu'tian 涂天
'tun'shen'shu 吞神鼠
'tun'tian'shou 吞天兽
'tuo'ba'chang 拓跋昌
'tuo'ba'jia'zu 拓跋家族
'tuo'ba'mo 拓跋漠
'tuo'ba'yu 拓跋玉
'tuo'lan'sheng'wang 驮兰圣王
'wan'chu'sheng'di 万初圣地
'wan'chu'sheng'zhu 万初圣主
'wan'chu'sheng'zi 万初圣子
'wan'long'chao 万龙巢
'wan'long'huang 万龙皇
'wan'shi'tong 万事通
'wan'yao'gu 万妖谷
'wan'zu 万族
'wang'chen 王晨
'wang'cheng'feng 王成风
'wang'cheng'kun 王成坤
'wang'cheng'tian 王成天
'wang'cheng'yun 王成云
'wang'chong 王冲
'wang'chong'xiao 王冲霄
'wang'jia 王家
'wang'jing 王静
'wang'kong'cheng 望空城
'wang'lie 王烈
'wang'shen'yi 王神医
'wang'shu 王枢
'wang'teng 王腾
'wang'tian'yu 王天羽
'wang'xi 王曦
'wang'xu 王旭
'wang'yan 王艳
'wang'yang'zhan 王阳战
'wang'zheng 王铮
'wang'zi'wen 王子文
'wei'guo 魏国
'wei'wei 薇薇
'wei'yi 卫易
'wu'dao 吴道
'wu'dao'que 吴道缺
'wu'fei 吴菲
'wu'gu 乌古
'wu'jin'yuan 乌金猿
'wu'qing'feng 吴清风
'wu'shi'da'di 无始大帝
'wu'shu'zu 五叔祖
'wu'tai'zi 五太子
'wu'xing'dian 五行殿
'wu'xing'gong 五行宫
'wu'ya'dao'ren 乌鸦道人
'wu'yi 吴奕
'wu'zhong'tian 吴中天
'wu'zi'ming 吴子明
'xi'ba'cheng 西坝城
'xi'hai'sha'sheng'wang 西海鲨圣王
'xi'luan 席鸾
'xi'mo 西漠
'xi'mo'lao'seng 西漠老僧
'xi'mo'ti 悉摩提
'xi'ri'ba'ti 昔日霸体
'xia'feng'gu'sheng 夏枫古圣
'xia'jiu'you 夏九幽
'xia'yi'lin 夏一琳
'xia'yi'ming 夏一鸣
'xian'he 仙鹤
'xian'he'wang 仙鹤王
'xian'he'zu 仙鹤族
'xian'he'zu'zhang 仙鹤族长
'xian'jian'men 仙剑门
'xian'lao 仙姥
'xian'ling 仙陵
'xian'yu'jia'zu 仙羽家族
'xian'yu'xing'hai 仙羽星海
'xiang'yi'fei 项一飞
'xiang'yu'fei 向宇飞
'xiao'jia 萧家
'xiao'ming'yuan 萧明远
'xiao'nan'nan 小囡囡
'xiao'que'er 小雀儿
'xiao'song 小松
'xiao'tai'shi 萧太师
'xiao'yao'men 逍遥门
'xiao'yun'sheng 萧云升
'xiao'zhi 萧志
'xiao'zi 小紫
'xie'shen 邪神
'xie'shi 邪尸
'xin'lan 莘岚
'xin'yue 莘月
'xing'feng'zhi'zhu 星峰之主
'xing'xu 星墟
'xu'dao'ling 徐道凌
'xu'hai 徐海
'xu'heng 徐恒
'xu'kong'da'di 虚空大帝
'xu'li 徐莉
'xu'mi'shan 须弥山
'xu'qiong 许琼
'xu'tian'xiong 徐天雄
'xu'ye 许晔
'xu'yuan 徐元
'xu'zhi'nv 墟之女
'xu'zi'xuan 徐子轩
'xuan'chi 玄敕
'xuan'du'dong 玄都洞
'xuan'guang 玄光
'xuan'gui'shang'ren 玄龟上人
'xuan'jia 宣家
'xuan'kong'si 悬空寺
'xuan'lin'feng 宣临风
'xuan'ming 宣明
'xuan'mo 宣墨
'xuan'qiu'gu'cheng 轩丘古城
'xuan'tuo 宣陀
'xuan'wu 玄武
'xuan'yi 玄一
'xuan'yu 玄羽
'xuan'yuan'pai 玄元派
'xuan'yue'dong 玄月洞
'xue'chen 雪尘
'xue'dian'zu 血电族
'xue'dian'zu'wang 血电祖王
'xue'huang'shan 血凰山
'xue'shi 血狮
'xue'shou 血兽
'xue'ying 血鹰
'xue'yue'ling 血月岭
'xue'yue'qing 雪月清
'xue'yue'wang 血月王
'xue'yue'zu 血月族
'xun'long'shang'ren 寻龙上人
'yan'chi'feng 燕赤峰
'yan'qi 炎麒
'yan'ru'yu 颜如玉
'yan'xia'dong'tian 烟霞洞天
'yan'xiao'yu 彦小鱼
'yan'yi'xi 燕一夕
'yan'yu 燕宇
'yan'yun'luan 燕云乱
'yan'yun'men 燕云门
'yan'zu 燕族
'yang'gu'tang'gu 旸谷汤谷
'yang'kun 杨昆
'yang'xi 杨熙
'yang'xiao 杨晓
'yang'yi 杨怡
'yang'yi 杨毅
'yang'yi'zhen 杨易真
'yang'yun'teng 杨云腾
'yao'chi'sheng'di 瑶池圣地
'yao'chi'sheng'nv 瑶池圣女
'yao'guang'sheng'di 摇光圣地
'yao'guang'sheng'zi 摇光圣子
'yao'guang'wang 摇光王
'yao'huang'dian 妖皇殿
'yao'xi 姚曦
'yao'yue'kong 妖月空
'yao'zu 妖族
'ye'fan 叶凡
'ye'hui'ling 叶慧灵
'ye'ren'xiao'nv'er 野人小女儿
'ye'tong 叶曈
'ye'wu'hun 夜无魂
'ye'yi'shui 叶依水
'yi'ming 伊明
'yi'qing'wu 伊轻舞
'yi'shu 易叔
'yin'chi'wu'gong 银翅蜈蚣
'yin'fa'da'sheng 银发大圣
'yin'tian'de 尹天德
'yin'tian'zhi 尹天志
'yin'tong'lao'zhe 银瞳老者
'yin'xue'wang'zu 银血王族
'yin'yang'jiao 阴阳教
'yin'yang'jiao'sheng'nv 阴阳教圣女
'yin'yang'jiao'sheng'zi 阴阳教圣子
'yin'yue'tian'wang 银月天王
'yin'yue'zhan'shen 银月战神
'yong'heng'guo'du 永恒国度
'yong'heng'xing'yu 永恒星域
'yong'heng'zhu'xing 永恒主星
'you'mo'shen 幽魔神
'you'ruo 幽若
'you'wei'yu 有为鱼
'you'yue'cheng 幽月城
'yu'die'gong'zhu 雨蝶公主
'yu'die'gong'zhu'nv'er 雨蝶公主女儿
'yu'ding'dong'tian 玉鼎洞天
'yu'han 于瀚
'yu'hua'da'di'de'nan'tong 羽化大帝的男童
'yu'hua'da'di'de'nv'tong 羽化大帝的女童
'yu'hua'gu'xing'yu 羽化古星域
'yu'hua'shen'chao 羽化神朝
'yu'hua'tian 羽化天
'yu'hua'xian'gu 羽化仙谷
'yu'hua'xian'ya 羽化仙崖
'yu'jiao'she 玉角蛇
'yu'lan 宇澜
'yu'mo 羽默
'yu'xian 羽仙
'yu'xu'men 玉虚门
'yu'yi'zu 羽翼族
'yu'yi'zu'nv'zi 羽翼族女子
'yu'yuan 虞渊
'yuan'gu 元古
'yuan'gu'zhong 远古冢
'yuan'gui 源鬼
'yuan'mo'zu 元魔族
'yuan'shen 源神
'yuan'shi'hu 原始湖
'yuan'wang 源王
'yue'ling'gong'zhu 月灵公主
'yue'qian'qiu 月千秋
'yue'shi'gong'zhu 月诗公主
'yun'duan'shan'mai 云断山脉
'yun'gen 昀亘
'yun'sheng'dao 殒圣岛
'yun'wang'fen 殒王坟
'yun'xia'xian'zi 云霞仙子
'yun'ze'zhou 云泽州
'zhan'shen'dian 战神殿
'zhan'wang 战王
'zhan'yi'fan 詹一凡
'zhang'ji'ye 张继业
'zhang'qing'yang 张清扬
'zhang'wen 张文
'zhang'wen'chang 张文昌
'zhang'yi 张忆
'zhang'zi'ling 张子陵
'zhao'fa 赵发
'zhao'gong'yi 赵公义
'zhao'qing'chuan 赵晴川
'zhao'yan'ran 赵嫣然
'zhao'zu 赵族
'zhen'dao'zhang 甄道长
'zhen'mo'dian 真魔殿
'zhen'xian'cheng 真贤城
'zhen'yu'huang 镇狱皇
'zheng'de 正德
'zhong'hun 钟魂
'zhong'zhou 中州
'zhou'yi 周毅
'zhu'huang 朱凰
'zhu'long'bu'luo 烛龙部落
'zhu'que'jiao 朱雀教
'zhu'que'sheng'shi 朱雀圣使
'zi'fu 紫府
'zi'fu'sheng'zhu 紫府圣主
