'an'chao'bi 暗潮币
'feng'zhen 风阵
'feng'zhi'lao'long'po'gang 风之牢笼破罡
'gang'qi 罡气
'ge'ren'wu'bei'xia 割刃武备匣
'gong'ji 攻击
'gu'qing'han 顾清寒
'guang'you 光佑
'gui'ren'an'zha 鬼刃暗扎
'gui'ren'an'zha'yu'bing 鬼刃暗扎御冰
'gui'ren'an'zha'yu'dian 鬼刃暗扎御电
'ha'di 哈迪
'han'bing'jia 寒冰甲
'han'bing'nu 寒冰弩
'han'ma'liu 喊妈流
'han'tian'jin 寒天劲
'he'dao 合道
'hei'huo'shang'ren 黑货商人
'hei'huo'yao 黑火药
'heng'bai'lie 横百裂
'heng'bai'lie'zhan 横百裂斩
'heng'bai'lie'zhan'yu'bing 横百裂斩御冰
'heng'bai'lie'zhan'yu'dian 横百裂斩御电
'heng'dao 横刀
'heng'jian'qi 横剑气
'heng'jian'qi'yu'bing 横剑气御冰
'heng'jian'qi'yu'dian 横剑气御电
'hong'ming'zhi'tan 鸿溟之滩
'hong'ming'zhi'tan'jing'su 鸿溟之滩竞速
'hong'pi 红皮
'hong'ye 红夜
'hu'bei'zhou 狐悲咒
'hu'jia'gong'ming 护甲共鸣
'hu'jia'qiang'gu 护甲强固
'hu'jia'qiang'hua 护甲强化
'hu'jia'zhuan'hua 护甲转化
'hu'jian 弧箭
'hu'tao 胡桃
'hu'wei 胡为
'hua'qi 化气
'huang'sha'bai'lian 黄沙百炼
'huang'sha'bai'lian'jing'su 黄沙百炼竞速
'huang'yu 黄玉
'huang'yu'mi'jing 黄玉秘境
'hui'jia'zhen'dang 回甲震荡
'hui'jia'zi'dong 回甲自动
'hun'ran'yi'xian 魂燃一线
'hun'yu'zi'xuan 魂玉自选
'huo'bi 货币
'huo'er 火二
'huo'gou 火狗
'huo'jian 火箭
'huo'lang'ti'shen 货郎替身
'huo'nan 火男
'huo'wan'xiang 火万象
'huo'yi 火一
'huo'zhen 火阵
'huo'zheng 火正
'ji'cang'hai 季沧海
'ji'jia 机甲
'ji'jing'an'xing'ji'nu 寂静暗邢激怒
'ji'ling'hu'jia 汲灵护甲
'ji'nu 激怒
'ji'pin'huang'yu 极品黄玉
'ji'pin'hun'yu 极品魂玉
'ji'pin'mi'jing'fu'yu 极品秘境符玉
'ji'she 急射
'ji'ying'ying 季莹莹
'ji'yun 激运
'jia'nan 迦南
'jian'jia 坚甲
'jin'er 金二
'jin'gang'fu'mo'shi'hun 金刚伏魔噬魂
'jin'hun'yu 金魂玉
'jin'pi 金皮
'jin'piao 金票
'jin'wan'xiang 金万象
'jin'yi 金一
'jin'yu 金玉
'jing'bei'dan'xia 精备弹匣
'jing'ke'xian'bi 荆轲献匕
'jing'ke'xian'bi'yu'bing 荆轲献匕御冰
'jing'ke'xian'bi'yu'dian 荆轲献匕御电
'jing'shui'liu'shen 静水流深
'jing'shui'liu'shen'jing'su 静水流深竞速
'jing'su'bang 竞速榜
'jing'tian'di'zhu'gong 净天地助攻
'jing'zhe 惊蛰
'jing'zhe'luo'lei 惊蛰落雷
'jiu'you 九幽
'kang'lei'shu 抗雷术
'kang'long'juan'po 亢龙卷破
'kang'long'juan'po'yu'bing 亢龙卷破御冰
'kang'long'juan'po'yu'dian 亢龙卷破御电
'kuai'gong 快攻
'kun'lun'sheng'ying 昆仑圣影
'kuo'dao 阔刀
'lan'yue 蓝月
'lan'yue'yu'bing 蓝月御冰
'lan'yue'yu'dian 蓝月御电
'lei'feng 雷蜂
'lei'zhen 雷阵
'li'ren 利刃
'lian'huan'lei'zhen 连环雷阵
'lian'jia'jin 炼甲劲
'lian'xu'bing'bao 连续冰雹
'lian'zhu'pao 连珠炮
'liao'yu'jin 疗愈劲
'lie'kong 裂空
'lie'kong'yu'bing 裂空御冰
'lie'kong'yu'dian 裂空御电
'ling'bo 凌波
'ling'jue 灵玦
'liu'tian'lei 流天雷
'lun'yi'tao 轮椅套
'luo'bing'shu 落冰术
'luo'lei 落雷
'luo'lei'lian'huan 落雷连环
'luo'lei'qiang'hua 落雷强化
'luo'lei'xiang'ji 落雷相激
'luo'ri'yu'jin 落日余烬
'luo'ri'yu'jin'jing'su 落日余烬竞速
'mi'jing 秘境
'mi'jing'fu'yu 秘境符玉
'mi'yin 秘隐
'miao'shou 妙手
'mo'fa'zhi'zai 末法之灾
'mo'fa'zhi'zai'jing'su 末法之灾竞速
'mu'er 木二
'mu'wan'xiang 木万象
'mu'yi 木一
'ning'hong'ye 宁红夜
'ning'shen 凝神
'nu'ji'gai'zao 弩机改造
'pai'hang'bang 排行榜
'po'bing 破冰
'po'gang 破罡
'po'gang'dan 破罡弹
'po'gang'hua'shen 破罡化神
'po'gang'ji 破罡技
'qi'li'duan'jin 其利断金
'qi'li'duan'jin'jing'su 其利断金竞速
'qian'jun'bi'yi'shi'hun 千军辟易噬魂
'qian'neng 潜能
'qian'neng'dian 潜能点
'qiang'gong'hui'jin 强攻挥金
'qiang'hua'bei'dan 强化备弹
'qiang'yun 强运
'qiang'zhen 强振
'qiang'zhen'feng'xi 强振风袭
'qiang'zhen'hun'ran 强振魂燃
'qiang'zhen'jie'li 强振竭力
'qiang'zhen'po'gang 强振破罡
'qiang'zhen'xiang'ji 强振相激
'qiang'zhen'zhi'shang 强振直伤
'qiao'jiang 巧匠
'qing'bai'fan'yin 青白返阴
'qing'bai'xiang'ji 青白相激
'qing'gui 青鬼
'qing'gui'yu'bing 青鬼御冰
'qing'gui'yu'dian 青鬼御电
'qing'lei'ning'ju 青雷凝聚
'qing'lei'xiang'ji 青雷相激
'ran'shao 燃烧
'ren'ma 刃马
'ren'ma'lian'zhan 刃马连斩
'ren'ma'lian'zhan'yu'bing 刃马连斩御冰
'ren'ma'lian'zhan'yu'dian 刃马连斩御电
'ru'ru'bu'dong 如如不动
'ru'ru'bu'dong'jing'su 如如不动竞速
'san'niang 三娘
'san'she'qiang'hua 散射强化
'sha'nan 沙男
'shan'luan'beng'cui 山峦崩摧
'shan'luan'beng'cui'jing'su 山峦崩摧竞速
'shan'zi 扇子
'she'po 摄魄
'shen'miao 沈妙
'shen'qu 神躯
'shen'shi 神识
'shen'wei'jiang'lei 神威降雷
'shen'wei'kuang'lei 神威狂雷
'shen'wei'tian'jiang 神威天降
'shen'wei'zhi'dong 神威之冬
'shen'wei'zhi'fa 神威之罚
'shen'wei'zhi'lin 神威之凛
'shen'wei'zhi'nue 神威之虐
'shen'wei'zhi'shi 神威之时
'shen'wei'zhi'ye 神威之烨
'shen'yi 神异
'shen'yi'jing'su 神异竞速
'shen'yuan'meng'yan'po'gang 深渊梦魇破罡
'sheng'cun 生存
'shi'bing'jue 噬冰诀
'shi'dian'men 十殿门
'shou'hun 收魂
'shou'ling 首领
'shuang'bing'lei 霜冰雷
'shuang'chi 双持
'shuang'dao 双刀
'shuang'dong'yu'shen 霜冻御身
'shuang'duo'hun 双夺魂
'shuang'feng'pao 霜风炮
'shuang'huan'sao 双环扫
'shuang'huan'sao'yu'bing 双环扫御冰
'shuang'huan'sao'yu'dian 双环扫御电
'shuang'ji 双戟
'shuang'jie'gun 双节棍
'shui'er 水二
'shui'wan'xiang 水万象
'shui'yi 水一
'shui'zhen 水阵
'si'mian'fei'hua 四面飞花
'si'mian'fei'hua'yu'bing 四面飞花御冰
'si'mian'fei'hua'yu'dian 四面飞花御电
'si'xiang 四象
'si'xiang'duo'hun 四象夺魂
'si'xiang'fan'ji 四象反击
'si'xiang'hua'dong 四象化冻
'si'xiang'hua'shen 四象化神
'si'xiang'mi'bing 四象弥冰
'si'xiang'ning'shen 四象凝神
'si'xiang'po'gang 四象破罡
'si'xiang'shi'hun 四象噬魂
'sun'jia'ba'jiao 损甲霸脚
'tai'dao 太刀
'te'mu'er 特木尔
'tian'can'jian 天蚕茧
'tian'ci'wu'bei'xia 天赐武备匣
'tian'hai 天海
'tian'lei 天雷
'tian'ren'zhi'huo 天人之祸
'tian'ren'zhi'huo'jing'su 天人之祸竞速
'tie'ma'can'hong 铁马残红
'tie'ma'can'hong'yu'bing 铁马残红御冰
'tie'ma'can'hong'yu'dian 铁马残红御电
'tie'wei'zhao'lai'zhuang'tian 铁卫召来装填
'tong'jin 捅劲
'tong'jin'yu'bing 捅劲御冰
'tong'jin'yu'dian 捅劲御电
'tong'pi 铜皮
'tu'er 土二
'tu'wan'xiang 土万象
'tu'yi 土一
'tu'yu'men 土御门
'tu'yu'men'hu'tao 土御门胡桃
'wan'bi 完璧
'wan'bi'nu 完璧弩
'wan'ren'lun 万刃轮
'wan'xiang'jiang'lin 万象降临
'wan'xiang'jiang'lin'jing'su 万象降临竞速
'wei'lie'fu 围猎赋
'wei'lie'hua'shen 围猎化神
'wei'qing 魏轻
'wei'shi 卫士
'wu'bei'xia 武备匣
'wu'chen 无尘
'wu'ji'fu 武技赋
'wu'shang'fu 无伤赋
'wu'tian'xin'zhong 武田信忠
'wu'yan'chong 五眼铳
'xi'ling'shi 洗灵石
'xing'chun 醒春
'xu'lei 蓄雷
'xu'lei'jian 蓄雷剑
'xu'li 蓄力
'xu'ming'shu 续命术
'xu'neng'dan'xia 蓄能弹匣
'xu'ning'jin 蓄凝劲
'xuan'feng'zhan 旋风斩
'xuan'feng'zhan'yu'bing 旋风斩御冰
'xuan'feng'zhan'yu'dian 旋风斩御电
'xuan'lei 玄雷
'xuan'lei'shu 玄雷术
'xuan'shang'ren'wu 悬赏任务
'xue'man'gong'dao 雪满弓刀
'xue'man'gong'dao'jing'su 雪满弓刀竞速
'xue'zhen 血阵
'xun'lie'ru'huo'ji'nu 迅烈如火激怒
'yang'bian'jin 扬鞭劲
'yang'bian'jin'yu'bing 扬鞭劲御冰
'yang'bian'jin'yu'dian 扬鞭劲御电
'yang'shi'qin'po 阳蚀侵破
'yao'dao'ji 妖刀姬
'yi'fu'dang'guan 一夫当关
'yi'fu'dang'guan'jing'su 一夫当关竞速
'yi'wo'feng 一窝蜂
'yi'zhi'ci 羿之赐
'yin'lei'ba 引雷霸
'yin'lei'bai 引雷白
'yin'lei'chi 引雷赤
'yin'lei'qing 引雷青
'yin'lei'si'xiang 引雷四象
'yin'lei'xun 引雷迅
'yin'yang 阴阳
'yin'yang'ju'lie 阴阳聚裂
'yin'yang'shi'hun 阴阳噬魂
'yin'zhuo'qin'shi 阴浊侵蚀
'yin'zi'ping 殷紫萍
'ying'ji'hu'jia 应急护甲
'yong'shi 勇士
'you'long'bu 游龙步
'you'ming'bu 幽冥步
'you'pin'hun'yu 优品魂玉
'you'xiang'te'hui 优享特惠
'you'xu 右蓄
'yu'bing 御冰
'yu'di'lei 御地雷
'yu'dian 御电
'yu'dian'lei 御电雷
'yu'jin'dun'gan 御劲钝感
'yu'jin'nai'li 御劲耐力
'yu'jin'xiao'tui 御劲消退
'yu'ling'long 玉玲珑
'yuan'cheng 远程
'yuan'su 元素
'yuan'su'he 元素核
'yuan'su'ning'ju 元素凝聚
'yuan'su'qiang'hua 元素强化
'yuan'su'qiang'ji 元素强激
'yuan'su'qin'po 元素侵破
'yuan'su'xiang'ji 元素相激
'yuan'su'xu'neng 元素蓄能
'yuan'su'zhuan'hua 元素转化
'yue'shan 岳山
'zhan'ma'dao 斩马刀
'zhang'yun'tun'tu 瘴云吞吐
'zhang'yun'tun'tu'jing'su 瘴云吞吐竞速
'zhao'lei 召雷
'zhao'lei'hua'shen 召雷化神
'zhao'lei'jian 召雷剑
'zhao'lei'shu 召雷术
'zhao'shi 招式
'zhe'su 蛰苏
'zhe'xing 谪星
'zhen'dao 振刀
'zhen'tian'lei 振天雷
'zheng'shen 征神
'zheng'shen'bang 征神榜
'zhong'jie'zhi'dan 终结之弹
'zhong'ren 重刃
'zi'hun'yu 紫魂玉
'zi'piao 紫票
'zi'yu 紫玉
'zong'bai'lie 纵百裂
'zong'bai'lie'zhan 纵百裂斩
'zong'bai'lie'zhan'yu'bing 纵百裂斩御冰
'zong'bai'lie'zhan'yu'dian 纵百裂斩御电
'zong'jian'qi 纵剑气
'zong'jian'qi'yu'bing 纵剑气御冰
'zong'jian'qi'yu'dian 纵剑气御电
'zuo'xu 左蓄
