'an'te'jiang'xue'za'shi'zhi 安特将学杂识志
'si'hu'you'shi 死乎由是
'si'suo'yi'tong'zhi 思索以通之
'sui'cha'bian 虽察辩
'sui'wei'ming 虽未明
'sui'you'gao'pu 虽有槁暴
'suo'jian'zhe'ran'ye 所渐者然也
'suo'li'zhe'ran'ye 所立者然也
'suo'xi'zhe'ran'ye 所系者然也
'suo'yi'fang'xie'pi'er'jin'zhong'zheng'ye 所以防邪辟而近中正也
'teng'she'wu'zu'er'fei 螣蛇无足而飞
'tian'jian'qi'ming 天见其明
'tian'xia'bu'neng'dang'ye 天下不能荡也
'tian'zi'suo'yu 天子所予
'tu'xiang'zhi'ren'ye 涂巷之人也
'wei'qi'ren'yi'chu'zhi 为其人以处之
'wei'shan'bu'ji'xie 为善不积邪
'wei'zhi'ao 谓之傲
'wei'zhi'gu 谓之瞽
'wei'zhi'ren'ye 为之人也
'wei'zhi'yin 谓之隐
'wen'ku'zhe 问楛者
'wen'yi'er'gao'er'wei'zhi'can 问一而告二谓之囋
'wu'chang'qi'er'wang'yi 吾尝跂而望矣
'wu'chang'zhong'ri'er'si'yi 吾尝终日而思矣
'wu'gao'ye 勿告也
'wu'ge'cong'qi'lei'ye 物各从其类也
'wu'he'he'zhi'gong 无赫赫之功
'wu'heng'an'xi 无恒安息
'wu'hun'hun'zhi'shi'zhe 无惛惛之事者
'wu'lei'zhi'qi 物类之起
'wu'ting'ye 勿听也
'wu'wen'ye 勿问也
'wu'yi'cheng'jiang'hai 无以成江海
'wu'yi'zhi'qian'li 无以至千里
'wu'yu'bian'ye 勿与辩也
'wu'zhao'zhao'zhi'ming 无昭昭之明
'xi'fang'you'mu'yan 西方有木焉
'xi'suan'er'rui'ju'yan 醯酸而蜹聚焉
'xi'zhe'hu'ba'gu'se'er'liu'yu'chu'ting 昔者瓠巴鼓瑟而流鱼出听
'xi'zhi'wei'shao 系之苇苕
'xia'bu'neng'long'li 下不能隆礼
'xia'yin'huang'quan 下饮黄泉
'xiao'ren'zhi'xue'ye 小人之学也
'xie'hui'zai'shen 邪秽在身
'xie'liu'gui'er'er'ao 蟹六跪而二螯
'xin'li'zhi'you'tian'xia 心利之有天下
'xin'ru'jie'xi 心如结兮
'xing'hu'dong'jing 形乎动静
'xing'qu'dao'zhe'bu'zhi 行衢道者不至
'xing'wu'yin'er'bu'xing 行无隐而不形
'xing'you'zhao'ru'ye 行有招辱也
'xiu'mu'bu'zhe 朽木不折
'xue'bu'ke'yi'yi 学不可以已
'xue'e'hu'shi 学恶乎始
'xue'mo'bian'hu'jin'qi'ren 学莫便乎近其人
'xue'ye'zhe 学也者
'xue'zhi'hu'mei'er'hou'zhi'ye 学至乎没而后止也
'xue'zhi'jing'mo'su'hu'hao'qi'ren 学之经莫速乎好其人
'yi'chu'yan 一出焉
'yi'ge'chong'shu'ye 以戈舂黍也
'yi'ke'yi'wei'fa'ze 一可以为法则
'yi'mei'qi'shen 以美其身
'yi'ru'yan 一入焉
'yi'shi'shu'wei'zhi 以诗书为之
'yi'wei'qin'du 以为禽犊
'yi'yu'wei'chao 以羽为巢
'yi'zhui'can'hu'ye 以锥餐壶也
'yin'wu'zhao'ya'zhi'li 蚓无爪牙之利
'yong'xin'yi'ye 用心一也
'yong'xin'zao'ye 用心躁也
'you'bi'jiu'shi 游必就士
'you'zheng'qi'zhe 有争气者
'yu'ku'sheng'du 鱼枯生蠹
'yu'zai'shan'er'cao'mu'run 玉在山而草木润
'yu'zhi'ju'hei 与之俱黑
'yuan'sheng'zhu'er'ya'bu'ku 渊生珠而崖不枯
'yuan'zhi'suo'gou 怨之所构
'zai'tian'di'zhi'jian'zhe'bi'yi 在天地之间者毕矣
'ze'li'zheng'qi'jing'wei'xi'jing'ye 则礼正其经纬蹊径也
'ze'mo'shi'qiong'nian 则末世穷年
'ze'si'cun'er 则四寸耳
'ze'zhi'ming'er'xing'wu'guo'yi 则知明而行无过矣
'ze'zun'yi'bian'yi 则尊以遍矣
'zhen'ji'li'jiu'ze'ru 真积力久则入
'zheng'shi'zhi'ji'ye 政事之纪也
'zhong'hu'du'li 终乎读礼
'zhong'hu'wei'sheng'ren 终乎为圣人
'zhong'sheng'zhi'suo'zhi'ye 中声之所止也
'zhou'yu'shi'yi 周于世矣
'zhu'hu'xin 著乎心
