'ba'yin'neng'xie 八音能谐
'er'yu'gao'tao'qi'hou'ji'bo'yi'kui'long'chui'yi'peng'zu'zi'yao'shi'er'jie'ju'yong 而禹皋陶契后稷伯夷夔龙倕益彭祖自尧时而皆举用
'er'zhi'dai'li 而挚代立
'er'zhu'hou'xian'zun'xuan'yuan'wei'tian'zi 而诸侯咸尊轩辕为天子
'er'zu'shou'shun'yi'tian'xia 而卒授舜以天下
'fang'huan'dou'yu'chong'shan 放驩兜於崇山
'fang'qi'yue 放齐曰
'fang'wu'qian'li 方五千里
'fang'xun 放勋
'fei'hao'xue'shen'si 非好学深思
'fei'you'jie 匪有解
'fen'bei'san'miao 分北三苗
'fen'ming'xi'zhong 分命羲仲
'feng'di'xiang'wei'zhu'hou 封弟象为诸侯
'feng'huang'lai'xiang 凤皇来翔
'feng'jiao'gu'shu'yan 风教固殊焉
'feng'yu'suo'zhi 风雨所至
'fu'er'bu'jiao 富而不骄
'fu'er'hou'zhi'zhong'guo'jian'tian'zi'wei'yan 夫而後之中国践天子位焉
'fu'jiao'wan'min'er'li'hui'zhi 抚教万民而利诲之
'fu'qi'fu 服其服
'fu'wan 父顽
'fu'wan'min 抚万民
'fu'yi 父义
'gang'er'wu'nue 刚而毋虐
'gao'tao 皋陶
'gao'tao'wei'da'li 皋陶为大理
'gao'xin'fu'yue'jiao'ji 高辛父曰蟜极
'gao'xin'sheng'er'shen'ling 高辛生而神灵
'gao'xin'shi'you'cai'zi'ba'ren 高辛氏有才子八人
'gao'xin'yu'zhuan'xu'wei'zu'zi 高辛於颛顼为族子
'gao'yang'si'wei 高阳嗣位
'gao'yang'you'sheng'de'yan 高阳有圣德焉
'ge'chang'yan 歌长言
'ge'yi'qi'zhi'lai'gong 各以其职来贡
'gong'gong'guo'yin'pi 共工果淫辟
'gong'gong'pang'ju'bu'gong 共工旁聚布功
'gong'gong'shan'yan 共工善言
'gong'yong'bu'cheng 功用不成
'gu'bai'xing'bu'bian 故百姓不便
'gu'di'fu'shen'kao 顾弟弗深考
'gu'hao'huang'di 故号黄帝
'gu'huang'di'wei'you'xiong 故黄帝为有熊
'gu'nan'wei'qian'jian'gua'wen'dao'ye 固难为浅见寡闻道也
'gu'qi'qin 鼓其琴
'gu'sou'ai'hou'qi'zi 瞽叟爱後妻子
'gu'sou'cong'xia'zong'huo'fen'lin 瞽叟从下纵火焚廪
'gu'sou'fu'yue'qiao'niu 瞽叟父曰桥牛
'gu'sou'geng'qu'qi'er'sheng'xiang 瞽叟更娶妻而生象
'gu'sou'shang'fu'yu'sha'zhi 瞽叟尚复欲杀之
'gu'sou'xiang'xi 瞽叟象喜
'gu'sou'yu'xiang'gong'xia'tu'shi'jing 瞽叟与象共下土实井
'gu'zhu'wei'ben'ji'shu'shou 故著为本纪书首
'guan'ming'jie'yi'yun'ming 官名皆以云命
'guan'qi'de'yu'er'nv 观其德於二女
'gui'er'bu'shu 贵而不舒
'gun'fu'ming'hui'zu 鲧负命毁族
'hao'hao'huai'shan'xiang'ling 浩浩怀山襄陵
'hao'xing'xiong'te 好行凶慝
'he'bin'qi'jie'bu'ku'yu 河滨器皆不苦窳
'he'fu'fu'shan 合符釜山
'he'he'wan'guo 合和万国
'he'shi'yue'zheng'ri 合时月正日
'hou'gu'sou'you'shi'shun'chuan'jing 後瞽叟又使舜穿井
'hu'zhong'zei 怙终贼
'huan'dou'jin'yan'gong'gong 讙兜进言共工
'huan'dou'yue 讙兜曰
'huang'di'beng 黄帝崩
'huang'di'cong'er'zheng'zhi 黄帝从而征之
'huang'di'er'shi'wu'zi 黄帝二十五子
'huang'di'ju'xuan'yuan'zhi'qiu 黄帝居轩辕之丘
'huang'di'zhe 黄帝者
'huang'di'zhi'sun'er'chang'yi'zhi'zi'ye 黄帝之孙而昌意之子也
'huang'di'zhi'zeng'sun'ye 黄帝之曾孙也
'huang'shou'chun'yi 黄收纯衣
'hui'er'xin 惠而信
'hui'xin'e'zhong 毁信恶忠
'huo'bao'ding 获宝鼎
'ji'dai'yan'li 既代炎历
'ji'dai'zong 及岱宗
'ji'gun'yu'yu'shan 殛鲧於羽山
'ji'qiu 即求
'ji'you'xiao'guo 及有小过
'ji'zhou'zhi'ren'ye 冀州之人也
'jian'di'wei'san'shi'jiu'nian 践帝位三十九年
'jian'er'wu'ao 简而毋傲
'jian'shen'xian'sheng'nan'yan'zhi 荐绅先生难言之
'jian'si'yue'zhu'mu 见四岳诸牧
'jian'yu'wan'guo 监于万国
'jian'zhen'wei 践朕位
'jian'zhi'yu'tian 荐之於天
'jiang'ju'ruo'shui 降居若水
'jiao'ji'fu'yue'xuan'xiao 蟜极父曰玄嚣
'jiao'xiong'pi'pi'xiu'chu'hu 教熊罴貔貅貙虎
'jiao'zi 教子
'jie'ru'chu 皆如初
'jie'tong'xing'er'yi'qi'guo'hao 皆同姓而异其国号
'jie'wei'wei'shu'ren 皆微为庶人
'jie'yong'shui'huo'cai'wu 节用水火材物
'jie'you'jiang'tu 皆有疆土
'jie'yu'sha'shun 皆欲杀舜
'jie'yue 皆曰
'jie'yue'bo'yi'ke 皆曰伯夷可
'jie'yue'chui'ke 皆曰垂可
'jie'yue'gun'ke 皆曰鲧可
'jie'yue'yi'ke 皆曰益可
'jie'zhi 皆治
'jin'yun'shi'you'bu'cai'zi 缙云氏有不才子
'jin'zuo'shu'xing 金作赎刑
'jing'dao'ri'chu 敬道日出
'jing'dao'ri'ru 敬道日入
'jing'kang'fu'yue'qiong'chan 敬康父曰穷蝉
'jing'shen'you'mou 静深有谋
'jing'shou'min'shi 敬授民时
'jing'shun'hao'tian 敬顺昊天
'jing'yuan'yi'you'mou 静渊以有谋
'jing'zai 敬哉
'jing'zhi 敬致
'jiu'shi'yu'fu'xia 就时於负夏
'jiu'sui 九岁
'jiu'zhi'ru'ri 就之如日
'jiu'zu'ji'mu 九族既睦
'ju'ba'yuan 举八元
'ju'bei'fang 居北方
'ju'feng'hou'li'mu'chang'xian'da'hong'yi'zhi'min 举风后力牧常先大鸿以治民
'ju'nan'jiao 居南交
'ju'wang'fu'yue'jing'kang 句望父曰敬康
'ju'xi'tu 居西土
'ju'yu'xuan'qiu 居于轩丘
'ju'yu'yi 居郁夷
'jue'chuan 决川
'jue'jiu'he 决九河
'ke'mei'di'gong 可美帝功
'ke'yong 可用
'kong'zi'suo'chuan'zai'yu'wen'wu'di'de'ji'di'xi'xing 孔子所传宰予问五帝德及帝系姓
'kou'zei'jian'gui 寇贼奸轨
'kuan'er'li 宽而栗
'kui'kui'wei'jin 夔夔唯谨
'kui'yue 夔曰
'lao'qin'xin'li'er'mu 劳勤心力耳目
'lei'ze'shang'ren'jie'rang'ju 雷泽上人皆让居
'lei'zu'wei'huang'di'zheng'fei 嫘祖为黄帝正妃
'li'min'shi'ji 黎民始饥
'li'ri'yue'er'ying'song'zhi 历日月而迎送之
'li'shan'zhi'ren'jie'rang'pan 历山之人皆让畔
'li'yue'ru'zhi 礼乐如之
'lie'feng'lei'yu'bu'mi 烈风雷雨不迷
'lie'sheng'tong'xiu 列圣同休
'ling'shun'she'xing'tian'zi'zhi'zheng 令舜摄行天子之政
'liu'you'wu'xing 流宥五刑
'long'zhu'bin'ke 龙主宾客
'lv'he'sheng 律和声
'man'yi'hua'xia 蛮夷猾夏
'mang'zhe'zi 盲者子
'mao'yu'huo'hui 冒于货贿
'mei'gu'xi'xun 昧谷西曛
'min'ge'fu'de'qi'shi 民各伏得其实
'ming'gui'shen'er'jing'shi'zhi 明鬼神而敬事之
'ming'ru'wei'na'yan 命汝为纳言
'ming'shi'er'mu'lun'di'de 命十二牧论帝德
'ming'shi'yi'gong 明试以功
'ming'shun'she'xing'tian'zi'zhi'zheng 命舜摄行天子之政
'ming'tong'si'fang'er'mu 明通四方耳目
'ming'yang'ze'lou 明扬仄陋
'ming'yi'cha'wei 明以察微
'ming'yue'xuan'yuan 名曰轩辕
'ming'yue'zhong'hua 名曰重华
'mo'bu'cong'fu 莫不从服
'mo'bu'di'shu 莫不砥属
'mo'bu'huai'rou 莫不怀柔
'mo'bu'shi'xu 莫不时序
'mo'neng'fa 莫能伐
'mou'yu'si'yue 谋于四岳
'mu'ci 母慈
'mu'yin 母嚚
'nai'bian'ru'bai'guan 乃遍入百官
'nai'liu'si'xiong'zu 乃流四凶族
'nai'ming'xi'he 乃命羲和
'nai'shi'shun'shen'he'wu'dian 乃使舜慎和五典
'nan'fu'jiang'huai'yi 南浮江淮矣
'nan'fu'jiao'zhi'bei'fa 南抚交阯北发
'nan'xun'shou 南巡狩
'nan'zhi'yu'jiang 南至于江
'nan'zhi'yu'jiao'zhi 南至于交阯
'nei'hang'mi'jin 内行弥谨
'nei'ping'wai'cheng 内平外成
'neng'he'yi'xiao 能和以孝
'neng'ming'xun'de 能明驯德
'neng'rang'tian'xia 能让天下
'nian'liu'shi'yi'dai'yao'jian'di'wei 年六十一代尧践帝位
'nian'san'shi'yao'ju'zhi 年三十尧举之
'nian'wu'shi'ba'yao'beng 年五十八尧崩
'nian'wu'shi'she'xing'tian'zi'shi 年五十摄行天子事
'niao'shou'mao'xian 鸟兽毛毨
'niao'shou'rong'mao 鸟兽氄毛
'niao'shou'xi'ge 鸟兽希革
'niao'shou'zi'wei 鸟兽字微
'niu'yang'cang'lin'yu'fu'mu 牛羊仓廪予父母
'nv'deng'di'wei 女登帝位
'nv'er'shi'you'er'ren 女二十有二人
'nv'mou'shi'zhi'er'yan'ke'ji 女谋事至而言可绩
'ou'ge'zhe'bu'ou'ge'dan'zhu'er'ou'ge'shun 讴歌者不讴歌丹硃而讴歌舜
'pang'luo'ri'yue'xing'chen'shui'bo'tu'shi'jin'yu 旁罗日月星辰水波土石金玉
'pi'jiu'shan 披九山
'pi'shan'tong'dao 披山通道
'pi'si'men 辟四门
'ping'zhe'qu'zhi 平者去之
'pu'shi'li'wu 普施利物
'pu'zuo'jiao'xing 扑作教刑
'qi'de'xing'zhe'shi'si'ren 其得姓者十四人
'qi'de'yi'yi 其德嶷嶷
'qi'dong'ye'shi 其动也时
'qi'er'yue'chang'yi 其二曰昌意
'qi'fa'ming'wu'di'de'di'xi'xing'zhang'yi 其发明五帝德帝系姓章矣
'qi'fu'ye'shi 其服也士
'qi'hao'fang'xun 其号放勋
'qi'he'ru 其何如
'qi'hou'jie'you'tian'xia 其後皆有天下
'qi'min'xi 其民析
'qi'min'yi'yi 其民夷易
'qi'min'yin 其民因
'qi'min'yu 其民燠
'qi'ren'ru'tian 其仁如天
'qi'se'yu'yu 其色郁郁
'qi'sun'chang'yi'zhi'zi'gao'yang'li 其孙昌意之子高阳立
'qi'suo'biao'jian'jie'bu'xu 其所表见皆不虚
'qi'wei'shang 契为商
'qi'wei'zhou 弃为周
'qi'wen'bu'ya'xun 其文不雅驯
'qi'yi'nai'shi'shi'jian'yu'ta'shuo 其轶乃时时见於他说
'qi'yi'yue'xuan'xiao 其一曰玄嚣
'qi'yong'pi 其用僻
'qi'zhi'ru'shen 其知如神
'qi'zhu'ji 弃主稷
'qi'zhu'si'tu 契主司徒
'qian'san'miao'yu'san'wei 迁三苗於三危
'qian'xi'wang'lai'wu'chang'chu 迁徙往来无常处
'qian'yu'si'yi 迁于四裔
'qiao'niu'fu'yue'ju'wang 桥牛父曰句望
'qin'zai 钦哉
'qing'liu'gong'gong'yu'you'ling 请流共工於幽陵
'qing'yang'jiang'ju'jiang'shui 青阳降居江水
'qiong'chan'fu'yue'di'zhuan'xu 穷蝉父曰帝颛顼
'qu'di'zhi'cai'er'jie'yong'zhi 取地之财而节用之
'qu'ju'zi'shi'nv 娶娵訾氏女
'qun'hou'si'chao 群后四朝
'ran'hou'de'qi'zhi 然後得其志
'ran'hou'yu'jian'tian'zi'wei 然後禹践天子位
'ran'shang'shu'du'zai'yao'yi'lai 然尚书独载尧以来
'rang'dan'zhu 让丹硃
'rang'yu'ji'qi'yu'gao'tao 让於稷契与皋陶
'rang'yu'zhu'chen'zhu'hu'xiong'pi 让于诸臣硃虎熊罴
'ren'er'wei 仁而威
'ri'duan 日短
'ri'yi'du'jin 日以笃谨
'ri'yong 日永
'ri'yue'suo'zhao 日月所照
'ri'zhong 日中
'ru'fu'li 如妇礼
'ru'hou'ji'bo'shi'bai'gu 汝后稷播时百穀
'ru'neng'yong'ming 汝能庸命
'ru'ping'shui'tu 汝平水土
'ru'sang'fu'mu 如丧父母
'ru'shun'rang'yao'zi 如舜让尧子
'ru'wei'si'tu 汝为司徒
'ru'wu'qi 如五器
'ru'xie 汝谐
'ru'zhe'huo'bu'chuan 儒者或不传
'ru'zi'dao 如子道
'ru'zuo'shi 汝作士
'ruo'er'neng'yan 弱而能言
'san'kao'chu'zhi 三考绌陟
'san'miao'zai'jiang'huai'jing'zhou'shu'wei'luan 三苗在江淮荆州数为乱
'san'nian 三年
'san'nian'cheng'du 三年成都
'san'nian'sang'bi 三年丧毕
'san'nian'yi 三年矣
'san'nian'zhi'sang'bi 三年之丧毕
'san'shi'er'di'yao'wen'ke'yong'zhe 三十而帝尧问可用者
'san'sui'yi'kao'gong 三岁一考功
'san'zhan 三战
'shan'ze'pi 山泽辟
'shang'shang'hong'shui'tao'tian 汤汤洪水滔天
'shang'xia'xian'rang 上下咸让
'shang'yi 尚矣
'shao'dian'zhi'zi 少典之子
'shao'shen'shi'you'bu'cai'zi 少昚氏有不才子
'she'zheng'ba'nian'er'yao'beng 摄政八年而尧崩
'shen'ming'he'shu 申命和叔
'shen'ming'he'zhong 申命和仲
'shen'ming'xi'shu 申命羲叔
'shen'nong'shi'shi'shuai 神农氏世衰
'shen'ren'yi'he 神人以和
'shen'you'fu'dao 甚有妇道
'sheng'er'shen'ling 生而神灵
'sheng'er'zi 生二子
'sheng'fang'xun 生放勋
'sheng'gao'yang 生高阳
'sheng'yi'yong 声依永
'sheng'zai'guo 眚灾过
'sheng'zhi 生挚
'shi'bo'bai'gu'cao'mu 时播百穀草木
'shi'bu'gan'zhuan'ye 示不敢专也
'shi'bu'ke'yong'er'yi 试不可用而已
'shi'bu'wu'jiao'yu'si'fang 使布五教于四方
'shi'de'qi'li 世得其利
'shi'er'mu'xing'er'jiu'zhou'mo'gan'pi'wei 十二牧行而九州莫敢辟违
'shi'ji'qi'mei 世济其美
'shi'jiu'nan'yu'chu'yi'guan'qi'wai 使九男与处以观其外
'shi'ju'guan'xiang'shi 使居官相事
'shi'qi'nian'er'beng 十七年而崩
'shi'shun'shang'tu'lin 使舜上涂廪
'shi'shun'she'xing'tian'zi'zheng 使舜摄行天子政
'shi'wei'di'ku 是为帝喾
'shi'wei'di'shun 是为帝舜
'shi'wei'di'yao 是为帝尧
'shi'wei'di'zhuan'xu'ye 是为帝颛顼也
'shi'wei'huang'di 是为黄帝
'shi'wei'lei'zu 是为嫘祖
'shi'wei'ling'ling 是为零陵
'shi'wei'qing'yang 是为青阳
'shi'wei'zhi'ba'yuan 世谓之八元
'shi'yan'yi 诗言意
'shi'yi'yue 十一月
'shi'zhi'er'wu'gong 试之而无功
'shi'zhu'hou'tu 使主后土
'shou'dan'zhu 授丹硃
'shou'shun 授舜
'shu'fa'ri'yue'xing'chen 数法日月星辰
'shu'que'you'jian'yi 书缺有间矣
'shu'tong'er'zhi'shi 疏通而知事
'shui'ke'shun'ci'shi 谁可顺此事
'shui'ke'zhe 谁可者
'shui'neng'xun'yu'gong 谁能驯予工
'shui'neng'xun'yu'shang'xia'cao'mu'niao'shou 谁能驯予上下草木鸟兽
'shun'bi'tao 舜避逃
'shun'bin'yu'si'men 舜宾於四门
'shun'chi'xia'er'nv'yu'gui'rui 舜饬下二女於妫汭
'shun'chuan'jing'wei'ni'kong'pang'chu 舜穿井为匿空旁出
'shun'cong'ni'kong'chu 舜从匿空出
'shun'de'ju'yong'shi'er'shi'nian 舜得举用事二十年
'shun'fu'gu'sou'mang 舜父瞽叟盲
'shun'fu'gu'sou'wan 舜父瞽叟顽
'shun'fu'shi'gu'sou'ai'di'mi'jin 舜复事瞽叟爱弟弥谨
'shun'geng'li'shan 舜耕历山
'shun'ji'ru'shen 舜既入深
'shun'ju'ba'kai 舜举八恺
'shun'ju'gui'rui 舜居妫汭
'shun'nai'yi'liang'li'zi'han'er'xia 舜乃以两笠自扞而下
'shun'nai'yu'jian'yu'yu'tian 舜乃豫荐禹於天
'shun'nai'zai'xuan'ji'yu'heng 舜乃在璿玑玉衡
'shun'nian'er'shi'yi'xiao'wen 舜年二十以孝闻
'shun'qi'yao'er'nv 舜妻尧二女
'shun'rang'pi'dan'zhu'yu'nan'he'zhi'nan 舜让辟丹硃於南河之南
'shun'rang'yu'de'bu'yi 舜让於德不怿
'shun'ru'yu'da'lu 舜入于大麓
'shun'shi'fu'ji'hou'mu'yu'di 顺事父及後母与弟
'shun'shou'zhong'yu'wen'zu 舜受终於文祖
'shun'shun'shi'bu'shi'zi'dao 舜顺適不失子道
'shun'tian'di'zhi'ji 顺天地之纪
'shun'tian'zhi'yi 顺天之义
'shun'wang'jian'zhi 舜往见之
'shun'wei'si'yue'yue 舜谓四岳曰
'shun'xing'bu'mi 舜行不迷
'shun'yue 舜曰
'shun'yue'tian'ye 舜曰天也
'shun'zhi'jian'di'wei 舜之践帝位
'shun'zi'shang'jun 舜子商均
'shun'zi'shang'jun'yi'bu'xiao 舜子商均亦不肖
'si'fang'mo'ju'le 四方莫举乐
'si'gong'man'tian 似恭漫天
'si'hai'zhi'nei'xian'dai'di'shun'zhi'gong 四海之内咸戴帝舜之功
'si'men'mu'mu 四门穆穆
'si'sheng'zhi'shuo 死生之说
'si'yue 四岳
'si'yue'ju'gun'zhi'hong'shui 四岳举鲧治鸿水
'si'yue'xian'jian'yu'shun 四岳咸荐虞舜
'si'zi'dan'zhu'kai'ming 嗣子丹硃开明
'si'zui'er'tian'xia'xian'fu 四罪而天下咸服
'su'ye'chu'ru'zhen'ming 夙夜出入朕命
'su'ye'wei'jing 夙夜维敬
'sui'er'yue 岁二月
'sui'jian'dong'fang'jun'zhang 遂见东方君长
'sui'lei'yu'shang'di 遂类于上帝
'sui'qin'chi'you 遂禽蚩尤
'sui'qin'sha'chi'you 遂禽杀蚩尤
'sui'san'bai'liu'shi'liu'ri 岁三百六十六日
'sui'yi'zhu'hu'xiong'pi'wei'zuo 遂以硃虎熊罴为佐
'tai'shi'gong'yue 太史公曰
'tan'yu'yin'shi 贪于饮食
'tao'he'bin 陶河滨
'tian'xia'e'zhi 天下恶之
'tian'xia'gui'shun 天下归舜
'tian'xia'ming'de'jie'zi'yu'di'shi 天下明德皆自虞帝始
'tian'xia'wei'zhi'chou'wu 天下谓之檮杌
'tian'xia'wei'zhi'hun'dun 天下谓之浑沌
'tian'xia'wei'zhi'qiong'qi 天下谓之穷奇
'tian'xia'wei'zhi'tao'tie 天下谓之饕餮
'tian'xia'you'bu'shun'zhe 天下有不顺者
'tian'zi'fu'chen 天子弗臣
'tong'che'cheng'bai'ma 彤车乘白马
'tong'jiu'ze 通九泽
'tong'lv'du'liang'heng 同律度量衡
'wan'guo'he 万国和
'wan'xiong 顽凶
'wang'chao'fu'gu'sou 往朝父瞽叟
'wang'yi 往矣
'wang'yu'shan'chuan 望于山川
'wang'zhi'ru'yun 望之如云
'wang'zhi'yu'shan'chuan 望秩於山川
'wei'chang'ning'ju 未尝宁居
'wei'ming'neng'xin 维明能信
'wei'shi'mian'zai 维是勉哉
'wei'shi'xiang'tian'shi 惟时相天事
'wei'xin 惟信
'wei'xing'zhi'jing'zai 惟刑之静哉
'wei'you'fen'zhi 未有分职
'wei'yu'zhi'gong'wei'da 唯禹之功为大
'wei'yun'shi 为云师
'wei'zhi'ba'kai 谓之八恺
'wei'zhu'cang'lin 为筑仓廪
'wen'zu'zhe 文祖者
'wo'si'shun'zheng'yu'tao 我思舜正郁陶
'wu'dian'neng'cong 五典能从
'wu'du'san'ju 五度三居
'wu'fu'san'jiu 五服三就
'wu'liu'you'du 五流有度
'wu'pin'bu'xun 五品不驯
'wu'qi'shi'zai 吾其试哉
'wu'sui'yi'xun'shou 五岁一巡狩
'wu'xiang'duo'lun 毋相夺伦
'wu'xing'you'fu 五刑有服
'wu'yue 五月
'wu'zhong 五种
'xi'di'hong'shi'you'bu'cai'zi 昔帝鸿氏有不才子
'xi'gao'yang'shi'you'cai'zi'ba'ren 昔高阳氏有才子八人
'xi'ju'gui'qi'ji'shu'yuan'yin'ni'zhe 悉举贵戚及疏远隐匿者
'xi'rong'xi'zhi'qu'sou'di'qiang 西戎析枝渠廋氐羌
'xi'xun'shou 西巡狩
'xi'zhi'yu'kong'tong 西至于空桐
'xi'zhi'yu'liu'sha 西至于流沙
'xia'min'qi'you 下民其忧
'xian'zai'er'jun 贤哉二君
'xiang'ao 象傲
'xiang'e'bu'yi 象鄂不怿
'xiang'nai'zhi'shun'gong'ju 象乃止舜宫居
'xiang'qu'zhi 象取之
'xiang'yi'dian'xing 象以典刑
'xiang'yu'qi'fu'mu'fen 象与其父母分
'xiang'yue'ben'mou'zhe'xiang 象曰本谋者象
'xiao'da'yuan'jin 小大远近
'xie'cheng'yi'ji'si 絜诚以祭祀
'xin'chi'bai'guan 信饬百官
'xin'zhi'qi'yi 心知其意
'xing'gong'sun 姓公孙
'xing'hou'de 行厚德
'xing'huo 星火
'xing'ji'shi 姓姬氏
'xing'mao 星昴
'xing'niao 星鸟
'xing'si'shi 姓姒氏
'xing'xu 星虚
'xing'zi'shi 姓子氏
'xiong'di'xiao'ci 兄弟孝慈
'xiong'you 兄友
'xiu'shen'er'tian'xia'fu 脩身而天下服
'xiu'wu'li'wu'yu'san'bo'er'sheng'yi'si'wei'zhi 脩五礼五玉三帛二生一死为挚
'xuan'de'sheng'wen 玄德升闻
'xuan'xiao'fu'yue'huang'di 玄嚣父曰黄帝
'xuan'yuan'nai'xiu'de'zhen'bing 轩辕乃修德振兵
'xuan'yuan'zhi'shi 轩辕之时
'xue'zhe'duo'cheng'wu'di 学者多称五帝
'xun'shou 巡狩
'yan'di'yu'qin'ling'zhu'hou 炎帝欲侵陵诸侯
'yan'wu'xiong'ren'ye 言毋凶人也
'yan'yi'yin'zei 掩义隐贼
'yang'cai'yi'ren'di 养材以任地
'yao'beng 尧崩
'yao'da'zu'ye 尧大祖也
'yao'er'nv'bu'gan'yi'gui'jiao'shi'shun'qin'qi 尧二女不敢以贵骄事舜亲戚
'yao'jiu'nan'jie'yi'du 尧九男皆益笃
'yao'lao 尧老
'yao'li'qi'shi'nian'de'shun 尧立七十年得舜
'yao'nai'ci'shun'chi'yi 尧乃赐舜絺衣
'yao'nai'zhi'shun'zhi'zu'shou'tian'xia 尧乃知舜之足授天下
'yao'pi'wei'fan'er'shi'ba'nian'er'beng 尧辟位凡二十八年而崩
'yao'shan'zhi 尧善之
'yao'shi'shun'ru'shan'lin'chuan'ze 尧使舜入山林川泽
'yao'wei'neng'ju 尧未能举
'yao'wei'neng'qu 尧未能去
'yao'yi'wei'bu'ke 尧以为不可
'yao'yi'wei'sheng 尧以为圣
'yao'you'yue 尧又曰
'yao'yu'shi'ting'yue'yong'gun 尧於是听岳用鲧
'yao'yue 尧曰
'yao'yue'bu'ke'er'shi'zhi'gong'shi 尧曰不可而试之工师
