'ba'gua'tian 八卦田
'jiu'fang'cun 酒坊村
'jiu'li 九黎
'jiu'li'cheng 九黎城
'jiu'xin'hai'tang 九心海棠
'jiu'you'dong 九幽洞
'jue'di 绝地
'kai'kuo'di 开阔地
'kai'ming'shou 开明兽
'kang'xing 抗性
'kong'que'ping 孔雀坪
'kun'shou'po 困兽坡
'lang'ya'gu 狼牙谷
'lao'hu'gou 老虎沟
'lei'ze 雷泽
'lei'ze'shui'dong 雷泽水洞
'ling'guang'yi'shan 灵光一闪
'ling'mao 灵猫
'ling'ni 灵猊
'ling'shou 灵兽
'ling'yu 翎羽
'liu'guang'cheng 流光城
'liu'guang'cheng'bing'qi'pu 流光城兵器谱
'luo'tuo'cun'long'mai'jing 骆驼村龙脉经
'man'bu 慢步
'meng'mian'zhi'cheng 蒙面之城
'mi'hai'xun'zong 谜海寻踪
'miao'shou'hui'chun 妙手回春
'miao'wu'zhai 苗巫寨
'ming'chai 冥虿
'mo'ying'su 墨罂粟
'mu'cai'kan'fa 木材砍伐
'mu'juan'ren'wu 募捐任务
'mu'ke'cun 木克村
'nan'hai'bin 南海滨
'ni'zhuan'dan'xing 逆转丹行
'ning'xiang'yuan 凝香园
'pai'xi 派系
'qi'fu'tong'xin'tian'you'zhong'hua 祈福同心天佑中华
'qi'huang'yi'jing 岐黄医经
'qi'xing'huan'hun 七星换魂
'qian'neng 潜能
'qing'tian 青田
'qiong'chan 穷蝉
'ran'si 染丝
'run'mai 润脉
'san'cha'ping'yuan 三叉平原
'sha'lu 杀戮
'sha'yan 砂岩
'shen'fa 身法
'shen'shi 神石
'sheng'wang 声望
'shi'gu'cun 拾骨村
'shi'li'fen'tang'cheng'wei 势力分堂称谓
'shi'li'guan'cheng'wei 势力官称谓
'shi'lin 石林
'shi'niao'zhi'meng 誓鸟之盟
'shi'qu'wu'pin 拾取物品
'shi'xin 失心
'shou'yi 手艺
'shu'biao'yi'dong 鼠标移动
'shu'zhou'cheng 蜀州城
'shui'xi 水系
'shui'xi'hua'jie 水系化解
'shui'xi'zhong'ji 水系重击
'tai'gu'tong'men 太古铜门
'tai'xu 太虚
'tai'xu'guan 太虚观
'tao'xi 桃溪
'tian'he 天合
'tian'he'guan 天合关
'tian'ji 天机
'tian'ji'ying 天机营
'tian'lu'bi'xie 天鹿辟邪
'tiao'qi 调气
'ting'feng'lin 听风林
'wang'chuan 望川
'wang'chuan'tian 望川田
'wang'chuan'zhen 望川镇
'wang'liang 魍魉
'wang'liang'juan 魍魉卷
'wu'cai'chi 五彩池
'wu'cai'chi'shi'tou'ji 五彩池石头记
'wu'tong'gu 梧桐谷
'wu'tong'you'jing 梧桐幽境
'wu'you'zhi'xiang 乌有之乡
'xi'hai 西海
'xi'yue'dian 喜悦点
'xia'yuan 夏苑
'xian'xia'ling 仙霞岭
'xiao'yao'bao'jian 逍遥宝鉴
'xiao'yao'ren'wu 逍遥任务
'xin'qing'shen'ming 心清神明
'xing'er'cun 杏儿村
'xing'tian'gu 刑天谷
'xiu'wei 修为
'xuan'feng 玄蜂
'xuan'ming 玄溟
'yan'gu 岩谷
'yan'quan'cun 盐泉村
'yao'dong'qun 窑洞群
'yi'jian 弈剑
'yi'jian'ting'yu'ge 弈剑听雨阁
'ying'long'hu 应龙湖
'ying'ti'jian 莺啼涧
'ying'yue 映月
'you'ge'xiao'cun 有个小村
'you'gu 幽谷
'you'luo 幽螺
'you'mu'gu 幽木谷
'yuan'wei'gu 鸢苇谷
'yuan'xi 元系
'yuan'xi'hua'jie 元系化解
'yuan'xi'zhong'ji 元系重击
'yun'lu 云麓
'yun'lu'xian'ju 云麓仙居
'yun'shi'ye 陨石野
'yun'xuan'cheng 云轩城
'yun'yan'zhi'shu 云烟之书
'zhan'chang 战场
'zhan'li 站立
'zhi'bing'jiu'ren'xin'cheng'shan 治病救人心诚善
'zhi'ling 指令
'zhi'wu'cai'ji 植物采集
'zhi'xing 止行
'zhong'yuan 中原
'zhuang'bei'ping'jia 装备评价
'zi'dong'gong'ji 自动攻击
'zi'jing'gu 紫荆谷
'zi'wu'zhen'jiu'jing 子午针灸经
'zi'zhi 资质
'zou'wu 驺吾
'zui'meng'xian'hua 醉梦仙花
'zuo'qi 坐骑
