'a'er'ji'li'ya 阿尔及利亚
'da'suan'xian'sheng 大蒜先生
'da'wang'hua 大王花
'da'wu'li'qin'jiao 达乌里秦艽
'dai'meng'gua 呆萌瓜
'dai'shu'hua 袋鼠花
'dan'gong'ji 弹弓鸡
'dan'gui 丹桂
'dan'huang'guo 蛋黄果
'dan'huang'yue'bing'teng 蛋黄月饼藤
'dan'shen 丹参
'dao'mei'biao'qing 倒霉表情
'de'guo 德国
'de'la'rui'shu 德拉瑞树
'de'yi'nan'gua 得意南瓜
'de'yi'zhi'zhan'che 德意志战车
'deng'long'guo 灯笼果
'deng'long'lian'chi 灯笼莲池
'deng'xin'cao 灯心草
'di'bai'fan'chuan'jiu'dian 迪拜帆船酒店
'di'fu'rong 地芙蓉
'di'shui'guan'yin 滴水观音
'di'tang'hua 棣棠花
'di'wang'hua 帝王花
'di'yong'jin'lian 地涌金莲
'dian'di'mei 点地梅
'dian'tong 滇桐
'diao'zhong'hua 吊钟花
'die'xin'cao 叠心草
'ding'qing'shu 定情树
'ding'xiang 丁香
'ding'xiang'hua 丁香花
'ding'xiang'shui'xian 丁香水仙
'dong'bei'yu'zan 东北玉簪
'dong'gua 冬瓜
'dong'hong'hua 冬红花
'dong'ling'cao 冬凌草
'dong'ou'tie'qi 东欧铁骑
'dong'wan'dou 冬豌豆
'dong'xiao'mai 冬小麦
'dong'zi'luo'lan 冬紫罗兰
'dou'ban'lv 豆瓣绿
'dou'kou 豆蔻
'dou'lan 兜兰
'dou'sha'yue'bing'guo 豆沙月饼果
'dou'shen'zhang'ba'mao 斗神丈八矛
'du'juan 杜鹃
'du'juan'cao 杜鹃草
'duan'qun'ou'shi'nan 短裙欧石楠
'dui'lian'shu 对联树
'duo'cai'hao'li'shu 多彩好礼树
'duo'cai'hu'lu 多彩葫芦
'duo'fu'sheng'nv'guo 多福圣女果
'duo'hua'mu'dan 多花牡丹
'duo'rou'tu'zi 多肉兔子
'e'die'hua 蛾蝶花
'e'gua'duo'er 厄瓜多尔
'e'li 鳄梨
'e'luo'si 俄罗斯
'e'luo'si'fang'kuai'zuo'wu'er 俄罗斯方块作物二
'e'luo'si'fang'kuai'zuo'wu'liu 俄罗斯方块作物六
'e'luo'si'fang'kuai'zuo'wu'qi 俄罗斯方块作物七
'e'luo'si'fang'kuai'zuo'wu'san 俄罗斯方块作物三
'e'luo'si'fang'kuai'zuo'wu'si 俄罗斯方块作物四
'e'luo'si'fang'kuai'zuo'wu'wu 俄罗斯方块作物五
'e'luo'si'fang'kuai'zuo'wu'yi 俄罗斯方块作物一
'e'mei 鹅莓
'e'mei'bao'chun 峨眉报春
'e'mei'xue'ya 峨眉雪芽
'e'mo'wu'yun 恶魔乌云
'e'zhang'jiu 鹅掌揪
'er'xing'bai'ye'qiang'wei 二星百叶蔷薇
'er'xing'bai'yu'ni 二星白玉霓
'er'xing'ding'xiang'shui'xian 二星丁香水仙
'er'xing'ge'jin'zi 二星葛巾紫
'er'xing'he'hua'qiang'wei 二星荷花蔷薇
'er'xing'hong'fu'shi 二星红富士
'er'xing'ju'feng'pu'tao 二星巨峰葡萄
'er'xing'juan'dan'bai'he 二星卷丹百合
'er'xing'la'ba'shui'xian 二星喇叭水仙
'er'xing'lv'rong'hao 二星绿绒蒿
'er'xing'qin'jiao 二星秦椒
'er'xing'shen'yang'jin'mu'dan 二星什样锦牡丹
'er'xing'shu'sheng'peng'mo 二星书生捧墨
'er'xing'wei'qun'shui'xian 二星围裙水仙
'er'xing'wu'cai'jiao 二星五彩椒
'er'xing'xiang'shui'bai'he 二星香水百合
'er'yue'lan 二月兰
'fa'guo 法国
'fan'chuan 帆船
'fan'hua'di'hai'tang 繁花棣海棠
'fan'li'zhi 番荔枝
'fan'qie 番茄
'fan'qie'xiao'zi 番茄小子
'fan'shi'liu 番石榴
'fan'xing'hua 繁星花
'fei'che'bao'shi'shu 飞车宝石树
'fei'che'hua'chi 飞车花匙
'fei'che'piao'liu'guo 飞车漂流果
'fei'cui'jin'chan 翡翠金蟾
'fei'cui'yu'bai'cai 翡翠玉白菜
'fei'sheng'xuan'tian'zhan'ling'jian 飞升玄天斩灵剑
'fei'yan'cao 飞燕草
'fei'zhou'ju 非洲菊
'fei'zhou'zi'luo'lan 非洲紫罗兰
'fen'fu'rong 粉芙蓉
'fen'hai'yu 粉海芋
'fen'mei'gui 粉玫瑰
'fen'se'ma'ti'lian 粉色马蹄莲
'fen'se'yu'jin'xiang 粉色郁金香
'fen'xia'hua 粉霞花
'feng'hua'yue'ji 丰花月季
'feng'huang'mu 凤凰木
'feng'kuang'yao'gun'mao 疯狂摇滚猫
'feng'ling'cao 风灵草
'feng'shou'hua'shu 丰收花束
'feng'shou'shu 丰收树
'feng'wu'jiu'tian 凤舞九天
'feng'xian'hua 凤仙花
'feng'xin'zi 风信子
'feng'yan'lian 凤眼莲
'feng'yu'luo'jin'chi 凤羽落金池
'fo'jia'cao 佛甲草
'fo'shou'gua 佛手瓜
'fu'cui'liu'dan 浮翠流丹
'fu'dai'shu 福袋树
'fu'dai'tan 福袋坛
'fu'gui'chang'shou'guo 富贵长寿果
'fu'gui'li'hua 富贵丽花
'fu'gui'you'yu 富贵有鱼
'fu'gui'zhu 富贵竹
'fu'guo 福果
'fu'hao 符号
'fu'lu'teng 福芦藤
'fu'man'jin'hu 福满金葫
'fu'man'jin'jie'shu 福满金桔树
'fu'pen'zi 覆盆子
'fu'rong'ju 芙蓉菊
'fu'sang'hua 扶桑花
'fu'sang'shen'shu 扶桑神树
'fu'yun'shu 浮云树
'gai'e'gu 盖鹅菇
'gai'lan 芥蓝
'gan'cao 甘草
'gan'en'da'nan'gua 感恩大南瓜
'gan'en'hu'luo'bo 感恩胡萝卜
'gan'en'hua'huan 感恩花环
'gan'en'jin'yu'mi 感恩金玉米
'gan'en'mai'sui 感恩麦穗
'gan'en'ping'guo'shu 感恩苹果树
'gan'en'qie'zi 感恩茄子
'gan'en'tian'pu'tao 感恩甜葡萄
'gan'en'xi'hong'shi 感恩西红柿
'gan'en'xiang'gua 感恩香瓜
'gan'en'yang'cong 感恩洋葱
'gan'ga'yi'xiao 尴尬一笑
'gan'lan 橄榄
'gan'tan'fu'hao 感叹符号
'gan'zhe 甘蔗
'gao'gui'mu'dan 高贵牡丹
'gao'kao'zhuang'yuan'guo 高考状元果
'gao'liang'guo 高粱果
'gao'liang'jiang 高良姜
'gao'lu'xiong'ji 高卢雄鸡
'ge'jin'zi 葛巾紫
'ge'lun'bi'ya 哥伦比亚
'ge'sang'hua 格桑花
'ge'si'da'li'jia 哥斯达黎加
'ge'xiao'mai'zi 歌小麦子
'gong'zai 公仔
'gong'zhu'tu 公主兔
'gua'lou 栝楼
'gua'ye'ju 瓜叶菊
'guai'zhang'sheng'dan'shu 拐杖圣诞树
'guan'bai'fu'zi 关白附子
'guan'cang'zhu 关苍术
'guan'ding'shu 冠顶树
'guang'gun'zheng 光棍证
'guang'yao're'na'ya 光耀热那亚
'gui'he'yan'nian 龟鹤延年
'gui'lian'xia'xia'biao'qing 鬼脸吓吓表情
'gui'yuan 桂圆
'gui'zhu'xiang 桂竹香
'guo'bing'yi'xia 果冰一夏
'ha'ha'nan'gua 哈哈南瓜
'ha'mi'gua 哈密瓜
'hai'dao'zhi'lian 海岛之恋
'hai'er'lian 孩儿莲
'hai'jiao'ying'cao 海角樱草
'hai'jun'jiu'sheng'quan 海军救生圈
'hai'lang'bing'juan 海浪冰卷
'hai'liang'cao 还亮草
'hai'shi'zhu 海石竹
'hai'tang'hua 海棠花
'hai'yan'hua 海岩花
'hai'yang'zhi'xin 海洋之心
'hai'yu 海芋
'han'fei'ying 寒绯樱
'han'guo 韩国
'han'jin'lan 寒金兰
'han'lan 寒兰
'han'xiao'hua 含笑花
'han'xiao'xia'yun 含霄霞韵
'han'xiu'cao 含羞草
'hang'hai'shu 航海鼠
'hao'hua'zhuan'yong'qiu'chang 豪华专用球场
'hao'li'duo'sheng'dan'hua 好礼多圣诞花
'hao'tao'da'ku 号啕大哭
'he'bao'hua 荷包花
'he'bao'mu'dan 荷包牡丹
'he'dan'tou 核弹头
'he'ding'lan 鹤顶兰
'he'guo'yu 合果芋
'he'hua'qiang'wei 荷花蔷薇
'he'hua'yu'lan 荷花玉兰
'he'huan'hua 合欢花
'he'jia'huan 合家欢
'he'lan 荷兰
'he'lan'ju 荷兰菊
'he'ma'xin'niang 河马新娘
'he'qing'bing'xiang 荷清饼香
'he'qing'hua 荷青花
'he'shou'wu 何首乌
'he'shu'zhang'shu 何纾掌树
'he'tao 核桃
'he'tian'yu'zao 和田玉枣
'he'xiang'liu'hui 赫香流辉
'he'yu'zhe'san 褐寓褶伞
'hei'bu'lun 黑布仑
'hei'dou 黑豆
'hei'fa'shi 黑法师
'hei'yan'hua 黑眼花
'hei'zhong'cao 黑种草
'hong'bai'ying'hua 红白樱花
'hong'bao'guo 红包果
'hong'bao'shi'qing'hua 红宝石情花
'hong'bao'shu 红包树
'hong'bian'yu 红边芋
'hong'cai'tou 红菜头
'hong'dao'dou 红刀豆
'hong'dou 红豆
'hong'dou'shan 红豆杉
'hong'du'la'si 洪都拉斯
'hong'duo'hua 红朵花
'hong'fu'shi 红富士
'hong'fu'shi'liu 洪福石榴
'hong'gu 红菇
'hong'hong'sheng'dan'mao 红红圣诞帽
'hong'hu'lu 红葫芦
'hong'hua'ling'lan 红花铃兰
'hong'hua'long'dan 红花龙胆
'hong'hua'shu'wei'cao 红花鼠尾草
'hong'jin'dou 虹锦豆
'hong'jing'tian 红景天
'hong'lu'zhen 红露珍
'hong'mao'dan 红毛丹
'hong'mei 红梅
'hong'mei'gui 红玫瑰
'hong'mo'li 红茉莉
'hong'qie'li 红茄梨
'hong'rui 红蕊
'hong'se'bang'bang'tang 红色棒棒糖
'hong'se'bing'ling'hua 红色冰凌花
'hong'se'jing'guan'shu 红色景观树
'hong'se'kang'nai'xin 红色康乃馨
'hong'se'tian'yuan'shu 红色天缘树
'hong'se'yu'jin'xiang 红色郁金香
'hong'se'zhi'xin 红色之心
'hong'shu 红薯
'hong'wa'shu 红袜树
'hong'xian'guo 红线果
'hong'xin'hu'die'lan 红心蝴蝶兰
'hong'ye'ren'shen'guo'shu 红叶人参果树
'hong'yun'dang'tou 鸿运当头
'hong'yun'fei'pian 红云飞片
'hong'yun'jin 红云堇
'hong'zai'shan'hu 红仔珊瑚
'hong'zai'yu 红仔芋
'hong'zao 红枣
'hong'zhang 红掌
'hong'zhi'lian 红稚莲
'hong'zuan'cui'can 红钻璀璨
'hou'mian'bao'shu 猴面包树
'hou'teng 厚藤
'hu'die'bai'he'hua 蝴蝶百合花
'hu'die'lan 蝴蝶兰
'hu'die'xi'zhu'hua 蝴蝶戏珠花
'hu'die'zhi'wu 蝴蝶之舞
'hu'fu'shuai 胡富帅
'hu'lu 葫芦
'hu'lu'cao 葫芦草
'hu'luo'bo 胡萝卜
'hu'man'teng 胡蔓藤
'hu'pi'ju 虎皮菊
'hu'po'jing'ji'chang 琥珀竞技场
'hu'shi'yang 护士羊
'hu'tui'zi 胡颓子
'hua'bei'mu 花贝母
'hua'cai 花菜
'hua'deng'guo 花灯果
'hua'er'duo'duo 花儿朵朵
'hua'gu 滑菇
'hua'hao'yue'yuan 花好月圆
'hua'jiao 花椒
'hua'ling'cao 花菱草
'hua'sheng 花生
'hua'sheng'zai 花生仔
'hua'wu'tong 花梧桐
'hua'xia'bai'yu'guo 华夏白羽果
'hua'xiang'gen'yuan'wei 花香根鸢尾
'hua'xin'yun'jie 花心云结
'hua'yan'shan'jiang 花艳山姜
'hua'yi'rou'qing 花意柔情
'huan'bao'wei'shi 环保卫士
'huan'le'cui'pi 欢乐脆皮
'huan'le'guo 欢乐果
'huan'le'xue'ren'sheng'dan'hua 欢乐雪人圣诞花
'huan'shi'tian'yuan'guo 幻世天缘果
'huan'xiang'cai'hong'shu 幻想彩虹树
'huan'xiang'xing'yun'xing 幻想幸运星
'huan'xiang'zhi'hua 幻想之花
'huang'bei'du'juan 黄杯杜鹃
'huang'ci'mei 黄刺玫
'huang'di'jiao 皇帝蕉
'huang'dou 黄豆
'huang'fan'hong'hua 黄番红花
'huang'gua 黄瓜
'huang'hu'lu 黄葫芦
'huang'hua'bang 黄花棒
'huang'hua'jiao'hao 黄花角蒿
'huang'hua'kui 黄花魁
'huang'hua'li'zao 黄花狸藻
'huang'hua'ye'ying 黄花夜莺
'huang'huai 黄槐
'huang'jiao'xiao'zi 黄椒小子
'huang'jin'guo 黄金果
'huang'li 黄丽
'huang'mo'li 黄茉莉
'huang'ping'zi'cao 黄瓶子草
'huang'qin 黄芩
'huang'se'bang'bang'tang 黄色棒棒糖
'huang'se'bing'ling'hua 黄色冰凌花
'huang'se'jing'guan'shu 黄色景观树
'huang'se'kong'que'cao 黄色孔雀草
'huang'se'tian'yuan'shu 黄色天缘树
'huang'se'yuan'wei 黄色鸢尾
'huang'se'zhu'ding'hong 黄色朱顶红
'huang'shu'kui 黄蜀葵
'huang'si'jun 黄丝菌
'huang'tao 黄桃
'huang'xin'hua 黄心花
'huang'ye'ren'shen'guo'shu 黄叶人参果树
'huang'yu'lan 黄玉兰
'huang'zuan'zhi'xing 黄钻之星
'hui'lan 蕙兰
'hui'xiang 茴香
'hui'xin'bai'he 慧心百合
'hun'li'dan'gao 婚礼蛋糕
'huo'he'hua 火鹤花
'huo'hua'lan 火花兰
'huo'ji 火祭
'huo'ju'sheng'kai 火炬盛开
'huo'ling'cao 火灵草
'huo'long'guo 火龙果
'huo'long'guo'jie'jie 火龙果姐姐
'huo'pao'luo'bo 火炮萝卜
'huo'rong'cao 火绒草
'huo'tan'mu 火炭母
'huo'wu'cao 火舞草
'huo'xian'ling'hu'cao 火线灵狐草
'huo'xian'ye'mei'gui 火线夜玫瑰
'huo'xiao'hong'hua 火霄红花
'huo'yan'shu 火焰树
'ji'dan'hua 鸡蛋花
'ji'guan'hua 鸡冠花
'ji'jian 击剑
'ji'pin'yun'xiang 极品芸香
'ji'qiang'hu'lu 机枪葫芦
'ji'sheng'hua 寄生花
'ji'wa'lian 吉娃莲
'ji'xiang'dou 吉祥豆
'ji'xiang'jin'mai'sui 吉祥金麦穗
'ji'xing'hua 吉星花
'ji'xue'teng 鸡血藤
'ji'yan'shu 吉言树
'jia'lan 嘉兰
'jia'mi 荚蒾
'jia'na 加纳
'jia'yuan'zhi'ai'hua 家园挚爱花
'jia'zhu'tao 夹竹桃
'jian'shi'hu 剑士虎
'jian'xia'luo 剪夏罗
'jiang'bing'ren'sheng'dan'shu 姜饼人圣诞树
'jiang'dou 豇豆
'jiang'hua 姜花
'jiang'huang 姜黄
'jiang'tai'gong 姜太公
'jiang'xing'cao 将星草
'jiao'shu 蕉叔
'jie'cai 芥菜
'jie'geng'hua 桔梗花
'jin'bi'fan'hua 金碧繁花
'jin'bian'bian'cao 金便便草
'jin'bian'fu'gui'zhu 金边富贵竹
'jin'bian'ling'zhi 金边灵芝
'jin'cai'shen 金财神
'jin'chai'shi'hu 金钗石斛
'jin'chun'mo'li'xun'bai'hua 金纯魔丽迅白花
'jin'dai'hua 锦带花
'jin'deng'long 锦灯笼
'jin'di'luo 锦地罗
'jin'diao'she'ri'gong 金雕射日弓
'jin'fang'hua 金纺花
'jin'fu'teng 金福藤
'jin'he'huan 金合欢
'jin'hua'cha 金花茶
'jin'hua'piao'xiang 金华飘香
'jin'hua'ya'lan 金花雅兰
'jin'huang'xing 锦晃星
'jin'ji'ju 金鸡菊
'jin'ju 金桔
'jin'lan 堇兰
'jin'li'lan 金栗兰
'jin'ling'long 金玲珑
'jin'ma'hua'tan 金马花坛
'jin'man'hua'sheng 金蔓花生
'jin'niu 金纽
'jin'niu'zuo'zuo'wu 金牛座作物
'jin'pai'xue'li 金牌雪梨
'jin'pai'zhi'hui 金牌之辉
'jin'pi'xiu 金貔貅
'jin'qian'mu 金钱木
'jin'que'hua 金雀花
'jin'se'fei'zei 金色飞贼
'jin'se'sheng'dan'shu 金色圣诞树
'jin'si'tao 金丝桃
'jin'tiao'shu 金条树
'jin'xin'diao'lan 金心吊兰
'jin'yin'hua 金银花
'jin'yin'sheng'dan'shu 金银圣诞树
'jin'yu'cao 金鱼草
'jin'yu'lan 金鱼兰
'jin'zhen'gu 金针菇
'jin'zhong'hua 金钟花
'jing'mian'cao 镜面草
'jing'ya'nan'gua 惊讶南瓜
'jing'ying'xue'hua'shu 晶莹雪花树
'jiong'jiong'nan'gua 囧囧南瓜
'jiu'bei'hua 酒杯花
'jiu'cai 韭菜
'jiu'huang 韭黄
'jiu'jie'wu'you'guo 九界无忧果
'jiu'long'tu'zhu 九龙吐珠
'jiu'xian'xiao'yao'guo 九仙逍遥果
'ju'bao'pen 聚宝盆
'ju'feng'pu'tao 巨峰葡萄
'ju'fu'cao'mei 聚福草莓
'ju'he'cao 聚合草
'ju'huang'ci'bei'jun 橘黄刺杯菌
'ju'nong'shu 巨农树
'ju'xie'zuo'zuo'wu 巨蟹座作物
'ju'ye'jin'huai 巨叶金槐
'ju'ye'xian'zong 锯叶仙棕
'ju'zhong 举重
'juan'dan'bai'he 卷丹百合
'jue'lian'tian'tong'juan 绝恋甜筒卷
'jue'ming'zi 决明子
'jun'zi'lan 君子兰
'ka'ka'fan'qie 咔咔番茄
'ka'mai'long 喀麦隆
'ka'te'lan 卡特兰
'kai'er'de'you'huo 凯尔的诱惑
'kai'tian'pi'di'fu 开天辟地斧
'kai'xin'nan'gua 开心南瓜
'kai'xin'tai'yang 开心太阳
'kang'fu'li'hua 康复力花
'kang'nai'xin 康乃馨
'kao'gu'long 考古龙
'ke'ai'bai'yun 可爱白云
'ke'ai'mi'mi'xiao'biao'qing 可爱咪咪笑表情
'ke'ke'dou 可可豆
'ke'kou'ke'le'guo 可口可乐果
'ke'lai'di 客来邸
'ke'li'mu'lin'gong 克里姆林宫
'ke'luo'di'ya 克罗地亚
'ke'te'di'wa 科特迪瓦
'kong'que'cao 孔雀草
'kong'que'zhu'yu 孔雀竹芋
'ku'gua 苦瓜
'ku'ku'nan'gua 酷酷南瓜
'ku'ku'xiao'chou'yu 酷酷小丑鱼
'ku'ku'you'xing'biao'qing 酷酷有型表情
'ku'wan'bo'luo'pai 酷玩菠萝派
'kuai'le 快乐
'kuai'le'sheng'dai'guo 快乐圣代果
'kuai'le'sheng'dan'quan 快乐圣诞圈
'kuang'huan'lao'ren'sheng'dan'hua 狂欢老人圣诞花
'kuang'wu'dou'niu 狂舞斗牛
'kuang'xiang'qu 狂想曲
'kui'bai'he 葵百合
'kun'a'kun'biao'qing 困啊困表情
'la'ba'shui'xian 喇叭水仙
'la'jiao 辣椒
'la'jiao'bo'ban'tang 辣椒波板糖
'la'mei'hua 腊梅花
'lai'fu'huo'long'guo 来福火龙果
'lan'cui'que 蓝翠雀
'lan'dian'guo'ren'dong 蓝靛果忍冬
'lan'hu'lu 蓝葫芦
'lan'hua 兰花
'lan'hua'lei 蓝花蕾
'lan'hua'shen 蓝花参
'lan'hua'ying 蓝花楹
'lan'ji'hua 蓝芨花
'lan'ling'hua 蓝铃花
'lan'mei 蓝莓
'lan'mei'gui 蓝玫瑰
'lan'mo'li 蓝茉莉
'lan'qiu 篮球
'lan'rui'ling 蓝蕊灵
'lan'se'bang'bang'tang 蓝色棒棒糖
'lan'se'bing'ling'hua 蓝色冰凌花
'lan'se'fu'sang'hua 蓝色扶桑花
'lan'se'huan'xiang'cai'hong'shu 蓝色幻想彩虹树
'lan'se'pu'gong'ying 蓝色蒲公英
'lan'se'sheng'dan'shu 蓝色圣诞树
'lan'se'tian'yuan'shu 蓝色天缘树
'lan'shui'lian 蓝睡莲
'lan'tian'yu 蓝田玉
'lan'xiao'chou 蓝小丑
'lan'xing'hua 蓝星花
'lan'xue'hua 蓝雪花
'lan'ye'ren'shen'guo'shu 蓝叶人参果树
'lan'yi'jun'tuan 蓝衣军团
'lan'zi 兰紫
'lang'man'hu'die'lan 浪漫蝴蝶兰
'lao'dong'jie 劳动节
'lao'guan'cao 老鹳草
'lao'hu'xu 老虎须
'lao'jing'sheng'hua 老茎生花
'lao'shi'bu'chong'jin 劳氏捕虫堇
'le'dou 乐斗
'le'dou'dou'shen'ta 乐斗斗神塔
'le'dou'tian'ming'shu 乐斗天命树
'lei'biao'qing 雷表情
'lei'da'cheng'zi 雷达橙子
'leng'biao'qing 愣表情
'li'ge'hai'tang 丽格海棠
'li'hua'shu 礼花树
'li'jin'hua 立金花
'li'yu'he'chi 鲤鱼荷池
'li'zhi 荔枝
