'an'zhu'liu'ying 暗逐流萤
'feng'fu'luo'zhi'lu'ji 逢赴洛之陆机
'feng'li'shen'zhi'yi'xun 奉立身之遗训
'feng'ling'ji'dian 冯陵畿甸
'feng'san'xing'zhi'dong'ju 逢三星之东聚
'feng'sui'xing'luo 烽随星落
'feng'tang'bu'lun'yu'jiang'shuai 冯唐不论于将帅
'fu'huang'long'er'du'jiang 负黄龙而渡江
'fu'jiao'mei'chuan 浮蛟没船
'fu'qi'niu'yang'zhi'li 负其牛羊之力
'fu'xie'zhi'dan'bei'shen'shi 傅燮之但悲身世
'gan'qi'fei'ping'rong'zhi'zhan 干戚非平戎之战
'gao'qiao'ji'lv 高桥羁旅
'ge'chuan'yan'yu'huai'si 戈船掩于淮泗
'geng'bu'yu'yu'fu'qiu 更不遇于浮丘
'gong'ming'ye'zhi 宫鸣野雉
'gong'si'tu'tan 公私涂炭
'gong'ye'yao'wang 功业夭枉
'gong'zhi'qi'yi'zu'xing 宫之奇以族行
'gong'zhu'zhi'qu'qing'he 公主之去清河
'gu'qi'yi'yi 固其宜矣
'gu'rong'xu'yao'yu'shan 顾荣虚摇羽扇
'gu'wo'qi'zhe 鼓卧旗折
'guan'he'lei'nian 关河累年
'guan'shang'ni'qing 关上泥青
'guan'shou'wu'ben'wen'zhi'ren 官守无奔问之人
'guan'wei'xiao'er'ji'ming 关未晓而鸡鸣
'gui'huo'luan'yu'ping'lin 鬼火乱于平林
'gui'tong'cao'she'zhi'mou 鬼同曹社之谋
'gui'yu'feng'yu'zheng'shi 归馀风于正始
'guo'piao'zhu'er'ji'shi 过漂渚而寄食
'hai'chao'ying'jian 海潮迎舰
'han'feng'xiao'se 寒风萧瑟
'he'nan'you'hu'shu'zhi'jie 河南有胡书之碣
'he'wu'bing'er'ma'du 河无冰而马渡
'heng'diao'ge'er'dui'ba'zhu 横琱戈而对霸主
'hu'jian'qin'ting 忽践秦庭
'hu'jun'kang'kai 护军慷慨
'hu'wei'hu'jia 虎威狐假
'hu'yan'zhi'wei'wang'shi'qin 狐偃之惟王实勤
'hua'ting'he'li 华亭鹤唳
'hua'yang'ben'ming 华阳奔命
'huai'hai'wei'yang 淮海维扬
'huang'gu'yi'yu'mo'ao 荒谷缢于莫敖
'hui'du'qian'chui 虺毒潜吹
'hun'ran'qian'li 浑然千里
'hun'yi'che'shu 混一车书
'huo'jian'zhong'er'chen'zhou 或箭重而沉舟
'huo'yi'sun'yi'yan'pi 或以隼翼鷃披
'ji'er'fang'yu'cheng'wei 既而鲂鱼赪尾
'ji'er'qi'jiao'bei'jue 既而齐交北绝
'ji'feng'sang'luan 即逢丧乱
'ji'guan'zheng'er'li'ti 既官政而离逷
'ji'jian'hui'zhi'bi'ni 既奸回之奰逆
'ji'lv'jin'wei 羁旅金微
'ji'lv'wei'wang'zhi'yun 既履危亡之运
'ji'ma'yun'tun 冀马云屯
'ji'qing'li'er'zhuo'hai 既倾蠡而酌海
'ji'sui'zhe'yan 饥随蛰燕
'ji'sun'xing'ren 季孙行人
'ji'wu'mou'yu'rou'shi 既无谋于肉食
'ji'yan'duo'yu'ji'ke 既言多于忌刻
'ji'yang'zhong'zhuang 济阳忠壮
'ji'yu'shen'er'qi'ye 洎余身而七叶
'jia'yi'huang'qi'zi'qi 加以黄旗紫气
'jia'you'zhi'dao 家有直道
'jia'zhi'yi'xue 加之以血
'jian'bei'fa'yu'yi'chuan 见被发于伊川
'jian'bu'li'yu'liu'mi 箭不丽于六麋
'jian'chang'le'zhi'shen'gao 践长乐之神皋
'jian'chen'jie'zhou 奸臣介胄
'jian'hai'zhi'yue 建亥之月
'jian'hu'ke'yu'da'xia 见胡柯于大夏
'jian'ji'fan'yang 剑及繁阳
'jian'li'jia'zhi'wang'can 见离家之王粲
'jian'qin'che'yu'chang'gu 俴秦车于畅毂
'jian'yin'you'zhi'fang'shi 见殷忧之方始
'jian'zhong'ding'yu'jin'zhang 见钟鼎于金张
'jiang'biao'wu'shi 江表无事
'jiang'fei'jiang'biao'wang'qi 将非江表王气
'jiang'hu'qian'fei 江湖潜沸
'jiang'huai'wu'ya'an'zhi'zu 江淮无涯岸之阻
'jiang'jun'si'sui 将军死绥
'jiang'jun'yi'qu 将军一去
'jiang'ping'song'wang 江萍送王
'jiang'sheng'shi'de 降生世德
'jiang'yu'yu'jiang 将育于姜
'jie'tian'bao'zhi'wei'ding 嗟天保之未定
'jie'ting'kong'gu 阶庭空谷
'jie'you'dao'er'wu'feng 嗟有道而无凤
'jie'yu'qi'ze 届于七泽
'jin'ling'wa'jie 金陵瓦解
'jin'qi'ye'er'shi'luo 今七叶而始落
'jin'shen'yi'qing'tan'wei'miao'lue 缙绅以清谈为庙略
'jin'xuan'miao'wu 筋悬庙屋
'jin'zheng'mi'yi 晋郑靡依
'jing'bang'zuo'han 经邦佐汉
'jing'bi'ni'zhu 荆璧睨柱
'jing'dong'tian'guan 竞动天关
'jing'men'zao'lin'yan'zhi'lu 荆门遭廪延之戮
'jing'shan'que'fei'er'yu'sui 荆山鹊飞而玉碎
'jing'yan'chu'wu 荆艳楚舞
'jing'zao'xia'tai'zhi'huo 竟遭夏台之祸
'jiu'jian'shu'jun 就简书筠
'jiu'ting'zhou'zhi'du'ruo 就汀洲之杜若
'jiu'you'hun'er'fang'ming 久游魂而放命
'ju'fei'bai'nian 俱非百年
'ju'fu'luo'er'zhong'shi 居负洛而重世
'ju'jiang'dong'er'quan'qi 举江东而全弃
'ju'li'gu'er'zhang'bing 居笠毂而掌兵
'ju'li'shan'zhi'pan'tu 拒骊山之叛徒
'ju'shen'ting'er'wang'ji 拒神亭而亡戟
'ju'wei'rang'wang 居为让王
'ju'ze'yuan'zhi'wan'zhu 橘则园植万株
'jun'zi'tun'sheng 君子吞声
'jun'zi'ze'fang'cheng'yuan'he 君子则方成猿鹤
'kai'mo'sheng'yu'zhang'bin 楷模盛于漳滨
'kai'shi'lin'zhi'xue 开士林之学
'ke'yi'qi'chuang'shang'xin'zhe'yi 可以凄怆伤心者矣
'kua'heng'tang'yu'jiang'pu 跨横塘于江浦
'kuang'bei'guan'er'huai'chu 况背关而怀楚
'kuang'fu'jun'zai'jiao'he 况复君在交河
'kuang'fu'ling'luo'jiang'jin 况复零落将尽
'kuang'fu'zhou'ji'lu'qiong 况复舟楫路穷
'kuang'nai'shao'wei'zhen'ren 况乃少微真人
'kuang'yi'li'qi'chao'fu 况以沴气朝浮
'kui'kui'fei'teng 溃溃沸腾
'kun'yang'zhi'zhan'xiang'zou'lin 昆阳之战象走林
'lan'cheng'she'ce'zhi'nian 兰成射策之年
'lan'shi'cheng'yu'yu'shi 滥尸丞于御史
'lao'zhe'xu'ge'qi'shi 劳者须歌其事
'lei'chi'shan'pu 雷池栅浦
'lei'wu'jing'yu'jiu'hu 雷无惊于九虎
'li'ling'zhi'shuang'fu'yong'qu 李陵之双凫永去
'li'shan'hui'yu'di'shi 骊山回于地市
'li'shi'you'jiang'bing'du'wei 离石有将兵都尉
'li'wei'guan'gai 里为冠盖
'lian'mao'yuan'yu'hai'ling 连茂苑于海陵
'liang'gu'feng'xi 梁故丰徙
'liang'guan'dang'ji 两观当戟
'liao'yi'ji'yan 聊以记言
'lie'dong'yue'er'zuo'tu 裂东岳而胙土
'lin'heng'jiang'er'qi'ma 临横江而弃马
'lin'jiang'wang'you'chou'si'zhi'ge 临江王有愁思之歌
'ling'guang'kui'ran 灵光岿然
'liu'shou'xi'he'zhi'guan 留守西河之馆
'long'wen'zhe'zhu 龙文折柱
'lu'ji'zhi'ci'fu 陆机之辞赋
'lu'jiao'heng'yu'chai'hu 路交横于豺虎
'lu'jiu'wu'wang'you'zhi'yong 鲁酒无忘忧之用
'lu'jue'chong'wei 路绝重围
'lu'shi'heng'wen'er'fu'zhang 陆士衡闻而抚掌
'lu'wei'bu'mu 鲁卫不睦
'lu'yi'fen'yu'xiang'han 路已分于湘汉
'lun'bing'yu'jiang'han'zhi'jun 论兵于江汉之君
'luo'fan'huang'he'zhi'pu 落帆黄鹤之浦
'lv'fan'tong'zhong 屡犯通中
'lv'she'wu'yan 旅舍无烟
'ma'wu'wu'yu'yu'jia'bing 马武无预于甲兵
'mai'chang'di'yu'ju'men 埋长狄于驹门
'mang'mang'chen'du 茫茫墋黩
'mao'ling'zhi'shu'kong'ju 茂陵之书空聚
'men'cheng'zou'lu 门成邹鲁
'men'xiang'pu'lun 门巷蒲轮
'meng'shi'ying'cheng 猛士婴城
'meng'zhu'ze'xun'ying'mu'zhi 盟主则荀罃暮至
'mi'lun'luan'zhe 迷轮乱辙
'miao'shi'liu'li 藐是流离
'mie'yin'qin'yi'zhi'ai 蔑因亲以致爱
'min'zhen'yi'yu'qiang'bi 民枕倚于墙壁
'ming'cun'shen'sang 名存身丧
'miu'zhang'wei'yu'zhong'jun 谬掌卫于中军
'mo'bu'sui'hu'tu'er'ku'xue 莫不随狐兔而窟穴
'mo'bu'wen'long'shui'er'yan'qi 莫不闻陇水而掩泣
'mo'ming'yin'liang 谟明寅亮
'mou'chen'juan'she 谋臣卷舌
'mu'fu'da'jiang'jun'zhi'ai'ke 幕府大将军之爱客
'nai'han'fen'zhao'lie 乃韩分赵裂
'nai'jie'xuan'er'tong'ji 乃解悬而通籍
'nai'jin'ling'zhi'huo'shi 乃金陵之祸始
'nai'shi'yu'zhou'yang'hui 乃使玉轴扬灰
'nai'you'che'ce'guo'men 乃有车侧郭门
'nan'chen'mei'yu 南琛没羽
'nan'ji'ze'zhu'tong'wei'zhu 南极则铸铜为柱
'nan'yang'xiao'shu 南阳校书
'pai'qing'long'zhi'zhan'jian 排青龙之战舰
'pan'yue'zhi'wen'cai 潘岳之文采
'peng'lai'wu'ke'dao'zhi'qi 蓬莱无可到之期
'peng'zhu'pan'er'bu'ding 捧珠盘而不定
'piao'chang'feng'yu'shang'you 飘长风于上游
'pin'zao'gua'gu 频遭刮骨
'ping'wu'zhi'gong 平吴之功
'pou'chao'xun'xue 剖巢熏穴
'qi'feng'yu'yu'liang'shan 泣风雨于梁山
'qi'he'qiao'zhi'ke'wen 岂河桥之可闻
'qi'he'yi'chang 其何以昌
'qi'heng'jiang'zhi'kun'shou 起横江之困兽
'qi'jiang'he'ji 泣将何及
'qi'meng'ze'han 其盟则寒
'qi'xuan'ji'zhi'ke'zheng 岂璇玑之可正
'qi'you'bai'wan'yi'shi 岂有百万义师
'qi'yuan'qin'zhi'neng'sai'hai 岂冤禽之能塞海
'qi'yuan'ze'du 其怨则黩
'qi'zhi'ba'ling'ye'lie 岂知灞陵夜猎
'qi'zhi'shan'yue'an'ran 岂知山岳闇然
'qian'men'shou'jian 千门受箭
'qian'tang'jiao'er'zuan'si 迁唐郊而纂祀
'qie'fu'tian'dao'hui'xuan 且夫天道回旋
'qie'zai'qing'bo 妾在青波
'qin'huan'xi'qi 秦患西起
'qin'zhong'shui'hei 秦中水黑
'qing'jiu'ding'er'yu'wen 轻九鼎而欲问
'qing'pao'ru'cao 青袍如草
'qiong'yu'jia'xu 穷于甲戌
'qiong'zhe'yu'da'qi'yan 穷者欲达其言
'qiu'zhu'yan'he'zhi'fu 求诸厌劾之符
'qu'cen'yang'xi'ji'pu 去涔阳兮极浦
'qu'dai'di'er'cheng'ji 去代邸而承基
'qu'lu'lin'zhi'san'zu 驱绿林之散卒
'qu'zhi'yi'yuan 去之已远
'que'ling'fen'shu 鹊陵焚戍
'ran'fu'wei'deng 燃腹为灯
'rang'dong'hai'zhi'bin 让东海之滨
'ren'cheng'san'hu 人称三户
'ren'duo'quan'jie 人多全节
'ren'he'le'yu'wan'hu 忍和乐于弯弧
'ren'jian'he'shi 人间何世
'ren'shou'zhi'jing'tu'xuan 仁寿之镜徒悬
'ren'wei'ba'qian 人惟八千
'ren'you'qin'ting'zhi'ku 人有秦庭之哭
'ren'zhi'yun'wang 人之云亡
'reng'jiao'yi'yu'chong'xian 仍矫翼于崇贤
'ri'mu'tu'yuan 日暮途远
'ri'qiong'yu'ji 日穷于纪
'rong'jun'tun'yu'shi'cheng 戎军屯于石城
'ru'cao'mu'yan 如草木焉
'ru'jiu'nan'guan'zhi'qiu 入就南冠之囚
'ru'qi'xie'zhi'xiao'jing 入欹斜之小径
'ru'ying'zhi'nian'si'jin 入郢之年斯尽
'run'he'luo'zhi'bo'lan 润河洛之波澜
'ruo'fu'li'de'li'yan 若夫立德立言
'ruo'jiang'ling'zhi'zhong'fou 若江陵之中否
'ruo'nai'yin'ling'shi'lu 若乃阴陵失路
'san'jun'qi'chuang 三军凄怆
'san'nian'qiu'yu'bie'guan 三年囚于别馆
'san'qian'yu'li 三千馀里
'san'ri'ku'yu'du'ting 三日哭于都亭
'san'shi'wei'jiang 三世为将
'san'zhou'ze'fu'zi'li'bie 三州则父子离别
'shan'chuan'beng'jie 山川崩竭
'shan'gao'zhao'xing 山高赵陉
'shan'ling'jian'bian 山灵见鞭
'shan'wang'zi'er'yu'duo 山望子而逾多
'shan'yi'zhan'fa 芟夷斩伐
'shan'yue'beng'tui 山岳崩颓
'shang'cai'zhu'lie 上蔡逐猎
'shang'hun'you'yu'xin'shi 殇魂游于新市
'shang'qi'hu'bao'zhi'pi 赏其虎豹之皮
'shang'shu'duo'suan 尚书多算
'shang'you'yu'yu'ji'mi 尚有欲于羁縻
'she'zhong'yun'zhi'jiang 设重云之讲
'shen'bao'xu'zhi'dun'di 申包胥之顿地
'shen'can'mo'jiang 身参末将
'shen'ming'mai'mo 身名埋没
'shen'ren'can'ku 神人惨酷
'shen'xian'shi'zu 身先士卒
'shen'yu'wen'tai'zhen 深于温太真
'shen'zi'fen'fa 申子奋发
'sheng'chao'yu'xi'biao 声超于系表
'sheng'min'lai'yan 生民赖焉
'sheng'ren'zhi'da'bao'yue'wei 圣人之大宝曰位
'shi'bo'qian'yu'wu'zu 始播迁于吾祖
'shi'han'xiang'yu'jian'li 始含香于建礼
'shi'jun'zhang'yu'yi'lie 事君彰于义烈
'shi'li'wu'li 十里五里
'shi'liu'bo'yu'dong'chuan 始流播于东川
'shi'niao'luan'yu'tiao'zhi 识鸟卵于条枝
'shi'qun'ban'ma 失群班马
'shi'rong'tao'yu'wu'zhang 侍戎韬于武帐
'shi'shu'jia'feng 始述家风
'shi'suo'gan'xin 是所甘心
'shi'wang'fu'er'yu'yuan 石望夫而逾远
'shi'xiao'qiang'zhi'nei'qi 实萧墙之内起
'shi'yi'zhe'xiong'shang'ma 是以蛰熊伤马
'shi'yu'yu'xi'he'zhi'zhu 拭玉于西河之主
'shi'ze'di'ming'quan'jie 始则地名全节
'shi'ze'wang'zi'zhao'rong 始则王子召戎
'shi'zhi'bing'tun'lu'he 是知并吞六合
'shi'zhi'yong'er'xing'can 实志勇而形残
'shi'zhong'yuan'zhi'fa'zhu 始中原之乏主
'shi'zong'yuan'rong 实总元戎
'shou'bei'shi'chang 守备是长
'shou'cheng'shu'zhi'gu'tuo 受成书之顾托
'shou'lian'cheng'er'jian'qi 受连城而见欺
'shu'jiang'han'zhi'ke'shi 庶江汉之可恃
'shu'wo'shen'qi 输我神器
'shu'zhu'yuan'fei 书逐鸢飞
'shui'du'qin'jing 水毒秦泾
'shui'mu'jiao'yun 水木交运
'shui'shen'zao'jian 水神遭箭
'si'jiao'duo'lei 四郊多垒
'si'qi'shui'cao'zhi'xing 肆其水草之性
'si'sheng'qi'kuo 死生契阔
'si'tu'zhi'biao'li'jing'lun 司徒之表里经纶
'sou'cheng'ba'yu 蒐乘巴渝
'su'wu'zhi'yi'yan'kong'fei 苏武之一雁空飞
'sui'an'she'sheng'er'zhu'si 隋岸蛇生而珠死
'sui'can'zhou'su 遂餐周粟
'sui'ce'guan'er'kui'tian 遂测管而窥天
'sui'chong'wen'er'hui'wu 遂崇文而会武
'sui'fu'chu'you'qi'ze 虽复楚有七泽
'sui'jiang'fu'shi 岁将复始
'sui'jie'ren'zhi'wai'li 虽借人之外力
'sui'nai'fen'lie'shan'he 遂乃分裂山河
'sui'shi'yan'er'xie'lou 遂师言而泄漏
'sui'wu'yan'yu'shi'kuang 遂无言于师旷
'sui'yu'chang'ping'zhi'wa 碎于长平之瓦
'sui'zhi'yi'shou 碎之以首
'sun'ce'yi'tian'xia'wei'san'fen 孙策以天下为三分
'ta'han'gu'yu'lei'men 沓汉鼓于雷门
'tan'fei'shi'er'you'lin 叹非时而有麟
'tan'jie'jin'zhi'hui'fei 谈劫烬之灰飞
'tan'que'kou'er'wei'bao 探雀鷇而未饱
'tao'kan'kong'zheng'mi'chuan 陶侃空争米船
'ti'qie'lao'you 提挈老幼
'tian'dao'zhou'xing 天道周星
'tian'di'li'zu 天地离阻
'tian'di'zhi'da'de'yue'sheng 天地之大德曰生
'tian'he'wei'er'ci'zui 天何为而此醉
'tian'lu'shan'yu'chi'xian 填卢山于赤县
'tian'shan'yi'min 天山逸民
'tian'xia'zhi'shi'mei'yan 天下之事没焉
'tian'yi'ren'shi 天意人事
'tian'ze'jin'jing'dong'su 天则金精动宿
'tian'zi'fang'shan'shi'shu 天子方删诗书
'tian'zi'lv'duan'fei'chao 天子履端废朝
'tie'zhu'ya'qiang 铁舳牙樯
'ting'bi'wu'fan'li'zhi'gu 亭壁无籓篱之固
'ting'hu'jia'er'lei'xia 听胡笳而泪下
'ting'ya'qu'yu'wen'xian 听雅曲于文弦
'tong'jian'lu'yu'you'zi 同见戮于犹子
'tou'hui'ji'lian'zhe'he'zong'di'jiao 头会箕敛者合从缔交
'tu'si'qian'ma'zhi'mo 徒思拑马之秣
'tuo'lu'zhong'er'du'shui 托芦中而渡水
'wang'chi'bi'er'zhan'yi 望赤壁而沾衣
'wang'jun'xia'yu'ba'qiu 王濬下于巴丘
'wang'she'wei'he'qin'zhi'hou 王歙为和亲之侯
'wang'shi'shi'lai 王室是赖
'wang'ting'wei'zhi'bu'qiu 望廷尉之逋囚
'wang'wu'zhi'sui'ji'qiong 亡吴之岁既穷
'wang'xuan'ping'zhi'gui'li 望宣平之贵里
'wang'zi'bin'luo'zhi'sui 王子滨洛之岁
'wei'bian'sheng'yu'huang'gai 未辨声于黄盖
'wei'jian'shao'niu'zhi'bing 未见烧牛之兵
'wei'jing'heng'zhi'qi'zi 谓荆衡之杞梓
'wei'ku'yu'zhi'xian'suo 惟枯鱼之衔索
'wei'nan'shan'zhi'yu 畏南山之雨
'wei'shen'si'yu'wu'nan 未深思于五难
'wei'shui'guan'yu'tian'men 渭水贯于天门
'wei'yi'bei'ai'wei'zhu 惟以悲哀为主
'wen'ci'gao'yu'jia'guan 文词高于甲观
'wen'he'li'er'xin'jing 闻鹤唳而心惊
'wen'san'chuan'er'sui'kui 闻三川而遂窥
'wen'xian'ge'yu'xu'shi 闻弦歌于许史
'wen'xu'si'er'si'gui 温序死而思归
'wen'zhu'yin'hun'zhi'gui 问诸淫昏之鬼
'wo'di'zhu'er'qiu'an 卧砥柱而求安
'wo'diao'dou'yu'xing'yang 卧刁斗于荥阳
'wo'zhi'zhang'yu'cheng'zhou 我之掌庾承周
'wu'chu'qiu'sheng 无处求生
'wu'hu 呜呼
'wu'ji'bu'fan 物极不反
'wu'jiu'ping'yang'zhi'huo 无救平阳之祸
'wu'jun'ze'xiong'di'xiang'bei 五郡则兄弟相悲
'wu'shi'nian'zhong 五十年中
'wu'yan'shi'zhi'wo'qiang 无燕师之卧墙
'wu'yu'yue'yin 吴歈越吟
'xi'huan'jun'shan'zhi'zhi'shi 昔桓君山之志事
'xi'jin'fu'yu 西赆浮玉
'xi'ma'yu'feng'huang'lou'zhu 系马于凤皇楼柱
'xi'san'shi'er'wu'can 昔三世而无惭
'xi'tian'xia'zhi'yi'jia 惜天下之一家
'xi'zhan'bo'wang 西瞻博望
'xi'zhi'hu'ju'long'pan 昔之虎踞龙盘
'xia'chen'cang'er'lian'nu 下陈仓而连弩
'xia'jiang'yu'cheng 下江余城
'xia'kou'lan'kui'quan'zhi'zhu 夏口滥逵泉之诛
'xia'ting'piao'bo 下亭漂泊
'xian'chen'shi'de 先陈世德
'xian'neng'zi'xu 咸能自序
'xian'yang'bu'yi 咸阳布衣
'xian'zi'shan'yu'san'duan 先自擅于三端
'xiang'guan'shan'er'chang'tan 向关山而长叹
'xiang'ji'yong'jiang'dong'zhi'zi'di 项籍用江东之子弟
'xiao'ren'ze'jiang'ji'shui'huo 小人则将及水火
'xiao'ze'wei'xiao'wei'jing 小则为枭为獍
'xiao'zhan'yu'tang 校战玉堂
'xin'nian'shi'er'mao 信年始二毛
'xin'sheng'shi'deng'yu'long'men 信生世等于龙门
'xin'ye'you'sheng'ci'zhi'miao 新野有生祠之庙
'xing'han'fei'cheng'cha'ke'shang 星汉非乘槎可上
'xing'jing'zhe'la 硎穽折拉
'xing'you'kan'yu'dou'niu 星犹看于斗牛
'xiong'di'san'ren 兄弟三人
'xu'yang'ting'you'li'bie'zhi'fu 栩阳亭有离别之赋
'xue'an'ru'sha 雪暗如沙
'xun'zi'jian'yu'chun'shen 训子见于纯深
'yan'ge'yuan'bie 燕歌远别
'yan'peng'diao'zhi'huang'fei 掩蓬藋之荒扉
'yao'jing'ye'yun 妖精夜陨
'ye'fu'qiu'yu'qun'shuai 冶父囚于群帅
'yi'ai'zi'er'tuo'ren 以爱子而托人
'yi'chun'shou'er'ci'qin 以鹑首而赐秦
'yi'duan'wei'er'kai'wu 异端委而开吴
