'an'quan'xu'yao 安全需要
'ji'xie'neng'li'xing'xiang'ce'yan 机械能力性向测验
'ji'yi'neng'li 记忆能力
'jia'ting'dai'ji'shu 家庭代际数
'jian'bao 简报
'jian'dan'guan'xi 简单关系
'jian'han 柬函
'jian'she'xing'gong'gong'guan'xi 建设型公共关系
'jiang'li 奖励
'jiao'hu'bao'chang'xi'yin'gui'lv 交互报偿吸引规律
'jiao'ji'xing'gong'gong'guan'xi 交际性公共关系
'jiao'zheng'xing'gong'gong'guan'xi 矫正型公共关系
'jie'he'guan'xi 结合关系
'jie'jin'xing'xi'yin'gui'lv 接近性吸引规律
'jie'jin'yuan'ze 接近原则
'jin'gong'xing'gong'gong'guan'xi 进攻型公共关系
'jin'rong'gong'gong'guan'xi 金融公共关系
'jin'yin'xiao'ying 近因效应
'jing'ji'ren 经济人
'jing'shen'fa'xie'fa 精神发泄法
'jing'shen'xu'yao 精神需要
'jing'xiao'shang'gong'zhong 经销商公众
'jing'zheng'guan'xi 竞争关系
'ju'li'lin'jin'lv 距离临近律
'ju'san'xing'gong'zhong 聚散型公众
'jue'ce 决策
'jue'ce'you'xiao'xing 决策有效性
'ke'ban'yin'xiang 刻板印象
'kong'zhi'xing'wei 控制行为
'kou'yu'ci'ji 口语刺激
'lao'dong'xin'li'xue 劳动心理学
'leng'mei'jie 冷媒介
'li'jie 理解
'liang'hao'ren'ji'guan'xi 良好人际关系
'lin'li'xiao'ying 邻里效应
'ling'dao 领导
'ling'dao'ti'zhi 领导体制
'ling'dao'xin'li 领导心理
'ling'san'xing'gong'zhong 零散型公众
'liu'dong'xing'gong'zhong 流动性公众
'lu'xiang 录像
'luo'ji'tui'li'neng'li 逻辑推理能力
'luo'xia'ke'ce'yan 罗夏克测验
'mei'jie 媒介
'mei'jie'chan'ye 媒介产业
'mei'jie'guan'xi 媒介关系
'mei'jie'he'cheng'ti 媒介合成体
'mei'yu'du 美誉度
'ming'pian'xiao'ying 名片效应
'mo'fang 模仿
'mu'biao'dao'xiang'xing'wei 目标导向行为
'mu'biao'xing'wei 目标行为
'mu'biao'zuo'ye'fa 目标作业法
'nan'du'ce'yan 难度测验
'nei'bu'gong'gong'guan'xi 内部公共关系
'nei'bu'gong'zhong 内部公众
'nei'bu'kan'wu 内部刊物
'nei'hua 内化
'nei'zai'jiang'li 内在奖励
'nei'zai'kong'zhi 内在控制
'neng'li 能力
'neng'li'ce'yan 能力测验
'neng'li'yu'xian 能力阈限
'ni'yi'gong'zhong 逆意公众
'ning'ju'li 凝聚力
'ou'ran'qun 偶然群
'peng'you'ren'ji'guan'xi 朋友人际关系
'pi'ge'ma'li'weng'xiao'ying 皮格马利翁效应
'pian'jian 偏见
'ping'deng'hu'zhu'hu'liang'hu'rang'yuan'ze 平等互助互谅互让原则
'ping'deng'yuan'ze 平等原则
'ping'jia'neng'li 评价能力
'ping'xing'yuan'ze 平行原则
'qi'kan 期刊
'qi'ye'kan'wu 企业刊物
'qian'kui 前馈
'qian'zai'gong'zhong 潜在公众
'qiang'bao 墙报
'qiang'po'xing'xi'yin'gui'lv 强迫性吸引规律
'qiang'zhi'guan'xi 强制关系
'qiang'zhi'xing'tai 强制形态
'qin'fan'xing'wei 侵犯行为
'qin'she'hui'xing'wei 亲社会行为
'qin'shu'ren'ji'guan'xi 亲属人际关系
'qin'yuan'guan'xi'zhi'shu 亲缘关系指数
'qin'yuan'ren'ji'guan'xi 亲缘人际关系
'qing'gan 情感
'qing'gan'chuan'bo 情感传播
'qing'jing 情境
'qing'xu'gan'ran 情绪感染
'qing'xu'hu'dong 情绪互动
'qing'xu'xiao'ying 情绪效应
'qu'dao 渠道
'qu'yu'guan'xi 区域关系
'qun'ti 群体
'qun'ti'chong'tu 群体冲突
'qun'ti'gui'fan 群体规范
'qun'ti'huo'dong'xiao'lv'yuan'ze 群体活动效率原则
'qun'ti'jue'ce 群体决策
'qun'ti'ning'ju'li 群体凝聚力
'qun'ti'xin'li 群体心理
'qun'ti'ya'li 群体压力
'qun'ti'yi'shi 群体意识
're'mei'jie 热媒介
'ren'ben'yuan'li 人本原理
'ren'de'xian'dai'hua 人的现代化
'ren'ji'chuan'bo 人际传播
'ren'ji'gan'qing 人际感情
'ren'ji'guan'xi 人际关系
'ren'ji'guan'xi'xing'tai 人际关系形态
'ren'ji'guan'xi'xue 人际关系学
'ren'ji'ju'li 人际距离
'ren'ji'qi'dai 人际期待
'ren'ji'zhi'jue 人际知觉
'ren'qun'guan'xi 人群关系
'ren'wen'huan'jing 人文环境
'ren'xing 人性
'shang'xia'ji'guan'xi 上下级关系
'shang'ye'xin'li'xue 商业心理学
'she'hui 社会
'she'hui'bao'xian 社会保险
'she'hui'bao'zhang'zhi'du 社会保障制度
'she'hui'biao'qian'xiao'ying 社会标签效应
'she'hui'cong'zhong'xing'wei 社会从众行为
'she'hui'di'wei 社会地位
'she'hui'dong'ji 社会动机
'she'hui'feng'qi 社会风气
'she'hui'fu'li 社会福利
'she'hui'fu'li'she'qu'zu'zhi 社会福利社区组织
'she'hui'guan'xi 社会关系
'she'hui'gui'fan 社会规范
'she'hui'huan'jing 社会环境
'she'hui'jie'ceng 社会阶层
'she'hui'jing'ying 社会精英
'she'hui'li'yi'yuan'ze 社会利益原则
'she'hui'quan'wei 社会权威
'she'hui'qun'ti 社会群体
'she'hui'ren 社会人
'she'hui'shen'fen 社会身份
'she'hui'sheng'huo 社会生活
'she'hui'tai'du 社会态度
'she'hui'wen'hua 社会文化
'she'hui'wen'ti 社会问题
'she'hui'xian'xiang 社会现象
'she'hui'xiao'yi 社会效益
'she'hui'xin'li 社会心理
'she'hui'xin'li'qun'ti 社会心理群体
'she'hui'xin'li'xue 社会心理学
'she'hui'xu'yao 社会需要
'she'hui'xue 社会学
'she'hui'yi'shi 社会意识
'she'hui'yu'lun 社会舆论
'she'hui'yu'she'hui'guan'xi 社会与社会关系
'she'hui'zhi'jue 社会知觉
'she'hui'zhu'yi'jing'shen'wen'ming 社会主义精神文明
'she'hui'zhu'zhang'zuo'yong 社会助长作用
'she'hui'zu'zhi 社会组织
'she'jiao'ren 社交人
'she'qu 社区
'she'qu'fa'zhan 社区发展
'she'qu'gong'zhong 社区公众
'she'qu'guan'xi 社区关系
'she'qu'zhong'xin 社区中心
'she'qu'zu'zhi 社区组织
'sheng'huo'fang'shi 生活方式
'sheng'li'xu'yao 生理需要
'shi'jie'cun 世界村
'shi'li'ren 实利人
'shi'qi 士气
'shi'qi'diao'cha 士气调查
'shi'shang 时尚
'shou'chuan'zhe 受传者
'shou'huan'ying'gong'zhong 受欢迎公众
'shou'shi'ci'ji 手势刺激
'shou'shu'guan'xi 首属关系
'shou'yao'gong'zhong 首要公众
'shou'yin'xiao'ying 首因效应
'shou'zhe 受者
'shou'zhong 受众
'shu'mian'ce'yan 书面测验
'shuang'xiang'chuan'bo 双向传播
'shun'yi'gong'zhong 顺意公众
'si'kai'lun'ji'hua 斯凯伦计划
'su'du'ce'yan 速度测验
'ta'ren'zai'chang 他人在场
'tai'du 态度
'tai'du'cong 态度丛
'tai'du'diao'cha 态度调查
'tai'du'xiang'si'lv 态度相似律
'tan'hua'fa 谈话法
'te'shu'gong'zhong 特殊公众
'te'shu'neng'li 特殊能力
'te'shu'xing'xiang'ce'yan 特殊性向测验
'ti'dai'zuo'yong 替代作用
'tong'ceng'ci'ye'yuan'ren'ji'guan'xi 同层次业缘人际关系
'tong'hua 同化
'tong'ji'guan'xi 同级关系
'tong'shi'guan'xi 同事关系
'tong'zhi'qun'ti 同质群体
'tou'she'ce'yan 投射测验
'tou'she'xiao'ying 投射效应
'tou'she'zuo'yong 投射作用
'tui'hua 退化
'tuo'xie 妥协
'wai'bu'gong'gong'guan'xi 外部公共关系
'wai'bu'gong'zhong 外部公众
'wai'bu'kan'wu 外部刊物
'wai'zai'jiang'li 外在奖励
'wei'ke'si'le'cheng'ren'zhi'li'liang'biao 韦克斯勒成人智力量表
'wen'ding'xing'tai 稳定形态
'wen'hua 文化
'wen'ming 文明
'wen'shi'zuo'yong 文饰作用
'wen'shu'neng'li'xing'xiang'ce'yan 文书能力性向测验
'wu'zhi'xu'yao 物质需要
'wu'zhong'chuan'bo'wang'luo 五种传播网络
'xi'su 习俗
'xi'tong'guan'li 系统管理
'xian'nei'zhu'gong'zhong 贤内助公众
'xian'suo'pian'cha 线索偏差
'xian'xia'shi'jian 闲暇时间
'xian'xing'chuan'bo 线性传播
'xiang'rong'yuan'ze 相容原则
'xiang'si'yuan'ze 相似原则
'xiao'du 效度
'xiao'fei'zhe'guan'xi 消费者关系
'xiao'fei'zhe'xi'lie'hua 消费者系列化
'xiao'fei'zhe'xin'li'xue 消费者心理学
'xiao'fei'zhe'zu'zhi'hua 消费者组织化
'xiao'ji'tuan'yi'shi 小集团意识
'xiao'qun'ti 小群体
'xiao'yong 效用
'xie'zuo'guan'xi 协作关系
'xin'li'ce'yan 心理测验
'xin'li'cuo'zhe 心理挫折
'xin'li'huan'he 心理缓和
'xin'li'ji'shu'xue 心理技术学
'xin'li'neng'li'ce'yan 心理能力测验
'xin'li'qi'fen 心理气氛
'xin'li'qi'hou 心理气候
'xin'li'wei'sheng 心理卫生
'xin'li'yin'su 心理因素
'xin'li'yun'dong'neng'li'xing'xiang'ce'yan 心理运动能力性向测验
'xin'wen'gao 新闻稿
'xin'wen'jie'guan'xi 新闻界关系
'xin'wen'mei'jie'gong'zhong 新闻媒介公众
'xin'xi 信息
'xin'xi'chuan'di 信息传递
'xin'xi'fang'fa 信息方法
'xin'xi'fen'lei 信息分类
'xin'xi'hua'she'hui 信息化社会
'xin'xi'jia'gong 信息加工
'xin'xi'jia'zhi 信息价值
'xin'xi'liang 信息量
'xin'xi'lun 信息论
'xin'xi'she'hui 信息社会
'xin'xi'sheng'cheng'yuan 信息生成源
'xin'xi'shou'ji 信息收集
'xin'xi'yuan 信息源
'xin'xi'zhu'cun 信息贮存
'xin'xi'zhui'zong 信息追踪
'xin'yu'yuan'ze 信誉原则
'xing'dong'gong'zhong 行动公众
'xing'qu 兴趣
'xing'wei 行为
'xing'wei'gui'lv 行为规律
'xing'wei'jie'gou 行为结构
'xing'wei'ke'xue 行为科学
'xing'wei'mo'shi 行为模式
'xing'xiang'su'zao'yun'dong 形象塑造运动
'xu'yao 需要
'xu'yao'hu'bu'lv 需要互补律
'xu'yao'hu'bu'xi'yin'gui'lv 需要互补吸引规律
'xuan'chuan'xiao'ce'zi 宣传小册子
'xuan'chuan'xing'gong'gong'guan'xi 宣传性公共关系
'xuan'ze'xing'ji'yi 选择性记忆
'xuan'ze'xing'jie'chu 选择性接触
'xuan'ze'xing'jie'shou 选择性接受
'xuan'ze'xing'li'jie 选择性理解
'xuan'ze'xing'zhu'yi 选择性注意
'xue'qin'ren'ji'guan'xi 血亲人际关系
'xue'qin'ren'ji'qun'ti 血亲人际群体
'xun'xi 讯息
'ya'li 压力
'yao'yan 谣言
'ye'yuan'guan'xi 业缘关系
'ye'yuan'qun'ti 业缘群体
'ye'yuan'ren'ji'guan'xi 业缘人际关系
'yi'ban'neng'li 一般能力
'yi'jian'diao'cha 意见调查
'yi'ma 译码
'yi'ma'zhe 译码者
'yi'zhi'kong'zhi 意志控制
'yin'xiang 印象
'yin'xiang'zheng'shi 印象整饰
'ying'xiang'li 影响力
'you'fa'xing'xi'yin'gui'lv 诱发性吸引规律
'you'yi 友谊
'yu'ce'xing'wei 预测行为
'yu'lun 舆论
'yu'lun'ling'xiu 舆论领袖
'yuan'gong'guan'xi 员工关系
'yuan'gong'shou'ce 员工手册
'yuan'liao'gong'ying'zhe'gong'zhong 原料供应者公众
'yuan'shi'chuan'bo'fang'shi 原始传播方式
'yun'lun'xiao'ying 晕轮效应
'za'zhi 杂志
'zhang'ai'ren'ji'guan'xi 障碍人际关系
'zhang'ai'xing'tai 障碍形态
'zheng'chang'ren'ji'guan'xi 正常人际关系
'zheng'fu'gong'zhong 政府公众
'zheng'fu'guan'xi 政府关系
'zheng'xun'xing'gong'gong'guan'xi 征询性公共关系
'zhi'gong'guan'xi 职工关系
'zhi'jue 知觉
'zhi'jue'xuan'ze'xing 知觉选择性
'zhi'li 智力
'zhi'li'ce'yan 智力测验
'zhi'ming'du 知名度
'zhi'ming'du'he'mei'yu'du'xing'xiang'di'wei'tu 知名度和美誉度形象地位图
'zhi'xiao'gong'zhong 知晓公众
'zhi'yuan'kan'wu 职员刊物
'zhi'yue'xian'xiang 制约现象
'zhong'jian'chuan'bo 中间传播
'zhong'jie'chuan'bo 中介传播
'zhong'li'gong'zhong 中立公众
'zhou'qi'xing'gong'zhong 周期性公众
'zhu'ke'guan'xi 主客关系
'zhu'ti'tong'jue'ce'yan 主题统觉测验
'zi'chen'liang'biao'fa 自陈量表法
'zi'dong'ren 自动人
'zi'wo'chuan'bo 自我传播
'zi'wo'kong'zhi 自我控制
'zi'wo'shi'xian'ren 自我实现人
'zi'wo'shi'xian'xu'yao 自我实现需要
'zi'wo'zhi'jue 自我知觉
'zi'you'shi'jian 自由时间
'zong'he'kan'wu 综合刊物
'zu'zhi'chuan'bo 组织传播
'zu'zhi'xing'xiang 组织形象
'zu'zhi'xing'xiang'di'wei'si'xiang'xian'tu 组织形象地位四象限图
