'a'lan're'ba'yi'you'xun 阿兰若八一由旬
'chu'fen'ming'yu'wu'ming'ta 触分明与无明他
'chu'kai'bei'ju'lu'zhou'wai 除开北俱卢洲外
'chu'liu'ju'he'er'chan'sheng 触六聚合而产生
'chu'neng'zhi'ku'le'deng'qian 触能知苦乐等前
'chu'san'jing'lv'ge'san'chu 初三静虑各三处
'chu'shi'si'shi'yu'shi'shi 触食思食与识食
'chu'yi'shen'bian'yu'ta'zhe 除依神变与他者
'chu'zhe'ba'wan'you'xun'kuan 初者八万由旬宽
'chuan'shuo'ci'nai'wei'yuan'qi 传说此乃位缘起
'ci'deng'ji'shi'qi'shi'chu 此等即是七识处
'ci'di'er'shuo'ci'si'shi 次第而说此四食
'ci'di'er'si'ze'yu'zu 次第而死则于足
'ci'di'nai'wei'bi'deng'ding 次第乃为彼等顶
'ci'di'qi'ri'yue'nian'zhi 次第七日月年止
'ci'ji'yuan'qi'shi'er'zhi 此即缘起十二支
'ci'nai'you'zhi'zhi'gui'lv 此乃有支之规律
'ci'shan'bu'zhou'bu'yi'ding 此赡部洲不一定
'ci'shang'zhu'suo'shi'qi'chu 此上住所十七处
'ci'tong'si'san'er'yi'zhou 次统四三二一洲
'ci'xia'er'wan'you'xun'chu 此下二万由旬处
'ci'xiang'bei'yue'jiu'hei'shan 此向北越九黑山
'ci'xu'yuan'qi'ji'shi'yin 此许缘起即是因
'ci'yi'yin'ye'xiang'tong'gu 此一引业相同故
'cong'bi'ye'zhong'chan'sheng'shi 从彼业中产生事
'cong'zhong'suo'sheng'zhi'liu'shou 从中所生之六受
'cun'zhu'er'shi'zhong'jie'ye 存住二十中劫也
'da'di'zhuang'yan'ju'tan'xing 大地庄严具弹性
'di'er'jing'lv'deng'san'zhe 第二静虑等三者
'di'liu'jin'neng'wei'ming'cheng 第六仅能谓名称
'di'san'pin 第三品
'di'san'pin'zhong 第三品终
'di'si'jing'lv'you'ba'chu 第四静虑有八处
'di'yu'e'gui'yu'pang'sheng 地狱饿鬼与旁生
'di'yu'zhong'yin'tou'chao'xia 地狱中阴头朝下
'dong'bei'zhi'yu'da'xiang'shu 东北之隅大香树
'dong'sheng'shen'zhou'ru'ban'yuan 东胜身洲如半圆
'dong'sheng'shen'zhou'xi'niu'huo 东胜身洲西牛货
'duan'jue'shan'gen'yu'jie'he 断绝善根与结合
'duan'shi'yu'jie'san'chu'xing 段食欲界三处性
'duo'jie'huai'jie'wu'zhuan'yu 多劫坏劫无转狱
'e'gui'yi'you'tai'sheng'er 饿鬼亦有胎生二
'e'gui'yue'ri'wu'bai'nian 饿鬼月日五百年
'e'hui'ze'fei'shi'jian'gu 恶慧则非是见故
'e'qu'tian'ren'a'luo'han 恶趣天人阿罗汉
'er'bu'gong'cun'ru'fo'tuo 二不共存如佛陀
'er'er'xiang'jiao'bao'zhi'shou 二二相交抱执手
'er'hou'jian'ci'tan'zhi'wei 尔后渐次贪执味
'er'hou'nai'shi'yi'qie'zhou 尔后乃是一切洲
'er'hou'shen'du'ba'shi'wan 尔后深度八十万
'er'hou'xiang'shang'yi'fu'ran 尔后向上亦复然
'er'qian'you'xun'ma'che'xing 二千由旬马车形
'er'qian'zhong'qian'zhi'shi'jie 二千中千之世界
'er'zhou'ban'ban'er'di'jian 二洲半半而递减
'fa'xiao'mu'shi'er'xing'yin 发笑目视而行淫
'fan'nao'xian'shi'wei'wu'ming 烦恼现时为无明
'fan'nao'you'san'ye'you'er 烦恼有三业有二
'fan'nao'yu'ye'zuo'yin'yuan 烦恼与业作因缘
'fan'nao'zhong'sheng'fan'nao'ye 烦恼中生烦恼业
'fan'tian'shi'jie'yi'qian'shu 梵天世界一千数
'fang'yu'si'ceng'zhi'bi'chu 方隅四层之彼处
'fei'fan'nao'xing'fei'you'ji 非烦恼性非有记
'fei'xiang'xu'yin'er'fa'sheng 非相续因二法生
'fen'bie'gao'chu'yi'wan'liu 分别高出一万六
'fen'bie'shi'jian'pin 分别世间品
'fen'wei'san'fen'qian'yu'hou 分为三份前与后
'fo'qin'shuo'gu'you'xun'xiang 佛亲说故有寻香
'fu'ci'xiang'zui'shan'zhi'nei 复次香醉山之内
'fu'ci'yi'zao'e'ye'dao 复次以造恶业道
'fu'he'di'yu'deng'liu'yu 复合地狱等六狱
'fu'huo'zhi'hui'huo'fu'hui 福或智慧或福慧
'gan'shou'an'le'deng'san'zhong 感受安乐等三种
'ge'zi'jun'you'er'yuan'qi 各自均有二缘起
'guang'da'zhi'gu'ci'di'zhi 广大之故次第知
'hai'xin'sui'tan'xiang'ying'chu 害心随贪相应触
'hou'hou'jiao'qian'zeng'qi'bei 后后较前增七倍
'huai'jie'you'yi'huo'hui'huai 坏劫有以火毁坏
'ji'bu'tong'gu'fei'bi'yu 及不同故非比喻
'ji're'di'yu'ban'zhong'jie 极热地狱半中劫
'ji'shi'ba'zhong'han'di'yu 即是八种寒地狱
'ji'shi'ju'pao'di'yu'shou 即是具疱地狱寿
'ji'shi'qing'ke'yu'zhi'jie 虮虱青稞与指节
'ji'shi'suo'wei'zhi'xue'shan 即是所谓之雪山
'ji'shi'wu'jian'di'yu'chu 即是无间地狱处
'ji'shi'yu'jie'fen'er'shi 即是欲界分二十
'ji'wei'se'jie'yu'qi'zhong 即为色界于其中
'ji'wei'wei'chen'tie'shui'chen 极微微尘铁水尘
'ji'wei'wen'zi'yu'cha'na 极微文字与刹那
'ji'xin'xiang'xu'zhi'suo'yi 即心相续之所依
'ji'zhi'yi'qie'yu'tian'ren 即指一切欲天人
'jian'ju'yi'wan'yi'qian'ye 间距一万一千也
'jie'sheng'zhi'yun'ji'shi'sheng 结生之蕴即是生
'jie'shu'deng'tong'zi'shen'liang 劫数等同自身量
'jie'yi'bing'ji'ji'huang'jin 劫以兵疾饥荒尽
'jin'xin'zhi'yin'zhong'er'sheng 近心之因中而生
'jin'yin'tong'tie'zhuan'lun'wang 金银铜铁转轮王
'jing'shuo'you'qing'zhi'jiu'chu 经说有情之九处
'jing'zhong'xuan'shuo'ge'ming'cheng 经中宣说各名称
'ju'li'er'shi'wei'miao'di 距离二十为妙地
'ju'sheng'you'zhi'cha'na'hou 居生有之刹那后
'ju'you'tan'yu'tian'ren'shen 具有贪欲天人身
'ju'you'ye'zhi'shen'bian'li 具有业之神变力
'ju'yu'bi'chu'you'chi'pen 居于彼处有持盆
'ju'zhi'zhuo'zhe'feng'di'zhu 具执著者封地主
'jun'wei'you'lou'san'jie'you 均为有漏三界有
'le'zhi'ru'tai'qian'san'zhong 了知入胎前三种
'li'ren'yuan'deng'wu'tan'he 利刃原等无滩河
'li'tan'tui'shi'si'sheng'xin 离贪退失死生心
'lin'jiao'yu'bai'jie'de'guo 麟角喻百劫得果
'liu'chu'san'zhe'ju'qian'yun 六处三者聚前蕴
'liu'shi'bi'sha'yi'qing'ke 六十彼刹一顷刻
'liu'shou'ze'shi'yuan'yu'jie 六受则是缘欲界
'luan'sheng'yi'you'heng'bu'zhi 卵生亦有恒不知
'lun'wang'yuan'jue'yu'fo'tuo 轮王缘觉与佛陀
'ming'ji'fei'wei'se'fa'yun 名即非为色法蕴
'ming'se'xian'lu'liu'chu'qian 名色显露六处前
'nai'wei'bi'zhi'cha'na'ye 乃为彼之刹那也
'nan'shan'bu'zhou'zhi'san'bian 南赡部洲之三边
'nan'shan'bu'zhou'zhong'sheng'liang 南赡部洲众生量
'neng'ren'xiang'zheng'ming'yuan'sheng 能仁相正明圆胜
'nian'si'zhi'jie'wei'yi'zhou 廿四指节为一肘
'nie'pan'wei'er'wu'ji'fa 涅槃为二无记法
'pang'sheng'zui'chang'yi'zhong'jie 旁生最长一中劫
'qi'shan'wei'jin'bi'wei'tie 七山为金彼为铁
'qi'shan'yi'wei'bi'zhi'chu 七山亦为彼之处
'qi'shi'ru'shi'yi'wei'guo 七事如是亦为果
'qi'shi'zui'xia'feng'lun'hou 器世最下风轮厚
'qi'ta'ju'pao'di'yu'deng 其他具疱地狱等
'qi'xi'fen'jie'yi'shui'deng 气息分解依水等
'qi'yu'jun'you'zhong'si'wang 其余均有中死亡
'qi'yu'san'you'ju'san'zhong 其余三有具三种
'qi'yu'xin'jian'shi'mie'jin 脐与心间识灭尽
'qi'yu'yi'shuo'dang'shuo'gu 其余已说当说故
'qian'er'shi'wei'li'ci'shi 前二食为利此世
'qian'ji'hou'ji'lue'yin'guo 前际后际略因果
'qian'wu'nai'wei'you'ai'chu 前五乃为有碍触
'qian'wu'shen'shou'yu'xin'shou 前五身受余心受
'qu'chu'yi'li'zhi'qiong'jin 取出一粒至穷尽
'qu'wei'de'cai'er'ben'bo 取为得财而奔波
'ren'lei'yi'ji'liu'yu'tian 人类以及六欲天
'ren'lei'zhong'sheng'wu'shi'sui 人类众生五十岁
'ren'yu'pang'sheng'ju'si'zhong 人与旁生具四种
'ri'jian'deng'tong'yu'tian'shou 日渐等同欲天寿
'ri'xing'nan'bei'fang'zhi'shi 日行南北方之时
'ri'yue'wei'yu'shan'wang'ban 日月位于山王半
'ru'dang'ben'you'zhi'shen'xing 如当本有之身形
'ru'gu'xiang'xu'tong'fa'gu 如谷相续同法故
'ru'long'gen'shu'yu'kang'bi 如龙根树与糠秕
'ru'man'wu'sui'zhi'hai'tong 如满五岁之孩童
'ru'ruo'gui'na'you'si'lei 如若归纳有四类
'ru'shi'qi'shui'hui'mie'hou 如是七水毁灭后
'ru'shi'shang'fang'yi'ba'wan 如是上方亦八万
'ru'shi'yi'cheng'ci'shi'jian 如是已成此世间
'ru'shi'yu'tian'ru'shi'xing 如是欲天如是行
'ru'shi'zi'shou'wu'bai'nian 如是自寿五百年
'ru'tong'qian'yin'jian'chi'xu 如同牵引渐持续
'ruo'yi'wu'you'er'gong'cun 若一无有二共存
'san'bian'yu'ci'jun'xiang'tong 三边与此均相同
'san'chan'zhi'zhong'gong'jiu'di 三禅之中共九地
'san'shi'er'wan'you'xun'kuan 三十二万由旬宽
'san'wu'shu'jie'xian'cheng'fo 三无数劫现成佛
'san'zhong'sheng'qi'an'le'zhe 三种生起安乐者
'san'zhong'sheng'qi'tan'yu'zhe 三种生起贪欲者
'se'jie'wu'zhou'ye'shi'shou 色界无昼夜时寿
'se'ming'shi'ji'fen'bie'wei 色名时际分别为
'shan'jian'shan'yu'ma'er'shan 善见山与马耳山
'shang'tian'er'bei'er'bei'zeng 上天二倍二倍增
'shao'guang'tian'qi'wei'da'jie 少光天起为大劫
'shao'guang'tian'zhong'zhi'shang'tian 少光天众之上天
'shen'bu'tong'yu'shi'bu'tong 身不同与识不同
'shen'bu'tong'yu'shi'yi'zhi 身不同与识一致
'shen'liang'jun'cheng'liang'bei'zeng 身量均成两倍增
'shen'ti'yuan'man'zhu'yi'sheng 身体圆满著衣生
'shen'zhou'sheng'shen'sheng'bu'mei 身洲胜身声不美
'sheng'bu'mei'dui'fu'miao'fu 声不美对拂妙拂
'sheng'dao'heng'zhou'ji'xing'zhou 胜道行洲及行洲
'sheng'qi'dian'dao'zhi'xin'gu 生起颠倒之心故
'sheng'yu'ning'jie'cheng'jin'lun 剩余凝结成金轮
'sheng'yu'shui'ji'wai'da'hai 剩余水即外大海
'sheng'zhe'zao'wu'jian'zui'zhe 圣者造无间罪者
'shi'ba'zhong'shou'jun'you'lou 十八种受均有漏
'shi'er'shu'liang'wei'yi'nian 十二数量为一年
'shi'er'zhong'shou'yuan'yu'jie 十二种受缘欲界
'shi'gu'bi'deng'zhi'shou'liang 是故彼等之寿量
'shi'gu'qi'yu'fei'cheng'chu 是故其余非称处
'shi'gu'you'lun'wu'chu'shi 是故有轮无初始
'shi'ji'jie'sheng'zhi'zhu'yun 识即结生之诸蕴
'shi'liu'luo'cha'guang'wu'shu 十六洛叉广无数
'shi'ru'cheng'shu'zhi'yin'shi 事如成熟之饮食
'shi'sheng'hua'sheng'yu'xiang'chu 湿生化生欲香处
'shi'zhong'sheng'shi'yu'fan'nao 事中生事与烦恼
'shou'chi'jin'gang'hu'shen'ju 手持金刚护神居
'shou'ming'duan'zan'wei'shi'sui 寿命短暂为十岁
'shui'lun'jin'lun'zhi'zhi'jing 水轮金轮之直径
'shui'shen'yi'bai'shi'er'wan 水深一百十二万
'shuo'wu'zhong'sheng'jing'yi'cheng 说五众生经亦成
'si'bai'wu'shi'zhou'san'bei 四百五十周三倍
'si'bian'tang'wei'shi'fen'ni 四边煻煨尸粪泥
'si'chan'hao'bu'dong'yao'gu 四禅毫不动摇故
'si'chu'you'lou'zhi'si'yun 四处有漏之四蕴
'si'da'bu'zhou'yu'ri'yue 四大部洲与日月
'si'fen'zhi'yi'wen'ju'zhi 四分之一闻距至
'si'tian'wang'tian'zhong'tian'ren 四天王天众天人
'si'you'zhi'zhong'sheng'you'huo 四有之中生有惑
'si'you'zhong'you'jian'yun'sheng 死有中有间蕴生
'si'yu'sheng'xin'yi'deng'she 死与生心依等舍
'si'zhou'nai'wei'yi'gong'liang 四肘乃为一弓量
'si'zhou'yi'ji'san'zhou'ban 四肘以及三肘半
'su'ye'zhu'shi'ming'wei'xing 宿业诸识名为行
'suo'wei'zhong'sheng'fei'zhong'you 所谓众生非中有
'suo'you'dong'ji'si'yue'zhong 所有冬季四月中
'ta'ying'zi'wang'bu'sha'chang 他迎自往布沙场
'ta'zhe'yi'you'zhi'zhu'tai 他者亦有知住胎
'tong'lei'ju'tian'yan'zhe'jian 同类具天眼者见
'tong'shi'huai'mie'yi'tong'sheng 同时坏灭一同生
'tu'mao'yang'mao'xiang'ri'chen 兔毛羊毛象日尘
'wai'zhong'che'yuan'cu'e'yuan 外众车苑粗恶苑
'wei'neng'qian'chu'qian'hou'ji 为能遣除前后际
'wei'yi'cheng'xu'wei'yi'shi 唯一承许为意识
'wei'yin'ta'shi'yu'xing'cheng 为引他世与形成
'wei'zhi'ying'zhi'zhi'jing'gu 未至应至之境故
'wu'bai'gong'liang'yi'wen'ju 五百弓量一闻距
'wu'chang'bi'zhi'wu'liang'dian 无常彼之无量殿
'wu'gou'fan'nao'qi'yu'zhe 无垢烦恼其余者
'wu'jian'di'yu'yi'zhong'jie 无间地狱一中劫
'wu'ming'ru'wang'fei'qin'deng 无明如妄非亲等
'wu'se'jie'shou'er'wan'jie 无色界寿二万劫
'wu'se'jie'ze'wu'zhong'you 无色界则无中有
'wu'se'jie'ze'wu'zhu'suo 无色界则无住所
'wu'se'jie'zhong'chu'san'chu 无色界中初三处
'wu'se'san'zhong'chu'er'chan 无色三种初二禅
'wu'se'wei'zhi'ding'si'shou 无色未至定四受
'wu'shi'wu'shi'yi'you'xun 五十五十一由旬
'wu'wo'jin'shi'yun'er'yi 无我仅是蕴而已
'wu'ye'ri'luo'yu'zheng'wu 午夜日落与正午
'wu'yun'tian'jian'san'you'xun 无云天减三由旬
'xi'nan'yu'wei'shan'fa'tang 西南隅为善法堂
'xi'niu'huo'zhou'wei'yuan'xing 西牛货洲为圆形
'xia'ji'di'er'yue'zhi'mo 夏季第二月之末
'xia'jian'bai'sui'jian'chu'shi 下减百岁间出世
'xian'qian'you'qing'ru'se'jie 先前有情如色界
'xiang'bi'shan'yu'chi'bian'shan 象鼻山与持边山
'xiang'fan'yi'ji'shen'shi'tong 相反以及身识同
'xiang'shang'yi'ci'er'zeng'zhang 向上依次而增长
'xie'dai'zhe'zuo'ji'xu'hou 懈怠者作积蓄后
'xu'mi'shan'ding'sa'san'tian 须弥山顶卅三天
'xu'mi'shan'wang'ji'yu'tian 须弥山王及欲天
'xu'mi'shan'you'si'ceng'ji 须弥山有四层级
'xu'mi'shan'yu'chi'shuang'shan 须弥山与持双山
'xu'mi'si'bao'zhi'zi'xing 须弥四宝之自性
'xu'wei'xiao'qian'zhi'shi'jie 许为小千之世界
'xu'yu'ri'yue'san'shi'bei 须臾日月三十倍
'xuan'shuo'ran'wu'zhi'hui'gu 宣说染污智慧故
'yan'shuo'bi'wei'jie'deng'gu 言说彼为结等故
'ye'ru'ju'pi'guo'yao'hua 业如具皮果药花
'yi'bai'er'shi'cha'na'jian 一百二十刹那间
'yi'bai'er'shi'wan'san'qian 一百二十万三千
'yi'bian'nai'san'you'xun'ban 一边乃三由旬半
'yi'bian'san'bai'wu'you'xun 一边三百五由旬
'yi'cheng'qiu'sheng'ji'xun'xiang 意成求生及寻香
'yi'fu'yi'huo'hui'qi'ci 亦复以火毁七次
'yi'huo'qi'hui'shui'yi'hui 以火七毁水一毁
'yi'ji'ri'chu'wei'tong'shi 以及日初为同时
'yi'ji'zhong'jian'zhi'yu'chi 以及中间之愚痴
'yi'qie'di'yu'yu'tian'jie 一切地狱与天界
'yi'se'jie'shen'ban'you'xun 一色界身半由旬
'yi'wen'ju'ban'zhi'jian'zeng 一闻距半之间增
'yi'you'xun'ban'jin'zi'xing 一由旬半金自性
'yi'you'zhi'sheng'yu'jun'mi 亦有知生余均迷
'yi'yu'yu'tian'nian'xiang'tong 亦与欲天年相同
'yi'yuan'wu'xin'jie'wu'you 一缘无心皆无有
'yi'zhe'ming'zhi'er'ru'tai 一者明知而入胎
'yin'ai'zhi'qian'nai'wei'shou 淫爱之前乃为受
'yin'yu'bu'yu'zhi'zhong'zhu 因于不欲之中住
'yin'yu'ri'lun'ji'qu'jin 因与日轮极趋近
'ying'xiang'ben'ti'bu'cheng'li 影像本体不成立
'you'di'yu'zhou'zhi'cha'bie 由地狱洲之差别
'you'ding'wu'xiang'tian'zhong'sheng 有顶无想天众生
'you'qing'ju'luan'deng'si'sheng 有情具卵等四生
'you'qing'yi'shi'er'cun'zhu 有情依食而存住
'you'ru'cong'bi'zhi'xia'liang 犹如从彼至下量
'you'ru'deng'huo'er'ru'tai 犹如灯火而入胎
'you'shui'kuan'du'wu'shi'hai 有水宽度五十海
'you'wei'neng'sheng'hou'shi'guo 有为能生后世果
'you'zhong'yin'guo'ke'tui'duan 由中因果可推断
'you'zhuan'sheng'er'fen'si'zhong 由转生而分四种
'yu'bei'bing'qi'sheng'wu'hai 预备兵器胜无害
'yu'bi'chu'you'zun'sheng'gong 于彼处有尊胜宫
'yu'bi'guo'huan'xiang'tong'gu 与彼过患相同故
'yu'bi'zheng'jian'xiang'ying'gu 与彼正见相应故
'yu'hai'ban'ban'er'di'jian 余海半半而递减
'yu'jie'yuan'zi'ju'shi'ba 欲界缘自具十八
'yu'shou'jian'cheng'er'shi'bei 余寿渐成二十倍
'yu'xing'yin'wang'suo'qu'jing 欲行淫往所去境
'yu'xu'fan'nao'ru'zhong'zi 于许烦恼如种子
'yu'yi'shui'feng'hui'san'zhong 与以水风毁三种
'yu'zhe'fei'you'bi'neng'hui 余者非有彼能毁
'yu'zhong'sheng'tong'sheng'mie'gu 与众生同生灭故
'yuan'jue'zeng'jian'jie'chu'shi 缘觉增减皆出世
'yuan'se'jie'jing'you'shi'er 缘色界境有十二
'yuan'se'shang'jie'jin'yi'zhong 缘色上界仅一种
'yuan'sheng'cheng'xu'wei'guo'fa 缘生承许为果法
'yuan'wu'se'jie'wei'yi'zhong 缘无色界唯一种
'yuan'zi'ba'shou'wu'se'jie 缘自八受无色界
'yuan'zi'di'ze'you'si'zhong 缘自地则有四种
'za'lin'yuan'yu'xi'lin'yuan 杂林苑与喜林苑
'zai'ci'qian'wang'ta'shi'jian 再次前往他世间
'ze'you'er'shou'yu'er'chan 则有二受余二禅
'zeng'zhang'suo'yi'ji'neng'yi 增长所依及能依
'zheng'hang'yi'shou'zi'dui'jing 正行一受自对境
'zhi'hui'wei'pin'zhi'ta'fa 智慧违品之他法
'zhi'ma'qi'zhong'mei'bai'nian 芝麻器中每百年
'zhi'shou'zhi'jian'wei'lao'si 至受之间为老死
'zhi'you'di'yu'zhong'sheng'jian 至有地狱众生间
'zhi'zhi'da'dao'shi'sui'jian 直至达到十岁间
'zhi'zhi'qi'shi'mie'jin'jian 直至器世灭尽间
'zhi'zhi'ren'shou'shi'sui'jian 直至人寿十岁间
'zhong'jian'ba'zhong'shou'yuan'ju 中间八种寿圆具
'zhong'jie'ji'cong'wu'liang'sui 中劫即从无量岁
'zhong'yang'cheng'wei'shan'jian'cheng 中央称为善见城
'zhong'you'bing'fei'shi'hou'shi 中有并非是后世
'zhong'you'wei'you'yi'hua'sheng 中有唯有一化生
'zhong'you'yi'ji'xian'cheng'ming 中有以及现成名
'zhou'chang'qi'qian'wu'you'xun 周长七千五由旬
'zhou'ye'chang'wei'yi'xu'yu 昼夜长为一须臾
'zhu'gen'ju'zu'ju'wu'ai 诸根具足具无碍
'zhu'yao'zhi'gu'cheng'zhi'fen 主要之故称支分
'zhu'zhuan'lun'wang'xian'shi'jian 诸转轮王现世间
'zhuan'sheng'bi'chu'se'jie'zhong 转生彼处色界众
'zhuan'sheng'hou'yi'ye'fan'nao 转生后以业烦恼
'zhuan'shi'zhong'yin'zhi'xiang'xu 转世中阴之相续
'zi'di'du'shi'wei'shuo'chu 自地独识未说处
'zi'di'gen'ben'zhu'fan'nao 自地根本诸烦恼
'zi'jiu'ri'qi'ye'wan'chang 自九日起夜晚长
'zi'zhi'ying'zi'bi'xian'kui 自之影子彼现亏
'zong'gong'ze'you'shi'ba'zhong 总共则有十八种
'zui'xia'yu'tian'zhi'yi'ri 最下欲天之一日
'zui'zhong'shang'zeng'wei'yi'ci 最终上增为一次
'zui'zhong'shi'sui'chu'wu'liang 最终十岁初无量
'zui'zhong'yi'feng'er'hui'mie 最终以风而毁灭
