'an'pai 安排
'guo'tu'kong'jian'kai'fa'bao'hu'xian'zhuang 国土空间开发保护现状
'guo'tu'kong'jian'kai'fa'bao'hu'xian'zhuang'ping'gu 国土空间开发保护现状评估
'guo'tu'kong'jian'kai'fa'shi'yi'xing'ping'jia 国土空间开发适宜性评价
'guo'tu'kong'jian'li'yong'xian'zhuang'tu 国土空间利用现状图
'guo'tu'kong'jian'yong'di'yong'hai'xian'zhuang'tu 国土空间用地用海现状图
'guo'tu'kong'jian'yong'tu'guan'zhi 国土空间用途管制
'guo'tu'kong'jian'zheng'zhi'xiu'fu 国土空间整治修复
'guo'tu'kong'jian'zhi'li'ti'xi 国土空间治理体系
'guo'tu'suo 国土所
'guo'tu'zi'yuan'gong'cheng 国土资源工程
'hai'an'qin'shi 海岸侵蚀
'hai'an'xian 海岸线
'hai'mian'cheng'shi 海绵城市
'han'di 旱地
'he'bing'bian'zhi 合并编制
'he'dao 河道
'he'hu'shui'mian'lv 河湖水面率
'he'liu 河流
'he'xie'tong'yi 和谐统一
'he'xie'zi'ran 和谐自然
'he'xin'bao'hu'fan'wei 核心保护范围
'he'xin'bao'hu'qu 核心保护区
'hong'guan 宏观
'hong'lao'zai'hai 洪涝灾害
'hong'shu'lin 红树林
'hong'shui'yan'mo'xian 洪水淹没线
'hong'xian 红线
'hu'ji'ren'kou 户籍人口
'hu'po 湖泊
'huang'xian 黄线
'hun'he'gong'neng'qu 混合功能区
'ji'ben'gong'gong'fu'wu'jun'deng'hua 基本公共服务均等化
'ji'ben'zhi'neng 基本职能
'ji'ceng'yi'liao'wei'sheng'ji'gou 基层医疗卫生机构
'ji'ceng'yi'liao'wei'sheng'she'shi'yong'di 基层医疗卫生设施用地
'ji'chang 机场
'ji'chu 基础
'ji'chu'di'li'xin'xi'shu'ju 基础地理信息数据
'ji'chu'she'shi 基础设施
'ji'chu'she'shi'gui'hua 基础设施规划
'ji'chu'she'shi'tiao'jian 基础设施条件
'ji'chu'she'shi'wang'luo 基础设施网络
'ji'chu'wang 基础网
'ji'dong'zhi'biao 机动指标
'ji'fa 激发
'ji'guan'tuan'ti'yong'di 机关团体用地
'ji'ju'ti'sheng'xing 集聚提升型
'ji'ju'xiao'yi 集聚效益
'ji'ke'hui'fu 即可恢复
'ji'min'gan 极敏感
'ji'shu'wei'yuan'hui 技术委员会
'ji'shu'wen'jian 技术文件
'ji'shu'zhuan'huan 基数转换
'ji'yue 集约
'ji'yue'gao'xiao 集约高效
'ji'yue'hua 集约化
'ji'yue'jin'cou 集约紧凑
'ji'zhen 集镇
'ji'zhi 机制
'ji'zhong'jian'she'qu 集中建设区
'ji'zhong'shi'bu'ju 集中式布局
'ji'zhong'yao 极重要
'ji'zhun 基准
'jia'zhi'lian 价值链
'jian'cheng'qu 建成区
'jian'jin'shi'geng'xin 渐进式更新
'jian'li 建立
'jian'liang 减量
'jian'she 建设
'jian'she'gong'cheng 建设工程
'jian'she'kong'zhi'di'dai 建设控制地带
'jian'she'yong'di'zong'mian'ji 建设用地总面积
'jian'shen'guan 健身馆
'jian'zhu'feng'mao 建筑风貌
'jian'zhu'hong'xian 建筑红线
'jian'zhu'hou'tui'ju'li 建筑后退距离
'jian'zhu'jian'ju 建筑间距
'jian'zhu'qi'hou'fen'qu 建筑气候分区
'jian'zhu'xian'gao 建筑限高
'jiang'shui'liang 降水量
'jiao'qu'hua 郊区化
'jiao'shou'ji'gao'ji'gong'cheng'shi 教授级高级工程师
'jiao'shou'ji'gui'hua'shi 教授级规划师
'jiao'tong 交通
'jiao'tong'fa'zhan'zhan'lue 交通发展战略
'jiao'tong'ji'chu'she'shi 交通基础设施
'jiao'tong'lang'dao 交通廊道
'jiao'tong'quan 交通圈
'jiao'tong'she'shi'yong'di 交通设施用地
'jiao'tong'shu'niu 交通枢纽
'jiao'tong'shu'niu'qu 交通枢纽区
'jiao'tong'xu'qiu'fen'xi 交通需求分析
'jiao'tong'xu'qiu'guan'li 交通需求管理
'jiao'tong'yun'shu'ti'xi 交通运输体系
'jiao'tong'yun'shu'yong'di 交通运输用地
'jiao'yu'yong'di 教育用地
'jie'dian 节点
'jie'gou 结构
'jie'gou'you'hua 结构优化
'jie'jue 解决
'jie'xian 界线
'jie'xiang 街巷
'jie'yue 节约
'jie'zhen 街镇
'jin'an'hai'yu'shui'zhi'you'liang'yi'er'lei'bi'li 近岸海域水质优良一二类比例
'jin'chang'bu'jin'cheng 进厂不进城
'jin'cou'cheng'shi 紧凑城市
'jin'jian'qu 禁建区
'jin'qi'jian'she'gui'hua 近期建设规划
'jin'zhi'jian'she'qu 禁止建设区
'jing'ji'dai 经济带
'jing'ji'ji'shu'kai'fa'qu 经济技术开发区
'jing'jin'ji 京津冀
'jing'zheng'you'shi 竞争优势
'jiu'cheng'gai'zao 旧城改造
'jiu'tong'yi'ping 九通一平
'jiu'ye'fang'shi 就业方式
'jiu'zai'wu'zi'chu'bei 救灾物资储备
'ju'luo 聚落
'ju'min'dian 居民点
'ju'min'sheng'huo'pin'zhi 居民生活品质
'ju'zhang 局长
'ju'zhu'sheng'huo'qu 居住生活区
'ju'zhu'yong'di 居住用地
'jun'heng'fa'zhan 均衡发展
'jun'shi 军事
'kai'chang'kong'jian 开敞空间
'kai'fang'shi 开放式
'kai'zhan'shi'di'diao'yan 开展实地调研
'kan'ce 勘测
'kan'ce'ding'jie 勘测定界
'kan'cha 勘察
'kan'jie'ding'biao 勘界定标
'kan'wu 勘误
'kang'zhen 抗震
'ke'chi'xu'fa'zhan 可持续发展
'ke'xue'bu'ju 科学布局
'ke'yan'yong'di 科研用地
'ke'zhang 科长
'ken'qu 垦区
'kong'gui 控规
'kong'jian 空间
'kong'jian'bu'ju'jie'gou 空间布局结构
'kong'jian'ge'ju'you'hua 空间格局优化
'kong'jian'guan'zhi 空间管制
'kong'jian'jie'mian 空间界面
'kong'jian'yao'su'bu'ju 空间要素布局
'kong'jian'zeng'zhang'dong'li 空间增长动力
'kong'jian'zi'yuan'yue'shu 空间资源约束
'kong'xian'di 空闲地
'kong'zhi'lv 空置率
'kong'zhi'xian 控制线
'ku'jie 枯竭
'kuai'jie'jian 快捷键
'kuai'su'lu 快速路
'kuai'su'wang 快速网
'kuang'chan'zi'yuan 矿产资源
'kuang'ye'quan 矿业权
'kuo'da 扩大
'lan'lv'jiao'zhi 蓝绿交织
'lan'tu 蓝图
'lan'xian 蓝线
'lao'cheng'qu 老城区
'lao'ling'hua 老龄化
'lei'xing 类型
'li'shi'cheng'qu 历史城区
'li'shi'di'duan 历史地段
'li'shi'feng'mao 历史风貌
'li'shi'huan'jing 历史环境
'li'shi'huan'jing'yao'su 历史环境要素
'li'shi'jian'zhu 历史建筑
'li'shi'wen'hua'jie'qu 历史文化街区
'li'shi'wen'hua'ming'cheng 历史文化名城
'li'shi'wen'hua'ming'cun 历史文化名村
'li'shi'wen'hua'ming'zhen 历史文化名镇
'li'shi'wen'hua'yi'cun 历史文化遗存
'li'tu'bu'li'xiang 离土不离乡
'liang'shi 粮食
'lin'di 林地
'lin'di'bao'you'liang 林地保有量
'lin'di'zi'yuan 林地资源
'lin'qu 林区
'lin'ye'fa'zhan'qu 林业发展区
'ling'xing'gong'ye'yong'di 零星工业用地
'liu'bai'yong'di 留白用地
'liu'dong'ren'kou 流动人口
'liu'liang 流量
'lun'kuo'shu'zhan 轮廓舒展
'lun'zheng 论证
'luo'di'xing'gui'hua 落地性规划
'lv'dai 绿带
'lv'di'xiu'xian'qu 绿地休闲区
'lv'di'yu'guang'chang'yong'di 绿地与广场用地
'lv'di'yu'kai'chang'kong'jian'yong'di 绿地与开敞空间用地
'lv'hua'ge'li'dai 绿化隔离带
'lv'se 绿色
'lv'se'di'tan 绿色低碳
'lv'se'fa'zhan 绿色发展
'lv'se'lang'dao 绿色廊道
'lv'xian 绿线
'lv'you'xiu'xian 旅游休闲
'man'xing'xi'tong 慢行系统
'mao'dun'chong'tu'tu'ban 矛盾冲突图斑
'men'kan 门槛
'men'kan'li'lun 门槛理论
'mi'du 密度
'min'hang 民航
'min'su'wen'hua 民俗文化
'mo'qing'xian'zhuang 摸清现状
'mou'hua 谋划
'mu'biao'dao'xiang 目标导向
'mu'qu 牧区
'mu'ye'fa'zhan'qu 牧业发展区
'nei'xu 内需
'ni'tan'di 泥炭地
'nian'du'bian'geng'diao'cha 年度变更调查
'nian'du'ji'hua 年度计划
'nian'du'ti'jian 年度体检
'nong'chan'pin'zhu'chan'qu 农产品主产区
'nong'cun 农村
'nong'di'zhuan'yong 农地转用
'nong'tian'bao'hu'qu 农田保护区
'nong'tian'lin'wang 农田林网
'nong'ye 农业
'nong'ye'she'shi'jian'she'yong'di 农业设施建设用地
'nong'ye'yong'shui 农业用水
'ou'ya'lu'qiao 欧亚路桥
'pai'shui 排水
'pei'shui'guan'wang 配水管网
'pi'er'wei'gong 批而未供
'ping'gu 评估
'ping'gu'tiao'zheng 评估调整
'ping'jun'ceng'shu 平均层数
'ping'shen 评审
'ping'tai 平台
'po'sui'hua 破碎化
'qi'ta'jiao'yu'yong'di 其他教育用地
'qi'tong'yi'ping 七通一平
'qi'xiang'zai'hai 气象灾害
'qian'li 潜力
'qing'xin'ming'liang 清新明亮
'qu'duan'cheng'shi'she'ji 区段城市设计
'qu'shi 趋势
'qu'yu'fa'zhan'duan'ban 区域发展短板
'qu'yu'fen'xi 区域分析
'qu'yu'jing'zheng'li 区域竞争力
'qu'yu'yi'ti'hua 区域一体化
'qu'yu'zeng'zhang'ji 区域增长极
'quan'guo'di'san'ci'guo'tu'diao'cha 全国第三次国土调查
'quan'guo'guo'tu'diao'cha 全国国土调查
'quan'shu 权属
'quan'yu 全域
'quan'yu'quan'yao'su 全域全要素
'quan'yu'tu'di'zong'he'zheng'zhi 全域土地综合整治
'quan'zhong 权重
'ran'qi'gong'cheng 燃气工程
'ren'da 人大
'ren'da'chang'wei 人大常委
'ren'da'shen'yi 人大审议
'ren'fang 人防
'ren'fang'gong'cheng 人防工程
'ren'gong 人工
'ren'gong'di'wu 人工地物
'ren'gong'shang'pin'lin 人工商品林
'ren'ju'huan'jing 人居环境
'ren'ju'huan'jing'zheng'zhi 人居环境整治
'ren'jun'cheng'zhen'jian'she'yong'di 人均城镇建设用地
'ren'jun'gong'yuan'lv'di'mian'ji 人均公园绿地面积
'ren'jun'nong'cun'ju'min'dian'yong'di 人均农村居民点用地
'ren'jun'ying'ji'bi'nan'chang'suo'mian'ji 人均应急避难场所面积
'ren'jun'zhu'fang'mian'ji 人均住房面积
'ren'kou 人口
'ren'kou'hong'li 人口红利
'ren'kou'rong'liang 人口容量
'ren'xing'cheng'shi 韧性城市
'ri'zhao'jian'ju 日照间距
'rong'ji'lv 容积率
'rong'liang 容量
'san'tiao 三调
'san'tong'yi'ping 三通一平
'sen'lin'fu'gai'lv 森林覆盖率
'shan'mai 山脉
'shan'qing'shui'xiu 山清水秀
'shan'shui'lin'tian'hu'cao 山水林田湖草
'shan'shui'tiao'jian 山水条件
'shang'wei'gui'hua'jie'du 上位规划解读
'shang'xia'guan'tong 上下贯通
'shang'xia'you 上下游
'shang'ye'fu'wu'ye'she'shi'yong'di 商业服务业设施用地
'shang'ye'fu'wu'ye'yong'di 商业服务业用地
'shang'ye'shang'wu'qu 商业商务区
'she'hui'bao'zhang 社会保障
'she'hui'fu'li'yong'di 社会福利用地
'she'hui'jing'ji'xiao'yi 社会经济效益
'she'ji'li'nian 设计理念
'she'mi'nei'rong 涉密内容
'she'nong'jie'dao 涉农街道
'she'qu'fu'wu'she'shi'yong'di 社区服务设施用地
'she'qu'shi 设区市
'she'qu'wei'sheng'fu'wu'zhong'xin 社区卫生服务中心
'she'shi 设施
'shen'hua 深化
'shen'pi 审批
'shen'ru'lun'zheng 深入论证
'shen'yi 审议
'sheng'chan 生产
'sheng'huo'la'ji 生活垃圾
'sheng'huo'yong'shui 生活用水
'sheng'ming'gong'tong'ti 生命共同体
'sheng'ming'xian'gong'cheng 生命线工程
'sheng'tai'bao'hu 生态保护
'sheng'tai'bao'hu'hong'xian 生态保护红线
'sheng'tai'bao'hu'qu 生态保护区
'sheng'tai'gong'neng 生态功能
'sheng'tai'gong'neng'ying'xiang'ping'gu 生态功能影响评估
'sheng'tai'gong'yi'lin 生态公益林
'sheng'tai'han'yang 生态涵养
'sheng'tai'hua 生态化
'sheng'tai'huan'jing'min'gan'cui'ruo'di'qu 生态环境敏感脆弱地区
'sheng'tai'huan'jing'rong'liang 生态环境容量
'sheng'tai'huan'jing'yong'shui 生态环境用水
'sheng'tai'jing'guan 生态景观
'sheng'tai'kong'zhi'qu 生态控制区
'sheng'tai'lang'dao 生态廊道
'sheng'tai'wen'ming'si'xiang 生态文明思想
'sheng'tai'xi'tong 生态系统
'sheng'tai'xiu'fu 生态修复
'sheng'tai'xiu'fu'gong'cheng 生态修复工程
'sheng'tai'you'xian 生态优先
'sheng'tai'yuan'di 生态源地
'sheng'wu'duo'yang'xing 生物多样性
'sheng'wu'duo'yang'xing'wei'hu 生物多样性维护
'sheng'zhang 省长
'sheng'zhang'xing 生长性
'shi'di 湿地
'shi'di'mian'ji 湿地面积
'shi'fan'qu 示范区
'shi'jian'qu 适建区
'shi'mo'hua 石漠化
'shi'qu 市区
'shi'shi 实施
'shi'shi'ji'hua 实施计划
'shi'shi'jian'du 实施监督
'shi'si'wu'gui'hua 十四五规划
'shi'ti'di'yu 实体地域
'shi'xu 时序
'shi'yi 适宜
'shi'you'geng'di 实有耕地
'shi'yu 市域
'shi'yu'tie'lu 市域铁路
'shi'zhang 市长
'shi'zheng'gong'cheng 市政工程
'shou'ji'ji'chu'zi'liao 收集基础资料
'shou'suo 收缩
'shou'suo'cheng'shi 收缩城市
'shu'cai 蔬菜
'shu'ji 书记
'shu'ju 数据
'shu'ju'ku 数据库
'shu'li 梳理
'shu'mi'you'du 疏密有度
'shu'mi'you'zhi 疏密有致
'shu'zi'cheng'shi 数字城市
'shuang'ping'gu 双评估
'shuang'ping'jia 双评价
'shuang'tan 双碳
'shuang'xun'huan 双循环
'shui'chan'yang'zhi'she'shi'jian'she'yong'di 水产养殖设施建设用地
'shui'cheng'gong'rong 水城共融
'shui'jiao'di 水浇地
'shui'ku 水库
'shui'li'gong'cheng 水利工程
'shui'tian 水田
'shui'tu'bao'chi 水土保持
'shui'tu'liu'shi 水土流失
'shui'xi'shu'jun 水系疏浚
'shui'yuan 水源
'shui'yuan'bao'hu'qu 水源保护区
'shui'yuan'han'yang 水源涵养
'shui'yun 水运
'shui'zi'yuan 水资源
'shui'zi'yuan'kai'fa'li'yong'lv 水资源开发利用率
'si'ge'quan'mian 四个全面
'si'hao'nong'cun'lu 四好农村路
'si'zhi 四至
'suo'chang 所长
'tan'tu 滩涂
'tan'xing'fa'zhan'qu 弹性发展区
'tan'xing'yu'liu'kong'jian 弹性预留空间
'te'bie'yong'tu'qu 特别用途区
'te'se'bao'hu'xing 特色保护型
'te'se'feng'mao 特色风貌
'te'shu'yong'di 特殊用地
'te'zheng 特征
'ti'liang 体量
'ti'xi 体系
'ti'yan'nong'ye 体验农业
'ti'yu'chang'guan'yong'di 体育场馆用地
'ti'yu'yong'di 体育用地
'ti'zhi'gai'zao 提质改造
'tian'kan 田坎
'tian'ran 天然
'tian'ren'he'yi 天人合一
'tian'yuan'feng'guang 田园风光
'tiao'zheng 调整
'tiao'zheng'gui'ze 调整规则
'tie'lu 铁路
'tong'chou 统筹
'tong'chou'an'pai 统筹安排
'tong'chou'ping'heng 统筹平衡
'tong'dian 通电
'tong'lu 通路
'tong'shui 通水
'tong'xun 通讯
'tong'yi 统一
'tou'zi'la'dong'xing 投资拉动型
'tu'ban 图斑
'tu'biao 图表
'tu'di'cai'zheng 土地财政
