'a'da'pa'lin 阿达帕林
'bi'rao'ce'xia'ling'sao'yang'bing 臂桡侧夏令瘙痒病
'bi'se'xing'dong'mai'ying'hua'zheng 闭塞性动脉硬化症
'bi'se'xing'gan'zao'xing'gui'tou'yan 闭塞性干燥性龟头炎
'bi'se'xing'xue'shuan'xing'mai'guan'yan 闭塞性血栓性脉管炎
'bi'ying'jie'bing 鼻硬结病
'bi'ying'jie'ke'lei'bo'jun 鼻硬结克雷伯菌
'bian'da'ming 苄达明
'bian'mao'chong'gang 鞭毛虫纲
'bian'ping'hong'se'tai'xian 扁平红色苔藓
'bian'ping'huang'liu 扁平黄瘤
'bian'ping'tai'xian 扁平苔藓
'bian'ping'tai'xian'hong'ban'lang'chuang'chong'die'zong'he'zheng 扁平苔藓红斑狼疮重叠综合征
'bian'ping'tai'xian'yang'jiao'hua'bing 扁平苔藓样角化病
'bian'ping'tai'xian'yang'yin'xie'bing 扁平苔藓样银屑病
'bian'ping'tai'xian'yang'zhen 扁平苔藓样疹
'bian'ping'xun'chang'lang'chuang 扁平寻常狼疮
'bian'ping'you 扁平疣
'bian'xing'gan'jun 变形杆菌
'bian'xing'qing'mei'su 苄星青霉素
'bian'xing'zong'he'zheng 变形综合症
'bian'yi'xing'bu'lin'zheng 变异性卟啉症
'bian'ying'xing'jie'chu'xing'pi'yan 变应性接触性皮炎
'bian'ying'xing'mai'guan'yan 变应性脉管炎
'bian'ying'xing'pi'fu'xue'guan'yan 变应性皮肤血管炎
'bian'ying'xing'rou'ya'zhong'bing 变应性肉芽肿病
'bian'ying'xing'xi'xiao'dong'mai'yan 变应性细小动脉炎
'bian'ying'xing'ya'bai'xue'zheng 变应性亚败血症
'bian'ying'xing'ya'bai'xue'zheng'xue'xing'hong'ban 变应性亚败血症血性红斑
'bian'yuan'xing'hong'ban 边缘性红斑
'bian'yuan'xing'tuo'fa 边缘性脱发
'biao'mian'lei'zhi'zhi 表面类脂质
'biao'pi'bo'tuo'huo'zhua'hen 表皮剥脱或抓痕
'biao'pi'fen'hua'fu'he'ti 表皮分化复合体
'biao'pi'geng'ti'lv 表皮更替率
'biao'pi'geng'ti'shi'jian 表皮更替时间
'biao'pi'hei'su'dan'wei 表皮黑素单位
'biao'pi'jiao'zhi'xing'cheng'xi'bao 表皮角质形成细胞
'biao'pi'nang'zhong 表皮囊肿
'biao'pi'nei'lin'ai 表皮内鳞癌
'biao'pi'nei'shang'pi'liu 表皮内上皮瘤
'biao'pi'nei'shang'pi'liu'jiu'zha'bi'yang'zhen 表皮内上皮瘤酒渣鼻样疹
'biao'pi'pu'tao'qiu'jun 表皮葡萄球菌
'biao'pi'song'jie'du'su 表皮松解毒素
'biao'pi'song'jie'xing'ji'pi'liu 表皮松解性棘皮瘤
'biao'pi'song'jie'xing'jiao'hua'guo'du'xing'yu'lin'bing 表皮松解性角化过度型鱼鳞病
'biao'pi'song'jie'xing'jiao'hua'guo'du'yu'lin'bing 表皮松解性角化过度鱼鳞病
'biao'pi'song'jie'xing'jiao'hua'guo'du'zheng 表皮松解性角化过度症
'biao'pi'song'jie'xing'zhang'zhi'jiao'hua'bing 表皮松解性掌跖角化病
'biao'pi'xia'gai'hua'jie'jie 表皮下钙化结节
'biao'pi'xia'ji'di'mo'dai 表皮下基底膜带
'biao'pi'yang'ai 表皮样癌
'biao'pi'yang'nang'zhong'gu'liu'bing'xi'rou 表皮样囊肿骨瘤病息肉
'biao'pi'yi'su 表皮抑素
'biao'pi'zhen'pi'jie'he'bu 表皮真皮结合部
'biao'pi'zhi 表皮痣
'bing'cu'suan 冰醋酸
'bing'du'bing 病毒病
'bing'du'ke'li 病毒颗粒
'bing'du'xing'chu'xue're 病毒性出血热
'bing'er'chun 丙二醇
'bing'ji'gao'tong 丙基睾酮
'bing'ka'ba'jing 丙卡巴肼
'bing'liu'liu'an 丙硫硫胺
'bing'liu'yi'yan'an 丙硫异烟胺
'bing'suan'bei'lv'mi'song 丙酸倍氯米松
'bing'suan'gao'tong 丙酸睾酮
'bing'suan'lu'bei'ta'suo 丙酸卤倍他索
'bing'suan'lv'bei'ta'su 丙酸氯倍他素
'bing'tong'suo'fu'qing'ke'di'song 丙酮缩氟氢可的松
'bing'tong'suo'qiang'long 丙酮缩强龙
'bing'xi'qing'lei 丙烯碃类
'bing'xing'gan'yan'pi'fu'biao'xian 丙型肝炎皮肤表现
'bing'ya'an 丙亚胺
'bing'yang'niao'gan 丙氧鸟苷
'bo'bei'ke'ke'li 伯贝克颗粒
'bo'he'nao 薄荷脑
'bo'jia 薄甲
'bo'lai'mei'su 博来霉素
'bo'li'si'fa 玻璃丝发
'bo'li'wei'ya'chu'xue're 玻利维亚出血热
'bo'san'xing'dan'chun'pao'zhen 播散性单纯疱疹
'bo'san'xing'fu'fa'xing'lou'dou'bu'mao'nang'yan 播散性复发性漏斗部毛囊炎
'bo'san'xing'huang'liu 播散性黄瘤
'bo'san'xing'jiao'zhi'liu 播散性角质瘤
'bo'san'xing'lang'chuang 播散性狼疮
'bo'san'xing'lin'jun'xing'gan'ran 播散性淋菌性感染
'bo'san'xing'pan'zhuang'hong'ban'lang'chuang 播散性盘状红斑狼疮
'bo'san'xing'qian'biao'xing'guang'xian'xing'han'kong'jiao'hua'zheng 播散性浅表性光线性汗孔角化症
'bo'san'xing'shi'suan'xing'xi'bao'jiao'yuan'bing 播散性嗜酸性细胞胶原病
'bo'san'xing'su'li'xing'pi'fu'jie'he 播散性粟粒性皮肤结核
'bo'san'xing'tan'xing'xian'wei'liu 播散性弹性纤维瘤
'bo'san'xing'xue'guan'nei'ning'xue 播散性血管内凝血
'bo'san'xing'yang'zhen'xing'xue'guan'pi'yan 播散性痒疹性血管皮炎
'bo'san'xing'zhi'fang'rou'ya'zhong'bing 播散性脂肪肉芽肿病
'bo'san'xing'zhi'zhi'rou'ya'zhong'bing 播散性脂质肉芽肿病
'bo'shi'dun'zhen'bing 波士顿疹病
'bo'shi'shu'luo'xuan'ti 伯氏疏螺旋体
'bo'tuo'xing'chun'yan 剥脱性唇炎
'bo'tuo'xing'jiao'zhi'song'jie'zheng 剥脱性角质松解症
'bo'tuo'xing'pi'yan 剥脱性皮炎
'bu'dui'chen'ai'shen'cai'xing'fa'yu'yi'chang'zong'he'zheng 不对称矮身材性发育异常综合征
'bu'dui'chen'xing'zhu'ru'zong'he'zheng 不对称性侏儒综合征
'bu'fen'bai'hua'bing'mian'yi'que'xian'zong'he'zheng 部分白化病免疫缺陷综合征
'bu'fen'xing'zhi'fang'wei'suo 部分性脂肪萎缩
'bu'gu'zhi'su 补骨脂素
'bu'lin'zheng 卟啉症
'bu'lu'jun'bing 布鲁菌病
'bu'luo'fen 布洛芬
'bu'nai'shou'xing 不耐受性
'bu'shi'shu'luo'xuan'ti 布氏疏螺旋体
'bu'ti'que'xian'zong'he'zheng 补体缺陷综合症
'bu'tuo'kang'zuo 布托康唑
'ca'ji 擦剂
'cai'hua'yang'ru'tou'liu'bing 菜花样乳头瘤病
'can'hui'jia 残毁甲
'can'hui'xing'jiao'pi'zheng 残毁性角皮症
'can'hui'xing'yi'chuan'xing'jiao'zhi'liu 残毁性遗传性角质瘤
'can'hui'xing'zhang'zhi'jiao'pi'zheng 残毁性掌跖角皮症
'can'liu'xing'duo'zhi'zheng 残留性多指症
'cang'bai'xi'bao'ji'pi'liu 苍白细胞棘皮瘤
'cao'fen'zhi'gan'jun 草分枝杆菌
'cao'pi'bing 糙皮病
'cao'yuan'chuang 草原疮
'ceng'ban'zhuang'chu'han'bu'liang 层板状出汗不良
'ceng'ban'zhuang'yu'lin'bing 层板状鱼鳞病
'ceng'zhan'lian'dan'bai 层粘连蛋白
'cha'mao'chong'pi'yan 茶毛虫皮炎
'chan'dong'xing'xue'guan'xing'shui'zhong 颤动性血管性水肿
'chan'pi'bing 蟾皮病
'chan'qian'hen'ji'yi'chang'mian'rong 产钳痕迹异常面容
'chan'sheng'nian'dan'bai'de'lin'zhuang'xi'bao 产生粘蛋白的鳞状细胞
'chang'bing'xing'zhi'duan'pi'yan 肠病性肢端皮炎
'chang'chun'jian 长春碱
'chang'chun'xin'jian 长春新碱
'chang'dao'bing'du 肠道病毒
'chang'dao'gan'jun 肠道杆菌
'chang'dao'ji'bing'pi'fu'guan'jie'yan'zong'he'zheng 肠道疾病皮肤关节炎综合征
'chang'gan'jun'shu'gan'ran'de'pi'fu'biao'xian 肠杆菌属感染的皮肤表现
'chang'ju 常居
'chang'wen'he'zong'he'zheng 肠吻合综合征
'chang'xiao'jia'zhuang'xian'ci'ji'yin'zi 长效甲状腺刺激因子
'chang'zhu'jun 常住菌
'chao'dan'bai 巢蛋白
'chao'min'fan'ying 超敏反应
'chao'yang'hua'wu'qi'hua'mei 超氧化物歧化酶
'chen'jiang'liu'huang 沉降硫黄
'cheng'cu'xing'yan'kuang'zhou'fen'ci 成簇性眼眶周粉刺
'cheng'gu'bu'quan 成骨不全
'cheng'ji'xi'bao'liu 成肌细胞瘤
'cheng'liu'bing 承霤病
'cheng'ren'ji'xing'dan'chun'xing'yang'zhen 成人急性单纯性痒疹
'cheng'ren'ying'zhong'bing 成人硬肿病
'cheng'ren'zao'lao'zheng 成人早老症
'cheng'xian'wei'xi'bao'xing'feng'shi'bing 成纤维细胞性风湿病
'cheng'xu'hua'xi'bao'si'wang 程序化细胞死亡
'chi'bu'rou'ya'zhong 齿部肉芽肿
'chi'fa'xiang'bian'tai'fan'ying 迟发相变态反应
'chi'fa'xing'chao'min'fan'ying 迟发型超敏反应
'chi'fa'xing'cheng'gu'bu'quan 迟发性成骨不全
'chi'fa'xing'pi'fu'bu'lin'zheng 迟发性皮肤卟啉症
'chi'hong 赤魟
'chi'jiu'xing'dou'zhuang'jiao'hua'guo'du'zheng 持久性豆状角化过度症
'chi'jiu'xing'hui'zhuang'hong'ban 持久性回状红斑
'chi'jiu'xing'long'qi'hong'ban 持久性隆起红斑
'chi'jiu'xing'se'su'shi'jin'zheng 持久性色素失禁症
'chi'jiu'xing'se'su'yi'chang'xing'hong'ban 持久性色素异常性红斑
'chi'jiu'xing'tu'zhuang'hong'ban 持久性图状红斑
'chi'xing'jia 匙形甲
'chong'die'zong'he'zheng 重叠综合症
'chong'fu'pian'duan 重复片段
'chong'lang'yun'dong'yuan'jie'jie 冲浪运动员结节
'chong'mei'bing'du 虫媒病毒
'chong'shi'zhuang'pi'fu'wei'suo 虫蚀状皮肤萎缩
'chou'chong'ding'yao 臭虫叮咬
'chou'han'zheng 臭汗症
'chou'han'zheng'kong'bu 臭汗症恐怖
'chu'er'gai'fen'zhi'gan'jun 楚尔盖分枝杆菌
'chu'er'gai'fen'zhi'gan'jun'de'pi'fu'gan'ran 楚尔盖分枝杆菌的皮肤感染
'chu'han'bu'liang'xing'shi'zhen 出汗不良性湿疹
'chu'xue'xing'bai'xue'xing'ba'shi'gan'jun'bing 出血性败血性巴氏杆菌病
'chu'xue'xing'bian'ping'tai'xian 出血性扁平苔藓
'chu'xue'xing'xi'jun'zhen 出血性细菌疹
'chu'xue'xing'zi'dian 出血性紫癜
'chu'zhuang'jia 杵状甲
'chu'zhuang'zhi 杵状指
'chuan'qi'bing 川崎病
'chuan'ran'xing'dan'he'xi'bao'zeng'duo'zheng 传染性单核细胞增多症
'chuan'ran'xing'hong'ban 传染性红斑
'chuan'ran'xing'nong'bao'pi'bing 传染性脓胞皮病
'chuan'ran'xing'ruan'you 传染性软疣
'chuan'ran'xing'shen'nong'bao'zhen 传染性深浓胞疹
'chuan'ran'xing'shi'zhen'yang'pi'yan 传染性湿疹样皮炎
'chuan'ran'xing'shui'pao'bing 传染性水疱病
'chuan'tong'xing'bi'mao'nang'yan 穿通性鼻毛囊炎
'chuan'tong'xing'ji'bing 穿通性疾病
'chuan'tong'xing'mao'nang'yan 穿通性毛囊炎
'chuang'xin'mei'su 创新霉素
'chui'kou'shao'mian'rong'zong'he'zheng 吹口哨面容综合症
'chui'shao'mian'rong'feng'che'yi'yang'shou'zong'he'zheng 吹哨面容风车翼样手综合征
'chun'bu'nian'ye'xian'yan 唇部粘液腺炎
'chun'lei'mei'su 春雷霉素
'ci'bao 刺胞
'ci'bao'pi'yan'shui'mu'pi'yan 刺胞皮炎水母皮炎
'ci'er'chun 雌二醇
'ci'ji'su 雌激素
'ci'mao'chong'pi'yan 刺毛虫皮炎
'ci'tan'suan'bi 次碳酸铋
'cong'lin'ban'zhen'shang'han 丛林斑疹伤寒
'cong'tou 从头
'cu'bing'jia'po'ni'long 醋丙甲泼尼龙
'cu'da'gan'jun 粗大杆菌
'cu'hei'ji'su 促黑激素
'cu'suan 醋酸
'cu'suan'qian 醋酸铅
'cu'suan'qing'hua'ke'di'song 醋酸氢化可的松
'cu'xiao'xiang'dou'su 醋硝香豆素
'cui'fa'zong'he'zheng 脆发综合症
'cui'jia 脆甲
'cui'ruo'xing'gu'ying'hua 脆弱性骨硬化
'cuo'chuang 痤疮
'cuo'chuang'bang'zhuang'gan'jun 痤疮棒状杆菌
'cuo'chuang'yan 痤疮炎
'cuo'yi 错义
'da'ka'ba'qin 达卡巴嗪
'da'kuai'gu'rong'jie 大块骨溶解
'da'li'bu 大力补
'da'li'shi'se'pi 大理石色皮
'da'li'shi'yang'pi'fu 大理石样皮肤
'da'lie'fan'ying 打猎反应
'da'na'zuo 达那唑
'da'pao 大疱
'da'pao'xing 大疱性
'da'pao'xing'bian'ping'tai'xian 大疱性扁平苔藓
'da'pao'xing'biao'pi'song'jie'zheng 大疱性表皮松解症
'da'pao'xing'lei'tian'pao'chuang 大疱性类天疱疮
'da'pao'xing'xian'tian'xing'yu'lin'bing'yang'hong'pi'bing 大疱性先天性鱼鳞病样红皮病
'da'pao'xing'yu'lin'bing 大疱性鱼鳞病
'da'suan'la'su 大蒜辣素
'da'xi'bao'ji'pi'liu 大细胞棘皮瘤
'da'xiao'han'xian 大小汗腺
'dai'xiao'zheng 呆小症
'dai'zhuang'pao'zhen 带状疱疹
'dai'zhuang'pao'zhen'xing'nao'mo'yan 带状疱疹性脑膜炎
'dai'zhuang'yin'xie'bing 带状银屑病
'dan'bai'dong'xing'xun'ma'zhen 蛋白胨性荨麻疹
'dan'bai'mei 蛋白酶
'dan'bai'yi'zhi'ji 蛋白抑制剂
'dan'bai'yin'ji'fa 蛋白印迹法
'dan'bai'zhi'yi'ke 蛋白质衣壳
'dan'bai'zhi'ying'yang'bu'liang 蛋白质营养不良
'dan'ce'yu'lin'bing'yang'hong'pi'bing'ban'tong'ce'ji'xing 单侧鱼鳞病样红皮病伴同侧畸型
'dan'ce'zhi'yang'mao'xi'xue'guan'kuo'zhang 单侧痣样毛细血管扩张
'dan'chun'kang'zhen 单纯糠疹
'dan'chun'pao'zhen'bing'du 单纯疱疹病毒
'dan'chun'xing'da'pao'xing'biao'pi'song'jie'zheng 单纯型大袍性表皮松解症
'dan'chun'xing'da'pao'xing'biao'pi'song'jie'zheng 单纯性大疱性表皮松解症
'dan'chun'xing'han'xian'ji'pi'liu 单纯性汗腺棘皮瘤
'dan'chun'xing'xian'xing'chun'yan 单纯型腺性唇炎
'dan'chun'xing'yang'zhen 单纯性痒疹
'dan'chun'xing'zhi'nang'liu 单纯性脂囊瘤
'dan'chun'xing'zi'dian 单纯性紫癜
'dan'du 丹毒
'dan'fa'xing'wai'mao'gen'qiao'liu 单发性外毛根鞘瘤
'dan'fa'xing'xian'wei'mao'nang'liu 单发性纤维毛囊瘤
'dan'ji'tang'shen'jing'xian'an 单己糖神经酰胺
'dan'jia 氮甲
'dan'jian'neng'xing'xun'ma'zhen 胆碱能性荨麻疹
'dan'jie 氮芥
'dan'ke'long'kang'ti 单克隆抗体
'dan'ke'long'kang'ti'feng'bi'fang'she'mian'yi'fen'xi 单克隆抗体封闭放射免疫分析
'dan'lin'suan'fu'dai'qu'yang'niao'he'gan 单磷酸氟代去氧脲核苷
'dan'lin'suan'ji'tang 单磷酸己糖
'dan'lin'suan'jia'ji'ji'gan 单磷酸甲基肌苷
'dan'ni'mo'gen 旦尼莫根
'dan'niao'gan 氮尿苷
'dan'qiang'xing 单腔性
'dan'qing'jiao'nang 丹青胶囊
'dan'tong 氮酮
'dan'xian'bing'du 诞腺病毒
'dao'guan'zhuang'ding'mi'han'xian'xian'liu 导管状顶泌汗腺腺瘤
'dao'zhi'xing'mao'nang'jiao'hua'bing 倒置性毛囊角化病
'deng'ge're 登革热
'di'bu'ti'xue'zheng'xue'guan'yan'xun'ma'zhen'zong'he'zheng 低补体血症血管炎荨麻疹综合征
'di'chong'xing'bao'pi'gui'tou'yan 滴虫性包皮龟头炎
'di'en'fen 地蒽酚
'di'er'liu'zhuo 地尔硫桌
'di'fang'xing'ban'zhen'shang'han 地方性斑疹伤寒
'di'gai'xue'zheng 低钙血症
'di'mei'bing 地霉病
'di'mei'huan'su 地美环素
'di'sai'mi'song 地塞米松
'di'sai'mi'song'shuang'bing'suan'zhi 地塞米松双丙酸酯
'di'sai'mi'song'yi'suan'zhi 地塞米松乙酸酯
'di'tu'she 地图舌
'di'tu'zhuang'yin'xie'bing 地图状银屑病
'di'xi'pan 地西泮
'di'xue're 地穴热
'di'yi'hong'wei'jie'er'te 地依红韦杰尔特
'di'zhong'hai're 地中海热
'di'zhuang'yin'xie'bing 滴状银屑病
'dian'di'xing'fu'yin'xie'bing 点滴型副银屑病
'dian'di'zhuang'bian'ping'tai'xian 点滴状扁平苔藓
'dian'di'zhuang'ying'ban'bing 点滴状硬斑病
'dian'fang 碘仿
'dian'fen 淀粉
'dian'fen'he'jiao'ji 淀粉和胶剂
'dian'fen'rou'ya'zhong 淀粉肉芽肿
'dian'fen'yang'bian'bing 淀粉样变病
'dian'fen'yang'bian'ju'she 淀粉样变巨舌
'dian'fen'yang'bian'tai'xian 淀粉样变苔藓
'dian'fen'yang'dan'bai'tan'xing'xian'wei'bing 淀粉样蛋白弹性纤维病
'dian'fu 碘伏
'dian'gan 碘苷
'dian'hua'jia 碘化钾
'dian'ji'shang 电击伤
'dian'suan'xue'fu'fan'ying 碘酸雪夫反应
'dian'zhuang'bai'jia 点状白甲
'dian'zhuang'gu'hou'zeng'sheng'bu'liang 点状骨骺增生不良
'dian'zhuang'han'kong'jiao'hua'zheng 点状汗孔角化症
'dian'zhuang'se'su'xing'you'zhuang'ru'tou'liu'bing 点状色素性疣状乳头瘤病
'dian'zhuang'xian'tian'xing'ruan'gu'fa'liang'bu'liang 点状先天性软骨发良不良
'dian'zhuang'yin'xie'bing 点状银屑病
'dian'zhuang'zhang'zhi'jiao'pi'zheng 点状掌跖角皮症
'diao'wang 凋亡
'diao'wang'xiao'ti 凋亡小体
'die'wa'xuan 叠瓦癣
'ding'an'ben'liu'niao 丁氨苯硫脲
'ding'fen'mi'hua 顶分泌化
'ding'ji 酊剂
'ding'mi'han'xian 顶泌汗腺
'ding'mi'han'xian'han'nang'liu 顶泌汗腺汗囊瘤
'ding'mi'han'xian'nang'xian'liu 顶泌汗腺囊腺瘤
'ding'mi'han'xian'xian'ai 顶泌汗腺腺癌
'ding'mi'han'xian'xian'wei'xian'liu 顶泌汗腺纤维腺瘤
'ding'mi'han'xian'zhi 顶泌汗腺痣
'dong'chuang 冻疮
'dong'chuang'yang'lang'chuang 冻疮样狼疮
'dong'fang'jie 东方疖
'dong'ji'sao'yang'bing 冬季瘙痒病
'dong'ji'xing'yin'xie'bing 冬季型银屑病
'dong'ji'yang'zhen 冬季痒疹
'dong'jing'mai'lou 动静脉瘘
'dong'jing'mai'wen'he'zheng 动静脉吻合症
'dong'mai'xing'zhi'zhu'zhi 动脉性蜘蛛痣
'dong'shang 冻伤
'dong'wu'jie'chuang 动物疥疮
'dou'bing'du 痘病毒
'dou'chuang'yang'cuo'chuang 痘疮样痤疮
'dou'chuang'yang'xing'fu'yin'xie'bing 痘疮样型副银屑病
'dou'jia'dan'bai 兜甲蛋白
'dou'you 豆油
'du'bo'lin'gan'jun 都柏林杆菌
'du'ke'lei'shi'xue'gan'jun 杜克雷嗜血杆菌
'du'nuo'fan'bing 杜诺凡病
'du'nuo'fan'rou'ya'zhong 杜诺凡肉芽肿
'du'she'yao'shang 毒蛇咬伤
'du'yu'ci'shang 毒鱼刺伤
'duan'jing'zong'he'zheng 短颈综合症
'duan'mao'pi 断毛癖
'duan'xiao'bang'zhuang'gan'jun 短小棒状杆菌
'duan'zan'xing'shi'suan'xing'fei'yan 短暂性嗜酸性肺炎
