'a'fan'ti'de'gu'shi 阿凡提的故事
'he'ju 和剧
'he'nan'dao'qing 河南道情
'he'nan'qu'ju 河南曲剧
'he'nan'zhui'zi 河南坠子
'hong'shan'tiao 洪山调
'hong'shui'shen'hua 洪水神话
'hou'ji'de'chuan'shuo 后稷的传说
'hu'bei'yu'gu 湖北渔鼓
'hu'ju 沪剧
'hua'ben 话本
'hua'chuan'tiao 划船调
'hua'er 花儿
'hua'gu'ding'xiang 花鼓丁香
'hua'gu'xi 花鼓戏
'hua'shi'chuan'shuo 画师传说
'hua'tuo'de'chuan'shuo 华佗的传说
'huai'ju 淮剧
'huan 欢
'huan'xiang'gu'shi 幻想故事
'huang'chao'qi'yi'chuan'shuo 黄巢起义传说
'huang'di'de'chuan'shuo 黄帝的传说
'huang'jin'qi'yi'chuan'shuo 黄巾起义传说
'huang'mei'cai'cha'xi 黄梅采茶戏
'huang'zhang'san'de'gu'shi 谎张三的故事
'hui'gu'niang'xing'gu'shi 灰姑娘型故事
'hui'xie'xiao'hua 诙谐笑话
'hun'ge 婚歌
'hun'li'ge 婚礼歌
'huo'lang'er 货郎儿
'ji'ju 吉剧
'ji'zhi'ren'wu'gu'shi 机智人物故事
'jia 加
'jia'guan'ge 加冠格
'jia'ling'kuo 嫁令阔
'jian'jian'hua 剪剪花
'jiang'jing'wen 讲经文
'jiang'shi 讲史
'jiang'xi'dao'qing 江西道情
'jiao'guo'zi 叫果子
'jiao'mai'tiao 叫卖调
'jie'ling'ge 节令歌
'jie'ri'chuan'shuo 节日传说
'jin'bei'dao'qing 晋北道情
'jin'ge 锦歌
'jin'qian'ban 金钱板
'jing'de'mu'ou'zhuang'xi 靖德木偶壮戏
'jing'dong'da'gu 京东大鼓
'jing'yun'da'gu 京韵大鼓
'jiu'ge 酒歌
'juan'lian'ge 卷帘格
'kai'tian'pi'di'shen'hua 开天辟地神话
'kang'bao'shen'hua 抗暴神话
'ke'jia'shan'ge 客家山歌
'ku'ge 苦歌
'ku'jia'ge 哭嫁歌
'kuai'ban 快板
'kui'lei'xi 傀儡戏
'kun'ming'tiao 昆明调
'la'chang'xi 拉场戏
'la'fa 拉法
'la'ye 拉夜
'la'yi 拉伊
'lan'lu'ge 拦路歌
'lang'wai'po'xing'gu'shi 狼外婆型故事
'lao'dong'hao'zi 劳动号子
'lao'lang 老郎
'lao'ting'da'gu 乐亭大鼓
'lao'ting'ying 乐亭影
'le 勒
'le'chang'hua'gu'xi 乐昌花鼓戏
'le'lai 勒来
'le'qiang 乐腔
'lei'ju 雷剧
'lei'yi'qiao 雷依巧
'li'bai'de'chuan'shuo 李白的传说
'li'bing'de'chuan'shuo 李冰的传说
'li'hua'da'gu 梨花大鼓
'li'hua'ge 梨花格
'li'su'ge 礼俗歌
'li'yu 俚语
'li'zi'cheng'qi'yi'chuan'shuo 李自成起义传说
'lian'bi'ge 连璧格
'lian'hua'lao 莲花落
'lian'huan'ge 连环格
'liang'xiong'di'xing'gu'shi 两兄弟型故事
'liang'xiong'di'zuo'chang'gong 两兄弟做长工
'liao'cheng'ba'jiao'gu 聊城八角鼓
'liao'ge 嘹歌
'lin'ju 临剧
'lin'qu'hao'zi 林区号子
'liu'qiang 柳腔
'liu'zi'xi 柳子戏
'long'jiang'ju 龙江剧
'long'nv'xing'gu'shi 龙女型故事
'long'xi'bu'dai'mu'ou'xi 龙溪布袋木偶戏
'long'xi'tie'zhi'xi 龙溪铁枝戏
'lu 鲁
'lu'ban'de'chuan'shuo 鲁班的传说
'lu'ju 庐剧
'lun'deng'tiao 轮灯调
'luo'jiang'yuan 罗江怨
'luo'mao'ge 落帽格
'ma'ai'zhuang'xi 马隘壮戏
'ma'deng'tiao 马灯调
'man'han'tiao 漫瀚调
'mao'e 冒呃
'mao'liang'zi'shu'tiao 毛两子梳调
'mao'qiang 茂腔
'mei'ge'tiao 梅葛调
'mei'hua'da'gu 梅花大鼓
'mei'ju 眉剧
'men'ge 门歌
'men'qiang'ge 门墙歌
'meng'jiang'nv'tiao 孟姜女调
'mi'di 谜底
'mi'ge 谜格
'mi'ge 谜歌
'mi'guo'ku 米果库
'mi'mian 谜面
'mi'yu'gou'cheng'de'bie'jie'fa 谜语构成的别解法
'mi'yu'gou'cheng'de'gui'ci'fa 谜语构成的诡词法
'mi'yu'gou'cheng'de'hui'yi'fa 谜语构成的会意法
'mi'yu'gou'cheng'de'kua'zhang'fa 谜语构成的夸张法
'mi'yu'gou'cheng'de'lian'zhui'ti'miao'xie'fa 谜语构成的连缀体描写法
'mi'yu'gou'cheng'de'mao'dun'fa 谜语构成的矛盾法
'mi'yu'gou'cheng'de'miao'xie'fa 谜语构成的描写法
'mi'yu'gou'cheng'de'ni'ren'fa 谜语构成的拟人法
'mi'yu'gou'cheng'de'pai'chu'fa 谜语构成的排除法
'mi'yu'gou'cheng'de'xie'yin'fa 谜语构成的谐音法
'mi'yu'gou'cheng'de'zeng'sun'li'he'fa 谜语构成的增损离合法
'min'ge 民歌
'min'jian'chuan'shuo 民间传说
'min'jian'gu'shi 民间故事
'min'jian'mi'yu 民间谜语
'min'jian'shuo'chang 民间说唱
'min'jian'wen'xue 民间文学
'min'jian'xiao'xi 民间小戏
'min'jian'xu'shi'shi 民间叙事诗
'min'jian'yan'yu 民间谚语
'min'jian'yi'wen 民间逸闻
'ming'nv'chuan'shuo 名女传说
'ming'sheng'gu'ji'chuan'shuo 名胜古迹传说
'mo'ding'ge 摩顶格
'mo'li'hua 茉莉花
'mo'lun 莫伦
'mu'ju 睦剧
'mu'lian'xi 目连戏
'mu'ou'xi 木偶戏
'na'sai'yin'chao'ke'tu'yu'min'jian'wen'xue 纳赛音朝克图与民间文学
'nai'you'chu'ge 奶幼畜歌
'nan'chang'cai'cha'xi 南昌采茶戏
'nan'xi 南戏
'nan'yin 南音
'ne'na'ne 呢呐呢
'nei'meng'dao'qing 内蒙道情
'nian'jun'qi'yi'chuan'shuo 捻军起义传说
'niu'ge 牛歌
'niu'niang'ju 牛娘剧
'nong'min'qi'yi'chuan'shuo 农民起义传说
'nong'shi'hao'zi 农事号子
'pa'shan'ge 爬山歌
'pai'fa'hao'zi 排筏号子
'pai'you 俳优
'pai'zi'qu 牌子曲
'pi'pa'ge 琵琶歌
'pi'pa'tan'chang 琵琶弹唱
'ping'hua 评话
'ping'shu 评书
'ping'tan 评弹
'qi'de'chuan'shuo 契的传说
'qi'tai'yang'ge 祁太秧歌
'qiao'xi'fu'de'gu'shi 巧媳妇的故事
'qin'shu 琴书
'qing'ge 情歌
'qing'guan'chuan'shuo 清官传说
'qing'le 青勒
'qing'ling'ge 青领格
'qing'yin'xi 清音戏
'qiong'ye 穷耶
'qiu'huang'ge 求凰格
'qiu'qian'ge 秋千格
'qu'yuan'de'chuan'shuo 屈原的传说
'quan'zhou'ti'xian'mu'ou 泉州提线木偶
'ren'lei'qi'yuan'shen'hua 人类起源神话
'ren'ming'mi 人名谜
'ren'shi'yu'yan 人事寓言
'ren'wu'chuan'shuo 人物传说
'rui'he'xi 瑞河戏
'sa'man'ge 萨满歌
'san'ju'ban 三句半
'sang'ge 丧歌
'shan'bei'dao'qing 陕北道情
'shan'de'chuan'shuo 山的传说
'shan'dong'kuai'shu 山东快书
'shan'dong'qin'shu 山东琴书
'shan'dong'si'ping'diao 山东四平调
'shan'ge 山歌
'she'lang'xing'gu'shi 蛇郎型故事
'she'ri'shen'hua 射日神话
'shen'hua 神话
'shen'hua'de'fen'lei 神话的分类
'shen'hua'de'qi'yuan'yu'ben'zhi 神话的起源与本质
'shen'qi'bao'wu'xing'gu'shi 神奇宝物型故事
'shen'xian'chuan'shuo 神仙传说
'shen'yi'chuan'shuo 神医传说
'sheng'chan'jing'yan'gu'shi 生产经验故事
'sheng'chan'yan 生产谚
'sheng'huo'ge 生活歌
'sheng'huo'gu'shi 生活故事
'sheng'huo'yan 生活谚
'shi'dao'xi 师道戏
'shi'hua 诗话
'shi'ju'mi 诗句谜
'shi'li'yan 事理谚
'shi'ling'yan 时令谚
'shi'mi 事谜
'shi'qi 使砌
'shi'shi 史诗
'shi'shi'chuan'shuo 史事传说
'shi'xiong'di'xing'gu'shi 十兄弟型故事
'shu'fa'jia'chuan'shuo 书法家传说
'shu'hua 数花
'shu'hui 书会
'shu'hui'xian'sheng 书会先生
'shu'lai'bao 数来宝
'shu'ming'mi 书名谜
'shu'pai'fang'de'gu'shi 竖牌坊的故事
'shuan'xiang'ge 拴相歌
'shuang'ge 双歌
'shui'de'chuan'shuo 水的传说
'shun'de'chuan'shuo 舜的传说
'shuo'can'qing 说参请
'shuo'hua 说话
'shuo'li'ge 说理歌
'si'chuan'ping'shu 四川评书
'si'chuan'qing'yin 四川清音
'si'chuan'yang'qin 四川扬琴
'si'dian'ge 祀典歌
'si'ji'tiao 四季调
'si'zhou'tiao 泗州调
'si'zhou'xi 泗州戏
'song'za'ju 宋杂剧
'sou'ci 廋词
'su'fu 俗赋
'su'wu'mu'yang 苏武牧羊
'su'yu 俗语
'su'zhou'ping'hua 苏州评话
'su'zhou'tan'ci 苏州弹词
'sui'jin'ge 碎锦格
'tai'mu'hao'zi 抬木号子
'tai'ping'tian'guo'chuan'shuo 太平天国传说
'tai'yang'shen'hua 太阳神话
'tan'ci 弹词
'tan'ci'kai'pian 弹词开篇
'tan'huang 滩簧
'tao'hun'ge 逃婚歌
'tao'zhen 陶真
'tian'e'xian'nv'xing'gu'shi 天鹅仙女型故事
'tian'hai'shen'hua 填海神话
'tian'han'shen'hua 天旱神话
'tian'jin'kuai'ban 天津快板
'tian'jin'shi'tiao 天津时调
'tian'lin'zhuang'xi 田林壮戏
'tian'luo'gu'niang'xing'gu'shi 田螺姑娘型故事
'tian'mian'hua'gu'xi 天沔花鼓戏
'tian'qi'yan 天气谚
'tian'wen'yan 天文谚
'tiao'sheng 调声
'tie'qi'er 铁骑儿
'tong'zi'xi 僮子戏
'tu'te'chan'chuan'shuo 土特产传说
'tuo'xue'ge 脱靴格
'wa'zi'gou'lan 瓦子勾栏
'wan'nan'hua'gu'xi 皖南花鼓戏
'wen'nan'ci 文南词
'wen'xue'jia'chuan'shuo 文学家传说
'wen'zhou'gu'ci 温州鼓词
'wu'an'lao'zi 武安落子
'wu'an'ping'diao 武安平调
'wu'chan'chuan'shuo 物产传说
'wu'chun 舞春
'wu'geng'tiao 五更调
'wu'lin'gu'shi 武林故事
'wu'mi 物谜
'wu're're 乌热热
'wu'sha'ge 乌纱格
'wu'xi'jing 无锡景
'wu'yin'xi 五音戏
'wu'zhou'ge 梧州歌
'xi 西
'xi'duo 析朵
'xi'guan'chuan'shuo 习惯传说
'xi'ju 锡剧
'xi'ling'ge 系铃格
'xi'wang'mu'de'chuan'shuo 西王母的传说
'xia'he'tiao 下河调
'xiang'huo'xi 香火戏
'xiang'li'ge 香哩歌
'xiang'sheng 相声
'xiao'diao 小调
'xiao'fang'niu 小放牛
'xiao'ge 小歌
'xiao'hua 笑话
'xiao'jiu'lian'huan 小九连环
'xiao'shuo 小说
'xie 谐
'xie'hou'yu 歇后语
'xie'hou'yu'gou'cheng'de'dui'bi'fa 歇后语构成的对比法
'xie'hou'yu'gou'cheng'de'jia'xiang'fa 歇后语构成的假想法
'xie'hou'yu'gou'cheng'de'jie'dai'fa 歇后语构成的借代法
'xie'hou'yu'gou'cheng'de'kua'zhang'fa 歇后语构成的夸张法
'xie'hou'yu'gou'cheng'de'miao'shu'fa 歇后语构成的描述法
'xie'hou'yu'gou'cheng'de'ni'ren'fa 歇后语构成的拟人法
'xie'hou'yu'gou'cheng'de'xi'zi'fa 歇后语构成的析字法
'xie'jin'de'chuan'shuo 谢缙的传说
'xie'yin 谐隐
'xin'ren'xin'shi'chuan'shuo 新人新事传说
'xin'sheng'huo'gu'shi 新生活故事
'xin'tian'you 信天游
'xin'xiao'hua 新笑话
'xing'chen'shen'hua 星辰神话
'xing'chuan'hao'zi 行船号子
'xiong'bian'hui 雄辩会
'xiu'ci'yan 修辞谚
'xiu'he'bao 绣荷包
'xiu'jian'hao'zi 修建号子
'xiu'jin'bian 绣金匾
'xu'fei'ge 徐妃格
'xu'wen'chang'gu'shi 徐文长故事
'ya'ci 涯词
'yan'xi'qu 宴席曲
'yan'yu'de'gou'cheng'fang'fa 谚语的构成方法
'yang'ge'xi 秧歌戏
'yang'jia'jiang'de'chuan'shuo 杨家将的传说
'yang'liu'qing 杨柳青
'yang'zhou'ping'hua 扬州评话
'yang'zhou'qing'qu 扬州清曲
'yang'zhou'tan'ci 扬州弹词
'yao'chuan'ge 摇船歌
'yao'de'chuan'shuo 尧的传说
'yao'er'ge 摇儿歌
'yao'ju 姚剧
'yi'he'tuan'yun'dong'chuan'shuo 义和团运动传说
'yi'la'he 依拉嗬
'yi'la'hei 伊啦嘿
'yi'shi'ge 仪式歌
'yin'yu 隐语
'yin'zi'er 银字儿
'ying'ju'ming'mi 影剧名谜
'ying'xi 影戏
'ying'xiong'chuan'shuo 英雄传说
'ying'xiong'shen'hua 英雄神话
'ying'xiong'shi'shi 英雄史诗
'ying'xiong'xu'shi'shi 英雄叙事诗
'yong'ju 甬剧
'you'chun'xi 游春戏
'you'mo'xiao'hua 幽默笑话
'yu'de'chuan'shuo 禹的传说
'yu'ge 渔歌
'yu'gu 渔鼓
'yu'mei'ren 虞美人
'yu'yan 寓言
'yu'yan'xiao'hua 寓言笑话
'yue'bei'cai'cha'xi 粤北采茶戏
'yue'fei'de'chuan'shuo 岳飞的传说
'yue'la 月拉
'yue'liang'shen'hua 月亮神话
'yue'lun 月伦
'yue'qi'chuan'shuo 乐器传说
'yue'xi'bai'xi 粤西白戏
'yue'yang'hua'gu'xi 岳阳花鼓戏
'yun'nan'che'deng 云南车灯
'yun'nan'hua'deng'xi 云南花灯戏
'yun'tian'ge 耘田歌
'za'ge 杂歌
'za'qu 杂曲
'zan'ha 赞哈
'zha'en'da'le 扎恩达勒
'zhan'zheng'shen'hua 战争神话
'zhao'xing'fu'xing'gu'shi 找幸福型故事
'zhao'zi 招子
'zhe'li'yu'yan 哲理寓言
'zhi'shui'shen'hua 治水神话
'zhi'wu'chuan'shuo 植物传说
'zhong'cao'yao'chuan'shuo 中草药传说
'zhong'guo'san'da'ying'xiong'shi'shi 中国三大英雄史诗
'zhong'guo'si'da'min'jian'gu'shi 中国四大民间故事
'zhu'gong'diao 诸宫调
'zhu'long'shen'hua 烛龙神话
'zhu'yi'shen'hua 主疫神话
'zhuan'ci 赚词
'zhuan'ta 转踏
'zhui'ri'shen'hua 追日神话
'zi'di'shu 子弟书
'zi'mi 字谜
'zou'chang 走唱
'zuo'fang'hao'zi 作坊号子
'zuo'jia'yu'min'jian'wen'xue 作家与民间文学
