'a'dun 阿顿
'feng'kuang'sheng'zhang 疯狂生长
'feng'yu'ming'xiang'shi 风语冥想师
'feng'yu'nv'wang 风语女王
'feng'yu'qi'shi'lu 风语启示录
'feng'yu'song'zhou'shi 风语颂咒师
'feng'yu'xiao'rong'zhe 风语消融者
'feng'yu'yin'lu'ren 风语引路人
'feng'yu'zao'meng'shi 风语造梦师
'fu'chou'jun'dun'shou 复仇军盾手
'fu'chou'jun'jian'die 复仇军间谍
'fu'chou'jun'ling'xiu 复仇军领袖
'fu'chou'jun'mu'bing'zhe 复仇军募兵者
'fu'chou'jun'tou'qiang'shou 复仇军投枪手
'fu'chou'jun'xiu'bu'jiang 复仇军修补匠
'fu'chou'jun'xun'lian'guan 复仇军训练官
'fu'chou'jun'yi'jiao'seng 复仇军异教僧
'fu'chou'jun'zhi'hui'guan 复仇军指挥官
'fu'chou'jun'zhu'jia'shi 复仇军铸甲师
'fu'gen 缚根
'fu'gen'ju'ren 缚根巨人
'fu'gui'tian'shi 复归天使
'fu'huo 复活
'fu'la'wei'an 弗拉维安
'fu'la'wei'an'zhi'shu 弗拉维安之书
'fu'lao'bing 弗劳苪
'fu'rou'shi'shi'gui 腐肉食尸鬼
'fu'sheng'zhi'qiu 腐生之丘
'fu'sheng'zhu'hou 腐生蛛后
'fu'shi'fa'shi 缚誓法师
'fu'zhan'guang'hui'ying 赴战光辉营
'fu'zhi'hua'ji'sheng 腐殖花寄生
'gao'guan'shu'ren 高冠树人
'gao'ju'qi'zhi 高举旗帜
'ge'er'long 戈尔隆
'ge'er'long'zui'zhong'fan'ji 戈尔隆最终反击
'ge'rong 咯戎
'ge'wu'pu'cong 戈武仆从
'ge'wu'shi'cong 戈武侍从
'ge'yong'xiu'nv 歌咏修女
'gong'ji'xing'ka'la'nuo 攻击型卡拉诺
'gu'de'sang 古德桑
'gu'fu 骨蝠
'gu'lao 骨牢
'gu'rou'fen'li 骨肉分离
'guan'su'yuan'ling 灌塑源灵
'guang'hui'sheng'nv 光辉圣女
'guang'hui'tian'shi 光辉天使
'guang'hui'ying'hu'dun 光辉营护盾
'guang'hui'ying'jun'qi 光辉营军旗
'guang'hui'ying'wei'dui 光辉营卫队
'guang'hui'ying'zhi'yuan'jun 光辉营志愿军
'guang'hui'zhi'men 光辉之门
'guang'ji'ban'hun'seng 光迹绊魂僧
'guang'ji'jie'hu'seng 光迹戒护僧
'guang'ji'ku'xiu'shi 光迹苦修士
'guang'ji'shou'wei 光迹守卫
'guang'ji'tong'ling'seng 光迹通灵僧
'guang'ji'wu'seng 光迹武僧
'guang'ji'wu'shi 光迹武士
'guang'ji'xing'you'seng 光迹行游僧
'guang'ji'zhong'jia'shi 光迹重甲士
'guang'ji'zhu'song'shi 光迹祝颂师
'guang'ming'ping'zhang 光明屏障
'guang'ming'zhi'yan 光明之眼
'guang'ming'zhi'yi 光明之翼
'guang'ming'zhi'zhang 光明之杖
'gui'hang'guang'hai'tun 归航光海豚
'gui'lei'cao'zong'shi 诡雷操纵士
'gui'lei'shi'yan'yuan 诡雷实验员
'gui'ma'ma 鬼妈妈
'ha'ken 哈肯
'hai'de'la 海德拉
'hai'wan'de'ge'ji 海湾的歌姬
'han'bing'tu'xi 寒冰吐息
'han'guang'zhui'hun'ke 寒光追魂客
'han'li'wei'luo'yao 瀚力维罗妖
'han'liu'xing'chao'shou 寒流兴潮兽
'han'yong'gu'jun 悍勇孤军
'hao'jie 耗竭
'hao'yong'ling'pai 号勇令牌
'hao'yun'bo'ge 好运波葛
'he'ji 合击
'he'long'de 赫隆德
'hei'ta'mu 黑塔姆
'hei'tu'mu'xue'ren 黑图姆血刃
'hong'yi'da'shou 红衣打手
'hu'ling'long'shou 护陵龙兽
'hu'shui'fan'lan 湖水泛滥
'hu'ti'zu'ling 护体祖灵
'hu'wei'hua'ji'sheng 护卫花寄生
'hua'ling'zhu'zan 花灵祝赞
'hua'xing'rong'he'ti 化形融合体
'huai'si'tuo'si 淮斯托斯
'huan'bian'du'jiao'shou 幻变独角兽
'huan'shen'ji'tan 唤神祭坛
'huan'sheng'mo'sha'shou 幻生抹煞兽
'huan'shi'shen'ye'ku'sha 幻视神耶库煞
'huan'xiang'rong'he'ti 幻象融合体
'huan'xing'du'she 缓行毒蛇
'huan'yuan 还原
'huang'cheng'ju'shou 荒城巨兽
'hui'jin'bao'yan'shi 灰烬爆炎师
'hui'jin'fen'ran'si'shi 灰烬焚燃死士
'hui'jin'kuang'keng'jie'ling 灰烬矿坑界灵
'hui'jin'kuang're'zhe 灰烬狂热者
'hui'jin'po'mie'kuang'tu 灰烬破灭狂徒
'hui'jin'si'dou'zhe 灰烬死斗者
'hui'jin'yan'jiang'shou 灰烬岩浆兽
'hui'jin'zhi'huo'ren 灰烬执火人
'hui'jin'zhi'men 灰烬之门
'hui'jin'zhi'zi 灰烬之子
'hui'mie'shen'pan 毁灭审判
'hui'teng'liao'yu 辉腾疗愈
'hun'luan 混乱
'huo'hua'gui'lei 火花诡雷
'huo'mai 活埋
'huo'shang'jiao'you 火上浇油
'huo'si'ban'ren'ma 活死半人马
'huo'ye'hao'ben'shou 火野嚎奔兽
'huo'ye'jie'lv'ren 火野戒律人
'huo'yi'ju'long 火翼巨龙
'huo'yi'tai'ma'ha 火裔泰马哈
'huo'ying'you'ti 火蝇幼体
'huo'yu'shi'jiu'shou 火雨狮鹫兽
'ji'chu'xing'ka'la'nuo 基础型卡拉诺
'ji'chuan 击穿
'ji'dian'shi'ji'yao 疾电食脊妖
'ji'e'zhe'mo 饥饿折磨
'ji'guang'huan'xiang'long 极光幻象龙
'ji'jie 集结
'ji'neng'zhong'shu 汲能中枢
'ji'qi 祭旗
'ji'xing'jun'zhi'hui 急行军指挥
'ji'yang'yuan'ling 给养源灵
'jia'long'da'gong 驾龙大公
'jian'she'yan'tuan 溅射焰团
'jian'shi'gu'wu 检视古物
'jian'xi'an'yi 见习暗裔
'jian'xiao'nv'yao 尖啸女妖
'jian'yan'xin'shi 缄言信使
'jian'yi'bi'weng 坚毅比翁
'jian'yi'zhi'bi 坚毅之壁
'jiang'shi'yong'chang'jia 僵尸咏唱家
'jiao'qu'da'jian'ke 教区大剑客
'jiao'zha'yu'yan'shi 狡诈预言师
'jie'bai'yuan'ling'wang 洁白源灵王
'jie'ban'yuan'ling 结伴源灵
'jie'chuan'mian'mu 揭穿面目
'jie'duan 截断
'jie'hua'chen'ni 皆化尘泥
'jie'qing'wang'hun 节庆亡魂
'jin'ji'de'bai'ren'jun'tuan 进击的百人军团
'jin'ji'tong'hao 进击铜号
'jin'jia'ke'dun 金甲可敦
'jin'jia'shen'wei 金甲神卫
'jin'kuang'tai'ma'ha 金矿泰马哈
'jin'ru'guang'hui'zhi'men 进入光辉之门
'jin'shen'tai'ma'ha 谨慎泰马哈
'jin'shu'xing'ka'la'nuo 金属型卡拉诺
'jin'xie'luan'tou'suo 金屑乱投锁
'jin'zhong'shi'wei 尽忠侍卫
'jing'hua'tian'shi 净化天使
'jing'lei'hao'jiao 惊雷号角
'jing'po'qin'ran'zhe 精魄侵染者
'jing'xiang 镜像
'jing'yan'huo'zang 净焰火葬
'jing'yan'ji'shi 净焰祭师
'jing'yan'tan'she 净焰弹射
'jing'yan'tou'zhi 净焰投掷
'jiu'si'fu'shang 救死扶伤
'jiu'yi'kong'mo 鹫翼恐魔
'jiu'yuan'chu'xu 救援触须
'ju'dun'zhan'che 巨盾战车
'ju'dun'zhan'wu'zhe 巨盾战舞者
'ju'he'shi'ta 聚合尸塔
'ju'lang'yuan'ling 聚浪源灵
'ju'nu'xiao'dui 巨弩小队
'ju'xing'ge'bei'gui 巨型革背龟
'ju'xing'tou'shi'che 巨型投石车
'juan'lang'ji 卷浪击
'jue'di'fan'ji 绝地反击
'jue'wang'sha'lou 绝望沙漏
'jun'gong'jue'zhi 军功爵制
'jun'tuan'wang'pai 军团王牌
'jun'tuan'xian'feng 军团先锋
'ka'la'nuo'he'xin 卡拉诺核心
'ka'rong'kai'shan'fu 喀戎开山斧
'kao'wen'tou'kui 拷问头盔
'ken'shi'jiang'shi 啃食僵尸
'keng'dao'ru'chong 坑道蠕虫
'kong'ju'shou'zhang 恐惧手杖
'kong'ling'fa'shi 控灵法师
'kong'zhong'jing'jie 空中警戒
'ku'nao'diao'ling 枯脑凋零
'ku'wei'de'shu'ren 枯萎的树人
'kuai'su'ke'long 快速克隆
'kuang're'xin'tu 狂热信徒
'kuang're'xin'yang 狂热信仰
'kuang'wang'you'shi'shou 狂妄油蚀兽
'la'sa'lu 拉撒路
'lai'ka'di'ya 莱卡迪娅
'lai'qi 莱栖
'lei'huo'tian'zai 雷火天灾
'lei'ting'gong'zhu 雷霆公主
'lei'ting'jian'ta'zhe 雷霆践踏者
'lei'ting'ke'han 雷霆可汗
'lei'ting'sao'dang 雷霆扫荡
'lei'ting'xian'xing'zhe 雷霆先行者
'lian'da 莲达
'lian'fa'mo'xiang 连发魔像
'lian'suo'zha'dan 连锁炸弹
'lie'ti'yuan'ling 裂蹄源灵
'lie'yan'zhi'xia 烈焰之匣
'lie'zhen'she'shou 列阵射手
'lin'di'feng'rang 林地丰壤
'lin'guan'du'jiao'shou 林冠独角兽
'lin'guan'tu'zhang 林冠徒长
'lin'guang'xing'chao'shou 磷光兴潮兽
'lin'zhen'huan'jiang 临阵换将
'ling'feng'yun'shan'shou 领风云鳝兽
'ling'hun'bo'li 灵魂剥离
'ling'hun'zhuan'yi 灵魂转移
'ling'jun'xue'xiao'ren 领军雪鸮人
'ling'qi'xian'zi 灵气仙子
'ling'yi'fu 灵翼蝠
'liu'jiang'chong'ji 流浆冲击
'liu'li'te'gong 琉璃特工
'liu'li'yin'zhe 琉璃隐者
'liu'xing'zhui'luo 流星坠落
'long'lin'bao'ying'ling 龙临堡英灵
'lu'xing'gui'dao 陆行龟岛
'lun'xun'yuan'ling 轮循源灵
'lun'zhuan'du'jiao'shou 轮转独角兽
'luo'ning 洛宁
'luo'ning'yin'dao 洛宁引导
'lv'se'qi'zha 绿色欺诈
'lv'ye'xing'kong 绿野星空
'lv'yin'gu'jie'jie'hu'wei 绿茵谷结界护卫
'lv'yin'gu'jie'ling 绿茵谷界灵
'lv'yin'gu'ling'ting'zhe 绿茵谷聆听者
'ma'kui'si'shi'qian'mie 马奎斯式迁灭
'ma'ya 玛雅
'mai'he'ma'ta 迈荷玛塔
'mai'lun'shou'hu'zhe 脉轮守护者
'man'huang'gu'dong 蛮荒鼓动
'mang'chuang'ju'shou 莽闯巨兽
'mang'yan'tai'ma'ha 盲眼泰马哈
'mang'yan'xiu'nv 盲眼修女
'mang'zhuang'mao'ci'shou 莽撞毛刺兽
'mei'yin 梅茵
'meng'jing'feng'ling 梦境风灵
'meng'na'sha 蒙娜莎
'meng'na'sha'de'yong'bao 梦娜莎的拥抱
'meng'na'sha'xin'shi 蒙娜莎信使
'meng'ya'hua'ji'sheng 萌芽花寄生
'mi'huo 秘火
'mi'huo'bi'zhou'jia 秘火避咒甲
'mi'huo'zhan'shu 迷惑战术
'mi'lin'zhao'ji 密林召集
'mi'mou'ji'hui 密谋集会
'mi'wu'sen'lin 迷雾森林
'mi'zong'bo'ge 迷踪波葛
'mian'bi'si'guo 面壁思过
'mian'sha'nv'wu 面纱女巫
'ming'cheng'hui'qi 名城毁弃
'ming'chun'zhi'di 鸣春之笛
'ming'ling'lu'yin 冥灵路引
'mo'lan'di 莫兰迪
'mo'lan'di'yin'dao 莫兰迪引导
'mo'neng'xin'biao 魔能信标
'mo'ri'qing'dian 末日庆典
'mo'si 莫斯
'mo'si'de'duan'dao 莫斯的短刀
'mu'sheng'shi'shi'gui 墓生食尸鬼
'na'sa'ke'si 纳萨克斯
'nai'ke'ti'lv'xing'zhe 奈克提旅行者
'nai'ke'ti'wu'kong'shi 奈克提舞空狮
'nei'xiang'bao'lie 内向爆裂
'ni'feng'hai'xing'guai 逆风海行怪
'ni'xing'si'peng 匿形丝蓬
'nian'mai'shu'jing 年迈树精
'nie'sui 捏碎
'ning'shi'teng'wan 凝实藤蔓
'ning'wang'gu'shen 凝望古神
'nong'shui'tu'fu 脓水屠夫
'nuo'ya 诺亚
'pan'shan'de'jiang'shi 蹒跚的僵尸
'pan'xing 叛行
'pao'bing'zhi'hui'guan 炮兵指挥官
'pao'xiao'ju'feng'shou 咆哮飓风兽
'peng'zhang'xing'ka'la'nuo 膨胀型卡拉诺
'pi'bei'zhi'si 疲惫致死
'pin'jie'shi'guai 拼接尸怪
'po'xie'zhi'yi 破邪之翼
'qi'bing'ju'ya'shou 骑兵巨牙兽
'qi'di'yuan'ling 启迪源灵
'qi'long'ji'shi 祈龙祭师
'qian'jiao'li'chi'yu 潜礁利齿鱼
'qian'nian'dou'shi'xiang 千年斗士像
'qian'nian'lie'shou'xiang 千年猎手像
'qian'nian'wei'shi'xiang 千年卫士像
'qian'tan'fu'ji'ke 浅滩伏击客
'qian'xi'shu'ren 迁徙树人
'qian'xun'xue'xiao'ren 谦逊雪鸮人
'qiang'hua'chan'rao 强化缠绕
'qiang'xi 强袭
'qiang'zhi'chai'jie 强制拆解
'qiao'si'bo'ge 巧思波葛
'qing'jin'bu'ji'jian 青金补给舰
'qing'jin'fa'zhang 青金法杖
'qing'jin'fei'kong'jian 青金飞空舰
'qing'jin'jia'gong'tai 青金加工台
'qing'jin'jian'shi'yan 青金监视眼
'qing'jin'mi'gong'jing'wei 青金迷宫警卫
'qing'jin'mi'gong'wu'ying 青金迷宫雾影
'qing'jin'mo'dao'shi 青金魔导师
'qing'jin'shi'fei'yuan 青金试飞员
'qing'jin'xuan'wo'qi 青金漩涡器
'qing'jin'xun'kong'zhe 青金巡空者
'qu'mo'zhi'jian 驱魔之剑
'qu'zi'fu'zhao 取自腐沼
'ran'hun'zhi'huo 染魂之火
'rao'zhou'xian'ling 扰咒仙灵
're'sha'duo'tou'long 热砂多头龙
'ren'xiong'zhi'wang 人熊之王
'ri'xing'ye'mei 日行夜魅
'rong'jiang'fei'jian 熔浆飞溅
'rong'tie'zhan'bi 熔铁战臂
'rong'yan'gui'guan 熔岩桂冠
'rong'yan'qing'pu 熔岩倾瀑
'rong'zhuang'jia'shen 戎装加身
'ru'meng'de'hei'mao 入梦的黑猫
'rui'jiao'yuan'ling 锐角源灵
'rui'ma 瑞玛
'ruo'an 若安
'ruo'an'de'hu'chi'seng 若安的护持僧
'sai'rui'ya'chi'hou 赛瑞亚斥候
'sai'rui'ya'dun'wei 赛瑞亚盾卫
'sai'rui'ya'fei'she 赛瑞亚飞蛇
'sai'rui'ya'fu'ji'zhan'shi 赛瑞亚伏击战士
'sai'rui'ya'jing'ying'zhan'shi 赛瑞亚精英战士
'sai'rui'ya'kai'dao'xiong 赛瑞亚开道熊
'sai'rui'ya'qian'shao 赛瑞亚前哨
'sai'rui'ya'tu'ji'yong'shi 赛瑞亚突击勇士
'sai'rui'ya'you'xi 赛瑞亚幼蜥
'sai'rui'ya'zhan'wu 赛瑞亚战巫
'sai'zi 塞兹
'sai'zi'yin'dao 塞兹引导
'sen'lin'gong'zhu 森林公主
'shan'lin'hu'xiao 山林呼啸
'shan'xian'tai'ma'ha 闪现泰马哈
'shen'gu'hui'xiang 深谷回响
'shen'hong'yuan'ling'wang 深红源灵王
'shen'li'guan'zhu 神力灌注
'shen'qi'da'shi 神器大师
'shen'qi'jie'zhi'shi 神器接殖师
'shen'qi'su'xing 神器塑性
'shen'sheng'da'ji 神圣打击
'shen'sheng'zhi'quan 神圣之泉
'shen'sheng'zhu'yuan 神圣祝愿
'shen'xiang'dou'shi 蜃象斗士
'shen'xuan'wei'lai 慎选未来
'shen'yuan'mo'zhang 深渊魔障
'sheng'hang'yun'shan'shou 升航云鳝兽
'sheng'ji'tiao'ling 生机调零
'sheng'lu'qian'niu'hua 盛露牵牛花
'sheng'ming'shu'shou'hu'zhe 生命树守护者
'sheng'ming'shu'xian'ling 生命树仙灵
'sheng'ming'shu'zhi 生命树枝
'sheng'ming'zhi'shu 生命之树
'sheng'nv'zhao'huan 圣女召唤
'sheng'quan'mu'yu 圣泉沐浴
'sheng'quan'xiu'nv 圣泉修女
'sheng'yu'da'zhu'jiao 圣谕大主教
'sheng'yu'hui'zhang 圣谕徽章
'sheng'zhang'xing'ka'la'nuo 生长型卡拉诺
'shi'bao 尸爆
'shi'chi'xue'zhi 嗜齿血蛭
'shi'cong'guai'zhao'lai 侍从怪召来
'shi'du'gong'xin 尸毒攻心
'shi'fa'mo'xiang 噬法魔像
'shi'fu'du'ya 食腐渡鸦
'shi'gui'mu'zhe 尸鬼牧者
'shi'xue'kuang'mei 嗜血狂魅
'shi'yan'xing'ni'tai'rong'he'ti 试验性拟态融合体
'shi'zhong 失重
'shi'zong 失踪
'shou'fu'wu'shi 受福武士
'shou'hu'tian'shi 守护天使
'shou'hu'zhi'feng 守护之风
'shou'hu'zhi'men 守护之门
'shou'lie'sheng'yan 狩猎盛宴
'shou'wei'sheng'ming'zhi'shu 守卫生命之树
'shou'yu'xing'ka'la'nuo 守御型卡拉诺
'shou'zu'jue'mu'ren 受诅掘墓人
'shou'zu'zhou'de'xin'tu 受诅咒的信徒
'shuang'bei'xue'shan'lang 霜背雪山狼
'shuang'ran'yuan'ling 霜染源灵
'shuang'shen'ju'han 双身巨汉
'shuang'sheng'mei'ying 双生魅影
'shuang'yuan'shuang'zu'fei'long 霜原双足飞龙
'shun'ming'mo'fu 吮命魔符
'shun'sheng'wei'luo'yao 瞬生维罗妖
'shun'zhou'yin'lang 吮咒银狼
'si'dou'lei'tai 死斗擂台
'si'lie'chang'kong 撕裂长空
'si'ling'zhao'huan 死灵召唤
'si'wang'zhi'chao 死亡之潮
'si'yao'hu 饲妖壶
'si'yin 死印
'song'wei'yuan'ling 颂威源灵
'su'gu'da'shi 塑骨大师
'su'gu'jiao'ban'lu 塑骨搅拌炉
'su'xun'min'bing 速训民兵
'suan'ye'ruan'ni'guai 酸液软泥怪
'sui'xing'bing'zhui'shou 碎星冰锥兽
'sui'xing'chui 碎星锤
'sui'ye'zhan'bu 碎叶占卜
'ta'zuo'ru'chong 塔佐蠕虫
'tai'la'nan'min 泰拉难民
'tai'la'zhao'huan'yi'shi 泰拉召唤仪式
'tai'xian'ju'guai 苔藓巨怪
'tan'cai'tai'ma'ha 贪财泰马哈
'tan'lan'wei'yu'long 贪婪尾羽龙
'tan'yu'xian'er 贪欲仙儿
'tao'tai'ruo'zhe 淘汰弱者
'teng'wan'shu'ren 藤蔓树人
'ti'duo 提多
'ti'duo'fan'mu 提多反目
'ti'na 缇娜
'ti'shen'ying'ji 替身应急
'tian'ji'guang'ling 天际光灵
'tian'luo'di'wang 天罗地网
'tian'mei'gan'quan 甜美甘泉
'tie'chu'nv 铁处女
'tie'pao'zhan'che 铁炮战车
'tong'ku'zhuan'hua 痛苦转化
'tou'shi 偷尸
'tu'xi 突袭
'tuan'jie'tian'shi 团结天使
'tuo'na'ti 托纳提
'wan'lie'shi'tong 顽劣尸童
'wang'si'zhi'he 枉死之盒
'wang'zhang'qin'wei'dui 王帐亲卫队
'wang'zhe'xiong'shi'ma'kui'si 亡者雄狮马奎斯
'wei'bei'shi'yan 违背誓言
'wei'feng'ping'yuan'jie'ling 微风平原界灵
'wei'lan'tai'yang 蔚蓝太阳
'wei'lan'yuan'ling'wang 蔚蓝源灵王
'wei'xu'gang'shao 卫戌岗哨
'wei'yi'zhong'ren 委以重任
'wen'yi'ling'jun'ru'chong 瘟疫领军蠕虫
'wen'yi'shi'zhe 瘟疫使者
'wen'yi'shu 瘟疫鼠
'wen'yi'shu'wang 瘟疫鼠王
'wen'yi'zhi'mo 瘟疫之魔
'wu'he'zhi'zhong 乌合之众
'wu'hui'zhi'qiao 无悔之桥
'wu'jin'shi'chao 无尽尸潮
'wu'jing'tian'ze 物竞天择
'wu'mian'cheng'jie'ren 无面惩戒人
'wu'mian'shi'zhi'zhe 无面蚀智者
'wu'qi'zhuan'jia 武器专家
'wu'shen'zhi'mao 武神之矛
'wu'song'xian'zhi 雾凇先知
'wu'xia'sheng'jiao 无暇圣角
'wu'you'ni 乌尤尼
'wu'you'ni'yin'dao 乌尤尼引导
'wu'zhuang'ping'min 武装平民
'xi'bo'da'li 希波达里
'xi'fu'si 希芙丝
'xi'lv 希律
'xi'nue'mi'wu 戏虐迷雾
'xi'qu'sheng'ming 吸取生命
'xi'yi'ren'jin'gong 蜥蜴人进攻
'xian'fen 掀坟
'xian'ji'tian'shi 献祭天使
'xian'xue'ji'si 鲜血祭司
'xian'yu'jun'shang 献于君上
'xiang'shang'sheng'zhang 向上生长
