'a'ka'ma'zhi'ying 阿卡玛之影
'hei'shou'qiu'zhang 黑手酋长
'hei'te'lei'er 黑特雷尔
'hei'tie'da'shi 黑铁大师
'hei'xia 黑下
'hei'yao'shi'shao'bing 黑曜石哨兵
'hei'yi'kong'zhi'zhe 黑翼控制者
'hei'yi'shou'wei'zhu'jian'shi 黑衣守卫铸剑师
'hong'yi'zhu'chui'shi 红衣铸锤师
'hu'ku 胡库
'hua'xiang'zhe'sha'de'ji'si 滑翔者沙德基斯
'huan'di'zhe'ha'mu'jia 唤地者哈穆加
'hui'chen'yuan'ling 灰尘怨灵
'hui'huai 毁坏
'huo'er'lei'hei'xu 霍尔雷黑须
'huo'jia'er'fen 霍加尔芬
'huo'ke'ba'shi'gu'de 霍克巴什古德
'huo'yan'mo'de'lei'si 火眼莫德雷斯
'huo'yan'nan'jue'cha'er 火焰男爵查尔
'huo'yan'zhi'wang'de'bao'xiang 火焰之王的宝箱
'ji'e'zhe'ta'la'jia'man 饥饿者塔拉加曼
'ji'er'jia'dan 基尔加丹
'ji'er'ke 吉尔克
'ji'er'li'ke 基尔里克
'ji'er'ni'ge 基尔尼格
'ji'er'tu'nuo'si'de'wei'shi 基尔图诺斯的卫士
'ji'he'na'si 基赫纳斯
'ji'suan'zhe'pa'sa'lei'en 计算者帕萨雷恩
'ji'sui'zhe'jia'xi'ao'si 击碎者加西奥斯
'ji'sui'zhe'ke'li'dan 击碎者克里丹
'ji'xie'ling'zhu'ka'pa'xi'tu'si 机械领主卡帕西图斯
'ji'xie'shi'si'di'li'ge 机械师斯蒂里格
'jia'dun'nan'jue 迦顿男爵
'jia'er 加尔
'jia'jia'en'huo'chui 加加恩火锤
'jia'mo'la 加摩拉
'jia'shi'er 加什尔
'jia'ya'lai 加亚莱
'jia'zi'an 加兹安
'jia'zi'lan'ka 加兹兰卡
'jia'zi'rui'la 加兹瑞拉
'jian'duan'ji'qi'ren 尖端机器人
'jian'hu'zhe'mei'li'ka'er 监护者梅里卡尔
'jian'shi'shou'xi'fa'shi 尖石首席法师
'jian'shi'tong'shuai 尖石统帅
'jian'shi'tu'fu 尖石屠夫
'jian'ta'zhe'ke'lei'ge 践踏者克雷格
'jian'xi'si'wang'qi'shi 见习死亡骑士
'jiang'shi'ma'li'xi'ya 讲师玛丽希亚
'jiao'guan'la'su'wei'ao'si 教官拉苏维奥斯
'jie'de 杰德
'jie'dian'qin'wang'sha'fa'er 节点亲王沙法尔
'jing'ji'chang 竞技场
'ju'qian'lu'ke'ma'er 巨钳鲁克玛尔
'jun'xu'guan'zi'ge'lei'si 军需官兹格雷斯
'ka'er'jia'ci'lei 卡尔加刺肋
'ka'lei'di'si'zhen'zhang 卡雷迪斯镇长
'ka'lei'gou'si 卡雷苟斯
'ka'mu'shen'nu 卡姆深怒
'ka'su'mu'nan'jue 卡苏姆男爵
'ka'zi'luo'jia 卡兹洛加
'kai'er'sa'si'zhu'ri'zhe 凯尔萨斯逐日者
'kan'guan'zhe'suo'en'ge'lin 看管者索恩格林
'kan'shou'zhe'ai'long'han 看守者埃隆汉
'kan'shou'zhe'gai'luo'ji'er 看守者盖罗基尔
'kao'bu'lai'en 考布莱恩
'kao'er'ke 考尔克
'ke'bei'de'ao'ge'mu 可悲的奥戈姆
'ke'er'su'jia'de 克尔苏加德
'ke'lao'en 克劳恩
'ke'lei'shen 克雷什
'ke'li'xun'jue 克里勋爵
'ke'luo'ka'si 克罗卡斯
'ke'luo'ma'gu'si 克洛玛古斯
'ke'luo'shen'huo'quan 克洛什火拳
'ke'pa'de'ta'ge'er 可怕的塔格尔
'ke'su'en 克苏恩
'ke'su'en'zhi'yan 克苏恩之眼
'kong'huo'shi'luo'ge'lei'en 控火师罗格雷恩
'kong'ling'ji'jia 空灵机甲
'ku'er'mo'ke 库尔莫克
'ku'er'ta'zi'ling'zhu 库尔塔兹领主
'ku'lin'na'ke'si 库林纳克斯
'ku'tong'jing'hua 苦痛精华
'kua'ge'mi'la 夸格米拉
'kuang'gong'yue'han'sen 矿工约翰森
'kuang'ye'de'la'zuo'ge'er 狂野的拉佐格尔
'kui'lei'tong'shuai'a'ge'man'qi 傀儡统帅阿格曼奇
'la'ge'na'luo'si 拉格纳罗斯
'la'ge'si'nuo'te 拉戈斯诺特
'la'jia'ke'si'jiang'jun 拉贾克斯将军
'la'ke'zuo 拉克佐
'la'wen'ni'ya 拉文尼亚
'la'yi 拉伊
'la'zha'er 拉扎尔
'lai'en'guo'wang 莱恩国王
'lai'ou'se'la'si'zhi'ying 莱欧瑟拉斯之影
'lai'si'shuang'yu 莱斯霜语
'lai'suo'en 莱索恩
'lan'se'xiong'di'xian'xue'jing'ji'chang 蓝色兄弟鲜血竞技场
'lan'si'li'de 兰斯利德
'lang'wang'nan'du'si 狼王南杜斯
'lao'nai'nai 老奶奶
'le'shi'lei'er 勒什雷尔
'lei'bu'li'si'ku'bi'ge'te 雷布里斯库比格特
'lei'ji'dong'han 雷基冬寒
'lei'na'ta'ji 雷纳塔基
'lei'se'ta'di'si 蕾瑟塔蒂丝
'li'zhua'zhi'wang'ai'ji'si 利爪之王艾吉斯
'lie'feng'lue'duo'zhe 烈风掠夺者
'lie'shi'zhi'wang'luo'ka'da'er 裂石之王洛卡达尔
'lie'shou'a'tu'men 猎手阿图门
'lie'yan'wei'shi'ai'bo'xi'er 烈焰卫士艾博希尔
'ling'hun'zhi'xia 灵魂之匣
'ling'shu'shi'sai'bi'se'lei 灵术师塞比瑟蕾
'ling'xian'chang'gong 灵弦长弓
'lu'wei'luo'shen 鲁维罗什
'lu'xi'fu'long 鲁西弗隆
'lu'zi'lu 卢兹鲁
'luo'kao'er 洛考尔
'luo'mi'ou 罗密欧
'luo'mi'ou'yu'zhu'li'ye 罗密欧与朱丽叶
'luo'ou'sai'bu 洛欧塞布
'luo'ruo'er 洛若尔
'luo'te'ge'li'pu 洛特格里普
'lv'pi'dui'zhang 绿皮队长
'ma'du'ke'bu'lai'ke'bo'er 马杜克布莱克波尔
'ma'er'kong'bu'tu'teng 玛尔恐怖图腾
'ma'ge'la 玛格拉
'ma'ge'man'da 玛格曼达
'ma'ge'mu'si 玛格姆斯
'ma'ke'zha'er'wang'zi 玛克扎尔王子
'ma'la'duo'si 玛拉多斯
'ma'la'ka'si 玛拉卡斯
'ma'li'sha'du'pai'ge 玛里莎杜派格
'ma'se'li'dun 玛瑟里顿
'mai'di'wen 麦迪文
'mai'ke'ni'er'se'ma'pu'la'ge 麦克尼尔瑟玛普拉格
'mai'ke'si'na 迈克斯纳
'mang'yan'lie'shou 盲眼猎手
'mang'yan'shou'wei'ao'du 盲眼守卫奥杜
'mang'yan'xian'zhi 盲眼先知
'mang'yan'zhe'lai'ou'se'la'si 盲眼者莱欧瑟拉斯
'meng'you'zhe'ke'er'li'si 梦游者克尔里斯
'mi'shan 米杉
'mo'a'mu 莫阿姆
'mo'dao'shi'ping'tai 魔导师平台
'mo'er'hui'ti 莫尔灰蹄
'mo'fu'la'si 摩弗拉斯
'mo'jia'er'da'wang 莫加尔大王
'mo'luo'ge'li'ta'chao'zhe 莫洛格里踏潮者
'mo'luo'si 莫罗斯
'mo'mo'er 摩摩尔
'mo'ri'ling'zhu'ka'zha'ke 末日领主卡扎克
'mo'ri'xing'zhe 末日行者
'mo'ri'yu'yan'zhe'da'er'li'an 末日预言者达尔莉安
'mu'er'ta 穆尔塔
'mu'ge'er 穆戈尔
'mu'lu 穆鲁
'mu'si'gao'ge 姆斯高格
'na'luo'la'ke 纳洛拉克
'na'shan 纳杉
'nai'fa'li'an 奈法利安
'nai'ke'lu'mu 耐克鲁姆
'nai'lu'bu'en'kan 奈鲁布恩坎
'nian'xing'fu'she'chen 粘性辐射尘
'nu'yi'zhe'ji'zi'lu'er 奴役者基兹鲁尔
'nuo'ke'sai'en 诺克赛恩
'nuo'te'xi'mu'jia'ke'de'chu'wu'xiang 诺特希姆加克的储物箱
'nv'gong'jue'bu'lao'miu'ke'si 女公爵布劳缪克丝
'nv'gong'jue'ma'lan'de 女公爵玛兰德
'nv'ji'si'de'li'xi'ya 女祭司德莉希亚
'ou'luo'xue'yan 欧罗血眼
'ou'mo'ke'da'wang 欧莫克大王
'pa'qi'wei'ke 帕奇维克
'pa'xing'zhe'he'du'mu 爬行者赫杜姆
'pan'de'mo'nu'si 潘德莫努斯
'pan'ya'jing'ying 盘牙精英
'pan'ya'xun'luo'zhe 盘牙巡逻者
'pao'shou'wei'li 炮手威利
'pi'mu'ji'bu 匹姆吉布
'pi'sa'si 皮萨斯
'po'huai'zhe'ao'ke'suo'er 破坏者奥科索尔
'pu'la'ge 普拉格
'pu'xi'lin 普希林
'qi'qiu'zhe'ye'ge'shen 祈求者耶戈什
'qi'xian'ai'ren 七贤矮人
'qi'xian'zhi'xiang'qi'xian'de'bao'xiang 七贤之箱七贤的宝箱
'qian'fu'zhe'xi'ya'qi'si 潜伏者希亚其斯
'qian'yue'niu'mu 迁跃扭木
'qian'yue'qie'ge'zhe 迁跃切割者
'qiu'zhang'ka'jia'si'ren'quan 酋长卡加斯刃拳
'qu'qi 曲奇
'qun'ti'da'ji'zhe 群体打击者
'ran'shao'di'yu'wei'shi 燃烧地狱卫士
'ri'gui'ji'si 日晷祭司
'ri'gui'mi'tan 日晷密探
'rou'lin'zhe'luo'ka'de 蹂躏者洛卡德
'rui'ci'bian'chi'zhe 锐刺鞭笞者
'rui'wen'dai'er'nan'jue 瑞文戴尔男爵
'sa'fei'long 萨菲隆
'sa'fu'long'xian'qu'zhe 萨弗隆先驱者
'sa'gu'na'er'nan'jue 萨古纳尔男爵
'sa'li'wei'si 萨利维丝
'sa'luo'la'si'nv'wang 萨洛拉丝女王
'sai'lin'huo'xin 塞林火心
'se'er'lin'ka'si'di'nuo'fu'jiao'shou 瑟尔林卡斯迪诺夫教授
'se'fen'di'si 瑟芬迪斯
'se'ke'la'jia'si 瑟克拉加斯
'se'la'ji'si 瑟拉吉斯
'se'lai'de'si'gong'zhu 瑟莱德丝公主
'se'lei'mu'ci'ti 瑟雷姆刺蹄
'se'li'ye'ke'jue'shi 瑟里耶克爵士
'sha'er'tu'la 沙尔图拉
'sha'he'la'si'zhu'mu 莎赫拉丝主母
'sha'nu'gui'zi'shou 沙怒刽子手
'sha'si'la'er 沙斯拉尔
'shan'da'er'sha'lue'zhe 杉达尔沙掠者
'shan'dong'zhe'bu'lai'ka'te 煽动者布莱卡特
'shang'mo 熵魔
'shen'shui'ling'zhu'ka'la'se'lei'si 深水领主卡拉瑟雷斯
'shen'xun'guan'ge'si'ta'en 审讯官格斯塔恩
'shen'xun'yuan'wei'sha'si 审讯员韦沙斯
'shi'ji 石脊
'shi'kong'lie'shou 时空猎手
'shi'kong'ling'zhu'de'ya 时空领主德亚
'shi'shi'zhe'wei'sa'ke 食尸者维萨克
'shou'ge'zhe'ge'ti'ke 收割者戈提克
'shou'ge'zhe'mai'shen'luo'ke 收割者麦什洛克
'shou'lie'zhe'a'ya'mi'si 狩猎者阿亚米斯
'shou'xi'ji'shi'ta'long'ni'ku'si 首席技师塔隆尼库斯
'shuang'zi'huang'di 双子皇帝
'shui'jing'zhi'ya 水晶之牙
'shui'shu'shi'se'si'bi'ya 水术师瑟丝比娅
'shui'zhan'shi'wei'lei'sa 水占师维蕾萨
'si'gu'en'nan'jue 斯古恩男爵
'si'ka'de'nuo'ke'si'wang'zi 斯卡德诺克斯王子
'si'ka'luo'ke'shang'wei 斯卡洛克上尉
'si'ka'mu 斯卡姆
'si'ku'er 斯库尔
'si'ling'yong'shi 死灵勇士
'si'ni'de 斯尼德
'si'ni'de'de'fa'mu'ji 斯尼德的伐木机
'si'qi'shi 四骑士
'si'qi'shi'zhi'xiang 四骑士之箱
'si'ta'la'ge 斯塔拉格
'si'wang'guan'cha'zhe'xi'er'la'ke 死亡观察者希尔拉克
'si'wang'qi'shi'da'ke'lei'er 死亡骑士达克雷尔
'si'wang'zhi'shi 死亡之誓
'su'pu'lei'mu'si 苏普雷姆斯
'su'si 苏斯
'suo'la'ka'huo'guan 索拉卡火冠
'suo'rui'sen'gao'jie'nv'ji'si 索瑞森高阶女祭司
'ta'chao'qian'fu'zhe 踏潮潜伏者
'ta'di'wu'si 塔迪乌斯
'ta'long'xue'mo 塔隆血魔
'ta'wa'luo'ke 塔瓦洛克
'tai'bi'si'di'ya'gong'zhu 泰比斯蒂亚公主
'tai'la'er 泰拉尔
'tai'yang'zhi'jing'gao'di 太阳之井高地
'tan'pu'lu'si 坦普卢斯
'te'di'si'niu'mu 特迪斯扭木
'te'lei'si'tan'xie'ti 特雷斯坦邪蹄
'tian'nu'yu'yan'zhe'su'ke'la'di 天怒预言者苏克拉底
'tie'ji'si'ling 铁脊死灵
'tie'lu'bao'gong'zhu'mo'ai'la'tong'xu 铁炉堡公主茉艾拉铜须
'tie'pi'ren 铁皮人
'tu'fu'la'zuo'ke'lao 屠夫拉佐克劳
'tu'long'zhe'ge'lu'er 屠龙者格鲁尔
'tu'te'ka'shi 图特卡什
'tun'shi'zhe'fen'lu'si 吞噬者芬鲁斯
'tun'shi'zhe'mu'tan'nu'si 吞噬者穆坦努斯
'tun'yan'zhe'bu'lu 吞咽者布鲁
'tun'yan'zhe'la'mu'si'deng 吞咽者拉姆斯登
'tuo'sai'de'lin'wang'zi 托塞德林王子
'tuo'tuo 托托
'wa'jie'fa'zhang 瓦解法杖
'wa'jue'zhuan'jia'shu'er'fu'la'ge 挖掘专家舒尔弗拉格
'wa'le'lei'er 瓦勒雷尔
'wa'si'qi 瓦丝琪
'wa'ta'la'ke'gong'jue 瓦塔拉克公爵
'wa'zi'de 瓦兹德
'wan'qiang'de'fan'ke'rui'si 顽强的范克瑞斯
'wan'yan'zhe 剜眼者
'wang'yu'zhe'jia'ge'ba 亡语者贾格巴
'wei'bing'fen'gu'si 卫兵芬古斯
'wei'bing'mo'er'da 卫兵摩尔达
'wei'bing'si'li'ji'ke 卫兵斯里基克
'wei'er'lai'si'shen'ying 维尔莱斯深影
'wei'ke'duo'nai'fa'li'ao'si 维克多奈法里奥斯
'wei'ke'luo'er'da'di 维克洛尔大帝
'wei'ke'ni'la'si'da'di 维克尼拉斯大帝
'wei'ke'tu'si 维克图斯
'wei'lei'ke 维雷克
'wei'li'ta'en 维利塔恩
'wei'mu 维姆
'wei'mu'sa'la'ke 维姆萨拉克
'wei'sa'lu'si 维萨鲁斯
'wei'xi'du'si 维希度斯
'wei'yu'na'ge'lan 位于纳格兰
'wen'ge 温格
'wen'yi'shi'zhe'nuo'si 瘟疫使者诺斯
'wo'pi'er'da'shi 沃匹尔大师
'wu'ba'zhe'ao'mo'er 无疤者奥摩尔
'wu'ba'zhe'ao'si'li'an 无疤者奥斯里安
'wu'di'de'pan'zuo'er 无敌的潘佐尔
'wu'di'de'si'ka'er 无敌的斯卡尔
'wu'fa'an'xi'de'ku'lou 无法安息的骷髅
'wu'jin'zhi'ren 无尽之刃
'wu'ke'zi'sha'ding 乌克兹沙顶
'wu'luo'ke 乌洛克
'wu'po 巫婆
'wu'ran'de'hai'du'si'zhao'ya 污染的海度斯爪牙
'wu'su'lei 乌苏雷
'wu'tou'qi'shi 无头骑士
'wu'ye 午夜
'wu'yi'zu'mu'la'en 巫医祖穆拉恩
'xi'si'lei'er 西斯雷尔
'xi'wa'lai'en'nan'jue 席瓦莱恩男爵
'xiang'wei'bi'lei 相位壁垒
'xie'du'zhe'sa'la'de'lei 亵渎者萨拉德雷
'xie'e'de'ka'sa'ka'zi 邪恶的卡萨卡兹
'xing'shu'shi'ka'bo'ni'ya 星术师卡波妮娅
'xiu'xing'zhe'gao'luo'shen 修行者高罗什
'xu'kong'you'long 虚空幽龙
'xue'fa'shi'sa'er'nuo'si 血法师萨尔诺斯
'xue'gu'kui'lei 血骨傀儡
'xue'ling'zhu'man'duo'ji'er 血领主曼多基尔
'xue'se'shi'zi'jun'zhi'hui'guan'mo'ge'lai'ni 血色十字军指挥官莫格莱尼
'xue'wei'shi'bo'lu'en 血卫士伯鲁恩
'xun'jiao'zhe'sai'ka 殉教者塞卡
'xun'quan'zhe'ge'lei'bu'ma'er 驯犬者格雷布玛尔
'xun'quan'zhe'luo'ke'xi 驯犬者洛克希
'xun'shi'zhe'jia'ge'ma 巡视者加戈玛
'ya'er'ji'gong'zhu 亚尔基公主
'yan'wang'zhu'hou 烟网蛛后
'yao'shu'ling'zhu'ma'la'ka'si 妖术领主玛拉卡斯
'yao'shu'shi'jin'du 妖术师金度
'ye'zhi'yan 夜之魇
'yi'lan'ni'ku'si'de'yin'ying 伊兰尼库斯的阴影
'yi'li'da'lei'yi'hui 伊利达雷议会
'yi'li'dan'nu'feng 伊利丹怒风
'yi'lin'na'an'mu 伊琳娜暗木
'yi'lu'xi'ya'ba'luo'fu 伊露希亚巴罗夫
'yi'mo'ta'er 伊莫塔尔
'yi'sa'li'en 伊萨利恩
'yi'sen'de'lei 伊森德雷
'yi'sen'di'ao'si 伊森迪奥斯
'yong'sheng'zhe'wo'er'dan 永生者沃尔丹
'yong'xing'de'ai'xi'er 永醒的艾希尔
'you'chai'ma'long 邮差马龙
'yu'long 玉龙
'yu'si'la 鱼斯拉
'yu'wang'jing'hua 欲望精华
'yu'yan'zhe'jia'ma'lan 预言者迦玛兰
'yu'yan'zhe'si'ke'la'mu 预言者斯克拉姆
'yu'yan'zhe'si'ke'rui'si 预言者斯克瑞斯
'yu'zhou'guan'zhu'zhe 宇宙灌注者
'ze'ji'si 泽基斯
'ze'lei'li'si 泽雷利斯
'zhan'chui'yong'shi 战槌勇士
'zhan'di'si'ba'luo'fu 詹迪斯巴罗夫
'zhan'zheng'shi'zhe'wo'mu'luo'ge 战争使者沃姆罗格
'zhao'di'ling'zhu'mu'sai'lei'ke 沼地领主穆塞雷克
'zhao'huan'zhe'wo'er'mu 召唤者沃尔姆
'zhen'jie'sheng'nv 贞节圣女
'zhi'hui'guan'sa'la'ni'si 指挥官萨拉妮丝
'zhi'hui'guan'si'pu'lin'wa'er 指挥官斯普林瓦尔
'zhi'hui'guan'wo'en 指挥官沃恩
'zhi'zao'zhe 制造者
'zhong'quan'xian'sheng 重拳先生
'zhu'li'ye 朱丽叶
'zhu'zai'la'mu'ta'si 主宰拉姆塔斯
'zi'you'de'se'lei'kai'si 自由的瑟雷凯斯
'zu'er'fa'la'ke'zhen'wang'ying'xiong 祖尔法拉克阵亡英雄
'zu'er'jin 祖尔金
'zu'luo 祖罗
'zu'luo'er 祖罗尔
