'an'zhuang'jiao 安装角
'liu'ru'bi 流入比
'lu'yang 陆洋
'luo'ke'shu 洛克数
'luo'xuan'jiang 螺旋桨
'mu'zhi'hun'he'shi'jiang'ye 木质混合式桨叶
'nan'hang 南航
'nan'jing'hang'kong'hang'tian'da'xue 南京航空航天大学
'niu'du 扭度
'niu'ju'xi'shu 扭矩系数
'pa'sheng 爬升
'pa'sheng'xiu'zheng'xi'shu 爬升修正系数
'pian'zhi'jiao'shi 偏置铰式
'qi'dong'xian 气动弦
'qi'dong'ying'jiao 气动迎角
'qi'liu'fen'li'jie'xian 气流分离界限
'qian'jin'bi 前进比
'qian'xing'jiang'ye 前行桨叶
'ru'ke'fu'si'ji 儒柯夫斯基
'ru'shi'xuan'yi 儒式旋翼
'sao'lue'mian'ji 扫掠面积
'sheng'li'te'xing 升力特性
'sheng'zu'bi 升阻比
'shi'du 实度
'shi'su'chan'zhen 失速颤振
'shui'ping'jiao 水平铰
'shun'shi'zeng'ju 瞬时增距
'song'yan'guo 宋彦国
'sun'chuan'wei 孙传伟
'tang'zheng'fei 唐正飞
'te'xing'you'dao'su'du 特性诱导速度
'te'zheng'pou'mian 特征剖面
'wai'bu'te'xing'qu'xian 外部特性曲线
'wang'hua'ming 王华明
'wang'shi'cun 王适存
'wei'ji 尾迹
'wei'liang 尾梁
'wei'mian 尾面
'wo'huan'zhuang'tai 涡环状态
'wo'liu 涡流
'wo'liu'li'lun 涡流理论
'wo'lun'zhou'fa'dong'ji 涡轮轴发动机
'wo'pan 涡盘
'wo'shu 涡束
'wo'xi 涡系
'wo'xian 涡线
'wu'jiao'shi 无铰式
'wu'yin'ci'hua 无因次化
'xia'pin'qi 夏品奇
'xia'xi'jiao 下洗角
'xia'xi'liu 下洗流
'xiang'dui'xiao'lv 相对效率
'xie'liu 斜流
'xing'zu 型阻
'xing'zu'gong'lv'xiu'zheng'xi'shu 型阻功率修正系数
'xu'guo'hua 徐国华
'xu'hang'shi'jian 续航时间
'xu'jin'fa 徐锦法
'xu'yong'gong'lv 需用功率
'xu'yong'gong'lv'xiu'zheng'xi'shu 需用功率修正系数
'xuan'ting 悬停
'xuan'ting'sheng'xian 悬停升限
'xuan'yi'fei'xing'qi 旋翼飞行器
'xuan'yi'gou'zao'ying'jiao 旋翼构造迎角
'xuan'yi'huan'xiang'shi 旋翼换向式
'xuan'yi'shi'du 旋翼实度
'xuan'zhuan'zu'li 旋转阻力
'ya'li'zhong'xin 压力中心
'yang'wei'dong 杨卫东
'ye'duan'sun'shi'xi'shu 叶端损失系数
'ye'jian 叶尖
'ye'su 叶素
'ye'su'li'lun 叶素理论
'yi'xing 翼型
'yi'xing'huan'liang 翼型环量
'ying'feng'mian'ji 迎风面积
'you'dao'gong'lv 诱导功率
'you'dao'su'du 诱导速度
'you'li'su'du 有利速度
'you'xiao'gong'lv 有效功率
'yuan'xing'wo'pan 圆形涡盘
'yuan'zhu'wo'mian 圆柱涡面
'zeng'zhong'xi'shu 增重系数
'zhao'qi'jun 招启军
'zheng'liu'zhao 整流罩
'zhi'sheng'ji 直升机
'zhong'liang'ma'li'bi 重量马力比
'zhong'xin'jiao'shi 中心铰式
'zhong'yang'wo'shu 中央涡束
'zhou'liu 轴流
'zhou'tao 轴套
'zhou'xiang'su'du 周向速度
'zhu'qing'hua 朱清华
'zhu'zheng 朱正
'zhuan'lie'dian 转捩点
'zhui'du'jiao 锥度角
'zi'dong'qing'xie'qi 自动倾斜器
'zi'you'wo 自由涡
'zi'you'wo'lun 自由涡轮
'zi'zhuan'fei'xing 自转飞行
'zi'zhuan'xia'hua 自转下滑
'zi'zhuan'zhuo'lu 自转着陆
'zong'ju 总距
'zong'lie'shi 纵列式
'zu'li'fa'san'ma'he'shu 阻力发散马赫数
'zu'li'te'xing 阻力特性
'zui'jing'ji'zhuang'tai 最经济状态
'zui'xiao'xia'hua'jiao 最小下滑角
'zui'xiao'xia'jiang'lv 最小下降率
'zui'you'li'zhuang'tai 最有利状态
