'ba'gai'ge'fang'zai'shou'wei 把改革放在首位
'gai'ge'shi'she'hui'zhu'yi'zhi'du'de'zi'wo'wan'shan 改革是社会主义制度的自我完善
'gai'ge'wai'mao'ti'zhi 改革外贸体制
'gai'zao'cheng'wei'zi'shi'qi'li'de'lao'dong'zhe 改造成为自食其力的劳动者
'gao'ji'nong'ye'sheng'chan'he'zuo'she 高级农业生产合作社
'ge'ti'jing'ying'nong'ye 个体经营农业
'ge'ti'shou'gong'ye'lao'dong'zhe 个体手工业劳动者
'gong'shang'jie 工商界
'gong'shang'ye'zhe 工商业者
'gong'si'he'ying 公私合营
'gong'zi'ti'zhi'gai'ge 工资体制改革
'gu'chan'ding'xi 估产定息
'gu'li'fu'nong 孤立富农
'guo'jia'zi'ben'zhu'yi'cheng'fen 国家资本主义成分
'guo'ku'quan 国库券
'guo'min'jing'ji'de'liang'xing'xun'huan 国民经济的良性循环
'guo'nei'wai'de'jing'ji'ji'shu'jiao'liu 国内外的经济技术交流
'he'li'tiao'zheng'chan'ye'jie'gou 合理调整产业结构
'he'xie'she'hui 和谐社会
'he'zuo'she'ji'ti'cheng'fen 合作社集体成分
'he'zuo'xiao'zu 合作小组
'hong'guan'guan'li 宏观管理
'hong'guan'tiao'jie 宏观调节
'hu'zhu'zu 互助组
'hua'fen'jie'ji 划分阶级
'ji'gou'gai'ge 机构改革
'ji'hua'ti'zhi'gai'ge 计划体制改革
'jia'ge'gai'ge 价格改革
'jia'ge'tiao'zheng 价格调整
'jian'chi'du'li'zi'zhu'de'dui'wai'zheng'ce 坚持独立自主的对外政策
'jian'die 间谍
'jian'yi'bu'ba 坚毅不拔
'jian'zheng'gai'ge 简政改革
'jiao'yu'ti'zhi'gai'ge 教育体制改革
'jing'ji'de'chi'xu'wen'ding'zeng'zhang 经济的持续稳定增长
'jing'ji'ti'zhi'gai'ge 经济体制改革
'jing'ji'xiao'yi 经济效益
'jun'shi'fen'jie'xian 军事分界线
'jun'shi'ting'zhan'wei'yuan'hui 军事停战委员会
'kai'tuo'qian'jin 开拓前进
'kang'mei'yuan'chao'yun'dong 抗美援朝运动
'ke'ji'ti'zhi'gai'ge 科技体制改革
'lao'dong'qun'zhong'ji'ti'suo'you'zhi 劳动群众集体所有制
'lao'dong'zhi'du'de'gai'ge 劳动制度的改革
'lian'he'zhong'nong 联合中农
'nong'cun'ren'min'gong'she'hua'yun'dong 农村人民公社化运动
'nong'ye'he'zuo'hua'yun'dong 农业合作化运动
'nu'li'jian'she'gao'du'de'she'hui'zhu'yi'min'zhu 努力建设高度的社会主义民主
'pu'bian'lun'xun'gan'bu 普遍轮训干部
'pu'zhang'lang'fei 铺张浪费
'qi'wu'ji'hua 七五计划
'qi'yue 契约
'quan'hang'ye'gong'si'he'ying 全行业公私合营
'quan'mian'gui'hua'jia'qiang'ling'dao 全面规划加强领导
'ren'cai'bei'chu 人才辈出
'san'ba'xian 三八线
'san'fan'yun'dong 三反运动
'san'ge'dai'biao'si'xiang 三个代表思想
'shang'su'shu 上诉书
'she'hui'zhu'yi'fa'zhi'de'jian'she 社会主义法制的建设
'she'hui'zhu'yi'ge'ming'he'she'hui'zhu'yi'jian'she 社会主义革命和社会主义建设
'she'hui'zhu'yi'guo'ying'cheng'fen 社会主义国营成分
'she'hui'zhu'yi'jian'she'zong'lu'xian 社会主义建设总路线
'she'hui'zhu'yi'jiao'yu'yun'dong 社会主义教育运动
'she'hui'zhu'yi'suo'you'zhi 社会主义所有制
'shen'gan 审干
'shi'he'wo'guo'guo'qing'de'fa'zhan'zhan'lue 适合我国国情的发展战略
'shi'she'hui'zhu'yi'min'zhu'zhi'du'hua'fa'lv'hua 使社会主义民主制度化法律化
'shi'yong'he'ti'ba'gan'bu 使用和提拔干部
'shou'gong'ye'sheng'chan'he'zuo'she 手工业生产合作社
'su'fan'yun'dong 肃反运动
'tan'bai'cong'kuan'kang'ju'cong'yan 坦白从宽抗拒从严
'tan'wu'fu'hua 贪污腐化
'tang'yi'pao'dan 糖衣炮弹
'tiao'zheng'chan'ye'jie'gou 调整产业结构
'ting'zhan'tan'pan 停战谈判
'tong'gou'bao'xiao 统购包销
'tong'gou'tong'xiao 统购统销
'tou'ji'dao'ba 投机倒把
'tu'di'gai'ge'fa 土地改革法
'tu'di'gai'ge'yun'dong 土地改革运动
'tu'di'ru'gu'tong'yi'jing'ying 土地入股统一经营
'tu'fei 土匪
'tuan'jie'pi'ping'tuan'jie 团结批评团结
'wei'li'shi'tu 唯利是图
'wei'tuo'jia'gong'ji'hua'ding'huo 委托加工计划定货
'wei'tuo'jing'xiao'dai'xiao 委托经销代销
'wen'hua'da'ge'ming 文化大革命
'wen'ming'li'mao'yue 文明礼貌月
'wu'fan'yun'dong 五反运动
'xi'jin'ping'xin'shi'dai 习近平新时代
'xian'dai'gong'ye 现代工业
'xian'dai'guo'fang 现代国防
'xian'dai'ke'xue'ji'shu 现代科学技术
'xian'dai'nong'ye 现代农业
'xiao'sheng'chan'zhe'ge'ti'cheng'fen 小生产者个体成分
'yi'cheng'shi'wei'zhong'dian'de'jing'ji'ti'zhi'gai'ge 以城市为重点的经济体制改革
'yi'kao'pin'xia'zhong'nong 依靠贫下中农
'yi'nong'cun'wei'zhong'dian'de'jing'ji'ti'zhi'gai'ge 以农村为重点的经济体制改革
'you'fan'bi'su'you'cuo'bi'jiu 有反必肃有错必纠
'zeng'qiang'quan'min'suo'you'zhi'qi'ye'de'huo'li 增强全民所有制企业的活力
'zhen'fen'jing'shen 振奋精神
'zhen'ya'fan'ge'ming'yun'dong 镇压反革命运动
'zhen'ya'yu'kuan'da'xiang'jie'he'de'zheng'ce 镇压与宽大相结合的政策
'zheng'dun'si'xiang'zuo'feng'he'gong'zuo'zuo'feng 整顿思想作风和工作作风
'zheng'feng'yun'dong 整风运动
'zhong'guo'meng 中国梦
'zhong'guo'ren'min'zhi'yuan'jun 中国人民志愿军
'zhong'hua'ren'min'gong'he'guo'cheng'li 中华人民共和国成立
'zi'ben'zhu'yi'cheng'fen 资本主义成分
'zi'fang'ren'yuan'zi'ben'jia'ji'zi'fang'dai'li'ren 资方人员资本家及资方代理人
'zi'ran'zai'hai 自然灾害
'zuo'qing'cuo'wu 左倾错误
