'a'ba 阿爸
'bei'miu'bao'ke'meng 悖谬宝可梦
'bei'pa'di'ya'hai 北帕底亚海
'bei'shang'chao'mian 北上炒面
'bei'shang'de'bao'ke'meng 北上的宝可梦
'bei'shang'gui'mian'zu 北上鬼面组
'bei'shang'jie'dao 北上街道
'bei'shang'ma'wei 北上马尾
'bei'shang'shu'fa 北上束发
'bei'shang'tu'jian 北上图鉴
'bei'shang'xiang 北上乡
'bei'shang'yuan'sheng'qu 北上原生区
'bei'shang'zhi'zheng 悲伤之证
'bei'shang'zhong'xin 北上中心
'bei'shi'po 被识破
'bei'shui'yi'zhan 背水一战
'bei'tou 背头
'bei'xia'mi 贝夏米
'bei'zhuang 杯装
'bei'zi 杯子
'ben'ci'de'fen'shu 本次的分数
'ben'lei'bao'ke'meng 奔雷宝可梦
'ben'neng'zhi'zheng 本能之证
'ben'pao 奔跑
'ben'shu'de'zan'zhu'fang 本书的赞助方
'ben'tai'lang 奔太郎
'ben'zhuo 笨拙
'bi'ai'xin 比爱心
'bi'ba 比巴
'bi'ba'guo 比巴果
'bi'bei'wu'qi 臂贝武器
'bi'bi'niao 比比鸟
'bi'cao'mian'ju 碧草面具
'bi'chui 臂锤
'bi'de 彼得
'bi'guan 闭关
'bi'ke'ti'ni 比克提尼
'bi'lei'zhen 避雷针
'bi'li'ji'weng 毕力吉翁
'bi'li'ji'weng'de'dian'xin 毕力吉翁的点心
'bi'liu 笔柳
'bi'lv'shi'ban 碧绿石板
'bi'nan'bei'bao 避难背包
'bi'sai'gui'ze 比赛规则
'bi'ye 比耶
'bi'zhi'shi'shang'ming'ren'ka 碧之时尚名人卡
'bian'fu'bao'ke'meng 蝙蝠宝可梦
'bian'geng'zhao'pian 变更照片
'bian'hao'pai'xu 编号排序
'bian'huan'zi'ru 变幻自如
'bian'se 变色
'bian'se'bao'ke'meng 变色宝可梦
'bian'se'xi 变涩蜥
'bian'shen 变身
'bian'shen'bao'ke'meng 变身宝可梦
'bian'shen'zhe 变身者
'bian'xiao 变小
'bian'xie 便鞋
'bian'yin'long 变隐龙
'bian'ying 变硬
'bian'ying 扁樱
'bian'ying'guo 扁樱果
'bian'yuan 变圆
'biao'ba 标靶
'biao'ji 标记
'bie'ming 别名
'bie'zhong'xing'tai 别种形态
'bing'bao 冰宝
'bing'bao 冰雹
'bing'bao'de'bing 冰宝的冰
'bing'bing'shuang'dong 冰冰霜冻
'bing'chui 冰锤
'bing'dong'bao'ke'meng 冰冻宝可梦
'bing'dong'fu'te 冰冻伏特
'bing'dong'guang'shu 冰冻光束
'bing'dong'ka'dai 冰冻卡带
'bing'dong'pi'fu 冰冻皮肤
'bing'dong'quan 冰冻拳
'bing'dong'ya 冰冻牙
'bing'dong'zhi'feng 冰冻之风
'bing'dong'zhi'qu 冰冻之躯
'bing'e'bao'ke'meng 冰蛾宝可梦
'bing'feng'shi'jie 冰封世界
'bing'gui'dao'guan 冰柜道馆
'bing'gui'hu 冰鬼护
'bing'gui'hu'jin'hua'shi 冰鬼护进化石
'bing'gui'zhen 冰柜镇
'bing'kuai'bao'ke'meng 冰块宝可梦
'bing'leng'shi'xian 冰冷视线
'bing'leng'yan'shi 冰冷岩石
'bing'li 冰砾
'bing'lin'fen 冰鳞粉
'bing'long'bao'ke'meng 冰龙宝可梦
'bing'luo'bo 冰萝卜
'bing'qi'bao'ke'meng 冰鳍宝可梦
'bing'qi'e 冰砌鹅
'bing'qi'e'de'yu'rong 冰砌鹅的羽绒
'bing'qi'lin 冰淇淋
'bing'qi'lin'tan 冰淇淋摊
'bing'qiu 冰球
'bing'shan'bao'ke'meng 冰山宝可梦
'bing'shan'feng 冰山风
'bing'shou'ji'ke 冰手机壳
'bing'tai'jing'sui'kuai 冰太晶碎块
'bing'xi 冰息
'bing'xiang 冰箱
'bing'xuan 冰旋
'bing'xue'bao'ke'meng 冰雪宝可梦
'bing'xue'cun'chu'die 冰雪存储碟
'bing'xue'hua'wen 冰雪花纹
'bing'xue'ju'long 冰雪巨龙
'bing'xue'long 冰雪龙
'bing'yan'guai 冰岩怪
'bing'yi'bu 冰伊布
'bing'zhi'bao'shi 冰之宝石
'bing'zhi'shi 冰之石
'bing'zhu'shi'ban 冰柱石板
'bing'zhu'zhui'ji 冰柱坠击
'bing'zhui 冰锥
'bo'bo 波波
'bo'bo'de'tang'guo 波波的糖果
'bo'bo'tou 波波头
'bo'dang'shui 波荡水
'bo'dao'bao'ke'meng 波导宝可梦
'bo'dao'dan 波导弹
'bo'dong'chong 波动冲
'bo'er'duo'hong 波尔多红
'bo'er'kai'ni'en 波尔凯尼恩
'bo'fang'qi 播放器
'bo'fang'yin'yue 播放音乐
'bo'huang'zi 波皇子
'bo'jia'man 波加曼
'bo'jin'zong 铂金棕
'bo'ke'bi 波克比
'bo'ke'ji'gu 波克基古
'bo'ke'ji'si 波克基斯
'bo'lan'lei 玻兰蕾
'bo'le'mao 博勒帽
'bo'ming 搏命
'bo'pi 波琵
'bo'ping'dao'guan 玻瓶道馆
'bo'ping'shi 玻瓶市
'bo'pu'hai'tun 波普海豚
'bo'pu'hai'tun'de'nian'ye 波普海豚的黏液
'bo'ren 博人
'bo'sha 拨沙
'bo'shi'de'mian'zhao 博士的面罩
'bo'shi'de'xin 博士的信
'bo'shi'ke'duo'la 波士可多拉
'bo'shi'ke'duo'la'jin'hua'shi 波士可多拉进化石
'bo'shi'yan'jing 博识眼镜
'bo'wa'lei 波瓦蕾
'bo'wen'bao'ke'meng 波纹宝可梦
'bo'wu'chang'di 薄雾场地
'bo'wu'qiu 薄雾球
'bo'wu'zha'lie 薄雾炸裂
'bo'wu'zhi'zao'zhe 薄雾制造者
'bo'wu'zhong'zi 薄雾种子
'bo'xin 博信
'bo'xue 拨雪
'bo'yi'bao'ke'meng 薄翼宝可梦
'bu'bian'zhi'shi 不变之石
'bu'bo 布拨
'bu'bo'de'mao 布拨的毛
'bu'bu'zhuo 不捕捉
'bu'can'jia 不参加
'bu'chang'chu'xian 不常出现
'bu'chong'bao'ke'meng 捕虫宝可梦
'bu'chun'zhi'zheng 不纯之证
'bu'dao'weng'bao'ke'meng 不倒翁宝可梦
'bu'dui'chen'bo'bo'tou 不对称波波头
'bu'fu'shu 不服输
'bu'jie'shou 不接收
'bu'kan 不看
'bu'li'ka'long 布里卡隆
'bu'li'mu'wen 布莉姆温
'bu'liang'wa 不良蛙
'bu'liang'wa'de'du'su 不良蛙的毒素
'bu'lu 布鲁
'bu'lu'de'mao 布鲁的毛
'bu'lu'huang 布鲁皇
'bu'mian 不眠
'bu'na'shi'cao 怖纳噬草
'bu'nao'zhi'jian 不挠之剑
'bu'neng'shi'yong 不能使用
'bu'neng'xue 不能学
'bu'ou'bao'ke'meng 布偶宝可梦
'bu'pa'ren'de 不怕人的
'bu'qu'ni'cheng 不取昵称
'bu'qu'zhi'dun 不屈之盾
'bu'qu'zhi'xin 不屈之心
'bu'ren'bu'yi 不仁不义
'bu'rong'bing 不融冰
'bu'shao'shu 步哨鼠
'bu'she'zhi 不设置
'bu'shou'jia 捕兽夹
'bu'si'hu 怖思壶
'bu'tu'bo 布土拨
'bu'wang'ji 不忘记
'bu'wang'qiu 捕网球
'bu'wei'hu'ju 部位护具
'bu'xian'shi 不显示
'bu'xie'dai 不携带
'bu'yao 不要
'bu'ying'bao'ke'meng 捕蝇宝可梦
'bu'yun'xu'xie'dai 不允许携带
'bu'zhen'zhi'zheng 不振之证
'bu'zhuo 捕捉
'bu'zhuo'a'luo'la'de'yang'zi'ba 捕捉阿罗拉的样子吧
'bu'zhuo'kou'dai 捕捉口袋
'bu'zhuo'peng'peng 捕捉碰碰
'bu'zuo'geng'gai'bing'jie'shu 不作更改并结束
'bu'zuo'geng'gai'bing'yi'dong 不作更改并移动
'cai'bao'chuan'shuo 财宝传说
'cai'dan 菜单
'cai'fen'die 彩粉蝶
'cai'feng'bao'ke'meng 裁缝宝可梦
'cai'hong 彩虹
'cai'hong'shi'ban 彩虹石板
'cai'liao'dai 材料袋
'cai'mi 采蜜
'cai'se'duan'wa 彩色短袜
'cai'se'yin'xing'yan'jing 彩色隐形眼镜
'cai'ta 踩踏
'cai'ying 踩影
'can'dian'shuo'ming 餐点说明
'can'jia 参加
'can'jia'cheng'yuan 参加成员
'can'jia'de'dui'zhan'dui'wu 参加的对战队伍
'can'jia'dui'wu 参加队伍
'can'jia'ji'you'quan 参加集友圈
'can'jia'le'huo'dong'de 参加了活动的
'can'jia'liao'li 参加料理
'can'jia'xiao'nei'zui'qiang'da'sai'ba 参加校内最强大赛吧
'can'jia'zu'bie 参加组别
'cang'bai'si'ming 苍白嘶鸣
'cang'bao'li'shu 藏饱栗鼠
'cang'ku'yao'shi 仓库钥匙
'cang'ma'ran'te 藏玛然特
'cang'xiang 苍响
'cang'yan'ren'gui 苍炎刃鬼
'cao'can 草蚕
'cao'can'guo 草蚕果
'cao'chang 操场
'cao'cong'yi'zi 草丛椅子
'cao'di 草笛
'cao'hou'bao'ke'meng 草猴宝可梦
'cao'lv'se'bao'zhu 草绿色宝珠
'cao'mao 草帽
'cao'mao 草猫
'cao'mao'bao'ke'meng 草猫宝可梦
'cao'mei'bao'bing 草莓刨冰
'cao'mei'bing'qi'lin 草莓冰淇淋
'cao'mei'pian 草莓片
'cao'mei'qiao'ke'li'ke'li'bing 草莓巧克力可丽饼
'cao'mei'tang'shi 草莓糖饰
'cao'mei'xian'nai'you'ke'li'bing 草莓鲜奶油可丽饼
'cao'miao'gui 草苗龟
'cao'mu'suo'yi 草木蓑衣
'cao'she'bao'ke'meng 草蛇宝可梦
'cao'shou'ji'ke 草手机壳
'cao'tai'jing'shou'ji'ke 草太晶手机壳
'cao'tai'jing'sui'kuai 草太晶碎块
'cao'xian'zhu 操陷蛛
'cao'yu'bao'ke'meng 草羽宝可梦
'cao'yuan'bao'ke'meng 草原宝可梦
'cao'yuan'guang'chang 草原广场
'cao'yuan'qu 草原区
'cao'yuan'qu'de'huan'jing'zheng'zhi 草原区的环境整治
'cao'zhi'bao'shi 草之宝石
'cao'zhi'mao'pi 草之毛皮
'cao'zhi'shi'yue 草之誓约
'cao'zong'bao'ke'meng 操纵宝可梦
'cao'zuo'fang'fa 操作方法
'ce'xing'xiao'dui'ji'di 策星小队基地
'ceng'ceng'lian'jia 蹭蹭脸颊
'ceng'jing'hun'shen'ji'rou'de 曾经浑身肌肉的
'ceng'jing'shi'ming'xing'de 曾经是明星的
'ceng'shi'bao'zhu'de 曾是宝主的
'ceng'shi'ou'xiang'de 曾是偶像的
'ceng'shi'tou'mu'de 曾是头目的
'cha'bu'duo'wa'wa 差不多娃娃
'cha'bu'duo'wa'wa'jin'hua'shi 差不多娃娃进化石
'cha'feng 查封
'cha'hui 茶会
'cha'jue 察觉
'cha'kan 查看
'cha'kan'da'sai'shu'ju 查看大赛数据
'cha'kan'dao'ju 查看道具
'cha'kan'de'neng'li 查看的能力
'cha'kan'dong'zuo 查看动作
'cha'kan'dui'fang'neng'li 查看对方能力
'cha'kan'dui'shou 查看对手
'cha'kan'dui'wu 查看队伍
'cha'kan'fen'shu 查看分数
'cha'kan'geng'duo 查看更多
'cha'kan'gui'ze 查看规则
'cha'kan'ji'lu 查看纪录
'cha'kan'jiang'zhang 查看奖章
'cha'kan'neng'li 查看能力
'cha'kan'qi'ta'zhao'shi 查看其他招式
'cha'kan'ren'wu 查看任务
'cha'kan'shi'cai'he'xiao'guo 查看食材和效果
'cha'kan'shi'pu'jie'shuo 查看食谱解说
'cha'kan'ti'shi 查看提示
'cha'kan'xiang'qing 查看详情
'cha'kan'zhao'pian 查看照片
'cha'kan'zhao'shi 查看招式
'cha'kan'zhuang'tai 查看状态
'cha'san'ming'zhi'qian 插三明治签
'cha'zi'fu 叉字蝠
'chan'chu'wang 蟾蜍王
'chan'hong'he 缠红鹤
'chan'hong'he'de'yu'rong 缠红鹤的羽绒
'chan'rao 缠绕
'chan'ren'bao'ke'meng 缠人宝可梦
'chan'xian'rong'yuan 颤弦蝾螈
'chang'an 长按
'chang'an'yi'tiao'guo 长按以跳过
'chang'an'yi'zhua'qi 长按以抓起
'chang'bi'bao'ke'meng 长鼻宝可梦
'chang'bi'ye 长鼻叶
'chang'bo'bo'tou 长波波头
'chang'chi'ou 长翅鸥
'chang'chi'ou'de'yu'mao 长翅鸥的羽毛
'chang'er'tu 长耳兔
'chang'er'tu'jin'hua'shi 长耳兔进化石
'chang'fan'diao 唱反调
'chang'ge 唱歌
'chang'gu'bu 长谷部
'chang'gun'mian'bao 长棍面包
'chang'hao 长嚎
'chang'jian'shi 常见石
'chang'jian'yu'chi'tang'fu'jin 常见于池塘附近
'chang'jian'yu'da'guo'hu 常见于大锅湖
'chang'jian'yu'dong'ku 常见于洞窟
'chang'jing'bao'ke'meng 长颈宝可梦
'chang'jing'jing'tou'she'zhi 场景镜头设置
'chang'kong'bao'zhu 长空宝主
'chang'kuai'jiang'zhang 畅快奖章
'chang'mao'gou 长毛狗
'chang'mao'ju'mo 长毛巨魔
'chang'mao'zhu 长毛猪
'chang'qu'gan'bao'ke'meng 长躯干宝可梦
'chang'shou'bao'ke'meng 长寿宝可梦
'chang'tui'bao'ke'meng 长腿宝可梦
'chang'wei'bao'ke'meng 长尾宝可梦
'chang'wei'guai'shou 长尾怪手
'chang'wei'guai'shou'de'mao 长尾怪手的毛
'chang'wei'huo'hu 长尾火狐
'chao'bei'bi 朝北鼻
'chao'bei'bi'de'sui'pian 朝北鼻的碎片
'chao'chao'zhu 炒炒猪
'chao'duan'fa 超短发
'chao'huai'xing 超坏星
'chao'ji 超级
'chao'ji'a'bo'suo'lu 超级阿勃梭鲁
'chao'ji'ai'lu'lei'duo 超级艾路雷朵
'chao'ji'ban'ji'la'si 超级班基拉斯
'chao'ji'bao'fei'long 超级暴飞龙
'chao'ji'bao'li'long 超级暴鲤龙
'chao'ji'bao'xue'wang 超级暴雪王
'chao'ji'bing'gui'hu 超级冰鬼护
'chao'ji'bo'shi'ke'duo'la 超级波士可多拉
'chao'ji'cha'bu'duo'wa'wa 超级差不多娃娃
'chao'ji'chang'er'tu 超级长耳兔
'chao'ji'chao'meng 超级超梦
'chao'ji'cheng'shu'zi'wei'san'ming'zhi 超级成熟滋味三明治
'chao'ji'chuan'mao 超级船锚
'chao'ji'da'bi'niao 超级大比鸟
'chao'ji'da'gang'she 超级大钢蛇
'chao'ji'da'zhen'feng 超级大针蜂
'chao'ji'da'zui'wa 超级大嘴娃
'chao'ji'dai'ke'shou 超级呆壳兽
'chao'ji'dai'shou 超级袋兽
'chao'ji'dan'san'ming'zhi 超级蛋三明治
'chao'ji'di'an'xi 超级蒂安希
'chao'ji'dian'long 超级电龙
'chao'ji'dian'xin'san'ming'zhi 超级点心三明治
'chao'ji'diao'zhui 超级吊坠
'chao'ji'dou'fu'san'ming'zhi 超级豆腐三明治
'chao'ji'fa'she'qi 超级发射器
'chao'ji'fen 超极粉
'chao'ji'ga'li'mian'tiao'san'ming'zhi 超级咖喱面条三明治
'chao'ji'geng'gui 超级耿鬼
'chao'ji'gou'hun'yan 超级勾魂眼
'chao'ji'guo'jiang'san'ming'zhi 超级果酱三明治
'chao'ji'han'bao'pai'san'ming'zhi 超级汉堡排三明治
'chao'ji'hao'hua'san'ming'zhi 超级豪华三明治
'chao'ji'he'la'ke'luo'si 超级赫拉克罗斯
'chao'ji'hei'lu'jia 超级黑鲁加
'chao'ji'hu'di 超级胡地
'chao'ji'hu'wan 超级护腕
'chao'ji'hua'sheng'jiang'san'ming'zhi 超级花生酱三明治
'chao'ji'hua'shi'yi'long 超级化石翼龙
'chao'ji'huan 超级环
'chao'ji'huo'tui'san'ming'zhi 超级火腿三明治
'chao'ji'huo'yan'ji 超级火焰鸡
'chao'ji'ji'ben'kuan'san'ming'zhi 超级基本款三明治
'chao'ji'jiao'ji 超级角击
'chao'ji'jiao'zhuo 超级脚镯
'chao'ji'ju'bao'ke'meng 超极巨宝可梦
'chao'ji'ju'di'yu'mie'yan 超极巨地狱灭焰
'chao'ji'ju'gang'tie'zhen'fa 超极巨钢铁阵法
'chao'ji'ju'hua 超极巨化
'chao'ji'ju'hui'fei'bian'mie 超极巨灰飞鞭灭
'chao'ji'ju'jin'guai 超级巨金怪
'chao'ji'ju'qian'tang'lang 超级巨钳螳螂
'chao'ji'ju'shui'pao'hong'mie 超极巨水炮轰灭
'chao'ji'ju'wu'ba'san'ming'zhi 超级巨无霸三明治
'chao'ji'ju'ya'sha 超级巨牙鲨
'chao'ji'ju'yan'shi'pen'fa 超极巨炎石喷发
'chao'ji'ju'zhao'guai 超级巨沼怪
'chao'ji'ju'zi'jiang'san'ming'zhi 超级橘子酱三明治
'chao'ji'kai'luo'si 超级凯罗斯
