'an'yuan'chen 暗元辰
'jian'zhi 剑指
'jian'zhi'zhen'yi 剑指真义
'jie'nian'zhi'lei 劫念之雷
'jie'nian'zhi'zhu 劫念之主
'jie'yu'zhu 解欲珠
'jie'zhu 劫主
'jin'dan 金丹
'jin'lin'huo 金鳞火
'jin'shen'si'jing 金身四境
'jiu'beng'yuan'qi'nian'mie 九崩缘起念灭
'jiu'chong'tian'que 九重天阙
'jiu'li'zhi'xue 九狸之血
'jiu'xing'shen'gong 九星神功
'ju'ling'lou 聚灵楼
'kai'tian 开天
'kui'tian'zhi'yu 窥天之雨
'lan'ling'xue 兰陵雪
'lan'mei 蓝眉
'lan'yun'xian 兰云仙
'lao'mo 老魔
'lei'wang'yin 雷王印
'li'he'jian 离合剑
'li'ri'fen'ying 离日分影
'li'xiao'xiao 离小小
'lian'shi'huo 莲尸火
'lian'xu 炼虚
'lian'xue'jiu'ceng 炼血九层
'liang'yi'si'fang'yin 两仪四方印
'ling'bao 灵宝
'ling'kong 凌空
'ling'lun 灵轮
'ling'wang 灵王
'ling'wang'yao'fei 灵王妖妃
'liu'beng'yin'yang'fu'ming 六崩阴阳符命
'liu'yu'kui'jue 六欲傀诀
'liu'yu'san'bao 六欲三宝
'long'xuan'zhi'huo 龙漩之火
'lu'bei 陆北
'lu'sheng'tian'huang'gu'jian 戮圣天荒古剑
'lu'wan'er 陆婉儿
'luan'gu 乱古
'luan'gu'chuan'ren 乱古传人
'luan'gu'da'di 乱古大帝
'luan'huan'jue 乱环诀
'luan'zhen'chuan'cheng 乱真传承
'luo'xuan 罗萱
'luo'you 洛幽
'lv'wen 吕瘟
'man'huang'zhan'chang 蛮荒战场
'man'mo'jing 蛮魔境
'man'shan 蛮闪
'man'shen 蛮神
'man'zu 蛮祖
'mei'chen 魅晨
'meng'jie 梦界
'miao'yan 妙言
'mie'shen'dun 灭神盾
'ming'fan'tian 溟梵天
'ming'fen 冥坟
'ming'hun'tian 溟混天
'ming'que 明雀
'ming'xian'jing 命仙境
'mo'fei 魔妃
'mo'jie 魔界
'mo'luo'da'di 魔罗大帝
'mo'luo'zu'xue 魔罗祖血
'mo'tou 魔头
'mo'yu'jing 墨雨经
'mo'zong 魔宗
'mu'she'li 母舍利
'mu'song'dao'ren 木松道人
'mu'wei'liang 慕微凉
'na'lan'zi 纳兰紫
'nan'ming'di'tian 南溟帝天
'nan'zu 南族
'ni'chen'hai 逆尘海
'ni'chen'jie 逆尘界
'ni'chen'zhi'xiu 逆尘之修
'ni'ling'shu 逆灵术
'ni'she'li 逆舍利
'ni'sheng'xian'huang 逆圣仙皇
'nian'shen'jue 念神诀
'nie'huang 涅皇
'nie'li 孽离
'nie'pan'jiu'chong'tian 涅槃九重天
'nie'sheng'sui'yue'jing 涅圣岁月境
'nie'yun'yu'huang 孽云雨皇
'ning'fan 宁凡
'ning'gu 宁孤
'ning'qian 宁倩
'ou'yang'nuan 欧阳暖
'pi'mai 辟脉
'qi'beng'dao'zhen'xuan'shu 七崩道真玄术
'qi'dai 七代
'qi'hong'huo 七虹火
'qi'mei'cheng 七梅城
'qi'ye'lan 七叶澜
'qian'qiu 千秋
'qian'qiu'zong 千秋宗
'qian'shi 前世
'qian'yan'da'di 千衍大帝
'qing'han'xin 青寒心
'qing'luan'huo 青鸾火
'qing'luan'jing 青鸾经
'ran'xu'zhi'shu 燃虚之术
'ren'xuan 人玄
'ri'yue'xing'chen'bei 日月星辰碑
'rong'ling 融灵
'san'beng'xu'kong'wang'gu 三崩虚空亡骨
'san'mo 散魔
'san'qian'lei'jie 三千雷界
'san'qiao'gu'shen 三窍古神
'san'xian 散仙
'san'xing'zhen'xue 三星真血
'san'yao 散妖
'sen'luo 森罗
'sha'lu'dian 杀戮殿
'shan'hai'zhou 山海咒
'shan'jie 山界
'shan'lei'jing 闪雷镜
'shang'gu'shi'luo'shen'tong 上古失落神通
'shang'san'jie 上三界
'shao'cheng'zhu 少城主
'shao'di 少帝
'she'kong 舍空
'shen'han'po 神寒魄
'shen'kong'jing 神空经
'shen'mo'gong'fa 神魔功法
'shen'wai'hua'shen 身外化身
'shen'xu'ge 神虚阁
'sheng'ren 圣人
'shi'beng'lun'hui'gui'nie 十崩轮回归涅
'shi'dao'gong'fa 尸道功法
'shi'dao'mo'gong 尸道魔功
'shi'mo'bian 尸魔变
'shi'sheng'kai'tian'jing 始圣开天境
'shi'zi'mi 势字秘
'shu'jie 树界
'shui'lian'xian'wang 水帘仙王
'shui'yan'da'di 水淹大帝
'shui'yan'ping 水淹瓶
'si'beng'huang'ying'yi'mu 四崩皇影遗墓
'si'chen'ba'chong'tian 司辰八重天
'si'ming'xian'jie 四溟仙界
'si'tian'jiu'jie 四天九界
'si'wu'xie 思无邪
'song'han'sui 松寒髓
'su'yan 苏颜
'su'yao 苏瑶
'sui'gu'cheng'bing 碎骨成兵
'sui'nian 碎念
'sui'xu 碎虚
'sui'xu'san'shen'tong 碎虚三神通
'sui'yue 碎岳
'ta'tian'jiu'bu 踏天九步
'ta'xue'dun'fa 踏雪遁法
'ta'xue'jue 踏雪诀
'tai'cang'jie'ling 太苍劫灵
'tai'cang'jie'xue 太苍劫血
'tai'chang 太常
'tai'su'lei'bian 太素雷鞭
'tai'su'lei'di 太素雷帝
'tan'tai'wei'yu 澹台未雨
'tan'zi'xin 谈紫心
'teng'qian'rou 藤芊柔
'tian'di 天帝
'tian'fa'mu 天法目
'tian'huang'gu'jing 天荒古境
'tian'lan'feng'zu 天澜凤族
'tian'lei'zhu'ta 天雷竹塔
'tian'mo'shi'er'nie 天魔十二涅
'tian'ren'he'yi 天人合一
'tian'shi'bian 天尸变
'tian'shuang'di'huo 天霜地火
'tian'shuang'han'qi 天霜寒气
'tian'xian'jie 天仙界
'tian'yao'jie 天妖界
'tie'ya 铁鸦
'tu'mo 土魔
'wan'gu'bu'mie'yu 万古不灭雨
'wan'gu'di'er'jie 万古第二劫
'wan'gu'di'jiu'jie 万古第九劫
'wan'gu'di'qi'jie 万古第七劫
'wan'gu'di'san'jie 万古第三劫
'wan'gu'di'yi'jie 万古第一劫
'wan'gu'jing 万古境
'wang'xue'ji'bie 王血级别
'wei'zi'jue 威字诀
'wo'shi'mo'shui 我是墨水
'wu'beng'qiu'tian'xian'lu 五崩囚天仙路
'wu'chen 吴尘
'wu'lao'ba 乌老八
'wu'liang'jiu'jie 无量九劫
'wu'ling'lun'zhi'shu 五灵轮之术
'wu'xiang'tian'mo'yin 无相天魔印
'wu'xing'ping 五行瓶
'wu'yan 舞嫣
'xi'feng'zhi'shu 西风之术
'xi'ran 兮然
'xia'san'jie 下三界
'xian'bao 仙宝
'xian'di 仙帝
'xian'di'chuan'cheng 仙帝传承
'xian'di'dian'feng 仙帝巅峰
'xian'fei 仙妃
'xian'huang 仙皇
'xian'luo'li 仙萝莉
'xian'ren 仙人
'xian'ti'ba'zhan 仙体八斩
'xian'tian 先天
'xian'tian'gui'mian 先天鬼面
'xian'wang 仙王
'xian'xian 仙仙
'xian'xu'bao 仙虚宝
'xian'zun 仙尊
'xiang'ming'zi 向螟子
'xiao'dan'mo 小丹魔
'xiao'du'gu 小独孤
'xiao'qian'ci 萧千慈
'xiao'qian'yu 萧千雨
'xiao'yao'nv 小妖女
'xiao'zhi'he 小纸鹤
'xing'hai 星海
'xing'jie 醒界
'xing'lu'zhang 刑戮掌
'xiu'zhen'qi'jing 修真七境
'xu'kong'duo'dao 虚空夺道
'xu'kong'jing 虚空经
'xu'kong'nuo'yi 虚空挪移
'xu'qiu'ling 许秋灵
'xuan'kong'shu 漩空术
'xuan'lei'huo 玄雷火
'xuan'yao'zu'gong'zhu 玄药族公主
'xuan'yin'jie 玄阴界
'xuan'yin'qi 玄阴气
'yan'liu'zhi'shu 湮流之术
'yao'chi 瑶池
'yao'chi'sheng'nv 瑶池圣女
'yao'fei 妖妃
'yao'gong 妖功
'yao'gui'lin 妖鬼林
'yao'jie 妖界
'yao'qing'yun 姚青云
'yi'beng'miao'dao'he'shan 一崩渺岛河山
'yi'qi'zhen'xian 一气镇仙
'yi'shi'gong 遗世宫
'yin'gu'si'jing 银骨四境
'yin'guang'jiu'jing 银光九境
'yin'rong'jiu'zhu 阴融九珠
'yin'su'qiu 殷素秋
'yin'yang 阴阳
'yin'yang'bian 阴阳变
'yin'yang'suo 阴阳锁
'yin'yang'wu'jian 阴阳五剑
'yu'chong'er 俞虫儿
'yu'huang'gong'fa 雨皇功法
'yu'jie 雨界
'yu'ming'si'jing 玉命四境
'yu'shen 雨神
'yu'xue'jing 玉血境
'yu'yao 羽妖
'yu'zhi'wu'jian 雨之五剑
'yu'zhi'xian'jun 雨之仙君
'yuan'gu'sheng'zong 远古圣宗
'yuan'yao 元瑶
'yuan'yao'jie 元瑶界
'yuan'ying 元婴
'yue'guo 越国
'yue'ling 月灵
'yun'fan 云凡
'yun'tian'jue 云天决
'zang'yue 葬月
'zhan'li'jian 斩离剑
'zhan'shen'jue 战神诀
'zhan'yi 斩忆
'zhang'men'gong'fa 掌门功法
'zhang'qing'xian'di 掌情仙帝
'zhang'yun'xian'di 掌运仙帝
'zhao'jian 赵简
'zhao'yao'shan 招摇山
'zhen'jie'shuang'bei 镇界双碑
'zhen'jie'xiu'shi 真界修士
'zhen'qiao 真桥
'zhen'shen'san'ji 真身三极
'zhen'tian'zhong 镇天钟
'zhen'xian'jing 真仙境
'zhen'xue 真血
'zhi'dao 执道
'zhi'he 纸鹤
'zhi'mo 执魔
'zhi'qiao 执桥
'zhi'shou'zhe'tian'zhi'shu 只手遮天之术
'zhi'tian'yin 执天印
'zhong'ji 钟祭
'zhong'san'jie 中三界
'zhou'ming 周明
'zhun'sheng 准圣
'zi'chuang'shen'tong 自创神通
'zi'dou'xian'huang 紫斗仙皇
'zi'fu'xue'gong 紫府学宫
'zi'li 紫璃
'zi'she'li 子舍利
'zi'wei'xian'huang 紫薇仙皇
'zi'yi'gong 紫衣宫
'zi'zu 紫族
'zong'di'jin'guang 纵地金光
'zong'zhu 宗主
'zun'mo'jing 尊魔境
